MAT.1.1	Isua Krista akhuk Ama hi David a sapa, Abraham a sapa. 
MAT.2.12	Hatuka Herod akom ei kir u nokna ranga ramang aphan u na lam atei tiang a ram u na ase u.
MAT.2.13	Ase sua u le enta Puma vanpalai khat Joseph a ramanga anlanga, “Anthuia naite le a nu ha a tuanga Aiguptana rot pui ro. Ka na ril ret man kar pei chu hava han om u ro asik chu Herod in naite ha athat ranga arok inti,” atia.
MAT.2.14	Hanke Joseph anthuia zan zana naite le a nu atuanga Aiguptana ase. 
MAT.2.15	Hanke Herod ei thi tenpei hava han ei om ei kipna Dearin ei ril Puman hiva chong ei kipna rang, “Aigupta ata ka naipasal ka paia ka hong tuang.” 
MAT.2.16	Hatuka Herod, mi hian ngaiin ei tel lai nok ha ariata a takasi sabaka ha mi hian ngai kom ei riat ang han kum anni athuaia pasal sanai Betlehem le a rikung kola om ngai dora han mi atira a manthat zit.
MAT.2.17	Hava han Jeremia Dearin ei ril hiva chong ei kip:
MAT.2.18	“Ramana a rasa anthang zei
MAT.2.18	achan ankheka achap.
MAT.2.18	Rakil a nai ngai ranga achap
MAT.2.18	zeia phukdai zot mak asik chu hangai ha athi u.” 
MAT.2.19	Herod athi suale han Puma a vanpalai khat Aiguptana Joseph a ramanga ei ril. 
MAT.2.20	“Anthui ro naite le a nu ha ruai tan Israel rama se ro, asik chu naite that rang ati ngai ha athi u zei,” ati. 
MAT.2.21	Hanke anthuia naite le a nu tuanga Israel rama a hong.
MAT.2.22	Tenchu Arkelaus a pa Herod a sutmuna Juda rama reng ei kai ariata ase rang a china hava suale a ramanga ase na chong ariata amana Galili biala ase u. 
MAT.2.23	Hatuka Nazaret khuana a sena ava om. Dearin ei ril hiva chong ei kip ama hi “Nazareta anti inti.” 
MAT.3.1	Hava han Baptispu Johon a suaka Judai philchara chong arila. 
MAT.3.2	“Malung makhir u ro asik chu vanram a nai zei,” ati. 
MAT.3.3	Hiva mi hi ani Isai Dearin hia chong hi ei ril, 
MAT.3.3	“Philchar rama mi he khat ankheka,
MAT.3.3	‘Puma lampui sin u ro;
MAT.3.3	a reng lampui ngai manzik u ro,’ ” ati.
MAT.3.4	Johon makingkang mul puan ei rasil a konga mevun le ankhita khairakuak le ram khuaining ei sak. 
MAT.3.5	Hanke Jerusalem dora Judai ram hatuka Jordon kola adep ngai ata mi asuaka a kom ase u. 
MAT.3.6	A pap u ngai andara Jordon dunga akom baptisma achang u.
MAT.3.7	Tenchu Pharisi le Saduki baptisma alak ranga ei hong u a muna hangai rang han ei ti, “O marul chi ngai na matona taksitna rang ata arot ranga tumo ana ril u? 
MAT.3.8	Hantin han malung thulna dika anra u ro. 
MAT.3.9	Hatuka na malung u na mandon u no ro. Abraham koini na pa ten kei na ti ni u zei Pathianin hi lung ngai ata Abraham a rang nai a manpiang thei. 
MAT.3.10	Hatuka atun len thingkung ngai bula rei akop keng hasik han thing amara asa nok tak chu hava ha tuka moia anpei thei. 
MAT.3.11	“Malung thulna rang tina baptisma ka na pek u na ten ka nuka a hong ka neka ranak a nei a kekok a pelrua ngal ni makung aman Ratha Anthiang le moia baptisma na pe unti. 
MAT.3.12	A tiangkerel a kuta a om hatuka a rimun rathial inti hanke a sasiara bu hong bun inti tenchu arasi chu thi lui moia hal inti” ati.
MAT.3.13	Havatak han Isua Johon akom baptisma achang ranga Galili ata Jordona akoma a hong. 
MAT.3.14	Tenchu Johonin alei khara, “Na kom ke baptisma kei lak dan ten ka kom nei hong ichangmo?” 
MAT.3.15	Tenchu Isuan a masanga, “Zot ro asik chu hintin hin dikna tin reng amang hi koini rang asa,” ati pe hanke ala zot pe.
MAT.3.16	Hatuka Isua baptisma a changa ti ata anthuia enro ama ranga van anlonga aman Pathian Ratha ha pharvali anga a chunga a hong ei mu.
MAT.3.17	Hatuka enta anvan ata hiva he hi ei ni, “Hiva hi ka Naipasal madit ama han kei zot.” 
MAT.4.1	Hanke Isua Diabolin ansinna ranga philchara aruai. 
MAT.4.2	Hava han ni sommanli sun zan ava ngoia nukhona ancham zei. 
MAT.4.3	Hava han ansinpu ha a koma honga a hong ti, “Pathian Naipasal na ni ten, hi lung ngai hi vaipol chang ro ti ro.”
MAT.4.4	Tenchu aman a masanga anziaka om, “Min vaipol le rong dam mak ten, ‘Pathian mur ata chong asuak tak ha hava han dam inti.’ ” 
MAT.4.5	Hanke Diabolin khopui anthianga a tuanga Biakin chung sipa a manding, 
MAT.4.6	“Pathian Naipasal na ni ten antom ro, ‘Anziak a om a vanpalai ngai na sika chong pe inti akut le na madom unti na ke lung le ande no ni,’ ” ati pe. 
MAT.4.7	Isuan ati pe anziak a om ret, “Na Puma Pathian mansin no ro” 
MAT.4.8	Hanuk Diabolin achan mual ansang sabak khata a tuanga ramual ram pumpui le ei lianna ngai a manmu. 
MAT.4.9	Hatuka ati pe, “Anboklaka nana mok ten sova dora so na pe ka ti.”
MAT.4.10	Hanke Isuan, “Se ro Soitan asik chu anziaka a om, ‘Na Pathian na Puma rongke nei biak rang,’ ” ati. 
MAT.4.11	Hanke Diabolin amaka ase. Hatuka enta vanpalai ngai a honga a dorbo adom pe u.
MAT.4.12	Hanuk Johon ha lungina ankhum ariata Galilia ase. 
MAT.4.13	Hatuka Nazaret a maka tipuilian kola Zebulun le Naptali biala Kapernauma asena ava om. 
MAT.4.14	Isai Dearin ei ril hiva chong ei chuk,
MAT.4.15	“Zebulun ram le Naptali ram 
MAT.4.15	tipuilian lama Jordon rala
MAT.4.15	Jentail ngai omna Galili ram!
MAT.4.16	Azing kara ansut nam ha ra-ang
MAT.4.16	amu u zei thina ram ralina
MAT.4.16	ansut ha achung u na ra-ang asuak zei.”
MAT.4.17	Haten pei Isuan chong ril ei va phut, “Malung makhir u ro asik chu vanram anai zei!” ei ti. 
MAT.4.18	Voikhat chu Galili tindil tang kola achei tira ei mu parual anni Simon Pitor ha a parual Andria le tindila len ei deng u asik chu nga sur ei ni u. 
MAT.4.19	Hangai rang ha, “Ka nuk hong zi u ro, mi sura na sin u ka ti,” ati pe. 
MAT.4.20	Hatuka halen han a len amaka anuk ei zi u.
MAT.4.21	Hatuka havan ata a matona ase na ei va mu parual anni Zebedi a naipasal Jakob le a parual Johon a pa u Zebedi abila rakuanga len ei deng u hangai ha ei kui. 
MAT.4.22	Hatuka havan len han rakuang le apa u ei maka anuk ei zi u.
MAT.4.23	Hava suale Isuan Galili dora ava cheia anchunna in kipa mi a manchuna Pathian ram thang ahui rui arila hatuka mi natna tin le rikhua tin a mandam. 
MAT.4.24	Hatuka ama thang mi mura Suria ram dora abit hanuk rikho tina rikhua tong ana, kachai ei o le rirangol, azeng adon ngai dora a kom a hong tuang u na amani ha alei mandam. 
MAT.4.25	Hatuka Galili, Dikapoli, Jerusalem, Judai le Jordon ral ata mi tampan anu nuk ei zi u.
MAT.5.1	Mi tampa a muna tangsipa a kala ansut sua le a zolai ngai ha a koma hong u. 
MAT.5.2	Hava han a mur a malonga hangai ha a manchu.
MAT.5.3	“Ratha sika anriang ngai chu,
MAT.5.3	achanasa u vanram a ta u keng!
MAT.5.4	Lunghang achul ngai chu achanasa u 
MAT.5.4	phukdaina laman unti!
MAT.5.5	Annuai ngai chu achanasa u ram la lua unti! 
MAT.5.6	Om anzik ranga ancham anral ngai 
MAT.5.6	chu achanasa u la khop unti!
MAT.5.7	Lungkham anei ngai chu achanasa u
MAT.5.7	Lungkham la man unti!
MAT.5.8	Malung anthiang ngai chu 
MAT.5.8	achanasa u Pathian la mu unti!
MAT.5.9	Minngoi ngai chu achanasa u
MAT.5.9	Pathian sanai lan ti unti!
MAT.5.10	Dikna sika pengsom atong ngai chu 
MAT.5.10	achanasa u vanram chu a ta u keng!
MAT.5.11	“Min ka sika ana matira ana rahoka hatuka, milak athona na chung u na chong asiat tin aril u ten na chanasa u. 
MAT.5.12	Na raimansan u ro na ak mathui u ro asik chu vana na ratpak u rang atam asik chu na man u na Deari ngai ha hantin han ei rahok u. 
MAT.5.13	“Nangni hi phila machi, machi ei al ahek ten hontinmo ei man al sir rang hatika chu itena amang samak nei peia min eia thin mai rang keng.
MAT.5.14	“Nangni hi ramuala ra-ang, mual chunga khua anthup thei mak. 
MAT.5.15	Hatuka min lem bela razai thuaia remak tenchu lem chuangna chunga ke ei re hanke ina mi dora ei el. 
MAT.5.16	Hava anga na ra-ang u mi makunga el rase hanke asa nei tho ei mu u na vana na pa u ei manpak u rang. 
MAT.5.17	“Na riti le deari chong ngai ansiata hong na iam u no ro ansiata hong ni makung ankhip ranga hong ke ka ni. 
MAT.5.18	Asik chu ataka kei na ti ni u zei anvan le phil anpei man chu na riti Dan aher matinhang rual ngal anpei no ni chuk kiar inti. 
MAT.5.19	Hantin han chongpek asin khit ngai bila angkhat ngal akhel ten hatuka hantin han a manchu ten vanrama asin khit anti inti ten hava ngai azi le anchu tak chu ha mi ha vanrama alian ni inti. 
MAT.5.20	Kei na ti ni u zei minchupu le Pharisi ngai neka nei anzik u na atam nok ten vanrama lut pial u no ta ni.
MAT.5.21	“Nei lei riat u mana mi ngai koma nei lei man u ‘Mi that no ro mi that tak chu choina nei inti.’
MAT.5.22	Tenchu kei na ti ni u zei a parual a takansi tak chu a rui anril inti. Hatuka a parual rang amo ati tak chu ruirilna anchunna muna choina man inti, ‘achang’ ati chu moi phenengna muna chul inti. 
MAT.5.23	Hantin han maichama dali na va dar tik hava mana nang na sika na parual khat chong a om na malung achui ten. 
MAT.5.24	Hava muna maicham kola na dali matan se ro na parual le van ngoi bak ro, hava suale na dali va dar ro.
MAT.5.25	“Anan ngoi puinok mi le lampuia nan lop tik anrapa anngoi pui ro hano ruirilpu kuta ana peka aman raimol anlek ngai kuta na pe inti hatuka lungina na khum inti. 
MAT.5.26	Ataka kei na ti ani zei holte khat ngal na thuan zit nok maseng pei havan ata suak thei no ta ni.
MAT.5.27	“ ‘Uire ngai makme,’ nei lei riat u. 
MAT.5.28	Tenchu kei na ti ni u zei rualnei ena nupang tiang a en tak chu hava han a malunga uiare ke ani zei. 
MAT.5.29	Hatuka na chang mitin ana manba ten hava ha kela alana pei ro asik chu na pum dora anphenengna muna achul nek ten na bang khat ansam rang asa. 
MAT.5.30	Hatuka na chang kutin ana manba ten hava ha tana alana pei ro na pum dora anphenengna muna ase nek ten na bang khat ansam rang asa. 
MAT.5.31	“Hatuka nei lei riat u, ‘A nungak amak ten makna lekha pe rase.’ “ 
MAT.5.32	Tenchu kei na ti ni u zei uire luia asik ateia a nungak a mak tak chu ui ei man re hatuka anmak nu alak tak chu amam uiare keng. 
MAT.5.33	“Hanuk mana mi ngai kom nei lei riat u, ‘Milak khomak ansam u no ro tenchu Puma sika na khomak ansam u len u ro.’ 
MAT.5.34	Tenchu kei na ti ani u zei khomak reng ansam u no ro vanram le ansam u no ro asik chu hava ha Pathian a chomphang keng, hanuk phil le khomak ansam u no ro asik chu hava ha ama a kepha siakna keng. 
MAT.5.35	Hatuka Jerusalem le khomak ansam u no ro asik chu hava ha Reng lian khopui keng. 
MAT.5.36	Hatuka na lu le khomak ansam u no ro asik chu na sam sang khat ngal manngui manhang thei u mak che. 
MAT.5.37	Tenchu na chong u ha ‘mang ha mang’ ni rase.
MAT.5.38	“Mana nei lei riat u, ‘Mit thuanna mit, ha thuanna ha.’ 
MAT.5.39	Tenchu kei na ti ni u zei asiat ngai dui u no ro hanek ten na chang maikhang ana ben ten na voi maikhang do u ro. 
MAT.5.40	Hatuka nang lehan ruirilna mun tenpei anan sual puia na zani lak zot ten na kultai pe sa ro. 
MAT.5.41	Mel khat na se pui ro tia anan ziai tak chu mel anni se pui ro. 
MAT.5.42	Ana zong tak chu ama ha pe ro, apuk ana zong tak chu ama ranga na mai manzing no ro.
MAT.5.43	“Mana nei lei riat u, ‘Na in kol mi adit u tan ananmumak ngai hela ro.’ 
MAT.5.44	Tenchu kei na ti ni u zei anan mumak u ngai adit u ro anan rahok ngai rang borzong pe u ro. 
MAT.5.45	Hanke na Pa u vana mi a nai nei ni u rang asik chu aman asiat asa mi ngai chunga ani a masuak minzik le minzik nok ngai chunga rua a masul. 
MAT.5.46	Asik chu anan dit ngai duai nei adit u na imo phamman nei man u rang? Lei ansuang ngaiin um hava chu atho do. 
MAT.5.47	Na parual ngai chip na pham un imo aliak na sin tho u Jentail ngaiin um hava ang chu ei tho ni u mak mo? 
MAT.5.48	Hantin han vana na Pa u ei dik anga nang nim dik u ro! 
MAT.6.1	“Anreng u ro mi mu ranga a makung u na om anzik om tho u no ro. Na tho u ten na Pa vana mi kom na phamman u abui. 
MAT.6.2	“Hantin han na pek tik lehan na makunga bekul tum u no ro mi dik lui ngai min na mansang rase ati na anchunna ina, lampuia atho u ataka kei na ti ni u zei ei man u rang ha a phamman aman u zei. 
MAT.6.3	Tenchu na pek tik le na chang kutin imo ei tho hava ha na voi kut ha man re no ro. 
MAT.6.4	Hantin han nei pek ha maruka ni rase, hava han na pa maruka amu han a mara na pe inti.
MAT.6.5	“Hatuka bor na zong u tik le hatik han phuazekam ngai anga ni u no ro, asik chu amani ha anchunna ina le lam sira andinga mi mu ranga bor azong azot u, ataka kei na ti ni u zei hangai ha a phamman aman u zei. 
MAT.6.6	Tenchu bor na zong tik lehan na tadan sungrila lut ro hatuka makot khar tan na Pa maruka ompu ha ama kom borzong ro hava han na Pa maruka amu han amara na pe inti.
MAT.6.7	“Hatuka bor na zong le akoronga ril munpu ril no ro nam atei ngai ei tho anga asik chu nei ril atam ten na borzong na masang inti ei ti u. 
MAT.6.8	Hantin han hangai anga ni u no ro asik chu imo nei nang u hava ha na zong u man na pa un ariat. 
MAT.6.9	Hantin han hiva ang hin borzong u ro:
MAT.6.9	‘Koini na Pa anvana mi
MAT.6.9	Na raming anthiang lalchi om rase.
MAT.6.10	Na ram hong tung rase
MAT.6.10	Anvana min ei tho u anga.
MAT.6.10	Phila min um tho rase.
MAT.6.11	Aviana rang khop sak nek na pe ro.
MAT.6.12	Koini ranga asia tho ngai nei madual anga
MAT.6.12	Koini nei masial ngai um na madual ro.
MAT.6.13	Siatna lama na mansin no tan asia ata na mazok ro.’
MAT.6.14	“Asik chu mi masial na madual u ten na Pa vana min in um na madual unti. 
MAT.6.15	Tenchu mi ngai na madual u nok aniten na Pa un nang nim masial na madual u no ni.
MAT.6.16	“Hatuka na ngoi u tik le hatik han phuazekam ngai anga mai zinga om u no ro, annguia asik chu ei ngoi u mi mu na ranga amai u ei manngui u, ataka kei na ti u ni zei hangai ha a phamman a mansua u zei. 
MAT.6.17	Tenchu nang na ngoi tik le, hatik han na lu sariak khua ro. 
MAT.6.18	Hatuka mai phia ro hanke min nei ngoi ei na mu nok rang tenchu na Pa maruka om han na mu inti hava han na Pa maruka amun amara na pe inti.
MAT.6.19	“Phil chunga na nei u rang manting u no ro, hivan chu rik le ngerin asak hatuka hivan hin anrun khur achuia a maruk. 
MAT.6.20	Tenchu vana na rang u nei manting u ro, sovason rik le ngerin sak mak sova son anrun khur chuia maruk mak. 
MAT.6.21	Asik chu na nei omna taka na malung um om inti.
MAT.6.22	“Mit hi na puma lem ang ke hanke na mit avar ten na pum dora el inti. 
MAT.6.23	Tenchu na mit asiat ten na pum dora zing inti, hava sik han sungril ra-ang azing ten ha azing ha itukmo ei lian!
MAT.6.24	“Tuten puma anni suak chang thei mak asik chu angkhat adit inti angkhat mumak inti. Hano angkhat chunga a raisan inti angkhat ha tel no ni. Pathian le nei aninina asuak chang thei u no ta ni.
MAT.6.25	“Hasik han kei na ti ni u zei, imo ne ning imo sa ning atia na nuk ruia le imo ansil rua atia taksa ruia andon u no ro, sak neka nuk le puan neka na tak hi lian mak mo? 
MAT.6.26	Chung zuang va ngai tiang anhoi u ro sin um u mak at um u mak sasiaram manting u mak, hanum na Pa u vana min hangai ha sak apek. Nangni hi hangai neka lian u mak che mo? 
MAT.6.27	Hatuka nangni bila tumo andona a kum dung muk khat ngal ason thei?
MAT.6.28	“Hanuk puan sika ichangmo nei andon u? Phaia lili par kung ngai ruia mandona tuak u ro itukmo ei anson hava ngai sin um u mak kher um u mak. 
MAT.6.29	Hanum kei na ril u ni zei Solomonin anina tin reng le anlianga angkhat dak ngal pha mak. 
MAT.6.30	Hanle phaia chiak aviana om nangtuk moia nei tua thei hava ha Pathianin hantin han a manliang ten hanle o iamna tom ngai nangni ha, haneka na manliang nget u no ni mo?
MAT.6.31	“Hantin han, hintin hin atia andon u no ro: 
MAT.6.32	‘Imo ne ning? Imo sa ning? Imo kei rasil rang?’ Asik chu Jentail ngaiin hava ngai ha tak ei sat. Na Pa u vana min ariat hava neinun ngai nei nang u. 
MAT.6.33	Tenchu a ram le ama ei anzikna arok mansa u ro hantin aniten hava ngai um na pe unti. 
MAT.6.34	Hantin han nangtuka rang mandon u no ro asik chu nangtuka rang chu nangtukin mandon bo ni nikhata rang nikhat ahun.
MAT.7.1	“Mi rui ril u no ro na rui ei anril u nokna rang, 
MAT.7.2	Mi rui nei ril anga han na rui ril unti, nei maina taka anmaiin na ti. 
MAT.7.3	Na parualpa mita ranok na muna na theia na mita thing her mandon u mak che na. 
MAT.7.4	Hanle nangin hontinmo na parualpa ha, ‘Hong ro na mit ranok na pei pe rong nei ti,’ na ninga na mita thing her ei la om. 
MAT.7.5	O phuazekam! Na mita thing her pei bak ro hanke na parual mita ranok nei rasuana rang anthiang vanga nei mu rang. 
MAT.7.6	Neinun anthiang ui ngai pe u no ro hatuka na vok u ngai matona rochon pe u no ro a ke le eia thin u rang keng hatuka anhoi bapa na pet u ni.
MAT.7.7	“Zong u ro man un na ti, arok u ro tok un na ti, atok u ro nangni rang anlong inti. 
MAT.7.8	Asik chu azong takin aman hatuka anrok takin atok, antok takin a rang anlong inti. 
MAT.7.9	Nangni bila a naipasalin vaipol a zong le lung apek a om mo? 
MAT.7.10	Hanuk nga zong le marul apek mo? 
MAT.7.11	Hantin aniten na siat u na lua na nai u ngai rang a sasa neinun apek na riat u, haneka atama na Pa u vana min a kom azong ngai ha a sasa pe nget inti.
MAT.7.12	“Min imo na ranga ei tho nei zot ha hava anga nang nim mi rang tho u ro. Asik chu hava ha Dan le deari chong arilphum. 
MAT.7.13	“Makot anchipa lut u ro asik chu siatna tianga sena makot alian alamum anzar hava han mi alut ual. 
MAT.7.14	Asik chu damna makot anchip a lampui ase nam antak, aman um atom te.
MAT.7.15	“Deari rathol ata anreng u ro hangai ha bera anga na kom u na a hong tenchu a sunga ngelang anga anvola asak rang ang keng. 
MAT.7.16	Amara han re thei un na ti. Min raling kunga gerep mara, raisok raling kung ata theichang mo a kham ngai? 
MAT.7.17	Hantin han akung asa ten amara sa anra tenchu a kung asiat ten amara siat anra. 
MAT.7.18	Akung asana mara siat anra thei mak akung asiata mara sa anra thei mak. 
MAT.7.19	Mara sa anra lui kung chu atuka moia anpei. 
MAT.7.20	Hantin han amara na mandang thei un na ti. 
MAT.7.21	“ ‘Puma, Puma,’ ana ti dora vanram lut inti tina nimak. Tenchu ka Pa vana mi ei zot atho ngai rong ke alut rang. 
MAT.7.22	Hatikhan, ‘Puma, Puma’ atia na raminga de se mak me mo na raminga kachai not mak me mo, na raminga sin alian tho mak me mo na ti u na ti! 
MAT.7.23	Hatikhan anthiang vanga na ti u ka ti, ‘Na re u lai making. O anzik lui ngai ka kom ata ankhai u ro!’ 
MAT.7.24	“Hantin han ka chong ngai azi tak chu ama ha ahian khat antin ti lung chunga a in asin ang ni inti. 
MAT.7.25	Rua ahonga ti aliana thinthin a sema ha in ha chiam mak asik chu lung chunga ei anphun sika. 
MAT.7.26	“Ka chong ngai ariata mang lui tak chu amo khat ang ni inti bali chunga in asin ang ni inti. 
MAT.7.27	Nuka rua honga tiliana thinthi honga in a sema achiam zita ase ei siat mar ana sabak!”
MAT.7.28	Isuan hiva chong ngai aril suale mi ngai ha chong rila han anlai u. 
MAT.7.29	Asik chu minchu ngai ang ni luia ningneina khit anei anga ei manchu sika.
MAT.8.1	Mual chung ata a chuma mi tampan a nuk azi. 
MAT.8.2	Enta aphar khat a honga ahonga moka, “O Puma, na zot ten nana manthiang thei,” a hong ti. 
MAT.8.3	Hanke a kut asona aton, “Ka zot anthiang ro,” ati pe. Hanke hava len han aphar ata anthiang. 
MAT.8.4	Hava suale Isuan ati pe, “Enro! Hiva chong tute ril no ro, tenchu chaizung kom se tan van enro, Mosi chongpek anga dali va dar ro, akom u na nei ril theina rang,” ati. 
MAT.8.5	Hatuka Kapernauma ei lut le, raza ruaipu khat akom a honga anthem chunga ei hong ti. 
MAT.8.6	“O Puma, ka suak, ina son azenga a om achan aduk ana.”
MAT.8.7	Aman ei ti pe, “Koi sena ama ha va mandam ka ti.”
MAT.8.8	Raza ruaipun a masanga, “Puma nang kui ka ina nei hong lut rang mo hanekten chong duaia ti ro hava han ka suak lei dam bo ni. 
MAT.8.9	Asik chu koi um ulian ngai thuaia mi hanuk sipai ngai hi ka thuaia hangai ha angkhat pei, ‘Se ro,’ ka ti le ei se hanuk atei, ‘Hong ro,’ ka ti le ei hong. Ka suak ham, ‘Tho ro,’ ka ti le hava ha ei tho.”
MAT.8.10	Isuan ha chong ha ariata achang ei mandong, hatuka anu nuka hong ngai rang ha ei ti, “Kei na ti tatak ani u zei Israel laia tute hiva dora ei iam alian mu makung. 
MAT.8.11	Hatuka kei na ti ni u zei, sualam taklam ata mi tampa hong inti Abraham, Isak, Jakob abila lokona vanrama ansut unti. 
MAT.8.12	Tenchu aram nai ngai ha apanga azing kara anpei inti hava muna, han rakam anriala chap unti.” 
MAT.8.13	Hava suale Isuan ha raza ruaipu ha ei ti pe, “Se ta ro, nei iam anga han hantin han na rang ni rase.”
MAT.8.13	Hatuka hava lai tak han a suak ha aleia dam.
MAT.8.14	Hatuka Isua Pitor a ina a honga a tarpi zamuna zal ana ava mu. 
MAT.8.15	Hanke a kut aton pena hatuka adam nok ha anan amathan hanke anthuia Isua haso adom.
MAT.8.16	Hatuka ani bui le min kachai ei sur a kom ahong tuang u na hava ha chong le ha ratha ngai anota ana dora a mandam. 
MAT.8.17	Isai dearin ei ril hia chong ei kip, “Aman aninga koini nei rat nok na dora alaka nei na ngai dora apel zit.” 
MAT.8.18	Hatuka Isuan asir apanga mi tampa amuna varala se rang chong apek. 
MAT.8.19	Hava han lekha anziakpu khat a honga. “Minchupu, nei se na mun tak peia kom na nunuka se ka ti,” ati pe. 
MAT.8.20	Isuan, “Sialin kua anei chunga va ngai rabu don tenchu Miring Sapa lu rena mun om mak,” ati pe.
MAT.8.21	A zolai ngai bila hanuk angkhatin, “O Puma ka pa na va manphum baka ahong rang chong na pe ro ba,” ati. 
MAT.8.22	Tenchu Isuan ati pe, “Ka nuka hong ro, athi ngaiin athetheia athi ngai rivo rase.”
MAT.8.23	Hatuka ama rakuanga ei chuang le. 
MAT.8.24	A zolai ngai ama nuka ase u hatuka enta tindila phaivua ahong sabaka, ti ansoka rakuang amalet vivita ama chu a in zata a om. 
MAT.8.25	Hanke a kom ase u na a mathui u, “O Puma na san ta ro, athi sua rang na ni zei!” ati u.
MAT.8.26	Aman ati pe, “O iam atom ngai ichangmo na chithai nei mandok u!” Hanke anthuia thinthi le tindil ha ango hanke achan aphuk ei la dai u. 
MAT.8.27	Hatuka ha mi ngai achang a mandong u na, “I miring ngal mo tak? Thinthi le tindilin um a he ei tel.”
