MAT.1.1	Yeisu Keliso ana laoma bwaite besiele, Yeisu Keliso iya Deibida tubuna, Deibida iya Abelamo tubuna. 
MAT.2.6	‘Komiu Bedeliema, Yudiya dedeina mena, nige sowana tawalo esamiu nige ilalalaki Yudiya kana tobagunao luwali mena, kaiwena tobaguna yabo kani iyawatagili luwamiu mena kabo yagu tomoyao Isileli kani ileboili.’”
MAT.2.7	Yo Elodi miyagogo yabo wadam mena iginauli tosonogaone mekanakavao tolaomane tete bomatu mena. Ineli kolili toisabo sauga koina utune sigitai. 
MAT.2.8	Kabo Elodi tosonogaone iyawasali silau Bedeliema iba, “Kwalau melumelune kwaloya-namwanamwai. Tem kwalobai, kwalaoma kwawalo koliyau na yau tabe yalau yapwalou koina besiele.” 
MAT.2.9	Tosonogao kin ana walo sibenalan yo silau. Utune kaigedana bwaine tauna kona tete bomatu mena ibagunayagili sigitai yoi yo simuliya kanasiga ilopei yanuwane pwatana mena melumeluwa koina. 
MAT.2.10	Saugana tosonoga utune sigitai yaliyaya lalakina iloyapowonli. 
MAT.2.11	Silau numene koina yo sigitai melumelu mesinana Meli. Sipwalou me ali yakasisi melumelune koina. Ali mulolo sisokeli yo siwolena wasawasane gole, olibanuma yo mula.
MAT.2.12	Na Yaubada tosonogaone iyakenayagili kenoli mena tabu sipipileyoi Elodi koina. Mwa sipileyoi ali dedei mena kamwasa uloina mena.
MAT.2.13	Tosonoga silogabaegili kabo muli mena Yosepa kenona ikenoi kabo Yaubada ana anelose iyawatagili Yosepa koina yo iba, “Elodi kani melumelu iloyai nuwanuwana iunuyamate. Kutolo, melumelu mesinana ukwalaili yo kwayabubu kwalau Itipita. Bwaine koina kwamiyamiya kanasiga yawalo kabo kwapileyoima.” 
MAT.2.14	Mwa Yosepa itolo, melumelu mesinana ikalaili kabo boniyai mena silau Itipita, 
MAT.2.15	kabo simiyamiya bwaine koina kanasiga Elodi iboita. Bwaine besiele iyawatagili na mesabana Yaubada ana walo iyamala yawasosi. Walone palopita yabo iwalo-masalan beyabeyana, iba, “Natugu kani yayawasa na yakato naga muli mena yayoga-yawatagilan Itipita koina.”
MAT.2.16	Saugana Elodi ikatai yakato tosonogaone simwakotayan mwa imunamunai lalakina. Kabo ana tokaleyayao iyawasali na melumelu tataoliyao Bedeliema dedeina meuloina koina siya ali bolime labui yaulina mena siunuyamateli. Iwalo besiele kaiwena tosonogao siwalo koina toisabo sauga utune sigitebagunayan. 
MAT.2.17	Iyawatagili besiele kabo Yelemaiya ana walo iyamala yawasosi, kaiwena beyabeyana iba, 
MAT.2.18	“Kaina yabo sibenalan Lama koina, valam yo koyasili lalakina, Litieli ivalavalam natunao kaiweli yo genuwana sikabi-yanuwadaumwali kaiwena natunao meuloili siboitako.”
MAT.2.19	Kabo muli mena Elodi iboita, kabo Itipita koina Yaubada ana anelose iyawatagili Yosepa kenona mena, 
MAT.2.20	yo iba, “Kutolo, melumelu mesinana ukwalaili yo kwapileyoi yanuwa Isileli, kaiwena Elodi me ana bodao, siya beyabeyana nuwanuwali Yeisu siunuyamate, siboitako.” 
MAT.2.21	Kabo Yosepa itolo, yo melumelu mesinana ikalaili yo sipileyoi yanuwa Isileli. 
MAT.2.22	Saugana ibenalan Akeleyasi iyamala kin dedei Yudiya koina, tamana Elodi ana kaba miya iyamiyalae, kabo Yosepa genuwana ilau dedeinane koina kaiwena imatausi. Tabe kenona ikeno yoi Yaubada ana wasa iwolena tabu ilalau dedei Yudiya na ilau Galili ana dedei mena. 
MAT.2.23	Ilau yo imiyamiya yanuwa Nasaleta, Galili dedeina mena. Bwaine besiele iyawatagili na mesabana palopitao ali walo Mesaiya kaiwena iyamala yawasosi. Kaiwena beyabeyana siwaloko siwaloba, “Tomo meuloili naga kani siwalo yakato iya Game Nasaleta.”
MAT.3.1+MAT.3.2	Saugana Yeisu iyaele Nasaleta na Yoni Toyababitaiso ilaoma yo iguguye dedei Yudiya ule bwagabwaga mena iba, “Mumugamiu naenaeli kolili kwanuwabui, kaiwena Yaubada ana kaba loina kana sauga ikubwamako.” 
MAT.3.3	Beyabeyana palopita Aiseya ilele Yoni Toyababitaiso kaiwena sauganane iwaloba, “Tomo yabo iyogayoga ule bwagabwaga mena, iba, ‘Guyau ana kamwasa kwasepa, wakatububun yo kwayasapusapu.’”
MAT.3.4	Na Yoni kana kwama ebaebai kameli wiyana yo kana wakisowa bulumakau kwapina. Yo ana kaba kekan mwalimwali yo kamwakamwa. 
MAT.3.5	Tomo meuloili silaoma koina. Tupwaliyao silaomaya Yelusalema taon, tupwaliyao silaomaya Yudiya dedeina mena yo tabe tupwaliyao silaomaya yanuwa siya Waila Yolidan salina mena. 
MAT.3.6	Ali pwanoli siwalo-masalagili kabo iyababitaisoli Waila Yolidan koina.
MAT.3.7	Tabe Palisiyao yo Sadusiyao sibaibaiwa silaoma yakato sibabitaiso. Na Yoni igitaili kabo iyokoi-yagili iba, “Komiu besiele weso. Gubesi, yaiya ami wasa iyeyawa mwa nuwanuwamiu Yaubada ana munamunai kwayabubu-gabaen? 
MAT.3.8	Ilonamwayagimiu tem mumugamiu naenaeli kwasikotanagili na uwe namwanamwana iyawatagili yawasimiu koina. 
MAT.3.9	Tabu kwanunu-watui yakato kwaba, ‘Kai tubumai Abelamo, mwa koina kai Yaubada ana tomoyao gitegite-sipwaimai.’ Na yawalo kolimiu, bwaite mwakota kaiwena Yaubada iya sowasowana veku ikalaili yo kolili Abelamo tubunao iyamayaleli. 
MAT.3.10	Yaubada ana kilam ivakiliyako yakato mayau meuloili siya nige siuweuwe namwanamwa yaili mena ikoili siguli na igabae-luseyagili mayau wedowedolina koina. 
MAT.3.11	Tem kwanuwabui mumugamiu naenaeli kolili kabo yayababitaisomiu waila mena. Na iya ilalaoma kani iyababitaisomiu Yaluyaluwa Tabuna koina yo ikabiyakaiwemiu besiele mayau wedowedolina ana kaiwe. Iya esana ilalaki na yau esagu nige ilalalaki. Yau nige yagu namwanamwa ipapagan yakato sowasowagu kaena kana suma yakalaili. 
MAT.3.12	Ana sabolo iyaele nimana mena naga iyatubu ana witi kanna yo mosomosona iyakasali kabo tem kanna yawasosi ikelegogon ipei ana lakawa mena yo mosomosona igabu mayau wedowedolina koina, mayaune nige ana kaba boitamo.”
MAT.3.13	Kabo Yeisu Galili dedeina ilogabaen isaema Waila Yolidan koina yo iwalolau Yoni koina iba, “Kuya-babitaisoyau.” 
MAT.3.14	Na Yoni nuwa-nuwana Yeisu ana nuwatu ibui, mwa iba, “Inamwanamwamo temga kowa kuyababitaisoyau. Gubesi mwa kulaoma koliyau yakato yayababitaisowo?” 
MAT.3.15	Mwa Yeisu kainana iyamaisa iba, “Yau yagu nuwatu inamwanamwa tem saugamo bwaite taginauli besiele, kaiwena Yaubada ana nuwatu tamuliya.” Kabo Yoni italam. 
MAT.3.16	Yeisu ibabitaiso kabo igayosaema waila mena. Sauganane koina bulibuli itasoke yo Yaubada Yaluyaluwana igitai besiele bunetutu ilolobima koina. 
MAT.3.17	Kabo kaina yabo ilobimaya bulibuli mena iba, “Bwaite natugu yamulolo lalakina koina yo yayaliyaya yawasosi kaiwena.”
MAT.4.1	Kabo Yaluyaluwa Tabuna Yeisu ilawan ule bwagabwaga mena na Seitani Yeisu itonan. 
MAT.4.2	Kaliyate poti yo boniyai poti Yeisu ikalakisiye nige ikekekan kaiwena mwa iguliyam lalakina. 
MAT.4.3	Kabo Seitani ilaoma yo itonan iba, “Tem yawasosi kowa Yaubada Natuna kuwalo veku kolili na siyamala beledi.” 
MAT.4.4	Yeisu kainana iyamaisa iba, “Buki Tabu ana walo bwaite besiele, ‘Tomo nige sowasowali beledimo sikan na yawasili silobai, bwaimwanamo Yaubada ana walo meuloina koina yawasili silobai.’” 
MAT.4.5	Tabe Seitani Yeisu ilawan yoi Yelusalema yo iseyan Nume Tabu kewa yawasosina mena. 
MAT.4.6	Iwalo koina, “Tem yawasosi kowa Yaubada Natuna, ukwapusele-lobi, kaiwena Buki Tabu iba, ‘Yaubada kani iwalo aneloseyao kolili sigitekalatagiwo nimali mena sinapuiwo kisi kutalu veku mena na kaem kusibayanae.’”
MAT.4.7	Yeisu kainana iyamaisa iba, “Buki Tabu ana walo bwaite besiele, ‘Tabu Yeoba am Yaubada kutonatonan.’” 
MAT.4.8	Seitani ikalai yoi ilawan koya kikinna mena yo kaba loina meuloina yanuwa yaulina mena yo ali wasawasa meuloina iyakenayan. 
MAT.4.9	Koina iwalolau iba, “Tem tutulim kutalu-sakonayan na kupwalou koliyau, bwaine ginauline meuloina kani yaeliwa koliwo.” 
MAT.4.10	Yeisu kainana iyamaisa iba, “Seitani, kulowasi koliyau. Buki Tabu ana walo bwaite besiele, ‘Kupwalou Yeoba am Yaubada koina yo iya ibomamo koina kupaisowa.’” 
MAT.4.11	Kabo Seitani Yeisu ilogabaen yo aneloseyao silaoma Yeisu sisagui.
MAT.4.12	Saugana Yeisu ibenalan Yoni sipeiyako deli mena kabo ipileyoi ilau Galili. 
MAT.4.13	Sauga kubwakubwana imiyamiya Nasaleta, kabo ilau Kapeneomi, Kalita Galili papalina mena bwaimwa siya susu Sebuloni yo susu Napitalai ali dedei mena. 
MAT.4.14	Iyawatagili bwaite besiele na mesabana palopita Aiseya ana walo iyamala yawasosi. 
MAT.4.15	Kaiwena beyabeyana iba, “Susu Sebuloni yo susu Napitalai ali dedei koina, dedei bwaine Kalita kana kamwasa imiyamiya koina, bwaine Yolidan salina mena dedei pwatana mena, yo Galili koina siya nige Yudiya tomoliyao sibaibaiwa simiyamiya, 
MAT.4.16	yo siya simiyamiya boniboniyai koina naga kani mayale lalakina sigitai, yo siya simiyamiya boita lolonna mena kani mayale imwalisae kolili.”
MAT.4.17	Sauganane koina Yeisu ana guguye iyatubu iba, “Mumugamiu naenaeli kolili kwanuwabui kaiwena Yaubada ana kaba loina kana sauga ikubwamako.”
MAT.4.18	Yeisu iyonayona Kalita Galili dekawana mena kabo togomana labui igitaili, yabo Saimoni iya esana Pita yo kanakava Anidulu. Ali yagida sigalagalayan kalita mena kaiwena bwaine ali paisowaele. 
MAT.4.19	Iwalo kolili iba, “Kwamuliya koliyau na yakatububunagimiu komiu tomo kali toyakona.” 
MAT.4.20	Kabo sauganane koina ali yagida silogabaen yo simuliya koina. 
MAT.4.21	Iutulau yoi kabo tomo labui yoi igitaili, Yemesa mekanakava Yoni, siya Sebedi natunao. Me tamali simiyamiya waga mena, ali yagida sikatukatububu sabi gala. Kabo Yeisu yoli labuine iyoganli. 
MAT.4.22	Sauganane koina ali waga yo tamali silogabaegili yo Yeisu simuliya.
MAT.4.23	Yeisu Galili dedeina meuloina ilotakikilan kabo iyakayakatai ali nume tapwalolo kolili, Yaubada ana kaba loina wasana namwanamwana iguguguguyeyan yo tomo ali kasiebwa uloi uloi iwoisili. 
MAT.4.24	Yeisu wasana itakikili Siliya dedeina meuloina koina kabo tomo tokasiebwao meuloili sikalailima, kasiebwa uloi uloi, siya sikamkamna lalakina, siya yaluyaluwa biki kolili, yo siya sikikiwasi, yo tabe siya yoli sitawalololi, meuloili iwoisili. 
MAT.4.25	Boda lalakina Yeisu siyamuli-kusuli. Silaomaya dedei Galili, dedei Dekapoliya,
MAT.5.1	Yeisu boda lalakina igitaili kabo ilau ikawasae koya mena yo imiyasio. Ana tobenaliyao silaoma simiya-takikilan, 
MAT.5.2	kabo iyatubu iyakayakatai kolili yo bwaite besiele iba, 
MAT.5.3	“Siya tonuwalobi sikatai yaluyaluwali sibubutuma, Yaubada iwalo-muloloili yo Yaubada ana kaba loina kani silobai. 
MAT.5.4	Siya ali toboita kana katekamkamna yo kana nuwanae kateli mena Yaubada iwalo-muloloili yo kani ikabi-yanuwadaumwalili. 
MAT.5.5	Siya tonuwalobi yo mumugali bigana, Yaubada iwalo-muloloili. Ana waloyameli yanuwana kani silobai. 
MAT.5.6	Siya nuwanuwasosili tem mumugana namwanamwana sikalai kateli mena, besiele toguliyam yo togalomagu nuwanuwali kan yo waila, Yaubada iwalo-muloloili. Kani mumugana namwanamwana koina yaluyaluwali iloyapowonli. 
MAT.5.7	Siya kalikavao sikatekamkamna-yagili yo ali naenaena kolili sinuwatu-pwaikili Yaubada iwalo-muloloili. Kani ikatekamkamna-yagili yo inuwatu-pwaikili. 
MAT.5.8	Siya kateliyao nige sibibiki Yaubada iwalo-muloloili. Kani Yaubada sigitai. 
MAT.5.9	Siya tokabi-yanuwa-daumwali Yaubada iwalo-muloloili. Kani ikawa-natu-wagili. 
MAT.5.10	Siya kalomagigili koina kamkamna lalakina silobai mumugana namwanamwana kaiwena Yaubada iwalo-muloloili. Yaubada ana kaba loina kani silobai.
MAT.5.11	Tem tomo sisinalimiu yo sikawa-naenae-yagimiu yo siyakamkamnamiu esagu kaiwena Yaubada kani iwalo-muloloimiu. 
MAT.5.12	Kwayaliyaya lalakina kaiwena maisamiu lalakina iyaele bulibuli mena kaiwena palopitao bagubagunali siyakamkamnali besiele komiu.
MAT.5.13	Komiu ami paisowa yanuwa yaulina mena besiele kalita ana paisowa. Tem ana kaiwe yo kamnana imwawasi nige sowasowana taula-kalikalita yoi. Takatai nige ana paisowa ipapagan kabo tagabaen yo tomo siutu-gwalagwalai. Kabo wagite-kalatagimiu tabu komiu besiele kalita naenaena, sauga meuloina kwatolo kaiwe me ami meli Yaubada koina. 
MAT.5.14	Komiu besiele mayale yanuwa yaulina mena. Tem yanuwa yabo imiyamiya koya pwatana mena kani tomo meuloili sigitai, nige sowana ikeno-wadam. 
MAT.5.15	Nige sauga yabo tomo mayale sigabu kabo gulewa sikalai yo mayalene sikopwaiki. Kani sipei teibeli pwatana mena kabo mayalena mena nume kana tomiya meuloili simayale. 
MAT.5.16	Besiele tabe komiu, ilonamwayagimiu tem ami mayalene, bwaimwana mumugamiu namwanamwana, iwedowedoli tomo manli mena na mesabana ami paisowa namwanamwana sigitai na Tamamiu bulibuli mena esana sitobalan.”
MAT.5.17	Tabu kwanunuwatui yakato yalaoma na Mosese ana loina yo palopitao ali yakayakatai yakele-gabaegili. Nigele. Yalaoma yakato ginauli meuloina beyabeyana siwalowegiliko siyamala yawasosi. 
MAT.5.18	Yawalo yawasosi kolimiu, kanasiga bulibuli yo yanuwa yaulina naga kani simwawasi nige sowasowana loina ana walo yabo kikiuna ikwalalele kanasiga loinane meuloina Mosese ilelelene iyamala yawasosi. 
MAT.5.19	Yaiya tem loina kikiuna yabo ilikwai yo tomo tupwaliyao iyakenayagili siginauli besiele, tomone esana Yaubada kani ipeiyatalu ana kaba loina koina. Na yaiya loina meuloina ibenalagili yo tomo iyakataili besiele, kabo esana Yaubada kani ikeleisinan ana kaba loina koina. 
MAT.5.20	Na yawalo kolimiu tem ami obiga nige Palisi yo loina kana toyakayakatai ali obiga inanamwanamwa-gabaen nige sowasowana kwalusae Yaubada ana kaba loina koina.
MAT.5.21	Wakataiyako, tomo bagubagunali ali sauga mena siyakayakatai besiele bwaite, ‘Tabu tomo taunuyamate, yaiya tem tomo iunuyamate kani maisana ilobai.’ 
MAT.5.22	Na yau yawalo kolimiu, yaiya imunamunai kanakava koina kani maisana ilobai. Yaiya kanakava ikawa-naenae-yani kani Yudiya toloinao siyatalayan, na yau yawalo kolimiu, yaiya iwaloba, ‘Kulukulum gaibuna’ iya ilalau kaba silae koina yo iyaele mayau wedowedolina salina mena. 
MAT.5.23+MAT.5.24	Kabo tem kulaoma nume tapwalolo koina nuwanuwam am mulolo kuwolena Yaubada koina, bwaine koina kunuwatu-kalatan yakato kamkava imunamunai koliwo ginauli yabo kaiwena, am mulolo kupei kaba pwaoli salina mena yo kulau naga mekamkava kwalolabin yo wakawa-elieliyam yoi, muli mena kabo kupileyoima na am mulolo kuwolena Yaubada koina. 
MAT.5.25	Tem tomo yabo iyakewaiwo yo nuwanuwana iyatalayagiwo, mwayamwayau kutonan kaiwe na mekamkava kwayadudulai. Tem nige sowasowana, kutonan yoi kamwasa mena na tem kuyadudulai na mesabana tabu ilalawagiwo kaba yatala koina kisi bwaine koina sipeiwo toyatala koina kabo toyatala ipeiwo pilisiman nimali mena na sipei-luseyagiwo deli mena. 
MAT.5.26	Yawalo yawasosi koliwo, tem sipei-luseyagiwo deli mena, nige sowana kuyawatagili kanasiga kam yaga meuloina kuyamaisaoli.
MAT.5.27	Na kwabenalan Mosese ana loina bwaite, ‘Tabu kamkava wainena uganaganawali koina.’ 
MAT.5.28	Na yau yawalo kolimiu, yaiya tem sine yabo imankulakulai nuwanuwana sikeno iya katena mena iganawaliko sauganane koina. 
MAT.5.29	Tem manim ulaulam iyalopwanowo ukasigabaen. Inamwanamwa tem yom yabo isibayanaewo kutomgabaen, tabu yom meuloina ugagabaen mayau wedowedolina koina. 
MAT.5.30	Besiele tabe tem nima ulaulam iyalopwanowo kutomgabaen. Inamwanamwa tem yom yabo isibayanaewo kutomgabaen, tabu yom meuloina ugagabaen mayau wedowedolina koina.
MAT.5.31	Mosese ana loina iwalo besiele bwaite, ‘Yaiya tem nuwanuwana wainena iinawaseyan, baguna inawase letana ileleyatalu kabo iwolena sinene koina yakato iinawaseyanako.’ 
MAT.5.32	Na yau yawalo kolimiu, tem tomo wainena iganawali sowasowana wainena iinawaseyan. Na tem nige igaganawali nige sowana iinawaseyan kaiwena tem wainena isikotanan kani wainenane ikasole-panaisi, na taune ana pwanoli kaiwena wainena iyadidiga ilau yo saugana sinene ikasole-panaisi iya iyamala sine ganaganawalina. Besiele tabe tem tau yabo sinene ikasolanan ee iya tabe tau ganaganawalina.
MAT.5.33	Na kwabenalan yoi Mosese ana loina tomo bagubagunali kolili besiele bwaite, ‘Tabu am kawalulu Yaubada manna mena kusosokeli, na uginaulili.’ 
MAT.5.34	Na yau yawalo kolimiu, tabu sauga yabo ukakawalulu-sae bulibuli mena, tabu kuba, ‘Kagu lulu bulibuli kaiwena Yaubada ana kaba miya bwaine koina.’ 
MAT.5.35	Tabu kuba, ‘Kagu lulu yanuwa yaulina kaiwena kaena kaba peina bwaite.’ Tabu kuba, ‘Kagu lulu Yelusalema kaiwena kin lalakina ana yanuwa iya.’ 
MAT.5.36	Tabu ukakawalulu kulukulum koina kaiwena nige sowasowana kuboma itom yabo kulukulum mena kana koleya kubui nuwana imayale o iduba. 
MAT.5.37	Na iyamo tem ginauli yabo walo yawasosi kuba, ‘O.’ Na tem nigele kuba, ‘Nigele.’ Tabu am walo kueetulan kaiwena walo-etulan ilaomaya Seitani koina.
MAT.5.38	Kwabenalanako Mosese ana loina bwaite, ‘Tem tomo yabo kanakava manna kaigeda isibayanae maisana iya tabe manna kaigeda isibayanae. Tem kanakava mwakana kaigeda ikoyabeku, maisana tabe mwakana kaigeda ikoyabeku.’ 
MAT.5.39	Na yau yawalo kolimiu, tem tomo yabo iginauli naenaena koliwo, tabu kuyayamaisa. Tem tomo yabo papalim ulaulam mena ikoi, kabo kutagelakeile papalim gegebam kuwolena iunui yoi. 
MAT.5.40	Besiele tabe tem tomo yabo ipeiwo yatala mena yo yakato kam kwama ikalai, ee kuwolena yo tabe kam kabobo kuwolena besiele. 
MAT.5.41	Tem tomo yabo iyadidigao na ana gogo ukele-sagui kwalau yanuwa yabo koina ilonamwayagiwo kutalamwagiwo tabe ukele-sagui yoi kwalau yanuwa yaboyoi koina. 
MAT.5.42	Tem tomo yabo ginauli yabo ikawanoiyan koliwo kuwolena koina. Tabe tem tomo yabo am gogo yabo ikawanoiyan yakato naga iyapileyoi koliwo tabu kununuwai.
MAT.5.43	Na kwabenalan yakato tomo bagubagunali siba, ‘Ami eliyamwao kwamulolo kolili, na kami tokalomagigiliwo wakalomagigi-lagili.’ 
MAT.5.44+MAT.5.45	Na yau yawalo kolimiu, kami tokalomagigiliwo kwamulolo kolili yo siya siyakamkamnamiu wakawanoi kaiweli, na mesabana komiu Tamamiu bulibuli mena natunao. Kaiwena iwalo dabwelo imwalisae yo imayale tomo naenaeli yo tomo namwanamwali kolili, yo tabe galewa iyawasa siya mumugali dudulaina yo siya mumugali naenaeli kolili. Yaubada ana mulolo meuloila takele-toyawai. 
MAT.5.46	Na tem kamikavaomo kwamulolo kolili nige sowasowana maisamiu Yaubada koina kwalobai, kaiwena tonaenaeli besiele takesi kali totano ali mulolo besiele komiu ami mulolo kamikavaomo, sibomamo simulolo kolili. 
MAT.5.47	Yo tem kamikavaomo wakawatoki kolili, gubesi ana namwanamwa? Nuwana nigele, kaiwena siya nige tomeli siginauli besiele bwaite. Ilonamwayagimiu tem kami tokalomagigiliwo wakawatoki kolili tabe kaiwena komiu Yaubada ana tomoyao. 
MAT.5.48	Wagite-kalatagimiu yakato tem sauga meuloina komiu mumugamiu meuloina inamwanamwa besiele Tamamiu bulibuli mena mumugana inamwanamwasosi.
MAT.6.1	Saugana tem ginauli namwanamwana yabo waginauli, tabu wagiginauli tomo manli mena yakato ginauline namwanamwana sigitai. Tem waginauli besiele yakato tomo sitobalanagimiu Tamamiu bulibuli mena kani nige iyayamaisamiu. 
MAT.6.2	Kabo saugana tem gogo yabo kwaolena tobubutuma kolili, tabu kwayogayoga, besiele tomwakomwakota mumugali siya siginauli besiele nume tapwalolo mena yo kamwasa mena kaiwena nuwanuwali tomo sitobalanagili. Na yawalo yawasosi kolimiu maisaline meuloina sikalaiyako kaiwena tomo sitobalanagiliko. 
MAT.6.3	Na tem gogo kuwolena tobubutuma kolili, tabu nimam gegebam ikakatai yakato nimam ulaulam gogo iyauyan. Tabu am eliyamwao namwanamwali am paisowa namwanamwana wasana sibebenalan. 
MAT.6.4	Uginauli wadam mena. Tamam ginauli meuloili wadamwadamli igitailiko, kabo iya kani maisam iyeyawa.
MAT.6.5	Saugana tem wakawanoi tabu besiele tomo mwakomwakotali. Siya nuwanuwali sitotolo na sikawakawanoi nume tapwalolo yo kamwasa kolili, na mesabana tomo meuloili sigitaili. Na yawalo yawasosi kolimiu maisali meuloina sikalaiyako. 
MAT.6.6	Saugana tem ukawanoi, kulusae am biliutusi mena, gamwa ukwausi kabo ukawanoi Tamam koina, iya nige tagigitai. Tamam ginauli meuloili wadamwadamli igitagitaili, kabo iya kani maisam iyeyawa. 
MAT.6.7	Saugana ukawanoi, tabu walo bwagabwaga koina ukakawanoi besiele siya nige tomeli. Siya sinuwanuwatu yakato Yaubada ali kawanoi ibenalagili kaiwena ali kawanoi simamalawe. 
MAT.6.8	Tabu komiu besiele siya. Nige naga wakakawanoi koina na Tamamiu ikatai-bagunayanako tawae nuwanuwamiu. 
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Kabo wakawanoi besiele bwaite, Tamamai kowa bulibuli mena, esam siyakasisiyan, mumugam ilobima, nuwam siyai yanuwa yaulina mena besiele siyai bulibuli mena. Kabona kamai kaliyate bwaitete kuyelima. Ama kabikabi sinae kulabinimai besiele kai kalabinili siya sikabiyanae kolimai. Yo imiyawa kuyakenayagimai woya koina. Kuleboimai yauyaule koina. Kaiwena kuboma am ginauli baibaiwali yo kowa ukaiwesosi yo kowa tubula am mayalena yo kan nige ilolotom. O, besiele.
MAT.6.14	Tem kamikavao ali naenaena kolimiu kwanuwatu-pwaikili, kabo Tamamiu bulibuli mena ami naenaena tabe inuwatu-pwaikili. 
MAT.6.15	Tem kamikavao ali naenaena nige kwanunuwatu-pwaikili Tamamiu besiele ami naenaena kani nige inunuwatu-pwaikili.
