GEN.1.1	En avong mulamu, 
GEN.2.5	vatiai keil tovuol veah ka utiai mun rovitehitehtei veah en out netan veni Iahova rosakintei ous vous. Ka meatin keil tovuol veah avoum revi atan. 
GEN.2.6	Ka en avong enek, tilep kistal ran atan ka kas vasi out netan.
GEN.2.7	Evus, Iahova kur hati atan tai ka mumon meatin eni. Mumoni evus, museh en eang onen ten moulien va en vulingasin, ka meatin moul mea.
GEN.2.8	En out koa ist, Iahova mumon mari ah tai en out koa avise en ‘Iden.’ Ka en out enek, kei ling meatin koa mumoni mul ien. 
GEN.2.9	Ka en ah koanek, Iahova sakin mormore vatiai tateisav vasi keil amoul ason heite tahos imok. Ka luhu en ah enek, vatiai elu lumul ien: tai koa heite teni kilea vasan moulien ten lisenges,
GEN.2.15	Evus, Iahova ling meatin en Ah Iden, voum en atan ka valosil kati. 
GEN.2.16	Ka viteni mini vit, “Keik kokilea kovaan heiai vasi keil koa amul en ah ekok. 
GEN.2.17	Ka vatiai tas koa kilea vasan ileilien ten asa koa tahos ka asa koa tisa navong kokan heite teni, vatiai enek konaantei varei heite. Veni en hati avong koa kiani, kimat.”
GEN.2.18	Evus, Iahova viteni vit, “Rotahostei keke meatin vato sasen. Numon meatin tamun hekatauni, ka keilu luheto out hetas.” 
GEN.2.19	Sakini, tirendan vasi keil ka aman keil koa Iahova mumon keil tuai en atan, lah ruain keil umai ven meatin enek keke valesi ka valing ise. En sise enek, keil akur ise. 
GEN.2.20	Mukonek, meatin enek ling isen aman vasi keil ka en tirendan keil emun. Ka rovotin etai koa vavinvin vato vatal mini ka vakatauni.
GEN.2.21	Sakini, Iahova mumon meatin meten mulong ka matil ravobong. Ka navong kei matil, kulat sin tai ten koun, ka mum revi aven eris. 
GEN.2.22	En sin enek, mumon ahin eni, ka kuri va min meahos. 
GEN.2.23	Ka navong meahos lesi vit,
GEN.2.23	“Anatin eli, koanek suval inau varei.
GEN.2.23	Sin amumoni ran sik; aven amumoni ran avek.
GEN.2.23	Sakini, niling isen hehi ‘ahin’ veni kei kistal ran meatin.”
GEN.2.24	Ven koanek, meahos hemea ran tata ka mama onen, ka heapil hetal min ahin onen, ka keilu luhetas.
GEN.2.25	Ka meahos keilu ahin lukaka hon, ka lurmemoutei eni.
GEN.3.1	En Ah Iden, tetal
GEN.3.2	Ka ahin vit risi mini vit, “Melkilea melvan heiai vasi keil koa mul en ah ekek. 
GEN.3.3	Ka vatte tas koa mul luhu keke Ahi vit koe vit melherkantei ka melhertokoltei. Veni munak melheani vuo melhetokoli, melhemat varei.”
GEN.3.4	Ka tetal vit risi, “Koanik rovitei anatin. Milsakras milvamat. 
GEN.3.5	Ahi viteni mukonek veni kilea keke munak milheani, ileilien onamil hemai hesuval kei, ka milheilea asa tahos ka asa tisa.”
GEN.3.6	Evus, ahin lesi keke vatiai enek tahos imok, ka heite teni mun tahos taanien. Ka en vati vasak visi vakur ileilien. Sakini kur heite koan ka kani. Evus, san koan min meatin onen, kei mun kani. 
GEN.3.7	Hatte tas, rendemien onealu maluv ka lukileile, ka lulei kilea suk keke lukaka hon ka lumemou veni. Sakini, lulah ou 
GEN.3.8	En mendilah enek, luraengon Iahova mul retoun en ah. Navong luraengoni, luro suai en vatiai keil. 
GEN.3.9	Ka Iahova vise meatin vit, “?Meatin? ?Keik kave?”
GEN.3.10	Ka meatin vit risi mini vit, “Naraengonuk koretoun en ah, ka nametau veni inau nakaka hon. Sakini, naro suai enuk.”
GEN.3.11	Iahova visi vit, “?Isei viteni vit keik kovakaka hon? ?Mukave? ?Keik kokan heiai koa naviteni navit konaantei?”
GEN.3.12	Ka meatin viteni vit, “Ahin koa kolingi ro ral minau san heiai enek minau, nakani.”
GEN.3.13	Ka Iahova vis ahin vit, “?Vensa komumoni mukok?”
GEN.3.13	Ka kei viteni mini vit, “Amot luvos nau,
GEN.3.14	Evus, Iahova viteni min tetal vit, “Ven koa komumoni mukok, nisan mahien minuk kos en tirendan vasi keil ka tounah sav koa amoul. Mahien koa nasani minuk ekek: kosa hetokol keite ten moulien onom, en avong vasi keil, kikea en vangom ka vulimeas hel en ongom lises. 
GEN.3.15	Numon keik hetal min ahin, tinomil heat kamil, ka titam ka titan ahin, tine mun heat keil.
GEN.3.16	Ka Iahova viteni min ahin vit, “Numon keik kilonge hetisa navong kikur titam, eisilum hemah hemariso. Avaseini kilong mahien, ka kiles kindem kat meatin onom, ka kei hehi avat minuk.”
GEN.3.17	Ka Iahova viteni min meatin vit, “Keik kolong ren ahin onom, ka korlong kattei nau. Kokan heiai koa naviteni minuk navit konaantei. Ven asa koa komumoni, sesendaen hel en atan.
GEN.3.18	Oumunai tatisa hehi houlu hehitehiteh ien ka hesar koe anien am. Ka avong tei, kian anien enges ten eivorohus. 
GEN.3.19	En avetin ten umen onom, kikur tounah taanien heha vis … kimat, ka kimai ris kihi atan. Veni keik, namumonuk en atan, ka kiha ris en atan.”
GEN.3.20	Meatin koa mulamu, isen ‘Adam’ koa aneite teni vi ‘meatin.’ Ka en ahin onen, kei ling isen ‘
GEN.3.21	Ka Iahova mumon eisin omealu en hiliven tirendan ka sani min keilu lumusin koe keilu eni.
GEN.3.22	Lumusin evus, Iahova selus sasen vit, “Ekek, meatin mai suval iatel keke lumai lukileile en asa tahos ka asa tisa. Mukonek, tehermaentei keilu luhekur heiai tamun ran vatiai koa kilea vasan moulien ten lisenges.
GEN.3.23	Sakini, Iahova sila lat keilu ran Ah Iden. Ka mumon keilu lumum en atan koa kei mumon keilu eni. 
GEN.3.24	Kei sila lat keilu evus, ling angelo keil koa avise keil en ‘Sereb’ avalei kokoe meteau ten Ah Iden en usite koa ist. Ka Iahova ling naef koa ahang vilhili eni ka mul vilehiles val koe sise vaha en vatiai koa san moulien ten lisenges.
GEN.4.1	Evus, Adam ro ral min ahin onen ka kei meas en titiali tai. Avong muli, ka kur titiali tai ka ling isen vi ‘Ken’ koa aneite teni vi ‘nakuri’ veni viteni vit, “Ven kataunien onen Iahova, inau nakur ehon tai.” 
GEN.4.2	Katau suk, Iv meas eris. Ka avong mai vinvin, kur titiali tamun, ka ling isen vi ‘
GEN.4.2	Navong lumoul lumai lumarite, Ebel mai vi meatin koa mul lei kat sipsip keil, ka Ken mai vi meatin koa mum en ah. 
GEN.4.3	Sua vahis muli ka en avong tai, Ken vit vasan ui umen onen min Iahova. Sakini lah anien tei koa luhi, ka sani vahi sanien votut onen ten masmasien min Iahova. 
GEN.4.4	Evus, Ebel emun kur ui umen onen koa vi moeite ten sipsip tai esen, muasi mat, ka san usiven keil tetahos vahi sanien votut onen ten masmasien vina min Ahi. Ka Iahova lele tahos en Ebel ka sanien votut onen.
GEN.4.5	Ka en Ken ka sanien votut onen, lei seseini. 
GEN.4.6	Evus, Iahova viteni min Ken vit, “?Vensa komul kovuroh mukonek? ?Vensa nam langlango? 
GEN.4.7	Munak komumon sakien koa mal, kimai kimal en metok. Ka munak komumon sakien koa tisa, tisaen mul suai vapurunuk suval tirendan tisa tai. Tisaen enek vit vahi hetetamen en moulien onom, ka keik esuk, kuasi heha netan ka kimai kihi hetetamen eni.”
GEN.4.8	Evus, Ken viteni min tunali vit, “Lovamea ran out ekek, lovoual lovaha nah.” Ka navong lurokol out enek, Ken viles min tunali ka muasi mat.
GEN.4.9	Evus, Iahova vis Ken vit, “?Tumali Ebel kave?”
GEN.4.9	Ka Ken vit risi mini vit, “Nareingeingeni. ?Inau keke nil nilei kat tuak onak?”
GEN.4.10	Ka Iahova viteni mini vit, “?Ken, komumon sa? ?Korraengontei? !Ran tumali mul murang minau ran atan vit kihinat asa koa komumoni!
GEN.4.11	Sakini, sesendaen hel enuk keke atan hersantei mun anien minuk, veni mun ran tumali koa komu vini. 
GEN.4.12	Navong kiluh vis etai tounah, atan hersan kestei ui umen onom. Ka keik, lises kilohosai ran meatin sav keil ka out tato revi ien onom hetovuol.”
GEN.4.25	Sua vahis muli, 
GEN.4.26	Navong Set mai mariso, kur ahin tai. Ka navong ro ral mini, ahin onen kur natnali tai ka ling isen ‘Inos.’ En hati avong enek, meatin keil avita netan min Ahi ka avise rohtoh en ‘Iahova,’
GEN.6.5	Navong meatin keil umai avi houlu en out netan, Iahova les sakien keil one rotahostei. Rendemien one vilelau en tisaen lisenges. 
GEN.6.6	Sakini, Iahova tin mah ven sakien one, ka longe tisa ven meatin keil koa kei mumoni. 
GEN.6.7	Sakini, viteni min kei sasen vit, “Koakeil namumoni ekek, nu rasilin keil ran out netan. Keil ral min tirendan keil, aman keil, ka tounah keil emun koa amoul, veni nalonge tisa houlu vis houlu mok ven keil. Tahos imok vahit marmumontei keil.” 
GEN.6.8	Ka meatin tanges, Iahova si veni, isen 
GEN.6.9	Koanik tunien usil Noah. En avong onen, kei enges vi more meatin koa musil kat Ahi en moulien onen ka sakien keil onen mutolas. 
GEN.6.10	Kei, natnali etel: Sem, Ham ka Sevet. 
GEN.6.11	Ka meatin sav vasi keil en out netan artahostei en meten Ahi. Keil asakin out netan vilelau en huhuen keil. 
GEN.6.12	Ahi lele mita netan, ka lesi keke tounah tisa revi mok, veni tounah vasi koa amoul amusil sakien tatisa keil enges.
GEN.6.13	Sakini, en avong tai, Ahi viteni min Noah vit, “Namundemi navit nu rasilin tounah vasi koa amoul, veni asakin out netan vilelau en huhuen keil. Anatin, keil vasi en out netan nu rasilini varei. 
GEN.6.14	Sakini, kumon mari sip tai koa kilea voulal. Kumoni en ai tetahos, kiti kokoteh out neim eni, ka kiting koe en koltar neim ka hae keke oai sakras vaha neim. 
GEN.6.15	Kumoni hemukok: mita ten taveah teni hehi handred tai ka hanumau elu ka halualim emun (150 m), mita ten aven hehi hanumau tai ka elim (25 m), ka mita hehina nesa hehi teindan elim (15 m). 
GEN.6.16	Hoite teni helin uriov en hap mita (½ m). Ka en out neim, kumon out toualien hetel: tai hel nesa, tai hel luhu, ka tai hel netan. Ka en valite, kumon voiteh hetas. 
GEN.6.17	Kumoni hemukonek ven inau, numon oai hemai hemarite ka hemai hetaluh koe out vasi. Ka houe, hou vasin tounah keil koa amoul en out netan. Keil vasi imatmat varei. 
GEN.6.18	Ka keik, inau numon 
GEN.6.19	“En mari sip enek, kikur tirendan vasi keil ka aman vasi keil helualu, tai koa meahos ka tai koa ahin. 
GEN.6.20	En tounah vasi koa moul en out netan kumoni vatinetinek: elu en koakeil amuka, elu en koakeil amual, ka elu en koakeil akekelau. Kisakin keil imoul hetal min kami. 
GEN.6.21	Evus, kikur anien tateisav vasi keil koa hehi ami ka ae, ka kiling revi en mari sip enek.” 
GEN.6.22	Ka Noah mum vasin tounah koa Ahi meng kati mini voumoni.
GEN.7.1	Navong Noah keitel telmum vasi mari sip enek, Iahova viteni min Noah vit, “Kiha en mari sip hetal min onom vasi keil. Veni inau, navotini keke keik tas en out netan komumon asa koa mal en metok. 
GEN.7.2	Kikuri hetal minuk buluk ka sipsip keil koa kokilea kovouas keil avahi ten sanien, teindan ehat (14) en tateisav keil, oulu (7) koa ihi meahos ka oulu (7) koa ihi ahin. Ka en buluk ka sipsip keil koa armutotei en metok, kikuri helu enges en tateisav keil, meahos tai ka ahin tai. 
GEN.7.3	Ka aman keil emun, kumoni vatinetinek en tateisav keil, kikur oulu (7) koa ihi meahos ka oulu (7) koa ihi ahin. Hesakini, keil vasi enek akilea imoul ka ihasi ris titae. 
GEN.7.4	Kumoni hemukonek veni avong oulu (7) sesuk keke nisan mari ous hous. Ous hous meneai ka vongien heha vio … hetokol avong hanumau elu (40). Ka en avong enek, tounah sav vasi keil koa amoul koa namumon keil, inau nu lin keil ran out netan.” 
GEN.7.5	Ka Noah mum vasi tounah koa Iahova meng kati mini voumoni.
GEN.7.16	Ka navong amulamun meahos keilu ahin ten tounah tateisav keil koa amoul en out netan uva neim en mari sip tuai, suval koa Iahova meng kati, Iahova koteh kat voiteh. 
GEN.7.17	Evus, ous mus vis mus, romusehtei rokol avong hanumau elu (40). Oai vilelau en out vasi, ka sakin mari sip enek moulal eni.
GEN.7.23	En sise koanek, Iahova mu lin vasi tounah keil koa amoul en out netan: meatin keil, tirendan keil ka aman keil emun. Ka Noah enges sesuk moul, ral min koakeil emun amul en mari sip enek ral mini.
GEN.8.15	Evus, Ahi viteni min Noah vit, 
GEN.8.16	“Keik hetal min ahin onom ka titam keitel hetal min ahin one keil, mihemea ran mari sip ekek. 
GEN.8.17	Aman keil ka tirendan vasi keil, kilokovein keil vasi isisital. Keil ihaha ika vasi out, ka ihasi titae keil ihi houlu mok.” 
GEN.8.18	Sakini, Noah keilu ahin onen, titan keil ral min ahin one keil asital. 
GEN.8.19	Tirendan vasi keil ka aman vasi keil asisital ran mari sip enek, ka keil uva ral min one keil.
GEN.8.20	Evus, Noah mumon avet tai ten sanien min Iahova, ka kur retai en buluk ka sipsip keil ka aman keil koa amuto en meten Ahi. Evus, muas keil, munit keil, ka ahang kan vasin ave keke vatie lat masmasien one mini. 
GEN.8.21	Ka navong vite ten sanien enek vina nesa, Iahova musi tahos ka si veni. Sakini vit sasen eni vit, “Nirsantei mun mahien en out netan ven sakien tisa onen meatin keil. Veni nakilea keke navong keil avi ehon rokol avong umat, e vati avousil sakien keil ten tisaen enges. Nirmu lintei mun tounah keil koa amoul en out netan suval koa namumoni ekek.
GEN.8.22	“Navat kati keke:
GEN.8.22	Kosa hetokol keite ten out netan, avong ten tounah vasi hemai hekistal:
GEN.8.22	avong taluhluhien ka avong tasuhutien,
GEN.8.22	avong ten anni ka avong out hetin,
GEN.8.22	avong ten ous ka avong ten annimes.
GEN.8.22	Ka meneai keilu vongien luhemai lises ka lisenges.”
GEN.9.1	Evus, Ahi san tokolkatien min Noah ka ehon onen keil vit, “Titami keil ihi houlu vis ihi houlu mok hesakin out vasi netan hehilelau en keil.
GEN.9.2	Tounah vasi keil koa amoul en out netan imetaun kami: tirendan keil, aman keil ka mesau keil emun. Keil vasi, naling moulien one en hemi. 
GEN.9.3	Mulamu, nasan heiai ka aneite ten anien enges min meatin keil akani. Ka kosa, nisan vuseri emun min kami taanien. 
GEN.9.4	Ka minaantei vuseri koa ara mul veah eni veni ara vi vatte ten moulien onen.
GEN.9.5	“Ka en usite ten ran meatin, munak meatin tai houas meatin sav hemat, inau, nisan mahien mini. Ka tirendan keil emun koa uas meatin tai hemat, nisan mahien emun mini. 
GEN.9.6	Meatin keil, namumon keil asuval nau.
GEN.9.7	“Ka kami, ek vati keke titami keil ihi houlu, hesakin keil ihilelau en out vasi netan.”
GEN.9.8	Evus, Ahi viteni mun min Noah ka min titan keitel vit, 
GEN.9.9	“Ekek, inau namumon hatkatien takeih ral min kami ka ral min onami keil koa ikatau en kami. 
GEN.9.10	Namumoni mun ral min tounah vasi keil koa amoul: tirendan ka aman keil, ka tounah vasi keil koa amemea ral minuk ran mari sip enek. 
GEN.9.11	Navat kati keke nirmu lintei mun tounah vasi koa amoul hetal oai. Anatin, oai hermu lintei mun out netan. 
GEN.9.12	Hatkatien enek, namumoni ral min kami ka tounah sav keil koa amoul en out netan, ka nitie lati hetal min metai tai. 
GEN.9.13	 ?Milesi? Naling mitiet koanik mul en mahmah ten teilang. Ka navong vasi koa meatin keil ilesi, indem kati keke hatkatien onak vi anatin. 
GEN.9.14	Sakini, navong nakav koe out netan en mahmah ten ous, mitiet emun hekistal. 
GEN.9.15	Ka navong nilesi, nindem kat hatkatien takeih onak koa namumoni ral minuk ka ral min tirendan vasi keil keke nirmu lintei mun keil en mari oai tai.”
GEN.11.1	En avong mulamu, meatin vasi keil ten out netan aselus en selusien tas. 
GEN.11.2	Ka navong umai avi houlu vis avi houlu mok, amual en out koa ist. Amual va vio … ales mari out tai koa vi aet koa mul en mari atan koa avise en ‘Saenar.’ Keil amundemi avit tahos keke avato ien. 
GEN.11.3	Evus, keil aviteni min keil eris avit, “!Almai! Tahos keke rehoumon brikis en tanvili koanik ka rehetan keil en avul tai hemai hekeih.” Sakini, keil amumon eim keil one en brikis keil enek ka akapil vituaini en koltar. 
GEN.11.4	Amumoni evus, ka aviteni avit, “Almai, rehoumon mari meteimal tai hetal min mari eim tai koa vahina nesa vatokol teilang. Koanek hesakin ir rehertasiltei ka meatin sav keil ilonglong en iser.”
GEN.11.6	Navong lesi viteni vit, “Telmali, meatin keil eke amul amumon marmari tounah. Keil amum out tas ka selusien one tas. Koanek vi vatte ten umen one. Ka hervitei tuetin, keil ilea um vasi asa koa iling rendemien one eni. 
GEN.11.7	Mukonek, tovahita netan ka tovahilehiles selusien one vasakin keil irlong kileatei keil eris.” 
GEN.11.8	Sakini, Iahova riti rasilin meatin keil en out netan avaha, ka armum vasitei mari meteimal enek. 
GEN.11.9	Sakini, avise mari meteimal enek en ‘
GEN.12.1	En avong tai, Iahova viteni min Ebram vit, “Kimea ran out onom, onom keil, ka teim sen tata onom. Kiha en out tai koa inau, nitie minuk.
GEN.12.2	Mukonek, nisakin vatiamal onom hehi houlu mok, hemai hehi mari vangi meatin tai en out netan. Nitokol katuk ka numon isom heka vasi out ka meatin keil ilonglong eni. Ka heka enuk, tokolkatien onak heha min meatin keil ten out netan.
GEN.12.3	Koakeil asan selusien ten tokolkatien minuk,
GEN.12.3	inau nisan tokolkatien min keil.
GEN.12.3	Ka koakeil asesenda enuk,
GEN.12.3	numoni hetisa en keil.
GEN.12.3	Ka keik kihi sise ten tokolkatien onak
GEN.12.3	heha min vatiamal vasi keil ten out netan.”
GEN.12.4	Sakini, navong Ebram long kat ren Iahova ka mea ran out Haran, sua onen rokol hanumau etel ka teindan elim (75). 
GEN.12.5	Ebram kur ahin onen, isen ‘
GEN.12.5	Avong telrokol out Kenan, 
GEN.12.6	Ebram ka meatin keil onen aka pas kantri enek va vio … umai en out koa avise en ‘Sekem.’ Ka en out enek, en out koa avise en ‘Morah,’ amumon votevav keil one vesesal en mari vatiai tai koa matu vis matu, out koa meatin sav keil uva netan min ahi keil one ien. (En avong koanek, koakeil ten out 
GEN.12.7	Evus, Iahova mai kistal ven Ebram ka viteni mini vit, “Atan ten out enek, nisani min koakeil ika en vatiamal onom.”
GEN.13.5	Titan tunali Ebram musili, isen Lot, kei ral min ahin onen, titan keil ka meatin toumien onen keil. Ka keil akur sipsip, buluk, ka nani ese keil emun. 
GEN.13.6	Ka ven buluk ka sipsip keil esen Lot ka Ebram avi houlu ramat, oumunai ae rovinvintei avato out vatas.
GEN.13.9	Ven koanek, Ebram viteni min Lot vit, “Hetahos lehetasil ekok. Keik kihiten etai hati atan koa keik em vati, ka inau, niha en out sav.”
GEN.13.10	Lot lei rahit out, ka les Oaisal Sodan ka hou keil koa amul vesesal veni va rokol meteimal ten out Soar. Lesi tahos imok suval Ah Iden koa Iahova luhi,
GEN.13.11	Sakini Lot kur out vasi koa vesesal ven Oaisal Sodan vi onen enges. Ven koanek, keilu luka rasil en out enek, ka Lot mea va en out ist ral min tounah keil onen. 
GEN.13.12	Ebram ro nges en out Kenan, ka Lot vita mumon votevav keil onen vesesal en taon ten out Sodom. 
GEN.13.13	Ka meatin keil ten out enek asak kalkali ka tisaen one houlu en meten Iahova.
GEN.13.14	Navong Lot va ran Ebram, Iahova viteni min Ebram vit, “En out koa koro ien kisepat, kilele rahit out vasi keil. 
GEN.13.15	Out vasi keil enek koa komul kolesi, nisani minuk hetal min vatiamal keil koa ika venuk. Hehi onami enges lises ka lisenges.
GEN.13.16	Vatiamal keil onom koa nisani minuk hehi houlu vis hehi houlu mok. Suval meatin sakras vahuli nehi atan vasi keil ten out netan, hesakras vahuli vasin onom keil. 
GEN.13.17	Ekek, kiha kual kiles atan vasi keil enek ven inau nisa vasi minuk.” 
GEN.13.18	Sakini Ebram mea va ral min onen keil, uva vio … arokol out Hibron. Ka amumon votevav keil ome en out koa avise en ‘Mamre,’ vesesal en mari vatiai koa matu vis matu, out koa meatin sav keil uva netan min ahi keil one ien. Ka en out enek, Ebram kur mari ahat keil ka mumon ahor ten sanien ka munit sanien votut vina min Iahova.
GEN.15.1	Evus, Iahova selus min Ebram en leisanien tai vit, “Ebram, konametautei. Nikur koe keik en avong keil takeih ka nisan sanien tai minuk koa hemarite mok ven longkatien onom.”
GEN.15.2	Ka Ebram vit risi mini vit, “?Iahova, sanien koanek hekataunau hemukave, veni titiali onak tovuol veah? Meatin koa vi houlu en teim onak hekur vasi tounah onak navong nimat, isen Eliesar ten out Damaskas. 
GEN.15.3	Anatin, kei koa vi slev enges onak koa avasi en teim onak hekur vasi tounah onak veni korsan etai titiali minau.”
GEN.15.4	Evus, raengon Iahova selus eris mini vit, “Slev Eliesar enek herkurtei vulum ka tounah vasi keil onom. !Vuo! Ehon kati onom, kei enges hekur vulum ka tounah vasi keil onom.” 
GEN.15.5	Evus, Iahova mulamuni va hae ka vit, “Kilele hehina nesa en teilang ka kihuli vis hitu keil. 
GEN.15.6	Sakini, Ebram ling demkatien onen en hatkatien onen Iahova. Ka ven koanek, Iahova si veni ka les moulien onen mal en meten.
GEN.16.1	Sua houlu muli, ka 
GEN.16.2	Ka Serae viteni min meatin onen vit, “Iahova sakinau nasakras makur ehon. Sakini, keik kikur ahin toumien onak ka kimatil hetal mini. Vahesa nakilea makur etai ehon heka eni vahi titaralu.” Navong Ebram longe, maeni. 
GEN.16.3	Sakini, Serae san Hakar mini ka kei kuri. Koanek kur out avong aro en out Kenan sua halualim (10).
GEN.16.15	Avati vahis muli, ka Hakar kur titan Ebram, ka kei ling isen ‘Ismael’ koa aneite teni vi ‘Ahi raengoni.’
GEN.16.16	En avong koanek, Ebram, sua onen vi hanumau ehat ka ahetai mun (86).
GEN.17.1	Navong Ebram, sua onen vesesal vatokol handred tai (99), Iahova kistal veni ka viteni mini vit, “!Inau, navi Ahi ten keihoen! Kilong kat nau ka lises kumon tounah koa mal en metok. 
GEN.17.2	Num ris 
GEN.17.3	Ebram malingling mini, nan rokol atan. Ka Ahi vit risi mini vit, 
GEN.17.4	“Inau namumon hatkatien koanek ral minuk: navat kati keke vatiamal keil onom imai ihi mari vangi meatin houlu. 
GEN.17.5	Sakini, isom hervitei mun ‘
GEN.17.6	Nisakin vatiamal keil koa ikistal ika enuk imai ihi mari kantri keil, ka keil koa imai ihi asuv houlu keil.”
GEN.17.9	Ka Ahi vit risi min Ebraham vit, “Hatkatien takeih onak, keik kusil kati, keik hetal min vatiamal onom keil koa ikatau enuk. 
GEN.17.10	Keik ka onom keil mihemaeni mivoumon vekahoi min ehon vasi keil onami.
GEN.17.11	Ekek, navong mihoumon vekahoi en ehon keil onami, hetie lati keke mimusil hatkatien takeih oralu. 
GEN.17.12	En avong keil koa hemai, koakeil en kami koa avi meahos iha en vekahoi navong avong one vi oulim (8). Slev onami keil koa mikuri en out sav ral min titae keil koa avasi en teim onami. 
GEN.17.13	Keil vasi iha en vekahoi. Mukonek, out koa amumon vekahoi eni en avemi hetie lati min meatin keil vasi keke mimusil kat hatkatien takeih onak koa reingeingeni vavus. 
GEN.17.14	Munak meatin etai hervatei en vekahoi, hervitei mun meatin tai onak, veni kei rolong kattei hatkatien takeih onak.”
GEN.17.15	Ka Ahi vit risi min Ebram vit, “Ahin onom, kirvisetei mun en ‘
GEN.17.16	Nitokol kati ka nimaeni hekur ehon tai onamil. Numoni hemai hehi mama ten mari vangi meatin keil ka asuv houlu emun keil ikistal rani.”
