GEN.1.2	E a terra era sem forma e vazia; e 
GEN.3.8	E ouviram a voz do Senhor Deus, que passeava no jardim pela viração do dia: e escondeu-se Adão e sua mulher da presença do Senhor Deus, entre as árvores do jardim. 
GEN.3.9	E chamou o Senhor Deus a Adão, e disse-lhe: Onde estás? 
GEN.3.10	E ele disse: Ouvi a tua voz soar no jardim, e temi, porque estava nu, e escondi-me. 
GEN.3.11	E Deus disse: Quem te mostrou que estavas nu? Comeste tu da árvore de que te ordenei que não comesses? 
GEN.3.12	Então disse Adão: A mulher que me deste por companheira, ela me deu da árvore, e comi. 
GEN.3.13	E disse o Senhor Deus à mulher: Por que fizeste isto? E disse a mulher: A serpente me enganou, e eu comi. 
GEN.3.14	Então o Senhor Deus disse à serpente: Porquanto fizeste isto, maldita 
GEN.3.15	E porei inimizade entre ti e a mulher, e entre a tua semente e a sua semente: esta te ferirá a cabeça, e tu lhe ferirás o calcanhar. 
GEN.3.16	E à mulher disse: Multiplicarei grandemente a tua dor, e a tua conceição; com dor terás filhos; e o teu desejo será para o teu marido, e ele te dominará. 
GEN.3.17	E a Adão disse: Porquanto deste ouvidos à voz da tua mulher, e comeste da árvore de que te ordenei, dizendo: Não comerás dela: maldita 
GEN.3.18	Espinhos, e cardos também, te produzirá; e comerás a erva do campo. 
GEN.3.19	No suor do teu rosto comerás o teu pão, até que te tornes à terra; porque dela foste tomado: porquanto és pó, e em pó te tornarás. 
GEN.3.20	E chamou Adão o nome da sua mulher, Eva; porquanto ela era a mãe de todos os viventes. 
GEN.3.21	E fez o Senhor Deus a Adão e a sua mulher túnicas de peles, e os vestiu. 
GEN.3.22	Então disse o Senhor Deus: Eis que o homem é como um de Nós, sabendo o bem e o mal; ora, pois, para que não estenda a sua mão, e tome, também, da árvore da vida, e coma e viva eternamente: 
GEN.3.23	O Senhor Deus, pois, o lançou fora do jardim do Éden, para lavrar a terra de que fora tomado. 
GEN.3.24	E havendo lançado fora o homem, pôs querubins ao oriente do jardim do Éden, e uma espada inflamada que andava ao redor, para guardar o caminho da árvore da vida.
GEN.4.1	E CONHECEU Adão a Eva, sua mulher, e ela concebeu e teve Caím, e disse: Alcancei do Senhor um varão. 
GEN.4.2	E teve mais o seu irmão Abel: e Abel foi pastor de ovelhas, e Caím foi lavrador da terra. 
GEN.4.3	E aconteceu, ao cabo de dias, que Caím trouxe, do fruto da terra, uma oferta ao Senhor. 
GEN.4.4	E Abel, também, trouxe dos primogénitos das suas ovelhas e da sua gordura: e atentou o Senhor para Abel e para a sua oferta, 
GEN.4.5	Mas para Caím e para a sua oferta não atentou. E irou-se Caím fortemente e descaiu-lhe o seu semblante. 
GEN.4.6	E o Senhor disse a Caím: Por que te iraste? E por que descaiu o teu semblante? 
GEN.4.7	Se bem fizeres, não haverá aceitação para ti? E, se não fizeres bem, o pecado jaz à porta, e para ti será o seu desejo, e sobre ele dominarás.
GEN.4.9	E disse o Senhor a Caím: Onde está Abel, teu irmão? E ele disse: Não sei: sou eu guardador do meu irmão? 
GEN.4.10	E disse Deus: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra. 
GEN.4.11	E agora, maldito 
GEN.4.12	Quando lavrares a terra, não te dará mais a sua força; fugitivo e vagabundo serás na terra. 
GEN.4.13	Então disse Caím ao Senhor: É maior a minha maldade que a que possa ser perdoada. 
GEN.4.14	Eis que hoje me lanças da face da terra, e da tua face me esconderei; e serei fugitivo e vagabundo na terra, e será que todo aquele que me achar me matará. 
GEN.4.15	O Senhor, porém, disse-lhe: Portanto, qualquer que matar Caím, sete vezes será castigado. E pôs o Senhor um sinal em Caím, para que o não ferisse qualquer que o achasse. 
GEN.4.16	E saiu Caím de diante da face do Senhor, e habitou na terra de Nod, da banda do oriente do Éden. 
GEN.4.17	E conheceu Caím a sua mulher, e ela concebeu, e teve a Henoch: e ele edificou uma cidade, e chamou o nome da cidade pelo nome do seu filho Henoch. 
GEN.4.18	E a Henoch nasceu Irad, e Irad gerou Meujael, e Meujael gerou Metusael, e Metusael gerou Lamech. 
GEN.4.19	E tomou Lamech para si duas mulheres: o nome de uma era Ada, e o nome da outra Zila. 
GEN.4.20	E Ada teve Jabal: este foi o pai dos que habitam em tendas, e 
GEN.4.21	E o nome do seu irmão era Jubal; este foi o pai de todos os que tocam harpa e órgão. 
GEN.4.22	E Zila também teve Tubalcaim, mestre de toda a obra de cobre e de ferro; e a irmã de Tubalcaim 
GEN.4.23	E disse Lamech às suas mulheres: Ada e Zila, ouvi a minha voz; vós, mulheres de Lamech, escutai o meu dito; porque eu matei um varão por me ferir, e um mancebo por me pisar. 
GEN.4.24	Porque sete vezes Caím será vingado; mas Lamech, setenta vezes sete. 
GEN.4.25	E tornou Adão a conhecer a sua mulher; e ela teve um filho, e chamou o seu nome Seth; porque, disse ela, Deus me deu outra semente, em lugar de Abel; porquanto Caím o matou. 
GEN.4.26	E a Seth mesmo, também, nasceu um filho; e chamou o seu nome Enos: então se começou a invocar o nome do Senhor.
GEN.5.2	Macho e fêmea os criou; e os abençoou, e chamou o seu nome Adão, no dia em que foram criados. 
GEN.5.3	E Adão viveu cento e trinta anos, e gerou um 
GEN.5.4	E foram os dias de Adão, depois que gerou Seth, oitocentos anos; e gerou filhos e filhas. 
GEN.5.5	E foram todos os dias que Adão viveu, novecentos e trinta anos; e morreu. 
GEN.5.6	E viveu Seth cento e cinco anos, e gerou Enos. 
GEN.5.7	E viveu Seth, depois que gerou Enos, oitocentos e sete anos, e gerou filhos e filhas. 
GEN.5.8	E foram todos os dias de Seth novecentos e doze anos; e morreu. 
GEN.5.9	E viveu Enos noventa anos; e gerou Cainan. 
GEN.5.10	E viveu Enos, depois que gerou Cainan, oitocentos e quinze anos; e gerou filhos e filhas. 
GEN.5.11	E foram todos os dias de Enos novecentos e cinco anos; e morreu. 
GEN.5.12	E viveu Cainan setenta anos; e gerou Maalalel. 
GEN.5.13	E viveu Cainan, depois que gerou Maalalel, oitocentos e quarenta anos; e gerou filhos e filhas. 
GEN.5.14	E foram todos os dias de Cainan novecentos e dez anos; e morreu. 
GEN.5.15	E viveu Maalalel sessenta e cinco anos; e gerou Jared. 
GEN.5.16	E viveu Maalalel, depois que gerou Jared, oitocentos e trinta anos; e gerou filhos e filhas. 
GEN.5.17	E foram todos os dias de Maalalel oitocentos e noventa e cinco anos; e morreu. 
GEN.5.18	E viveu Jared cento e sessenta e dois anos; e gerou Henoch. 
GEN.5.19	E viveu Jared, depois que gerou Henoch, oitocentos anos; e gerou filhos e filhas. 
GEN.5.20	E foram todos os dias de Jared novecentos e sessenta e dois anos; e morreu. 
GEN.5.21	E viveu Henoch sessenta e cinco anos; e gerou Metusala. 
GEN.5.22	E andou Henoch com Deus, depois que gerou Metusala, trezentos anos; e gerou filhos e filhas. 
GEN.5.23	E foram todos os dias de Henoch trezentos e sessenta e cinco anos. 
GEN.5.24	E andou Henoch com Deus; e não se viu 
GEN.5.25	E viveu Metusala cento e oitenta e sete anos; e gerou Lamech. 
GEN.5.26	E viveu Metusala, depois que gerou Lamech, setecentos e oitenta e dois anos; e gerou filhos e filhas. 
GEN.5.27	E foram todos os dias de Metusala novecentos e sessenta e nove anos; e morreu. 
GEN.5.28	E viveu Lamech cento e oitenta e dois anos; e gerou um filho. 
GEN.5.29	E chamou o seu nome Noé, dizendo: Este nos consolará acerca das nossas obras, e do trabalho das nossas mãos, por causa da terra que o Senhor amaldiçoou. 
GEN.5.30	E viveu Lamech, depois que gerou Noé, quinhentos e noventa e cinco anos; e gerou filhos e filhas. 
GEN.5.31	E foram todos os dias de Lamech setecentos e setenta e sete anos; e morreu. 
GEN.5.32	E era Noé da idade de quinhentos anos; e gerou Noé Sem, Cam, e Jafeth.
GEN.6.1	E ACONTECEU que, como os homens se começaram a multiplicar sobre a face da terra, e lhes nasceram filhas; 
GEN.6.2	Viram os filhos de Deus que as filhas dos homens eram formosas; e tomaram para si mulheres de todas as que escolheram. 
GEN.6.3	Então disse o Senhor: Não contenderá o meu Espírito para sempre com o homem; porque ele, também, 
GEN.6.4	Havia naqueles dias gigantes na terra; e também depois, quando os filhos de Deus entraram às filhas dos homens, e 
GEN.6.5	E viu o Senhor que a maldade do homem se multiplicara sobre a terra, e que toda a imaginação dos pensamentos do seu coração era só má continuamente. 
GEN.6.6	Então arrependeu-se o Senhor de haver feito o homem sobre a terra, e pesou-lhe em seu coração. 
GEN.6.7	E disse o Senhor: Destruirei, de sobre a face da terra, o homem que criei, desde o homem até ao animal, até ao réptil, e até à ave dos céus; porque me arrependo de os haver feito. 
GEN.6.8	Noé, porém, achou graça aos olhos do Senhor. 
GEN.6.9	Estas 
GEN.6.10	E gerou Noé três filhos: Sem, Cam e Jafeth. 
GEN.6.11	A terra, porém, estava corrompida diante da face de Deus: e encheu-se a terra de violência. 
GEN.6.12	E viu Deus a terra, e eis que estava corrompida; porque toda a carne havia corrompido o seu caminho sobre a terra.
GEN.6.13	Então disse Deus a Noé: O fim de toda a carne é vindo perante a minha face; porque a terra está cheia de violência; e eis que os desfarei com a terra. 
GEN.6.14	Faze para ti uma arca da madeira de Gofer: farás compartimentos na arca, e a betumarás, por dentro e por fora, com betume. 
GEN.6.15	E desta maneira a farás: De trezentos côvados o comprimento da arca, e de cinquenta côvados a sua largura, e de trinta côvados a sua altura. 
GEN.6.16	Farás na arca uma janela, e de um côvado a acabarás em cima; e a porta da arca porás ao seu lado; far-lhe-ás 
GEN.6.17	Porque eis que Eu trago um dilúvio de águas sobre a terra, para desfazer toda a carne em que 
GEN.6.18	Mas contigo estabelecerei o meu pacto; e entrarás na arca, tu e os teus filhos, e a tua mulher, e as mulheres dos teus filhos contigo. 
GEN.6.19	E de tudo o que vive, de toda a carne, dois de cada espécie, meterás na arca, para os conservares vivos contigo; macho e fêmea serão. 
GEN.6.20	Das aves, conforme a sua espécie, e dos animais, conforme a sua espécie, de todo o réptil da terra, conforme a sua espécie, dois de cada 
GEN.6.21	E tu, toma para ti de toda a comida que se come, e ajunta-a para ti; e te será para mantimento, para ti e para eles. 
GEN.6.22	Assim fez Noé: conforme a tudo o que Deus lhe mandou, assim o fez.
GEN.7.2	De todo o animal limpo tomarás para ti sete 
GEN.7.3	Também das aves dos céus sete 
GEN.7.4	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei, de sobre a face da terra, toda a substância que fiz. 
GEN.7.5	E fez Noé conforme a tudo o que o Senhor lhe ordenara. 
GEN.7.6	E 
GEN.7.7	E entrou Noé, e seus filhos, e sua mulher, e as mulheres dos seus filhos com ele na arca, por causa das águas do dilúvio. 
GEN.7.8	Dos animais limpos, e dos animais que não 
GEN.7.9	Entraram, de dois em dois, para Noé na arca, macho e fêmea, como Deus ordenara a Noé. 
GEN.7.10	E aconteceu que, passados sete dias, vieram sobre a terra as águas do dilúvio. 
GEN.7.11	No ano seiscentos da vida de Noé, no mês segundo, aos dezassete dias do mês, naquele mesmo dia, se romperam todas as fontes do grande abismo, e as janelas dos céus se abriram, 
GEN.7.12	E houve chuva sobre a terra quarenta dias e quarenta noites. 
GEN.7.13	E no mesmo dia, entrou Noé, e Sem, e Cam, e Jafeth, os filhos de Noé, como também a mulher de Noé, e as três mulheres dos seus filhos com ele na arca. 
GEN.7.14	Eles, e todo o animal, conforme a sua espécie, e todo o gado, conforme a sua espécie, e todo o réptil que se roja sobre a terra, conforme a sua espécie, e toda a ave, conforme a sua espécie, todo o pássaro de toda a qualidade, 
GEN.7.15	E de toda a carne, em que havia espírito de vida, entraram de dois em dois para Noé na arca. 
GEN.7.16	E os que entraram, macho e fêmea de toda a carne entraram, como Deus lhe tinha ordenado: e o Senhor o fechou por fora.
GEN.7.17	E esteve o dilúvio quarenta dias sobre a terra, e cresceram as águas, e levantaram a arca, e ela se elevou sobre a terra. 
GEN.7.18	E prevaleceram as águas, e cresceram grandemente sobre a terra; e a arca andava sobre as águas. 
GEN.7.19	E as águas prevaleceram excessivamente sobre a terra; e todos os altos montes que 
GEN.7.20	Quinze côvados acima prevaleceram as águas; e os montes foram cobertos. 
GEN.7.21	E expirou toda a carne que se movia sobre a terra, tanto de ave como de gado e de feras, e de todo o réptil que se roja sobre a terra, e todo o homem. 
GEN.7.22	Tudo o que 
GEN.7.23	Assim foi desfeita toda a substância que 
GEN.7.24	E prevaleceram as águas sobre a terra cento e cinquenta dias.
GEN.8.2	Cerraram-se, também, as fontes do abismo, e as janelas dos céus, e a chuva dos céus deteve-se. 
GEN.8.3	E as águas tornaram de sobre a terra continuamente, e ao cabo de cento e cinquenta dias as águas minguaram. 
GEN.8.4	E a arca repousou, no sétimo mês, no dia dezassete do mês, sobre os montes de Ararat. 
GEN.8.5	E foram as águas indo e minguando até ao décimo mês; no décimo mês, no primeiro dia do mês, apareceram os cumes dos montes. 
GEN.8.6	E aconteceu que, ao cabo de quarenta dias, abriu Noé a janela da arca que tinha feito.
GEN.8.7	E soltou um corvo, que saiu, indo e voltando, até que as águas se secaram de sobre a terra. 
GEN.8.8	Depois soltou uma pomba, a ver se as águas tinham minguado de sobre a face da terra. 
GEN.8.9	A pomba, porém, não achou repouso para a planta do seu pé, e voltou a ele para a arca; porque as águas 
GEN.8.10	E esperou ainda outros sete dias, e tornou a enviar a pomba fora da arca. 
GEN.8.11	E a pomba voltou a ele sobre a tarde; e eis, arrancada, uma folha de oliveira no seu bico; e conheceu Noé que as águas tinham minguado sobre a terra. 
GEN.8.12	Então esperou ainda outros sete dias; e enviou fora a pomba, mas não tornou mais a ele. 
GEN.8.13	E aconteceu 
GEN.8.14	E no segundo mês, aos vinte e sete dias do mês, a terra estava seca.
GEN.8.15	Então falou Deus a Noé, dizendo: 
GEN.8.16	Sai da arca, tu, e tua mulher, e teus filhos, e as mulheres de teus filhos contigo. 
GEN.8.17	Todo o animal que 
GEN.8.18	Então saiu Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele. 
GEN.8.19	Todo o animal, todo o réptil, e toda a ave, e tudo o que se move sobre a terra, conforme as suas famílias, saiu para fora da arca. 
GEN.8.20	E edificou Noé um altar ao Senhor; e tomou de todo o animal limpo, e de toda a ave limpa, e ofereceu holocaustos sobre o altar. 
GEN.8.21	E o Senhor cheirou o suave cheiro, e disse o Senhor em seu coração: Não tornarei mais a amaldiçoar a terra por causa do homem; porque a imaginação do coração do homem 
GEN.8.22	Enquanto a terra durar, sementeira e sega, e frio e calor, e verão e inverno, e dia e noite, não cessarão.
GEN.9.2	E será o vosso temor e o vosso pavor sobre todo o animal da terra, e sobre toda a ave dos céus; tudo o que se move sobre a terra, e todos os peixes do mar, na vossa mão são entregues. 
GEN.9.3	Tudo quanto se move, que é vivente, será para vosso mantimento; tudo vos tenho dado como a erva verde. 
GEN.9.4	A carne, porém, com sua vida, isto é, com seu sangue, não comereis. 
GEN.9.5	E, certamente, requererei o vosso sangue, o 
GEN.9.6	Quem derramar o sangue do homem, pelo homem o seu sangue será derramado; porque Deus fez o homem conforme à 
GEN.9.7	Mas vós, frutificai e multiplicai-vos; povoai abundantemente a terra, e multiplicai-vos nela. 
GEN.9.8	E falou Deus a Noé, e a seus filhos com ele, dizendo: 
GEN.9.9	E eu, eis que estabeleço o meu concerto convosco e com a vossa semente depois de vós, 
GEN.9.10	E com toda a alma vivente, que convosco está, de aves, de reses, e de todo o animal da terra convosco; desde todos que saíram da arca, até todo o animal da terra. 
GEN.9.11	E eu, convosco, estabeleço o meu concerto, que não será mais destruída toda a carne pelas águas do dilúvio; e que não haverá mais dilúvio, para destruir a terra. 
GEN.9.12	E disse Deus: Este 
GEN.9.13	O meu arco tenho posto na nuvem; este será por sinal do concerto entre mim e a terra. 
GEN.9.14	E acontecerá que, quando eu trouxer nuvens sobre a terra, aparecerá o arco nas nuvens. 
GEN.9.15	Então me lembrarei do meu concerto, que está entre mim e vós, e ainda toda a alma vivente de toda a carne; e as águas não se tornarão mais em dilúvio, para destruir toda a carne. 
GEN.9.16	E estará o arco nas nuvens, e eu o verei, para me lembrar do concerto eterno entre Deus e toda a alma vivente de toda a carne, que 
GEN.9.17	E disse Deus a Noé: Este é o sinal do concerto que tenho estabelecido entre mim e toda a carne, que 
GEN.9.18	E os filhos de Noé, que saíram da arca, foram Sem, e Cam, e Jafeth; e Cam 
GEN.9.19	Estes três 
GEN.9.20	E começou Noé a ser lavrador da terra, e plantou uma vinha. 
GEN.9.21	E bebeu do vinho, e embebedou-se; e descobriu-se, no meio de sua tenda. 
GEN.9.22	E viu Cam, o pai de Canaan, a nudez do seu pai, e fê-lo saber a ambos seus irmãos fora. 
GEN.9.23	Então tomaram Sem e Jafeth uma capa, e puseram-na sobre ambos os seus ombros, e indo, virados para trás, cobriram a nudez do seu pai, e os seus rostos eram virados, de maneira que não viram a nudez do seu pai. 
GEN.9.24	E despertou Noé do seu vinho, e soube o que seu filho menor lhe fizera. 
GEN.9.25	E disse: Maldito seja Canaan; servo dos servos seja aos seus irmãos. 
GEN.9.26	E disse: Bendito seja o Senhor Deus de Sem; e seja-lhe Canaan por servo. 
GEN.9.27	Alargue Deus a Jafeth, e habite nas tendas de Sem; e seja-lhe Canaan por servo. 
GEN.9.28	E viveu Noé, depois do dilúvio, trezentos e cinquenta anos. 
GEN.9.29	E foram todos os dias de Noé novecentos e cinquenta anos, e morreu.
GEN.10.2	Os filhos de Jafeth, 
GEN.10.3	E os filhos de Gomer, 
GEN.10.4	E os filhos de Javan, 
GEN.10.5	Por estes, foram repartidas as ilhas das nações nas suas terras, cada qual segundo a sua língua, segundo as suas famílias, entre as suas nações. 
GEN.10.6	E os filhos de Cam, 
GEN.10.7	E os filhos de Cush, 
GEN.10.8	E Cush gerou Nimrod; este começou a ser poderoso na terra. 
GEN.10.9	E este foi poderoso caçador diante da face do Senhor; pelo que se diz: Como Nimrod, poderoso caçador diante do Senhor. 
GEN.10.10	E o princípio do seu reino foi Babel, Erech, Acad e Calne, na terra de Sinear. 
GEN.10.11	Desta mesma terra, saiu à Assíria e edificou Nínive, Reoboth-Ir e Calah, 
GEN.10.12	E Resen, entre Nínive e Calah (esta é a grande cidade). 
GEN.10.13	E Mizraim gerou Ludim, Anamim, Leabim, Naftuim, 
GEN.10.14	Patrusim, Casiushim, (donde saíram os filisteus) e Caftorim. 
GEN.10.15	Canaan gerou Sidon, seu primogénito, e Heth, 
GEN.10.16	E o jebuseu, o amorreu, o girgaseu, 
GEN.10.17	E o heveu, o arqueu, o sineu, 
GEN.10.18	E o arvadeu, o zemareu e o amateu, e depois se espalharam as famílias dos cananeus. 
GEN.10.19	E foi o termo dos cananeus desde Sidon, indo para Gerar, até Gaza; indo para Sodoma, e Gomorra, e Afama, e Zeboim, até Lasha. 
GEN.10.20	Estes são os filhos de Cam, segundo as suas famílias, segundo as suas línguas, nas suas terras, nas suas nações. 
GEN.10.21	E a Sem nasceram 
GEN.10.22	Os filhos de Sem 
GEN.10.23	E os filhos de Aram 
GEN.10.24	E Arfachad gerou Sela; e Sela gerou Eber. 
GEN.10.25	E a Eber nasceram dois filhos: o nome de um 
GEN.10.26	E Joctan gerou Almodad, Shelef, Azarmaveth, Jera; 
GEN.10.27	Adoram, Uzal, Dicla; 
GEN.10.28	Obal, Abimael, Seba; 
GEN.10.29	Ofir, Avila e Jobab: todos estes foram filhos de Joctan. 
GEN.10.30	E foi a sua habitação desde Mesha, indo para Sefar, montanha do oriente. 
GEN.10.31	Estes 
GEN.10.32	Estas são as famílias dos filhos de Noé, segundo as suas gerações, nas suas nações: e destes foram divididas as nações na terra, depois do dilúvio.
GEN.11.1	E ERA toda a terra de uma mesma língua e de uma mesma fala. 
GEN.11.2	E aconteceu que, partindo eles do oriente, acharam um vale, na terra de Sinear; e habitaram ali. 
GEN.11.3	E disseram uns aos outros: Eia, façamos tijolos, e queimemo-los bem. E foi-lhes o tijolo por pedra, e o betume por cal. 
GEN.11.4	E disseram: Eia, edifiquemos nós uma cidade e uma torre, cujo cume toque nos céus, e façamo-nos um nome, para que não sejamos espalhados sobre a face de toda a terra. 
GEN.11.5	Então desceu o Senhor, para ver a cidade e a torre que os filhos dos homens edificavam; 
GEN.11.6	E disse: Eis que o povo é um, e todos têm uma mesma língua; e isto é o que começam a fazer; e agora, não haverá restrição para tudo o que eles intentarem fazer.
GEN.11.8	Assim o Senhor os espalhou dali, sobre a face de toda a terra; e cessaram de edificar a cidade. 
GEN.11.9	Por isso, se chamou o seu nome Babel, porquanto ali confundiu o Senhor a língua de toda a terra, e dali os espalhou o Senhor sobre a face de toda a terra. 
GEN.11.10	Estas são as gerações de Sem: Sem era da idade de cem anos, e gerou Arfachad, dois anos depois do dilúvio. 
GEN.11.11	E viveu Sem, depois que gerou Arfachad, quinhentos anos; e gerou filhos e filhas. 
GEN.11.12	E viveu Arfachad trinta e cinco anos, e gerou Sela. 
GEN.11.13	E viveu Arfachad, depois que gerou Sela, quatrocentos e três anos; e gerou filhos e filhas. 
GEN.11.14	E viveu Sela trinta anos, e gerou Eber; 
GEN.11.15	E viveu Sela, depois que gerou Eber, quatrocentos e três anos, e gerou filhos e filhas. 
GEN.11.16	E viveu Eber trinta e quatro anos, e gerou Peleg; 
GEN.11.17	E viveu Eber, depois que gerou Peleg, quatrocentos e trinta anos, e gerou filhos e filhas. 
GEN.11.18	E viveu Peleg trinta anos, e gerou Reú. 
GEN.11.19	E viveu Peleg, depois que gerou Reú, duzentos e nove anos, e gerou filhos e filhas. 
GEN.11.20	E viveu Reú trinta e dois anos, e gerou Serug; 
GEN.11.21	E viveu Reú, depois que gerou Serug, duzentos e sete anos, e gerou filhos e filhas. 
GEN.11.22	E viveu Serug trinta anos, e gerou Nacor; 
GEN.11.23	E viveu Serug, depois que gerou Nacor, duzentos anos, e gerou filhos e filhas. 
