GEN.1.1	Kitu inanggayát na, ay pinarsuwa ne Dios ya lángit se iya kalawagán. 
GEN.3.14	Ay díkod nán ne APU Dios kitu idaw,
GEN.3.14	“Gapu ta kinuwa mu idi,
GEN.3.14	ay mapánis ka. Kakal-kalakkán ka kadaya ngámin ulolag ga áyam se kadaya ngámin na alsádu.
GEN.3.14	Ata manggayát kídi, ay ya sinay mu ya panalen mu;
GEN.3.14	Ay melubulubu ki lusà daya kanan mu panda kiya agbiyág mu.
GEN.3.15	Manggayát kídi ay pagkalingáan takayu se iya babay. Ay ummán pe kadaya annánà nu wa duwa. Palpálan na ya an-anà na ya úlum, ay tugkawwan mu ya túmang na,” nán na.
GEN.3.16	Ay nán ne Apu Dios kitu babay,
GEN.3.16	“Gapu kiya kinuwám, ay paaduwan ku daya rígát mu kiya kabùsit mu, ay se pagbalinan ku ka natakit ya aggan-anà mu. Ay oray nu mapakuna, ay masápul mu pikam mala ya amminya naya atáwam, ay se iturayán naka pe.”
GEN.3.17	Ay nán ne APU Dios kitu Adan,
GEN.3.17	“Gapu ta nekurug mu ya atáwam, ay se ka nga nangán pe kitu búnga natu káyu wa akkan ku pakkán kadakayu, ay pagdakean ku ya lusà. Manggayát kídi panda kiya agbiyág mu, ay magrig-rígát ka pikam ma magkuwa kiya lusà se mu la nga mapowad ya kanan mu. 
GEN.3.18	Ay tumúbu pe daya kaddat ta narasi se nabúdu. Ay oray nu mapakuna, ay daya imúlam ya paggalakkán mu ka kanan mu. 
GEN.3.19	Magpakarígát ka pikam ma magkuwa se mu la nga mapowad ya kanan mu. Ummán kiyán nin ya agbiyág nu panda kiya katay nu nga ittu yanin ya aggulli nu kiya lusà a naggayatán nu. Ata nàwa kayu ka lusà. Ay díkod lusà pe ya tungpál nu kammin,” nán ne Apu Dios.
GEN.3.20	Ay nengagánan tu Adan ka Eva tu atáwa na. (Ya sarut nayán na ngágan, ay biyág). Ata aggína ya bíláng ina daya ngámin na tolay oray ka wàna. 
GEN.3.21	Ay pinangwa ne APU Dios de Adan na magatáwa ka kawas da nga lálat nga ittu tu pinagbádu da ngin.
GEN.3.22	Ay se yala nga nán ne APU Dios, “Kídi yin, ay nagbalin daya tolay ka ummán kadàtada, ta ammu da ngin ya napiya se nadakè. Nadà-dakè nu rán dala nga mangán pe kitu búnga natu káyu wa mamagbiyág ka áwan panda, áta akkan da ngin mataatay,” nán na. 
GEN.3.23	Ay tútu pinatálaw ne APU Dios da kitu kamulán ka Eden, se na pinapan ne Adan na magkuwa kiya lusà nga ittu ya naggayatán na kampela ngin nin. 
GEN.3.24	Pinatálaw nada, ay se yala nangippáy ka isa kadaya kangatuwán na ilángit kitu pane lattakán natu kamulán. Ay uwad pe ya nippáy na nga miwas-wasáwas nga maggilagiláb ba apuy nga sinan ispáda nga ittu tu magbantáy kitu káyu wa mamagbiyág ka áwan panda.
GEN.4.1	Ay díkod din nagallay de Adan se Eva nga magatáwa. Nabùsit se nagan-anà e Eva ka isa nga laláki. Ay nengágan na ka Cain. Ay nán na, “Nagan-anà à ka laláki gapu kiya nesisseng ne Apu kiyà,” nán na. 
GEN.4.2	Ay se yala nagan-anà manin ka isa nga laláki. Ay nepangágan na ka Abel. Ay díkod atán na wagi tu Cain nin. Kane umabay da nga duwa, ay tu Abel tu maragtarakan kadatu karneru da. Ay tu Cain tu magtal-tálun. 
GEN.4.3	Ay kane din na mabà-bayág, ay nangidátun tu Cain ke APU kitu ápit na kitu tálun na. 
GEN.4.4	Ay ummán pe kitu Abel. Nagparti kadatu nunna nga annánà datu tarakan na nga karneru. Ay piníli na datu kapíyán na lápi, ay ittu datun datu nedátun na ke APU Dios. Ay naganggam me APU Dios kitu nedátun tu Abel. 
GEN.4.5	Ngamay akkan na nga pinagan-anu tu nedátun tu Cain. Ay tútu nalùsaw pànang tu Cain. Melalásin nala kitu singan na. 
GEN.4.6	Ay tútu kinuna ne APU kitu Cain, “Tura ka nga malùsaw ta? Ay se tura ka pe nalom-lomád? 
GEN.4.7	Wayya taka la nga di pàgan nu ya napiya ya kinuwám! Ay nu akkan napiya daya kuk-kuwaan mu, ay tagay ka tutu wala makabásul lin, ay meparò ka magbásul lin nu kuwa. Ngamay masápul la pàkadan mu yán,” nán na.
GEN.4.8	Ay tu Cain, ay inayabán na tu Abel la wagi na nga mawe kitu tal-tálun. Ay kane atán da ngin kitu tal-tálun, ay inámang tu Cain tu Abel, ay napatay na. 
GEN.4.9	Ay tútu nán ne APU kitu Cain, “Ka wàna giyán ne Abel nga wagi mu?” nán na. Ay nán tu Cain na sumungbát, “Mai! Wayya ngala nga iyà ya magtag-tagasíngan kaggína!” nán na. 
GEN.4.10	Ay tútu, “Nágan naya kinuwám kitu wagim ta?” nán ne APU. “Ya dága na ki lusà ya mangipakammu kiya kinuwám kaggína. Ummán ka makap-apáuy nga makiseng kiyà nga bumálat,” nán na. 
GEN.4.11	“Ay gapu kiyán na kinuwám, ay áwan mu málaálà ki lusà nga ittu ya nanglassap kitu dága natu wagi mu nga pinatay mu. 
GEN.4.12	Ay oray nu magkuwa ka, ay áwan mu wayya nga maap-ápit. Ay magal-aliwagwag ka pe yin na áwan pagag-agyanán,” nán ne APU Dios kitu Cain. 
GEN.4.13	Ay nán tu Cain ke APU, “Akkan ku meturad idi ya pannakapánis ku gapu kitu nàwà, áta nadammat pànang. 
GEN.4.14	Pagtaláwan nà kídi ya lusà, ay meadayyu wà pe yin kikaw. Magal-aliwagwag gà in, ay áwan ku pe pagyanán. Ay patayan dà daya makasingan kiyà,” nán na. 
GEN.4.15	Ay tútu nán ne Apu Dios kaggína, “Akkan. Ta nu atán mamatay kikaw, ay mamin-pittu ya dammat naya kapánis na,” nán na. Ay díkod, uwad nippáy ne Apu Dios nga tagematun na kitu Cain, ta senu akkan patayan daya makasingan kaggína. 
GEN.4.16	Ay díkod nagtálaw tu Cain ki àráng ne Apu Dios se yala nagyán ka Nod
GEN.4.17	Ay nangatáwa tu Cain kitúni, ay se da nagan-anà ka isa nga laláki. Ay nepangágan da ka Enoc. Nangwa pe tu Cain ka íli kitúni, se nepangágan na pe ka Enoc. 
GEN.4.18	Tu Enoc, ay pútut na tu Irad, ay tu Irad, ay pútut na tu Mehujael. Tu Mehujael, ay pútut na tu Metusael. Ay ya pútut tu Metusael ay tu Lamec. 
GEN.4.19	Ay tu Lamec nangatáwa ka duwa. Tu Ada se tu Zilla. 
GEN.4.20	Tu Ada ay neanà na tu Jabal. Ay idi ya Jabal, aggína ya makin-pútut kadatu maragtarakan kadaya báka. Ay baw-bawi pe yala tu nag-agyanán da. 
GEN.4.21	Ay tu Jabal ay atán wagi na nga Jubal. Aggína tu bátug apuapu datu marammalíing se datu maggitarra. 
GEN.4.22	Ngamay tu Zilla, ay nagan-anà pe ka laláki, ay nepangágan na ka Tubal-Cain. Aggína tu nunna nga maragbattál kadaya aruminta nga balayyáng se bága. Ay uwad pe ya wagi tu Tubal-Cain na babay, ay nepangágan da ka Naama.
GEN.4.23	Ay isa nga algaw, nán tu Lamec kadatu attáwa na,
GEN.4.23	“Gìnán dà, dakayu Ada se Zilla. Dakayu wa duwa nga attáwà, gìnán nu ya kagiyan ku: Uwad pinatay ku nga laláki ta tinalíngu nà. Sinúlung nà yán na bag-bagu. 
GEN.4.24	Ay nu mamin-pittu ya bálat kiya pumatay ke Cain, ay mamin-pittu púlu se pittu ya bálat kiya pumatay kiyà.”
GEN.4.25	Ay nagan-anà manin pe de Adan se tu Eva. Nagan-anà da ka laláki, ay nepangágan da ka Set (ay ya sarut nayán, ay nidde). Ata nán tu Eva nga niddán ne Apu Dios manin ka isa nga an-anà a kasukát tu Abel ta pinatay lugud tu Cain. 
GEN.4.26	Nangatáwa tu Set, ay se nagan-anà da pe ka isa nga laláki. Ay nepangágan da ka Enos. Ay kitun na al-algaw pe yin tu inanggayát datu tolay ya magday-dáyaw ke Dios.
GEN.5.1+GEN.5.2	Ay kitu inamarsuwa ne Dios ki tolay, ay kinuwa na ka ummán kaggína. Laláki se babay datu tolay ya kinuwa na. Binindisiyonán nada ay se nengagánan nada ka Tolay kitu namarsuwa na kaggída. Ay tu idi ya lista datu gakagaka natu Adan.
GEN.5.3	Ay kitu magatut se tallu púlu dagun tu Adan nin, ay nakapútut ka isa nga laláki nga kamur-murangán na kam. Nepangágan na ka Set. 
GEN.5.4	Nanggayát kitu nekeanà natu Set, ay walu gatut ta dagun pikam tu inagbiyág natu Adan. Uwad da pikam duddúma nga pútut na. 
GEN.5.5	Ay díkod, ya dágup natu dagun natu Adan, ay siyám gatut se tallu púlu se la nga natay.
GEN.5.6	Ay kane magatut se limma dagun tu Set tin, ay neanà tu pútut na nga Enos. 
GEN.5.7	Nanggayát kitu nekeanà natu Enos, nagbiyág tu Set ka walu gatut se pittu dagun. Uwad pikam pe datu duddúma nga pútut na. 
GEN.5.8	Ay díkod, ya dágup natu dagun natu Set, ay siyám gatut se sangapúlu se duwa dagun se yala nga natay.
GEN.5.9	Ay kane siyám púlu dagun tu Enos sin, ay neanà tu an-anà na nga Kenan. 
GEN.5.10	Ay nanggayát kitu nekeanà tu Kenan, ay nagbiyág pikam tu Enos ka walu gatut se sangapúlu se limma dagun. Ay uwad da pikam sabáli nga pútut na. 
GEN.5.11	Ay díkod, ya dágup natu dagun natu Enos, ay siyám gatut se limma se la nga natay.
GEN.5.12	Ay kane pittu púlu dagun tu Kenan nin, ay neanà tu Mahalalel nga pútut na. 
GEN.5.13	Ay nanggayát kitu nekeanà tu Mahalalel, ay nagbiyág pikam tu Kenan ka walu gatut se appát púlu dagun. Uwad da pikam pe sabáli nga annánà na. 
GEN.5.14	Ay díkod, ya dágup tu dagun na inagbiyág tu Kenan, ay siyám gatut se sangapúlu se la nga natay.
GEN.5.15	Ay kane annam púlu se limma dagun tu Mahalalel lin, ay neanà tu Jared nga pútut na. 
GEN.5.16	Nanggayát kitu nekeanà natu Jared, ay nagbiyág pikam tu Mahalalel ka walu gatut se tallu púlu dagun. Ay uwad da pikam pe sabáli nga pútut na. 
GEN.5.17	Ay díkod, ya dágup natu dagun tu Mahalalel, ay walu gatut se siyám púlu se limma se la nga natay.
GEN.5.18	Ay kane magatut se annam púlu se duwa dagun tu Jared din, ay neanà tu Enoc nga pútut na. 
GEN.5.19	Nanggayát kitu nekeanà tu Enoc, ay nagbiyág pikam tu Jared ka walu gatut dagun. Ay uwad da pikam pe sabáli nga pútut na. 
GEN.5.20	Ay díkod, ya dágup tu dagun tu Jared ay siyám gatut se annam púlu se duwa dagun, ay se yala nga natay.
GEN.5.21	Ay kane annam púlu se limma dagun tu Enoc kin, ay neanà tu Metusela nga pútut na. 
GEN.5.22	Nanggayát kitu nekeanà tu Metusela, ay nagbiyág pikam tu Enoc kídi kalawagán ka tallu gatut ta dagun. Uwad da pikam pe sabáli nga pútut na. Ay kadatun na dagudagun, ay nebul-bulun peyapeyang ke Dios. 
GEN.5.23	Ay díkod, ya dágup datu dagudagun na kaatán tu Enoc kídi kalawagán ay tallu gatut se annam púlu se limma dagun. 
GEN.5.24	Ay se yala nga umawan, áta inalà ne Dios ka lángit nga sibbibiyág.
GEN.5.25	Ay kane magatut se walu púlu se pittu dagun tu Metusela ngin, ay neanà tu Lamec nga pútut na. 
GEN.5.26	Nanggayát kitu nekeanà tu Lamec, ay nagbiyág pikam tu Metusela ka pittu gatut se walu púlu se duwa nga dagun. Ay uwad da pikam pe sabáli nga pútut na. 
GEN.5.27	Ay díkod, ya dágup natu dagun tu Metusela ay siyám gatut se annam púlu se siyám, ay se la nga natay.
GEN.5.28	Ay kane magatut se walu púlu se duwa dagun tu Lamec kin, ay nakapútut ka isa nga laláki. 
GEN.5.29	Ay nepangágan na ka Noa.
GEN.5.30	Nanggayát kitu nekeanà tu Noa, ay nagbiyág pikam tu Lamec ka limma gatut se siyám púlu se limma nga dagun. Ay uwad pikam pe datu duddúma nga pútut na. 
GEN.5.31	Ay díkod, ya dágup natu dagun tu Lamec ay pittu gatut se pittu púlu se pittu dagun, ay se la nga natay.
GEN.5.32	Ay kane limma gatut dagun tu Noa ngin, ay nagpútut ka tallu nga lalláki: de Sem, tu Ham, se tu Jafet.
GEN.6.1	Ay kane umadu datu tolay kídi ya kalawagán, ay ummadu pe datu babbay. 
GEN.6.2	Ay datu pasúrut ne Dios, ay nasingan da nga napiya datu babbay.
GEN.6.3	Ay tútu nán ne APU, “Ya Ispiritù, ay akkan mabalin na magyán peyapeyang kadaya tolay. Ata tolay da ngala. Pumanda ya agbiyág da ki unag magatut se duwa púlu dagun nala,” nán na. 
GEN.6.4	Ay kitun kam ma al-algaw, ay uwad pe yin datu nagdin-dinnámag ga rungat, ay se dadakkal tutu wala pe nga tolay, nga ittu datu nagtálaw nga pasúrut ne Dios. Ay inatawán da datu babbay kídi kalawagán, ay nagannánà da. Ay ittu datu nagdin-dinnámag pe nga mengal kitun.
GEN.6.5	Ay kane umadu win datu tolay kid kalawagán ni, ay adu tutu wala datu nadakè a kuk-kuwaan da pe. Ngámin na lam-lammat da, ay pabeg nadakè peyapeyang. Ay kane masingan ne APU Dios idi, ay 
GEN.6.6	nakappoli kitu namarsuwa na ki tolay. Nagpannakit pànang tu uray na. 
GEN.6.7	Ay tútu nán ne APU, “Rapúnan ku dedi ya tolay nga pinarsuwà. Ay oray pe daya ngámin na ulolag, se daya ngámin na kumar-káray ki lusà, ay se daya ngámin na an-anù. Nakappoli yà a namarsuwa kaggída,” nán na. 
GEN.6.8	Ngamay pinatag ne APU tu Noa nga pútut tu Lamec.
GEN.6.9	Tu Noa ay namáru nga tolay. Awan na nga kuk-kuwaan na nadakè. Sur-surútan na peyang daya piyán ne Dios.
GEN.6.9	Tu idi ya gin-ginnápuwán na. Tallu datu pútut na nga pabeg lalláki: 
GEN.6.10	tu Sem, se tu Ham, se tu Jafet.
GEN.6.11	Ay nagbalin ka nadakè tutu wala ki àráng ne Dios ya kuk-kuwaan datu tolay kídi kalawagán. Pabeg nadakè ya mà-màwa ki ngámin giyán kídi ya kalawagán. 
GEN.6.12	Ummán kiyán tu nasingan ne Dios sa kinadakè datu tolay kitun. Dummakè da ngin, ta kuwaan da ngin datu akkan rumbang.
