MAT.1.1	Jézi Kwi sé désandan Wa David épi désandan Abrahanm. Mi non jennenwasyonʼy:
MAT.1.20	An jou òswè paditan Jozèf té ka konsidiwé sa, an nanj Bondyé vin palé ba li adan an wèv. I diʼy, “Jozèf, désandan Wa David, ou pa bizwen pè mayé Mari paski ti manmay-la i ni an boudenʼy-lan, i la pa pouvwa Lèspwi Bondyé. 
MAT.1.21	Mari kay fè an ti gason, ou kay bay nonʼy Jézi,
MAT.1.22	Épi tout sa Bondyé té fè pwòfèt-la di-a vin fèt vwé. I té di, 
MAT.1.23	“An fi kay vini gwo bouden épi i kay fè an ti gason épi yo kay kwiyéʼy Imannyouwèl” — sa vlé di, “Bondyé épi nou.”
MAT.1.24	Lè Jozèf lévé, i fè sa nanj-lan diʼy fè-a. I pwan Mari épi i mayéʼy, 
MAT.1.25	mé i pa té kouché épiʼy avan ti gason-an té fèt, épi Jozèf bay non gason-an Jézi.
MAT.2.1	Apwé Jézi té fèt an Bèfléyenm, yonn an sé vilaj-la ki an Joudiya-a tan Hèròd té wa, an konpanni nonm ki té ka li étwal sòti adan plas sòlèy lévan-an. Yo wivé an vil Jérouzalèm 
MAT.2.2	épi yo mandé, “Koté ti manmay-la ki fèt-la ki ni pou vini wa sé Jwif-la? Nou wè étwal li an syèl-la épi nou ja vini pou adowéʼy.”
MAT.2.3	Lè Wa Hèròd tann sa, i té kontwayé épi i té twakasé an chay, épi jan Jérouzalèm té twakasé tou. 
MAT.2.4	I voyé kwiyé sé chèf pwèt-la épi sé titja lwa sé Jwif-la, épi i mandé yo, “Ki koté ti manmay sala sipozé fèt, Mèsaya-a, wa-a Bondyé té pwonmèt pou voyé-a?”
MAT.2.5	Yo diʼy, “Sé an Bèfléyenm, an vilaj ki an Joudiya, paski mi sa Bondyé té fè pwòfèt-la ékwi, i di,
MAT.2.6	‘Bèfléyenm sé yonn an sé pli enpòtan vil-la anpami sé vil Jouda-a,
MAT.2.6	paski sé an vil sala wa-a kay sòti
MAT.2.6	ki kay kondwi sé moun mwen-an, Izwayèl.’ ”
MAT.2.7	Kon sa Hèròd voyé kwiyé sé nonm-lan an sigwé, épi i mandé yo ègzaktiman ki lè yo wè étwal-la pawèt. 
MAT.2.8	Lè sala Hèròd voyé sé nonm-lan alé Bèfléyenm épi i di yo, “Alé chaché pou ti manmay-la byen, épi lè zòt jwenn li, vin di mwen pou mwen menm alé adowéʼy tou.”
MAT.2.9+MAT.2.10	Lè Hèròd fin palé ba yo, sé nonm-lan pati. Menm étwal-la yo té wè an plas yo-a, sé menm étwal sala yo wè douvan yo, épi yo té kontan an chay. Yo swiv étwal-la, épi étwal-la kondwi yo dwèt asou kay-la koté ti manmay-la té yé-a, èk i doubout anlè kay-la.
MAT.2.11	Lè yo antwé andidan-an, yo wè ti manmay-la épi manmanʼy, Mari. Yo ajounou épi yo adowéʼy. Yo ouvè sak yo épi yo ba li kado ki chè — yo ba li lò, frankinsens épi lanmi.
MAT.2.12	Bondyé palé bay sé nonm-lan adan on wèv épi i di yo pou pa viwé ay di Hèròd yo jwenn ti manmay-la. Kon sa sé nonm-lan pasé adan an lòt chimen épi yo alé lakay yo.
MAT.2.13	Apwé sé nonm-lan alé, on nanj Bondyé pawèt douvan Jozèf adan on wèv. I diʼy, “Pwan ti manmay-la épi manmanʼy èk ay wèsté Éjip tout tan mwen pa diʼw pou kité, paski Hèròd ka gadé pou ti manmay-la pouʼy sa tjwéʼy.”
MAT.2.14	Jozèf lévé menm swè-a, i pwan ti manmay-la épi manman-an épi i alé Éjip, 
MAT.2.15	èk i wèsté la pou jis tan Hèròd mò. Sa Bondyé té di pa pwòfèt-la vini fèt vwé. I di, “Mwen kwiyé gason mwen sòti Éjip.”
MAT.2.16	Lè Hèròd wè sé nonm sòlèy lévan-an té kwennenʼy, i té faché an chay. I di sòldaʼy alé an vil Bèfléyenm épi an tout plas ki oliwonʼy épi tjwé tout ti gason ki dé lanné an désandan. I katjilé sé apipwé menm kantité tan sala i ni dépi sé nonm-lan té pwèmyé wè étwal-la pou vin apwézan.
MAT.2.17	Épi tout sa pwòfèt Jérémaya té di-a vin fèt vwé. I di,
MAT.2.18	“Yo tann an gwo kwi ka fèt an Ranma,
MAT.2.18	i té ni an pil pléwé la.
MAT.2.18	Sété Rétjèl ki té ka pléwé bay ich li
MAT.2.18	paski yo tjwé tout,
MAT.2.18	épi i pa té vlé pyèsonn konsoléʼy.”
MAT.2.19	Apwé Hèròd mò, on nanj Bondyé palé bay Jozèf adan an wèv paditan i té Éjip. 
MAT.2.20	I diʼy, “Lévé, pwan ti manmay-la èk manmanʼy épi déviwé an péyi Izwayèl, paski sé moun-an ki té ka gadé pou tjwé ti manmay-la ja mò.” 
MAT.2.21	La menm Jozèf lévé, i pwan ti manmay-la èk manmanʼy épi i déviwé an péyi Izwayèl.
MAT.2.22	Mé lè i tann sé Akélòs ki wiplasé papaʼy Hèròd kon wa Joudiya, Jozèf té pè alé la. Bondyé palé ba li adan an wèv épi i diʼy ki sa pou fè. 
MAT.2.23	Jozèf vin alé adan an vil yo ka kwiyé Nazawèt an Galili épi i fè kay li la. Sé pwòfèt-la té di, “Yo kay kwiyéʼy an Nazawiyen.” Sé kon sa sa yo té di-a vin fèt vwé.
MAT.3.1	Tibwen tan apwé sa, Jan Batis, nonm-lan ki té ka batizé sé moun-an, alé an hòtè an Joudiya épi i koumansé pwéché. 
MAT.3.2	I di, “Tounen hòd péché zòt, paski Bondyé ka vini touswit pou kondwi sé moun li-an.”
MAT.3.3	Sé konsèné Jan Batis pwòfèt Izaya té ka palé lè i té di,
MAT.3.3	“Vwa on nonm ka kwiyé byen lwen an hòtè, i ka di,
MAT.3.3	‘Pwépawé chimen-an bay Senyè-a,
MAT.3.3	fè twas ki dwèt pouʼy sa pasé.’ ”
MAT.3.4	Had Jan Batis té fèt épi pwèl kanmèl, épi i té ni an sanng tjwi an wenʼy, épi i té ka manjé kwitjèt épi siwo myèl.
MAT.3.5	Moun sòti an vil Jérouzalèm épi an tout ti kòt ki an Joudiya épi tout plas ki oliwon Lawivyè Jouden-an pou yo ay kouté Jan Batis. 
MAT.3.6	Yo konfésé péché yo épi Jan Batis batizé yo an Lawivyè Jouden-an.
MAT.3.7	Mé lè Jan Batis wè an pil Fawizyen épi Sadisyen ka vini kotéʼy pouʼy batizé yo, i di yo, “Débann sèpan kon zòt yé! Ès ou kwè lè ou vini pou mwen batizéʼw, ou kay chapé anba pinisyon-an Bondyé kay bay sé moun-an ki mové-a? 
MAT.3.8	Viv adan an mannyè pou moun wè ou ja tounen hòd movèztéʼw. 
MAT.3.9	Épi pa kwè paski ou ka di ou sé désandan Abrahanm, sa kay chapéʼw anba pinisyon-an. Mwen ka diʼw, Bondyé sa pwan sé wòch sala épi fè yo vini ich Abrahanm pou wiplaséʼw. 
MAT.3.10	Bondyé ja tou pawé pou jijé moun, menm kon an hach ki tou pawé pou koupé sé pyé bwa-a an chous yo. Tout pyé bwa ki pa ka pòté bon fwi kay koupé épi jété an difé-a.
MAT.3.11	“Mwen batizéʼw épi dlo pou moutwé ou ja tounen hòd péchéʼw, mé moun-an ki kay vini apwé mwen-an ni pli pouvwa pasé mwen. Mwen pa menm vo pou pòté soulyéʼy. I kay batizéʼw épi Lèspwi Bondyé épi difé. 
MAT.3.12	I ni bésin li an lanmenʼy épi i pawé pou vanné gwenn-an. Épi i kay mété sé gwenn-an i vanné-a an kay li, mé i kay bwilé sé pay-la adan an difé ki pa kay janmen tenn.”
MAT.3.13	An tan sala Jézi sòti an Galili épi i alé bò Lawivyè Jouden-an pou Jan Batis té batizéʼy. 
MAT.3.14	Lè i wivé la, Jan Batis diʼy, “Pouki pouʼw mandé mwen pou batizéʼw? Sé ou ki sipozé batizé mwen.”
MAT.3.15	Mé Jézi diʼy, “Kitéʼy fèt kon sa kou sala, paski i bon pou nou fè tout sa Bondyé mandé.” Lè i di sa, Jan Batis dakò pou batizéʼy.
MAT.3.16	Kon Jan Batis fin batizé Jézi, Jézi sòti an dlo-a, i wè syèl-la ouvè épi Lèspwi Bondyé désann kon yon toutwèl épi pozé asouʼy. 
MAT.3.17	Épi an vwa an syèl-la di, “Sa sé Gason mwen. Pa dé enmen mwen enmenʼy, épi mwen byen plè épiʼy.”
MAT.4.1	Apwé sa, Lèspwi Bondyé mennen Jézi an hòtè pou Denmou té tantéʼy. 
MAT.4.2	Apwé i té wèsté la pou kawant (40) jou épi kawant swè san manjé, i té fen. 
MAT.4.3	Épi Denmou vini, i diʼy, “Ou sé Gason Bondyé, kouman. Ében, fè sé wòch sala tounen pen.”
MAT.4.4	Mé Jézi wéponn èk i diʼy, “Lévanjil-la di, ‘Sé pa manjé tousèl nonm bizwen pou yo viv, mé yo bizwen obéyi tout pawòl ki sòti an bouch Bondyé.’ ”
MAT.4.5	Apwé sa, Denmou mennen Jézi an Jérouzalèm, vil-la ki pou Bondyé yonn-an, épi i mennenʼy koté-a ki té pli ho asou tèt Kay Bondyé-a. 
MAT.4.6	Épi i di Jézi, “Ou sé Gason Bondyé, kouman. Ében, jété kòʼw atè paski lévanjil-la di,
MAT.4.6	‘Bondyé kay konmandé sé nanj li-a pou yo véyéʼw.
MAT.4.6	Yo kay pòtéʼw an lanmen yo,
MAT.4.6	épi pa menm pyéʼw yo kay kité konyen asou an wòch.’ ”
MAT.4.7	Mé Jézi diʼy, “Lévanjil-la di osi, ‘Ou pa ni pou éséyé pou gadé sa Bondyé di i kay fè-a, si i kay fèʼy vwé.’ ”
MAT.4.8	Lè sala Denmou mennen Jézi asou an tèt mòn ki ho an chay épi i moutwéʼy tout wéyòm ki an latè-a épi wichès yo. 
MAT.4.9	I diʼy, “Mwen kay baʼw tout sa si ou ajounou épi adowé mwen.”
MAT.4.10	Jézi diʼy, “Alé, sòt isi-a, Satan! Lévanjil-la di, ‘Sé Bondyé Senyè-a an moun ni pou adowé épi sé li yonn ou ni pou sèvi.’ ”
MAT.4.11	Lè Jézi diʼy sa, Denmou kitéʼy, épi nanj vini otjipé Jézi.
MAT.4.12	Lè Jézi tann yo té mété Jan Batis an pwizon, i witounen Galili, 
MAT.4.13	mé lè i wivé la, i pa wèsté Nazawèt. I alé wèsté Kapènéyòm, an vil ki bò Lanmè Galili-a, an bòn Zèbyoulonn épi Naftali. 
MAT.4.14	Sa fèt pou fè sa pwòfèt Izaya té di-a vini vwé. I di,
MAT.4.15	“Sé moun-an ki ka wèsté an tè Zèbyoulonn épi tè Naftali-a,
MAT.4.15	asou chimen-an ki ka alé bò lanmè-a, bò Lawivyè Jouden-an,
MAT.4.15	an plas Galili koté ki ni an chay moun ki pa Jwif ka wèsté-a —
MAT.4.16	sé moun sala té ka viv an nwèsè,
MAT.4.16	mé atjwèlman yo ka wè an gwan klèté.
MAT.4.16	Yo té ka viv an lavi péché ki kay fè yo péwi pou tout tan,
MAT.4.16	mé atjwèlman yo kon moun ki ka wè an bèl klèté.”
MAT.4.17	Dépi menm tan sala, Jézi té koumansé pwéché, i di, “Tounen hòd péché zòt, paski Bondyé ka vini touswit pou kondwi sé moun li-an.”
MAT.4.18	Lè Jézi té ka pasé bò Lanmè Galili-a, i wè dé nonm, Simon, yo té ka kwiyé Pita, épi fwèʼy Androu. Yo té ka voyé lèpèvyé yo an lanmè-a, paski yo sété péchè. 
MAT.4.19	Jézi di yo, “Swiv mwen épi mwen kay fè zòt péché lézòm pito.” 
MAT.4.20	Menm lè-a yo kité lèpèvyé yo épi yo pati épi Jézi.
MAT.4.21	Lè Jézi wivé pli douvan, i wè dé lézòt fwè, Jémz épi Jan, épi papa yo Zèbèdi. Yo té adan kannòt yo ka koud senn. I kwiyé sé fwè-a épi i di yo vin swiv li, 
MAT.4.22	épi la menm yo kité kannòt-la èk papa yo épi yo pati alé épi Jézi.
MAT.4.23	Jézi pasé an tout Galili, ka enstwi an légliz sé Jwif-la, épi i té ka di Bon Nouvèl-la ki Bondyé ka vini touswit pou kondwi sé moun li-an. Épi i djéwi tout sòt kalité maladi sé moun-an té ni. 
MAT.4.24	Moun pòté nouvèl-la jis an Siriya, épi yo mennen moun ki té ni tout sòt kalité maladi, moun ki té ni vyé lèspwi, sa ki té ni malkadi ka pwan yo, sa ki té enfim, épi Jézi djéwi yo tout. 
MAT.4.25	An gwan popilas moun swiv li sòti Galili épi an Dis Vil-la épi vil Jérouzalèm épi Joudiya épi plas-la ki lòt bò Lawivyè Jouden-an.
MAT.5.1	Lè Jézi wè tout sé moun sala, i mouté asou an mòn épi i asid èk disip li oliwonʼy, 
MAT.5.2	épi i koumansé enstwi yo. I di yo,
MAT.5.3	“Pa dé bon i bon pou moun ki sav yo bizwen Bondyé,
MAT.5.3	paski Bondyé ka kondwi yo èk tout pwonmèt li sé sa yo.
MAT.5.4	Pa dé bon i bon pou moun ki an lapenn,
MAT.5.4	paski Bondyé kay konfòté yo.
MAT.5.5	Pa dé bon i bon pou moun ki abésé kò yo douvan Bondyé,
MAT.5.5	paski yo kay éwityé tout sa Bondyé ja pwonmèt.
MAT.5.6	Pa dé bon i bon pou moun ki anvi fè sa ki dwèt,
MAT.5.6	paski Bondyé kay plen tjè yo èk bontéʼy.
MAT.5.7	Pa dé bon i bon pou moun ki ni konpasyon asou lézòt moun,
MAT.5.7	paski Bondyé kay ni konpasyon asou yo tou.
MAT.5.8	Pa dé bon i bon pou moun ki ni tjè nèt,
MAT.5.8	paski yo kay wè Bondyé.
MAT.5.9	Pa dé bon i bon pou moun ki ka twavay pou fè moun viv an lapé èk yonn èk lòt,
MAT.5.9	paski Bondyé kay di, ‘Ou sé ich mwen.’
MAT.5.10	Pa dé bon i bon pou moun ki ka jwenn pèsikasyon paski yo ka viv dwèt.
MAT.5.10	Bondyé ka kondwi yo épi tout pwonmèt li sé sa yo.
MAT.5.11	“Pa dé bon i bon pou ou lè moun ka ensiltéʼw épi ka pèsikitéʼw épi ka manti anlèʼw pou lapéti mwen. 
MAT.5.12	Sé kon sa yo té pèsikité sé pwòfèt-la ki té avanʼw-lan. Sé pouʼw kontan épi wéjwi, paski Bondyé ni péyimanʼw an syèl ka tjenbé baʼw.”
MAT.5.13	Jézi di sé disip-la, “Ou sé menm kon sèl pou lézòm. Mé si sèl-la ja pèd sistans li, la pa ni pyès mannyè i sa ni gou ankò. Ou pa sa sèviʼy pou anyen pasé jété dèwò, épi moun kay maché anlèʼy.
MAT.5.14	“Ou sé menm kon an klèté pou lézòm. An vil ki bati anlè tèt an mòn pa sa séwé. 
MAT.5.15	Ni pyèsonn pa ka limen an lanp épi séwéʼy anba an bonm, mé ou kay météʼy asou tab-la, épi tout andidan kay-la kay jwenn klèté. 
MAT.5.16	Sé menm mannyè épi laviʼw. Sé pouʼw viv an mannyè pou tout moun wè sé bon twavay-la ou ka fè-a, épi yo kay onnowé Papaʼw Bondyé ki an syèl.”
MAT.5.17	Jézi di, “Pa kwè mwen vini pou détwi sé lwa-a Bondyé té bay Moziz-la ében sa sé pwòfèt-la té ékwi an lévanjil-la. Mwen pa vini pou détwi yo, mé mwen vini pou moutwé sa yo vlé di pou vwé. 
MAT.5.18	Sa mwen ka diʼw-la sé lavéwité: Anyen pa kay sòti an lwa-a tout tan la ni syèl épi latè. Pa pli piti ti pwen-an ni dènyé ti détay-la kay sòti an lwa-a pou jis tan tout sa i di ki kay fèt-la fèt vwé. 
MAT.5.19	Ében, népòt moun ki pa obéyi pli piti-a an konmandman-an épi ka moutwé lézòt moun pou pa obéyiʼy tou, sé li ki kay mwens enpòtan anpami sé moun-an Bondyé ka kondwi-a. Mé okontwè, moun-an ki obéyi konmandman-an épi i moutwé lézòt moun pou yo obéyiʼy tou, sé li ki kay pli enpòtan anpami sé moun-an Bondyé ka kondwi-a. 
MAT.5.20	Ében mwen ka vètiʼw, si tjèʼw pa pli dwèt pasé tjè sé titja lwa-a épi sé Fawizyen-an, si ou pa fè tout sa Bondyé konmandé, ou pa kay sé yonn anpami sé moun-an Bondyé ka kondwi-a.”
MAT.5.21	Jézi di, “Ou konnèt yo té ka di sé moun nou-an an tan lontan, ‘Pa tjwé, épi népòt moun ki tjwé, yo kay mennenʼy lodyans.’ 
MAT.5.22	Ében atjwèlman mwen menm ka diʼw, si an fwè faché épi an lòt fwè, yo kay piniʼy pou sa. Si yon fwè kwiyé an lòt ‘Kochonni!’ yo kay jijéʼy douvan gwan konsèy sé Jwif-la, épi si yon fwè kwiyé an lòt ‘Kouyon!’ i an chimen pou bwilé an difé lanfè.
MAT.5.23	“Ében, si lè ou alé ofè kadoʼw bay Bondyé asou lotèl-la ou chonjé fwèʼw ni an chiz kont ou, 
MAT.5.24	kité kado-a bò lotèl-la épi alé wanjé zafèʼw épi fwèʼw. Épi apwé, viwé ay ofè kadoʼw bay Bondyé.
MAT.5.25	“Si an moun pòté plent kont ou, sé pouʼw pwan wanjman épiʼy avan jou lodyans-lan, paski si ou kité jou sala wivé, lè i mennenʼw lodyans, sé douvan jij-la ou kay yé, épi jij-la kay ladjéʼw an lanmen polis, épi yo kay météʼw lajòl. 
MAT.5.26	Ében mwen ka diʼw, ou kay ni pou wèsté la pou jis tan ou péyé dènyé ti dé sou ou ka dwé.
MAT.5.27	“Ou konnèt yo té ka di sé moun nou-an an tan lontan, ‘Pa fè adiltè,’ 
MAT.5.28	mé atjwèlman mwen menm ka diʼw, si ou gadé an madanm épi ou anvi kouché épiʼy, ou ja fè adiltè dépi tan an tjèʼw. 
MAT.5.29	Kon sa si zyé dwèt ou ka annékòz ou fè péché, tiwéʼy épi jétéʼy! I pli mèyè pouʼw pèdi zyéʼw pasé tout kòʼw alé lanfè. 
MAT.5.30	Si lanmen dwèt ou ka annékòz ou fè péché, koupéʼy épi jétéʼy! I pli mèyè pouʼw pèdi on lanmen pasé tout kòʼw alé lanfè.
MAT.5.31	“Yo té ka di ankò, népòt nonm ki dévosé madanm li té ni pou bay madanm li an lèt pou moutwé yo ja dévosé, 
MAT.5.32	mé atjwèlman mwen menm ka diʼw, si an nonm dévosé madanm li pou pyès lòt wézon apa di si madanm-lan fè adiltè, nonm sala ka annékòz madanm-lan fè adiltè, épi nonm-lan ki mayé épiʼy-la ka fè adiltè tou.
MAT.5.33	“Ou konnèt ankò yo té ka di sé moun nou-an an tan lontan, ‘Si ou sèwmanté douvan Bondyé pouʼw fè on bagay, sé pouʼw fèʼy vwé.’ 
MAT.5.34	Mé atjwèlman mwen menm ka diʼw, pa fè pyès sèman. Pa sèwmanté asou syèl-la, paski syèl-la sé koté Bondyé ka asid. 
MAT.5.35	Pa sèwmanté pa latè-a, paski latè-a sé koté Bondyé ka pozé pyéʼy. Épi pa sèwmanté pa Jérouzalèm, paski Jérouzalèm sé vil Bondyé, gwan wa-a. 
MAT.5.36	Pa menm fè sèman asou tèt ou nonplis, paski chivé-a ou ni an tèt ou-a, ou pa sa fè pyès vini blan ni viwé nwè. 
MAT.5.37	Lè ou kay fè on bagay, annèk di ‘Wi’ ében ‘Non.’ Pyès lòt bagay ou di ka sòti pa Satan.”
MAT.5.38	Jézi di ankò, “Ou konnèt yo té ka di sé moun nou-an, ‘An zyé pou an zyé, an dan pou an dan.’ 
MAT.5.39	Mé atjwèlman mwen menm ka diʼw, pa pwan wivanj asou moun ki fèʼw mal. Si an moun baʼw an souflé asou fasad fidji dwèt-la, tounen lòt fasad-la ba li tou. 
MAT.5.40	Épi si an moun mennenʼw lodyans pou chimiz-la ou ni anlèʼw-la, ba li kanmizòl ou tou. 
MAT.5.41	Si an moun fòséʼw pòté chay li yon lyé, pòtéʼy dé lyé ba li. 
MAT.5.42	Si an moun mandéʼw an bagay, pa wifizé ba liʼy, épi si i mandéʼw pwétéʼy an bagay, pwétéʼy li.
MAT.5.43	“Ou konnèt yo té ka di, ‘Enmen janʼw épi hayi lèlmiʼw.’ 
MAT.5.44	Mé atjwèlman mwen menm ka diʼw, enmen lèlmiʼw épi pwédyé bay sé moun-an ki ka maltwétéʼw-la 
MAT.5.45	pouʼw sa vini gason Papaʼw Bondyé ki an syèl, paski i ka fè sòlèy li kléwé asou ni bon ni mové, épi i ka voyé lapli asou ni bon ni mové. 
MAT.5.46	Ou pa sipozé èspéyé pouʼw jwenn péyiman an lanmen Bondyé si ou enmen janʼw tousèl. Jis sé bòbòlis-la ki ka anmasé taks-la ki ka fè sa. 
MAT.5.47	Épi si ou palé bay janʼw tousèl, ou ka fè menm kon lézòt moun ka fè. Ki péyiman ou méwité pou sa? Jis moun ki pa ka kwè an Bondyé ki ka fè sa. 
MAT.5.48	Sé pouʼw pawfé menm kon Papaʼw Bondyé ki an syèl pawfé.
MAT.6.1	“Pwan pokosyon pou pa fè bon twavay ou an piblik, pou moun wè ki sa ou ka fè. Si ou fè sa, ou pa kay jwenn pyès péyiman an lanmen Papaʼw Bondyé ki an syèl.
MAT.6.2	“Pou wézon sala, lè ou ka fè chawité, pa fèʼy pou tout moun wè, kon sé ipokwit-la ka fè an légliz sé Jwif-la épi asou lawi-a. Mwen ka asiwéʼw yo ja jwenn tout péyiman yo paski yo ka fè sa pou moun sa di ki kantité bon yo bon. 
MAT.6.3	Mé lè ou ka édé an moun ki maléwé, fèʼy adan an mannyè pou pa menm pli bon kanmawad ou konnèt. 
MAT.6.4	Kon sa kado-a ou bay-la kay wèsté an sigwé, épi Papaʼw Bondyé kay péyéʼw paski i ka wè tout sa ou fè an sigwé.
MAT.6.5	“Lè ou ka pwédyé, pa fè kon sé ipokwit-la. Yo enmen doubout èk pwédyé an légliz sé Jwif-la épi an lawi-a pou tout moun sa wè yo. Mwen ka asiwéʼw, yo ja jwenn péyiman yo. 
MAT.6.6	Mé lè ou ka pwédyé, antwé an chanm ou, fèmé lapòt-la, épi pwédyé bay Papaʼw Bondyé pyèsonn pa ka wè-a. Épi Bondyé ki ka wè tout sa ou fè an sigwé kay baʼw péyiman pou sa.
MAT.6.7	“Lè ou ka pwédyé, pa bat bouch ou ennitil kon sé moun-an ki pa konnèt Bondyé-a. Yo kwè yo kay wisivwè sa yo mandé paski yo ka pwédyé lonng. 
MAT.6.8	Pa pwédyé kon yo paski Papaʼw Bondyé ja konnèt tout sa ou bizwen avan ou mandéʼy.
MAT.6.9	“Mi kalité lapwiyè-a pouʼw pwédyé:
MAT.6.9	‘Papa nou ki an syèl,
MAT.6.9	nou ka pwédyé pou tout moun onnowéʼw kon Bondyé.
MAT.6.10	Nou ka pwédyé pou tout moun vini anba kondwit ou,
MAT.6.10	épi pou tout moun obéyiʼw asou latè-a
MAT.6.10	menm kon tout sa ki an syèl ka obéyiʼw.
MAT.6.11	Ban nou jòdi-a manjé-a nou bizwen-an.
MAT.6.12	Pawdonnen nou péché nou
MAT.6.12	menm kon nou ka pawdonnen moun ki fè nou mové.
MAT.6.13	Pa kité nou tonbé anba tantasyon,
MAT.6.13	mé délivwé nou anba lanmen Denmou-an.’
MAT.6.14	Si ou pawdonnen moun ki fèʼw mové, Papaʼw Bondyé ki an syèl kay pawdonnen péchéʼw tou. 
MAT.6.15	Mé si ou wifizé pawdonnen moun-an ki fèʼw mové-a, Papaʼw Bondyé kay wifizé pawdonnen péchéʼw tou.
MAT.6.16	“Lè ou ka wèsté san manjé pouʼw adowé Bondyé, pa fè fidjiʼw lonng kon sé ipokwit-la ka fè. Yo ka fè kò yo gadé sonm pou moun sa wè yo ka wèsté san manjé. Mwen ka asiwéʼw, yo ja jwenn péyiman yo. 
MAT.6.17	Mé lè ou ka wèsté san manjé, lavé fidjiʼw épi byen penyen chivéʼw 
MAT.6.18	pou moun pa sav ou ka wèsté san manjé. Mé Papaʼw Bondyé pyèsonn pa ka wè-a, sé li yonn ki kay sav. Épi sé li ki ka wè tout sa ki ka fèt an sigwé, épi i kay baʼw péyimanʼw.
MAT.6.19	“Pa sové tout wichès ou asou latè-a koté wavèt pé manjéʼy épi lawouj pé pwanʼy, koté vòlè sa kasé kay ou pou vòlèʼy. 
MAT.6.20	Mé mété wichès ou an syèl koté wavèt épi lawouj pa sa jwenn li, épi koté vòlè pa sa kasé pou vòlèʼy, 
MAT.6.21	paski koté wichès ou yé, sé la tjèʼw kay yé tou.
MAT.6.22	“Zyéʼw sé menm kon klèté pou kòʼw. Si zyéʼw bon, tout kòʼw kay an klèté, 
MAT.6.23	mé si zyéʼw pa bon, tout kòʼw kay an nwèsè. Si klèté-a ki andidanʼw-lan sé nwèsè, sé pa ti nwèsè ki andidanʼw!
MAT.6.24	“Pyès moun pa sa an sèvant pou dé diféwan mèt. Swé i hayi yonn épi kontan lòt-la, ében i kay ni pou ladjé yonn épi tjenbé lòt-la. Ou pa sa an sèvant pou Bondyé épi an sèvant pou lajan an menm di tan-an.
