MAT.1.1	Ɛnjɔ́ɔ cɛ ɔbɔ́ta ú *Yésus *Kilís, *Ɔɔ́nɔ́ u Táfit, a wáŋa ɔɔ́nɔ́ u *Abɛ́laham : 
MAT.3.14	Sáaŋ ŋe bísúŋúnyíki, mbá ɔsɛ né Yésus : « Yaŋɔ́, yámɛ́ nyɛmána wu ɔfaaya nɔ́ɔ́wɔ anyía óo mi ootine ; mbá anyána kuɔŋɔ́ ɔ́ mɔ́ kɔ́ɔ fáaya náámɛ o okobíótíne e ? » 
MAT.3.15	Mbá Yésus ɔsɛ nááyá : « Nyɛána bú á bɛ́kɛ́láka aámbáya aáná, anyía tú ŋa sɔ́ nyɛ́mána onyíóyísíkínyi bɛsana háyɛ Bandɔ́mɛsɛ́ ŋaá báta. » Sáaŋ ŋá báka lúmitine. 
MAT.3.16	Hú ayɛ́ u ŋo yóótíne Yésus, Yésus ŋá háma e menyífé ; a yaátɛ́ ekúlú eéyé, Ɔmuaná ŋeé bíhúúné. Nyɛlɛca eényí Elilé yɛ́ Bandɔ́mɛsɛ́ á sɔ́ɔ́náka nááyá i ihúényínyí ci hibúbé. 
MAT.3.17	Okelú ŋaá lɔ́kɔ́mána ú húlúkúne ɔ Ɔmuaná, ú kɔɔnaka ɔ́sɛ : « Ooci áŋa uumi ɔɔ́nɔ́ u ɔtɛ́má, ya mɛ́ŋa ne obíléne weéŋí nááyá. »
MAT.4.1	E elime eécí, *Efúúménénú yí Elilé ŋaá cɔ́bána Yésus i iisí cɛ ɔsɛ́bɛ́á anyía Musɔ́mɛ́na é wuúci kɔkɔ́náka. 
MAT.4.2	Ɛ́makɛ́la wéé límékíne mɔɔ́sɛ́ etíne éfendí, u tɛ nyíá ta bɔkɔ, ɛcaná ŋé wuúci nuakɛ́na. 
MAT.4.3	Mɔkɔkɔna baacɔ ŋá faaya aáyá a maabána, mbá ɔsɛ nááyá : « Mbɔ́kɔ asɛ ɔ ɔ́ŋa Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́, laána andányɛ́ eece cá bɛ́cáŋáka biléti. »
MAT.4.4	Mbá Yésus ɔsɛ : « Ɔɔcɔ ti ŋéé líhe hú na bɛnyɛ́ma bɛ́ ɔnyíá biíbi ne biíbi, mbá u ŋeé líhe tɔ́na ne mehúnyi mekime a má ŋá háma e nyuúté nyɛ́ Bandɔ́mɛsɛ́. »
MAT.4.5	Ekúlú eéyé, Musɔ́mɛ́na ŋeé wuúci súéténé eé Yelúsalɛm, efúúménénú yɛ́ bálɛ́ka ; u ŋé wuúci béétísi ɔ ɔkaka ú *Ciíbe cɛ Bandɔ́mɛsɛ́, 
MAT.4.6	mbá ɔsɛ nááyá : « Mbɔ́kɔ asɛ ɔ ɔ́ŋa Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́, cimé ɔ ɔmɛsɛ́, anyía Ciɔɔ́ŋɛ́ cɛ́ Bandɔ́mɛsɛ́ ŋa kɔ́ɔna cɛ́sɛ : “Bandɔ́mɛsɛ́ kéé yíínjíékíne bíáyɛ́ *bililé bɛ́ masɔ́ma makɛ́nda a yɔ́ɔ́wɔ asana, bɛ́ɔ́ kuɔŋɔ́ bɛ́túáhákɛ́na a cáábɔ́ aabá anyía úúwu ɔkɔlɔ́ ti kúféténe a nyɛndányɛ́.”
MAT.4.7	Mbá Yésus ɔsɛ : « Ciɔɔ́ŋɛ́ cɛ́ Bandɔ́mɛsɛ́ ŋa kɔ́ɔna tɔ́na cɛ́sɛ : “Atɛ kɔkɔ́náka Otéŋí a Waáŋá, ciɔwɔ Bandɔ́mɛsɛ́.”
MAT.4.8	Musɔ́mɛ́na ŋé túné wuúci súéténe a acahacaha yɛ́ nɔkɔndɔ ɔ ɔmuaná ; u ŋé wuúci tóŋgínyi na mɔnɔŋɔ mekime ma ɔmɛsɛ́, na núábɔ́ nɔhɛka nukime. 
MAT.4.9	Mbá ɔsɛ nááyá : « I ŋe mí o wiínjíékíne bɛnyɛ́ma eébí bikime, mbɔ́kɔ o ŋóo mi túmíne eŋéndu o o mi nyemi. » 
MAT.4.10	Mbá Yésus ɔsɛ : « Hatɔ́na eémi eé buúse, *Sátan, anyía Ciɔɔ́ŋɛ́ cɛ́ Bandɔ́mɛsɛ́ ŋa kɔ́ɔna cɛ́sɛ : “Nyémíki Otéŋí a Waáŋá, ciɔwɔ Bandɔ́mɛsɛ́, mbá é wuúci nyiɔkɛna buólí hú wááyá bímuócí.”
MAT.4.11	Musɔ́mɛ́na ŋé wuúci nyɛána. Bililé bɛ́ masɔ́ma bɛ́ Bandɔ́mɛsɛ́ nyɛfaakɔna eényí a maabána me Yésus o o wuúci sókóbi.
MAT.4.12	Ɛ́makɛ́la Yésus á lɔ́kɔ́má anyía bá ma hátɛna Sáaŋ, bó wuúci háya eé ciíbe cɛ ɛcaná, u ŋá hálɔ́mɔ́na a *Kalilé. 
MAT.4.13	U ti ómó ko límine a *Násalɛt, mbá u ŋge límékíne a Kabɛlnawum
MAT.4.14	Bú ŋaá bɛ́kɛ́láka aáná anyía mehúnyi eeme me *muhémúnyi bɛsana *Ɛsayí é bínyióyísínyi : 
MAT.4.15	« Iisí cɛ Sabulɔŋ, iisí cɛ Nafɛtali, a aháŋá yɛ́ nuɔmɔ́ e ecinyíé caányɛ́ cɛ Sulutɛ́ŋ, Kalilé cɛ baacɔ bá mɔnɔŋɔ me etémbí ; 
MAT.4.16	bunɔŋɔ bɔ́ baacɔ a bá ŋa bɔ́ bá bébú líhéke i ibíne noómi káá lɛ́caka yaandándá yí eese. Aáná eese káá nɔ́makɛna baacɔ eébé a bá ŋa bɔ́ bá i ibíne noómi cɛ bunɔŋɔ bú biwéewé. »
MAT.4.17	E ekúlú eéyé Yésus ŋeé túme o húle hulinyi baacɔ Ambányɛ yɛ́ Ɛsɔ́ma, u kɔɔnaka ɔsɛ : « Ánɔ bɛ́kákálákɛ́na máánɔ́ maabɛ́, mbá nɔ sɔ́mba ɔkɔlɔ́ eé meéme, anyía Bandɔ́mɛsɛ́ a yáaŋa hoóhi ne otéŋgínyi baacɔ ! »
MAT.4.18	Búmɔtɛ́ buɔ́sɛ́, Yésus ŋaá bá a asálá yɛ́ nuɔmɔ́ nɔ́ *Kalilé. U ŋá lɛcá benyíinyí béfendí : Ne Símon awɔ́ bá ŋaá lɔá nyiínyi anyía Bíel, ne onyíinyí *Andɛlɛ́ ; bábɔ́ áahakɛna mɔhɔ́tɔ́ aá nuɔmɔ́ noómi, anyía bá ŋa bɔ́ bá belumbelumbe. 
MAT.4.19	Mbá ɔsɛ náábɔ́ : « Ánɔ mɛ látákɛ́na, mbá ɛ ká mɛ́ banɔ́ céŋisiki be-mi-súéne baacɔ. » 
MAT.4.20	Hí a yaátɛ́ ekúlú, bá ŋá bɛ́yúátáka ɔbɛ́yúátáka máábɔ́ mɔhɔ́tɔ́, bé ŋé wuúci látákɛ́na. 
MAT.4.21	U ŋa cɔ́bɛ́tɛ́ta ne buúse, yó túné lɛca nyɛ́mɔtɛ́ nyiinyí : Na Sáak na Sáaŋ, baáná bé Sebeté ; beébe a yáábɔ́ ɔkɔkɔ́ noómi na cíábɔ́ síkíne, bábɔ́ tábɔ́náka máábɔ́ mɔhɔ́tɔ́. Yésus ŋé beébe lɔ́ŋɛ́ta. 
MAT.4.22	Hí a yaátɛ́ ekúlú, bífendí bɛ́ baacɔ eébé ŋá bɛ́yúátáká na yáábɔ́ ɔkɔkɔ́ na ciabɔ́ síkíne, nyɛlátákɛ́na Yésus eényí. 
MAT.4.23	Yésus ŋaá bá u húle á kándaka i iisí cɛ Kalilé ikime ; wé éékúnyíki a *bɛndaŋía bɛ́ ɔbɛ́cɔ́kɔ́lɛ́na bí *Besuif bí iisí ikime eécí, u hulikinyi baacɔ Ambányɛ yɛ́ Ɛsɔ́ma yí *Butéŋí bɔ́ Ɔmuaná, we ééŋúnyísíki tɔ́na baacɔ ne cííbú ɛkɔnɔ ikime na bíábɔ́ bɛfɛ́kɛ́ bikime. 
MAT.4.24	Bá ŋaá bá bé yóómísíki nyíáyɛ́ nyiínyi a bunɔŋɔ bukime bú Silíi
MAT.4.25	Bitúte bɛ́ baacɔ ɔmbana weéŋí ŋaá bá bíé wuúci látáka ; bí húlúkúne na a Kalilé, ne i iisí cɛ Tɛkabólo
MAT.5.1	Ɛ́makɛ́la Yésus á lɛ́cáka baacɔ eébé, u ŋá báátáka a nɔkɔndɔ ɔ ɔmuaná. U ŋé limíne ɔ ɔmɛsɛ́ o o beébe éékúnyi, aáná bááyɛ́ *baákɔ́nɛ́na ŋe bú bíséŋélíti ne wuúci. 
MAT.5.2	U ŋé túme oweékúnyi baacɔ :
MAT.5.3	« Bɔmbányɛ ná baacɔ abá Bandɔ́mɛsɛ́ ŋeé beébe hámɛ́na ɔ ɔtɛ́má, anyía *Butéŋí bɔ́ Ɔmuaná áŋa búábɔ́.
MAT.5.4	Bɔmbányɛ ná baacɔ a bá ŋa bɔ́ lɛ́la aámbáya, anyía Bandɔ́mɛsɛ́ kéé beébe hélúmúkúnyi ɛtɛ́má a tɔɔna.
MAT.5.5	Bɔmbányɛ ná baacɔ a bá bɔ́ŋa na ɛtɛ́má isiotóto, anyía Bandɔ́mɛsɛ́ kéé beébe iínjíé ɔmɛsɛ́ ewú u ŋeé beébe bɛ́tánɛ́na.
MAT.5.6	Bɔmbányɛ ná baacɔ ebé olíhe háyɛ Bandɔ́mɛsɛ́ ŋa yáamba ŋeé beébe hámɛ́na ɔ ɔtɛ́má noómi buéŋí, anyía Bandɔ́mɛsɛ́ kéé beébe iínjíékíne makɛ́nda ma ɔkɛlaka aáná.
MAT.5.7	Bɔmbányɛ ná baacɔ a bá ŋa bɔ́ bɛ́cáma bɔsɔ́ɔ́kɔ́ mahana, anyía Bandɔ́mɛsɛ́ kéé beébe bɛ́cámáka mahana tɔ́na.
MAT.5.8	Bɔmbányɛ ná baacɔ a bá bɔ́ŋa na ɔtɛ́má ofúúménénú, anyía bá ká bɔ́ lɛ́caka Bandɔ́mɛsɛ́.
MAT.5.9	Bɔmbányɛ ná baacɔ a bá ŋa bɔ́ áamba ɔháya mbuumu aabɔ́ a maabána, anyía Bandɔ́mɛsɛ́ kéé beébe lɔ́á nyiínyi anyía bááyɛ́ baáná.
MAT.5.10	Bɔmbányɛ ná baacɔ ebé bé ŋe tékéseke anyía bá ŋa bɔ́ kɛla bɛsana abɛ́ Bandɔ́mɛsɛ́ ŋeé léne ; Butéŋí bɔ́ Ɔmuaná áŋa búábɔ́.
