EXO.20.3	Mandi shom teero tatcho Doovel. Kek komeni Doovel
LUK.14.21	Palla doova o bootsiengro welassa (viás) ta sikadás kater Iesko Rei dula kola. Ta kanna o Shorokno-pardal-o­-kair shoondás, yov sas hoïno, ta pendás kater o bootsiengro, “Jal avrí sig adré o bauré-gavesti-dromaw, ta adré o bitté­-gavesti-dromaw, ta and adré kova tan dula mooshaw ta joovel
LUK.14.22	Ta o bootsiengro kedás ajáw, ta yov wel
LUK.14.23	Ta o Rei pendás kater o bootsiengro, “Jal avrí ta dik adré o bauré dromaw, ta talé o boryaw, ta kair lendi wel adré, sar meero kair 
LUK.14.24	Mandi pookerova tumendi kek nanéi dula gairé so sas poochlé holessa (holenna) yek koosi meero hoben.”
LUK.15.11	Yekorus yek gairo sas dooï chavé. 
LUK.15.12	Ta o tamodaír pendás kater Iesko dad. “Dad! Dé­ mandi o kotor 
LUK.15.13	Ta, kek dósta divusáw palla, o tamodaír chavo chidás sor ketané ta yov liás Iesko drom adré dooro tem, ta odoi yov nashedás sor Iesko kola 'dré wáfedo jivoben. 
LUK.15.14	Ta kanna yov nashedás sor, odói sas bauro bokaloben adré doova tern ta yov viás te kom kumeni te hol. 
LUK.15.15	Ta yov ghiás ta pandás lesti kokero kater gavengro 
LUK.15.16	Ta komessa (komdás) te porder Iesko pur 
LUK.15.17	Ta kanna yov diktás lesti kokero yov pendás, “Sar kisi mi dadeski pessadé bootsiengri si mauro dosta ta dosta, ta mandi merova bokalo. 
LUK.15.18	Mandi atchova opré ta jova kater meero Dad, 
LUK.15.19	Ta mandi shom kek komi mol 
LUK.15.20	Ta yov atchdás ta viás kater Iesko Dad. Ta kanna yov sas ajáw 
LUK.15.21	Ta o chavo pendás kater lesti dad, “Mandi kedóm wafedo 
LUK.15.22	Ta o dad pendás kater Iesko bootsiengri, “And avrí o feterdaír ploχta ta chiv-Ies opré lesti, ta chiv wongusti opré Iesko wast, ta choχáw opré Iesko peeré. 
LUK.15.23	Ta and akeí o tikno groovni so see kedo tullo, ta maur lesti, ta mook mendi hoi ta 
LUK.15.24	Jaw mi chavo sas mulo ta see jido 
LUK.15.25	Lesko poorodaír chavo sas adré o poov. Jaw yov viás ta sas posha o kair yov shoondás o boshomengri ta o kelopen. 
LUK.15.26	Ta yov kordás bootsiengro ta pootchdás, “So see?” 
LUK.15.27	O bootsiengro pendás, “Teero pal viás ta teero dad mordás o tullo tikno groovni, jaw yov liás-les sor kooshto 
LUK.15.28	O poorodáir chavo sas hoïno ta pendás yov
LUK.15.29	Ta yov diás lav ta pendás kater Iesko dad, “Dordi! So kisi beshaw mandi kedóm sorkon kola too pootchdás (pootchdán) mandi? Kekeno cheerus mandi pogadóm teero trad. Kekeno cheerus too diás man bokoro te kel peias sar meero komyáw. 
LUK.15.30	Jaw sig meero pal avela, maurdás too lesti o tullo tikno groovni, ta yov nashedás sor teero jivoben sar loob­ niáw.” 
LUK.15.31	Lesko dad pendás, “Mi chavo! Too shan mansa sorkon cheerus ta sor meero kola see tooti. 
LUK.15.32	Tatcho sas mendi te kel peias. Teero pal sas mulo. Yov see jido 
LUK.16.19	Yekorus sas barvalo moosh kon sas rido adré lolo poχtan ta yoki rivoben ta hodás kooshko hoben sórkon divusáw. 
LUK.16.20	Sas mongamengro tei. O nav see lesti Lazarus. Yov sas chido kater o wooda sor naflo ta pordo 
LUK.16.21	Yov pootchdás o barvalo gairo 
LUK.16.22	O mongamengro merdás, ta yek 
LUK.16.23	Kanna yov sas adré o Bengesko tan, yov sas dook­-adno ta diktás Abraham doovorí adré mi Duvelesko tem, ta diktás Lazarus adré Iesko berk.
LUK.16.24	O Barvalo moosh rovdás ta pendás, “Méero dad, Abraham! Te wel tooti komoben opré mandi ta bitcher Lazarus te chiv Iesko nei adré paani ta kel meero chib shilalo. Shom dosta dookadno adré kova yog.” 
LUK.16.25	Abraham pendás, “Chor! Kek bisser too? Adré teero meripen ta liás (lián) kooshti kola, pensa Lazarus liás wafedo kola. Kenáw yov see kedo mishto ta too shan dookadno. 
LUK.16.26	Ta, poshrig sor dula kola, bauro hev see chido posh drom 
LUK.16.27	O barvalo moosh pendás, “Kair mandi dova koshto, Dad, te bitcher Lazarus kater meero dadesko kair. 
LUK.16.28	Pansh palaw see mandi. Mook Lazarus pooker lendi. Trashova yon wena akéi adré kova wafedo bengesko tan.”
LUK.16.29	Abraham penela kater lesti, “Moses ta waveré bauro rokeromengri see lendi. Mook ti palaw shoon kater lendi.”
LUK.16.30	O barvalo moosh pendás, “Kek, dad Abraham. Sar yek moosh ghiás kater lendi avrí o mulo tem yon kerena mishto.”
LUK.16.31	Abraham pendás. “Sar kek shoonena Moses ta o waveré bauro rokeromengri, yon kek nanéi patserena sar yek moosh avela kater lendi avrí o mulo tern.”
LUK.19.1	Ta Jesus viás adré ta ghiás adrál Jericho. 
LUK.19.2	Ta dordi sas odoi 
LUK.19.3	Ta yov kedás o feterdair te dik Jesus kon yov sas, ta nastís kel ajaw. 
LUK.19.4	Ta yov nashedás ta ghiás opré adré a rook te dik lesti, 
LUK.19.5	 kanna Jesus viás kater tan, yov diktás opré ta diktás-les odoi, ta pendás lesti. “Zacchæus, kair yeka ta av talé, atchova ke-divvus kater teero kair.” 
LUK.19.6	Yov kedás yeka, vias talé ta liás-les keré 
JHN.10.11	Mandi shom o kooshto bokromengro
JHN.10.12	 yov kon see pessado te dik pall a o bokré, ta kon
JHN.10.13	O gairo, kon see pessado te dik palla o bokré, prasterela sar sig yov see pessado, ta yov kesserela kek 
JHN.10.14	Mandi shom o kooshto Basengro, ta mandi jinova meeri bokré, ta rnaildi shom jinlo 
JHN.10.15	Sar o Dad jinela mandi, ajáw rnandi jinova o Dad, ta mandi chivova talé meero rneripen 
JHN.10.16	Ta rnandi shan waver bokré, kon shan
JHN.10.17	Meero Dad komessa (kornela) rnandi, 'jaw see mandi chivova talé meero rneripen, ta lelova lesti 
JHN.10.18	Kek moosh lel
