MAT.1.1	Mukaanda kinkaaka kya Yesu Kiristo, mwaana Davidi, mwaana Abalaami.
MAT.5.45	mpisi luba baala ba taayi dyeenu diri ku mayulu, bukuri nde wuteekisaa mwiini waandi ha yulu bababi, na ha yulu bababwete, na wunokisaa mvula ha yulu basuunguma, na ha yulu bahele kusuunguma. 
MAT.5.46	Bukuri mbuti beenu kutya bani ba koolutyaana, lo nkya museendu beenu lutaambula? Buri batori ba mpaku bo se kari bunubwo bakoosaanaa ko? 
MAT.5.47	Na mbuti beenu mboto kweha kunu kuri bampaangi beenu kitsu, lo nki beenu lusiiri bibvuriri? Buri bangooyi se kari bunubwo bakoosaanaa ko? 
MAT.5.48	Hango beenee bayirima kwakuka, bunu buri Taayi dyeenu diri ku mayulu nde wayirima kwakuka.»
MAT.6.1	«Seenee madyeele, mu kuhele kusalila nsungumunu yeenu ha busu bwa baatu, mu nzala kumonoko kuri bo. Mbuti ka bubwo ko, lo beenu lutaambula museendu ko, kuri Taayi dyeenu diri mu mayulu. 
MAT.6.2	Habaanaa wuha kikabu kuri bawelu, lo yaa sika mvumvuri ko ha busu bwa ye, bu koosaana bangaa-bumpitu-bumpyoongo, mu manzo mankutukunu, na mu manzila, mpisi baatu babasiika. Ngwanwa me nyiluleele ti: bo bakootaambula museendu waaku. 
MAT.6.3	Ye habaanaa wuha kikabu kuri bawelu, lo kooko kwa ye kwalumoso yaa kuyaaba ma yirika kooko kwa ye kwa lubakala ko, 
MAT.6.4	mpisi heki kikabu kya ye kiba kya nsweeki; na Taayi dyaaku, wumonaa mu nsweeki, sa kakubvutukila.»
MAT.6.5	«Habaanaa lusaambila, lo yaa luba bunu bangaa-bumpitu-bumpyoongo ko, bukuri bo batiiri kwesaambila mu mutele, mu manzo mankutukunu na mu makuumbu ma manzila, mpisi baatu beebamono. Mu ngwanwa me nyiluleele ti: bo bakootaambula museendu waaku. 
MAT.6.6	Ngo kasi ye, habaana wusaambila, lo koto kunsa kihekiri kyaaku, kaanga mweelu, na saambila Taayi dyaaku mu nsweeki, na Taayi dyaaku, wumonaa mu nsweeki, sa kakubvutukila.»
MAT.6.7	«Habaanaa lusaambilaa, lo yaa lulandukinaa bitoolo ko bunu bangooyi; bukuri bo kutsima ti mu bitoolo byalaka bo bataambula mamvutu. 
MAT.6.8	Yaa lufwanikina na bo ko; mukwongo, Taayi dyeenu yaari bi luri na nzala byo, tekekesele beenu lumuloombo. 
MAT.6.9	Hango beenu bumabu luyelemini kusambikila:
MAT.6.9	"Taayi dyeetu diri mu mayulu,
MAT.6.9	hemese nkuumbu yaaku yiduma;
MAT.6.10	hemese kimfumu kyaaku kiisa;
MAT.6.10	hemese kutya kwa ye kuyirima ha butoto, bunu buri ku yulu.
MAT.6.11	Tuha byandya byeetu bya kiluumbu ki, lolo dimadi.
MAT.6.12	Tuhemesene bubi bweetu,
MAT.6.12	bunu bu twahemisini beetu se babee tuyirikila mamabi.
MAT.6.13	Yaa tunata mu nsindukulu ko;
MAT.6.13	ngo ye tukuula kuri Ngaa-bubi."»
MAT.6.14	«Mbuti beenu luhemisinaana baatu mamabi maaku, lo Taayi dyeenu diri ku yulu se sa kaluhemesene. 
MAT.6.15	Ngo mbuti beenu lwahele kuhemesene baatu, lo Taayi dyeenu se ka kaluhemesene mamabi meenu ko.»
MAT.6.16	«Habaana luri kunsa loomi, lo yaa luba na kidziri kya ngebe ko, bunu bangaa-bumpitu-bumpyoongo. Bo bakitula kidziri mpisi heki bamonokono kuri baatu ti bari kunsa loomi. Ngwanwa me nyiluleele ti: bo bakootaambula museendu waaku. 
MAT.6.17	Ngo kasi, ye habaanaa wuri kunsa loomi, lo swaaka kidziri kyaaku, kwasa mananaasi ku mutu waaku, 
MAT.6.18	mpisi hele kumonokono kuri baatu ti ye wuri kunsa loomi, ngo monokono kuri Taayi dyaaku mu nsweeki, na Taayi dyaaku, wumonaa mu nsweeki, sa kakubvutukila.»
MAT.6.19	«Yaa lwekutukisa busina bweenu ha butoto ko, hari bubwiilila bansyelisi na bisekisi, na hari bangaa-kwiibi babula na bayiba. 
MAT.6.20	Ngo kutukiseenu busina bweenu ku yulu, kukwo kuri lo bansyelisi na bisekisi bahele kudya, na kukwo se kuri bangaa-kwiibi bahele kubula na kuyiba. 
MAT.6.21	Bukuri haho ha sweeku busina bwa ye, hanaho se haba mutima waaku.»
MAT.6.22	«Diisu ngo mwiinda nyutu. Mbuti diisu dya ye dyaditsiina, lo nyutu ye yoyinso yiri kunsa buungi. 
MAT.6.23	Ngo mbuti diisu dya ye dyabeele, lo nyutu ye yoyinso yiri kunsa mampimbisi. Ngo mbuti buungi buri mu ye bweki kuba mampimbisi, lo mampimbisi mamo nkati ma bubokoro.»
MAT.6.24	«Kuri muutu ko wuri lo bangusini kusalila bamfumu boolo; mukwongo nde lo sa kabele wamosi, na kutya wakaka; bunu pe sa kakaangama mu wamosi, na kunyaafuna wakaka. Ka lutsiitsa kusalila Nzaambi kiteesu kimosi na mboongo ko.»
MAT.6.25	«Hango-nkuumbu, me nyileele kuri beenu ti: Yaa lwenyoongo mu ntoono kidziingu kyeenu ko, mu bi ludya, [bunu pe bi lunwa], na mu ntoono nyutu ko, mu bi lulwaata. Buri kidziingu kyahele kubvula na byandya, na nyutu yahele kubvula na binkuta? 
MAT.6.26	Talee banoni ba yulu: Bo bakookunaa ko, bakootolaa ko, bakookutikisaa mu matalaka ko, ngo Taayi dyeenu, dya ku yulu wudiisilaa bo. Buri beenu lwahele kubvula mufunu na bo?» 
MAT.6.27	«Nani mu beenu, wuri mu minyoongi myaandi, lo bangusini kunonono mibvu myaandi, mwaa-kwantele?» 
MAT.6.28	«Ngo buri luri mu kwenyoongo mu ntoono ya binkuta? Taleenu bu kwebuukula bifulu bya manseke: byo byasala ko, byatuunga ko. 
