MAT.1.1	Srakàda atehuŋ ma ke kú Yeso Kristò edɛ Ŋwa àfα Devì á yá ma Ŋwa Abràha huŋ.
MAT.4.25	Ngɔ̀ngɔ̀ wa á ju ŋɛ pɔ́ Galìli wo kα jɛ̀ je bo yi bé lɛ, Dèkapolì huŋ, yayi chi ge. Wazɔ yá ju ŋɛ Jèrosalɛ̀ wo pɔ́ Jùdya yi, wa enzɔ hɛ yá ju, àvèpàju zrèhù zɔ̀ Jodàn yi.
MAT.5.1	Be Yeso yá vè ngɔ̀ngɔ̀ wa be bo yi ya ke ya bɛ ge huŋ, è yá ni shi ànɛ̀. Wa e yi mbɔ̀bye wo gè hɛ, yá kαko pɔte ge yra yi. 
MAT.5.2	È chà ke bo yi mbɔ̀ŋa àmɔ:
MAT.5.3	“Mbɔchù ke ŋa atɔtɔ wo wa á pɔte sepɔ bo mbri é gè huŋ,
MAT.5.3	ke bye mbri a ma Ndu Àfα Mbɔchù huŋ, ma edribo.
MAT.5.4	Mbɔchù ke ŋa atɔtɔ wo wa e yi se èsrɛ hɛ,
MAT.5.4	ke è ke chù bo.
MAT.5.5	Mbɔchù ke ŋa atɔtɔ wo wa e yi mbushya wo dribo zhyɔ hɛ,
MAT.5.5	ke è ke ŋa bo bú è yá yatɔ̀te lɛ, è ke ŋa bo huŋ.
MAT.5.6	Mbɔchù ke ŋa atɔtɔ wo wa á ma wo sepɔ akwαkwα ke yi tɔ bye ásetetemɔ ju Mbɔchù huŋ,
MAT.5.6	ke è ke pɔŋwɛ̀ŋa bo ke tɔ gé.
MAT.5.7	Mbɔchù ke ŋa atɔtɔ wo wa e yi vè èsrɛ wo wa enzɔ hɛ,
MAT.5.7	ke è ke vè lè èsrɛ wo bo.
MAT.5.8	Mbɔchù ke ŋa atɔtɔ wo wa pushyɛ bo ma wɛwa hɛ,
MAT.5.8	ke bo ke vè Mbɔchù.
MAT.5.9	Mbɔchù ke ŋa atɔtɔ wo wa e yi mbya lɛ, wa shi wo atɔtɔ huŋ,
MAT.5.9	ke wa ke yi bé bo lɛ, zhyɛ Mbɔchù.
MAT.5.10	Mbɔchù ke ŋa atɔtɔ wo wa bo yi ŋa vèzri ke bo yi tɔ bye ásetetemɔ ju Mbɔchù hɛ,
MAT.5.10	ke Ndu Àfα Mbɔchù ma edribo.”
MAT.5.11	“Mbɔchù ke ŋa atɔtɔ wo wa, yi wa yi ché, yi wa yi ŋa vèzri wo, yi wa yi yrùpɔ wo àchɛ̀chì chyα abebe ke wa alɔhɛ ma wa ekokro ŋɛ huŋ. 
MAT.5.12	Ma nɛ wo enɛte, nɛ pɔ sɔpɔ, ke ekpàmɔ nɛ ma akpachù yi kpèbe. Shyɛ nɛ tété ŋwɛ̀ lɛ, ngè pyɔ alɔhuŋ, yi bo yayi ŋa vèzri wo wa pwὰpwὰ Mbɔchù á yá mayo wo nɛ hɛ mu.”
MAT.5.13	“Nɛ ma be mrα yi wo wa mbri ŋɛ myaŋɛ. Bɛhuŋ be mrα alɔhuŋ lè kpɔ̀kwègbαyi vyavya ge mɔ huŋ, pyɔ ke makondê, yi bo ke mbya ge e ma wo vyavya ge mu. È ke ma bú éwàwὰ, yi bo ke táwámɔ, yi wa ke zùkàju wo bá.”
MAT.5.14	“Nɛ ma be chacha ke wa myaŋɛ mbri. Jɛ̀ akpè, yi wa pɔte ànɛ̀ huŋ, tetὰtekô mɔ mu. 
MAT.5.15	Lèyɛwa ngru bèkô lambù, e vokɛ ge wo nkè mu. Ngru lè bè lambù, è ke te ge tɛbrɛ̀ yi lɛ, e ŋa chacha wo wa á ma tα hɛ mbri. 
MAT.5.16	Ngè pyɔ alɔhuŋ, ma chacha nɛ, yi mbu é wa yi lɛ, bo ke vè bye asɔsɔ nɛ yi tɔ hɛ, yi bo ke kpyadè Sonɛ á ma akpachù huŋ.”
MAT.5.17	“Tété, yi sepɔ nɛ lɛ, Ŋ ya lɛ, Ŋ chombuju bɔ̀bye Mɔsè yá jwαte hɛ wo embɔ̀ŋa wa pwὰpwὰ Mbɔchù hɛ mu. Ŋ̀ yatê lɛ, Ŋ ya chombuju gé mu bɛhuŋ, Ŋ̀ ya lɛ, bye bɔ̀bye yá yate hɛ ke ya ju endɛndɛ yi. 
MAT.5.18	Endɛndɛ Ŋ yi yaŋa nɛ lɛ, tètè be akpachù wo zhyɔ ke gbα, ŋwa búzo, yi bo jwαte srakàda bɔ̀bye ke dɔ̂ brezo mu, tètè be gé ke yá ma.”
MAT.5.19	“Ngèhuŋ, mànya mànya á lè kù mami bɔ̀bye á fibà huŋ, è mbɔ̀ŋa lè wa enzɔ hɛ ke tɔ àmɔ, Mbɔchù ke mbya ge lɛ, e ma ngru á fibà huŋ, ŋɛ Ndu àfα Akpachù yi. Bɛ ngru á lè yi tɔ, è yi mbɔ̀ŋa wa enzɔ ke tɔ lè àmɔ, è ke ma ngru akpè chɔ wa yi ŋɛ ndu akpachù yi. 
MAT.5.20	Ngèhuŋ, Ŋ yi yaŋa nɛ lɛ, vè nɛ lɛ, zrɔbye nɛ setetemɔ ju Mbɔchù yi, kàju chɔche bɔ̀bye wo wa Farìsi. È lè matê àmɔ mu, nɛ ke kàkô ndu àfα akpachù yi mu.”
MAT.5.21	“Nɛ pɔgbαyi lɛ, bo yá zà lɛ, bo yá yaŋate wa enkàpro hɛ lɛ, ‘Tété gbα nɛ ngru mu wo lɛ, ngru á lè gbα ngru, bo ke mbudɔ wo gè ákɔ̀kpɛ yi.’ 
MAT.5.22	Bɛhuŋ, Ŋ yi yaŋa nɛ lɛ, ngru á lè fyeshyɛ wo ŋwanyɔ̀, bo ke mbudɔ wo gè ákɔ̀kpɛ yi. Ndàndà huŋ, ngru á lè zà wo ŋwanyɔ̀ lɛ, ‘À sɔ ke wὰ yi,’ bo ke mbudɔ wo gè ákɔ̀kpɛ yi. Ngru á lè zà lɛ, ‘Bù jwɔ!’ ngru alɔhuŋ ke srànate krú nkùfi yi. 
MAT.5.23	Ngèhuŋ, á lè ma lɛ, á ŋa ekɔŋa wo bre bo yi bèchɛ̀ŋa Mbɔchù ekɔŋa mɔ huŋ, à lè sebɛ lɛ, ŋwazα ma wo sepɔ abebe ke bù, 
MAT.5.24	pwɛ̀te ekɔŋa wo nú ju bre ekɔŋa, á dɔ yagbòko yogbαyi chyα nɛmbò ge bɛ, à lɛ̀ ya ŋa ekɔŋa wo.”
MAT.5.25	“Mbyabwα bye fɔ̀fɔ̀ wo ngru e yi mbudɔ wo bù ákɔ̀kpɛ huŋ. Tɔ ge ebɔ nɛmbò gè yá mate pyɔ huŋ. Àmɔmu, è ke ŋa wò bwo ngru e yi kpà kpɛ huŋ, è ke ŋa wò wo ngru e yi vɔ́kɛ wa tαfi, ngè è ke pɔ wò tαfi yi. 
MAT.5.26	Endɛndɛ, Ŋ yi yaŋa wò lɛ, à lè yá kpangajû kɔbɔ̀, yi bo kéŋate wò huŋ mu, à ke jû tαfi alɔhuŋ mu.”
MAT.5.27	“Nɛ pɔgbαyi lɛ, bo yá zà lɛ, ‘Tété na va ngru àmɔmu nwa ngru mu.’ 
MAT.5.28	Bɛhuŋ, Ŋ yi yaŋa nɛ lɛ, ngru á lè vète nguva wo sepɔ lɛ, bombò ge na, e nagbαyi nguva alɔhuŋ pushyɛ ge yi. 
MAT.5.29	Be njìjwó buyru wo lè mbya lɛ, á tɔ bú abebe mɔ huŋ, krámbuju táwá ge. È ke sɔ wo bù be nkwɛ̀ vekpɔ wo nzo le pi huŋ, kàpɛ yi be bo le mbu kpɔ wo mbri, bo tápɔ krú nkùfi yi. 
