MRK.1.1	Ine a kamkamna ana Wakak a Warwara o e Iesu Karisito, a Nat e God. 
MRK.1.15	i atongi mange, “A pukakiar ka hanot, pa a matanitu ane God ka milau. Mulor lingir a nuknukimulo pa mulor tortorot ana Wakak a Warwara.” 
MRK.1.16	Ning i asal tumokorot na puka tasi Galili, i oroi tetek naur a tas, e Saimon pa e Endru kaning dia migen a uben sa na puka tasi, anasa diau ot naur a tena migei uben. 
MRK.1.17	I atai diau mang, “Mu lamut, mu mur iau, sur ar asaer mu ana dat a taraila.” 
MRK.1.18	Aiapka dia kamtur kusun a ubenla pa dia muri. 
MRK.1.19	Ning i asal siklik kale, i oroi pas kale naur a tas e Jems pa e Jon, naur a nat e Sebedi, dia kes tingui na mon pa dia suk anun diana ubenla. 
MRK.1.20	Aiapka e Iesu i kabah pas diau, pa dia han kusun e tamandiau taum ana tarai a titol ting na mon, pa dia muri.
MRK.1.21	Pa la han uto e Kapernaum, pa ana Pukakiar Sabat, e Iesu i kas uting na rumai lotu, pa i asaer la. 
MRK.1.22	La kulkulan ana nuna na asasaer, anasa i asaer la, lar ai ot i tong a warkurai, pa bel i asaer la lar a tena asaerla tagun a Warkurai. 
MRK.1.23	Ning a barsan, a mot kaning ono i kes ting na rumai lotu, ono otning i kukuk mange, 
MRK.1.24	“U e Iesu mitisa e Nasaret. Ur tol asa homila? U hanot sur ur alaulau mila? A tasman u ot, u a Tena Tohtoh ane God.” 
MRK.1.25	E Iesu i sairasi mange, “Gong u warwara! Purum kusun a barsan ning!”
MRK.1.26	Pa a mot i gulen rakrakai tari, pa i kukuk, pa i purum kusuni. 
MRK.1.27	A tarai rop la kulkulan kol, pa la deke artalai la mang, “Asa ine? A tona asasaer. A barsan ne i tong a warkurai pa ana nuna warwara i kepsen sen a motla, pa la longor tana.” 
MRK.1.28	Pa a warwara o e Iesu i han sarara ana hanhanuala rop ting na papar Galili.
MRK.1.29	Ning e Iesu taum ana kakak a asasaer la purum miting na rumai lotu, la han taum ma e Jems pa e Jon, sur a rumai ane Saimon pa e Endru. 
MRK.1.30	E anmuna e Saimon, a hane i kurah, pa i borbor taum ana laplapang, pa la atai e Iesu ono. 
MRK.1.31	Pa e Iesu i han teteki, i tong pas a kuna, pa i dat atur pasi, pa a laplapang i rop kusuni. Pa a hane ning i tabar la ana utna na hangan.
MRK.1.32	Pa ning a rahmorom ma, a tarai la ben pas a tinsamanla rop pa la otleng ning a motla kaning on la tetek e Iesu. 
MRK.1.33	A tarai rop miting na hanua ning, la bukus ting na taman. 
MRK.1.34	Pa i alangolango pas a galis a tarai ning la kurah ana urmatana tinsaman, pa i kepsen a galis a mot kusun la. Pa i sairas a motla sur gong la warwara, anasa la tasman ot e Iesu.
MRK.1.35	Ana lar, e Iesu i mata pa i purum. I han uting ana hanua bel pa i nunung tetek e God. 
MRK.1.36	Pa e Saimon taum on la ning la han taum, la seren e Iesu. 
MRK.1.37	Pa ning la pasteteki, la atai i mange, “A tarai rop la seren u.” 
MRK.1.38	Pa e Iesu i atai la mange, “Dalar han uting anal hanua milau, sur ar warawai otleng tetek la. Ine a kamkamna ning a hanot suri.”
MRK.1.39	Pa i han taltal ting na papar Galili rop. I warawai ting na rumai lotu anunla, pa i kepsen a motla kusun a taraila.
MRK.1.40	Ning a barsan, a lepra, i han tetek e Iesu, i kes ana bokona hana, pa i nunung rakrakai i mang, “Ning u mang suri, io, u tolsot sur ur alangolango iau.” 
MRK.1.41	Pa e Iesu i marisi, pa i tuslan a kuna, i tong a palaona, pa i atai i, “A mang ot suri. Ur langolango.” 
MRK.1.42	Ono otning a lepra i rop kusuni, pa i langolango ulak. 
MRK.1.43	Pa e Iesu i sune seni taum ana rakrakai a warwara mang, 
MRK.1.44	“Gong u atai tar tik ono. Ur han pa ur asangan nigon u tana tena artabar tetek e God, pa ur saran a artabar tetek e God larning e Moses ka atong tari. Ning ur toli larne ir talapor tetek a taraila mang a palaom ka wakak ulak.” 
MRK.1.45	Ika ning i purum, i warwara taltal onoi tetek a taraila. Ana toltol ning, i asanan tar e Iesu, pa bel ma i tolsot sur ir hanot talapor ting ana ta hanua. I taltal kama ting na hanua bel, maika a taraila miting na hanhanua la han ot teteki.
MRK.2.1	Dingla na pukakiar i rop, e Iesu i han ulak utumo e Kapernaum. A tarai la longori mang ika hanot tar ting na rumai, 
MRK.2.2	pa galis on la, la hanot teteki, pa belal pukna tingui na rumai, pa tumo lapiu na taman otleng. Pa e Iesu i warawai ana warwara ane God tetek la. 
MRK.2.3	Dingla na tarai la hanot taum ana ning a barsan a palaona i mat. Diat a barsan la losi tetek e Iesu. 
MRK.2.4	Ika a galis a tarai la ka tur alar pasi pa bel la tolsot sur lar kas anoi. La abit ano usaot na palai a rumai, pa la regen pas ning a ris a pukul a rumai tostos ana pukna ning e Iesu i kes ia. Pa la alorong purum a barsan ning a palaona i mat taum ana logo ngasna. 
MRK.2.5	Ning e Iesu i oroi anunla tortorot, i atai a barsan ning a palaona i mat mange, “Natuklik, di ka kepsen anum a toltol laulaula.” 
MRK.2.6	Dingla na tena asaer tagun a Warkurai la kes tingia. La nuknuk ting na nuknukinla mange, 
MRK.2.7	“Sur asa a barsan ne i atongi larne? I atong saksakan e God. Esi ir kepsen a toltol laulaula? E God ka.” 
MRK.2.8	Aiapka e Iesu ka tasman tar a nuknukinla, pa i deken la mange, “Sur asa ning mulo nuknuk larne? 
MRK.2.9	Esi na ngas a warwara ning bel i ngangitin sur ar atongi tana barsan ne? Ar atongi mange, ‘Di ka kepsen tar anum a toltol laulaula,’ o ar atongi mange, ‘Ur tur, los pas a logo ngasim pa ur han’? 
MRK.2.10	Ar atongi manglarne sur mulor tasmani mang a Nat a Barsan i tong a warkurai sur ir kepsen a toltol laulaula mite lapiu.” Pa, i atai a barsan ning a palaona i mat mange, 
MRK.2.11	“A atai u, ur tur, ur los a logo ngasim, pa ur han sur anum a rumai.” 
MRK.2.12	I tur, i los anuna logo, pa i purum na matanla rop. La rop la kulkulan pa la rakan aleklek pas e God mange, “Bel mila sira oroi ta utna manglarne. Onobot ne mila oroi i.”
MRK.2.13	E Iesu i han purum ulak utumo na ris a puka tasi Galili, pa a tnan kunum a tarai la hanot teteki, pa i turpas a asaer la ana warwara ane God. 
MRK.2.14	Ning i han amon, i oroi tetek e Liwai, a nat e Alpius, i kes ting na rumai totokom, pa e Iesu i atongi tana mang, “Ur mur iau.” Pa, e Liwai i tur pa i muri. 
MRK.2.15	Lamur, ning e Iesu i kes ana utna na hangan ting na rumai ane Liwai, a galis a tena los totokom taum ana tena laulaula, la hangan taum o e Iesu pa kakak a asasaerla anunai. Anasa galis a tarai la mur e Iesu. 
MRK.2.16	Dingla na tena asaer tagun a Warkurai, ning a Parisaiola, la oroi e Iesu ning i hangan taum ana tarai laulaula pa a tena los totokomla. La deken anuna kakak a asasaerla mang, “Sur asa ning i hangan taum ona tena los totokomla pa a tarai laulaula?” 
MRK.2.17	Ning e Iesu i longori, i atai la, “A dokta bel i hanot sur la ning la laun wakak. Belal! I hanot sur la ning la kurah. Bel a hanot sur a tena tostosla. Belal! A hanot sur ar kabah pas a tarai laulaula.”
MRK.2.18	A kakak a asasaerla ane Jon taum ana Parisaiola la tamai. Dingla na tarai la han tetek e Iesu, pa la dekeni mang, “I mangasa ning a kakak a asasaerla ane Jon taum ana kakak a asasaer anuna Parisaiola, la tamai, ika anum na kakak a asasaerla belal?” 
MRK.2.19	E Iesu i keles la mange, “A halalin na tinaulai totoh lar tamai mangmangasa ning a tona tinaulai kaning ot i kes taum on la? Ning kaning ot i kes taum on la, bel lar tamai. 
MRK.2.20	Ika tik ta pukakiar ir hanot ning dir ben maskan a tinaulai totoh kusun la, pa, a pukakiar ning lar bot tamai.
MRK.2.21	“Bel tik ir raprap ta tona dia kaen taum ana ta muarna. Ning tik i toli larning, a tona ning dir raprap ono, ir silir sen aulak a muar a kaen, pa ir itna a taksilir. 
MRK.2.22	Pa bel tik ir pek tar a tona wain ting na turai a koto na wain ning di toli ana palpal a inagoi, sakana a turai a koto na wain ir pusa, pa a wain ir tapek, pa a koto na wain otleng ir laulau. Dir pek ot a tona wain uting na tona koto na wain.”
MRK.2.23	Ana Pukakiar Sabat, e Iesu i han bolos a barim a wit. Ning la han amon, anuna kakak a asasaer la gomol kutus a witla. 
MRK.2.24	A Parisaiola la deken e Iesu mang, “Oroi! Sur asa la tol a utna ning, pa bel la mur a Warkurai tagun a Pukakiar Sabat?” 
MRK.2.25	E Iesu i keles la, “Mangasa belot mulo was asa ning e King Dewit i toli ning i taum ana halalna la murak, pa belal utna anlai? 
MRK.2.26	Ning e Abiatar i ningnigo na tena artabar tetek e God, e Dewit i kas ting na rumai ane God pa i ien a bret ning di ka tabar tar e God ono. Pa i tabar na halalna otleng ono. A bret ning di sairasi kusun a tarai orosla. A tena artabarla ka tetek e God lar hangan taguni.”
MRK.2.27	Pa e Iesu i atai la mange, “Di tol tar a Pukakiar Sabat sur ir nangan a taraila, bel sur a tarai lar nangan a Pukakiar Sabat. 
MRK.2.28	Larning a Nat a Barsan ot a Leklek tagun a Pukakiar Sabat.”
MRK.3.1	E Iesu i kas ulak uting na rumai lotu, pa ning a barsan kaning ia a kuna i del. 
MRK.3.2	Pa a tarai la tai sur ta utna sur lar tiu e Iesu ono, pa la tai sursuri sur ning ir alangolango a tinsaman ana Pukakiar Sabat, o bel. 
MRK.3.3	Pa i atai a barsan ning a kuna i del mang, “Ur tur te lanigo tan la rop.” 
MRK.3.4	Pa e Iesu i deken la mange, “Asa ning a Warkuraila i atongi sur dir toli ana Pukakiar Sabat? Dir tol a wakakna o dir tol a laulauna, dir alangolango tik o dir saikol tik?” Ika bel la kelesi. 
MRK.3.5	E Iesu i tai taltal ana balakut tetek la rop. I nukmaris la anasa a balanla i rakrakai. Pa i atai a barsan ning mang, “Ur kodos a kum.” I kodosi, pa a kuna i but ulak. 
MRK.3.6	Ning a Parisaiola la purum, la han tetek a taraila ane Herot, pa la warwara taum pas sur lar umkol e Iesu mangmangasa.
MRK.3.7	E Iesu taum ana nuna kakak a asasaer la han utumo purum na puka tasi, pa a tnan kunum a tarai mitisa ana papar Galili la muri. 
MRK.3.8	Pa a galis a tarai otleng la muri mitimo na papar Judia, pa mitisa e Jerusalem, pa miting na papar Idumea, pa mitimo na ning a ris a malum Jodan pa mitimo e Tair pa e Saidon otleng. Atnan kunum la hanot, anasa la ka longor tar a tatatnan utna ning e Iesu ka tol tari. 
MRK.3.9+MRK.3.10	Ika alangolango pas a galis a tinsaman, pa la ning la kurah la sur sauran pas la, sur lar susur milau e Iesu pa lar tuki. Pa, i atai anuna kakak a asasaerla sur lar dulan parung a mon, sur ning a tnan kunum a tarai la kar atalilis pasi, io ir kas onoi. 
MRK.3.11	La ning a mot i solsolong la, ning la oroi e Iesu lar punga purum namatana. Pa a motla lar kukuk mange, “U a Nat e God.” 
MRK.3.12	Ika i sairas la sur gong la atong otnani mang i esi.
MRK.3.13	Lamur e Iesu i han usaot na mangir, pa i kabah pas la ning i mang sur la, pa la han teteki. 
MRK.3.14	I aslang pas ka ning a bonot pa pisir naur, pa i atong la ona aposella. I kabah pas la sur lar han taum, pa ir sune sen la sur lar warawai ana warwara ane God. 
MRK.3.15	I saran tar a rakrakai tan la sur lar kepsen a motla kusun a taraila. 
MRK.3.16	Ine ning a bonot pa pisir naur ning i aslang pas la. Saimon ning e Iesu i saran tar ning a risana otleng e Pita. 
MRK.3.17	E Jems di tas ma e Jon naur a nat e Sebedi, ning e Iesu i saran ulak a risan diau mang e Boarnerges, a kamkamna mang naur a tena warwara, 
MRK.3.18	Endru, Pilip, Bartolomiu, Matiu, Tomas, Jems a nat e Alpius, pa e Tadius, pa e Saimon a Silot 
MRK.3.19	pa e Judas Iskariot, ning i tuam sen e Iesu.
MRK.3.20	Lamur e Iesu i kas ting na rumai pa a tnan kunum a tarai kale la han teteki, pa e Iesu taum ana nuna kakak a asasaerla bel la tolsot sur lar hangan. 
MRK.3.21	Ning anuna mangis a tarai la longor a utna ne, la han sur lar ben pasi, anasa a tarai la mang bel ma i tostos a nuknukna. 
MRK.3.22	A tena asaerla tagun a Warkurai mitisa e Jerusalem, la atongi mange, “Belsebul, a ningnigo anuna motla, kaning ma o e Iesu, pa i kepsen a motla ana rakrakai e Belsebul.” 
MRK.3.23	Pa, e Iesu i kabah la teteki, pa i warwara larlar mange, “E Satan bel ir tolsot sur ir kepsen e Satan. 
MRK.3.24	Ning ta matanitu ir sarara, a matanitu ning ir tur rakrakai mangmangasa? 
MRK.3.25	Pa ning ta kabaitamana lar harum artalai tan la ot, bel ma lar kes taum. 
MRK.3.26	Ning e Satan ir harum ulak taum ana nuna tena titolla, anuna matanitu bel ir tur rakrakai, ir rarop ka.
MRK.3.27	“Bel tik ir kas uting na rumai anuna ta rakrakai a barsan, pa ir los a ututnala mitisaui na rumai, ning bel i dot akes tar a rakrakai a barsan ning. Ning ot ir dot nigon tari, ir bot los pas anuna ututnala. 
MRK.3.28	A atong momoli ta mulo: Dir kepsen a toltol laulau anuna taraila, pa nunla na warwara laulaula tetek e God. 
MRK.3.29	Ika ning tik ir atong laulau a Talngan Tabu, bel tik ulak ma ir kepsen pasi. A toltol laulau ning ir tur tikin.” 
MRK.3.30	E Iesu i atongi manglarne anasa la atongi ono mang, “A mot kaning ono.”
MRK.3.31	Tana e Iesu taum ana tastasnala la hanot, la tur tumolapiu pa la arsune suri. 
MRK.3.32	A kunum a tarai la kes talilis pasi pa la atai i mang, “Etnam taum ana tastasimla kanumo lapiu. La tai sur u.” 
MRK.3.33	Pa i deken la mang, “Esining e nang, pa esila ning na tastasikla?” 
MRK.3.34	Pa i tai tetek la rop ning la kes talilis pasi. Pa i atongi larne, “Oroi, la ne, e nangla pa na tastasikla. 
MRK.3.35	Anasa esining i mur a nuknuk e God, i ot ning a tasik barsan, pa a tasik hane pa e nang.”
MRK.4.1	E Iesu i tur ulak pas a asasaer tumokorot na puka tasi. Pa a tnan kunum a tarai la hanot teteki. Pa, i kas ana mon pa i kes ono sa na puka tasi. Atnan kunum a tarai rop la tur tumokorot. 
MRK.4.2	Pa i asaer la ana galis a utna ana warwara larlar. I asaer la mange, 
MRK.4.3	“Longor! A tena omomai i han sur ir sapran a pat a witla. 
MRK.4.4	Ning i sapran amoni, dingla na patna i punga ting na ngas pa a manila la hanot pa la ieni. 
MRK.4.5	Dingla la punga ting na piu ning i hatat, ning a piu bel i but, pa la gomgomo kapit, anasa a piu bel i but. 
MRK.4.6	Ika ning a kamis i sasai, la main pa la marang rop, anasa belal wakwakirna. 
MRK.4.7	Dingla na patna la punga tar ting na tinine rosrosla, pa a rosrosla la gomo ot pa la rau akes la, pa bel la wai. 
MRK.4.8	Pa dingla na patna otleng la punga tar ona wakak a piu. La gomo pa la itna amon pa la wai, dingla natol a bonot a patna, dingla diono na bonot, pa dingla takai a mar.” 
MRK.4.9	Lamur e Iesu i mang, “Esining a talngana, i wakak sur ir longor ono.”
MRK.4.10	Ning e Iesu kama taum ana ning a bonot pa pisir naur a kakak a asasaer pa dingla na tarai la kes, la dekeni ana warwara larlarla. 
MRK.4.11	Pa i atai la mang, “E God ka saran tar a mananos tetek mulo sur mulor tasman a utna na pidik ana nuna matanitu. Ika tetek a tarai masik, dir asaer la ona utnala rop ana warwara larlar, 
MRK.4.12	sur,
MRK.4.12	‘lar oroi pa lar oroi, ika bel lar oroi lalani,
MRK.4.12	lar longori pa lar longori, ika bel lar longor lalani,
MRK.4.12	pa bel lar mananos ono.
MRK.4.12	Nadek ning lar oroi lalani pa lar mananos,
MRK.4.12	pa, lar ulak tetek e God, pa ir kepsen a toltol laulau anunla.’”
MRK.4.13	Pa e Iesu i deken la mange, “Bel mulo talapor ana kamkama warwara larlar ne? Mulor tasman mangamangasa a kamkama ana dingla na warwara larlar otleng? 
MRK.4.14	A tena omomai i arlar ana tena warawai ning i asaer ana warwara ane God. 
MRK.4.15	A pat a wit ning la punga ting na ngas, la arlar ana tarai ning la longor tar a warwara, pa e Satan i hanot, pa i kepsen a warwara miting na balanla. 
MRK.4.16	Dingla na tarai otleng la arlar ana pat a wit ning i punga ting na piu ning i hatat. Ning la longor a warwara la tong akesi ana gasgas. 
MRK.4.17	Ika a warwara bel i kes ting na balanla, bel lar tur rakrakai arlar ana wit ning belal wakirna. Ning a mamahatla i pastetek la pa di alaulau la ana warwara ning la tortorot ano, la punga kapit. 
MRK.4.18	Dingla na tarai la arlar ona pat a wit ning la punga ting na tinine rosrosla. La longor a warwara, 
MRK.4.19	ika a nuknukla mitelapiu, pa nuknuk otleng ana nunla na gongon ning i asongo a nuknukinla, pa a nemnem sur a ututnala masik, la rau akes a warwara ane God, pa bel la wai. 
MRK.4.20	Dingla na tarai la arlar ana pat a wit ning la punga ana wakak a piu. La longor a warwara pa la muri, pa la wai, dingla na tarai natol a bonot, dingla na tarai diono na bonot, pa dingla na tarai otleng takai a mar.”
MRK.4.21	Pa e Iesu i atai la mange, “Bel tik ir los pas ta lam pa ir aroh alari ana paket, pa bel ir sua i ting na hailogo. Belal! Ir sua i ot ting ana nuna turtur. 
MRK.4.22	A utna rop ning i mumun, lamur ir hanot talapor. Pa a ututna rop ning di bunuri, lamur dir tasmani. 
MRK.4.23	Esining a talngana, i wakak sur ir longor ono.” 
MRK.4.24	E Iesu i atai la mange, “Mulor nuknuk wakak ana sa ning mulo longori. Ning mulor longor wakak, dir saran a wakak a tastasman ta mulo. Pa mulor kubasi ir itna kol. 
MRK.4.25	Tik ning ir tong akes anuk a asasaerla, dir tabar aulaki ana wakak a nuknuk, pa tik ning bel i tong akes anuk a asasaerla, dir kepsen otleng anuna siklik wakak a nuknuk kusuni.”
MRK.4.26	E Iesu i atongi otleng mange, “A matanitu ane God i arlar ana barsan ning i sapran tar a pat a witla ting na kabalapiu. 
MRK.4.27	Ning i borbor ana moromla pa i sira mata ana kabakiarla, a pat a wit la pusa ot pa la gomo, pa a barsan bel i tasmani mang la pusa ot pa la gomo mangmangasa. 
MRK.4.28	A piu ot i agomo a rakai a wit larne: a pakana i pusa nigo, pa lamur a sarna i gomo ot, pa a patna i mur ot. 
MRK.4.29	Ning a patnala ka makos pa a kalang a sol ka hanot, a barsan ir pirat pas la.”
MRK.4.30	E Iesu i atai la mange, “Ar larlar a matanitu ane God ana sa? Pa esi na warwara larlar ar papak ono? 
MRK.4.31	I arlar ana pat a mastad. I natarna kol tana pat a rakai rop, ning di omani ting na kabalapiu. 
MRK.4.32	Ning di ka oman tari, pa i gomo, ir itna kol kusun a rakai a hangan rop pa i sua sarara a tatatnan rakrakana, pa a manila lar tol pios ana rakrakana ning i molmol.”
MRK.4.33	E Iesu i warwara tetek la ana galis a warwara larlar ning i arlar ana nunla na mananos, 
MRK.4.34	pa bel i warwara tetek la ana ta warwara masik, a warwara larlar rop ot. Pa ning la kama taum ana nuna kakak a asasaer lar kes, ir papak bot ana kamkama warwara larlarla.
MRK.4.35	Ning a rah ma ana pukakiar ning, e Iesu i atai anuna kakak a asasaerla mange, “Dalar han lakai utumo na ris a puka tasi.” 
MRK.4.36	La kas tetek e Iesu ting na mon, pa la han kusun a kunum a taraila. Pa dingla na mon otleng la han taum on la. 
MRK.4.37	Pa a rakrakai a wuwu i hanot, pa a top i song a mon pa siklik ir murung. 
MRK.4.38	E Iesu i borbor tumo lamur ana mon pa i ululnge ana pilo. A kakak a asasaer la amata i, pa la atai i mange, “Tena Asaer, dala kar hirua! Mangmangasa, bel u ngara on dala?” 
MRK.4.39	Pa i kamtur, i sairas a wuwu, pa i atai a top, “Ur manah! Ur mililo.” Pa a wuwu i manah pa a tasi i mililo kakat. 
MRK.4.40	E Iesu i atai la mange, “Sur asa ning mulo matmataut? I mangasa, belot mulo tortorot?” 
MRK.4.41	La matmataut kol, pa la deken artalai la mange, “Esi na ngas a barsan ne, sur a wuwu pa a top diar longor tana?”
MRK.5.1	E Iesu taum ana nuna kakak a asasaer la sot ting na ris a puka tasi Galili, ting na papar anuna tarai Gerasa. 
MRK.5.2	Ning i purum kusun a mon, ning a barsan miting na kulam a minatla, ning a mot i solong tari, i han barati. 
MRK.5.3	A barsan ning i laun ka ting na kulam a minatla. Bel tik i tolsot sur ir dot akes pasi, a sen otleng bel i toh pasi. 
MRK.5.4	Di sira dot naur a kuna pa naur a hana ana senla, ika i sira dat kutus ka a sen kusun naur a kuna, pa i sira sai siksiklik a sen miting na naur a hana. Pa bel tik ir amolmol pasi. 
MRK.5.5	Pa i sira kukuk mokos ana hiakamisla pa ana moromla ting na kulam a minatla, pa ting na mangirla otleng, pa i kotkot a palaonala ana hatatla. 
MRK.5.6	Ning i oroi bakbak pas e Iesu, i dun teteki pa i kes ana naur a bokon na hana salanigo tana. 
MRK.5.7	A barsan ning i kukuk kol mange, “Iesu, Nat e God i Leklek Kol, asa ning ur toli hok? A nunung u ana risana e God sur gong u akadik iau.” 
MRK.5.8	I atongi larne, anasa e Iesu ka atai tari mang, “U a mot, purum kusun a barsan ne!” 
MRK.5.9	Pa e Iesu i dekeni mange, “Esi na risam?” I kelesi mang, “A risak a kabaliur a mot, anasa mila galis kol.” 
MRK.5.10	Pa i nunung rakrakai e Iesu sur gong i sune sen la kusun a pukna ning.
MRK.5.11	A tnan kabaliur a boroi la hangan ting na mangir ning i milau. 
MRK.5.12	A motla la nunung e Iesu mang, “Ur sune mila tetek a boroila sur milar kas uting on la.” 
MRK.5.13	E Iesu i malmaling sen la. La purum kusun a barsan ning, pa la kas tar ana boroila. A boroila la dun purum ting na mangir sur a puka tasi, pa la dom. A boroila rop i arlar ana naur a arip.
MRK.5.14	La ning la tai alar a boroila, la dun ulak, pa la warwara ana utna ne ting na nunla hanua pa dingla na hanhanua otleng. Pa a tarai la han sur lar oroi asa ning i hanot. 
MRK.5.15	Ning la hanot tetek e Iesu, la oroi a barsan ning a kabaliur a motla la purum kusuni. Kaning i kes, ka pipis pas pa ka mananos. Pa a tarai la matmataut. 
MRK.5.16	La oroi asa ning e Iesu i toli, pa la atai a tarai ana utna ning i hanot ana barsan ning a motla la solong tari, pa ana boroila otleng. 
MRK.5.17	Lamur la nunung ongongos e Iesu sur ir han kusun anunla papar.
MRK.5.18	Ning e Iesu i kas ana mon, a barsan ning a motla la solong tari, i nunung e Iesu sur diar han taum. 
MRK.5.19	Ika e Iesu bel i malmaling, i atai i ka mange, “Ur han sur anum a rumai tetek a maimla, pa ur atai la ana tnan utna ning a Leklek ka tol tari hom, pa ana nuna marmaris tetek u.” 
MRK.5.20	Pa i han, pa i warwara amon utumo na papar Dekapolis
MRK.5.21	E Iesu i kas ana mon pa i ulak uto na ris a puka tasi. Ning i kes tumokorot, a tnan kunum a tarai la atalilis pasi. 
MRK.5.22	Ning a ningnigo ana rumai lotu a risana e Jairus, i hanot. Ning i oroi e Iesu, i punga na hanrawai salanigo tana. 
MRK.5.23	Pa i nunung kol mange, “Natuk hane, milau ir mat. Lamut, dar han pa ur sua naur a kum saot ono, sur ir langolango ulak pa ir laun.”
MRK.5.24	Ning dia han taum, a kunum a tarai la mur e Iesu, pa la tur alar pasi.
MRK.5.25	Ning a hane i kurah ana tinsaman na suluk. Ka kurah pas ning a bonot pa pisir naur a rau. 
MRK.5.26	Ka han pas tetek a galis a doktala sur lar nangani, ika la saran a tnan kankan teteki pa la amus pas anuna mani. I rakrakai kol ma a tinsaman ning ono. 
MRK.5.27+MRK.5.28	Ning i longor a warwara o e Iesu, i nuki mang, “Ning ar tuk ka anuna kaen ar langolango ulak.” Pa i han ting lamur tana na tinine kunum a tarai, pa i tuk anuna kaen. 
MRK.5.29	Pa a suluk i suah kakat, pa a hane ning i kilang a palaona mang a tinsaman ka rop. 
MRK.5.30	Ning e Iesu i kilangi mang a rakrakai i han kusuni, i talingir na tinine kunum a tarai, pa i deke mange, “Esining i tuk anuk a kaen?” 
MRK.5.31	Anuna kakak a asasaer la atai i mang, “U oroi ot a kunum a tarai ne la tur talilis pas u, sur asa ning u kabah mang, ‘Esining i tuk iau?’” 
MRK.5.32	Ika e Iesu i tatatai taltal sur esining i tuk tari. 
MRK.5.33	A hane ning i matmataut, pa i koloron, anasa i tasman a utna ning i hanot ono. I han tetek e Iesu, i punga na wurwur salanigo tana, pa i atong puasa a utna ning ka tol tari. 
MRK.5.34	Pa e Iesu i atai i mang, “Natuk, anum a tortorot ka alangolango pas u. Ur han taum ana balmolmol, anum a tinsaman ka rop.”
MRK.5.35	Kaning ot e Iesu i warwara, dingla na tarai la hanot miting na rumai ane Jairus, pa la atai i mang, “Sur asa ning u amolot a Tena Asaer? Natum hane ka mat.”
MRK.5.36	E Iesu bel i pos balana ana warwara ning, i atai ka e Jairus mang, “Gong u matmataut. Ur tortorot ka.” 
MRK.5.37	Bel i malmaling pas tik sur ir muri, ika i ben pas e Pita, e Jems ditas ma e Jon. 
MRK.5.38	Pa ning la hanot ting na rumai ane Jairus, e Iesu i longor a totbor, pa aregaia na tintinangis. 
MRK.5.39	I kas pa i atai la mange, “A totbor pa tintinangis na sa ining? A kaklik ne bel i mat, i borbor duman ka.” 
MRK.5.40	La malani ka. I sune purum la rop, i ben pas a tamana kaklik pa e tana, pa ditol otleng ning ditol han taum ono, pa la kas tetek a kaklik. 
MRK.5.41	E Iesu i tong pas a kuna kaklik hane ning, pa i atai i mange, “Talita koum!” A kamkama warwara ne, “Hanelik, a atai u, ur kamtur.” 
MRK.5.42	Aiapka i kamtur pa i han taltal. A hanelik ning ka takai a bonot pa pisir naur a rau anunai. Pa la kulkulan kol. 
MRK.5.43	E Iesu i sairas rakrakai tar la sur gong la warwara ana utna ne. Pa i atai la sur lar tabar a hanelik ning.
