MAT.1.1	Cartea genealogiei lui Iisus Hristos, fiul lui David, fiul lui Avraam:
MAT.1.22	Toate acestea s-au întâmplat ca să se împlinească ce a zis Domnul prin profetul:
MAT.1.23	care înseamnă: „Dumnezeu este cu noi”.
MAT.1.24	Trezindu-se din somn, Iosif a făcut cum îi poruncise îngerul Domnului şi a luat-o la el pe Maria. 
MAT.1.25	Şi nu a cunoscut-o până ce nu a născut un fiu; şi I-a pus numele Iisus.
MAT.2.1	După ce s-a născut Iisus în Betleem, în Iudeea, în zilele regelui Irod, iată că nişte magi din Răsărit au venit la Ierusalim 
MAT.2.2	şi au întrebat: „Unde este regele iudeilor, cel născut de curând? I-am văzut steaua la Răsărit şi am venit să ne închinăm Lui.” 
MAT.2.3	Când a auzit regele Irod aceste lucruri, s-a tulburat foarte tare şi tot Ierusalimul împreună cu el. 
MAT.2.4	Atunci i-a adunat pe toţi marii preoţi şi cărturarii poporului şi căuta să afle de la ei unde se va naşte Hristos.
MAT.2.5	Ei i-au răspuns: „În Iudeea, în Betleem, căci aşa a scris profetul:
MAT.2.7	Atunci, Irod i-a chemat în ascuns pe magi şi a aflat de la ei timpul când s-a arătat steaua. 
MAT.2.8	Apoi i-a trimis la Betleem zicându-le: „Mergeţi şi cercetaţi cu atenţie despre prunc şi, dacă Îl veţi găsi, daţi-mi de ştire ca să vin şi eu să mă închin Lui.”
MAT.2.9	Iar ei, după ce l-au ascultat pe rege au plecat şi, iată, steaua pe care o văzuseră la Răsărit mergea înaintea lor până a ajuns şi s-a oprit deasupra locului unde era pruncul. 
MAT.2.10	Când au văzut steaua s-au bucurat nespus de mult. 
MAT.2.11	Au intrat în casă, L-au văzut pe prunc împreună cu Maria, mama Lui, şi plecându-se până la pământ I s-au închinat. Şi-au deschis sipetele şi I-au dat în dar: aur, tămâie şi smirnă. 
MAT.2.12	Şi fiindcă li s-a arătat într-un vis să nu se mai întoarcă la Irod, s-au întors în ţara lor pe un alt drum.
MAT.2.13	După plecarea lor un înger al Domnului i s-a arătat lui Iosif în vis şi i-a zis: „Scoală-te, ia pruncul şi pe mama Lui, fugi în Egipt şi stai acolo până îţi voi spune eu, fiindcă Irod va căuta pruncul ca să-L ucidă.” 
MAT.2.14	Iosif s-a sculat, a luat pruncul şi pe mama lui, a plecat în Egipt 
MAT.2.15	şi a stat acolo până la moartea lui Irod, ca să se împlinească ce spusese Domnul prin profetul care a zis: 
MAT.2.16	Irod însă, când a văzut că a fost înşelat de magi, s-a mâniat foarte tare şi a trimis să-i omoare pe toţi pruncii care aveau mai puţin de doi ani şi care erau în Betleem şi împrejurimi, după timpul pe care-l aflase de la magi. 
MAT.2.17	Atunci s-a împlinit cuvântul spus prin profetul Ieremia, care zice:
MAT.2.19	După moartea lui Irod, iată că un înger al Domnului i s-a arătat lui Iosif în vis, în Egipt, 
MAT.2.20	şi i-a zis: „Scoală-te, ia pruncul şi pe mama Lui şi mergi în ţara lui Israel, căci au murit cei ce căutau să ia viaţa pruncului.” 
MAT.2.21	Iosif s-a sculat, a luat pruncul şi pe mama Lui şi a venit în ţara lui Israel. 
MAT.2.22	Auzind însă că în Iudeea domneşte Arhelau, în locul tatălui său Irod, s-a temut să meargă acolo şi, fiind sfătuit în vis, a plecat în împrejurimile Galileii. 
MAT.2.23	Ajungând acolo, a locuit în cetatea numită Nazaret şi aşa s-a împlinit cuvântul spus prin profeţi că va fi numit Nazarinean.
MAT.3.1	În zilele acelea a venit Ioan Botezătorul şi a început să predice în pustiul din Iudeea. 
MAT.3.2	El zicea: „Pocăiţi-vă, fiindcă Împărăţia cerurilor s-a apropiat!” 
MAT.3.3	El este acela despre care a zis profetul Isaia:
MAT.3.4	Ioan avea îmbrăcăminte din păr de cămilă, cingătoare de piele şi se hrănea cu lăcuste şi miere sălbatică. 
MAT.3.5	Atunci locuitorii din Ierusalim, din toată Iudeea şi din împrejurimile Iordanului au început să vină la el. 
MAT.3.6	Îşi mărturiseau păcatele şi erau botezaţi de el în râul Iordan.
MAT.3.7	Când a văzut că mulţi farisei şi saduchei veneau să fie botezaţi, le-a zis: „Pui de vipere, cine v-a învăţat să fugiţi de mânia care vine? 
MAT.3.8	Faceţi mai întâi roade vrednice de pocăinţă 
MAT.3.9	Şi să nu vă închipuiţi că puteţi zice în voi înşivă: Avraam este tatăl nostru!, căci vă spun că Dumnezeu poate să-i ridice fii lui Avraam chiar din pietrele acestea. 
MAT.3.10	Iată, securea stă la rădăcina pomilor şi orice pom care nu aduce rod bun va fi tăiat şi aruncat în foc. 
MAT.3.11	Eu vă botez în apă, spre pocăinţă, însă, după mine vine cineva care este mai puternic decât mine şi eu nu sunt vrednic să-I dezleg încălţămintea. El vă va boteza în Duhul Sfânt şi foc. 
MAT.3.12	El are lopata în mână şi Îşi va curăţa aria, va strânge grâul în hambar, iar pleava o va arde în foc de nestins.”
MAT.3.13	În acest timp a venit Iisus din Galileea la Iordan ca să fie botezat de către Ioan. 
MAT.3.14	Ioan însă căuta să-L oprească zicând: „Eu ar trebui să fiu botezat de Tine şi Tu vii la mine?” 
MAT.3.15	Iisus însă i-a răspuns: „Lasă acum! Fiindcă aşa se cuvine, ca să împlinim tot ceea ce este drept.” Atunci Ioan L-a lăsat. 
MAT.3.16	După ce a fost botezat, Iisus a ieşit îndată din apă şi deodată cerurile s-au deschis şi Duhul lui Dumnezeu s-a văzut coborând ca un porumbel şi aşezându-se peste El. 
MAT.3.17	Şi iată, s-a auzit un glas din ceruri zicând: „Acesta este Fiul Meu cel iubit, în El îmi găsesc bucuria.”
MAT.4.1	Iisus a fost dus de Duhul în pustie ca să fie ispitit de Diavol. 
MAT.4.2	După ce a postit patruzeci de zile şi patruzeci de nopţi, I s-a făcut foame. 
MAT.4.3	Ispititorul s-a apropiat şi I-a zis: „Dacă eşti Fiul lui Dumnezeu, porunceşte ca aceste pietre să se prefacă în pâine!” 
MAT.4.4	El însă, i-a răspuns: „Stă scris:
MAT.4.5	Atunci Diavolul L-a dus în Cetatea sfântă, pe acoperişul Templului 
MAT.4.6	şi I-a zis: „Dacă eşti Fiul lui Dumnezeu, aruncă-Te, pentru că stă scris:
MAT.4.7	Iisus i-a răspuns: „De asemenea stă scris: 
MAT.4.8	Diavolul L-a dus din nou pe un munte înalt. I-a arătat toate împărăţiile lumii în toată splendoarea lor 
MAT.4.9	şi I-a zis: „Toate acestea Ţi le voi da, dacă Te vei pleca înaintea mea şi mi Te vei închina.” 
MAT.4.10	Atunci Iisus i-a zis: „Mergi înapoia mea, Satano! Pentru că stă scris:
MAT.4.11	Atunci Diavolul L-a lăsat, iar îngerii s-au apropiat şi-I slujeau.
MAT.4.12	Când a auzit că Ioan a fost prins, Iisus a plecat în Galileea. 
MAT.4.13	A părăsit Nazaretul şi s-a dus să locuiască în Capernaum, care este aşezat pe ţărmul mării, în regiunea Zabulon şi Neftali. 
MAT.4.14	Aşa s-a împlinit ceea ce spusese Isaia, profetul:
MAT.4.17	De atunci încolo Iisus a început să predice astfel: „Pocăiţi-vă, pentru că Împărăţia cerurilor s-a apropiat.”
MAT.4.18	Pe când mergea de-a lungul mării Galileii a văzut doi fraţi, pe Simon, numit şi Petru, şi pe Andrei, fratele său. Ei erau pescari şi tocmai aruncau mrejele în mare. 
MAT.4.19	Iisus le-a zis: „Veniţi după Mine şi vă voi face pescari de oameni.” 
MAT.4.20	Îndată aceştia şi-au aruncat năvoadele şi L-au urmat. 
MAT.4.21	Iisus a mers mai departe şi a văzut încă doi fraţi, pe Iacov, fiul lui Zebedeu, şi pe Ioan, fratele său. Ei erau în barcă împreună cu tatăl lor şi pregăteau năvoadele. El i-a chemat 
MAT.4.22	şi imediat au lăsat barca şi pe tatăl lor şi L-au urmat.
MAT.4.23	Iisus străbătea toată Galileea învăţând în sinagogile lor, predicând evanghelia Împărăţiei şi vindecând orice boală şi orice suferinţă a poporului. 
MAT.4.24	Faima lui a ajuns până în Siria şi îi aduceau la El pe toţi cei care aveau diferite boli, pe cei suferinzi, pe demonizaţi, lunatici şi paralitici, iar El îi vindeca. 
MAT.4.25	Mulţimile îl urmau, venind din Galileea şi din Decapolis, din Ierusalim şi din Iudeea şi din cealaltă parte a Iordanului.
MAT.5.1	Când a văzut mulţimile, Iisus a urcat pe munte şi s-a aşezat. Ucenicii s-au apropiat, 
MAT.5.2	iar El a început să le spună:
MAT.5.3	„Fericiţi cei săraci în duh,
MAT.5.3	pentru că a lor este Împărăţia cerurilor.
MAT.5.4	Fericiţi cei întristaţi,
MAT.5.4	pentru că vor fi mângâiaţi.
MAT.5.5	Fericiţi cei blânzi,
MAT.5.5	pentru că ei vor moşteni pământul.
MAT.5.6	Fericiţi cei flămânzi şi însetaţi de dreptate,
MAT.5.6	pentru că ei vor fi săturaţi.
MAT.5.7	Fericiţi cei milostivi,
MAT.5.7	pentru că ei vor avea parte de milă.
MAT.5.8	Fericiţi cei cu inima curată,
MAT.5.8	pentru că ei Îl vor vedea pe Dumnezeu.
MAT.5.9	Fericiţi aducătorii de pace,
MAT.5.9	pentru că ei vor fi numiţi fiii lui Dumnezeu.
MAT.5.10	Fericiţi cei persecutaţi pentru dreptate,
MAT.5.10	pentru că a lor este Împărăţia cerurilor.
MAT.5.11	Fericiţi veţi fi când veţi fi învinuiţi, persecutaţi şi se vor spune lucruri rele împotriva voastră din cauza Mea. 
MAT.5.12	Bucuraţi-vă şi înveseliţi-vă pentru că mare este răsplata voastră în ceruri. Tot aşa au fost persecutaţi şi profeţii care au fost înaintea voastră.
MAT.5.13	Voi sunteţi sarea pământului. Dacă sarea îşi pierde gustul, cum va mai săra? Nu mai e bună de nimic, aşa că va fi aruncată şi călcată în picioare de către oameni.
MAT.5.14	Voi sunteţi lumina lumii. O cetate aşezată pe munte nu poate să rămână ascunsă. 
MAT.5.15	Când se aprinde o făclie nimeni nu-i pune deasupra un obroc, ci e pusă într-un sfeşnic şi luminează în toată casa. 
MAT.5.16	Tot aşa să strălucească şi lumina voastră înaintea oamenilor pentru ca, văzând ei faptele voastre bune, să dea slavă Tatălui vostru care este în ceruri.
MAT.5.17	Să nu credeţi că am venit să desfiinţez Legea şi Profeţii. N-am venit să le desfiinţez, ci să le aduc împlinirea. 
MAT.5.18	Adevărat vă spun, că, atâta vreme cât nu vor trece cerul şi pământul, nici o literă
MAT.5.19	Aşa că oricine va înlătura chiar şi cea mai mică dintre aceste porunci şi îi va învăţa pe alţii să facă la fel, va fi socotit cel mai mic în Împărăţia cerurilor, însă oricine le va păzi şi îi va învăţa şi pe alţii să facă la fel, va fi socotit mare în Împărăţia cerurilor. 
MAT.5.20	De aceea vă spun: Dacă dreptatea voastră nu o va întrece pe cea a cărturarilor şi a fariseilor, nu veţi intra în Împărăţia cerurilor.
MAT.5.21	Aţi auzit ce s-a spus celor din trecut: 
MAT.5.22	Eu însă vă spun: Oricine se mânie pe fratele său va fi judecat. Oricine va zice fratelui său: Prostule! va fi condamnat de Sinedriu, şi oricine îi va zice: Nebunule! va fi condamnat la focul gheenei. 
MAT.5.23	Când îţi duci darul la altar, dacă îţi aminteşti că fratele tău are ceva cu tine, 
MAT.5.24	lasă-ţi darul acolo, înaintea altarului, mergi şi împacă-te cu fratele tău şi vino apoi şi adu-ţi darul. 
MAT.5.25	Împacă-te cu duşmanul tău repede, pe când eşti încă pe drum cu el, înainte să te dea pe mâna judecătorului, judecătorul pe mâna temnicerului şi să fii aruncat în temniţă. 
MAT.5.26	Adevărat îţi spun că nu vei ieşi de acolo până când nu vei plăti şi ultimul bănuţ.
MAT.5.27	Aţi auzit că s-a zis: 
MAT.5.28	Eu însă vă spun că oricine se uită cu jind la o femeie, a comis deja adulter în inima lui. 
MAT.5.29	Dacă ochiul tău drept te face să cazi în păcat, scoate-l şi aruncă-l, pentru că e mai bine să piară unul din mădularele tale, decât să-ţi fie aruncat tot trupul în gheenă. 
MAT.5.30	Dacă mâna ta dreaptă te face să cazi în păcat, tai-o şi arunc-o, pentru că e mai bine să piară unul din mădularele tale decât să-ţi fie nimicit în gheenă întregul trup.
MAT.5.31	Şi s-a mai zis: 
MAT.5.32	Eu vă spun însă că oricine îşi părăseşte soţia, în afară de cazul în care ea trăieşte în desfrâu, îi dă prilej să devină adulteră. Iar cine ia de soţie pe cea divorţată, devine adulter.
MAT.5.33	Aţi mai auzit iarăşi că s-a zis celor din vechime: 
MAT.5.34	Dar Eu vă spun: Să nu juraţi deloc, nici pe cer, pentru că este tronul lui Dumnezeu, 
MAT.5.35	nici pe pământ, fiindcă este aşternutul picioarelor Lui, nici pe Ierusalim, fiindcă este cetatea marelui Împărat. 
MAT.5.36	Să nu juri nici pe capul tău, fiindcă nu poţi face nici măcar un fir de păr alb sau negru. 
MAT.5.37	Vorbirea voastră să fie aşa: da, să fie da; nu, să fie nu. Ce trece peste aceste cuvinte, vine de la cel Rău.
MAT.5.38	Aţi auzit că s-a zis: 
MAT.5.39	Eu vă zic însă: Nu vă împotriviţi celui Rău. Ci, dacă te loveşte peste obrazul drept, întoarce-l şi pe celălalt. 
MAT.5.40	Celui ce vrea să se judece cu tine, ca să-ţi ia haina, dă-i şi cămaşa. 
MAT.5.41	Tot aşa, dacă cineva te obligă să mergi cu el o milă, mergi două. 
MAT.5.42	Celui ce-ţi cere dă-i, şi nu întoarce spatele celui ce vrea să se împrumute de la tine.
MAT.5.43	Aţi auzit ce s-a zis: 
MAT.5.44	Eu însă vă spun: Iubiţi-i pe duşmanii voştri şi rugaţi-vă pentru cei care vă persecută, 
MAT.5.45	ca să deveniţi fiii Tatălui vostru care este în ceruri, pentru că El face să răsară soarele şi peste cei răi şi peste cei buni, şi face să plouă şi peste cei drepţi şi peste cei nedrepţi. 
MAT.5.46	Dacă îi iubiţi doar pe cei ce vă iubesc, ce răsplată mai aşteptaţi? Nu tot aşa fac şi vameşii? 
MAT.5.47	Şi dacă îi salutaţi doar pe fraţii voştri, ce lucru deosebit faceţi? Oare păgânii nu fac la fel? 
MAT.5.48	Voi fiţi aşadar desăvârşiţi, după cum şi Tatăl vostru cel din ceruri este desăvârşit!
MAT.6.1	Luaţi seama să nu faceţi ce este drept doar ca să fiţi văzuţi de oameni, altfel, nu veţi avea răsplată de la Tatăl vostru care este în ceruri.
MAT.6.2	Tu deci, când faci fapte de milostenie, nu suna cu trâmbiţa înaintea ta, cum fac făţarnicii, în sinagogi şi pe străzi, ca să fie slăviţi de oameni. Adevărat vă spun, şi-au luat deja răsplata. 
MAT.6.3	Ci tu, când faci fapte de milostenie, să nu ştie stânga ta ce face dreapta, 
MAT.6.4	pentru ca milostenia ta să fie făcută în ascuns. Iar Tatăl tău, care vede în ascuns, te va răsplăti.
MAT.6.5	Când vă rugaţi, să nu fiţi ca făţarnicii, cărora le place să se roage stând în picioare în sinagogi şi la colţurile străzilor, ca să fie văzuţi de oameni. Adevărat vă spun, şi-au luat deja răsplata. 
MAT.6.6	Ci, când te rogi, intră în camera ta, încuie uşa şi roagă-te Tatălui tău, care este în ascuns, şi Tatăl tău, care vede în ascuns, te va răsplăti. 
MAT.6.7	Când vă rugaţi, să nu spuneţi multe vorbe ca păgânii, cărora li se pare că dacă spun o mulţime de vorbe vor fi ascultaţi. 
MAT.6.8	Să nu vă asemănaţi cu ei, fiindcă Tatăl vostru ştie de ce aveţi nevoie, mai înainte să-I cereţi voi. 
MAT.6.9	Iată deci cum trebuie să vă rugaţi:
MAT.6.9	Tatăl nostru care eşti în ceruri,
MAT.6.9	sfinţească-se Numele Tău,
MAT.6.10	vie împărăţia Ta,
MAT.6.10	facă-se voia Ta,
MAT.6.10	precum în cer şi pe pământ.
MAT.6.11	Pâinea noastră cea spre fiinţă
MAT.6.11	dă-ne-o nouă astăzi
MAT.6.12	şi ne iartă nouă greşelile noastre
MAT.6.12	precum şi noi iertăm greşiţilor noştri
MAT.6.13	şi nu ne duce în ispită,
MAT.6.13	ci ne izbăveşte de cel Rău,
MAT.6.13	pentru că a Ta este Împărăţia
MAT.6.13	şi puterea şi slava în veci. Amin!
MAT.6.14	Dacă le iertaţi oamenilor greşelile, şi Tatăl vostru care este în ceruri vă va ierta. 
MAT.6.15	Dar dacă nu le iertaţi oamenilor greşelile, nici Tatăl vostru nu vă va ierta greşelile.
MAT.6.16	Când postiţi, să nu vă luaţi o înfăţişare posomorâtă ca făţarnicii, care îşi întunecă feţele, ca să le arate oamenilor că postesc. Adevărat vă spun, şi-au luat deja răsplata! 
MAT.6.17	Tu însă, când posteşti, unge-ţi capul şi spală-ţi faţa, 
MAT.6.18	ca să arăţi că posteşti, nu oamenilor, ci Tatălui tău, care este în ascuns, şi Tatăl tău, care vede în ascuns, te va răsplăti.
MAT.6.19	Nu vă strângeţi comori pe pământ, unde le mănâncă moliile şi rugina şi unde le sapă şi le fură hoţii, 
MAT.6.20	ci strângeţi-vă comori în cer, unde nu le mănâncă moliile şi rugina şi unde hoţii nu le sapă, nici nu le fură, 
MAT.6.21	pentru că unde este comoara voastră, acolo va fi şi inima voastră.
MAT.6.22	Ochiul este lumina trupului. Dacă ochiul tău este sănătos, tot trupul tău va fi plin de lumină, 
MAT.6.23	dar dacă ochiul tău este rău, tot trupul îţi va fi plin de întuneric. Aşadar, dacă lumina care este în tine este întuneric, cât de mare trebuie să fie întunericul acesta!
MAT.6.24	Nimeni nu poate sluji la doi stăpâni, pentru că, sau îl va urî pe unul şi îl va iubi pe celălalt, sau va ţine la unul şi-l va nesocoti pe celălalt. Nu puteţi sluji lui Dumnezeu şi lui Mamona.
MAT.6.25	De aceea vă spun: Nu vă îngrijoraţi pentru viaţa
MAT.6.26	Uitaţi-vă la păsările cerului: nici nu seamănă, nici nu seceră şi nici nu strâng nimic în grânare. Şi totuşi Tatăl vostru din ceruri le hrăneşte. Oare nu sunteţi voi cu mult mai de preţ decât ele? 
MAT.6.27	Şi apoi, care dintre voi, chiar îngrijorându-se, poate să adauge măcar un cot la înălţimea lui? 
MAT.6.28	Şi de ce vă îngrijoraţi pentru haine? Uitaţi-vă cu atenţie la crinii de pe câmp: nici nu torc şi nici nu ţes. 
MAT.6.29	Şi totuşi vă spun că nici măcar Solomon, în toată măreţia lui, nu s-a îmbrăcat ca vreunul dintre aceştia. 
MAT.6.30	Dacă Dumnezeu îmbracă astfel iarba de pe câmp, care astăzi este, dar mâine va fi aruncată în cuptor, nu vă va îmbrăca El cu mult mai mult şi pe voi, puţin credincioşilor? 
MAT.6.31	Nu vă îngrijoraţi deci zicând: Ce vom mânca? sau: Ce vom bea? sau: Cu ce ne vom îmbrăca? 
MAT.6.32	Toate aceste lucruri le caută şi neamurile. Tatăl vostru ceresc ştie că aveţi nevoie de ele. 
MAT.6.33	Căutaţi mai întâi Împărăţia lui Dumnezeu şi dreptatea Lui şi toate aceste lucruri vi se vor da pe deasupra. 
MAT.6.34	Nu vă îngrijoraţi deci pentru ziua de mâine, fiindcă ziua de mâine se va îngrijora pentru ea însăşi. Ajunge zilei necazul ei!
MAT.7.1	Nu judecaţi, ca să nu fiţi judecaţi! 
MAT.7.2	Cu ce judecată judecaţi, cu aceea veţi fi judecaţi şi cu ce măsură măsuraţi, cu ea vi se va măsura. 
MAT.7.3	De ce vezi tu paiul din ochiul fratelui tău şi nu observi bârna din ochiul tău? 
MAT.7.4	Cum poţi spune fratelui tău: Lasă-mă să-ţi scot paiul din ochi! – când tu ai o bârnă într-al tău? 
MAT.7.5	Făţarnicule, scoate întâi bârna din ochiul tău şi atunci vei vedea să scoţi paiul din ochiul fratelui tău! 
MAT.7.6	Nu daţi lucrurile sfinte la câini şi nu aruncaţi mărgăritarele voastre înaintea porcilor, ca nu cumva să le calce în picioare şi să se întoarcă şi să vă rupă.
MAT.7.7	Cereţi şi vi se va da, căutaţi şi veţi găsi, bateţi şi vi se va deschide, 
MAT.7.8	pentru că oricine cere capătă, cine caută găseşte şi celui ce bate i se deschide. 
MAT.7.9	Cine dintre voi, dacă-i cere fiul său o pâine, îi dă o piatră? 
MAT.7.10	Sau, dacă-i cere un peşte, îi dă un şarpe? 
MAT.7.11	Deci, dacă voi, care sunteţi răi, ştiţi să daţi daruri bune copiilor voştri, cu atât mai mult Tatăl vostru care este în ceruri va da lucruri bune celor ce I le cer! 
MAT.7.12	Tot ce vreţi să vă facă vouă oamenii, faceţi-le şi voi la fel, fiindcă în aceasta este cuprinsă Legea şi Profeţii!
MAT.7.13	Intraţi pe poarta cea strâmtă, pentru că largă este poarta, lată este calea care duce la pierzare şi mulţi sunt cei ce intră pe ea. 
MAT.7.14	Dar strâmtă este poarta, îngustă este calea care duce la viaţă şi puţini sunt cei ce o găsesc.
MAT.7.15	Păziţi-vă de profeţii mincinoşi! Ei vin la voi îmbrăcaţi în haine de oi, dar pe dinăuntru sunt nişte lupi lacomi. 
MAT.7.16	După roadele lor îi veţi recunoaşte. Oare culeg oamenii struguri din mărăcini sau smochine din ciulini? 
MAT.7.17	Tot aşa, orice pom bun face roade bune, însă pomul rău face roade rele. 
MAT.7.18	Pomul bun nu poate face roade rele şi nici pomul rău nu poate face roade bune. 
MAT.7.19	Orice pom care nu face roade bune este tăiat şi aruncat în foc. 
MAT.7.20	Astfel că după roadele lor îi veţi recunoaşte.
MAT.7.21	Nu oricine-mi zice: Doamne, Doamne! va intra în Împărăţia cerurilor, ci acela care împlineşte voia Tatălui Meu care este în ceruri. 
MAT.7.22	Mulţi îmi vor spune în ziua aceea: Doamne, Doamne! Oare n-am profeţit noi în Numele Tău? N-am alungat noi demoni în Numele Tău? N-am făcut noi multe minuni în Numele Tău? 
MAT.7.23	Atunci le voi spune: Niciodată nu v-am cunoscut; îndepărtaţi-vă de Mine, voi toţi care săvârşiţi fărădelegea!
MAT.7.24	De aceea, oricine aude cuvintele Mele şi le împlineşte, se va asemăna cu un om cu judecată care şi-a zidit casa pe stâncă. 
MAT.7.25	A căzut ploaia, au venit şuvoaiele, au suflat vânturile şi au bătut în casa aceea, dar ea nu s-a prăbuşit, pentru că avea temelia zidită pe stâncă. 
MAT.7.26	Însă oricine aude cuvintele Mele şi nu le împlineşte se va asemăna cu un om nechibzuit care şi-a zidit casa pe nisip. 
MAT.7.27	A căzut ploaia, au venit şuvoaiele, au suflat vânturile şi au bătut în casa aceea şi ea s-a prăbuşit, iar prăbuşirea ei a fost mare.” 
MAT.7.28	După ce a sfârşit Iisus aceste cuvinte, mulţimile au rămas uimite de învăţătura Lui, 
MAT.7.29	fiindcă El îi învăţa ca unul care avea autoritate, nu cum îi învăţau cărturarii lor.
MAT.8.1	Când a coborât Iisus de pe munte, o mare mulţime a mers după El. 
MAT.8.2	Un lepros s-a apropiat de El, I s-a închinat şi I-a zis: „Doamne, dacă vrei, poţi să mă vindeci!” 
MAT.8.3	Iisus a întins mâna, s-a atins de el şi a zis: „Da, vreau! Fii vindecat!” Imediat a fost vindecat de lepră. 
MAT.8.4	Apoi Iisus i-a zis: „Vezi să nu spui nimănui, ci du-te şi arată-te preotului şi adu darul pe care l-a rânduit Moise, ca mărturie înaintea lor.”
MAT.8.5	Pe când intra Iisus în Capernaum, s-a apropiat de El un centurion şi L-a rugat 
MAT.8.6	zicându-i: „Doamne, slujitorul meu zace în casă paralizat şi se chinuie cumplit.” 
MAT.8.7	Iisus i-a zis: „Vin să-l vindec!” 
MAT.8.8	„Doamne” a răspuns centurionul, „nu sunt vrednic să intri sub acoperişul meu. Spune doar o vorbă şi slujitorul meu se va vindeca. 
MAT.8.9	Şi eu sunt sub stăpânire şi am în subordine ostaşi şi dacă-i zic unuia: Du-te! – se duce, iar altuia: Vino! – vine, şi slujitorului meu: Fă cutare lucru! – îl face.” 
MAT.8.10	Când a auzit Iisus aceste vorbe, s-a mirat şi le-a zis celor ce veneau după El: „Adevărat vă spun, că nici în Israel n-am găsit o credinţă aşa de mare. 
MAT.8.11	Vă spun însă, că vor veni mulţi de la răsărit şi de la apus şi vor sta la masă cu Avraam, Isaac şi Iacov în Împărăţia cerurilor. 
MAT.8.12	Iar fiii Împărăţiei vor fi aruncaţi în întunericul de afară, unde va fi plânsul şi scrâşnirea dinţilor.” 
MAT.8.13	Apoi i-a zis centurionului: „Du-te şi să se facă după credinţa ta!” Şi slujitorul lui s-a vindecat chiar în ceasul acela.
MAT.8.14	Iisus s-a dus apoi în casa lui Petru şi a văzut-o pe soacra acestuia zăcând cuprinsă de friguri. 
MAT.8.15	A apucat-o de mână şi au lăsat-o frigurile, apoi ea s-a sculat şi a început să-i slujească. 
MAT.8.16	Când a venit seara, au adus la Iisus mulţi demonizaţi. El, prin cuvântul Lui, a scos din ei spiritele necurate şi i-a vindecat pe toţi bolnavii, 
MAT.8.17	ca să se împlinească ce fusese vestit prin profetul Isaia, care zice:
MAT.8.18	Iisus a văzut mulţimea în jurul Său şi a poruncit să treacă de cealaltă parte a mării. 
MAT.8.19	Atunci s-a apropiat de El un cărturar şi I-a zis: „Învăţătorule, vreau să Te urmez oriunde vei merge!” 
MAT.8.20	Iisus i-a răspuns: „Vulpile au vizuini şi păsările cerului au cuiburi, dar Fiul Omului n-are unde să-şi pună capul.” 
MAT.8.21	Altul însă, unul dintre ucenici, I-a zis: „Doamne, dă-mi voie să mă duc mai întâi să-l îngrop pe tatăl meu.” 
