GEN.1.1	Ti kucangtsi ti Rimam mam apupwen ti riben, 
GEN.2.15	Yaweh Rimam sa unde wu som uwae risaen ti Eden atang, ti awu na tom wu, ama na u nungkyi wu. 
GEN.2.16	Ama Yaweh Rimam nda unde wu unju baa, “Ci-fu awaen ituku ti ta risaen ike meme. 
GEN.2.17	Amaa, kutuku ti ku nda unde nungye itinyang ti itibi ti ta risaen ike, ci-fu awaen-wu be, ikyaen ti, usir ti afu a ci wu, afu u cwucwu.”
GEN.2.18	Yaweh Rimam ri baa, “Ayi nyang-yi ti unde ā som kum awu amam be, ame u kyae na wu unde ti rukwer wu, ti u ndeya wu.” 
GEN.2.19	Tiri, Yaweh Rimam mam ibye kutur ti inung ti ku pinn apupwen meme te isa riben, u pu yi ba na unde wu ti wu na fa yi rinyi. Rinyi ti unde wu a fa ibye titini, ayi si kunn pu yi rinyi-wu. 
GEN.2.20	Ne si fengo ti unde wu fa meme asinn rinyi, tí inung ti apupwen tí ibye kutur meme. Amaa, unde wu ta-wu te unde iki ti rukwer wu, ti u ndeya wu be.
GEN.2.21	Ikyaen yine, Yaweh Rimam nda unde wu sī kicwag burrr. Ama kiye ti unde wu ku cwag kicwag, Yaweh Rimam nwaen ra ukub ishi unde wu kinjo, u fxeb kyi uwog wu ti ibye ijwe, 
GEN.2.22	ama u sa ukub wu ti awu nwaen ru ye ijwe unde wu kyae unda atang, u pu unda wu ba na unde wu. 
GEN.2.23	Tiri unde wu ri baa,
GEN.2.23	“Awune si ukub na akub-m,
GEN.2.23	ti ibye na ibye rimenn-m.
GEN.2.23	Rinyi-wu u si unda,
GEN.2.23	ikyaen ti, a kyae wu ruye rimenn urom.”
GEN.2.24	Nee iken ti nde unde ku ya itse-wu ti iya-wu ta, ku ba bae fa te uwa-wu, meme ifaen-ba u kafe ijwe rimenn kinjo.
GEN.2.25	Unde wu ti uwa-wu tsi ribam, ama u wae-ba rukwae atso be.
GEN.3.1	Uwae ibye kutur ti Yaweh Rimam kyae meme, ikentibi site itsab tí kufur ti skeb titag. Awu rang unda wu baa, “Kubenti ti Rimam fa ni kusen baa, ani na ci-ni awaen ituku iki ufang ike be né?” 
GEN.3.2	Unda wu ri te ikentibi baa, “Iyee, ati u ci awaen ituku ti ta ufang ike ne, 
GEN.3.3	amaa, Rimam fa ti kusen risu awaen kutuku ti ta kutampwa ufang wune baa, ati na ci-ti ayi be, ati na sa kujwo tekunn-ti ayi be, be ati na u cwu.”
GEN.3.4	Ikentibi ri te unda wu baa, “Ani u cwu-ni be. 
GEN.3.5	Rimam nung ti ani a ci, ayib-ni u mbubta, ani u te wu pang atso, u nungye itinyang ti itibi.”
GEN.3.6	Ti unda wu nung baa, awaen kutuku wu na nyang ti ci, u nyang ti sae, ama na ku nda ande itinungye tí ben-ayib, awu kwaen u ci, u pu ariki ba na ubaen-wu, ubaen-wu pu ci. 
GEN.3.7	Tiri ayib-ba mbubta, aba nungye ti aba tsi ribam. Ikyaen yine aba kyaeb atsing kutuku skaen.
GEN.3.8	Adamu ti uwa-wu fxen akyae ikyin ti Yaweh Rimam ku kyang uwae risaen ufang atang ti usir sunn ku pu wu. Aba sha imbyi kufub, u ka tam atang ti Rimam na nungye-wu aba be. 
GEN.3.9	Ama Yaweh Rimam kunn unde wu, u rang wu baa, “Afu ta-fu aka?”
GEN.3.10	Awu cwe ira u ri baa, “Ame fxen ikyae afxen-fu ti ku ba uwae ufang ike, ama ikyenricwu ye m, ikyaen ti ame tsi ribam, nee iken ti nde ame ba titam.”
GEN.3.11	Rimam rang wu baa, “Aye ti ri te fu baa afu na tsi ribam? Awaen kutuku ti ame fa fu kusen baa, afu na ci-fu be né, afu ci pu fu awu be a.”
GEN.3.12	Adamu ri baa, “Unda wu ti afu pu na m ti wu na som te m né, awu ti kwaen na m awaen kutuku wu, ama ame ci.”
GEN.3.13	Yaweh rang unda wu baa,
GEN.3.13	“Imi ti afu nde ne?”
GEN.3.13	Unda wu ri baa,
GEN.3.13	“Mbaa ikentibi ti kyaefa m,
GEN.3.13	nee ame ci awaen kutuku wu re.”
GEN.3.14	Yaweh Rimam
GEN.3.14	ri te ikentibi wu baa,
GEN.3.14	“Ikyaen iken ti afu nde ne,
GEN.3.14	kufwag ta risu-fu
GEN.3.14	skeb ana iken ti shi
GEN.3.14	ti ibye kutur ti tsitsi meme!
GEN.3.14	Uwae unyang-fu,
GEN.3.14	afu u ten ti rishwu u ci isa.
GEN.3.15	Ame u sa kuka tsi
GEN.3.15	kutampwa-fu, ti unda wu,
GEN.3.15	kutampwa utso-fu, ti utso unda wu.
GEN.3.15	Afu u pye wu ti ukyig kufxen,
GEN.3.15	awu ama u jwog mbub risu-fu.”
GEN.3.16	Unda wu ama,
GEN.3.16	Rimam ri te wu baa,
GEN.3.16	“Ayi u si fu ti kicaeb timambe
GEN.3.16	kiye umbae ti mbae.
GEN.3.16	Ijaen-fu ama
GEN.3.16	u tsi kunn rimenn ubaen-fu,
GEN.3.16	awu u ta risu-fu.”
GEN.3.17	Adamu ama,
GEN.3.17	Rimam ri te wu baa,
GEN.3.17	“Afu fxen uwa-fu,
GEN.3.17	u ci awaen kutuku
GEN.3.17	ti ame fa fu kusen risu-wu,
GEN.3.17	ti afu na ci-fu be.
GEN.3.17	Ikyaen yine,
GEN.3.17	ame faen riben kufaen ikyaen-fu.
GEN.3.17	Afu u tóm, u nde rikaen titawe
GEN.3.17	afu u ci u ngwa
GEN.3.17	kaa sang usir ti afu u cwu.
GEN.3.18	Irum ti acwong ti ikajwo
GEN.3.18	u shab tsoye riben ikyaen-fu.
GEN.3.19	Tí atsam-fu, afu u ci wuci-fu
GEN.3.19	kaa kwer ti usir ti afu
GEN.3.19	u kafe si ti yi riben,
GEN.3.19	ikyaen ti afu tsoye riben.
GEN.3.19	A kyae fu ru ye riben,
GEN.3.19	afu u kafe si ti riben.”
GEN.3.20	Adamu fa rinyi uwa-wu baa, “Awa” ti ku tso baa, awu na si iya ande ti site unyang meme. 
GEN.3.21	Yaweh Rimam pu apwa ibye na Adamu ti uwa-wu ti a na cwun kyi ribam-ba.
GEN.3.22	Ama Yaweh Rimam ri baa, “Tine, unde kafe pu wu pangma kinjo uwae-ti, awu nung pu wu itinyang ti itibi. Ti byangkyi wu, be, awu kaa kwaen awaen kutuku na unyang ci, ama u cwu-wu cwucwo be.” 
GEN.3.23	Ikyaen yine, Yaweh Rimam rwae unde ru ye uwae ufang Eden, ti wu na ka tom riben uwog ti a kyae wu tsoye atang. 
GEN.3.24	Isim ti awu rwae unde wu ru ye pu wu, awu pu kerubi
GEN.4.1	Adamu nae te uwa-wu Awa, ama awu tu rishwu u mbae umbae ti urom u fa rinyi-wu baa, “Kayinu.” Imbyi rinyi wu baa “Tí itindeya Yaweh, ame mbae urom.” 
GEN.4.2	Isim-yi, awu mbae inja-wu Abila. Abila si unde ti ku shi asinn, Kayinu ama si unde ti ku tom ritom. 
GEN.4.3	Isim kiye iki, Kayinu pu wuci ti awu tu risaen ufang ba nda Yaweh rinyangwae. 
GEN.4.4	Abila ama tsab uwae iken ti shi-wu ti rikem, ayi ti a mbae yi tawe, u pu yi ba na Rimam. Ama Yaweh kyangte Abila ti rinyangwae-wu, 
GEN.4.5	amaa, awu kyangte-wu ana Kayinu be. Ikyaen yine Kayinu tso rinae, utob-wu ndembeb. 
GEN.4.6	Yaweh rang Kayinu baa, “Imi ti nde afu ku ndembeb utob? Imi ti nde afu yir kyi uwe-fu? 
GEN.4.7	Á baa afu na nde iken ti pang atang, ame ú paembe-m rinyangwae-fu be a. Nung nyinyang, be ikentitibi tsi ku nwan fu, ti wu u ndembeb fu. Kwab ti fu ci rika risu-wu.”
GEN.4.8	Ama Kayinu ri te inja-wu Abila baa, “Ba ti ti ru ka utab umae akwen.” Ama ti aba ka sang utabmae atang, Kayinu ye Abila byinn wen.
GEN.4.9	Ama Yaweh rang Kayinu baa, “Inja-fu Abila ta aka?” Kayinu ri baa, “Ame nung-m be, ame ti si unde ti ku nungkyi inja-m a.”
GEN.4.10	Yaweh rang wu baa, “Imi ti nde nee afu nde ira beb ahan? Fxen! Anying inja-fu ti yaen sur riben ku kunn rikwen uwe-m ta re. 
GEN.4.11	Tine, kufwag ta risu-fu. Riben u nyang-wu wuci cwucwo be, ayi riben wu ti mbubta unju, u ngwa anying inja-fu ne. 
GEN.4.12	Afu a tom riben, awu u waen-wu wuci na fu cwucwo be. Afu u kafe unde ti ku kyangfa kyangfa ku wumm, u si-fu ti uwog ti som utense be.”
GEN.4.13	Kayinu ri te Yaweh baa, “Kimbab ti byinn-fu ne skeb pu yi ame risu! 
GEN.4.14	Tine afu rwae sha pu fu ame riben wu, ame u sae-m kutxuwe-fu cwucwo be. Ame si te-m uwog ti som utense cwucwo be. Unde ti a tu m, awu u wen ra m.”
GEN.4.15	Ama Yaweh ri baa, “Iyee, ikyaen ti unde titini ti a wen Kayinu, awu u ngwa rikaen ti skeb ana wu atsepu itsongfaen.” Ama Rimam sur awaen rimenn Kayinu ikyaen ti unde ti a tu wu, unde wu ā wen-wu awu be. 
GEN.4.16	Ama Kayinu nwunn kutxuwe Yaweh atang, u ru ka som uten iki ti rinyi-wu si, “Nod”
GEN.4.17	Kayinu nae te uwa-wu ama awu kyaen rishwu u mbae umbae ti urom u kunn wu baa, Enoki. Kayinu mbye uten iki, u fa rinyi-wu rukwer ana umbae-wu Enoki. 
GEN.4.18	Enoki ama mbae umbae u kunn wu baa, Iradi. Iradi si itse na Mehujayel, Mehujayel ama si itse na Metushayel, Metushayel si itse na Lameki. 
GEN.4.19	Lameki mbe anda ifaen, rinyi kinjo si Ada, ti ifaen ama si Zila. 
GEN.4.20	Ada mbae Jabal. Awu ti si itse ande ti ku nae afug u ku shi asinn. 
GEN.4.21	Rinyi inja-wu si Jubal. Awu ti si itse na ande ti ku byinn kufwa u ku kunn ripwaa. 
GEN.4.22	Zila ama mbae umbae ti urom, rinyi-wu si Tubal-Kayinu. Awu ti si kwenkufang ti ku kwen iken te bronzi
GEN.4.23	Lameki kunn awa-wu, u ri baa,
GEN.4.23	“Ada ti Zila, ni fxen!
GEN.4.23	Ani awa-m,
GEN.4.23	ni fxen ira ti ame u ri.
GEN.4.23	Ame wen pu m unde iki
GEN.4.23	ti nde iken beb m uwae,
GEN.4.23	umbae ti utaen
GEN.4.23	ti kyae ribang nae m.
GEN.4.24	Asiti aba a pae ande itsongfaen
GEN.4.24	ikyaen Kayinu,
GEN.4.24	upae ana unde ti a wen Lameki
GEN.4.24	u si ande mae ita
GEN.4.24	mbe rijwe asu itsongfaen.”
GEN.4.25	Adamu ti uwa-wu mbae kyi umbae ti urom. Uwa-wu fa rinyi umbae wu baa, Seti, ama ri baa, “Rimam nda pu wu ame umbae ti fikyi Abila ti Kayinu wen.” 
GEN.4.26	Seti ama mbae umbae, u fa rinyi-wu baa, Enoshi. Kiye wune, ande mbagta ku fen Yaweh ti rinyi ti ana-wu.
GEN.5.1	15 Ayine si kuci na rishi Adamu. Kiye ti Rimam kyae unde, awu kyae unde wu rukwer ijwe-wu. 
GEN.5.2	Awu kyae ba urom ti unda. Isim ti awu kyae mam pu wu aba, awu wae ira na ba, ama u kunn ba baa, “Unde.” 
GEN.5.3	Kiye ti Adamu som asang ukob kinjo ti rijweta (130), awu mbae umbae ti urom ti ru ijwe-wu, u kunn wu baa, “Seti.” 
GEN.5.4	Isim ti Adamu mbae Seti, awu som asang ukob itsongta (800), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.5	Asang-wu meme ka ukob itsongnje ti rijweta (930), ama awu cwu-wu.
GEN.5.6	Seti nde asang ukob kinjo ti itsong (105), titawe awu mbae Enoshi, 
GEN.5.7	Isim ti awu mbae Enoshi, awu som asang ukob itsongta ka mbe itsongfaen (807), ama mbae kyi anyisu ti arom tí tī anda. 
GEN.5.8	Asang Seti meme ka ukob itsongnje ti rijwe asu ifaen (912), ama awu cwu-wu.
GEN.5.9	Ti Enoshi nde asang mae-inje mbe rijwe (90), awu mbae Kenan. 
GEN.5.10	Isim ti awu mbae Kenan, awu som asang ukob itsongta mbe rijwe asu-itsong (815), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.11	Meme asang Enoshi si ukob itsongnje mbe itsong (905), ama awu cwu-wu.
GEN.5.12	Kenan ama nde asang mae-ita mbe rijwe (70), u mbae Mahalalel. 
GEN.5.13	Isim ti awu mbae Mahalalel, awu som asang ukob itsongta ti mae ifaen (840), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.14	Meme asang Kenan ka ukob itsongnje ti rijwe (910), ama awu cwu-wu.
GEN.5.15	Mahalalel nde asang mae-ita mbe itsong (65), u mbae Jared. 
GEN.5.16	Isim ti awu mbae Jared, Mahalalel som asang ukob itsongta ka mbe rijweta (830), u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.17	Meme asang Mahalalel ka ukob itsongta ti mae-inje mbe rijwe asu itsong (895) ama awu cwu-wu.
GEN.5.18	Jared nde asang ukob kinjo ti mae ita mbe ifaen (162), u mbae Enoki. 
GEN.5.19	Isim ti awu mbae Enoki, Jared som asang ukob itsongta (800), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.20	Meme asang Jared ka ukob itsongnje ti mae ita mbe ifaen (962), ama awu cwu-wu.
GEN.5.21	Ti Enoki nde asang mae-ita mbe itsong (65), awu mbae Metusela. 
GEN.5.22	Isim ti awu mbae Metusela, Enoki kyang ikyin te Rimam asang ukob ita (300), u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.23	Meme asang Enoki ka ukob ita ti mae-ita mbe itsong (365). 
GEN.5.24	Enoki kyang ikyin fifer te Rimam. Awu nung-wu iticwu be, ikyaen imi, Rimam ye ra wu tso ti unyang.
GEN.5.25	Metusela nde asang ukob kinjo ti mae-inje mbe itsongfaen (187), u mbae Lameki. 
GEN.5.26	Isim ti awu mbae Lameki, Metusela som asang ukob itsongfaen ti mae-inje mbe ifaen (782), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.27	Patag asang Metusela ka ukob itsongnje ti mae ita mbe itsongnje (969), ama awu cwu-wu.
GEN.5.28	Lameki ama nde asang ukob kinjo ti mae-inje mbe ifaen (182), u mbae umbae ti urom. 
GEN.5.29	Awu fa rinyi umbae wu baa, Nuhu, ku ri baa, “Uwae riben wu ti Yaweh faen ndembeb wu ne, umbae wune ti u nwangru ti, ama u ri jim ti utob yi rikaen na wande ti kpakang ti ati ku nde.” 
GEN.5.30	Isim ti a mbae Nuhu, Lameki som asang ukob itsong ti mae-inje mbe rijwe asu itsong (595), ama u mbae kyi anyisu ti arom tí tī anda. 
GEN.5.31	Meme asang Lameki ka ukob itsongfaen ti mae-ita mbe rijwe asu itsongfaen (777), ama awu cwu-wu.
GEN.5.32	Nuhu, isim ti awu nde asang ukob itsong (500), awu mbae anyisu ti arom ita, Shem ti Ham, ti Jafeti.
GEN.6.1	Ti ande jwunn ku fufa uwae utense, ama aba mbae anyisu ti anda, 
GEN.6.2	anyisu Rimam
GEN.6.3	Tiri Yaweh ri baa, “Kusung-m, ti ku nda unyang, u som kunn-wu te ande ru fife yi uwe cwucwo be, ikyaen ti, aba si anying ti ibye ijwe. Bag tine ru yi uwe, asang-ba u yafe-yi asang ukob mbe rikom (120) be.” 
GEN.6.4	Kiye wu ti anyisu Rimam ti arom ba nae te anyisu ande ti anda, aba mbae ukam ande ti rinyi-ba pu iten. Aba som utense uwae kiye wu, ti uwae kiye iki kpang isim-yi.
GEN.6.5	Yaweh nung itibi ande ko ku fufa uwae utense, meme ira ti kab ande munn te ira titibi. 
GEN.6.6	Ayi ndembeb Yaweh utob ti awu kyae unde uwae utense. Utob-wu ndembeb si-yi ti ti ri be. 
GEN.6.7	Ikyaen yine, Yaweh ri baa, “Ande ti ame kyae, ame u twenji ba uwae utense – aba ti ibye ti rimang meme. Iken ti ku kyang riben, ti inung ti apupwen meme, ayi nyangskeb ti ame ú kyae-m ayi be.” 
GEN.6.8	Amaa Nuhu tu kutxuwe titinyang uwe Yaweh.
GEN.6.9	Ayine si kuci na Nuhu. Nuhu si unde ti kubenti, ti som usom ti pang atang uwae ande ti tsitsi kiye-wu. Awu kyang ikyin te Rimam. 
GEN.6.10	Nuhu site anyisu ti arom ita, Shem ti Ham ti Jafeti.
GEN.6.11	Rimam nung baa, meme ande na ndembeb pu ba, u munn te ikentitibi fa ti utob ti byag. 
GEN.6.12	Rimam sae utense ndembeb pu wu, ikyaen ti ande ti ta uwae utense ye usom ti som-ba ndembeb pu ba.
GEN.6.13	Tiri Rimam ri te Nuhu baa, “Ame sa tsi pu m ti m u wenji tag ande ti utense, ikyaen ti kubyagkwa ti ira titibi munnkyi tag utense ikyaen-ba. Ame u fen pu ba ru ye utense. 
GEN.6.14	Ikyaen yine, kyae na ijwe-fu kuyae na kutuku titinyang, ti kpakang. Kata wu kusog-kusog, ti fu fxebkyi wu, uwae ti ise meme, ti kindob koltai. 
GEN.6.15	Fengo ti afu u kyae kuyae wu ta re. Rikob-wu ti risang u si afxen ukob inje ti mae ifaen mbe rijwe (450), riyaen-wu ama u si afxen mae ita mbe rijwe asu itsong (75), rikob-wu ti ritsen ama u si kutun kujwo rijweta (30). 
GEN.6.16	Kyae rukub risu kuyae wu, ti fu kyae riye ti ka afxen kinjo ti ripye yi rikob-wu tirisang ti ti ritsen meme. Kata uwae kuyae wu ita, tī riben, tí tī kutampwa, tí tī apupwen. Sa ufu kinjo tsi iyen kyab kuyae wu. 
GEN.6.17	Nung! Ame u nda ambyi u munnkyi utense, u twenji meme iken ti site unyang. Meme iken ti site unyang uwae utense ne u twenji tag. 
GEN.6.18	Amaa, ame u yer unju te fu, afu ti uwa-fu, ti anyisu-fu, ti awa-ba, u sang uwae kuyae wu. 
GEN.6.19	Pu meme itso iken ti site unyang ifaen-ifaen, tī urom tí ti unda, sang fa uwae kuyae atang, ti itso-yi ā twenji-yi be. 
GEN.6.20	Ye itso inung, ti itso ibye, ti itso iken ti ku kun riben, ifaen-ifaen sang uwae kuyae, ikyaen ti ayi ā twenji-yi be. 
GEN.6.21	Pu wuci ti itsotso yang-yi sang uwae kuyae atang ikyaen ti ayi u si wuci-ni ti wuci ana ibye yi.” 
GEN.6.22	Nuhu nde putsa meme iken ti Rimam ri te wu.
GEN.7.1	Yaweh ri te Nuhu baa, “Sang uwae kuyae, afu ti ishikununn-fu, ikyaen imi, ame nung, afu amam ti si unde ti kubenti uwae ande ti ta utense tine. 
GEN.7.2	Pu ibye ti sisaen ifaen-ifaen atsepu itsongfaen, tishir ti tiyae. Ye ayi ti ajib ifaen-ifaen, ti urom te ti unda. 
GEN.7.3	Ye inung ifaen-ifaen, ka atsepu itsongfaen ama, itishir ti itiyae, ikyaen ti ayi ā ba mbae jwunn uwae utense. 
GEN.7.4	Isim usir itsongfaen ti ku ba uwe ne, ame u sa upwen tsa usir mae ifaen ti utitang mae ifaen, u twenji meme iken ti site unyang ti ame kyae.” 
GEN.7.5	Ama, Nuhu nde meme iken ti Yaweh ri.
GEN.7.6	Nuhu site asang ukob itsongnjo kiye ti ambyi munnkyi utense. 
GEN.7.7	Nuhu ti uwa-wu, ti anyisu-wu ti awa-ba, sang uwae kuyae, ti a u ter nwang ambyi ti u ba munnkyi utense wune. 
GEN.7.8	Itso ibye, itisaen, ti iti ajib, ti inung, ti meme iken ti ku kun riben, ti meme iken ti Rimam kyae, ti ku kyang riben meme, 
GEN.7.9	tí ifaen tí ifaen, itishir ti itiyae, ba tu Nuhu. Awu pu yi sang uwae kuyae pangma ti Rimam ri te wu. 
GEN.7.10	Ti usir itsongfaen nde pu yi, upwen tsa tsa tsa, ambyi munnkyi utense.
GEN.7.11	Uwae asang ti fa ti ukob itsongnjo (600) na Nuhu, usir ti rijwe asu itsongfaen na ishaen ti ifaen, usir wune si usir ti isatsub kyeb tsoye ko aka, ufu ambyi ti apupwen patag mbubta. 
GEN.7.12	Upwen kum kum kum, usir mae ifaen ti utitang mae ifaen. 
GEN.7.13	Tí usir wu, Nuhu ti anyisu-wu, Shem ti Ham ti Jafeti ti uwa-wu fa ti awa anyisu-wu, sang uwae kuyae. 
GEN.7.14	Ibye kutur ti itso-yi, asinn ti itso-yi, iken ti ku kun riben ti itso-yi, inung ti apupwen ti itso-yi, aba pu yi sang tag te ijwe-ba uwae kuyae atang. 
GEN.7.15	Patag itso iken ti site unyang ba ti ifaen-ifaen, ama Nuhu pu yi sang uwae kuyae. 
GEN.7.16	Ayi ti sang si itishir ti itiyae ti itsotso ti site unyang, pangma ti Rimam ri te Nuhu. Ama Yaweh cwunnkyi ufu kuyae wu.
GEN.7.17	Ambyi munnkyi utense ka usir mae ifaen. Ayi munn ku tso, munn ku tso ama u su ra kuyae wu tso fife yi apupwen. 
GEN.7.18	Ambyi munn, u kyebkyi utense, kuyae ku kyang yinn yinn risu ambyi. 
GEN.7.19	Ambyi yi munnkyi kwer ti meme rikwen ti tso siskeb uwae utense. 
