MAT.1.2	Abraham Aisaak vaa apa, Aisaak Jakop vaa apa, Jakop Judah leh anaovaa anpa. 
MAT.2.3	Herot kurung in mahchuta atheihlai, aril inhalsa, Jerusalem am mii annaamtekho anril inhalsei. 
MAT.2.4	Che akthloi thiimpu leh Ringjih lulok akveimii naamteta onga mahchunna Khrista pokchu ramna umeta aruiei. 
MAT.2.5	Anmah in akuunga anson, “Judia vaa Bethlehem a poktu, alamva ringraan in nga tloh a amijihpei:
MAT.2.6	“Judia ram asuungna, O Bethlehem, nangva Judia rampuui
MAT.2.6	“ankaara andihrem nohche;
MAT.2.6	“alamva kei kimii Israel ta
MAT.2.6	“khuhnatu rampuui inkhat nikuungnata inthruhtu.”
MAT.2.7	Chunna Herot in aksing mii eita inrukte onga aruiei, che jaknang laitalla arsi in nanimmuh umeta ankuungnata arompei; 
MAT.2.8	che “Naochu nannih in thratea seh a jonve, che nannih in nantuukche keikho trong kamphahve, chuleva keikho mahchu seh a kithruunnatu” tih a amah in Bethlehem tonga amseh ei. 
MAT.2.9	Anmah in kurung trongchuta antheihche sehsei, che anve Kulkung nata anmuh arsi in nao apokna ajatalla angeihnohmiil anmah anmaa a sehsa. 
MAT.2.10	Anmah in arsichuta anmuhlai khalmo tlanna anroomthoksei. 
MAT.2.11	Che anmah in innsuunga luut anao in Meri soh amchu anmuh, che inluk a naota amithruunpei. Cheva, andoon adoonta mahoonga, ra–ao, amrimtui haalna leh amrimtui thaota akuunga ankatpei. 
MAT.2.12	Che Herot in amnatonga inlengnoh natu anmanga mathrit a ammuh ei, che anmah in aktleilam juih a anramtinga inlengsei.
MAT.2.13	Pekva anmah in anlenglai, anve, Akpu vaa ringroi in Joseph ta akmanga mamuh a ason, “Inthouro, naoleh anuta phurh a Ijip ah tlaanrosa, che keiin inlengrosa ta nikuungah kisonnohmiil mah khanna amve, alamva Herot in naoita ammaangnatu ajonsampei.” 
MAT.2.14	Chunna Joseph in khulouh ah inthoua naoleh anuta phurh a Ijip ah sehsa. 
MAT.2.15	Che Herot in athihnohsot mahchunna amsei. Mah i Akpu in ringraan ta amsonkha atlungna veisa, mah chuvah: “Ijip nata kei kisa kupata kiongpei.”
MAT.2.16	Aksing mii in keita kanleemna peiang ta Herot in aromlai, khalmo amlung inhaangsa, cheva aksing mii ankuungnata amah in atheihna lai aknujuih a Bethlehem suungleh akom apangah ak am nao kum innihnata athlangna anaamte raalmii mathlah a ramkir a amthat peiei. 
MAT.2.17	Chunna ringraan Jeremiah in asonkha atlungnasa, mah chuvah: 
MAT.2.18	“Ramah in asuunga aril sok a traptruuia onghou kitheih, Rachel in amah asaturel trap, amahta maneem janohsa, alamva naoeikha amnohsei.”
MAT.2.20	“Inthourosa, naoleh anuta phurh a Israel ramma inlengrosa, alamva naota thatnatu akjon miikha thikirsei.” 
MAT.2.21	Cheva Joseph in inthoua naoleh anuta phurh a Israel ramma inlengsa. 
MAT.2.22	Chuta Arkhelas in apa Herot angut a Judia rampuui veisa ta atheih in ram achunna luutva intrisa. Che akmanga mathrit a asontaningva amah in Kalili vaa ramsiin tonga inpeella sehsa. 
MAT.2.23	Cunna amah in Najareth khuuboomma amsa alamva ringraan in ansonkha atlungna veisa, mahchuva, “Amahta Najareth na mii tih a an ongtu.”
MAT.3.2	“Nanril thlengve, alamva ringram kurung huunnakha innaisa.” 
MAT.3.3	Mah i ringraan Isaiah in asonmii khasa, mah chuvah nga tloh a ason,
MAT.3.3	“Raprilla an ong houkhava:
MAT.3.3	“Akpu turel lam machaangve,
MAT.3.3	“amah alam mathluunve.”
MAT.3.4	Ipek John in amah anaamma savun khapat inraak, uuksa amul puunrei asilh: che amah in raprilna khuuining leh khaota asaak. 
MAT.3.5	Cheva Jerusalem leh Judia apumtena che Jordon aveelna mii annaam in amahkuunga thlengsei, 
MAT.3.6	Che anmah anlehta phoonga Jordon avaa a amah in alupei.
MAT.3.8	Chunna nanril thlenga akthra akrah inrahchu veivesa, 
MAT.3.9	‘Kannihvaa kan pa Abraham am’ tih a nannih in madonnohve, alamva Ringpu in mah lung innata Abraham vaa atute masuuk achek tih a nankuungah kisonchou. 
MAT.3.10	Ipektalkho thingi akjungah reii aha tlasamma am, chunna akrah thranoh thing anaamteta tangkirra meia alontu.
MAT.3.11	“Nannih nanril nanthlengrella, keiin kiluppeichou, chuta kei kiknua akthlengsam amahvah keichunga atuui am, keivah amah akehkhraang choikho kimtik amnoh; amah invah Li Akseeng leh meia naniluptu. 
MAT.3.12	Amah akut ah mathrahna kulei am, che amah aruimunna amthrahche kihuta atomsuungah abuntu, chuta aksiva thinohluunga intruunga amna meikhura athlaaktu.”
MAT.3.14	Mahchuta John in indah a alouson, “Keidomta nangin naklup tupot angta, keikuungah thleng sacheme?” 
MAT.3.15	Chunna Jisu in akuungah amsang, “Pekva ajana veisaso, alamva akchimlamseh naamteta mathlungna veia mah i inih turelnasa.” Cheva John in aloujapei. 
MAT.3.16	Che Jisu in inlup a, tuiinata anthruh dolhsoh, kak hanga ringram inhoongsa che Ringpu vaa Li in ukthru nanga trumsa, che achunga kvaara amuhpei; 
MAT.3.17	che ringramnata hou inkhat in ason, “Mah i keiin kirilvol Kisa kupasa, amahkuunga kiril pelsang.”
MAT.4.2	Jisu in suun sopli leh khulouh sopli saak in ahel, mahchuche aknua amah in traamsa. 
MAT.4.3	Amdoi in amahkuunga thlenga ason, “Nganginta Ringpu vaa Asa kupa chele, mah lungita tol aveinatu jathang malanro.” 
MAT.4.4	Chuta Jisu in amsang, “Mah i injih a am, mii in tol apaalla ringnohtu, chuta Ringpu vaa anarnata anthruh trongkhanna ringtuei.”
MAT.4.6	amahkuunga ason, “Nanginta Ringpu vaa Asa kupa chele, maannata injaamro; alamva mah i injih a am, ‘Amah ringroita nangturel madonna amthlahnatu jathang amlatu, che anmah ankut roudoh a nangta nakdomtuei, chuleva nang nikehkha lunga inrotnohtu.’ ”
MAT.4.7	Jisu in akuunga ason, “Veikhatla mah i injih a am, ‘Nangvaa Ringpu Akpu ta madoinohro.’ ” 
MAT.4.8	Veikhatla, Seitan in amahta khalmo inkaang muul inkhat a aphurhpei, cheva tukleiram kurung huunna leh anmah paarthra anaamteta akuunga ammuhpei. 
MAT.4.9	Che amahkuunga ason, “Nanginta keita intolhtlep a kamthruun cheleva, mah naamte i nangkuunga kamlankir uche.” 
MAT.4.10	Mahchunna Jisu in akuunga ason, “Seitan sehrosa! alamva mah i injih a amsa,
MAT.4.10	“ ‘Nangvaa Ringpu Akputa mathruunro
MAT.4.10	“ ‘che amahruta rou tlohro.’ ”
MAT.4.13	Amah in Najareth amthlahche Kaparnaum a seh a tuiiboom akom Jebulun leh Naphtali ramma amsa. 
MAT.4.14	Chunna ringraan Isaiah in asonkha atlungna veisa, mah chuvah:
MAT.4.15	“Jebulun vaa ram, Naphtali vaa ram, tuiiboom akomma, Jordon vanna Kalili na Jental, 
MAT.4.16	inthim kaara ak am mii in akthloirem akvaarkha anmuhpei, che akthivaa aniim ak am mii turella akvaarkha suuksa.”
MAT.4.19	Che amah in ankuunga asonei, “Keijuihve, che keiin nannihta mii akman kamvei uchou.” 
MAT.4.20	Kak hang achunna anmah torota anmahche Jisu ta anjuihpei. 
MAT.4.21	Mah chunnata amah in asehlai, aktlei unao innih, Jebedi asa kupa Jems leh anao John mulisuunga anpa Jebedi soh inruuia anmah torota phoh a am amuh ei, che Jisu in anmahta aongei. 
MAT.4.22	Kak hang achunna anmah in muli leh anpata mah a Jisu ta anjuihpei.
MAT.4.24	Chunna Jisu akming Siria ram apumtea inthangsa, che natna rii alam jikcha ah akna aklah aknang, khousaar asuur, surpitum mahche apangnem akthi mii eita amthrat ei. 
MAT.4.25	Che Kalili ram, Dekapolis ram, Jerusalem ram, mahche Judea ram leh Jordon avaraalna mii khalmo tamin Jisu aknuta anjuih.
MAT.5.2	Cheva amah in ankuunga matheih amthronpei:
MAT.5.5	“Doipha eikha inruruh miikhasei, alamva anmah in thaleiram anphahtu.
MAT.5.7	“Doiphah eikha rilvoltheih miikhasei, alamva anmah in Ringpu rilvol anphahtu.
MAT.5.9	“Doiphah eikha leh oi akthlenmii khasei, alamva anmahta Ringpu vaa asa ih a aongtuei.
MAT.5.12	Roomthok a tlan veive, alamva ringramma nannih nankhaan khalmo liin, oinanga nannih nanmaa a anmah in ringraan eita anchutei.”
MAT.5.15	Tunangkhat inkho mitton ataarche luktoong makhumma sinohme, chuta ataarna chunga ithongche innsuung apumtea amvaar. 
MAT.5.16	Mahchunanga, nannihva akvaarkha aktlei miikuung akho vaarso, chunna anmah in nannihva akthrata muh a ringramma am nanpa in paarthratna veiso.”
MAT.5.17	“Moses trongsuur nohle Ringpu trong akson ringraan antrongta ammaang thleng tih a kamdonnohve, keiva ammaang thlengnoh ang, chuta amthlung thlengsang. 
MAT.5.18	Alamva, ringram mahche thalei amaang nohmiil Moses trongsuurnata tikta ansun nohle thretta ankai alip anaamte atlungnohmiil maangnoh tuta keiin nannihta taktak a kisonchou. 
MAT.5.19	Mairella tunangkhat in trongthuun akaarnata andihrem inkhatta khoia mahchunang mii ninga amtheih amahta ringram kurung huunna a andihrem tih a aongusa. Chuta tunangkhat in majuih a miita matheihle ringramna amahta anrolrem tih a aongusa. 
MAT.5.20	Nannih in akchimlamseh nanveiche Moses trongsuur lulok leh Pharisi ei akchimlamseh ta ralnoh chouleva nannih in ringramma luutnohluung uchouta kisonchou.”
MAT.5.21	“Nangin mii thatnohve chuta tunangkhat in mii thatle pichaarnia amahvah thihnaringna veitu ta leithingnata anson nantheihpei. 
MAT.5.22	Chulata tunangkhat in auh anaota biklam tihleva jama pichaara thihnaringna veitu tlasa, che tunangkhatta mongo tihleva repnanga thihnaringna aphahtuta nankuunga kisonpeichou. 
MAT.5.23	Chunna nangin thiilla nikatphu kutthol nithlenlai niuhnao khat in nikuunga ajanoh intheihchele, 
MAT.5.24	nikattuphu kuttholkha thiilkuung amaia nimahche inlengmanna niuhnaosoh injamanro. Che thlenga nang kuttholkha katro. 
MAT.5.25	Niandah miisoh inruuia lamma nansehlai intha a inchamve, chunohleva amah in nangta pichaarpu kuunga namthruhtu. Chuleva pichaar Akpu in nangta jama ankuunga masilla simma niluutna veitu. 
MAT.5.26	Keiin nankuunga tak a kitihchou, nannih in achena namilan tuphu baobeh nansiin nohmiil mah khannata inthruhnoh uchou.”
MAT.5.27	“Nannih in miimei miisa laalnohve tih i leithingnata nantheihpei. 
MAT.5.28	Chuta tunangkhat in kumei khatta dia anleva arilsuunga amahmii khasoh inlaalthlou atlohpei. 
MAT.5.29	Chunna nikchangna mit in nangta aleh ah nakthlakle kholla lonro, alamva nitak apumteta repnangah nakthlakpi ngutva nitakna akhol inkhat amnoh in nichuungna veitu. 
MAT.5.30	Che nikchang kut in nangta aleh ah nakthlakle, tanna lonro, alamva nitak pumte repnanga nakthlakpi ngutva nitakna akhol inkhat amnoh in nangtu nichuungna veitu.”
MAT.5.32	Chuta kumei kupa laalthlou nanoh a tunangkhat akmei inthrekpi miiva akral amsal amvei, che tunangkhat in anthrekpi kumeita changvaangle kumei laalthlou atlohpeita nankuunga kisonchou.”
MAT.5.34	Chunna keiin nannihta kisonchou, suita tlohnoh luungve thranoh, ringramkho sonna tlohnohve, alamva Ringpu amna, 
MAT.5.35	thaleikho sonna tlohnohve, alamva amah akehchuunna, Jirulalem slakho sonna tlohnohve, alamva anrol kurung ankhuuboom. 
MAT.5.36	Nikang matuh a suita tlohnohve, alamva nangin sam akmol khatrukho mangou nohle mavom cheknohche. 
MAT.5.37	Chuta nangin ‘Oi’ nitihkha ‘Oisa’ che nangin ‘Ah’ nitihkha ‘Ah veisa’ alamva maannata akralkhava akthranoh tingnasa.”
MAT.5.38	“ ‘Mit khatvaa angut mit inkhat, ha inkhatvaa angut aha inkhat’ tih i nantheihpei. 
MAT.5.39	Chuta akthranoh miita roujanoh veta kisonchou, chunna tunangkhat in nikchangtongna nimaipi a nakbeengle khattingkho inheia roudohro. 
MAT.5.40	Tunangkhat in nangta atuulmuk ah thlenna nilungluut ansuulta lou dile nilukphaikho malanro. 
MAT.5.41	Che tunangkhat in nangta mel inkhat senoh janoh naktihle innih tihpi melkho sehpiro. 
MAT.5.42	Nangkuunga naknih miita malanro, che amah in nang ningnata apujale inlenga masiinnohro.”
MAT.5.44	Chuta keiinva niandah miita ringvolro, namtommii khata doi malanro, nangta nantirh miita akthra tlohro, che nangta nak antheihnoh a nakchutmii turelva ngenveta kisonchou. 
MAT.5.45	Chuleva ringramma am nanpa vaa asa veiuchou, alamva amah in akthra leh thranoh anchunga kini amsuuk, che akchimlamseh leh akchimlamseh noh anchunga khu amsuur. 
MAT.5.46	Alamva nangta nakringvol miikhopta ringvolchele jaknang khaan niphahtu amme? Baobeh thrai mii inkho mah chunanga tlohnoh eime? 
MAT.5.47	Che nannih in nan uh nannaota mathruun chouleva aktlei miikuung avah akral jaknangthlou nantloh usa? Baobeh thrai miiluung inkho oinanga tlonoh eime? 
MAT.5.48	Chunna ringramma ak am nanpa in athrat nangjimma nannih inkho akthra veive.”
MAT.6.2	“Churella nangin daan nitlohlai sinakok leh sorok ah khuung daarnang inpaova mii in paarthra namiveinatu akthra veisin mii nanga tlohnohve, keiin nannihta tak a kitihchou, anmah ankhaan amsa. 
MAT.6.3	Chuta nangin daan nitlohlai nikchang kut in atlohkha jangmeta nikveina kut in romnohso. 
MAT.6.4	Chunna nangin daan nitlohkha inruktea nitloh veiso, che inruktea akmuh nanpa in indanglonga khaan nanimphahtu.”
MAT.6.6	Chuta nangin ningenlai khumsuunga luutro che inn nikhaarche achikna khumma am nipakuunga ngenro, che inruktea nakmuh nipa in indanglonga khaan namphahtu.
MAT.6.7	“Chuta nangin ningenlai Ringpu romnoh Jental ei nanga sulla inleng lenga sonnohve; alamva anmah in ansontrong jikcha mii in antheihnatu angen. 
MAT.6.8	Churella anmah nanga veinohve, alamva nang nidarkaarkha ningennoh maa a nanpa in aromkir. 
MAT.6.9	Chunna oinanga ngenve: Ringramma am kan pa, nang nikming akseeng veiso. 
MAT.6.10	Niram huunna thlengso, ringramna nangna nimdonkha thaleichung akho veiso. 
MAT.6.11	Akni akninatu tol mi in kanimlanro. 
MAT.6.12	Che kannih kanleiman antoleita kan ip nanga, leiman kantool kani ipro. 
MAT.6.13	Che madoina a kantlaknoh natu kaniseh piro, chuta akthranoh nata kanithlokro, alamva nang niram kurung huunna leh nituui, che napaarthra ache amnoh. Amen.
MAT.6.15	Chuta nangin chimnoh aklaal miita ipnohchele ringramna nanpa inkho nani ipnohtu.”
MAT.6.16	“Mahchuche nangin buh nihellai akthra veisin mii nanga aklah nimeelta mamuh veinohro, alamva anmah in anmai amihuui, chunna buh kanhel tih a mii kuungah amiromna amivei, keiin nannihta atak a kitihchou, anmah ankhaanva amsa. 
MAT.6.17	Chuta nannih in buh nanhellai nanmai phih a nankang thao teive. 
MAT.6.18	Chuleva buh kanhel tih i mii kuungah mamuhnoh uchou, chuta inrukte akmuh nanpa in indanglonga khaan nanimphahtu.”
MAT.6.20	Chuta veithra in saa a pat aramnanoh, che inruin khoia amiruknanoh ringramma nannihtu akvei lal hansihve. 
MAT.6.21	Alamva nannih nanlal amna a nanrilkho amtu.”
MAT.6.23	Chuta nanmit in thranohle nantak apumtekho inthimchettu, inthimchet i jikchahphah liinsame!”
MAT.6.26	Marvaanna va ta anve, anmah in linkho linnoh ei, luhkho luhnoh ei, tom akho mahuunga sihnoh ei, chuta ringramna nanpa in ajokei. Anmah chungva nannih in ralla amuveinoh choume? 
MAT.6.27	Tunangkhat in alah khanna ankaangnatu kiilkhat thun achekme? 
MAT.6.28	Chuleva jarella nannih in puunrei rella lahchoume? Louna reita nannih in madonve anmah in thloukho tlohnoh ei, inchekho incheknoh ei. 
MAT.6.29	Chuta nannihta kitihchou, Solomon in apaarthratna anaamte reipaar inkhatnanga inliingnoh. 
MAT.6.30	Akirua amloteio, mi inva mah i tungva avah taploimeia inhaal tuphao Ringpu in vachah thra mapungsale, nannihvah ralthloia amah in puunrei nanimsilhnoh ume? 
MAT.6.31	Churel nannih in khota isaak ume? Che khota i iin ume? Chunohle khota isilh ume? tih a lah tlohnohve. 
MAT.6.32	Mah poot anaamte ita aktlei jaat in anjon, alamva poot anaamte darkaar tih a ringramna nanpa in arom. 
MAT.6.33	Chuta nannih in matsahremma ringram kurung huunna leh amahvaa akchimlamsehta jonmaanve che mah poot anaamte i nanidaaktu.
MAT.6.34	“Chunna tungvahna turella insuul tlohnohve alamva tungvahnatu vei avah tungvahnatu rouamsa. Akni aknitu lahna khanna inkhopna veiso.”
MAT.7.2	Alamva nannih in pichaar nantloh khananga nannihkho nanitlohtu, che nannih in nan olna chaang akhanna nannihta inlengah nanioltu. 
MAT.7.3	Che nang nimit ah thinglip amva madonnoh chea, chuta jarelna niuhnao mit ah thinglip inniimta nianme? 
MAT.7.4	Nang nimit ah thinglip ammangche khatloh a niuhnao mitna thinglip anniimta loutang nitihme? 
MAT.7.5	Akthra veisin miieio! Matsah a nang nimitna thinglipkha loumanro, che niuhnao mitna thinglip iniimkha nilohnatu seenga nimuhtu.
MAT.7.6	“Akseeng pootta uiiting malannohve chunohle ra–aopiita vok kuungah loonnohve ankeh a chuunna ankhoihtu che inheia invuivia nanithreltu.”
MAT.7.8	Alamva, aknih mii in anphah, akjon miikhan antuuk, che inkhaar akbeengmii khata amhoongtu. 
MAT.7.9	Nankaara tunangkhat in asa kupa in tol anihta lung amlan ume? 
MAT.7.10	Chunohle naoin nga anihta muruul amlan ume? 
MAT.7.11	Mahchunanga akthranoh apavei choulakho naoningvah akthra kutthol malanta romchoule ringramma am nanpa in aknimii kuunga jikcha ralthloia akthra pootchei nanimlan ume: 
MAT.7.12	Churella nannih in miita nankuunga namitlohja khananga nannih inkho mii kuungah tlohve, alamva mah i Moses trongsuur khatkho ringraan antrong khasa.”
MAT.7.14	Alamva ansiik kolon khatkho sehna ansiik lam khava ringna vei, che mii steta luut uningei.”
MAT.7.16	Anmah akrah ah nanromtu, mii in kulingrui nata nganglirah che kuling thingnata thotthing akrah nanritme? 
MAT.7.17	Mahchunanga akthra thingin akrah thra inrah. Chuta akthranoh thingin akrah thranoh inrah. 
MAT.7.18	Akthra thingkhat in thranoh akrah inrahnoh, chunohle akthranoh thingin akrah thra inrahnoh. 
MAT.7.19	Akrah thra inrahnoh thing anaamte phuura meikaara tanna alon. 
MAT.7.20	Churella nannih in akrahnata nanromtu.”
MAT.7.22	Mahni chunna mii aktam in keining antihtu, ‘Akpu, Akpu, nang nikminga trong akphoong, nang nikminga khousaar amnom che nang nikminga salungkhouna thlou jikcha aktloh miinoh sungme?’ 
MAT.7.23	Mahlai chunna keiin indanglonga kison uchou, tlohphunoh aktloh eio, keimah vesa, keiin naniromnoh luungang!”
MAT.7.25	Che khusuur thliraang thlenga raanna innchunga marat a tuii liinsa, chuta innvah puurnoh alamva innkha lungpii chungah amngirh. 
MAT.7.26	Pekva tungangkhat in kisonita arungeihche aktlohnoh khavah kmongmii nanga philchunga inn aktloh khasa. 
MAT.7.27	Che khusuur thliraang athlengin raanna innchunga marat a tuii liinsa, chunna innkha puursa, mahche tlikkirra inriilsa.”
MAT.7.29	Alamva amah in ringjih lulokei nangnoh a akchek amneh mii khat veia anmahata amtheih ei.
MAT.8.1	Jisu in muul inkhatnata atrumlai mii khalmo tam in aknu anjuih. 
MAT.8.2	Che anve, reichii kop mii khat in thlenga Jisu ta mathruunna ason, “Akpu, nangin nimdon veileva keita namthrat chektung.” 
MAT.8.3	Chunna Jisu in akut jamma apalche amahta ason, “Keiin kamdon: thra veirosa.” Che kak hang achunna reichii kopkha thrasa. 
MAT.8.4	Che Jisu in akuunga ason, “Anro, nangin tukhat kuungkho tongnohro: chuta inlenga thiimpu ankuunga nitak mamuhro, che Moses trongthuun nujuih a nithratna kutthol kat a matheih eiro.”
MAT.8.6	“Akpu, kei roijuih inkhat apangnem thia inchek cheknoh a intolh a am.” 
MAT.8.7	Che Jisu in amahkuunga ason, “Keiin thlenga kamthrattu.” 
MAT.8.8	Raalmii reijapuui in amsang, “Akpu, nangin keiinna nithlengnatu keivah matik chanoh ang. Chuta trong inkhatru nison in kei roijuih in thratu. 
MAT.8.9	Alamva keikho akchek amneh inkhatva athlanga ammangche raalmii in kei kithlanga ammei. Chunna keiin raalmii in khat kuunga ‘Sehro’ ta kison in amah in seh. Aktlei in khat kuunga ‘Varo’ kitih in amah in vaa, kei roijuih inkhatta ‘Mah i tlohro’ kitih in amah in atloh.” 
MAT.8.10	Jisu in mahchuta atheihlai salungkhousa, che amah akjuih ankuunga asonei, “Keiin nannihta atak a kisonchou, mainang malot aja i Israel ankaar akho tuuknoh ang. 
MAT.8.11	Keiin nannihta kitihchou, mah chuvah kulkung leh kulrel nata miitam thlengtuei, che Abraham, Aisaak leh Jakob in kurung huunna ah inbokjou tuei. 
MAT.8.12	Chuta kurung huunna asaeiva apaal anthimna a alontuei. Mahchunna traptruuia anha amikettu.” 
MAT.8.13	Mahchuche Jisu in raalmii reijapuuita ason, “Inlengrosa, nangin nimlot kharella nangkuungah tlung veisaso.” Che mahlaital pung achunna amah roijuihchu thrasa.
MAT.8.15	Che Jisu in akut apal invah atlun in amahpei. Chunnata inthoua anmahta rou atloh ei. 
MAT.8.16	Khulouhram aphah in khousaar chuung miitam Jisu kuung anthlen. Che amah in trongkhat sonna khousaarta amnommei, che akna miitamta amthratei. 
MAT.8.17	Amah in inih marnop, natna satna anaamte alohpeita ringraan Isaiah in asonkha tlungsa.
MAT.8.19	Cheva ringjih lulok inkhat in thlenga ason, “Lulok, nangin niseh nilonna anaamte khanna keikho nakjuihtang.” 
MAT.8.20	Jisu in akuunga ason, “Uiiramuiivaa ankhur am, marvaanna vakho anbu am, chuta miivaa Asa kupava amah akang asihnatukho amnoh.” 
MAT.8.21	Chunna aroi inkhat in akuunga ason, “Akpu, keiin akthi kipata matsah a seh a phuummaantang.” 
MAT.8.22	Chuta Jisu in amahkuunga ason, “Keijuihro, akthi khavah akthi in phuumeiso.”
MAT.8.24	Che kak hang achunna tuiiboom chunga aktrang khusuur thliraang amthronpei, cheva mulichu tuiisolh in aphahpei, chuta Jisu vah inna amsa. 
MAT.8.25	Chunna amah aroi in akuunga thlenga amahta mathoua antih, “Akpu, kanikalro! Thisamsung.” 
MAT.8.26	Chuta ankuunga asonei, “Malot trangnoh eio, jarelna intrichoume?” Che Jisu in inthoua thlileh tuiiboomta asaal. Cheva daichritsa. 
MAT.8.27	Che salungkhoua antihpei, “Thlileh tuiiboom inkho asonta amijuih i jakangmii meio?”
MAT.8.29	Cheva kak hanga anmah in kchirra onga antih, “Ringpu Asa kupa Jisu, kannih kuunga jangtlohtang nitihme? Kanlahnatu lai athlengnoh maa a kannihta kanimlah tangta onna thlengcheme?” 
MAT.8.30	Anmah ankuungnata ste inlabeb a vokjaam anthlai saa a ammei. 
MAT.8.31	Chunna khousaar in Jisu kuunga ngenna anson, “Nangin kanimnom chele vokjaam ankuunga kanluutnatu kanijaro.” 
MAT.8.32	Chunna Jisu in ankuunga asonei, “Vaave”. Mahlai anmah in mii ningnata inthruh a vokjaam ankaara luutsei, che kak hanga vokjaam in tuiipiia tlaanna anjungche tuiia inlaak a thisei. 
MAT.8.33	Vokjaam akselmii in intha tlaanna aksuuk thlouleh khousaar asuurmi atak a aksuukthlouta khuuboomma luut a antongpei. 
MAT.8.34	Che anve, khuuboomna mii eiin Jisu ta intuukpinatu sehsei. Cheva anmah in Jisu ta anmuh in anramnata mathlah a asehnatu annoolpei.
MAT.9.2	Che anve, anmah in apangnem thi mii inkhat, tuklaia matolh a anthlen; anmah in amilotta Jisu in amuhkhan apangnem thimiita Jisu in ason, “Kisakupa, niril malumro; nang nilehkha ki ip peiche.” 
MAT.9.3	Cheva anve, ringjih lulok arouin anmahseeng seengta insonsei, “Mahmii kupa in Ringpu ta usitnoh a trongsa.” 
MAT.9.4	Chuta Jisu in anmah anrilta aromma asonei, “Jarelna nanrilsuunga thranoh namidonme? 
MAT.9.5	Alamva ‘Nang nileh ki ip peiche,’ nohle ‘Inthoua sehro’ ta sonni jaknangin aklaime? 
MAT.9.6	Chuta miivaa Asa kupa in thaleichunga aleh ip achekna tuui amtik nanromnatu — apangnem thimiita Jisu in ason, ‘Inthouro, nantolhnakha choia ni inna inlengrosa.’ ” 
MAT.9.7	Cheva amah in anthohche a inna inlengsa. 
MAT.9.8	Mahchuta miitamin anmuh inva, intrisei, mahche Ringpu ta paar amithratpei.
