MAT.1.1	A daŋgonŋâ daŋgonŋâ muyagem gane Yesu Kristo, zâk Abaram sot Dawidi, zekât kiun muyageip. 
MAT.1.24	Yosepe zâk umanân gâbâ zaatŋâ sumbem aŋâ den dukuip, zo lum Maria diim mirâŋan zari ândiwet. 
MAT.1.25	Ka ap ambin ândiândiŋ, zo yatâ mân ândiwet. Yatâ op ândeitâ kâtep muyagei Yosepeŋâ kutŋâ Yesu sâip.
MAT.2.1	Yudaia hânân Herode a kutâ ândeip, narâk zoren Yesu zâk Betelem kamânân Yudaia hânân âsageip. Oi narâk zoren mirâsiŋ takâtakâŋan gâbâ nâŋgânâŋgâ a, zen Yerusalem kamânân gawe. 
MAT.2.2	Gamŋâ sâm mâsikâziŋgâm sâwe, “Katep mâik âsagiap, zâk Yuda a zeŋgât a kutâ upap, zâk ikâ taap? Nen ândi hânniŋan gâbâ sâŋgelakŋâ ekŋâ mâpâsinam gen.” 
MAT.2.3	Yatâ sânetâ Herode sot Yerusalem kamân mâirâp, zen aksik nâŋgâm pârâkparâwe. 
MAT.2.4	Herodeŋâ den zo nâŋgâm Anutugât tirik namâ galem a patâ sot Kembugât gurumin den zorat galem a sot a sâtŋâ minduziŋgâm itâ sâm mâsikâziŋgip. “Kristo zâk ikâ muyagibapkât sâsâŋ?” 
MAT.2.5	Mâsikâziŋgi itâ sâm dukuwe, “Betelem kamânân, Yudaia hânân. Zorat Propete ŋâiŋâ itâ sâm kulemgoip,
MAT.2.6	‘O Betelem, kamân mâik Yudaia hânân, gâ Yudaia zeŋgât kamân gigiŋâ buŋâ. Gâgâren a kutâ patâ muyagem Isirae a ambân gakârâpnâ kembu otziŋgâbap.’”
MAT.2.7	Den zo sâne nâŋgâm Herodeŋâ nâŋgânâŋgâ a diiziŋgâm ziiŋik âim mulunâk mâsikâziŋgip. Sâŋgelak muyageip, zorat narâkŋâ mâsikâziŋgi dukuwe. 
MAT.2.8	Dukune nâŋgâm zen Betelem kamân âibigât sâŋgonzâŋgom sâip, “Zen âimŋâ kârum katep muyagemŋâ ga dâtnobi. Oi nâŋgoot yatik âi mâpâsibat.” 
MAT.2.9	A kutâŋâ den yatâ sâi zen âiwe. Oi sâŋgelak hânziŋan gâbâ igâwe, zorâŋ kândom otziŋgâm âimŋâ katep zeip, zorat mirâ kwâkŋan âi tâip. 
MAT.2.10	Oi zen sâŋgelak zo ekŋâ sâtâre patâ urâwe. 
MAT.2.11	Oi mirin bagim katep sot mamŋâ Maria zikit umzik topŋan gei mâpâsiwe. Mâpâsemŋâ irâziŋan gâbâ kut ŋâi ŋâi âlipŋâ mem pindâwe. Kât âlipŋâ goide sot too wârânŋâ âlip, sâŋgânŋâ patâ, zo pindâwe. 
MAT.2.12	Oi Kembuŋâ umanân kwâkâziŋgi zen Herodegâren mân âi muyagem mâtâp ŋâin gâbâ hânziŋan âiwe.
MAT.2.13	Nâŋgânâŋgâ a, zen âburem kamânziŋan âine ko Kembugât sumbem a ŋâiŋâ Yosepe umanân itâ dukuip, “Gâ zaat katep sot mamŋâ diizikâna Aigita hânân âi tap nâgât dengât mambât ândibi. Nâŋgâ. A kutâ Herode, zâk katep kârumŋâ muyagem kumbat sap.” 
MAT.2.14	Sâi Yosepeŋâ zaatŋâ katep sot mamŋâ diiziki ŋâtigânâk tik âim Aigita hânân âiwe. 
MAT.2.15	Oi zen zoren ândinetâ a kutâ Herode moip. Propete ŋâiŋâ zorat Kembugât sâtkât itâ sâip, zo bon oip,
MAT.2.15	“Nannâ Aigita hânân gâbâ konsa gâip.”
MAT.2.16	Nâŋgânâŋgâ a, zen Herode kâitkum âinetâ nâŋgâm kuk imbaŋâ oip. Yatâ op kâwali a sâŋgonzâŋgoi Betelem kamân sot kamân mâik mâik tap arip, zoren âim katep kendonziŋ zagât, zo zâŋgom naŋgâwe. Nâŋgânâŋgâ a zen sâŋgelak âsageip, zorat narâk sâwe, zorat dâp sâi katep zâŋgom naŋgâwe. 
MAT.2.17	Oi Propete Yesaiaŋâ mârumŋan den sâip zo narâk zoren bon oip,
MAT.2.18	“Rama kamânân den kwamit patâ muyagiap. Âigirâp patâ uap. Mamârâpziŋ zen murarâpziŋaŋgât umbâla op âigirâp op zem tatne hiriŋsâbigât sâm osiziŋge. Wangât, murarâpziŋ buŋ op naŋge, zorat.”
MAT.2.19	Herode moi Kembugât sumbem a ŋâiŋâ Yosepe Aigita hânân umanân itâ sâm dukuip, 
MAT.2.20	“Gâ zaat. Katep sot mamŋâ diizikâna Isirae hânân âburem âinek. Katep kunat sâwe, a zo muwe.” 
MAT.2.21	Yatâ sâi Yosepeŋâ katep sot mamŋâ diiziki Isirae hânân âburem âiwe. 
MAT.2.22	Âburemŋâ Yosepeŋâ den ŋâi itâ nâŋgip, “Akelau zâk ibâŋâ Herode, zâkkât gebâkŋan Yudaia hângât a kutâ op ândiap.” Den zo nâŋgâm zo ândibam keŋgât oip. Oi umanân den nâŋgâmŋâ Galilaia hânân arip. 
MAT.2.23	Zoren kamân ŋâi kutŋâ Nasarete zeip, zoren âi ândeip. Oi Propete zeŋgât den itâ ziap, zo bon oip,
MAT.2.23	“Zâk Nasarete kamânân gokŋâ sâbi.”
MAT.3.1	Ândim zâim ko Yohaneŋâ Yuda a zeŋgâren muyagem gâip. Gamŋâ Yudaia zeŋgât mirâ âtâŋan, a mân ândiândiŋan, zoren âi ândim den siŋgi itâ sâm dâzâŋgom ândeip, 
MAT.3.2	“Anutu um topŋan ândinatkât narâk mâte uap, zorat zen umziŋ melâŋnek.” 
MAT.3.3	Yohanegât Propete Yesaiaŋâ mârumŋan den itâ sâm kulemguip, zo bon oip,
MAT.3.3	“Mirâ kamân âtâŋan a ŋâiŋâ âsagem den patâ itâ sâm muyagem ândiap, ‘Kembugât mâtâp kârâm kubiknek. Oi kârâm kwârakune kelâluŋâ oik.’”
MAT.3.4	Yohane zâk a kanpitâ ândeipkât sâk pâke âlipŋâ mân mem ândeip sot nalem âlip mân nem ândeip. Hâmbâ kamele sâmotŋandâ tuuwe, zo mem ândeip. Oi kâmbatŋan inzut ŋâi lap ândeip. Nalemŋâ ko kumbon sot bâŋsat, zo nem ândeip. 
MAT.3.5	Oi Yerusalem kamânân gâbâ sot Yodaŋ too nâmbut nâmbut, zeŋgâren gâbâ a gâbâreyaŋgâm zâkkâren âimarâwe. 
MAT.3.6	Zâkkâren âimŋâ bâliŋâziŋâ sapsune Yodaŋ toin saŋgonziŋgip. 
MAT.3.7	Oi Parisaio a sot Sadukaio a doŋbepŋâ too saŋgonam gane ziŋgitŋâ itâ mâsikâziŋgip, “O mulumgât kiurâp, zen bâliŋâziŋaŋgât hâuŋâ mâte otziŋgâbâmap, zo ŋâiŋâ dâzâŋgoi bâliŋâziŋ birâbi? 
MAT.3.8	Zen umziŋ melâŋâ orot mâmeziŋâ kubik ândibi. 
MAT.3.9	Zen umziŋan itâ mân nâŋgâbi, ‘Nen Abaramgât kiurâp, zorat kârâpŋoot mân otniŋgâbap.’ Nâ dâzâŋgua nâŋgânek. Anutuŋâ sâbâ sâm sâi kât zirâŋâ Abaramgât kiurâpŋâ op âsagibi. 
MAT.3.10	Zorat sa nâŋgânek. Nak ŋâi bonŋâ âlipŋâ mân upap, zo ko mariŋandâ kârâm kârâp oi simbap. Nâŋga zo mârum nak topŋan pâi ziap. 
MAT.3.11	Zen umziŋâ melâŋne toin saŋgonziŋgâman. Ka ŋâi bet gam taap, zâk imbaŋâ patâ zemŋâŋgap. Nâ yatâ zorâŋ irâŋâ sikumŋâ goribat, zorâgoot ko mân dâp upap. Zâkŋâ Tirik Kaapum sot kârâp saŋgonziŋgâbap. 
MAT.3.12	Zâk gâbâgâbâriŋoot gamŋâ nalem gwapgwapŋâ gâbârem mindubap. Nalem bonŋâ mirâŋan pâmbap. Ka gwapgwapŋâ, zo ko gâbârem kârâbân pâi simbap. Oi kârâp zo mân bâpsâbap.”
MAT.3.13	Narâk zoren Yesu zâk Galilaia hânân gâbâ Yodaŋ toin âimŋâ Yohaneŋâ too saŋgonŋaŋgâbapkât dukuip. 
MAT.3.14	Dukui ko Yohaneŋâ nâŋgi mân dâp oi itâ dukuip, “Wangât nâgâren ga sat? Gâŋâ nâ saŋgonina dâp opap.” 
MAT.3.15	Sâi Yesuŋâ den itâ mâburem dukuip, “Nâŋgâm kwâkâ mân ot. Net Anutugât sâtŋâ lugitâ dâp upap.” Yatâ sâi Yohaneŋâ diŋâ lum saŋgonŋaŋgip. 
MAT.3.16	Too saŋgonŋaŋgi Yesu zâk toin gâbâ kopgam egi sumbem pâroŋsâi Anutugât Kaapumŋâ nii kembâ yatâ opŋâ gem gam kwâkŋan pâip. 
MAT.3.17	Oi zorenâk sumbemân gâbâ den ŋâi itâ muyageip, “Zi nannâ âlipŋâ. Umnâ zâkkâren kinmap. Ekŋâ umnâ âlip opmap.”
MAT.4.1	Kaapumŋâ Yesu okŋaŋgi mirâ kamân âtâŋan arip. Sataŋŋâ mâsikâŋaŋgâbapkât okŋaŋgi arip. 
MAT.4.2	Oi zoren Yesu zâk ŋâtik sot sirâm 40 umŋan nâlem buŋ ândeip. 
MAT.4.3	Oi sarâ mariŋandâ zâkkâren gamŋâ itâ sâm dukuip, “Gâ Anutugât nanŋâ ândiat oi ko sânandâ kât zirâŋ nalem oi ne.” 
MAT.4.4	Sâi Yesuŋâ itâ sâm dukuip, “Den kulem ŋâi itâ ziap,
MAT.4.4	‘Aŋâ nalemâk nem mân ândinat. Nalem nem sot den Anutugâren gâbâ gâmap, zo nâŋgâm ândim kwâtâtinat.’”
MAT.4.5	Yatâ sâi Sataŋŋâ diim âim kamân patin takâm tirik namâ pum kwâkŋan pâip. 
MAT.4.6	Pamŋâ itâ dukuip, “Gâ Anutugât nanŋâ ândiat oi ko zibâ pâtan gei. Oi den kulem ŋâi itâ ziap, zo nâŋgâ,
MAT.4.6	‘Zâkŋâ sumbem arâp zeŋgât bitziŋan gâbanbap. Ziŋâ bitziŋandâ mingim geine kâtŋâ mân gobap.’”
MAT.4.7	Yatâ sâi Yesuŋâ itâ sâip, “Oi den kulem ŋâi itâ ziap,
MAT.4.7	‘Kembu Anutugâ zâizâiŋ mân okŋaŋgâban.’”
MAT.4.8	Sâi Sataŋŋâ bak kârep patâ ŋâin diim zâi kin hân dâp a kâmut kâmutŋâ sot sikum kut ŋâi ŋâi âkŋâleŋoot, zo tirâpkoip. 
MAT.4.9	Tirâpkum itâ sâip, “Gâ nâgât umnâ topŋan gei pindiŋsâm mâpâseninandâ hân sot kut ŋâi ŋâi, zi aksik gâ gibat.” 
MAT.4.10	Sâi Yesuŋâ den mâburem itâ dukuip, “Sataŋ, gâ birânim âi. Den kulem ŋâi itâ ziap,
MAT.4.10	‘Kembu Anutugâ kânok mâpâsiban. Oi zâk kânok kore okŋaŋgâban.’”
MAT.4.11	Yatâ sâi Sataŋŋâ birâŋaŋgâm ari sumbem a zen gam on galem okŋaŋgâwe.
MAT.4.12	Yohane tâk namin panetâ Yesuŋâ zorat siŋgi, zo nâŋgâm Galilaia hânân arip. 
MAT.4.13	Oi Nasarete kamânân ândeip, zo birâm Kapenaum kamân âi ândeip. Kamân zo saru sâtŋan Sebuloŋ sot Naptali, zeŋgât hânân tâip. 
MAT.4.14	Yatâ oi Propete Yesaia zâkkât den ŋâi itâ ziap, zo bon oip,
MAT.4.15	“Sebuloŋ sot Naptali hân saru sâtŋan Yodaŋ too nâmbutken ziap, Galilaia hân torenŋan, zoren hân ŋâin gokŋâ zen ândime. 
MAT.4.16	A zo ŋâtâtigân ândiwe, zen kârâp âsakŋâ patâ ikse. Mumuŋaŋgât siŋgi op ŋâtâtigân ândiwe, zen âsakŋâ muyageziŋgap.”
MAT.4.17	Narâk zoren Yesuŋâ topkwapŋâ siŋgi âlip dâzâŋgom a itâ dâzâŋgom ândeip, “Anutugât um topŋan ândinatkât narâkŋâ mâte uapkât umziŋ melâŋnek.”
MAT.4.18	Oi sirâm ŋâin Yesuŋâ Galilaia saru sâtŋan âim gam tap a zagât, âtâ mun zikirip. Ŋâi Simoŋ, kutŋâ ŋâi Petero. Ŋâi ko munŋâ Andrea. Zet saruyân zuugât irâ pam kirâwet. Zet iŋangât nep tuum ândiwet. 
MAT.4.19	Yesuŋâ zikitŋâ dâzâkom sâip, “Zet ga nâgât a op molinigit. Oi zet iŋangât nep tuum ândiabot, zo yatik a zeŋgâren nep tuum ândibabot.” 
MAT.4.20	Sâi zorenâk irâzikŋâ birâm molim âiwet.
MAT.4.21	Oi Yesuŋâ mâik ŋâi âimŋâ a âtâ mun zagât muyagezikip. Yakobo sot munŋâ Yohane, zet Zebedaiogât nanzatŋâ. Zet ibâzikŋoot waŋgâyân tap irâziŋâ kubik tarâwe. 
MAT.4.22	Yesuŋâ dâzâkoi zorenâk waŋgâ sot ibâzikŋâ birâŋaŋgâm molim âiwet.
MAT.4.23	Yesuŋâ Galilaia hânân kamân toren toren âim gam mâpâmâpâse namin zâim den siŋgi âlip dâzâŋgom ândeip. Oi a ambân sisi mâsekziŋoot kubikziŋgâm ândeip. 
MAT.4.24	Yatâ op ândei siŋgiŋâ Siria hânân laŋ kârâm ari nâŋgâm a ambân sisi mâsek sot wâkeziŋoot sot kin bitziŋâ mumuŋâ zâkkâren diiziŋgâm gane kubikziŋgâm naŋgip. 
MAT.4.25	Oi Galilaia hânân gâbâ sot kamân bâzagât Yodaŋ too nâmbutken tâibân gâbâ sot Yerusalem kamânân gâbâ sot Yudaia hânân gâbâ sot Yodaŋ too nâmbutken gâbâ, a ambân kâmut patâŋâ mindumŋâ moliwe.
MAT.5.1	Yesuŋâ a ambân kâmut patâ ziŋgitŋâ bâkŋan zâi tâi arâpŋâ zen um topŋan âiwe. 
MAT.5.2	Âinetâ siŋgi âlip itâ sâm dâzâŋgoip, 
MAT.5.3	“A nâmbutŋâ umziŋaŋgât nâŋgâne gigiŋ opmap, zeŋgât nâŋga sâtâreŋoot uap. Zo ziŋâ sumbemân Anutu um topŋan ândibi. 
MAT.5.4	A nâmbutŋâ isem umbâlâ op ândime, zeŋgât nâŋga sâtâreŋoot uap. Zen zo umâlep kwatziŋgâbap. 
MAT.5.5	A nâmbutŋâ zâizâiŋâ mân op ândime, zeŋgât nâŋga sâtâreŋoot uap. A zo ziŋâ hân patâ zi galem upi. 
MAT.5.6	A nâmbutŋâ ândiândi târârakkât otziŋgi ândime, zeŋgât nâŋga sâtâreŋoot uap. Zen gâtâm bonŋâ muyagibi. 
MAT.5.7	A nâmbutŋâ zen um lâklâk op a toren tânzâŋgome, zeŋgât nâŋga sâtâreŋoot uap. Zen zo Anutuŋâ zo yatik otziŋgâbap. 
MAT.5.8	A nâmbutŋâ umziŋ salek ândime, zeŋgât nâŋga sâtâreŋoot uap. Zen zo Anutu ek ândibi. 
MAT.5.9	A nâmbutŋâ lumbeŋaŋgât nep tuum ândime, zeŋgât nâŋga sâtâreŋoot uap. Zen zo Anutugât murarâpŋâ sâbi. 
MAT.5.10	A nâmbutŋâ târârakziŋaŋgât op kâmbamân sot tâk namin âibi, zeŋgât nâŋga sâtâreŋoot uap. Zen zo sumbemân Anutu um topŋan ândibi. 
MAT.5.11	A nâmbutŋâ nâgât opŋâ a ziŋâ den bâliŋ top topŋâ dâzâŋgom zâŋgom molimoli otziŋgâme, zeŋgât nâŋga sâtâreŋoot uap. 
MAT.5.12	Zen sumbemân sâŋgân patâ mimbi, zorat umâlep patâ op sâtâre upi. Wangât, Propete a mârumŋan yatik zâŋgom moliziŋgâwe, zorat.”
MAT.5.13	“Zen a zeŋgât sii op ândibi. Ka siigât naamŋâ buŋ oi ko dap oindâ naamŋâ dum upap? Zo buŋâ. Sii bâliŋâ zo yatâ mo yatâ orotŋâ, zo mân ziap. Sii zo yen hânân lokine giari a ambân ziŋâ lâŋbi.
MAT.5.14	Oi zen a zeŋgât kârâp âsakŋâ op ândibi. Kamân ŋâi bak kârep ŋâin tâi wan mo wanŋâ mân kwâtepkubap. 
MAT.5.15	Zen kârâp sâumŋâ âmaŋân mân kwârakume. Buŋâ. Zo tâtatŋan pane tâpmap. Oi mirâ kâligen zime, zo âsageziŋgâmap. 
MAT.5.16	Zen zo yatâ a zeŋgât âsakŋâ op ândibi. Oi a zen ândiândiziŋâ ikne âlip oi sumbem Ibâziŋâ sâm âlip kwâkŋaŋgâbi.”
MAT.5.17+MAT.5.18	“‘Mosegât gurumin den sot Propete zeŋgât den kumbam geip,’ nâgât yatâ sâme? Nâ mân kumbam gewan. Nâ zo lubatkât gewan. Den zo bon op kut ŋâi ŋâi muyagem naŋgâbap. Nâ perâkŋak dâzâŋgobâ. Mosegât gurumin den murukŋâ ŋâi mân buŋ upap. Gurumin den zo tâi hân sumbem, zet buŋ upabot. 
MAT.5.19	Oi a ŋâi, zâk gurumin den murukŋâ ŋâi mân lumŋâ a toren yatik upigât dâzâŋgobap, zo ko sumbemân a ândibi, zeŋgât ombeŋan a gigiŋ op ândibap. Oi ŋâiŋâ ko den zo lum a nâmbut zo yatik upigât sâbap, zo ko sumbemân a ândibi, zeŋgât patâziŋ op ândibap. 
MAT.5.20	Zorat dâzâŋgua nâŋgânek. Zen gurumin den galem a sot Parisaio a, zen ândiândiziŋ âlip mân ândim walâziŋgâm sumbemgât siŋgi mân upi.”
MAT.5.21	“Sâkurâpziŋ zen den itâ dâzâŋgowe, ‘Gâ kâmbam mân kumban. Ŋâi zâk kâmbam kumbap, denân pambi.’ 
MAT.5.22	Ka nâŋâ itâ dâzâŋgobâ. Ŋâi zâk bukuŋâ um kuk nâŋgâŋaŋgâbap, zâk den nepŋaŋgât siŋgi upap. Ŋâi zâk bukuŋâ den bâliŋâ dukubap, zo ko a sâtŋâ zeŋgât minduminduyân pambi. Ŋâi zâk bukuŋâ den kârok bâliŋâ dukubap, zo ko sim kârâpkât siŋgi upap. 
MAT.5.23	Zorat ko gâ kut ŋâi ŋâi Kembugât siŋgi pâmbam itâ nâŋgâban, ‘Bukunet kâsâp osetnikŋan ziap.’ 
MAT.5.24	Zo yatâ nâŋgâm kut ŋâi zo birâm âi bukugoot den sâm kusik tuumŋâ âburem kut ŋâi zo Kembugât siŋgi pâmban.
MAT.5.25	Gâ a ŋâi sot kâsâp op dinzikŋâ zo kek kubikpabot. Top likuliku a zâkkâren mân âim kâsagoot den sâm kubikpabot. Yatâ mân otna kâsagandâ den zo top likuliku agâren sâi nâŋgâm kâwali a gakârâpŋâ sâi gâ gâsugim tâk namin gâbanbi. 
MAT.5.26	Nâ perâkŋak dâgobâ. Gâ zoren tapŋâ yen mân giban. Kâsagaŋgât tosa mâkâm naŋgâm gem gâban.
MAT.5.27	Sâkurâpziŋâ itâ dâzâŋgowe, ‘Ap ambin, zet mân birâyaŋgâbabot.’ 
MAT.5.28	Ka nâŋâ ko itâ dâzâŋgobâ. A ŋâiŋâ ambân ŋâi ek âkŋâleŋaŋgâbap, zo ko zâk zik ambin zo umŋandâ birâŋaŋgâbap. Zâk tosa mimbap.
MAT.5.29	Zorat siŋgâ ŋâiŋâ bâliŋan gâbanbâ sâi sum lâmuŋ birâban. Hâlâlu ândim simân geibatkât laŋ siŋgâ toren sum lâmuŋban. 
MAT.5.30	Bikâ bongenŋâ bâliŋan gâbanbâ sâi kârâm mânâŋgât pâmban. Sâk hâlâlu ândim sim kârâpkât siŋgi opatkât laŋ bikâ kârâm mânâŋgât pâmban.
MAT.5.31	Den sâŋgiŋâ itâ ziap, ‘Ŋâi zâk ambinŋâ birâbam ekap pindâm molibap.’ 
MAT.5.32	Ka nâŋâ ko itâ dâzâŋguan. A ŋâi ambin birâbap, zo ko zâk târotârozik mânâŋgât tosa patâ mimbap. Ka ambân zo a ŋâi sot ândeip oi ko tosa zo apŋaŋgât mân upap. Oi ŋâi zâk ambân birâbirâŋ zo mimbap, zo ko zâk tosa patâ mimbap.
MAT.5.33	Zen nâŋge. Sâkurâpziŋâ itâ dâzâŋgowe, ‘Gâ Anutu mâteŋan den ŋâi sarâ mân sâban. Kembu mâteŋan den ŋâi sâmŋâ lunandâ bonŋâ upap.’ 
MAT.5.34	Naŋâ ko itâ dâzâŋguan. Anutu mâteŋan den sâsâŋâ, zo itâgât birâm naŋgâbi. Sumbem, zo Anutugât tâtat mâme uap. 
MAT.5.35	Hânân kwap sâme, zo itâgât op birâbi. Hân, zo Anutugât kombâŋŋâ. Oi Yerusalem kamânân kwap sâsâŋâ, zo itâgât op birâbi. Yerusalem kamân, zo Kembu patâgât kamân. 
MAT.5.36	Oi kâukziŋan kwap sâsâŋ, zo birâbi. Zen kâukziŋ sâmotŋâ kâu ŋâi dukune sumun upap? Mo sumun ŋâi dukune kâu upap? Yatâ buŋâ. 
MAT.5.37	Zorat dinziŋâ bonŋan sâne bonŋâ upap. Buŋâ sâne buŋâ upap. Den târokwap sâme, zo Sataŋgâren gâbâ gâmap.”
MAT.5.38	“Den ŋâi itâ sâsâŋâ, zo nâŋge, ‘Ŋâiŋâ siŋgâ sum lâmuŋi gâŋgoot siŋâ sum lâmuŋban. Ŋâiŋâ sâtkâ kwâki gâŋgoot sâtŋâ hâuŋâ kom kwâkâban.’ 
MAT.5.39	Nâŋâ ko itâ dâzâŋguan. Zâŋgonâ sâne sâkziŋâ mân aŋgân kârâbi. Gât ko a ŋâiŋâ pâlomgâ toren koi toren ŋâi pindâna kumbap. 
MAT.5.40	Oi ŋâiŋâ gâ sot kâsa op hâmbâgâ kwâkŋan mei umŋan yatik pindâban. 
MAT.5.41	Oi a ŋâiŋâ gâ irâŋâ mem pâŋkânogân âi pâmbangât sâi gâŋâ târokwap kârebân âi pam gâban. 
MAT.5.42	Oi a ŋâiŋâ kut ŋâi ŋâi nibangât sâi pindâban. Oi yen mem ândim gibat sâi nâŋgâŋaŋgâban.”
MAT.5.43	“Den ŋâi itâ sâsâŋâ, zo nâŋgâme, ‘Gâ bukugâ buku okŋaŋgâban, ka kâsagâ kâsa miŋaŋgâban.’ 
MAT.5.44	Ka nâŋâ ko itâ dâzâŋgobâ. Kâsarâpziŋ buku otziŋgâbi. Oi a zâŋgom moliziŋgâme, zeŋgât op ninâu sâbi. 
MAT.5.45	Zen zo yatâ op ândim sumbem Ibâziŋaŋgât nan bârarâp bonŋâ op ândibi. Zâkŋâ yatik sâi maaŋandâ a orot mâmeziŋ bâliŋâ sot âlipŋâ aksik âsageziŋgâmap. Oi yatik sâi mapŋâ a orot mâmeziŋ bâliŋâ sot âlipŋâ aksik ziŋgâmap. 
MAT.5.46	Zen buku otziŋgâme, zorik buku otziŋgâbi, zo ko Anutuŋâ sâŋgânŋâ wan ziŋgâbap? Bâliŋ mâme a, zen yatâ op ândime, zo ka. 
MAT.5.47	Zen torerâpziŋâ zorik mâŋganziŋgâbi, zorat sâŋgânŋâ wan ziŋgâbap? Um kâtik a, zen yatâ upme. 
MAT.5.48	Zorat zen ko walâm sumbem Ibâziŋandâ târârak ândimap, zo yatik op ândibi.”
MAT.6.1	“Zen siŋgi âlip lumŋâ kut ŋâi ŋâi âlipŋâ upme, zo ziŋgitne âlip upapkât a mâteyân mân mem ândibi. A mâteyân yatâ op ândine Anutuŋâ sâŋgânŋâ mân ziŋgâbap. 
