GEN.1.1	I begynnelsen skapte Gud himmelen og jorden. 
GEN.3.16	Til kvinnen sa han: Jeg vil gjøre din møye meget stor i ditt svangerskap. Med smerte skal du føde dine barn. Til din mann skal din attrå stå, og han skal råde over deg. 
GEN.3.17	Og til Adam sa han: Fordi du lød din hustrus røst og åt av treet som jeg forbød deg å ete av, skal jorden være forbannet for din skyld. Med møye skal du nære deg av den alle dine levedager. 
GEN.3.18	Torner og tistler skal den bære for deg, og du skal ete av markens vekster. 
GEN.3.19	I ditt ansikts sved skal du ete ditt brød, inntil du vender tilbake til jorden, for av den er du tatt. Støv er du, og til støv skal du vende tilbake. 
GEN.3.20	Adam kalte sin hustru Eva, fordi hun er mor* til alle som lever. 
GEN.3.21	Og Herren Gud gjorde kapper av skinn til Adam og hans hustru, og kledde dem. 
GEN.3.22	Og Herren Gud sa: Se, mennesket er blitt som en av oss til å kjenne godt og ondt. Bare han nå ikke strekker ut sin hånd og tar også av livets tre, og eter og lever evig! 
GEN.3.23	Så viste Herren Gud ham ut av Edens hage og satte ham til å dyrke jorden, som han var tatt av. 
GEN.3.24	Han drev mennesket ut, og øst for Edens hage plasserte han kjerubene og det flammende sverdet som svingte hit og dit for å vokte veien til livets tre. 
GEN.4.1	Adam holdt seg til sin hustru Eva, og hun ble med barn og fødte Kain. Da sa hun: Jeg har fått* en mann ved Herren. 
GEN.4.2	Siden fødte hun Abel, hans bror. Abel ble sauegjeter. Kain ble jordbruker. 
GEN.4.3	Da en tid var gått, skjedde det at Kain bar fram for Herren et offer av markens grøde. 
GEN.4.4	Abel bar også fram et offer, som han tok av de førstefødte lammene i flokken og deres fett. Og Herren så til Abel og hans offer, 
GEN.4.5	men til Kain og hans offer så han ikke. Da ble Kain forbitret, og stirret ned for seg. 
GEN.4.6	Og Herren sa til Kain: Hvorfor er du så forbitret, og hvorfor stirrer du ned for deg? 
GEN.4.7	Er det ikke så at dersom du har godt i sinne, da kan du løfte ansiktet? Men har du ikke godt i sinne, da ligger synden på lur ved døren. Den har lyst på deg, men du skal herske over den. 
GEN.4.8	Kain talte til Abel, sin bror. Og da de en gang var ute på marken, for Kain løs på sin bror Abel og slo ham i hjel. 
GEN.4.9	Da sa Herren til Kain: Hvor er Abel, din bror? Han svarte: Jeg vet ikke. Er jeg min brors vokter? 
GEN.4.10	Men han sa: Hva har du gjort? Røsten av din brors blod roper til meg fra jorden. 
GEN.4.11	Nå skal du være bannlyst fra den jorden som åpnet sin munn og tok imot din brors blod fra din hånd. 
GEN.4.12	Når du dyrker jorden, skal den ikke mer gi deg sin grøde. En flyktning og en vandrer skal du være på jorden. 
GEN.4.13	Da sa Kain til Herren: Min skyld er større enn at jeg kan bære den. 
GEN.4.14	Se, du har i dag drevet meg ut av landet, og jeg må skjule meg for ditt åsyn. Jeg blir en flyktning og en vandrer på jorden, og det vil gå slik at hvem som helst som finner meg, kommer til å slå meg i hjel. 
GEN.4.15	Men Herren sa til ham: Dersom noen slår Kain i hjel, skal det hevnes sjufold. Og Herren satte et merke på Kain for at ingen som møtte ham, skulle slå ham i hjel. 
GEN.4.16	Så dro Kain bort fra Herrens åsyn og bosatte seg i landet Nod, øst for Eden. 
GEN.4.17	Og Kain holdt seg til sin hustru, og hun ble med barn og fødte Hanok. Så tok han seg fore å bygge en by og ga byen navnet Hanok etter sin sønn. 
GEN.4.18	Hanok fikk sønnen Irad. Irad ble far til Mehujael. Mehujael ble far til Metusjael. Metusjael ble far til Lamek. 
GEN.4.19	Lamek tok seg to koner, den ene hette Ada, den andre hette Silla. 
GEN.4.20	Ada fødte Jabal, han ble stamfar til dem som bor i telt og holder buskap. 
GEN.4.21	Hans bror hette Jubal, han ble stamfar til alle dem som spiller på harpe og fløyte. 
GEN.4.22	Silla fødte Tubalkain. Han smidde alle slags redskaper av kobber og jern. Tubalkains søster var Na’ama. 
GEN.4.23	Lamek sa til konene sine: Ada og Silla, hør min røst, Lameks hustruer, lytt til min tale! En mann dreper jeg for hvert sår jeg får, en gutt for hver skramme jeg får. 
GEN.4.24	For hevnes Kain sju ganger, da skal Lamek hevnes syttisju ganger. 
GEN.4.25	Adam holdt seg igjen til sin hustru, og hun fødte en sønn og kalte ham Set. [Hun sa:] For Gud har satt* meg en annen sønn i Abels sted, fordi Kain slo ham i hjel. 
GEN.4.26	Set fikk en sønn og kalte ham Enosj. På den tiden begynte de å påkalle Herrens navn. 
GEN.5.1	Dette er boken om Adams slektshistorie: På den dagen Gud skapte mennesket, skapte han det i Guds liknelse, 
GEN.5.2	til mann og kvinne skapte han dem, og han velsignet dem og ga dem navnet menneske på den dagen de ble skapt. 
GEN.5.3	Da Adam var hundre og tretti år gammel, fikk han en sønn i sin liknelse, etter sitt bilde. Han kalte ham Set. 
GEN.5.4	Og Adams dager etter at han hadde fått Set, var åtte hundre år, og han fikk sønner og døtre. 
GEN.5.5	Alle Adams levedager ble ni hundre og tretti år. Så døde han. 
GEN.5.6	Da Set var hundre og fem år gammel, fikk han sønnen Enosj. 
GEN.5.7	Etter at Set hadde fått Enosj, levde han åtte hundre og sju år, og fikk sønner og døtre. 
GEN.5.8	Alle Sets dager ble ni hundre og tolv år. Så døde han. 
GEN.5.9	Da Enosj var nitti år gammel, fikk han sønnen Kenan. 
GEN.5.10	Etter at Enosj hadde fått Kenan, levde han åtte hundre og femten år og fikk sønner og døtre. 
GEN.5.11	Alle Enosjs dager ble ni hundre og fem år. Så døde han. 
GEN.5.12	Da Kenan var sytti år gammel, fikk han sønnen Mahalalel. 
GEN.5.13	Etter at Kenan hadde fått Mahalalel, levde han åtte hundre og førti år og fikk sønner og døtre. 
GEN.5.14	Alle Kenans dager ble ni hundre og ti år. Så døde han. 
GEN.5.15	Da Mahalalel var sekstifem år gammel, fikk han sønnen Jared. 
GEN.5.16	Etter at Mahalalel hadde fått Jared, levde han åtte hundre og tretti år og fikk sønner og døtre. 
GEN.5.17	Alle Mahalalels dager ble åtte hundre og nittifem år. Så døde han. 
GEN.5.18	Da Jared var hundre og sekstito år gammel, fikk han sønnen Enok. 
GEN.5.19	Etter at Jared hadde fått Enok, levde han åtte hundre år og fikk sønner og døtre. 
GEN.5.20	Alle Jareds dager ble ni hundre og sekstito år. Så døde han. 
GEN.5.21	Da Enok var sekstifem år gammel, fikk han sønnen Metusjalah. 
GEN.5.22	Og Enok vandret med Gud i tre hundre år etter at han hadde fått Metusjalah, og han fikk sønner og døtre. 
GEN.5.23	Alle Enoks dager ble tre hundre og sekstifem år. 
GEN.5.24	Og Enok vandret med Gud. Så ble han borte, for Gud tok ham til seg. 
GEN.5.25	Da Metusjalah var hundre og åttisju år gammel, fikk han sønnen Lamek. 
GEN.5.26	Etter at Metusjalah hadde fått Lamek, levde han sju hundre og åttito år og fikk sønner og døtre. 
GEN.5.27	Alle Metusjalahs dager ble ni hundre og sekstini år. Så døde han. 
GEN.5.28	Da Lamek var hundre og åttito år gammel, fikk han en sønn. 
GEN.5.29	Han kalte ham Noah og sa: Han skal trøste* oss under vårt arbeid og våre henders møye på den jorden som Herren har forbannet. 
GEN.5.30	Etter at Lamek hadde fått Noah, levde han fem hundre og nittifem år og fikk sønner og døtre. 
GEN.5.31	Alle Lameks dager ble sju hundre og syttisju år. Så døde han. 
GEN.5.32	Og da Noah var fem hundre år gammel, fikk han sønnene Sem, Kam og Jafet. 
GEN.6.1	Da nå menneskene begynte å bli mange på jorden, og de fikk døtre, 
GEN.6.2	da så Guds sønner at menneskenes døtre var vakre, og de tok seg koner, hvem de hadde lyst til. 
GEN.6.3	Da sa Herren: Min Ånd skal ikke til evig tid gå i rette med menneskene. I sin villfarelse er de kjød, og deres dager skal være hundre og tjue år. 
GEN.6.4	Kjempene var på jorden i de dager. Og likeså siden, da Guds sønner gikk inn til menneskenes døtre, som fødte dem barn. Dette er de mektige menn i gammel tid, de navngjetne. 
GEN.6.5	Herren så at menneskenes ondskap var stor på jorden, og at alle tanker og hensikter i hjertene deres var onde hele dagen lang. 
GEN.6.6	Da angret Herren at han hadde skapt mennesket på jorden, og han var full av sorg i sitt hjerte. 
GEN.6.7	Og Herren sa: Jeg vil utrydde fra jorden menneskene som jeg har skapt, både mennesker og fe og krypdyr og himmelens fugler, for jeg angrer at jeg har skapt dem. 
GEN.6.8	Men Noah fant nåde for Herrens øyne. 
GEN.6.9	Dette er Noahs slektshistorie. Noah var en rettferdig mann, ulastelig blant sine samtidige. Noah vandret med Gud. 
GEN.6.10	Og Noah fikk tre sønner: Sem, Kam og Jafet. 
GEN.6.11	Men jorden var fordervet i Guds øyne, den ble full av vold. 
GEN.6.12	Og Gud så jorden, og se, den var fordervet. Alt kjød hadde fordervet sin ferd på jorden. 
GEN.6.13	Da sa Gud til Noah: Nå vil jeg gjøre ende på alt kjød, for de har fylt jorden med vold. Se, jeg vil ødelegge både dem og jorden. 
GEN.6.14	Bygg deg en ark av gofertre. Du skal innrede den med rom, og stryke den innvendig og utvendig med bek. 
GEN.6.15	Slik skal du bygge den: Arken skal være tre hundre alen lang, femti alen bred og tretti alen høy. 
GEN.6.16	Øverst på arken skal du gjøre en lysåpning som når en alen ned på veggen. Sett døren til arken på den ene siden. Du skal bygge den med tre dekk, et nederste, et annet og et tredje, innredet med rom i hver etasje. 
GEN.6.17	Og se, jeg lar en vannflom komme over jorden for å ødelegge alt kjød under himmelen som det er livsånde i. Alt som er på jorden, skal omkomme. 
GEN.6.18	Men jeg vil opprette min pakt med deg, og du skal gå inn i arken - du og dine sønner og din hustru og dine svigerdøtre med deg. 
GEN.6.19	Og av alt som lever, av alt kjød, skal du ta ett par av hvert slag med inn i arken for å holde dem i live med deg. De skal være hann og hunn. 
GEN.6.20	Av alle slags fugler og av alle slags fe og av alle slags krypdyr på jorden skal par for par komme inn til deg for å holdes i live. 
GEN.6.21	Og du skal ta med deg noe av allslags mat og samle det hos deg, så det kan være til føde for deg og for dem. 
GEN.6.22	Og Noah gjorde slik. Han gjorde i ett og alt som Gud hadde befalt ham. 
GEN.7.1	Så sa Herren til Noah: Gå inn i arken, du og hele din husstand! For bare deg har jeg funnet rettferdig for meg i denne slekt. 
GEN.7.2	Av alle rene dyr skal du ta deg ut sju par, hann og hunn, og av dyr som ikke er rene, ett par, hann og hunn, 
GEN.7.3	likeså av himmelens fugler sju par, hann og hunn, for å holde deres slekter i live på hele jorden. 
GEN.7.4	For sju dager heretter vil jeg la det regne på jorden i førti dager og førti netter, og jeg vil utslette fra jordens overflate hvert levende vesen som jeg har skapt. 
GEN.7.5	Og Noah gjorde i ett og alt som Herren hadde befalt ham. 
GEN.7.6	Noah var seks hundre år gammel da vannflommen kom over jorden. 
GEN.7.7	Så gikk Noah og hans sønner, hans kone og hans svigerdøtre med ham inn i arken for å berge seg for vannflommen. 
GEN.7.8	Av de rene dyrene og av de dyrene som ikke er rene, av fuglene og av alt som kryper på marken, 
GEN.7.9	gikk par for par inn til Noah i arken, hanndyr og hunndyr, slik Gud hadde befalt Noah. 
GEN.7.10	Så skjedde det, etter at de sju dagene var til ende, at vannflommen kom over jorden. 
GEN.7.11	I det året av Noahs liv da han var seks hundre år gammel, i den andre måneden, på den syttende dagen i måneden, den dagen brast alle kilder i det store dyp, og himmelens sluser ble åpnet. 
GEN.7.12	Regnet strømmet ned over jorden i førti dager og førti netter. 
GEN.7.13	Denne samme dagen gikk Noah og Sem, Kam og Jafet, Noahs sønner, og Noahs kone og hans tre svigerdøtre med dem inn i arken, 
GEN.7.14	de og alle de ville dyrene etter sitt slag, alt fe etter sitt slag, alt kryp som rører seg på jorden etter sitt slag, alle fugler etter sitt slag, alt som flyr, alt som har vinger. 
GEN.7.15	De gikk inn til Noah i arken, par for par av alle skapninger som har livsånde i seg. 
GEN.7.16	De som gikk inn var hann og hunn av alt kjød, slik Gud hadde befalt ham. Og Herren lukket etter ham. 
GEN.7.17	Da kom vannflommen strømmende over jorden i førti dager, slik at vannet steg og løftet arken og hevet den over jorden. 
GEN.7.18	Og vannet steg og økte veldig over jorden, og arken fløt bortover vannflaten. 
GEN.7.19	Vannet steg nå mer og mer på jorden, så alle de høye fjellene under himmelen ble skjult. 
GEN.7.20	Femten alen høyt steg vannet over fjellene, og skjulte dem. 
GEN.7.21	Da omkom alt kjød som rørte seg på jorden, fugl og fe og de ville dyr, alt kryp som rører seg på jorden, og alle menneskene. 
GEN.7.22	Alt som hadde pust av livsånde i nesen, alt som levde på det tørre land, døde. 
GEN.7.23	Han utryddet hvert liv som fantes på jorden, fra mennesket til feet, krypet og fuglene under himmelen - de ble utryddet av jorden. Bare Noah ble tilbake, og de som var med ham i arken. 
GEN.7.24	Og vannet ble stående høyt over jorden i hundre og femti dager. 
GEN.8.1	Men Gud kom i hu Noah og alle ville dyr og alt feet som var med ham i arken. Og Gud lot en vind blåse over jorden, og vannet sank. 
GEN.8.2	Dypets kilder og himmelens sluser ble lukket, og regnet fra himmelen stanset. 
GEN.8.3	Vannet trakk seg etter hvert tilbake fra jorden, og vannet begynte å minke da hundre og femti dager var gått. 
GEN.8.4	I den sjuende måneden, på den syttende dagen i måneden, ble arken stående på Ararat-fjellene. 
GEN.8.5	Og vannet fortsatte å synke inntil den tiende måneden. I den tiende måneden, på den første dagen i måneden, kom fjelltoppene til syne. 
GEN.8.6	Da førti dager var gått, åpnet Noah luken han hadde gjort på arken 
GEN.8.7	og slapp ut en ravn. Den fløy fram og tilbake inntil vannet var tørket bort fra jorden. 
GEN.8.8	Så sendte han ut en due for å se om vannet hadde sunket fra jordens overflate. 
GEN.8.9	Men duen fant ikke noe sted å hvile sin fot, og den kom tilbake til ham i arken, for det sto vann over hele jordens overflate. Da rakte han ut hånden og tok den inn til seg i arken. 
GEN.8.10	Han ventet ennå sju dager, og sendte så igjen duen ut av arken. 
GEN.8.11	Duen kom til ham da det led mot kveld. Og se, den hadde et friskt oljeblad i nebbet. Da skjønte Noah at vannet var sunket bort fra jorden. 
GEN.8.12	Men han ventet ennå sju dager, så slapp han duen ut, og da kom den ikke tilbake til ham mer. 
GEN.8.13	Og det skjedde, i det seks hundre og første året, i den første måneden, på den første dagen i måneden, var vannet tørket bort fra jorden. Da tok Noah taket av arken og så ut, og se, jorden var tørr. 
GEN.8.14	I den andre måneden, på den tjuesjuende dagen i måneden, var jorden helt tørr. 
GEN.8.15	Da talte Gud til Noah og sa: 
GEN.8.16	Gå ut av arken, du og din hustru og dine sønner og dine svigerdøtre med deg. 
GEN.8.17	Alt levende som er hos deg, av alt kjød, fugl og fe og alt kryp som rører seg på jorden - før det ut med deg! Det skal vrimle av dem på jorden, de skal være fruktbare og formere seg på jorden. 
GEN.8.18	Så gikk Noah ut, og hans sønner, hans kone og hans svigerdøtre med ham. 
GEN.8.19	Alle dyrene, alt krypet, alle fuglene, alt som rører seg på jorden - alt etter sitt slag, gikk ut av arken. 
GEN.8.20	Og Noah bygde et alter for Herren. Han tok av alle rene dyr og av alle rene fugler og ofret brennoffer på alteret. 
GEN.8.21	Og Herren kjente den behagelige duften, og Herren sa i sitt hjerte: Jeg vil aldri mer forbanne jorden for menneskets skyld, for menneskehjertets tanker er onde fra ungdommen av. Jeg vil aldri mer drepe alt levende, slik jeg nå har gjort. 
GEN.8.22	Så lenge jorden står heretter, skal såtid og høst, kulde og hete, sommer og vinter, dag og natt aldri ta slutt. 
GEN.9.1	Og Gud velsignet Noah og sønnene hans og sa til dem: Vær fruktbare, bli mange og fyll jorden. 
GEN.9.2	Frykt og redsel for dere skal være over alle jordens dyr og alle himmelens fugler, over alt som kryper på marken, og over alle fiskene i havet. De er gitt i deres hånd. 
GEN.9.3	Alt som rører seg og lever, skal være til føde for dere. Likesom jeg ga dere de grønne plantene, gir jeg dere alt dette. 
GEN.9.4	Bare kjøtt med dets sjel i, det vil si blodet, skal dere ikke ete. 
GEN.9.5	Og sannelig: Jeg vil kreve gjengjeld for deres eget blod. Jeg vil kreve hvert dyr til regnskap om det tar deres blod, og likeså hvert menneske. Jeg vil kreve hver manns bror til regnskap for menneskets liv. 
GEN.9.6	Den som utøser menneskets blod, hans blod skal bli utøst av mennesker. For i Guds bilde skapte han mennesket. 
GEN.9.7	Dere skal være fruktbare og bli mange! Myldre på jorden og bli tallrike på den. 
GEN.9.8	Gud talte til Noah og til hans sønner som var med ham, og sa: 
GEN.9.9	Se, jeg oppretter selv min pakt med dere, og med slekten etter dere, 
GEN.9.10	og med hver levende skapning som er hos dere, fuglene og feet og alle ville dyr hos dere - alt som gikk ut av arken, alle dyr på jorden. 
GEN.9.11	Jeg oppretter min pakt med dere: Aldri mer skal alt kjød bli utryddet ved vannflom. Aldri mer skal det komme en vannflom og ødelegge jorden. 
GEN.9.12	Og Gud sa: Dette er tegnet på pakten jeg oppretter mellom meg og dere og hver levende skapning som er hos dere, for alle kommende slekter og tider: 
GEN.9.13	Min bue har jeg satt i skyen, den skal være tegn på en pakt mellom meg og jorden. 
GEN.9.14	Og det skal skje, når jeg fører skyer over jorden, og buen kommer til syne i skyen, 
GEN.9.15	da vil jeg komme i hu min pakt mellom meg og dere og hver levende skapning av alt kjød, og vannet skal aldri mer bli en flom som ødelegger alt kjød. 
GEN.9.16	Når buen står i skyen, vil jeg se den og minnes den evige pakten mellom Gud og hver levende skapning, alt kjød som er på jorden. 
GEN.9.17	Gud sa til Noah: Dette er tegnet på pakten jeg har opprettet mellom meg og alt kjød som er på jorden. 
GEN.9.18	Noahs sønner som gikk ut av arken, var Sem, Kam og Jafet. Kam var far til Kana’an. 
GEN.9.19	Disse tre var Noahs sønner. Fra dem bredte menneskene seg ut over hele jorden. 
GEN.9.20	Noah var jordbruker, og han var den første som plantet en vingård. 
GEN.9.21	Han drakk av vinen og ble beruset, og han kledde seg naken inne i teltet sitt. 
GEN.9.22	Da Kam, Kana’ans far, så sin fars nakenhet, fortalte han det utenfor til begge brødrene sine. 
GEN.9.23	Da tok Sem og Jafet et klede og la det på skuldrene sine og gikk baklengs inn og dekket sin fars nakenhet. De vendte ansiktet bort og så ikke sin fars nakenhet. 
GEN.9.24	Da Noah våknet av rusen, fikk han vite hva hans yngste sønn hadde gjort mot ham. 
GEN.9.25	Han sa: Forbannet være Kana’an! Trellers trell skal han være for sine brødre. 
GEN.9.26	Han sa også: Lovet være Herren, Sems Gud, Kana’an skal være hans trell! 
GEN.9.27	Gud skal gjøre det vidt for Jafet, han skal bo i Sems telter, og Kana’an skal være hans trell! 
GEN.9.28	Noah levde tre hundre og femti år etter vannflommen. 
GEN.9.29	Alle Noahs dager ble ni hundre og femti år. Så døde han. 
GEN.10.1	Dette er slektshistorien til Noahs sønner Sem, Kam og Jafet. De fikk sønner etter vannflommen. 
GEN.10.2	Jafets sønner var Gomer, Magog, Madai, Javan, Tubal, Mesjek og Tiras. 
GEN.10.3	Gomers sønner var Asjkenas, Rifat og Togarma. 
GEN.10.4	Javans sønner var Elisja, Tarsis, Kittim og Dodanim. 
GEN.10.5	Fra disse ble hedningenes kystland befolket i sine land, hvert med sitt tungemål, etter sine slekter, i sine folkeslag. 
GEN.10.6	Kams sønner var Kusj, Misrajim, Put og Kana’an. 
GEN.10.7	Kusjs sønner var Seba, Havila, Sabta, Raema og Sabteka. Raemas sønner var Sjeba og Dedan. 
