GEN.1.1	Diyà te puunà midlimbag te Megbevayà is langit wey is kelibutan. 
GEN.2.14	Is ngazan dutun te iketelu he wahig ne Tigris. Diyà heini edtudà te edsilaan te Asiria. Ne is ikeepat he wahig iyan is Eufrates.
GEN.2.15	Ne haazà is etew he midlimbag te 
GEN.2.16	Ne haazà is etew, mibpeketelteleenan te Megbevayà he egkaǥi te, “Idtuǥut ku kenikew he megkaan ka te veǥas te menge kayu zini te pemuleey, 
GEN.2.17	iyan, sikan is beǥas te kayu he ebpekeveǥey te kegketau te meupiya wey mezaat, utew kinahanglan he kenè nu heeyan keena. Su zutun dà te kegkaan nu keniyan te veǥas din kenà duwazuwa he ebpatey ka.”
GEN.2.18	Ne migkaǥi zutun is 
GEN.2.19	Ne zutun, puun dutun te tanà, midlimbag te 
GEN.2.20	Ne migngezanan dutun te etew is langun he menge ayam he langgam dutun, wey is menge tagbis he ziyà ebpemenlayang te hewhewanan wey is langun he menge leew he langgam. Ne minsan pa zutun wazè pa hustu he zuma zutun te etew he ebpeketavang kandin. 
GEN.2.21	Ne tenged dutun impelipezeng te 
GEN.2.22	Ne puun dutun te ǥusuk he migkuwa zin puun dutun te maama, midhimu te 
GEN.2.23	Ne zutun migkaǥi kes maama te,
GEN.2.23	“Duen ku en human duma! Is menge tulan din, ne zini ebpuun te tulan ku wey is sapù din daan, ne zini ebpuun te sapù ku. Egngezanan ku sikandin he ‘vahi’ su zini sikandin ebpuun te kedì te maama,” ke sikandin.
GEN.2.24	Iyan heini hinungdan ke maan is ed-ewaan te maama is amey zin wey iney zin ne ebpengesawa te vahi, ne zutun egkehimu haazà is maama wey vahi he sevaha zà.
GEN.2.25	Ne lelevas haazà is dezuwa, sikan is maama wey esawa zin, iyan, kenè dan haazà igkeeled.
GEN.3.1	Sikan is uled, ne utew metau he ed-akal te langun he menge langgam he linimbag te 
GEN.3.2	Ne midtavak haazà is bahi te, “Intuǥut din kenami is kegkaan te langun he menge veǥas te zuma he kayu kayi te pemuleey, 
GEN.3.3	iyan, haazà is beǥas te kayu he ziyà te teliwazà te pemuleey. Indawey kenami te Megbevayà su ke sikandin te, ‘Kenè niw heeyan keena etawa minsan is kedsenggira zà duen. Su emun egkeenen niw heini ne ebpatey kew.’ ” 
GEN.3.4	Ne migkaǥi kes uled diyà te vahi te, “Kenè kew ebpatey, 
GEN.3.5	su netuenan en te Megbevayà he zutun dà te kegkeena niw zuen, egkehimu kew he utew metau ne ebpekeiring kew te Megbevayà su egketuenan niw is meupiya wey mezaat.”
GEN.3.6	Ne hein nesavut te vahi he metaam bes he egkeenen haazà is beǥas te kayu, wey meupiya zaan he ed-ahaan wey nesavut din daan he utew haazà egkinehenglana su wey zan mehimu he utew metau, ne midrupù sikandin dutun ne migkaan din. Ne mibeǥayan din daan is esawa zin he zuma zin daan dutun ne migkaan daan sikandin. 
GEN.3.7	Ne zutun te nekepasad dan he egkaan, netuenan dan ke hengkey is meupiya wey mezaat, ne neseǥipè dan human he lelevas dan bes. Umbe mibpenahì dan is menge zahun te kayu he higus su wey zan duen igketambun te lawa zan.
GEN.3.8	Ne hein mahapun en dutun he ebpengpengeramag, nezineg dan is 
GEN.3.9	Ne mid-umew te 
GEN.3.10	Ne midtavak is maama te, “Nezineg ku sikew is edhiphipanew zini te pemuleey, ne nahandek a, su lelevas a, umbe mid-eles a.” 
GEN.3.11	Ne migkaǥi is 
GEN.3.12	Ne midtavak is maama te, “Haazà is bahi he impezuma nu kediey, mibeǥayan e zin ne migkaan a.”
GEN.3.13	Ne mid-insaan te 
GEN.3.14	Ne zutun migkeǥiyan te 
GEN.3.15	Edhimuwen ku he kuntada nu haazà is bahi, ne ebpekigkuntada zaan is kevuwazan din te kevuwazan nu. Edrupeten din is ulu nu ne edkeǥaten nu is palu zin.” 
GEN.3.16	Ne zutun migkeǥiyan din daan is bahi, ke sikandin te, “Tenged te mid-ulaula nu, edhimuwen ku he utew mesakit is kebelilita kenikew ke ed-anak ka. Merasey is ked-enaka nu te menge vatà, ne minsan pa zutun egkeeriǥan ke zed te esawa nu ne iyan sikandin ebayàbayà kenikew.”
GEN.3.17	Ne zutun migkeǥiyan te Megbevayà is maama te, “Tenged te mibpemineg ka te esawa nu ne migkaan ka zuen te veǥas te kayu he indawey ku he ke siak te, ‘Kenè niw heeyan keena,’ ne edrewakan ku is tanà tenged keniyu. Ne taman te kenè ke pa ebpatey wey ke zà ebpekekaan te veǥas te edtuvù dutun te tanà ke egkerasey ka he edhaǥù. 
GEN.3.18	Su menge meǥarang wey menge zuǥiyen is edtuvù dutun te kebasuk nu. Ne ebpekekaan ka te veǥas te menge pinemula nu. 
GEN.3.19	Ne taman te kenè ke pa idleveng dini te tanà, wey ke zà ebpekekaan ke edrimusengan ka. Is eliyavuk te tanà iyan puunà te lawa nu ne ziyà daan heini keuzemà te eliyavuk ebpekeulì.”
GEN.3.20	Sikan is maama, migngezanan din is esawa zin he “Eva” su egkehimu sikandin he iney te tivuuk he menusiyà. 
GEN.3.21	Ne zutun mibaal is 
GEN.3.22	Ne migkaǥi zutun is 
GEN.3.23	Ne tenged dutun midsegseg te 
GEN.3.24	Ne hein midsegseg din en haazà is etew, impevantey zin dutun te zapit te pemuleey he Eden sikan is menge velinsuǥuen din he kirubin wey zuen daan egkeregreg he ispada he ebiyuviyu su wey wazà minsan hentei he ebpekehendiyà te kayu he ebpekeveǥey te untung.
GEN.4.1	Ne zutun mid-uvayan ni Adan haazà is esawa zin he si Eva, ne mibmeǥingey sikandin ne mid-anak sikandin te maama, ne ke si Eva te, “Midtevangan a te 
GEN.4.2	Ne mibmeǥingey en maan si Eva ne mid-anak sikandin te maama, ne mid-ngezanan din te Abel.
GEN.4.2	Ne hein midekelà en si Abel, perevantey sikandin te menge kerehidu, ne si Cain, ne mibasuk mulà. 
GEN.4.3	Ne neuma is andew he nemuhat si Cain diyà te 
GEN.4.4	Ne si Abel mulà migkuwa sikandin te kinekekayan duen te menge uyaǥen din ne midlapè din, ne impemuhat din is kineupiyahan he vahin diyà te Megbevayà. Nelipey is 
GEN.4.5	piru wazè din mulà dewata si Cain wey is kandin he impemuhat. Ne zutun utew nepauk si Cain ne mibmerembunut is dagwey zin. 
GEN.4.6	Ne migkaǥi zutun is 
GEN.4.7	Su emun hustu is ed-ul-ulahan nu edewaten ku sikew; ne emun kenà, melemu ka ebpekesalà, su is salà ne iring te kumekaid he langgam he ed-ayan kenikew keniyan te ǥemawan. Utew zin egkesuati he mezaag ke zin, iyan, kinahanglan he iyan ka edaag kandin.”
GEN.4.8	Sevaha zutun he andew, migkaǥi si Cain diyà te hazi zin he si Abel te, “Edhendiyè ki te vevesukà.” Ne hein diyè dan en, midhimetayan ni Cain si Abel.
GEN.4.9	Ne mid-insaan te 
GEN.4.10	Ne migkeǥiyan te Megbevayà si Cain te, “Utew mezaat is mid-ulaula nu! Is lengesa te hazi nu ne henduen be te ebpehizuhizu he edsilutan ku is etew he midhimatey kandin. 
GEN.4.11	Ne ǥuntaan tenged te mid-ulaula nu, edrewakan ku sikew ne edhimuwen ku he kenè ke en ebpekevasuk kayi te tanà su netiǥisan is tanà te lengesa te hazi nu he mibunù nu. 
GEN.4.12	Minsan duen ibpemula nu kayi te tanà ne ebpengelinteuwan ku he kenè en ebeǥasan heini. Wazè en egketendù he egkeubpaan nu umbe ebpekeriǥuriǥu ke zà te minsan hendei zini te lumpad.”
GEN.4.13	Ne zutun migkaǥi si Cain diyà te 
GEN.4.14	Midsegseg a kenikew kayi he tanà wey nekepekeziyù ad kenikew. Ne wazè en egketendù he egkeubpaan ku, umbe ebpekeriǥuriǥu a zini te lumpad. Ne egkehimu he edhimetayan a te minsan hentei he egkeuma ku.” 
GEN.4.15	Ne midtavak kandin dutun is 
GEN.4.16	Ne mibpekeziyù si Cain te 
GEN.4.17	Ne mid-uvayan ni Cain is esawa zin ne mibmeǥingey ne in-anak din is batà he maama ne migngezanan dan te Enoc. Ne midtukud dutun si Cain te inged ne migngezanan din te Enoc su in-iring din te ngazan te anak din. 
GEN.4.18	Ne hein neuǥet nevuwad daan si Enoc ne nehimu sikandin he amey ni Irad. Ne si Irad, amey ni Mehuel; ne si Mehuel amey ni Metushael; ne si Metushael, ne amey ni Lamec. 
GEN.4.19	Dezuwa is esawa ni Lamec, is sevaha, ne iyan si Ada, ne is sevaha, ne iyan si Zila. 
GEN.4.20	In-anak ni Ada si Jabal he iyan nehuna te langun he ed-elima te menge ayam wey ed-ubpà te menge tulda. 
GEN.4.21	Duen hazi ni Jabal he maama ne iyan ngazan din si Jubal, he nehuna te langun he metau he ebpen alpa wey ebpemulalà. 
GEN.4.22	Si Zila mid-anak daan te maama ne iyan ngazan din si Tubal Cain he iyan dengan utew metau he pandey te ǥalang wey putew. Ne is etevey ni Tubal Cain ne iyan si Naama.
GEN.4.23	Ne zutun he andew migkaǥi si Lamec diyà te menge esawa zin te,
GEN.4.23	“He Ada wey Zila, pemineg kew te egkeǥiyen ku.
GEN.4.23	Midhimetayan ku is kengkenakan he midrasey wey mibpalì kedì.
GEN.4.24	Ne emun kepipitu egketakep is silut te edhimatey ki Cain,
GEN.4.24	ne 77 is kegketakep is silut te edhimatey kediey.”
GEN.4.25	Ne mid-umanan ni Adan uvayi is esawa zin he si Eva, ne mid-anak te maama, ne migngezanan din ki Set, he ke và dà egkeǥiya, imbeǥey, su ke sikandin te, “Mibeǥayan a te Megbevayà te anak he ilis ki Abel.” Umbe iyan heini mid-ulaula te Megbevayà su mibunù ni Cain si Abel. 
GEN.4.26	Ne hein neuǥet, nevuwad daan si Set te maama ne migngezanan din ki Enosh. Iyan haazà timpu zengan he ebpuunan te menge etew is paaǥi te ked-azap he egemiten is ngazan te 
GEN.5.1	Iyan heini keguǥuza te menge kevuwazan ni Adan. Dutun te kedlimbaǥa te Megbevayà te menusiyà, midhimu zin is etew iring te kandin he zagwey. 
GEN.5.2	Maama wey vahi is midlimbag din. Ne hein nepasad din, midtuvazan din sikandan, ne migngezanan din sikandan he “menusiyà”.
GEN.5.3	Hein 130 en is penuiǥen ni Adan nevuwad sikandin te maama he utew midsempù kandin ne migngezanan din ki Set. 
GEN.5.4	Ne puun dutun te ked-enaka ki Set, 800 pa he tuig is keluǥayad te untung ni Adan, ne zuen duma pa he menge anak din he maama wey vahi. 
GEN.5.5	Ne hein 930 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.6	Hein 105 en is penuiǥen ni Set nevuwad sikandin ki Enosh. 
GEN.5.7	Ne puun dutun te ked-enaka ki Enosh, 807 pa he tuig is keluǥayad te untung ni Set, ne zuen duma pa he menge anak din he maama wey vahi. 
GEN.5.8	Ne hein 912 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.9	Hein 90 en is penuiǥen ni Enosh nevuwad sikandin ki Kenan. 
GEN.5.10	Ne puun dutun te ked-enaka ki Kenan, 815 pa he tuig is keluǥayad te untung ni Enosh, ne zuen duma pa he menge anak din he maama wey vahi. 
GEN.5.11	Ne hein 905 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.12	Hein 70 en is penuiǥen ni Kenan nevuwad sikandin ki Mahalalel. 
GEN.5.13	Ne puun dutun te ked-enaka ki Mahalalel, 840 pa he tuig is keluǥayad te untung ni Kenan, ne zuen duma pa he menge anak din he maama wey vahi. 
GEN.5.14	Ne hein 910 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.15	Hein 65 en is penuiǥen ni Mahalalel nevuwad sikandin ki Jared. 
GEN.5.16	Ne puun dutun te ked-enaka ki Jared, 830 pa he tuig is keluǥayad te untung ni Mahalalel, ne zuen duma pa he menge anak din he maama wey vahi. 
GEN.5.17	Ne hein 895 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.18	Hein 162 en is penuiǥen ni Jared nevuwad sikandin ki Enoc. 
GEN.5.19	Ne puun dutun te ked-enaka ki Enoc, 800 pa he tuig is keluǥayad te untung ni Jared, ne zuen duma pa zaan he menge anak din he maama wey vahi. 
GEN.5.20	Ne hein 962 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.21	Hein 65 en is penuiǥen ni Enoc nevuwad sikandin ki Metusela. 
GEN.5.22+GEN.5.23+GEN.5.24	Ne puun dutun te ked-enaka ki Metusela, 300 pa he tuig is keluǥayad te untung ni Enoc, ne zuen duma pa zaan he menge anak din he vahi wey maama. Dutun he timpu utew meupiya is kedepità ni Enoc wey Megbevayà, umbe nekeuma te 365 is keluǥayad te untung din ne nahanew sikandin, su midtulus sikandin te Megbevayà.
GEN.5.25	Hein 187 en is penuiǥen ni Metusela nevuwad sikandin ki Lamec. 
GEN.5.26	Ne puun dutun te ked-enaka ki Lamec, 782 pa he tuig is keluǥayad te untung ni Metusela, ne zuen duma pa zaan he menge anak din he maama wey vahi. 
GEN.5.27	Ne hein 969 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.28	Hein 182 en is penuiǥen ni Lamec nevuwad sikandin te maama. 
GEN.5.29	Ne migngezanan din ki Noe su ke sikandin te, “Pinaaǥi kayi te vatà malù ebmahagkap is meveǥat he terebahu tew te kebasuk he imbeǥey kenitew tenged te midrewakan dengan te 
GEN.5.30	Ne puun dutun te ked-enaka ki Noe, 595 pa he tuig is keluǥayad te untung ni Lamec, ne zuen duma pa zaan he menge anak din he vahi wey maama. 
GEN.5.31	Ne hein 777 en he tuig is penuiǥen din, minatey sikandin.
GEN.5.32	Hein 500 en is penuiǥen ni Noe nevuwad sikandin ki Shem, ki Ham, wey ki Jafet.
GEN.6.1	Ne hein mibmezakel en utew is menge etew zini te kelibutan wey zuen en menge anak dan he vahi. 
GEN.6.2	Naahà duen te menge anak te Megbevayà he memekempet is menge vahi he anak te menge etew, ne mid-esawa zan dutun is menge vahi sumalà is egkesuatan dan. 
GEN.6.3	Ne migkaǥi zutun is 
GEN.6.4	Ne zutun he timpu hein neked-esawa is menge anak te Megbevayà wey is menge vahi he anak te etew, pinaaǥi zutun duen in-anak dini te tanà he menge etew he egngezanan te Nefilim. Ne haazà is menge Nefilim, ne utew menge ǥemhanan he etew ne utew zan nengevantug dengan. 
GEN.6.5	Ne naahà te 
GEN.6.6	Ne neisip din he zeyzey pezem ke wazè din limbaǥa is menusiyà ne utew sikandin dutun neseeng. 
GEN.6.7	Umbe ke sikandin te, “Edlumpiyuwan ku is kelibutan su edlimasen ku zutun is menge etew he linimbag ku. Edhimetayan ku is menge etew, menge langgam, menge keranapranap wey is menge tagbis he ziyà te hewhewanan, su deyzey pa pezem ke wazè ku sikandan limbaǥa.” 
GEN.6.8	Iyan, si Noe mulà, nekepenunuat sikandin te 
GEN.6.9	Iyan heini guǥud mehitenged te pemilya ni Noe.
GEN.6.9	Metazeng he etew si Noe. Dutun he timpu iyan dà sikandin etew he wazà igkesawey zuen; utew sikandin mibpekid-emiǥu te Megbevayà. 
GEN.6.10	Tetelu is anak din he maama: si Shem, si Ham, wey si Jafet.
GEN.6.11	Naahà te Megbevayà he utew meremerik is menge ulaula te tivuuk he menusiyà wey utew kenà memetazeng is menge vaal zan. 
GEN.6.12	Neehè din he utew lalung iyan is menge etew su nehimu en is menge ulaula te minsan hentei zini te kelibutan he utew en meremerik, 
GEN.6.13	ne migkaǥi sikandin diyà te ki Noe te, “Neisip ku en he edlimasen ku is tivuuk he menusiyà. Su tenged kandan, nekeeneb te kelibutan is kelelalung, ne tenged dutun id-awè ku sikandan dini te tanà. 
GEN.6.14	Baal ka te arka he kayu he sipru. Beeli nu zutun te arka is menge ruǥu ne pezeketi nu te merumiket he sulù is seled din wey is gawas din. 
GEN.6.15	Is paaǥi te kebeeli nu zuen, ne iyan heini: 450 he giek is belavag din, 75 he giek is keluaǥan din, ne 45 he giek is ketikang din. 
GEN.6.16	Beeli nu is sulawà te arka he senge siku is elang din puun dutun te atep ne ziyà te kilid te arka beeli niw is gemawan. Tetelu he endana is dutun te arka; duen diyà te zivavew, duen diyà te zizalem, wey zuen daan diyà te teliwazà. 
GEN.6.17	Su ibpelapey ku is langun he menge wahig dini te tanà su wey melimas is minsan hengkey he egeǥehinawa zini te kelibutan. Ne egkeǥerà is minsan hengkey zini te tanà. 
GEN.6.18	Iyan, sikew mulà, edhimuwen ku is utew melig-en he kebpekid-uyun ku kenikew. Ne ibpeseled ku sikew zuen te arka zuma is menge anak nu wey is esawa nu wey is menge ambey nu. 
GEN.6.19	Ne ibpeseled nu zaan duma keniyu zutun te arka is langun he kelasi te menge linimbag he egeǥehinawa su wey kenè dan daan melimas. Tig-dezuwa te kada kelasi is ibpedparis niw he meemahan wey vehiyan. 
GEN.6.20	Is menge tagbis daan sumalà is kelasi zan wey is menge langgam sumalà daan is kelasi zan wey is menge keranapranap daan sumalà is kelasi zan, tig-dezuwa te langun dutun is edhendiyan te kenikew su wey kenè dan melimas. 
GEN.6.21	Ne sikew, kinahanglan he idseled nu zaan is minsan hengkey he kelasi te egkeenen su wey zuen egkeenen niw, wey egkeenen daan te menge langgam wey menge keranapranap.” 
GEN.6.22	Ne midtuman ni Noe is langun he insuǥù kandin te Megbevayà.
GEN.7.1	Ne zutun migkaǥi is 
GEN.7.2	Ipeseled nu zaan dutun is pitu he perisan te langun he menge langgam he lumpiyu. Ne haazà is menge langgam he kenà lumpiyu senge paris dà mulà is ibpeseled nu. 
GEN.7.3	Ne kuwa ka zaan te ebpemenlayang diyà te hewhewanan, he pitu he perisan ne ipeseled nu ziyan su wey zuen egkesamà he egkevuwad diyan te kelibutan. 
GEN.7.4	Su egkepasad is pitu he andew puun guntaan, ibpeuzanan ku is tivuuk he kelibutan, taman te 40 he andew wey 40 he kezukileman, su wey melimas is minsan hengkey he egeǥehinawa he linimbag ku.” 
GEN.7.5	Ne sumalà is insuǥù ki Noe te 
GEN.7.6	Mibpenuiǥen dutun si Noe te 600 he tuig hein kedlapey te wahig dini te kelibutan. 
GEN.7.7	Ne si Noe, is menge anak din, wey is esawa zin, wey menge ambey zin, ne midseled dan dutun te arka su wey zan melibri zutun te kedlapey te menge wahig. 
GEN.7.8+GEN.7.9	Sumalà te insuǥù te Megbevayà ki Noe, impeseled din diyà te arka is tigsenge perisan te langun he menge langgam he lumpiyu wey kenà lumpiyu he midhendiyà te kandin. 
GEN.7.10	Ne hein netuman en haazà is pitu he andew, midlapey is menge wahig diyà te kelibutan.
GEN.7.11	Mibpenuiǥen dutun si Noe te 600 he tuig. Ne hein ike-17 he andew te ikezuwa he vulan, mid-uzan te utew mereǥes wey midlepew zutun is utew zekelà he wahig he edtudà he ebpuun diyà te utew mezalem he zaǥat, ne ingkevusbus daan is utew zekelà he wahig he ziyà ebpuun te hewhewanan. 
GEN.7.12	Ne mid-uzanan is kelibutan taman te 40 he andew wey 40 he kezukileman. 
GEN.7.13	Ne zutun te andew he mibpuun en is uzan, si Noe wey is esawa zin, duma te menge anak din he si Shem, si Ham, wey si Jafet wey is menge esawa zan, midseled dan dutun te arka. 
GEN.7.14	Elin daan impeseled dutun is langun he kelasi te menge langgam: he edhipanew, ebpemenanap, wey is ebpemenlayang. 
GEN.7.15+GEN.7.16	Sumalà te insuǥù te Megbevayà ki Noe, impeseled din diyà te arka is tigsenge paris he kelasi te langgam he mid-uvey ziyà te kandin. Ne midlekevan te 
GEN.7.17+GEN.7.18	Midsigudu med-uzan kayi te kelibutan seled te 40 he andew. Mibmezalem is wahig taman te midletew sikan is arka. 
GEN.7.19	Ne mid-iseg pa utew mebmezalem haazà is wahig ne nesapal is langun he memetikang he menge vuntud. 
GEN.7.20	Ne mid-iseg pa zaan memezalem taman te menge 20 he ǥiek is kezalem din diyà te puntur te utew metikang he vuntud. 
GEN.7.21	Ne nelimas dutun is minsan hengkey he menge linimbag he egeǥehinawa zini te lumpad. Is menge tagbis, menge ayam, menge leew he langgam, menge keranapranap, wey is tivuuk he menusiyà, nelimas dutun is langun. 
GEN.7.22	Mibpatey zutun is minsan hengkey he egeǥehinawa he ed-ubpà dini te tanà. 
GEN.7.23	Midlimas te Megbevayà is minsan hengkey he egeǥehinawa he ed-ubpà dini te kelibutan: etew, langgam, keranapranap, wey is menge tagbis. Iyan dà nelibri si Noe wey is menge zuma zin diyà te seled te arka. 
