MAT.1.1	Dammbe Iisaa 
MAT.3.10	Jooni, jammbere ndee huncaama faa soppa ɗaɗi leɗɗe. Ndennoo, lekki fuu ki rimataa ɓiɗɗe lobbe, soppete, wedee e yiite.
MAT.3.11	Miin, ndiyam mbatisiran-mi on faa hollita on tuubii. Kaa garoowo caggal am oo, kaɲum ɓuri kam baawɗe, mi fotaa fay soccude paɗe makko. Kanko, 
MAT.3.12	O lanndinike faa o hennoo ɲamri makko faa laaɓa. O mooɓta ɲamri makko ley beembal, kaa ɲaande ndee o duppiran ɗum yiite nge ɲifataa.
MAT.3.13	Oon wakkati fuu, Iisaa iwi 
MAT.3.14	Kaa Yaayaa ujii, wii mo:
MAT.3.14	—Aan haani lootude kam, hono aan ngardataa ga am faa mi loote?
MAT.3.15	Iisaa jaabii mo, wii:
MAT.3.15	—Walaa baasi, jaɓu ngaɗaa non, sabi hono non kaan-ɗen hiɓɓinirde ko dartii fuu.
MAT.3.15	Nden, o jaɓi. 
MAT.3.16	Iisaa lootaa tan, ƴeeŋi iwde e ndiyam ɗam. E oon wakkati, kammu oo udditii, o yii 
MAT.3.17	Ɗon daande iwri dow kammu, wii:
MAT.3.17	—Oo ɗoo yo 
MAT.4.1	E oon wakkati, 
MAT.4.2	Iisaa ɲaamaali faa waɗi balɗe capanɗe nay jemma e ɲalooma. Caggal ɗum, o yolbi. 
MAT.4.3	Nii, Ceytotooɗo oo ɓattitii mo, wii mo:
MAT.4.3	—So a 
MAT.4.4	Kaa o jaabii oon, o wii:
MAT.4.4	—Ana winndii: «Wanaa ɲaamdu tan neɗɗo wuurdata, ko neɗɗo wuurdata dee, haala fuu ka Laamɗo haali.»
MAT.4.5	Caggal ɗum, Ibiliisa naɓi mo 
MAT.4.6	wii mo:
MAT.4.6	—So a Ɓii Laamɗo, suur njippo-ɗaa e leydi. Sabi ana winndii: «Laamɗo yamiran 
MAT.4.7	Oon wii mo:
MAT.4.7	—Ana winndii kasen: «Pati ittu koro Laamɗo, Joomiraaɗo maa.»
MAT.4.8	Kasen Ibiliisa naɓi mo dow waamnde haayre toownde sanne, holli mo laamuuji aduna ɗii fuu e darja mum'en, 
MAT.4.9	wii mo:
MAT.4.9	—Mi hokkete ɗum ɗoo fuu so tawii a sujidanii kam.
MAT.4.10	Oon wii mo:
MAT.4.10	—Fottanam too, Ibiliisa! Sabi ana winndii: «Laamɗo Joomiraaɗo maa tan kaan-ɗaa sujidande, kanko tan kaan-ɗaa rewde.»
MAT.4.11	Oon wakkati fuu, Ibiliisa seli e makko. Malaa'ika'en ngari e makko, ana ngollana mo.
MAT.4.12	Nde Iisaa nani 
MAT.4.13	O eggi Nasaraatu, o hoɗoyi Kafarnahum e daande weendu nduu ley leydi Jebulon, kaɲum e Naftali, 
MAT.4.14	yalla ana tabintina haala ka Laamɗo yottiniri annabi 
MAT.4.15	«Leydi Jebulon e leydi Naftali
MAT.4.15	gonɗe dow laawol weendu,
MAT.4.15	caggal maayo Urdun,
MAT.4.15	e Galili hoɗorde yimɓe 
MAT.4.16	Leɲol gonnoongol e nimre ngol
MAT.4.16	yii fooyre mawnde.
MAT.4.16	Wuurɓe e ley leydi maayde niɓɓundi,
MAT.4.16	fooyre yaaynani ɗum'en.»
MAT.4.17	Gila nden, Iisaa fuɗɗi waajaade ana wiya:
MAT.4.17	—Tuubee, sabi 
MAT.4.18	Iisaa ana yahannoo dow fonngo weendu 
MAT.4.19	Iisaa wii ɓe:
MAT.4.19	—Njokkee kam, mi waɗa on awooɓe yimɓe.
MAT.4.20	Ɗon e ɗon ɓe njoppi bubbi maɓɓe ɗii, ɓe njokki e makko. 
MAT.4.21	O yehi yeeso, o yii kasen rimdaaɓe ɗiɗon woɓɓe, ɓiɓɓe Jebede, Yaakuuba e miɲum Yuhanna ana ley laana. Kamɓe e baam maɓɓe Jebede, eɓe moƴƴintina bubbi maɓɓe. O noddi ɓe. 
MAT.4.22	Ɗon e ɗon ɓe njoppi laana kaa e baam maɓɓe fuu, ɓe njokki e makko.
MAT.4.23	Iisaa yiilii ley leydi 
MAT.4.24	Kabaaru makko saakii ley leydi Siriya fuu. Omo waddanee sii ɲawɓe fuu, laddaaɓe e kirikiraaɓe, kaɲum e wooyɓe, o sellini ɗum'en. 
MAT.4.25	Jamaa keewɗo sanne jokki e makko iwruɗo Galili e leydi ndi geelle sappo e 
MAT.5.1	Nde Iisaa yii jamaa oo heewii ndee, o ŋabbi dow waamnde haayre, o jooɗii ton. Taalibaaɓe makko ɓee ngari e makko, 
MAT.5.2	o fuɗɗi waajaade ɓe, o wii:
MAT.5.3	—Ɓeen annditinɓe yonkiiji mum'en ana lo'i, mbelii hoore,
MAT.5.3	sabi kamɓe njey 
MAT.5.4	Ɓeen woyooɓe, mbelii hoore,
MAT.5.4	sabi Laamɗo waaltinan ɓerɗe mum'en!
MAT.5.5	Ɓeen leyɗinkiniiɓe, mbelii hoore,
MAT.5.5	sabi ɓe keɓan leydi ndi Laamɗo fodani ɓe ndii!
MAT.5.6	Ɓeen yolbuɓe fooccitaare so ɗomɗi ɗum, mbelii hoore,
MAT.5.6	sabi ɓe kaaran ɓe ɗomɗitan!
MAT.5.7	Ɓeen yurmotooɓe, mbelii hoore,
MAT.5.7	sabi Laamɗo yurmoto ɓe!
MAT.5.8	Ɓeen laaɓuɓe ɓerɗe, mbelii hoore,
MAT.5.8	sabi ɓe njiyan Laamɗo!
MAT.5.9	Ɓeen waddooɓe jam, mbelii hoore,
MAT.5.9	sabi ɓe noddirte ɓiɓɓe Laamɗo!
MAT.5.10	Ɓeen torraaɓe kammari fooccitaare, mbelii hoore,
MAT.5.10	sabi kamɓe njey Laamu Laamɗo oo!
MAT.5.11	On mbelii hoore so yimɓe njennii on, torrii on, kappii on sii boneeji fuu saabe am. 
MAT.5.12	Ceyee, mbeltee, sabi mbarjaari mawndi ana doomi on dow kammu. Sabi hono non annabaaɓe adiiɓe on ɓee torriraa.
MAT.5.13	—Onon ngoni lamɗam aduna oo. Kaa so lamɗam ŋoottii lammude, koɗum lamminta ɗum? Ɗam nafataa fay huunde! Ko ɗam waawi waɗeede tan, tippeede sella, yimɓe njaɓɓa ɗam.
MAT.5.14	Onon ngoni fooyre aduna oo. Ngalluure ɲiɓaande dow waamnde haayre waawaa ɲooɓude. 
MAT.5.15	Fay gooto huɓɓataa lampa, so hippa hen kaakol. Ko waɗata dee, sinndan ka, ka yaaynana gonɗo e suudu nduu fuu. 
MAT.5.16	Hono non fooyre mooɗon haani yaaynirde yeeso yimɓe, yalla eɓe njiya golleeji lobbi ɗi ngaɗaton ɗii, ɓe njetta 
MAT.5.17	—Pati cikkee mi garɗo ittude Sariya binndaaɗo ley Tawreeta naa ley dewte annabaaɓe oo. Mi waraali ittude mo, mi garɗo hiɓɓinde mo. 
MAT.5.18	Miɗo haalana on goonga: so nii kammu e leydi ana keddii, wanaa toɓɓel wanaa masel tosataake e Sariya oo faa nde fuu tabiti. 
MAT.5.19	Ɗum nee, boofuɗo ko ɓuri fuu famɗude e jamirooje ɗee, so janngini woɓɓe faa ngaɗa non, laatoto ɓurɗo famɗude e 
MAT.5.20	Sabi miɗo wiya on: so on ɓuraali 
MAT.5.21	—On nanii njaatiraaɓe meeɗen ɓee mbiyanooma: «Pati ɲaaɗu hoore, ɲaaɗuɗo hoore fuu, ana haandi e sareede.»
MAT.5.22	Miin noo miɗo wiya on: tikkanɗo sakiike mum fuu, ana haandi e sareede. Oon biiɗo sakiike mum «Meereejo» darnete yeeso sariya ɓurɗo fuu naawde. Kasen neɗɗo fuu biiɗo mo «Nuykaaɗo» ana haandi e naatude yiite jahannama. 
MAT.5.23	Ndennoo, so a warii e 
MAT.5.24	yoppu ɗon 
MAT.5.25	So won gullaniiɗo ma saabe ɲamaande, oɗon njaada sariya, yaawnu ndewritaa e joomum fade mooɗon yottaade, pati o waɗe e juuɗe caroowo, oon waɗe e junngo kayboowo kasu, nden kaa, udde-ɗaa e kasu. 
MAT.5.26	Miɗo haalane goonga: abada a yaltataa so a yoɓaali ko ndewete-ɗaa koo faa laaɓa.
MAT.5.27	—On nanii wiyanooma: «Pati jeenu!»
MAT.5.28	Miin noo miɗo wiya on: ƴeewruɗo debbo janano muuyo fuu, jeenii e ley ɓernde mum. 
MAT.5.29	Ndennoo, so yitere maa ɲaamere luuttinte, sol nde tippo-ɗaa nde to woɗɗi! Mbaasaa salndu maa wooturu ɓuri moƴƴande ma diina calɗi maa ɗii fuu mbedee e jahannama. 
MAT.5.30	So junngo maa ɲaamo luuttinte, taƴu ngo tippo-ɗaa ngo to woɗɗi: mbaasaa salndu maa wooturu ɓuri moƴƴande ma diina calɗi maa ɗii fuu naata jahannama.
MAT.5.31	—Wiyanooma kasen: «Ceerɗo jom suudu mum fuu, yo hokku ɗum talkuru ceergal.»
MAT.5.32	Miin noo miɗo wiya on: ceerɗo jom suudu mum tawee oon jeenaali, so o ɓamoyaama, gorko arano oo waɗii mo e jeenu. Neɗɗo fuu ɓamɗo debbo ceeraaɗo, kaɲum duu jeenii.
MAT.5.33	—On nanii kasen, njaatiraaɓe meeɗen mbiyanooma: «Pati fiirtu hunoore maa, tabintin nde yeeso Joomiraaɗo.»
MAT.5.34	Miin noo miɗo wiya on: pati kunee fey. Pati kunoree kammu, sabi ɗum yo jooɗorgal Laamɗo, 
MAT.5.35	naa leydi, sabi ɗum yo njaaɓirdi koyɗe makko, naa 
MAT.5.36	Pati hunora hoore maa ndee, sabi a waawaa rawninde naa ɓawlinde fay leeɓol mayre gootol. 
MAT.5.37	Mbiyaa «Mi waɗan» naa «Mi waɗataa», ɗum tan heƴii. Ko ɓeydii hen fuu, e Bonɗo oo iwi.
MAT.5.38	—On nanii wiyanooma: «Yitere yoɓirtee yitere, ɲiinde yoɓirtee ɲiinde.»
MAT.5.39	Miin noo miɗo wiya on: pati njoɓtee gaɗuɗo on ko boni. So won piiɗo ma banaawo bannge ɲaamo, accu ɗum fiye bannge goɗɗo oo duu. 
MAT.5.40	So won gullaniiɗo ma faa teeta forgo maa, accu ɗum naɓa dolloke oo duu. 
MAT.5.41	So won tilsinɗo ma roondaade donngal yaadu kiloomeetere, roonda ngal yaadu kiloomeetereeji ɗiɗi. 
MAT.5.42	So won ɲaagiiɗo ma, hokku ɗum, so won ndaarduɗo ma luɓal, pati haɗu ɗum.
MAT.5.43	—On nanii wiyanooma: «Njiɗaa tanaa maa, mbaɲaa gaɲo maa.» 
MAT.5.44	Miin noo miɗo wiya on: njiɗee konnee'en mooɗon, kasen duu nduwanee torrooɓe on, 
MAT.5.45	yalla oɗon laatoo ɓiɓɓe 
MAT.5.46	So yiɗuɓe on tan njiɗaton, mbarjaari hendi keɓaton hen? Fay 
MAT.5.47	So sakiraaɓe mooɗon tan njowtaton, koɗum seenndi on e woɓɓe ɓee? Fay heeferɓe ɓee ana ngaɗira non! 
MAT.5.48	Ndennoo, laatee hiɓɓuɓe, hono no Baabiraaɗo mooɗon gonɗo dow kammu oo laatorii kiɓɓuɗo nii.
MAT.6.1	—Ndeentee e gollirde golleeji mon lobbi faa yiyee. So on ngaɗii ɗum, on keɓataa mbarjaari to 
MAT.6.2	Ndennoo, so aɗa itta 
MAT.6.3	Kaa aan, so aɗa itta sadaka, pati nano maa annda ko ɲaamo maa waɗata, 
MAT.6.4	yalla sadaka maa oo ana heddoo ley cuucuukka. Nden Baabiraaɗo maa jiyoowo ko woni e cuucuukka oo, yoɓete.
MAT.6.5	—So oɗon 
MAT.6.6	Kaa aan, nde nduwoto-ɗaa fuu, naatu ley suudu maa, uddaa damal, ɲaago-ɗaa 
MAT.6.7	So oɗon nduwoo, pati kebbinee haalaaji ɓoli ɗi ngalaa nafaa hono no heeferɓe ɓee nii: eɓe miili Laamɗo jaabanto ɓe so ɓe kebbinii haala. 
MAT.6.8	Pati ɲemmbee ɓe, sabi Baabiraaɗo mooɗon ana anndi ko kaaje-ɗon gila on ɲaagaaki mo. 
MAT.6.9	Nii kaan-ɗon duworaade:
MAT.6.9	Baabiraaɗo amen gonɗo dow kammu,
MAT.6.9	yo innde maa teddine.
MAT.6.10	Yo 
MAT.6.10	Yo muuyɗe maa ngaɗe dow leydi no ngaɗiraa dow kammu nii.
MAT.6.11	Hokku min hannde ɲaamdu heƴooru min.
MAT.6.12	Yaafa min luutti amen,
MAT.6.12	hono no min njaaforii tooɲuɓe min nii.
MAT.6.13	Pati accu min ceytee,
MAT.6.13	hisin min e Bonɗo oo.
MAT.6.13	[Sabi laamu e baawɗe e teddeengal ana ngoodan maa faa abada. Aamiina.]
MAT.6.14	Ndennoo, so on njaafiima tooɲuɓe on, Baabiraaɗo mooɗon gonɗo dow kammu oo duu yaafoto on. 
MAT.6.15	Kaa so on njaafataako tooɲuɓe on, Baabiraaɗo mooɗon oo duu yaafataako luutti mooɗon.
MAT.6.16	—So on koorii, pati njurminkinee no naafigi'en ɓee nii: ɓeen ŋornoto, yalla yimɓe fuu ana anndita ɓe hoorɓe. Miɗo haalana on goonga: ɓeen keɓii mbarjaari mum'en faa timmi. 
MAT.6.17	Kaa aan, so a hoorii, culmaa yeeso maa, ngujaa hoore maa 
MAT.6.18	pati yimɓe annda a koorɗo. 
MAT.6.19	—Pati paggee jawdi aduna, ɗo mooƴu e nguɗu mbonnata, ɗo wuyɓe kelata baafe so ngujja. 
MAT.6.20	Paggee jawdi dow kammu, ɗo fay huunde bonnataa, wanaa mooƴu wanaa nguɗu, ɗo wuyɓe kelataa baafe sako ngujja. 
MAT.6.21	Sabi ɗo jawdi maa woni fuu, ɗon yonki maa duu woni.
MAT.6.22	—Gite ngoni lampa calɗi. So gite maa ana moƴƴi, calɗi maa fuu pooynan. 
MAT.6.23	Kaa so ɗe moƴƴaa, calɗi maa fuu niɓɓan. Ndennoo, so fooyre wonnde e maa ndee yo nimre, nimre hoontii nimre!
MAT.6.24	—Fay gooto waawaa gollande halfaaɓe ɗiɗon, sabi naa joomum waɲii gooto, yiɗii keddiiɗo oo, naa nanngondirii e gooto oo, yoppii keddiiɗo oo. On mbaawaa gollidande Laamɗo e jawdi.
MAT.6.25	Ɗum nee, miɗo wiya on: pati cuŋlee e nguurndam mon ko ɲaamaton e ko njaraton e ko koltoton. Pati cuŋlanee ko ɓoornoto-ɗon. Tama nguurndam ɓuraa nguure? Tama calɗi ɓuraa koltal? 
MAT.6.26	Ƴeewee pooli diwooji ɗii: ɗi aawataa, ɗi kettataa, ɗi mbeembataa, kaa 
MAT.6.27	Homo e mon waawi ɓeydude e balɗe mum fay ɲalooma gooto kammari sugulla mum? 
MAT.6.28	Ko waɗi so oɗon cuŋlana kaddule? Ƴeewee piindiiji ley ngesa no peertirta: ɗi tampataa, ɗi mottataa. 
MAT.6.29	Haya miɗo wiya on: Suleymaana e ngalu mum fuu paroraaki no gootel e majji nii. 
MAT.6.30	So Laamɗo ana holtinira nii leggiri taweteendi ley ngesa hannde, tippeteendi e yiite janngo, ko haɗata mo holtinde on faa ɓura nii, onon famɗuɓe hoolaare! 
MAT.6.31	Ndennoo, pati cuŋlee faa mbiyon: «Koɗum ɲaamaten? Koɗum njaraten? Koɗum ɓoornoto-ɗen?» 
MAT.6.32	Sabi ɗee kulle fuu heeferɓe tan ndaarata ɗum. Kaa Baabiraaɗo mon gonɗo dow kammu oo ana anndi oɗon kasindini e majjum ɗum fuu. 
MAT.6.33	Ndaartee tafon 
MAT.6.34	Ndennoo, pati cuŋlanee janngo, sabi janngo suŋlanan hoore mum. Ɲalooma fuu, donngal mum ana heƴa ɗum.
MAT.7.1	—Pati ɲiŋee, yalla oɗon mbaasa ɲiŋeede. 
MAT.7.2	Sabi hono no ɲiŋirton woɓɓe nii, nii ɲiŋirte-ɗon. Kasen duu ko etiranton woɓɓe koo, ɗum etirante-ɗon. 
MAT.7.3	Ko saabii so aɗa yiya kuɗol ley yitere sakiike maa, tawee aan nee, a yiyataa leggal gonngal e ley nde maa ndee? 
MAT.7.4	Hono mbaawru-ɗaa wiide sakiike maa: «Sakiike, ɗal mi ittane kuɗol gonngol e yitere maa ngol», tawee aan nee, leggal woni e ley nde maa ndee? 
MAT.7.5	Naafigi, ittu leggal gonngal e yitere maa ngal tafon, nden jiile maa laaɓata, faa keɓaa no ittiraa kuɗol gonngol e yitere sakiike maa ngol.
MAT.7.6	Pati ndokkee dawaaɗi ko dagii, sabi ɗi mbirfitanto on ɗi ŋata on. Pati caakee ɲaaƴe mooɗon dime yeeso girooji, sabi ɗi njaɓɓan ɗe.
MAT.7.7	—Ɲaagee, on keɓan, tewtee, on njiitan, calminee gila oɗon damal galle, on udditante. 
MAT.7.8	Sabi ɲaagiiɗo fuu heɓan, tewtuɗo fuu yiitan, calminɗo fuu udditante. 
MAT.7.9	Homo woni e mon mo ɓiyum ɲaagotoo buuru so hokka ɗum haayre? 
MAT.7.10	Naa ɲaagoo ɗum liingu, hokka ɗum mboddi? 
MAT.7.11	No mbonir-ɗon fuu, oɗon ndokka ɓiɓɓe mon kulle lobbe, sako 
MAT.7.12	Ndennoo, ngaɗiranee yimɓe no njiɗ-ɗon ɓe ngaɗirana on nii. Ɗum woni ko Tawreeta Muusaa e dewte annabaaɓe ɗee njamiri.
MAT.7.13	—Naatiree damal paaɗungal ngal! Sabi damal naatirgal e halkere ana yaajii, laawol mum ngol ana newii, jokkooɓe ngol ɓee duu ana keewi. 
MAT.7.14	Kaa damal naatirgal e nguurndam ana faaɗii, laawol mum ngol ana tiiɗi, kasen yiitooɓe ngol ɓee yo seeɗa.
MAT.7.15	—Ndeentee e annabaaɓe peneeɓe ɓee. So eɓe ngara e mon, ɓe nanndinkinto e baali, kaa so goonga, ɓe ɲaatooji bonɗi. 
MAT.7.16	Golleeji maɓɓe annditirton ɓe hono no lekki annditirtee ɓiɗɗe mum nii. Peguuje teɓataake e kebbe, ibbe teɓataake e ɲakkaɓere. 
MAT.7.17	Lekki lobbi ɓiɗɗe lobbe rimata, kaa lekki mbonki ɓiɗɗe bonɗe rimata. 
MAT.7.18	Lekki lobbi waawataa rimde ɓiɗɗe bonɗe, kasen duu lekki mbonki waawataa rimde ɓiɗɗe lobbe. 
MAT.7.19	Lekki fuu ki rimataa ɓiɗɗe lobbe soppete, wedee e yiite. 
MAT.7.20	Ndennoo, golleeji maɓɓe annditirton ɓe.
MAT.7.21	—Wanaa wiyooɓe kam «Moobbo, Moobbo» ɓee fuu naatata e 
MAT.7.22	Ɲannde darngal, heewɓe mbiyan kam: «Moobbo, Moobbo! Wanaa e innde maa min njottiniri nulal naa? Wanaa e innde maa min ndibbiri 
MAT.7.23	Oon wakkati, mi jaaborto ɓe nii: «Mi anndaa on abada. Ngoɗɗee kam, onon waɗooɓe ko boni ɓee!»
MAT.7.24	—Ndennoo, neɗɗo fuu kettindiiɗo haalaaji am ɗii so jokki ɗi, nanndan e hakkilante mahuɗo suudu mum e dow haayre. 
MAT.7.25	Ƴiiwoonde toɓi, ilaali mbuuwi, kenuuli mawɗi mbibbi e mayru, fuu ndu saamaali, sabi ndu diidaama dow haayre. 
MAT.7.26	Kaa neɗɗo fuu kettindiiɗo haalaaji am ɗii so jokkaali ɗi, ana nanndi e mo walaa hakkille, mahuɗo suudu mum e dow njaareendi. 
MAT.7.27	Ƴiiwoonde toɓi, ilaali mbuuwi, kenuuli mawɗi mbibbi e mayru, ndu wurji wurjugol manngol.
MAT.7.28	Nde Iisaa tilii e ɗiin konngi ndee, jamaa oo satti haayneede e waaju makko oo, 
MAT.7.29	sabi o waajorike ɓe hono no jom baawɗe nii, wanaa no 
MAT.8.1	Ko Iisaa jippii waamnde haayre ndee koo, jamaa keewɗo jokki e makko. 
MAT.8.2	Oon wakkati, gorko ceppaaɗo wari diccii yeeso makko, wii mo:
MAT.8.2	—Moobbo, so tawii a jaɓii aɗa waawi sellinde kam.
MAT.8.3	Iisaa foocci junngo mum, memi mo, wii:
