MAT.1.1	Satu dit matuntunan dat ginnapuwan Jesu Kristu un kaganakan didit Ali David un ganak didit Abraham.
MAT.1.19	Ot gaputa nalintoga tagu si Jose un naipaadana, adina piyaona maibabbain si Maria ot pinanggop na un isina si nalimod. 
MAT.1.20	Kama’t di dit simsimmok na yoong nilumtaw ud anghel Apudyus kan siya si in-inop un kanana’n, “Jose un kaganakan Ali David, adika umogyata mangasawa kan Maria ta nabugi utdit pannakabalin Ispiritu Santu. 
MAT.1.21	Mangiyanak si laḻaki ot ngadanon yu kan Jesus ta taguwona dan tagu utdan basuḻ da.”
MAT.1.22	Nakwa’n losan datu daḻapnu matungpal dit ugud Apudyus un paimbagana’t dit propeta na utdit un kanana’n, 
MAT.1.23	“Mabugi’d osa’n babai’n daan payyan di laḻaki’n aduḻon ot mangiyanak si laḻaki’n mangadanan si Immanuel, un piyaona’n ugudon, ‘Awad si Apudyus kan ditaku.’ ”
MAT.1.24	Utdit lumikna si Jose, tinungpal na dit imbagan dit anghel Apudyus un koona, ot inasawa na si Maria. 
MAT.1.25	Yoong adina yan inaduḻ inggana’t inyanak Maria dit bugi na un ningadan Jose kan Jesus.
MAT.2.1	Utdit naiyabeng si Jesus ud Betlehem un osa’n ili’d Judea utdit timpu’n nan-aliyan Herodes, inggaw da ud dummatong Jerusalem un nanligwat sin kapon lumtawan init un nalalainga tagu’n mangada-adaḻ sidan bituwon. 
MAT.2.2	Ot inimus da un, “Kawad dit naiyabenga Alin di Judio? Naila mi dit bituwon sin kapon lumtawan init un nanigammuwan mi utdit naiyabengana ot inummoy kami’t tu un mandaydayaw kan siya.”
MAT.2.3	Magngoḻan man Herodes di, amod dit danag na, kama pay sidat losana iJerusalem. 
MAT.2.4	Pinandatdatong na dadit aap-apun di papadi kan mimistulun di lintog di Judio ot inimusana dida nu kawad dit maiyabengan dit Kristu.
MAT.2.5	Summungbat da un, “San Betlehem sidin probinsiya’d Judea ta siya’d ingkanglit dat propeta un,
MAT.2.6	‘Sika un Betlehem un ili’d Juda, bokona sika’d kadobaan sidan madaydayawa ili’d Juda ta sika’d manligwatan dit mangiyapu kan mangayyuwan sidat taguka kaganakan Israel.’”
MAT.2.7	Utdi, inlimod Ali Herodes un pinaayag dadit nalalainga tagu daḻapnu ponkona kan dida dit kustu’n timpu’n nilumtawan dit bituwona inila da. 
MAT.2.8	Matigammuwana man, pinadaḻanna dida’d Betlehem un kanana’n, “Umoy kayu ot ammaan yu un inapon nat abeng ta nu maodasan yu, ipatigammu yu kan sakon ta umoyak pay mandaydayaw kan siya.”
MAT.2.9+MAT.2.10	Utdi, kaysan da. Inggaw da man sit daḻan, naila da umanon dit bituwona nilumtaw kan dida’t dit ot amod dit taḻok da. Impuyut dit bituwon dida inggana’t nan-illong sit batug dit boḻoya ininggawan dit abeng.
MAT.2.11	Dumatong da man sit kawadan didi un boḻoy, nilumnok da ot inila da dit abeng kan si Maria un ina na. Nampalintumong da un nandayaw sit abeng ot inokaḻ da dadit nangkangingina’n awit da un iligalu da kan siya un buḻawan, insensu kan mira.
MAT.2.12	Masuyop da man, binagaan Apudyus dida si in-inop ta adida ayonon si Herodes. Utdi, nangulin da utdit boboḻoy da un nangoy da si sabali un daḻan.
MAT.2.13	Utdit kaysananon dadiya kakkaili, nampaila ud anghel Apudyus umanon si in-inop kan Jose un kanana’n, “Gumangun ka! Ibtik nu danat man-ina ud Egipto, ot inggaw kayu’t di inggana’t ibagaka mangulin kayu, ta panggop Herodes un painap nat abenga papatoy.”
MAT.2.14	Gummangun si Jose ot inlakkat na dat man-ina’n kaysan Egipto si labi. 
MAT.2.15	Ot iniinggaw da utdi inggana’t natoy si Herodes. Nakwa tu daḻapnu matungpal dit paimbagan Apudyus sidit propetana’t dit un, “Inayagak dit abeng ku un manligwat Egipto.”
MAT.2.16	Utdit matigammuwan Herodes un sinikapan dadit nalalainga tagu, amoamod dit suḻag na. Ot imbilin na un mapatoy dat losana laḻaki’n abeng sidin Betlehem kan losanon sidat nangkalliput na, manipud mantawon si duwa un mampadoba, maibasal sit timpu’n imbagan dadit nalalainga tagu un nangil-an da utdit bituwon.
MAT.2.17	Utdi, natungpal dit ingkanglit propeta Jeremias sidit un kanana’n,
MAT.2.18	“Magngoḻ dit damit da utdin Rama ta amod dit man-iibil kan manlaḻamat da. Ib-ibbilan Raquel dat abeng na ta naamin da un napatoy ot adina’n taḻon maliwliwa.”
MAT.2.19	Utdit natoyon si Ali Herodes, nampaila uman ud anghel Apudyus kan Jose udsi in-inop na ud Egipto. 
MAT.2.20	Kanan dit anghel un, “Gumangun ka ta iyulin nu danat man-ina ud Israel, ta natoyon dit mamiya’n mamatoy sinat abeng.”
MAT.2.21	Gummangun si Jose ot inlakkat na dat man-ina un kaysan Israel.
MAT.2.22	Yoong utdit magngoḻan Jose un naisukat si Arkelao kan ama na un Herodes un Ali’d Judea, ummogyata umoy inggaw sidi. Ot gaputa nabagaan payyan si in-inop na, kaysan da utdin probinsiya’d Galilea. 
MAT.2.23	Ot ummoy da utdin boboḻoy Nazaret. Utdi, natungpal dit imbagan Apudyus sidat propeta un kanana’n, “Ngadnon dat tagu’n iNazaret.”
MAT.3.1	Utdiya timpu’n inggawan da Jesus Nazaret, dummatong si Juan un Mambubunyag si igaw ud Judea un maid tagtagguwan na ot nantudtudu un kanana’n, 
MAT.3.2	“Mandadaoli kayu ot igongda yu dat basuḻ yu ta dandaniyon dit timpu’n mangiyapuwan Apudyus.” 
MAT.3.3	Si Juan dit ug-ugudon dit ingkanglit propeta Isaias un,
MAT.3.3	“Awad tagu’t dit igawa maid tagtagguwan na un mampappakuya kanana’n, ‘Isagana yu dit daḻan dit Apu. Manggodngon yu dit daḻan un ayona.’ ”
MAT.3.4	Sat badut Juan, naganay si dutdut di kamelyu kan nambakakat si geddang ot dudun kan dilu dit ikatagu na. 
MAT.3.5	Aduadu dat tagu’n ummoy nandongoḻ kan siya un nanligwat Jerusalem, sin losana nilakub Judea kan losana nandodomanga boboḻoy sin wangwang Jordan. 
MAT.3.6	Impudnu da dat basuḻ da asin Juan binunyagan dida utdin wangwang Jordan. 
MAT.3.7	Yoong mailan man Juan un adu’n Fariseo kan Saduceo un umoy kan siya mampabunyag, kanana kan dida un, “Dikayu’n ganak di uḻog!
MAT.3.8	Masapula ipaila yu utdan angwat yu un tuttuwa’n mandadaoliyan yu dat basuḻ yu. 
MAT.3.9	Adiyu kanana mailisi kayu utnat kanan yu un, ‘Ulay ta kaganakan dikami kan Abraham.’ Ta tuttuwa tun ibagak kan dikayu un mabalin Apudyus mangwa’t kaganakan Abraham sidatu un batu. 
MAT.3.10	Ot sat manusaan Apudyus kan dikayu maiyalig si wasay un maibibiyada maipokpok sit pong-ad dit kayu. Ot losana kayu’n adi mamunga’t napiya mapokpok asi maidawat sin apuy. 
MAT.3.11	Bunyagok dikayu si danum un siya’d mangipaila’n nandadaoliyan yu dat basuḻ yu. Yoong sat maitagtagnob kan sakon, bunyagon dikayu si Ispiritu Santu kan apuy. Taḻona nangatu nu sakon ot adiyak pay maibilanga mamegkeng sit sandalyas
MAT.3.12	Maiyalig si tagu’n nakaaggom si igau un mantopa’t ilik. Aminona’n topaan asina iyaḻang dat nabgas ot aminona’n idawat dat nakupaw sit apuya adi makmaksop.”
MAT.3.13	Utdit mambunbunyagan Juan sin wangwang Jordan, dummatong pay si Jesus un nanligwat Galilea daḻapnu mampabunyag kan siya. 
MAT.3.14	Yoong piyaon Juan un lappodan ot kanana’n, “Apay umoy ka mampabunyag kan sakona lobbong na un sakon okyanot nat bunyagom?”
MAT.3.15	Yoong summungbat si Jesus un, “Kooma lawa uttun satun ta lobbong na un tungpaḻon ta dat losana ipakwan Apudyus.” Ot ummampayun pay si Juan.
MAT.3.16	Magangput mana mabunyagan si Jesus, dagusa tummakdang. Utdi, nambukat din langit ot innila na si Ispiritu Santu un dummoba un kama’t kalupati’n inumpa kan siya. 
MAT.3.17	Utdiyon inggaw ginga’n nanligwat langit un kanana’n, “Siyatu’d pipiyaoka Anak ku un taḻona masmas-omak.”
MAT.4.1	Utdiyon impuyut Ispiritu Santu si Jesus sit igawa maid tagtagguwan daḻapnu sugsugan Satanas. 
MAT.4.2	Lumob-as man opata puḻu’n aḻgaw kan labi un adina’n taḻon nangan, nabitilon. 
MAT.4.3	Utdi, inummoy si Satanas kan Jesus ot kanana’n, “Nu sika’d abeng Apudyus, bilinom tu un batu ta mambalin si tinapay.”
MAT.4.4	Yoong summungbat si Jesus un, “Kanan dit ugud Apudyus un, ‘Bokona lawa’n makan ud ikatagun di tagu nu adi masapul na pay dat losana ibagan Apudyus.’ ”
MAT.4.5	Utdiyon, impuyut uman Satanas si Jesus sin nasantuwana siyudad Jerusalem ot indallay na utdit tuktuk didit timplu. 
MAT.4.6	Ot kanana kan siya un, “Nu abeng dika kan Apudyus lumayug ka, ta kanana’t din ugud Apudyus un, ‘Bilinon Apudyus dat aanghel na un mangayyuwan kan sika kan tapayaon dika daḻapnu adina maisugpi danat ikim sidan batu.’ ”
MAT.4.7	Yoong summungbat si Jesus un, “Kanana payyan sin ugud Apudyus un, ‘Adim padpadason si Apudyus un Apum.’ ”
MAT.4.8	Utdi, indallay Satanas si Jesus sidit nangatungatu’n bateled ot impaila na dat losana il-ili uttun lubung kan kinabaknang da. 
MAT.4.9	Ot kanana un, “Itdok kan sika un losan datu nu mampalintumong ka un mandayaw kan sakon.”
MAT.4.10	Yoong summungbat si Jesus un, “Manaḻan ka Satanas! Ta kanana pay sin ugud Apudyus un, ‘Dayawom si Apudyus un Apum ot siya ullawa’d manselbiyam.’ ”
MAT.4.11	Utdi, kaysan si Satanas ot dummatong dat aanghel un ummoy nanuḻung kan Jesus.
MAT.4.12	Utdit madamag Jesus un naibaḻud si Juan un Mambubunyag, nan-ulin sin probinsiya’d Galilea. 
MAT.4.13	Yoong adina ininggaw sin boboḻoy da ud Nazaret, nu adi ummoy ininggaw Capernaum un osa’n boboḻoy sin igid din baybay Galilea un sakup dit pitan dadit Zabulon kan Neftali. 
MAT.4.14	Nakwa tu daḻapnu matungpal dit paingkanglit Apudyus kan propeta Isaias un,
MAT.4.15	“Sat pitan da Zabulon kan Neftali awad sin kapon baybay sidin domang din wangwang Jordan, inggana’t din sakup Galilea un igaw dat bokona Judio. 
MAT.4.16	Sadat tagu un inggaw sit nakoḻop, naila da dit nakaskasdaawa silaw. Sadat inggaw sit nakoḻopa igaw ud katoy, sinilawan dit silaw dida.”
MAT.4.17	Manipud sit timpu’n dummakngana’d Galilea, inlugin Jesus nantudtudu un kanana’n, “Mandadaoli kayu ot igongda yu dat basuḻ yu ta dandaniyon dit timpu’n mangiyapuwan Apudyus!”
MAT.4.18	Mankikkikkiyang man si Jesus sin igid bananaw sidin Galilea, naila na dat mansunuda Simon un mangadan Pedro kan Andres un madama’n manabtabukuḻ.
MAT.4.19	Kanana kan dida un, “Maitung-ud kayu kan sakon ta mambalinok dikayu un mantatabukuḻ si tagu.”
MAT.4.20	Dagusa tinengyan da dit tabukuḻ da ot naitung-ud da kan siya.
MAT.4.21	Intultuluy da un dit kummiyang ot naila na payyan dat mansunuda Santiago kan Juan kan sat ama da un si Zebedeo utdit bangka un man-amitong sidit tabukuḻ da. Inayagana dat mansunud ot 
MAT.4.22	tinengyan da un dagus dit bangka kan si ama da ot naitung-ud da kan siya.
MAT.4.23	Dinakdak Jesus din probinsiya’d Galilea un ummoy nantudtudu’t dat sinagoga da utdit Nabaḻu’n Damag maipanggop sit mangiyapuwan Apudyus. Pinapiya na pay dat tagu’t dat nadumaduma’n sakit da. 
MAT.4.24	Utdiyon, nandinadinamag dit maipanggop kan siya utdin losana boboḻoy sin sakupon Siria. Indatong da kan siya dat losana masakit kan dat awad si paspasibgon, sadat nadimunyuwan, nakoḻdas kan sadat adi makagidu. Ot pinapiyan Jesus dida’n losan.
MAT.4.25	Utdiyon, aduadu dat tagu’n naitung-ud kan siya un nanligwat Galilea, Decapolis, Jerusalem, Judea kan sadan boboḻoy sin kapon domang didin wangwang Jordan.
MAT.5.1	Ilan man Jesus dat adu-adu’n tagu un naitungtung-ud kan siya, nanagada’t dit bateled. Nantupak ot ummadani dat disipulus na kan siya. 
MAT.5.2	Ot inlugi na un nanudtudu kan dida un kanana’n,
MAT.5.3	“Nagasat dan tagu’n mamigbig un naid mabalin da nu maipanggop sidan naispirituwana banag, ta mangkuwa da din mangiyapuwan Apudyus!
MAT.5.4	“Nagasat dan tagu’n mandomdom ta liwliwaon Apudyus dida!
MAT.5.5	“Nagasat dan tagu’n napakumbaba ta maitod kan dida tun pita!
MAT.5.6	“Nagasat dan tagu’n taḻona gutagutan da un tungpaḻon dat piyaon Apudyus ipakwa ta ponkona dida!
MAT.5.7	“Nagasat dan nakaasi ta kaasiyan Apudyus dida!
MAT.5.8	“Nagasat dan nadaḻus si somsomok ta maila da si Apudyus!
MAT.5.9	“Nagasat dan tagu’n mangwa’t mangkikinnappiyaan di tagu, ta ngadanon Apudyus dida un abeng na!
MAT.5.10	“Nagasat dan maidapdapes gapu’t dit mangwaan da utdadit ipakwan Apudyus, ta mangkuwa da din mangiyapuwan Apudyus!
MAT.5.11	“Nagasat kayu nu babbainan dikayu, idapdapes dikayu kan palpalawengon dikayu gapu kan sakon. 
MAT.5.12	Taḻona manlagsak kayu ta amoamod dit gun-guna yu utdin langit. Siya pay kingwan dat tagu’n nampaligat sidat propetan Apudyus sidit un nauna nu dikayu.”
MAT.5.13	Intultuluy Jesus un nantudtudu’n kanana’n, “Dikayu’d kama’t asin dan losana tagu.
MAT.5.14	“Dikayu’d kama’t silaw dat tagu’t tun lubung. Somsomkon yu un adina mailingod nat ili un nabangun sinat tuktuk di bateled. 
MAT.5.15	Padana pay un maid manongog si pingki asina tangngoban, nu adi igga na utdit kustu un iiggaan daḻapnu masilawan dat losana inggaw sit boḻoy. 
MAT.5.16	Padana pay kan dikayu, masapula napataka maila nat silaw yu daḻapnu ilan dat tagu dan nabaḻu’n angwat yu kad, dayawon da si Ama yu ud langit.”
MAT.5.17	Intuluy Jesus un kanana’n, “Adiyu kanana dummatongaka umoy manwaswas sit lintog Moses kan dat ingkanglit dat propetan Apudyus, nu adi umoyak tungpaḻon dat losana imbaga da. 
MAT.5.18	Tuttuwa tun ibagak kan dikayu un, mangkigad tun langit kan pita yoong sadat lintog Apudyus adina mabalina makaanan, ulay sintoyoka lawa inggana’t matungpal un losan. 
MAT.5.19	Isunga sat tagu’n adi tumuttuwa ulay nu san kanan da un kaḻangpawana bilin Apudyus kan tudtuduwana dan udum daḻapnu adida pay tuttuwaon, siya’d kadobaan sin mangiyapuwan Apudyus. Yoong sat tagu’n tumuttuwa’t dan bilin Apudyus kan itudtudu na utdan udum daḻapnu tuttuwaon da pay, siya’d nangatu’t din mangiyapuwan Apudyus. 
MAT.5.20	Ta ibagak kan dikayu un, adi kayu mabalina maidagamung sin mangiyapuwan Apudyus malaksig nu nalinlintog kayu nu sadan mimistulun di lintog kan sadan Fariseo.”
MAT.5.21	“Dingngoḻ yu un inabus dit naibilin sidat tagu’t dit aw-awe un kanana’n, ‘Adi kayu kumatoy ta sanat kumatoy maidaḻum.’ 
MAT.5.22	Yoong satu tun ibagak kan dikayu, singngadan na mana sumuḻag si buḻun na, maidaḻum; singngadan na man un mamabbain sit buḻun na un kanana’n, ‘Naid selselbim,’ maidaḻum sit Sanhedrin ot singngadan na mana mangibaga un, ‘Tung-ug ka,’ dusaon Apudyus sin impiyelnu. 
MAT.5.23	Siya’d gapuna un ulay nu awad kaon sin altar un umoy mandatun kan Apudyus nu magasmok nu un awad kingwam si linaweng dit buḻun nu, 
MAT.5.24	tengyam yan dit datun nu ta umoy ka yan mampakawan ta mangkapiya kayu asim umoy idatun dit datun nu kan Apudyus.
MAT.5.25	“Ot nu awad mangidaḻum kan sika, makaaliglu ka un dagus sit daan yu payyan dumakngan sit uukkuman. Ta nu adim koon di, ipaima dika’t din kuis ot san kuis paibaḻud dika’t dan pulis. 
MAT.5.26	Ot ibagak un nu ibaḻud dika, adi kaon makaḻaksun inggana’t mabayadam dit multam.”
MAT.5.27	“Dingngoḻ yu un inabus dit naibilin un, ‘Adi kayu makadagdagas.’ 
MAT.5.28	Yoong sinsatunon ibagak kan dikayu’n, ulay singngadan na un mangitukkoḻ si babai ot dagusa maboknan dit gikna na un piyaona’n aḻan, nakabasuḻon sit somsomok na si dagdagas. 
MAT.5.29	Siya’d gapuna un, nu sat diwanana ata yu ud maigapuwan di makabasuḻan yu, tuwilon yu ot idawat yu ta unnaya lawa’n awad kulang nat long-ag yu nu san mabubukkoḻ kayu un maidawat sin impiyelnu. 
MAT.5.30	Ot nu san diwanana ima yu ud maigapuwan di makabasuḻan yu, putdon yu ot idawat yu ta unnaya lawa’n ossaan nat takḻay yu nu san mabubukkoḻ nat long-ag yu un maidawat sin impiyelnu.”
MAT.5.31	“Naibilin pay sidit un: ‘Nu awad laḻaki’n mangidang si asawa na, masapula itdana dit asawa na si kasulatan dit man-idangan da.’ 
MAT.5.32	Yoong sinsatun ibagak kan dikayu un, sanat laḻaki’n umidang si asawa na un adi nakabasuḻ si dagdagas, makabasuḻ nu awad mangasawa’t dit asawa na ta pinambalin na un nakadagdagas. Ot sat laḻaki’n mangasawa’t dit naidangana babai, makabasuḻ payon si dagdagas.”
MAT.5.33	“Dingngoḻ yu pay dit naibilin sidat ginnapuwan taku un, ‘Masapula adiyu man-awidan dit insapata yu, nu adi masapula tungpaḻon yu dit isapata yu.’ 
MAT.5.34	Yoong sinsatunon, ibagak kan dikayu un adi kayu’n taḻon mansapsapata. Adiyu isapata’d langit ta siya’d man-apuwan Apudyus. 
MAT.5.35	Padana paya adiyu isapata tun pita ta siya’d naipatayan dan ikina, kan padana pay Jerusalem ta siya’d ilin dit kangattuwana Ali. 
MAT.5.36	Adiyu pay isapata nat uḻu yu ta adi kayu makapabalin si osa’t napoḻkas onnu nangisita buuk. 
MAT.5.37	Kanan yu ullawa un, ‘On,’ onnu ‘Adi,’ un adiyu dogaan si sapata, ta sat sapata un idoga yu, manligwat kan Satanas.”
MAT.5.38	“Dingngoḻ yu pay dit naibilin sidit un kanana’n, ‘Sat mamuḻsok si padana un tagu, buḻsokon da pay kan sat mangengaw si padana un tagu gengawan da pay.’ 
MAT.5.39	Yoong sinsatunon ibagak kan dikayu un adi kayu gumaḻos sidan mangwa’t laweng kan dikayu. Nu awad manipak sinat madiwanana pasngit yu, isagad yu payyanot nat biik. 
MAT.5.40	Ot nu awad mangidaḻum kan dikayu ta aḻana nat badut yu, itdon yu payyanot nat kagoy yu. 
MAT.5.41	Ot nu awad mangipapilit kan dikayu’n mangipaawit sinat awit na si singkilometro awiton yuwot si duwa’n kilometro. 
MAT.5.42	Itdan yu dat mangkodaw kan dikayu, pagawatan yu dat manggawat kan dikayu.”
MAT.5.43	“Dingngoḻ yu pay dit naibilin sidit un, ‘Piyaom dat gayyom nu yoong lawengom dat mangidapdapes kan sika.’ 
MAT.5.44	Yoong sinsatunon ibagak kan dikayu’n, masapula piyaon yu dan kabusuḻ yu kan iluwaḻuwan yu dan mangidapdapes kan dikayu 
MAT.5.45	daḻapnu mailasin un tuttuwa’n anak dikayu kan Ama yu ud langit. Ta padana’n ipalubus na din inita manilaw sidat nadadag kan nabaḻu’n tagu. Padana’n mangitod si udan sidat mangwa’t nabaḻu kan sidat mangwa’t laweng. 
MAT.5.46	Ot nu sad piyaon yu ullawa dan mamiya kan dikayu, gun-gunaan dikayu kad kan Apudyus? Bokon kada siya pay kokkoon dan man-uuḻup si bugis? 
MAT.5.47	Ot nu sad kabagbaga yu ullawa dan buḻun yu, singngadan nat naidum-an yu utdan uduma tagu? Bokon kada siya pay kokkoon dan bokona makatigammu kan Apudyus? 
MAT.5.48	Isunga masapula padaon yu si Ama yu ud langit un maid mangkulangana.”
MAT.6.1	Kanan Jesus un, “Ilan yu ta adiyu gagaḻaona ipappaila din mangwaan yu si nabaḻu, ta nu siya’d koon yu naid gun-guna yu kan Ama yu ud langit.
MAT.6.2	“Isunga nu awad ituḻung yu utdan nakapus, adiyu umoy ipalapalawag un kama’t din koon dan man-ag-agina tagu nu inggaw da utdin sinagoga kan kaḻkaḻsa daḻapnu idayaw dat tagu dida. Tuttuwa tun ibagak kan dikayu un, inawat daon dit gun-guna da utdiya mangidayawan dat tagu kan dida. 
MAT.6.3	Yoong nu awad ituḻung yu utdan kapus, adiyu un taḻon ipatpatigammu’t dan udum ulay nu san taḻona kagayyoman yu. 
MAT.6.4	Ot si Apudyus un Ama yu un mangiila’t dan koon yu si nalingod, gun-gunaan dikayu.”
MAT.6.5	“Nu manluwaḻu kayu, adiyu padaon dan man-ag-agin. Pipiyaon da un sumikada manluwaḻu’t dan sinagoga kan sidan nan-ab-abtan di kaḻsa daḻapnu ilan dat tagu dida. Tuttuwa tun ibagak kan dikayu un, inawat daon dit gun-guna da utdiya mangidayawan dat tagu kan dida. 
MAT.6.6	Nu manluwaḻu kayu, mangkuḻung kayu’t din kuwaltu asi kayu manluwaḻu kan Apudyus un adi maila. Ot si Apudyus un Ama yu un mangiila’t dan koon yu si nalingod, gun-gunaan dikayu.
MAT.6.7	“Nu manluwaḻu kayu, adiyu anduwon nat naid si bogasa luwaḻu’n siya’d koko-on dan adi makatigammu kan Apudyus. Ta kanan da nin nu dongḻon Apudyus dit luwaḻu da gaputa andu. 
MAT.6.8	Adiyu padaon dida ta tigammunon Apudyus un Ama yu dan masapul yu utdin daan yu payyan mangkodawan. 
MAT.6.9	Kama’t tu nat manluluwaḻu yu:
MAT.6.9	‘Ama mi un awad langit, iluwaḻu mi un madaydayaw nat ngadan nu. 
MAT.6.10	Iluwaḻu mi un dumatongon nat man-apuwam situn pita kan matungpal nat piyaom situn pita un padana’d langit. 
MAT.6.11	Itdom dan kanon mi un inaḻgaw. 
MAT.6.12	Pakawanom dan basuḻ mi un padan dit mamakawanan mi utdan makabasuḻ kan dikami. 
MAT.6.13	Adim ipalubusa masugsugan kami, nu adi iyadayu dikami utdin nadadag.’
MAT.6.14	“Nu pakawanon yu dat makabasuḻ kan dikayu, pakawanon dikayu pay kan Ama yu ud langit. 
MAT.6.15	Yoong nu adiyu pakawanon dida, padana paya adi dikayu pakawanon kan Ama yu ud langit sidat basbasuḻ yu.”
MAT.6.16	“Nu manlangan kayu’n mangan sin manluwaḻuwan yu, adi kayu manduduuya padan dan man-ag-agin. Ta manduduuyon da din ila da daḻapnu mailan kad dat tagu un nanlangan da un mangana manluwaḻu, idayaw da dida. Tuttuwa tun ibagak kan dikayu un, inawat daon dit gun-guna da utdiya mangidayawan dat tagu kan dida. 
MAT.6.17	Siya’d gapuna’n nu manlangan kayu’n mangan, mandaḻ-up kan manlaggud kayu, 
MAT.6.18	daḻapnu maid makatigammu nu adi abusa lawa si Ama yu un adi maila. Ot si Ama yu un mangiila’t din koon yu si nalingod, gun-gunaan dikayu.”
MAT.6.19	“Bokona uttun pita’d mantaḻponan yu utdan talipon yu, ta kaynga’l lawa’n aminon di angngat ya lati kan awad pay lumnoka mangakaw. 
MAT.6.20	Itaḻpon yuwot sin langit ta maida taḻon angngat onnu lati’t di si mangamin kan maid makaḻnok si mangakaw. 
MAT.6.21	Ta sat kawadan dit talipon yu, siya pay ud taḻona sosomkon yu.”
MAT.6.22	“Satun ata siya’d pannakasilaw ditun long-ag. Isunga nu napadda tun ata, napadda tun losana long-ag. 
MAT.6.23	Yoong nu nadaḻam nat atam, nakoḻop pay nat losana long-ag nu. Ot nu pangot dit awad kan sika imbisa silaw, taḻona napangot nat mataguwam!”
MAT.6.24	“Maid baba-unon si mandisanona’n manselbiyan dan duwa’n apu. Ta lawengona dit osa ot piyaona dit osa, onnu ipasnok na un manselbi’t dit osa ot duḻaona dit osa. Ot padana pay kan dikayu un adiyu mabalina mandisanon din manselbi kan Apudyus kan gumamgama gumaknang.”
MAT.6.25	“Isunga ibagak kan dikayu un bokona sadan makan, mainum kan badut dan mandanagan yu. Bokon kada napotpotog nat mataguwan yu nu san makan kan napotpotog nat long-ag yu nu san badut? 
MAT.6.26	Ilan yu dan sissiwit, adida mammuḻa onnu man-ani, adida man-iyaḻang yoong itdan Ama yu ud langit dida’t kanon da. Bokon kada napotpotog kayu nu sadan sissiwit? 
MAT.6.27	Singngadan na kan dikayu ud makaisuḻut si sinsikuwan sit mataguwana udsi mandandanagana?
MAT.6.28	“Apay ikadanag yu ud mambadut yu? Somsomkon yu din mandadakoḻ dan simalona sabsabung. Adida mangkokwa onnu mangganay. 
MAT.6.29	Yoong ibagak kan dikayu un amo napippiya din ila da nu sadat nangkababanola badut Ali Solomon. 
MAT.6.30	Ot nu kama’t di un papiyaon Apudyus dan simalona sabung un matagu’t tun aḻgaw yoong mabigat kad masgob da, bokon kada amo sosomkona nat mambadut yu? Nakapsuta taḻon nat pammati yu! 
MAT.6.31	Adi kayu mandandanaga kanan yu un, ‘Mangaḻ-an mi kad nin si kanon mi, inumon mi kan da badut mi?’ 
MAT.6.32	Siya datu dan taḻona sosomkon dan adi makatigammu kan Apudyus. Tigammun Ama yu ud langit un kasapulan yu datu. 
