MAT.1.1	Salbacü Jesus Abrahampïtawan Davidpa milayninpïmi śhamun. Paypa awquilluncuna caycunam cala:
MAT.1.14	Azorpa chulinñatacmi Sadoc. Sadocpa chulinñatacmi Aquim.
MAT.1.14	Aquimpa chulinñatacmi Eliud. 
MAT.1.15	Eliudpa chulinñatacmi Eleazar.
MAT.1.15	Eleazarpa chulinñatacmi Matan. Matanpa chulinñatacmi Jacob.
MAT.1.16	Jacobpa chulinñatacmi José, Mariap wayapan. Mariap wawinñatacmi Caćhaśhan Salbacüca nipäcuśhan Jesus.
MAT.1.17	Chayurá Abrahampïta aśhta mandacü Davidcamam pasala ćhunca tawayu awquillucuna. Chaynütacmi mandacü Davidpïta aśhta Israelta Babilonia apacuśhancama ćhunca tawayu awquilluncunatac pasala. Chaynütacmi chay apaśhancäpi aśhta Caćhaśhan Salbacü Jesus näsinancamapis ćhunca tawayu awquillucunatac pasala.
MAT.1.18	Caćhaśha Salbacü Jesuspa näsishan caynümi cala: Mariam limaśha cala Joséwan cuscapäcunanpä. Manaläpis cuscayaptinmi Chuya Ispiritup munayninwan Maria patayüña licalila. 
MAT.1.19	Jinaptinmi José alli nuna cayninwan, Mariacta mana pin'ayman juluyta munal “Mana tantiachillal caćhaycüśhä” nil pinsayäla. 
MAT.1.20	Chaynüta pinsaśhtin chay tuta puñuyaptinmi Diospa caćhan anjilnin suyñuyninćhu licalilcamul nila: “Davidpa caśhtan José, limay-masiqui Mariawan cuscayta ama ishcayyaychu. Pay'a Chuya Ispiritup munayninwanmi patayu licalïsha cayan. 
MAT.1.21	Chay ishyacuśhan walaśhcätá ‘Jesusta’ śhutichanqui, nunacunäta juchanpi julüca captinmi” nil. 
MAT.1.22	Lluy caycuna pasala Diospa unay willacünin nishannümi:
MAT.1.23	“Manalä wayapacta lisï wamla patayu licalilculmi walaśhta ishyacun'a.
MAT.1.23	Paytam ‘Emanuel’ nipäcun'a”
MAT.1.24	Ñä chay puñuśhancäpi José lichcälulmi Diospa anjilnin nishannuy Mariacta walminpä puśhacula. 
MAT.1.25	Caynu puśhaculpis manam cuscachu puñula, aśhta ishyacunancama. Ishyacüluptinñatacmi “Jesuswan” śhutichäla.
MAT.2.1	Chay timpu Judeap Belen malcanta Herodes gubirnayaptinmi Jesus näsimula. Chaymi chay Jerusalen malcaman śhapämula sïlućhu uyllurcunäta lical tantiä nunacuna, inti yalamunan-lädu calu malcäpi. 
MAT.2.2	Ćhaycälimulmi tapula: “¿Mayćhümi cacullan Israel malcap mandänin näsï iñachaca? Juc lusirum camalaycachimun cay-lädućhu näsishanta. Chayta licälälimulmi śhapämulá un'ulacuycul alawapäcunäpä” nil. 
MAT.2.3	Chay nïta uyalïlulmi Herodes jucmanyacüśha śhun'unpis timpucuyaptin mana limaliyta nïtac imanayta atipalachu. Jinaptinmi Jerusalenćhu llapan nunacunaca jucmanyacüśha cacuyalcäla. 
MAT.2.4	Caynu cayalmi Herodes chay üralla puydï sasirdüticunätawan camachicuyta yaćhachicünincunacta ayalcachil tapula: “Salbacüca ¿mayćhütan näsinan cañä?” nil.
MAT.2.5	Niptinmi: “ ‘Judeap Belen malcanćhümi’ niyan. Chaynümi Diospa unay willacüninpa isquirbishanćhu nin:
MAT.2.6	‘Am Belen malca, masqui Judäpa malcancunapi mas tacsalla cayaptiquipis,
MAT.2.6	Israelpa puydï mandacünin ampïtam yalamun'a’ nilmi niyan”
MAT.2.7	Chay niyta uyalilculmi Herodes pacallap ayachimula chay uyllurwan tantiäcunäta imay chay lusiruca licalimuśhantapis tuquicta yaćhalpunanpä. 
MAT.2.8	Willaycuptinñatacmi Herodes Belen malcäman caćhala: “Canan ashipämuy chay walaśhchäta mayćhu caśhantapis, willaycälimaptiqui ya'apis alawä linäpä” nil.
MAT.2.9+MAT.2.10	Chaynu nilcuptinmi liculcäla. Chay licapäcuśhan lusirümi lila paycunap ñawpäninta aśhta chay iñachaca caśhancäcama. Chay caśhancäpa altunćhu śhaycüta licälälilmi alli-allicta cushicälälila. 
MAT.2.11	Chay wasiman yaycunanpämi chayćhu cayäñä walaśhchaca maman Mariawan. Chayćhümi iñachap puntanman un'ulacaycälil alawapäcula. Jinalculmi babulchancunaćhu apapäcuśhan sumä ćhaniyu üructa, insinsiucta
MAT.2.12	Chaypïta Dios suyñuyninćhu “Yan'al-lätac Herodesninpa cutiyalcanquiman” niptinmi juc caminupña malcanta cuticulcäla.
MAT.2.13	Chaynu cuticulcaptinmi Josëta suyñuyninćhu Diospa caćha anjilnin nila: “Herodesmi walaśhchäta wañuchinanpä ashichinan cayan. Chayurá canallan śhalcuculcul mamantinta Egiptoman ayichiy. Chayćhümi willanaccama camunqui” nil. 
MAT.2.14	Chaymi chay tuta üra, José śhalcuculcul walaśhchätawan mamantinta puśhaculcul Egipto malcäta liculcäla. 
MAT.2.15	Chayćhümi yaćhapäcula Herodes wañunancama. Lluy caycuna caynu lulacacüla Diospa unay willacünin “Egipto malcapïtam chulïta ayacamú”
MAT.2.16	Chay uyllurwan tantiäcunaca upanta lulaśhanta Herodes tantiacülulmi alli-allicta rabyala. Chaymi ishcay wataña tantiäcunäman lusiruca licalïmuśha captin, Belenćhüpis muyülïninćhüpis ishcay watapi ulayman walaśhcunäta lluy wañuchinanpä caćhala.
MAT.2.17	Lluy caycunam pasala Diospa unay willacünin Jeremias nishannuy:
MAT.2.18	“Rama malcaćhümi wa'acuyta, awćhuyta uyalí.
MAT.2.18	Chayćhu llapa wawincuna manaña captinmi Raquel mamay-taytayta awćhucuñä” nil.
MAT.2.19	Chay Egipto malcaćhu José yaćhayällaptinlämi Herodes wañucula. Jinaptinmi Josëta suyñuyninćhu Diospa caćha anjilnin nila: 
MAT.2.20	“Canan śhalcul, walaśhchäta, mamantawan puśhaculcul Israel malcayquita cutiy. Chay wañuchiyta munäcunaca ñam wañucunña” nil. 
MAT.2.21	Chay niycullaptinmi walaśhcäta mamantinta puśhaculcul cuticamula Israel malcanman. 
MAT.2.22	Chay Judea malca Herodespa chulin Arquelaop maquinćhu caśhanta yaćhälulmi José manchacula chayman ćhayta. Jinaptinmi suyñuyninćhu willaptin Galileap malcancunaman licula. 
MAT.2.23	Chayman ćhälulmi Nazaret malcaman pasacula chayćhu yaćhananpä. Caycuna lulacacüla Diospa unay willacünincuna Jesusta “Nazaret malcayu nuna nipäcun'am” nil nishancänümi.
MAT.3.1	Chay timpum Judeap chunyäninman Bawtisä Juan ćhämula caynüta willacuśhtin: 
MAT.3.2	“Diosninchicpa gubirnunćhu canapä timpu jananchicćhüñamari cayan. ¡Chayurá juchayquipi wanaculcul payman cutipämuy!” nil. 
MAT.3.3	Paypïmi Diospa unay willacünin Isaias isquirbishanćhu niyan:
MAT.3.3	“Chunyäninćhu ayaycaćhäcäta uyalipäcuy:
MAT.3.3	‘Taytanchic ćhämunanpä sumäta allichaculcay.
MAT.3.3	Ñatac paypa pulinanta tuquicta lulapäcuy’
MAT.3.4	Chay Bawtisä Juan'a camïllu uywap millwanpïta luläśha müdanawanmi müdacula; utapi luläśha waćhacuwanmi ćhulaculapis. Langusta culucunallacta urunwaycunap mishquincunallactam miculapis. 
MAT.3.5	Chay caśhancämanmi achca nunacuna limaśhanta uyalï śhapämula intirupïta: Jerusalenpïta, jinantin Judeap malcancunapïtapis, aśhta Jordan mayup lädunćhu lluy malcacunapïtapis. 
MAT.3.6	Chayćhu juchancunacta lluy willapacücunätam chay Jordan mayućhu bawtisala. 
MAT.3.7	Chayman achca fariseo caśhtacuna, saduseo caśhtacuna bawtisachicü śhapämuptinmi Juan nila: “¡Pasaypi culibray caśhtacuna! ¿pitá nishulanqui ‘¡Diospa castigun janayquićhüñam cayan ayicunayquipä!’ nil? 
MAT.3.8	Juchayquicunapi wanaculcäśhayquitari camalachipäcuy. 
MAT.3.9	‘Abrahampa ayllun caynïwanmi Diosninchicpa allinña cá’ ¿niyanquichun, imam? Dios munal'a cay lumicunapïtapis Abrampa ayllunman muyuchinmanmi. 
MAT.3.10	Canan'a jaćhacunäta sapipi cuchunanpá paypa ächan listuñam cayan. Mana alli wayuyniyu jaćhactamari wicapalcachil cañan'a.
MAT.3.11	“Ya'a rasunpa juchayqui wanacücunätam yacullawan bawtisapäcuc. Ipäta śhamücämi ichá ya'apïta mas munayniyu captin nï śhucuyninta apaycunalläpäpis cächu. Paymari Chuya Ispirituwanpis ninawanpis bawtisapäcuśhunqui. 
MAT.3.12	Ñatac trïgucta waywachï nunanümari pay'a śhayämun, lluy nunacunäta cäraycunanpämi. Waywalcachilmi trïgucta pilwanman ćhulaycun'a; amuntañatacmi wiñay simpri nina waläcäman jitaycun'a” nin.
MAT.3.13	Ñatac Jesusmi Galileapïta śhamula Juan bawtisaśhan Jordan mayüćhu bawtisachicunanpä. 
MAT.3.14	Chayćhümi Juan mana munalachu “¿Imanuypatan bawtisacman aśhwanpa amlä bawtisamänayqui cayaptin?” nil.
MAT.3.15	Niptinmi Jesus: “Cananpá chaynu caycunan. Dios mandamäśhanchicta lulaycunanchicmi cayan” nin.
MAT.3.15	Niptinmi Juan bawtisala. 
MAT.3.16	Chay yacupi Jesus yalayämuśhanćhümi, janay pachaca quićhacacüluptin, Diospa Chuya Ispiritun juc palumanu janäninman lataycayämüta licälun. 
MAT.3.17	Chaypïtam Tayta Dios nilpamula: “Pay cuyay chulïpïta ¡maynu cushisham cayá!” nil.
MAT.4.1	Chaypïtam Chuya Ispiritu chunyäninman Jesusta puśhala, chayćhu Satanaśh mana allinman palpuyta ñacachinanpä. 
MAT.4.2	Chayćhu Jesus tawa ćhunca muyun, tawa ćhunca tuta ayunayaptinmi micanäcuyäla. 
MAT.4.3	Chaynu cayaptinmi Satanaśh
MAT.4.4	Niptinmi: “Isquirbisham cayan: ‘Manam tantallawanchu nunaca cawsanchic. Aśhwan Diospa lluy nimäśhanchiccämi cawsachimanchic’ nil”
MAT.4.5	Jinaptinmi Satanaśhca puśhala Jerusalenćhu Diospa chuya wasinpa chupquinman.
MAT.4.6	“Diospa Chulin cayal'a, má, caypïta palpuy luliman. ¿Manachun Diospa isquirbishanćhu: ‘Diosmi anjilnincunacta anman caćhamun'a. Jinaptinmi maquinwan chalapäcuśhunqui, chay lumicunäman nï ćhaquiquipis jaluycunanpä’ nil niyan-ari?”
MAT.4.7	Chaynu niptinmi: “Chaynütacmi Diospa isquirbishanćhüpis niyan: ‘Tayta Diosniquita munayniquiman'a ama jicutaychu’ nil”
MAT.4.8	Chaypïtam Satanaśh jatun ulup uma chupquinman puśhalcul jinantin malcacunäta lluy cänintinta licachila. 
MAT.4.9	Jinalculmi nila: “Lluy cay licaśhayquitam uycülucman, puntäman un'ulacuycul alawamaptiqui'a” nil.
MAT.4.10	Niptinmi: “¡Wayra licuy Satanaśh! Diospa isquirbishanćhümi niyan: ‘Tayta Diosllayquita alaway; payllactatac sirbiy’ nil”
MAT.4.11	Niycüluptinmi Satanaśhca caćhaycüla. Jinaptinmi Diospa anjilnincuna Jesusta yanapä śhapämula.
MAT.4.12	Ñatac “Bawtisä Juantam carsilcäman wićhälälin” nïta Jesus uyalïlulmi Galilea-läduman cutila. 
MAT.4.13	Chaymi Nazaretman ćhaycul ućhap manyan Capernaum malcaćhu yaćhamü licula. Chay cala Zabulonpa Neftalïpa caśhtancunap culindanćhümi. 
MAT.4.14	Cay lulacäla Diospa willacünin Isaias unay isquirbishannümi:
MAT.4.15+MAT.4.16	“Zabulon caśhtap, Neftalí caśhtap malcancunaćhu yaćhäcuna,
MAT.4.15+MAT.4.16	ućhap manyanćhu yaćhäcuna,
MAT.4.15+MAT.4.16	Jordan mayup wic-lädu chimpa patanćhu yaćhäcuna,
MAT.4.15+MAT.4.16	cay Galilea yanawyayä tutapäćhu Diosta mana lisïcunämi, sumä acchïta licälälin.
MAT.4.15+MAT.4.16	Cay wañuycäpa jananćhüña yaćhäcunämanmi cawsayca ćhämun”
MAT.4.17	Chayman ćhäśhanpïtam Jesus willacula: “Juchayquipi wanaculcay. Diospa gubirnun janayquićhüñamari cayan” nil.
MAT.4.18	Chay Galilea ućhap manyanpa liyalmi Jesus licälun wawi-caśha Simon Pedroctawan Andresta, challwa chalä-cama capäcul chalacunwan challwacta chalayalcäta. 
MAT.4.19	Chayćhümi nila: “Acuchun ya'awan lishun. Cananpïtá yaćhachishayqui cay challwa juntupäcuśhayquinu nunacunäta Diospä juntupämunayquipämi” nil. 
MAT.4.20	Nilcuptin-pachallam challwa chalacuncunactapis caćhaycul Jesuswan liculcäla.
MAT.4.21	Chaypi liyalcalmi juc barcućhu Zebedeoctapis chulin Jacoboctawan Juantapis barcunćhu challwa chalacunta allichayalcäta licälul ayälun. 
MAT.4.22	Chaynu ayäluptin-pachamari barcuntapis, taytantapis caćhaycul Jesuswan liculcäla.
MAT.4.23	Jesusmi jinantin Galileap malcancunaćhu pulila, juntunaculcänan wasicunaćhu yaćhachishtin, Diospa gubirnunpa allin willacuyninta willacuśhtin, llapa ishyäcunactapis lluy sänachishtin. 
MAT.4.24	Caynu lluy lulaśhancunämi intiru Siriap calu malcancunamanpis miläla. Chaymi imaymana ishyaywan ishyä nunacunactapis, Satanaśhpa gänaśha nunacunactapis, wañupaywan cäcunactapis, latacunactapis apapämuptin Jesus lluyta sänachila. 
MAT.4.25	Chaymi jinantin Galilea malcacunäpi, Decapolis malcacunapïpis, Jerusalen malcapïpis, Judeap malcancunapïpis, aśhta Jordan mayup wic-lädu chimpanćhu cä malcacunapïpis achca nunacuna Jesusman śhapämul aticulcäla.
MAT.5.1	Jesus caynu achca nunacuna atishanta licalmi uluncascaman ishpila. Chayćhu täcuyaptinmi llapa yaćhapacünincuna aśhuycälila muyülïninman. 
MAT.5.2	Chayćhümi yaćhachiyta allaycula cay nil:
MAT.5.3	“Cushiculcächun śhun'unćhu waccha cäcunaca. Paycunapämi Diospa lluy cänin unanchäśha cayan.
MAT.5.4	Cushiculcächun wa'acücunaca. Diosmi paycunacta cunsuylan'a.
MAT.5.5	Cushiculcächun allin śhun'uyücuna. Jinantin pachätam ćhasquiycun'a.
MAT.5.6	Cushiculcächun mayanpis micanäśhanu yacunäśhanu Diospa munaśhanta lulay munäcuna. Paycunactam Dios maćhaycachin'a.
MAT.5.7	Cushiculcächun nuna-masinta llaquipaycücunaca. Paycunactam Dios llaquipaycun'a.
MAT.5.8	Cushiculcächun chuya śhun'uyücunaca. Paycunam quiquin Dioswan tincun'a.
MAT.5.9	Cushiculcächun jawca cawsayta talichïcunaca. Paycuná ‘Diospa chulin’ nipäcuśham can'a.
MAT.5.10	Cushiculcächun allincäta lulaśhan-laycu ñacäcunaca. Paycunapämi Diospa gubirnun.
MAT.5.11	Cushiculcay ya'a-laycu palapäcuśhuptiqui, aticaćhapäcuśhuptiqui, imaymana artiwan ruydupapäcuśhuptiquipis. 
MAT.5.12	Chaynütacmi unaypis Diospa unay willacünincunacta lulapäcula. Chayurá allicta cushiculcay. Paycunanüpis amcuna janay pachäćhu sumä jatun primiuctam ćhasquipäcunqui.
MAT.5.13	“Ñatac caćhinuymi capäcunqui cay pachäćhu. Chay caćhica amyäśha cayal'a, ¿imanuypatá caśhan allin caćhiman muyunman? Caynu amyälul'a manañamá imapäpis bälinñachu. Jinaptinmi waśhaman wicapäluptin, jalutacüśha can'a.
MAT.5.14	“Ñatac amcuna capäcunqui juc acchinümi cay pachäpä. Má, nimay, ulup jananćhu cä malca ¿imanuypatan pacäśha canman? 
MAT.5.15	Ñatac manamá juc acchicta walaycachinchic mancawan pacaycunapächu. Aśhwanpa altu ćhulacunmanmi ćhulcunchic lluyta acchimunanpä. 
MAT.5.16	Chaynütac-ari amcunapis acchinuy capäcuy nunacunäpä, cay allin lulayniquita lical janay pachäćhu Diosninchicta altuman julapäcunanpä.
MAT.5.17	“Ama nipämaychu ‘Pay'a Moisespa camachicuynintawan Diospa unay willacünincuna nishanta chincächïćha śhamula’ nil. Chaypächu manam śhamulá, aśhwanpa chaycunacta lluy ishpilpachinäpämi. 
MAT.5.18	Rasunpa, sïluca allpaca caśhancamá, camachicuycäpi manam juc litrallapis, nï uchuc unanchaycuśhallapis chincachishachu can'a aśhta lluyta lulaycunäcama. 
MAT.5.19	Mayanpis cay camachicuyta mana cäsucuycul juccunätapis mana cäsucuyta yaćhachïcätá, Diospa gubirnunćhümi mana cäpa licaśha can'a. Ñatac mayanpis cäsucul, juccunactapis yaćhachïcunätam ichá Diospa gubirnunćhu altuman juluycuśha can'a.
MAT.5.20	“Rasunpa, chay fariseocunäpïtawan, camachicuyta yaćhachicücunäpïta, mas allinninpälämi Tayta Dios licaycuśhunayqui cayan. Chaynu mana cayal'a paypa gubirnunman manam imaypis yaycapäcunquichu.
MAT.5.21	“Uyalipäculanquim unay awilunchiccunacta ‘Amam nunacta wañuchinquichu
MAT.5.22	Ya'añatacmi ichá niycälic, pipis nuna-masinpä piñacücäpis, cäraycuśhatacmá can'a. Mayanpis nuna-masinta ‘mana bälï’ nïcätapis Cunsïjup Awturidänincunam cäraycun'a. Ñatac nuna-masinta paläcätapis wiñay simpri nina waläcämi alcayan.
MAT.5.23	“Chayurá Diospa ima unayquitapis apayäśhayquićhu nuna-masiquita jucnüpa licaśhayquita yalpälul'a, masqui quiquin uycunayquićhülä cayalpis, 
MAT.5.24	chayllaćhu caćhaycul pampachaśhunayquipä mañacü cutiy. Jinalcul-lämi cutimunqui Diosman uycunayquipä.
MAT.5.25	“Chayurá ćhïnishüniquiwanpis pampachachicuy manaläpis mismishancama masqui fisman liyalcalpis. Chayman ćhächishuptiquim ichá fisca wardiacunap maquinman ćhulaycul carsilman jitaycachishunqui. 
MAT.5.26	Rasunpa chaypi manamá imaypis yalamunquichu mänu cayniquita limpiu pägamunayquicama.
MAT.5.27	“Uyalipäculanquitacmi ‘Amam mansibaculcanquichu’
MAT.5.28	Ya'añatacmi ichá niycälic, mayanpis walmicta licälul ‘Wicwan puñuycüman’ nishallanwanpis ñam śhun'unćhu mansibacülunña. 
MAT.5.29	Chayurá allï ñawiqui juchaman jitaycuy munaśhuptiqui'a, jululcul wicapäluy. Mas allinmi canman churchu cawsaypis, nina waläcäman jinantin cuirpuyquita jitaycuśhunayquipïtá. 
MAT.5.30	Ñatac allï maquiqui juchaman jitaycuy munaśhuptiqui'a, cuchulcul wicapäluy. Mas allinmi canman cutu maqui cawsaypis, nina waläcäman jinantin cuirpuyquita jitaycachicuśhayquipïtá.
MAT.5.31	“Chaynütacmi uyalipäculanqui: ‘Mayanpis walminpi laquicuyta munäca, laquicuchun papilta lulanacuycul camachicuy mañaśhanmannuy’
MAT.5.32	Ya'añatacmi ichá niycälic, walmin mana mansibacuyaptin yan'alpi laquicücá, jinaśhanwan mansibädumanñam walminta muyüchin. Chaynütacmi chay walmiwan cuscäcäpis mansibädumanña muyun.
MAT.5.33+MAT.5.34+MAT.5.35+MAT.5.36	“Chaynütacmi uyalipäculanqui awilunchiccunacta: ‘Diosninchicpa śhutinta tistigupä śhaycaycachil limalicuśhallanchictam lulananchic prisïsan’
MAT.5.37	Aśhwanpa juc pasä limälla capäcunquiman ‘aw’ ütac ‘manam’ nillal. Limalicuyniquiman masta yapacuycá achatupïmi śhamun.
MAT.5.38	“Amcuna unay uyalipäculanquim: ‘Imactapis lulamäśhanman tincüta cutiycachisha cachun: ñawipis licalcuśhanmannuy, quilupis quichquilcuśhanmannuy’
MAT.5.39	Ya'añatacmi ichá niycälic: mana allinta lulaśhüniquicunacta ama cutichicuychu. Aśhwanpa cäraćhu lapyaśhuptiqui, juc-lädu cärayquitapis camaycuy. 
MAT.5.40	Mayanpis quijalcul camisayquitapis waycayta munaśhuptiqui'a, uycüluy punchuyquitapis apacunanpälä. 
MAT.5.41	Mayanpis juc kilumitrucama, alafirsa carganta apachipäcuśhuptiqui'a, apapuy ishcay kilumitrucamalä. 
MAT.5.42	Mayanpis pishipacü ‘uycamay’ nishuptiqui'a uycuytac. Mayanpis mañaculcäśhuptiqui'a amatac mićha caychu.
MAT.5.43	“Unay uyalipäculanquitacmi: ‘Nuna-masiquita cuyacuywan licaycuy.
MAT.5.44	Ya'añatacmi ichá niycälic: Cuyapäcuy ćhïnishüniquicunäta.
MAT.5.45	Chayta lulalmi janay pacha Diospa chulincuna caśhayquita camalächipäcunqui. Paymi intïta tamyäta allin mana allin nunapäpis uycamanchic. 
MAT.5.46	Sïchuśh sintinaculcäśhallayquiwan cuyanaculcaptiqui'a ¿ima allintatan lulaycuyanqui? Piyurnin jucha-sapacunäpis lulawshï-masincunacta cuyanmi. 
MAT.5.47	Apanaculcäśhallayquiwan limaycanacul ‘mas allinninlämi cayá’ ¿niyanquichun imatá? Chaynüllá lulapäcunmi Diosta mana lisïcunäpis. 
MAT.5.48	Tayta Diosniqui tucuy śhun'unwan cuyaycuśhannuy amcunapis caycäliy.
MAT.6.1	“Ama allin lulaycunacta lulayalcaychu nunacunaca lical alawaśhunallayquipä. Chaynüta lulaptiqui'a altu sïlućhu cä Diosninchic manam primiucta uśhunquiñachu.
MAT.6.2	“Chaymi pishipacücunäta imallacta uyculpis ama llamadayänayquichu chay ishcay cära nunacunänu juntunaculcänan wasicunaćhüpis, läsacunaćhüpis lluypa ñawquin allinpa licachicuyllawan lulaśhancänu'a. Rasunpa, chay lulaśhanwan'a lluy alawaycuśha cananta ćhasquiycunñamari. 
MAT.6.3	Amcunaćhüñatacmi ichá, Tayta Diosllap ñawquillan yanapaycunayqui; ichü maquiqui uycuśhantapis allï maquillayquipis manam yaćhananchu. 
MAT.6.4	Chay pacaläśhacta licä Tayta Diosmi lluypa ñawquin allinpa licaycuśhunqui.
MAT.6.5	“Ñatac Dioswan amam aläjapa limanquichu chay ishcay cära nunacunänu'a. Maynümi nunacunäwan allinpa licachicuyninwan juntunaculcänan wasicunaćhüpis läsacunaćhüpis śhaycapacuycul mañacuypi wañupaculcan. Rasunpa, chay lulaśhanwan'a lluy alawaycuśha cananta ćhasquiycunñam. 
MAT.6.6	Amcunaćhüñatacmi ichá, mañacul'a wasiquita wićhacalcamul śhun'uyquićhu lluy pacaläśhancunäta lisï Taytallayquita mañacunqui. Chay pacaläśhancäta licä Tayta Diosmi lluypa ñawquin allinpa licaycuśhunqui. 
MAT.6.7	Ñatac Diosta mañacul'a ama limaychu yan'al cutipalcul cutipalcul limaśhallayquitá, Diosta mana lisï nunacunanu'a. Chaycuna chaynu mañaculcan ‘Achcacta limaptí Dios uyaliman'am’ nïcänuymi. 
MAT.6.8	Amam paycunanu'a lulapäcunquichu. Manaläpis mañacuptiquim Dios'a yaćhanña ima pishipaculcäśhayquitapis.
MAT.6.9	“Chayurá mañaculcanquiman caynümi:
MAT.6.9	Janay pachäćhu cä Tayta Diosnillá,
MAT.6.9	amllamá altuman juluśha canqui.
MAT.6.10	Gubirnuyqui śhaycamuchun.
MAT.6.10	Janay pachäćhu lulaśhayquinu, cay pachäćhüpis munayniqui lulaśha cachun.
MAT.6.11	Canan muyunpä micuyta uycälillämay. Ama-ari pishiycachillämaychu.
MAT.6.12	Mana allin lulamänïcunäta pampachäśhämannu juchäcunacta pampachaycälillämay.
MAT.6.13	Mana allin lulaycunaman palpapäcunäpä ama-ari caćhaycälillämaychu.
MAT.6.13	Aśhwanpa chaypi licaycälillämay. ˻Ñatac jinantin pachäpis maquillayquićhümi cayan. Amllam cayanqui sumä munayniyücäpis. Amllatacmi wiñay simpripä altuman juluycuśhapis cayanqui. Chaynu callächun˼ nil.
MAT.6.14	Chayurá mana allin lulaśhüniquicunacta pampachaycäliptiquim janay pachäćhu cä Taytayqui Diospis pampachaycälishunqui. 
MAT.6.15	Mana pampachapäcuptiquim ichá mana pampachapäcuśhunquitacchu.
MAT.6.16	“Ñatac ayunal ama lawtïtuculcaychu chay ishcay cära nunacunänu'a. Paycuna micuypi wañüśhanuy taplaycaćhapäcun nunacunawan licachiculcänallanpämi. Rasunpa allinpa licaycuśha canallantá ćhasquiycälinñam. 
MAT.6.17	Amcunaćhüñatacmi ichá umayquicunacta ñächapacalcäliy cärayquicunactapis pa'apacalcäliy 
MAT.6.18	ayunaśhayquita nunacunäman mana tantiachipäcunayquipä. Chaymi ima pacaläśhantapis licä Taytayqui lluypa ñawquin allinpa licaycuśhunqui.
MAT.6.19	“Amatacmi lägaculcanquichu cay pachäćhu cäcunallactá. Chaycunacta puyucunallam ismuycunallam camacan. Suwacunallam yaycul suwapäcun. 
MAT.6.20	Aśhwanpari janay pachäpä lägaculcay. Chayćhu'a manam imaypis puyun'achu, nï ismun'achu, nï suwapis yaycun'achu. 
MAT.6.21	Mayćhümi cäniqui cayan, chayćhümá pinsayniquipis muspayniquipis cayan.
MAT.6.22	“Juc acchi-yupaymi ñawinchic imactapis licachimanchic, tantiachimanchic. Ñawiyu cayal'a, rasunpa allincäta tantiapäcunquimanmi. 
MAT.6.23	Mana ñawiyu cayalćha ichá, mana tantiapäcunquimanchu tutapäćhu cayä-yupaypis. Chaynu tutapäćhu cayal'a ¡maynu maynu yanawyayä tutapäñaćhari cayan!
MAT.6.24	“Manam mayanpis ishcay patruntá sirbinmanchu. Juccätam ćhïninman, juccätam cuyanman; juccätam jamuyanman, juccätam wätanman. Chaynütacmi amcunapis nï Diostawan cäniquita jucllaćhu sirbinquimanchu.
MAT.6.25	“Chayurá niycälic: Ama ‘¿Imactalä micuśhä, imactalä upyaśhä, imawanlä müdacuśhä?’ nil llaquicuyalcaychu. Bïdayquim mas bälin cay micuycäpïtá; aychayquim mas bälin cay müdanapïtá. 
MAT.6.26	Má, pinsaycäliy imaymana pishucunäman. Paycunap manam talpuynin nï cusichan nï pilwan nï imanpis canchu. Jinaptinpis janay pachaćhu cä Taytanchicmi paycunactá micachin. ¿Manachun mas ćhaniyu cay pishucunapïta capäcunqui imatá? 
