GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
GEN.3.9	Masa Ala ye cɛɛ wele k'a fɔ a ye ko: «I be min?» 
GEN.3.10	Cɛɛ y'a jaabi ko: «Ne y'i mankan mɛn yɔrɔɲuman nin na, ne siranna, ka dogo bari ne fari lakolon lo.» 
GEN.3.11	Masa Ala ko: «Jɔn y'a fɔ i ye ko i fari lakolon lo? Ne y'a fɔ i ye ko i kana yiri min deen dumu, i y'o dɔ dumu kɛ?» 
GEN.3.12	Cɛɛ y'a fɔ ko: «I ye muso min di ne ma, ale lo ye yiri nin deen dɔ di ne ma, ne y'a dumu.» 
GEN.3.13	 Masa Ala y'a fɔ muso ye ko: «Mun na i y'o kɛ?» Muso y'a fɔ ko: «Saa le ye ne nigɛ, ne y'a dumu.»
GEN.3.14	Masa Ala y'a fɔ saa ye ko: «I y'o kɛ minkɛ, i dangana begɛnw ni kongosogow bɛɛ cɛma! I bena fofo i kɔnɔbara kan, ka buguri dumu i sii bɛɛ la. 
GEN.3.15	 Ne bena e ni muso kɛ ɲɔgɔn juguw ye, k'i deenw n'a taw kɛ ɲɔgɔn juguw ye. Muso ka deen bena i kungolo ɲɔɲɔ, i ben'a cin a seen na.»
GEN.3.16	Ala y'a fɔ muso ye ko: «Ne bena i ka deen woloko gwɛlɛya kosɔbɛ. I bena tɔɔrɔ wolowaati la. I cɛɛ nigɛ bena kɛ i la, ale bena kɛ i kuntigi ye.»
GEN.3.18	A bena ŋɔni ni binjugu bɔ i kama, suman le bena kɛ i ka balo ye. 
GEN.3.19	I bena i daladumuni sɔrɔ i wasiji la fɔɔ i ka kɔsegi dugukolo kɔnɔ, i bɔra min na. I ye buguri ye, i bena kɔsegi buguri la.»
GEN.3.20	Adama y'a muso tɔgɔ la ko Awa, bari adamadenw bɛɛ bamuso lo.
GEN.3.21	Masa Ala ye golo ta ka delekew dilan Adama n'a muso ye k'u fɛɛrɛbɔ n'o ye.
GEN.3.23	O le y'a to Masa Ala y'a gwɛn ka bɔ Edɛn, yɔrɔɲuman na, ko a ka taga dugukolo sɛnɛ, a bɔra min kɔnɔ. 
GEN.3.24	A ye cɛɛ gwɛn ka bɔ yen tuma min na, a ye mɛlɛkɛ bisigi dɔw sigi yɔrɔɲuman nin kɔrɔn ɲafan fɛ, minw tɔgɔ ko 
GEN.4.1	Adama jɛnna n'a muso Awa ye. Awa ye kɔnɔ ta ka Kayɛn wolo. A ko: «Ne ye dencɛ sɔrɔ Masaba barika la.» 
GEN.4.2	O kɔ, a ye Kayɛn dɔgɔcɛ Abɛli wolo. Abɛli tun ye begɛnmarabaga ye, Kayɛn tun ye sɛnɛkɛla ye.
GEN.4.3	Waati dɔ nana se, Kayɛn y'a ka sɛnɛfɛn dɔw bɔ saraka ye Masaba ye. 
GEN.4.4	 Abɛli y'a ka begɛnw ka deen fɔlɔ dɔw n'u tulu bɔ saraka ye. Masaba sɔnna Abɛli n'a ka saraka la, 
GEN.4.5	nga a ma sɔn Kayɛn n'a ta la. O la, Kayɛn dimina kosɔbɛ, a ɲaa kumuna. 
GEN.4.6	Masaba y'a fɔ Kayɛn ye ko: «Mun na i dimina, mun na i ɲaa kumuna? 
GEN.4.7	N'i ye koɲuman kɛ, i kuun bena kɔrɔta. Nga n'i te koɲuman kɛ, hakɛ yɔrɔ man jan i la. A b'i dɛndɛna, nga e kɔni ka ban.»
GEN.4.9	Masaba y'a fɔ Kayɛn ye ko: «I dɔgɔcɛ Abɛli be min?» Kayɛn y'a jaabi ko: «Ne m'a lɔn. Ne le ye n dɔgɔcɛ kɔlɔsibaga ye wa?» 
GEN.4.10	 Masaba ko: «I ye mun le kɛ? K'i dɔgɔcɛ joli to duguma, a kulekan sera ne ma. 
GEN.4.11	Sisan, dugukolo min y'i dɔgɔnin joli min, i dangana o kan. 
GEN.4.12	N'i ye dugukolo sɛnɛ, i ka suman tena ɲa i bolo tugu. I bena to yaala la tuma bɛɛ dugukolo kan, sigiyɔrɔ tena sɔrɔ i fɛ.» 
GEN.4.13	Kayɛn y'a fɔ Masaba ye ko: «Ne ka jalaki tɔɔrɔ ka bon, ne te se k'o muɲu. 
GEN.4.14	I ye ne gwɛn ka bɔ nin yɔrɔ la bii, ne bena dogo i la. Ne bena kɛ yaalabaga ye dugukolo kan tuma bɛɛ, sigiyɔrɔ tena kɛ n fɛ. Ni mɔgɔ o mɔgɔ ye ne ye, a bena ne faga.» 
GEN.4.15	Masaba y'a fɔ a ye ko: «Ayi. Ni mɔgɔ min ye e Kayɛn faga, a jurusara bena bɔ o tigi la fɔɔ siɲɛ wolonwula.» Masaba ye taamasiɲɛ dɔ kɛ Kayɛn la janko ni mɔgɔ o mɔgɔ y'a ye, o kan'a faga. 
GEN.4.16	O kɔ, Kayɛn bɔra Masaba ɲakɔrɔ ka taga sigi Nɔdi
GEN.4.17	Kayɛn jɛnna n'a ka muso ye, a muso ye kɔnɔ ta ka Enɔki wolo. Kayɛn ye dugu sigi k'a dencɛ tɔgɔ la o dugu kan ko Enɔki.
GEN.4.18	Enɔki ye Iradi wolo. Iradi ye Mewuyayɛli wolo, Mewuyayɛli fana ye Mɛtusayɛli wolo, Mɛtusayɛli ye Lamɛki wolo.
GEN.4.19	Lamɛki ye muso fila furu, kelen tɔgɔ ko Ada, kelen tɔgɔ ko Sila. 
GEN.4.20	Ada ye Yabali wolo. Mɔgɔ minw be begɛnw mara n'u be sigi ka yaala, olu bɛɛ bɛma le ye Yabali ye. 
GEN.4.21	Ale dɔgɔcɛ tɔgɔ ko Yubali. Gɔni ni filefiyɛbagaw bɛɛ bɛma le y'ale ye. 
GEN.4.22	Sila fana ye dencɛ wolo, a tɔgɔ ko Tubalikayɛn. Ale lo tun be zira ni nigɛfɛn sifaw bɛɛ dilan. Tubalikayɛn dɔgɔmuso tɔgɔ ko Naama.
GEN.4.23	Lamɛki y'a fɔ a musow ye ko:
GEN.4.23	«Ada ni Sila, aw ye mɛnni kɛ ne fɛ.
GEN.4.23	Lamɛki musow, aw k'aw tulo malɔ.
GEN.4.23	Ne ye mɔgɔ faga ka n ka mandimi juru sara,
GEN.4.23	ne ye kanbelen faga bari a ye ne bugɔ.
GEN.4.24	nga Lamɛki ta bena sara siɲɛ bi wolonwula ni wolonwula!»
GEN.4.25	Adama jɛnna n'a ka muso ye tugu. A muso ye dencɛ wolo k'a tɔgɔ la ko Sɛti. A ko: «Kayɛn ye Abɛli faga, Ala ye deen wɛrɛ di n ma tugu Abɛli nɔɔ na.»
GEN.4.26	Sɛti fana ye dencɛ sɔrɔ k'a tɔgɔ la ko Enɔsi. O waati la, mɔgɔw y'a daminɛ ka Masaba bato.
GEN.5.1	Loon min na Ala ye mɔgɔ dan, a y'a dan a yɛrɛ jaa la. 
GEN.5.2	 A ye cɛɛ ni muso dan ka barika don u la, k'u tɔgɔ la ko Mɔgɔ u danwaati la.
GEN.5.3	Adama ye saan kɛmɛ ni bi saba sɔrɔ tuma min na, a ye dencɛ dɔ wɛrɛ sɔrɔ, o tun bɔnin be a fɛ, a tun be i n'a fɔ a yɛrɛ. A y'a tɔgɔ la ko Sɛti. 
GEN.5.4	Sɛti wolonin kɔ, Adama ye saan kɛmɛ seegi kɛ. A ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.5	Adama sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni bi saba ye. O kɔ, a sara.
GEN.5.6	Sɛti ye saan kɛmɛ ni duuru sɔrɔ tuma min na, a ye Enɔsi wolo. 
GEN.5.7	Enɔsi wolonin kɔ, Sɛti ye saan kɛmɛ seegi ni wolonwula kɛ. A ye dencɛ ni denmuso wɛrɛw sɔrɔ fana. 
GEN.5.8	Sɛti sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni tan ni fila ye. O kɔ, a sara.
GEN.5.9	Enɔsi ye saan bi kɔnɔntɔn sɔrɔ tuma min na, a ye Kenan wolo. 
GEN.5.10	Kenan wolonin kɔ, Enɔsi ye saan kɛmɛ seegi ani tan ni duuru kɛ, a fana ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.11	Enɔsi sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni duuru ye. O kɔ, a sara.
GEN.5.12	Kenan ye saan bi wolonwula sɔrɔ tuma min na, a ye Maalalɛli wolo. 
GEN.5.13	Maalalɛli wolonin kɔ, Kenan ye saan kɛmɛ seegi ni bi naani kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.14	Kenan sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni tan ye. O kɔ, a sara.
GEN.5.15	Maalalɛli ye saan bi wɔɔrɔ ni duuru sɔrɔ tuma min na, a ye Yerɛdi wolo. 
GEN.5.16	Yerɛdi wolonin kɔ, Maalalɛli ye saan kɛmɛ seegi ni bi saba kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.17	Maalalɛli sii bɛɛ lajɛnnin kɛra saan kɛmɛ seegi ni bi kɔnɔntɔn ni duuru ye. O kɔ, a sara.
GEN.5.18	Yerɛdi ye saan kɛmɛ ni bi wɔɔrɔ ni fila sɔrɔ tuma min na, a ye Enɔki wolo. 
GEN.5.19	Enɔki wolonin kɔ, Yerɛdi ye saan kɛmɛ seegi kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.20	Yerɛdi sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni bi wɔɔrɔ ni fila ye. O kɔ, a sara.
GEN.5.21	Enɔki ye saan bi wɔɔrɔ ni duuru sɔrɔ tuma min na, a ye Matusalɛmu wolo. 
GEN.5.22	Matusalɛmu wolonin kɔ, Enɔki tora Alaɲasiran na saan kɛmɛ saba kɔnɔ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.23	Enɔki sii bɛɛ lajɛnnin kɛra saan kɛmɛ saba ani bi wɔɔrɔ ni duuru ye. 
GEN.5.24	 Enɔki tora o Alaɲasiran na, loon dɔ a ma ye tugu, bari Ala y'a ta.
GEN.5.25	Matusalɛmu ye saan kɛmɛ ni bi seegi ni wolonwula sɔrɔ tuma min na, a ye Lamɛki wolo. 
GEN.5.26	Lamɛki wolonin kɔ, Matusalɛmu ye saan kɛmɛ wolonwula ni bi seegi ni fila kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.27	Matusalɛmu sii bɛɛ lajɛnnin kɛra saan kɛmɛ kɔnɔntɔn ni bi wɔɔrɔ ni kɔnɔntɔn ye. O kɔ, a sara.
GEN.5.28	Lamɛki ye saan kɛmɛ ni bi seegi ni fila sɔrɔ tuma min na, a ye dencɛ dɔ wolo. 
GEN.5.29	A y'a tɔgɔ la ko Nuhun.
GEN.5.30	Nuhun wolonin kɔ, Lamɛki ye saan kɛmɛ duuru ni bi kɔnɔntɔn ni duuru kɛ, a ye dencɛ ni denmuso wɛrɛw sɔrɔ. 
GEN.5.31	Lamɛki sii bɛɛ lajɛnnin kɛra saan kɛmɛ wolonwula ni bi wolonwula ni wolonwula ye. O kɔ, a sara.
GEN.5.32	Nuhun ye saan kɛmɛ duuru sɔrɔ, ka sɔrɔ ka Sɛmu ni Kamu ani Zafɛti wolo.
GEN.6.2	o tuma na, batofɛnw deenw y'a ye ko mɔgɔw ka denmusow cɛɛ ka ɲi. U tun be minw fɛ, u ye olu furu. 
GEN.6.3	Masaba ko: «Ne tena adamaden to nii na ka waatijan kɛ tugu a ka filiw kama, bari mɔgɔ dama lo. U sii tena tɛmɛ saan kɛmɛ ni mugan kan tugu.»
GEN.6.6	o digir'a la, a nimisara mɔgɔw danko la dugukolo kan, a dusu kasira kosɔbɛ. 
GEN.6.7	O la, a ko: «Ne ye fɛɛn minw dan, ne bena olu halaki k'u ban dugukolo kan, k'a daminɛ mɔgɔ ma ka ta'a bila begɛnw ni fɛɛn fofotaw la, ani kɔnɔw, bari ne nimisara u danko la.»
GEN.6.8	Nga Nuhun koo diyara Masaba ye.
GEN.6.9	Nuhun tun ye mɔgɔtilennin ye, a jalakibali tun lo a ka waati mɔgɔw cɛma. A tun be siran Ala ɲa. 
GEN.6.10	Nuhun ye dencɛ saba wolo: Sɛmu ni Kamu ani Zafɛti.
GEN.6.11	Diɲɛ mɔgɔw tun ka jugu Ala ɲakɔrɔ, koo farimanw tun be kɛ diɲɛ yɔrɔ bɛɛ la. 
GEN.6.12	Ala y'a ye ko diɲɛ juguyara, bari adamadenw bɛɛ tun ye siraɲuman bila ka to ka juguya le kɛ dugukolo kan.
GEN.6.13	O la, Ala y'a fɔ Nuhun ye ko: «Ne bena adamadenw bɛɛ halaki, bari diɲɛ fanin be u ka fariyakow la. Ne kɔni bena olu ni dugukolo halaki ɲɔgɔn fɛ.
GEN.6.14	«I ka kurunba dilan i yɛrɛ ye ni sipɛrɛyiri ye, ka bondenninw kɛ a kɔnɔ, ani k'a kɛnɛmala ni kɔnɔna mɔn ni tulu dɔ ye. 
GEN.6.15	A dilancogo filɛ nin ye: a jaɲa ka kɛ mɛtɛrɛ kɛmɛ ni bi duuru ye, a boɲa ka kɛ mɛtɛrɛ mugan ni duuru ye, a jaɲa sanfɛ, o ka kɛ mɛtɛrɛ tan ni duuru ye. 
GEN.6.16	I ka sangabon kɛ kurun nin sanfɛ, mɛtɛrɛ tilan ka sɔrɔ a ni kurun cɛ. I ka daa bɔ kurun faan kelen na, ka kurun kɔnɔna boon kɛ sangaso saba ye. 
GEN.6.17	Ne ben'a kɛ jiba be na dugukolo kan ka diɲɛ kɔnɔ fɛɛnw bɛɛ halaki, fɛɛn minw be ninakili. Dugukolo kan fɛɛnw bɛɛ bena sa. 
GEN.6.18	Nga ne bena bɛn ni ele ye.
GEN.6.18	«E ka don kurun kɔnɔ n'i muso, an'i dencɛw n'i biranmusow ye. 
GEN.6.19	I ka fɛɛn ɲanaman sifaw bɛɛ fila fila minɛ ka don n'u ye kurun kɔnɔ, cɛman ni musoman, janko u ka kisi. 
GEN.6.20	Kɔnɔw, ni begɛnw, ani fɛɛn minw bɛɛ be fofo dugukolo kan, u sifaw bɛɛ fila fila bena na i fɛ janko u ka kisi. 
GEN.6.21	I ka dumunifɛn sifaw bɛɛ dɔ ta k'o mara i fɛ, o ka kɛ e ni olu ka dumuni ye.»
GEN.7.1	Masaba y'a fɔ Nuhun ye ko: «Don kurun kɔnɔ, e n'i ka somɔgɔw bɛɛ, bari ne y'a ye ko i tilennin lo bii mɔgɔw cɛma. 
GEN.7.2	Seen naani fɛɛn minw ka ɲi ne fɛ, i ka cɛman wolonwula ni musoman wolonwula minɛ olu sifa bɛɛ la. Minw ma ɲi ne fɛ, i ka fila fila minɛ olu sifaw bɛɛ la fana, cɛman kelen ni musoman kelen. 
GEN.7.3	I ka cɛman wolonwula ni musoman wolonwula bɔ kɔnɔ sifaw bɛɛ la fana janko u sii kana tunu dugukolo kan. 
GEN.7.4	Bari yanni tile wolonwula, ne ben'a kɛ sanji be ben dugukolo kan tile bi naani kɔnɔ. Ne ye fɛɛn ɲanaman minw bɛɛ dan, ne bena olu bɛɛ halaki k'u ban dugukolo kan.»
GEN.7.5	Masaba ye min fɔ Nuhun ye, a y'o bɛɛ kɛ.
GEN.7.6	Nuhun tun ye saan kɛmɛ wɔɔrɔ sɔrɔ sanni jiba ka na dugukolo kan. 
GEN.7.7	 Nuhun n'a muso, n'a dencɛw ani a biranmusow donna kurun kɔnɔ janko ka se ka kisi jiba ma. 
GEN.7.8	Seen naani fɛɛn minw ka ɲi ne fɛ, ni minw ma ɲi, ani kɔnɔw, ni fɛɛn minw be fofo dugukolo kan, 
GEN.7.9	u bɛɛ fila fila, cɛman ni musoman, donna Nuhun fɛ kurun kɔnɔ i n'a fɔ Ala tun y'a fɔ Nuhun ye cogo min na. 
GEN.7.10	Tile wolonwula tɛmɛnin kɔ, jiba nana dugukolo kan.
GEN.7.12	Sanji nana dugukolo kan tile bi naani kɔnɔ.
GEN.7.13	O loon kelen na, Nuhun n'a dencɛ Sɛmu ni Kamu ani Zafɛti, ani a muso, n'a biranmuso saba donna kurun kɔnɔ. 
GEN.7.14	U donna ni kongosogo sifa bɛɛ ye, ani fɛɛn minw be fofo dugukolo kan, olu sifa bɛɛ, ani kɔnɔw sifa bɛɛ, gaman be fɛɛn minw bɛɛ fɛ. 
GEN.7.15	Ninakili be fɛɛn o fɛɛn na, u bɛɛ fila fila donna kurun kɔnɔ Nuhun fɛ. 
GEN.7.16	Fɛɛn sifa bɛɛ cɛman n'u musoman donna i ko Ala tun y'a fɔ Nuhun ye cogo min na.
GEN.7.16	O kɔ, Masaba ye kurun daa tugu.
GEN.7.17	Jiba nin nana dugukolo kan tile bi naani kɔnɔ. Jii cayara ka kurun kɔrɔta sanfɛ. A tora jii sanfɛ. 
GEN.7.18	Jii boɲana dugukolo kan kosɔbɛ, kurun tora jii sanfɛ. 
GEN.7.19	Jii boɲana dugukolo kan kosɔbɛ fɔɔ ka diɲɛ kɔnɔ kulujanjanw bɛɛ tunu. 
GEN.7.20	Jii ye kuluw tunu fɔɔ ka se mɛtɛrɛ wolonwula ni kɔ ma. 
GEN.7.21	Nimanfɛn minw bɛɛ tun be dugukolo kan, olu bɛɛ sara: kɔnɔw, begɛnw, kongosogow, ani nimanfɛn fɛɛn o fɛɛn be dugukolo kan, ani adamadenw bɛɛ.
GEN.7.22	Fɛɛn o fɛɛn be dugukolo janin kan n'u be ninakili, olu bɛɛ sara. 
GEN.7.23	Nimanfɛn minw bɛɛ tun be dugukolo kan, Ala y'u bɛɛ halaki pewu: mɔgɔw, begɛnw, fɛɛn fofotaw, ani kɔnɔw bɛɛ halakira ka ban dugukolo kan. Nuhun ani minw tun be kurun kɔnɔ n'a ye, olu dama le kisira.
