GEN.1.1	Nang pasimula ay nilikha ng Diyos ang langit at ang lupa;
GEN.1.20	Sinabi ng Diyos: “Magkaroon sa tubig ng maraming bagay na may buhay, at magkaroon din ng mga ibon sa himpapawid.” 
GEN.1.21	Nilikha ng Diyos ang mga dambuhala sa dagat, at lahat ng bagay na nabubuhay sa tubig, gayundin ang lahat ng uri ng ibon. Nasiyahan ang Diyos nang ito'y mamasdan. 
GEN.1.22	Pinagpala niya ang mga ito at sinabi: “Magpakarami ang lahat ng bagay na nabubuhay sa tubig at punuin ang karagatan; magpakarami rin ang mga ibon at punuin ang daigdig.” 
GEN.1.23	Lumipas ang gabi, at sumapit ang umaga—iyon ang ikalimang araw.
GEN.1.24	Sinabi ng Diyos: “Magkaroon ng lahat ng uri ng hayop sa lupa—maaamo, maiilap, malalaki at maliliit.” At gayon nga ang nangyari. 
GEN.1.25	Ginawa nga niya ang lahat ng ito, at nasiyahan siya nang ito'y kanyang mamasdan.
GEN.1.26	Pagkatapos,
GEN.1.27	Nilalang
GEN.1.28	at sila'y pinagpala niya. Sinabi niya, “Magpakarami kayo at punuin ninyo ng inyong mga anak ang buong daigdig, at kayo ang mamahala nito. Binibigyan ko kayo ng kapangyarihan sa mga isda sa tubig, sa mga ibon sa himpapawid, at sa lahat ng mga hayop na nasa ibabaw ng lupa. 
GEN.1.29	Ibinibigay ko rin sa inyo ang lahat ng uri ng halamang nagkakabinhi at mga bungangkahoy bilang pagkain ninyo. 
GEN.1.30	Ang lahat ng halamang luntian ay ibinibigay ko naman sa lahat ng hayop sa ibabaw ng lupa at sa lahat ng mga ibon.” At ito nga ang nangyari. 
GEN.1.31	Pinagmasdan ng Diyos ang lahat niyang ginawa, at lubos siyang nasiyahan. Lumipas ang gabi, at sumapit ang umaga—iyon ang ikaanim na araw.
GEN.2.1	Nilikha nga ng Diyos ang langit at ang lupa at ang lahat ng bagay na naroroon. 
GEN.2.2	Tinapos
GEN.2.3	Pinagpala niya ang ikapitong araw at itinuring itong banal, sapagkat sa araw na ito siya nagpahinga matapos likhain ang lahat. 
GEN.2.4	Ganito ang pagkalikha sa langit at sa lupa.
GEN.2.4	Nang likhain ng 
GEN.2.5	wala pang anumang halaman o pananim sa lupa, sapagkat hindi pa nagpapaulan noon ang 
GEN.2.6	Ngunit mayroon nang bukal ng tubig na dumidilig sa kapatagan sa lupa.
GEN.2.7	Pagkatapos,
GEN.2.8	Gumawa ang 
GEN.2.9	Pinatubo
GEN.2.10	Umaagos noon mula sa Eden ang isang ilog na dumidilig sa halamanan. Paglabas doon, ito'y nahahati sa apat na sanga. 
GEN.2.11	Ang una na kung tawagi'y Ilog Pishon ay umaagos sa lupain ng Havila. 
GEN.2.12	Lantay ang ginto roon at marami ring bedelio at batong onise. 
GEN.2.13	Ang ikalawang sanga ng ilog na tinawag namang Gihon ay umaagos sa lupain ng Etiopia.
GEN.2.14	Ilog Tigris naman ang tawag sa ikatlong sanga, at umaagos naman ito sa silangan ng Asiria. Ang ikaapat na sanga ng ilog ay ang Eufrates.
GEN.2.15	Inilagay ng 
GEN.2.16	Sinabi niya sa tao, “Makakain mo ang alinmang bungangkahoy sa halamanan, 
GEN.2.17	maliban sa bunga ng punongkahoy na nagbibigay ng kaalaman tungkol sa mabuti at masama. Huwag na huwag mong kakainin ang bungang iyon, sapagkat sa araw na kainin mo iyon ay mamamatay ka.”
GEN.2.18	Matapos gawin ang lahat ng ito, sinabi ng 
GEN.2.19	Kaya, mula sa lupa ay lumikha ang 
GEN.2.20	Ang tao nga ang nagbigay ng pangalan sa lahat ng ibon sa himpapawid at hayop sa parang. Ngunit wala isa man sa mga ito ang nababagay na makasama at makatulong niya.
GEN.2.21	Kaya't pinatulog ng 
GEN.2.22	Ang tadyang na iyo'y ginawa niyang isang babae, at dinala niya ito sa lalaki. 
GEN.2.23	Sinabi ng lalaki,
GEN.2.23	“Sa wakas, narito ang isang tulad ko,
GEN.2.23	laman ng aking laman, buto ng aking buto;
GEN.2.23	babae ang itatawag sa kanya, sapagkat sa lalaki
GEN.2.24	Ito
GEN.2.25	Kapwa hubad noon ang lalaki at ang babae, ngunit hindi sila nahihiya.
GEN.3.1	Ang
GEN.3.2	Sumagot ang babae, “Maaari naming kainin ang anumang bunga sa halamanan, 
GEN.3.3	huwag lamang ang bunga ng puno na nasa gitna niyon. Sinabi ng Diyos na huwag naming kakainin ni hihipuin man ang bunga nito; kung kami raw ay kakain nito, mamamatay kami.”
GEN.3.4	Ngunit sinabi ng ahas, “Hindi totoo iyan, hindi kayo mamamatay! 
GEN.3.5	Sinabi lang iyan ng Diyos, sapagkat alam niyang kung kakain kayo ng bunga niyon ay makakaunawa kayo. Kayo'y magiging parang Diyos at malalaman ninyo ang mabuti at masama.”
GEN.3.6	Ang punongkahoy ay napakaganda sa paningin ng babae at sa palagay niya'y masarap ang bunga nito. Naisip din niya na kahanga-hanga ang maging marunong, kaya't pumitas siya ng bunga at kumain nito. Binigyan niya ang kanyang asawa, at kumain din ito. 
GEN.3.7	Nagkaroon nga sila ng pagkaunawa matapos kumain. Noon nila nalamang sila'y hubad, kaya kumuha sila ng mga dahon ng igos, pinagtahi-tahi nila ang mga ito at ginawang panakip sa katawan.
GEN.3.8	Nang dapit-hapon na, narinig nilang naglalakad sa halamanan ang 
GEN.3.9	Ngunit tinawag niya ang lalaki at tinanong, “Saan ka naroon?”
GEN.3.10	“Natakot po ako nang marinig kong kayo'y nasa halamanan; nagtago po ako sapagkat ako'y hubad,” sagot ng lalaki.
GEN.3.11	Nagtanong muli ang Diyos, “Sinong maysabi sa iyong hubad ka? Bakit, kumain ka ba ng bungang ipinagbabawal ko?”
GEN.3.12	“Kasi, pinakain po ako ng babaing ibinigay ninyo sa akin,” tugon ng lalaki.
GEN.3.13	“Bakit
GEN.3.13	“Mangyari po'y nilinlang ako ng ahas, kaya ako natuksong kumain,” sagot naman nito.
GEN.3.14	At sinabi ng 
GEN.3.14	“Sa iyong ginawa'y may parusang dapat,
GEN.3.14	na ikaw lang sa lahat ng hayop ang magdaranas;
GEN.3.14	mula ngayon ikaw ay gagapang,
GEN.3.14	at ang pagkain mo'y alikabok lamang.
GEN.3.15	Kayo
GEN.3.15	binhi mo't binhi niya'y lagi kong paglalabanin.
GEN.3.15	Ang binhi niya ang dudurog sa iyong ulo,
GEN.3.15	at sa sakong niya'y ikaw ang tutuklaw.”
GEN.3.16	Sa babae nama'y ito ang sinabi:
GEN.3.16	“Sa pagbubuntis mo'y hirap ang daranasin,
GEN.3.16	at sa panganganak sakit ay titiisin;
GEN.3.16	ang asawang lalaki'y iyong nanasain,
GEN.3.16	pasasakop ka sa kanya't siya mong susundin.”
GEN.3.17	Ito
GEN.3.17	“Dahil nakinig ka sa iyong asawa,
GEN.3.17	nang iyong kainin ang ipinagbawal kong bunga;
GEN.3.17	dahil dito'y sinusumpa ko ang lupa,
GEN.3.17	sa hirap ng pagbubungkal, pagkain mo'y magmumula.
GEN.3.18	Mga damo at tinik ang iyong aanihin,
GEN.3.18	halaman sa gubat ang iyong kakainin;
GEN.3.19	sa pagod at pawis pagkain mo'y manggagaling
GEN.3.19	maghihirap ka hanggang sa malibing.
GEN.3.19	Dahil sa alabok, doon ka nanggaling,
GEN.3.19	sa lupang alabok ay babalik ka rin.”
GEN.3.20	Eva
GEN.3.21	Ang mag-asawa'y iginawa niya ng mga damit na yari sa balat ng hayop.
GEN.3.22	Pagkatapos,
GEN.3.23	Kaya, pinalayas niya sa halamanan ng Eden ang tao upang magbungkal ng lupang kanyang pinagmulan.
GEN.3.24	Pinalayas nga siya ng Diyos. At sa dakong silangan ng halamanan ng Eden ay naglagay ang Diyos ng bantay na kerubin. Naglagay rin siya ng espadang nagniningas na umiikot sa lahat ng panig upang hindi malapitan ninuman ang punongkahoy ng buhay.
GEN.4.1	Sinipingan ni Adan ang kanyang asawa at ito'y nagdalang-tao. Nang isilang ang kanyang panganay na lalaki ay sinabi ni Eva: “Nagkaroon ako ng anak na lalaki sa tulong ni Yahweh.” Kaya Cain
GEN.4.2	Sinundan si Cain ng isa pang anak na lalaki, at Abel naman ang ipinangalan dito. Naging pastol ito at si Cain naman ay naging magsasaka. 
GEN.4.3	Dumating ang panahon na si Cain ay naghandog kay Yahweh ng ani niya sa bukid. 
GEN.4.4	Kinuha
GEN.4.5	ngunit hindi niya kinalugdan si Cain at ang handog nito. Dahil dito, hindi mailarawan ang mukha ni Cain sa tindi ng galit. 
GEN.4.6	Kaya't sinabi ni Yahweh, “Anong ikinagagalit mo, Cain? Bakit ganyan ang mukha mo? 
GEN.4.7	Kung mabuti ang ginawa mo, dapat kang magsaya. Kung masama naman, ang kasalana'y tulad ng mabangis na hayop na laging nag-aabang upang lapain ka. Nais nitong pagharian ka. Kaya't kailangang mapaglabanan mo ito.”
GEN.4.8	Isang
GEN.4.9	Tinanong ni Yahweh si Cain, “Nasaan ang kapatid mong si Abel?”
GEN.4.9	Sumagot siya, “Hindi ko alam. Bakit, ako ba'y tagapag-alaga ng aking kapatid?”
GEN.4.10	At
GEN.4.11	Sinusumpa kita ngayon, at hindi mo na maaaring bungkalin ang lupa dahil dumanak doon ang dugo ng kapatid mo na iyong pinaslang. 
GEN.4.12	Bungkalin mo man ang lupa upang tamnan, hindi ka mag-aani; wala kang matitirhan at magiging lagalag ka sa daigdig.”
GEN.4.13	“Napakabigat namang parusa ito!” sabi ni Cain kay Yahweh. 
GEN.4.14	“Ngayong pinapalayas mo ako sa lupaing ito upang malayo sa iyong paningin, at maglagalag sa daigdig, papatayin ako ng sinumang makakakita sa akin.”
GEN.4.15	“Hindi,” sagot ni Yahweh. “Paparusahan ng pitong ibayo ang sinumang papatay sa iyo.” Kaya't nilagyan ni Yahweh ng palatandaan si Cain upang maging babala sa sinuman na ito'y hindi dapat patayin. 
GEN.4.16	Iniwan ni Cain si Yahweh at tumira siya sa lupain ng Nod, isang lugar sa silangan ng Eden.
GEN.4.17	Sinipingan ni Cain ang kanyang asawa, nagdalang-tao ito at nagkaanak ng isang lalaki na pinangalanang Enoc. Pagkatapos, nagtayo si Cain ng isang lunsod at ito'y tinawag na Enoc, bilang alaala sa kanyang anak. 
GEN.4.18	Si Enoc ang ama ni Irad na ama ni Mehujael. Anak naman nito si Metusael na ama ni Lamec. 
GEN.4.19	Nag-asawa si Lamec ng dalawa, sina Ada at Zilla. 
GEN.4.20	Naging anak ni Ada si Jabal, ang ninuno ng mga nagpapastol ng mga baka at ng mga tumitira sa tolda. 
GEN.4.21	Kapatid nito si Jubal na siya namang ninuno ng mga manunugtog ng alpa at plauta. 
GEN.4.22	Naging anak naman ni Zilla si Tubal-cain na ninuno ng lahat ng panday ng mga kagamitang tanso at bakal. Si Tubal-cain ay may kapatid na babae, si Naama. 
GEN.4.23	Sinabi ni Lamec sa dalawa niyang asawa:
GEN.4.23	“Dinggin ninyo itong aking sasabihin,
GEN.4.23	Ada at Zilla, mga asawa kong giliw;
GEN.4.23	may pinatay akong isang kabataan,
GEN.4.23	sapagkat ako'y kanyang sinugatan.
GEN.4.24	Kung saktan si Cain, ang parusang gawad sa gagawa nito'y pitong patong agad;
GEN.4.24	ngunit kapag ako ang siyang sinaktan, pitumpu't pitong patong ang kaparusahan.”
GEN.4.25	Muling sinipingan ni Adan ang kanyang asawa, at ito'y nanganak ng isa pang lalaki. Sinabi ng ina, “Binigyan ako ng Diyos ng kapalit ni Abel na pinatay ni Cain;” at ito'y tinawag niyang Set.
GEN.4.26	Si Set ang ama ni Enos. Noon nagsimulang tumawag sa pangalan ni Yahweh ang mga tao sa kanilang pagsamba.
GEN.5.1	Ito
GEN.5.2	Sila'y
GEN.5.3	Si Adan ay 130 taon nang maging anak niya si Set na kanyang kalarawan. 
GEN.5.4	Nabuhay pa siya nang walong daang taon, at nagkaroon pa ng mga anak na lalaki't babae. 
GEN.5.5	Namatay siya sa gulang na 930 taon.
GEN.5.6	Si Set ay 105 taon nang maging anak niya si Enos. 
GEN.5.7	Nabuhay pa siya nang 807 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.8	Namatay siya sa gulang na 912 taon.
GEN.5.9	Siyamnapung taon naman si Enos nang maging anak niya si Kenan. 
GEN.5.10	Nabuhay pa siya nang 815 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.11	Namatay siya sa gulang na 905 taon.
GEN.5.12	Si Kenan naman ay pitumpung taon nang maging anak si Mahalalel. 
GEN.5.13	Nabuhay pa si Kenan nang 840 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.14	Namatay siya sa gulang na 910 taon.
GEN.5.15	Animnapu't limang taon si Mahalalel nang maging anak si Jared. 
GEN.5.16	Nabuhay pa si Mahalalel nang 830 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.17	Namatay siya sa gulang na 895 taon.
GEN.5.18	Si Jared ay 162 nang maging anak niya si Enoc. 
GEN.5.19	Nabuhay pa si Jared nang 800 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.20	Namatay siya sa gulang na 962 taon.
GEN.5.21	Animnapu't limang taon naman si Enoc nang maging anak niya si Matusalem. 
GEN.5.22	Tatlong daang taon pang nabuhay si Enoc na kasama ang Diyos, at nagkaroon ng iba pang mga anak. 
GEN.5.23	Umabot siya nang 365 taon, 
GEN.5.24	at
GEN.5.25	Si Matusalem ay 187 taon nang maging anak niya si Lamec. 
GEN.5.26	Nabuhay pa si Matusalem nang 782 taon at nagkaroon din ng iba pang mga anak. 
GEN.5.27	Namatay siya sa gulang na 969 na taon.
GEN.5.28	Si Lamec naman ay 182 taon nang magkaroon ng anak. 
GEN.5.29	Sinabi niya, “Mula sa lupang ito na isinumpa ni Yahweh, ipinanganak ang lulunas sa lahat ng ating mga pagpapagal at paghihirap.” Kaya't Noe
GEN.5.30	Nabuhay pa si Lamec nang 595 taon at nagkaroon din siya ng iba pang mga anak. 
GEN.5.31	Namatay siya sa gulang na 777 taon.
GEN.5.32	Si Noe nama'y 500 na nang maging anak niya sina Shem, Ham at Jafet.
GEN.6.1	Napakarami
GEN.6.2	Nang makita ng mga anak ng Diyos
GEN.6.3	Sinabi ni Yahweh, “Hindi ko ipapahintulot na mabuhay nang habang panahon ang tao, sapagkat siya'y makalaman. Hindi na lalampas sa 120 taon ang kanyang buhay sa daigdig.” 
GEN.6.4	Nang
GEN.6.5	Nakita
GEN.6.6	Kaya't labis na ikinalungkot ni Yahweh na nilikha pa niya ang tao. 
GEN.6.7	Sinabi niya, “Lilipulin ko ang lahat ng taong aking nilalang. Lilipulin ko rin ang lahat ng hayop at mga ibon. Ikinalulungkot kong nilalang ko pa ang mga ito.” 
GEN.6.8	Ngunit si Noe ay naging kalugud-lugod kay Yahweh.
GEN.6.9	Ito
GEN.6.10	Siya'y may tatlong anak na lalaki, sina Shem, Ham at Jafet. 
GEN.6.11	Maliban kay Noe, masasama ang lahat ng tao sa paningin ng Diyos at laganap ang karahasan sa lahat ng dako. 
GEN.6.12	Ito ang kalagayang nakita ng Diyos sa buong daigdig; namumuhay sa kasamaan ang lahat ng tao.
GEN.6.13	Sinabi ng Diyos kay Noe, “Napagpasyahan ko nang lipulin ang lahat ng tao sa daigdig. Umabot na sa sukdulan ang kanilang kasamaan. Gugunawin ko sila kasama ng daigdig. 
GEN.6.14	Kaya gumawa ka ng isang malaking barko na yari sa kahoy na sipres. Lagyan mo ito ng mga silid at pahiran mo ng alkitran ang loob at labas nito. 
GEN.6.15	Ang barkong gagawin mo ay 135 metro ang haba, 22 metro ang luwang, at 13.5 metro ang taas. 
GEN.6.16	Bubungan mo ito at lagyan ng kalahating metrong pagitan mula sa bubong
GEN.6.17	Palulubugin ko sa tubig ang buong daigdig at malilipol ang lahat ng may buhay sa balat ng lupa. 
GEN.6.18	Ngunit ako'y gagawa ng kasunduan natin: Isama mo ang iyong asawa at mga anak na lalaki, pati mga asawa nila, at pumasok kayo sa barko. 
GEN.6.19	Magsakay ka ng isang lalaki at isang babae ng bawat uri ng hayop at ibon upang magpatuloy ang lahi nila. 
GEN.6.20	Magsakay ka rin ng tig-iisang pares sa bawat uri ng ibon at hayop at mga gumagapang sa lupa upang magpatuloy rin ang lahi ng mga ito. 
GEN.6.21	Maglaan ka ng lahat ng uri ng pagkain para sa inyo at sa kanila.” 
GEN.6.22	At
GEN.7.1	Sinabi ni Yahweh kay Noe, “Pumasok kayong mag-anak sa barko. Sa lahat ng tao'y ikaw lamang ang nakita kong namumuhay ng matuwid. 
GEN.7.2	Magdala ka ng pitong pares sa bawat hayop na malinis, at isang pares naman sa di-malinis. 
GEN.7.3	Pitong pares din sa bawat uri ng ibon ang iyong dadalhin. Gawin mo ito upang magpatuloy ang kanilang lahi sa balat ng lupa. 
GEN.7.4	Pagkaraan ng isang linggo, pauulanin ko nang apatnapung araw at apatnapung gabi upang lipulin ang lahat ng aking nilikha sa daigdig.” 
GEN.7.5	At ginawa nga ni Noe ang bawat iniutos ni Yahweh.
GEN.7.6	Si Noe ay 600 taon nang bumaha sa daigdig. 
GEN.7.7	Pumasok
GEN.7.8	Sa bawat uri ng hayop, malinis o hindi, sa bawat uri ng ibon at maliliit na hayop, 
GEN.7.9	ay nagsama siya sa barko ayon sa utos ng Diyos. 
GEN.7.10	Pagkaraan ng pitong araw, bumaha nga sa buong daigdig.
GEN.7.11	Si
GEN.7.12	Bumuhos ang ulan sa loob ng apatnapung araw at apatnapung gabi. 
GEN.7.13	Pumasok noon sa barko si Noe at ang kanyang asawa, kasama ang kanilang tatlong anak na lalaki na sina Shem, Ham at Jafet at ang kani-kanilang asawa. 
GEN.7.14	Pinapasok din niya ang bawat uri ng hayop—mailap at maamo, lumalakad at gumagapang sa lupa, at bawat uri ng ibon. 
GEN.7.15	Isang lalaki at isang babae ng bawat may buhay ang isinama ni Noe, 
GEN.7.16	ayon sa utos ng Diyos. Pagkatapos, isinara ni Yahweh ang pinto ng barko.
GEN.7.17	Apatnapung araw na bumaha sa daigdig. Lumaki ang tubig at lumutang ang barko. 
GEN.7.18	Palaki nang palaki ang tubig habang palutang-lutang naman ang barko. 
GEN.7.19	Patuloy pang lumaki ang tubig hanggang sa lumubog ang lahat ng matataas na bundok, 
GEN.7.20	at tumaas pa nang halos pitong metro sa taluktok ng mga bundok. 
GEN.7.21	Namatay ang bawat may buhay sa lupa—mga ibon, maaamo at maiilap na mga hayop, lahat ng gumagapang sa lupa, at lahat ng tao. 
GEN.7.22	Ang lahat ng may hininga sa ibabaw ng lupa ay namatay. 
GEN.7.23	Ang mga tao at mga hayop sa daigdig ay nilipol ng Diyos, maliban kay Noe at sa kanyang mga kasama sa barko. 
GEN.7.24	Nagsimulang bumabâ ang tubig pagkatapos ng 150 araw.
GEN.8.1	Hindi nawaglit sa isipan ng Diyos si Noe at ang lahat ng hayop na kasama niya sa malaking barko. Kaya't pinaihip niya ang hangin, at nagsimulang humupa ang tubig. 
GEN.8.2	Huminto ang mga bukal at tumigil ang pagbuhos ng ulan. 
GEN.8.3	Patuloy na humupa ang tubig, at pagkaraan ng 150 araw ay mababa na ang baha. 
GEN.8.4	Sumadsad ang barko sa Bundok ng Ararat noong ikalabimpitong araw ng ikapitong buwan. 
GEN.8.5	Patuloy ang paghupa ng tubig at nang unang araw ng ikasampung buwan, lumitaw ang taluktok ng mga bundok.
GEN.8.6	Pagkalipas ng apatnapung araw, binuksan ni Noe ang bintana ng barko na kanyang ginawa. 
GEN.8.7	Pinalipad niya ang isang uwak at ito'y nagpabalik-balik hanggang matuyo ang tubig sa lupa. 
GEN.8.8	Pagkatapos nito, pinalipad naman niya ang isang kalapati upang tingnan kung wala nang tubig. 
GEN.8.9	Palibhasa'y laganap pa ang tubig, hindi makalapag ang kalapati, kaya't nagbalik ito at muling ipinasok ni Noe sa barko. 
GEN.8.10	Pitong araw pang naghintay si Noe, at pagkatapos ay muli niyang pinalipad ang kalapati. 
GEN.8.11	Pagbalik nito kinagabihan, ito'y may tangay nang sariwang dahon ng olibo. Kaya't natiyak ni Noe na kati na ang tubig. 
GEN.8.12	Nagpalipas ng pitong araw si Noe saka pinalipad muli ang kalapati. Hindi na ito nagbalik.
GEN.8.13	Noon ay 601 taóng gulang na si Noe. Nang unang araw ng unang buwan, inalis ni Noe ang takip ng barko at nakita niyang natutuyo na ang lupa. 
GEN.8.14	Nang ikadalawampu't pitong araw ng ikalawang buwan, tuyung-tuyo na ang lupa.
GEN.8.15	Sinabi ng Diyos kay Noe, 
GEN.8.16	“Lumabas ka na sa barko kasama ng iyong asawa, mga anak at mga manugang. 
GEN.8.17	Palabasin mo na rin ang lahat ng mga hayop na kasama mo—maamo at mailap, gumagapang at lumalakad sa lupa, at pati ang mga ibon. Hayaan mo silang dumami at manirahan sa buong daigdig.” 
GEN.8.18	At lumabas na nga si Noe at ang kanyang asawa, mga anak at mga manugang. 
GEN.8.19	Gayundin, sunod-sunod na lumabas ang lahat ng hayop, mailap at maamo, lahat ng gumagapang at lumalakad, pati ang mga ibon ayon sa kani-kanilang uri.
GEN.8.20	Si Noe ay nagtayo ng altar para kay Yahweh. Kumuha siya ng isa sa bawat malinis na hayop at ibon, at sinunog bilang handog. 
GEN.8.21	Nang maamoy ni Yahweh ang mabangong samyo nito, sinabi niya sa sarili, “Hindi ko na susumpain ang lupa dahil sa gawa ng tao bagama't alam kong masama ang kanyang isipan mula sa kanyang kabataan. Hindi ko na lilipuling muli ang anumang may buhay kagaya ng ginawa ko ngayon.
GEN.8.22	Hanggang naririto't buo ang daigdig,
GEN.8.22	tagtanim, tag-ani, palaging sasapit;
GEN.8.22	tag-araw, tag-ulan, tag-init, taglamig,
GEN.8.22	ang araw at gabi'y hindi mapapatid.”
GEN.9.1	Si
GEN.9.2	Matatakot sa inyo ang lahat ng hayop, pati mga ibon, ang lahat ng gumagapang sa lupa at ang mga isda. Ang lahat ng ito ay inilalagay ko sa ilalim ng inyong kapangyarihan. 
GEN.9.3	Gaya ng mga halamang luntian na inyong kinakain, lahat ng mga ito'y maaari na ninyong kainin. 
GEN.9.4	Huwag
GEN.9.5	Mananagot ang sinumang papatay sa inyo, maging ito'y isang hayop. Pagbabayarin ko ang sinumang taong papatay ng kanyang kapwa.
GEN.9.6	Sinumang
GEN.9.6	buhay ang kabayaran sa kanyang ginawa,
GEN.9.6	sapagkat sa larawan ng Diyos ang tao'y nilikha.
GEN.9.7	“Magkaroon
GEN.9.8	Sinabi ng Diyos kay Noe at sa kanyang mga anak, 
GEN.9.9	“Ako'y nakikipagtipan sa inyo ngayon, pati na sa inyong magiging mga anak, 
GEN.9.10	gayon din sa lahat ng mga bagay na may buhay sa paligid ninyo—sa mga ibon, pati sa maaamo't maiilap na hayop na kasama ninyo sa barko. 
GEN.9.11	Ito ang aking pakikipagtipan sa inyo: Kailanma'y hindi ko na lilipulin sa pamamagitan ng baha ang lahat ng may buhay. Wala nang baha na gugunaw sa daigdig.” 
GEN.9.12	Sinabi pa ng Diyos, “Ito ang magiging palatandaan ng walang hanggang tipan na ginagawa ko sa inyo at sa lahat ng hayop: 
GEN.9.13	Palilitawin ko sa mga ulap ang aking bahaghari, at iyan ang magiging tanda ng aking pakikipagtipan sa inyo. 
GEN.9.14	Tuwing magkakaroon ng ulap at lilitaw ang bahaghari, 
GEN.9.15	aalalahanin ko ang aking pangako sa inyo at sa lahat ng hayop. Hindi ko na lilipulin sa baha ang lahat ng may buhay. 
GEN.9.16	Tuwing lilitaw ang bahaghari, maaalala ko ang walang hanggang tipan na ginawa ko sa inyo at sa lahat ng may buhay sa balat ng lupa.”
GEN.9.17	At sinabi ng Diyos kay Noe, “Ito ang tanda ng aking pangako sa lahat ng nabubuhay sa lupa.”
GEN.9.18	Ang mga anak ni Noe na kasama niyang lumabas sa barko ay sina Shem, Jafet at Ham na ama ni Canaan. 
GEN.9.19	Ang tatlong ito ang pinagmulan ng lahat ng tao sa daigdig.
GEN.9.20	Si Noe ay isang magsasaka at siya ang kauna-unahang nagbukid ng ubasan. 
GEN.9.21	Minsan, uminom siya ng alak at nalasing. Nakatulog siyang hubad na hubad sa loob ng kanyang tolda. 
GEN.9.22	Sa gayong ayos, nakita siya ni Ham ang ama ni Canaan at ibinalita ito sa kanyang mga kapatid. 
GEN.9.23	Kaya't kumuha sina Shem at Jafet ng balabal, iniladlad sa likuran nila at magkatuwang na lumakad nang patalikod patungo sa tolda. Tinakpan nila ang katawan ng kanilang ama. Ayaw nilang makita ang kahubaran ng kanilang ama. 
GEN.9.24	Nang mawala na ang kalasingan ni Noe, at malaman ang ginawa ng bunsong anak, 
GEN.9.25	sinabi niya:
GEN.9.25	“O ikaw, Canaan, ngayo'y susumpain,
GEN.9.25	sa mga kapatid mo ika'y paaalipin.”
GEN.9.26	Sinabi rin niya,
GEN.9.26	“Purihin si Yahweh, ang Diyos ni Shem,
GEN.9.26	itong si Canaa'y maglilingkod kay Shem.
GEN.9.27	Palawakin nawa ng Diyos ang lupain ni Jafet.
GEN.9.27	Sa lahi ni Shem, sila'y mapipisan,
GEN.9.27	at paglilingkuran si Jafet nitong si Canaan.”
GEN.9.28	Si Noe ay nabuhay pa nang 350 taon pagkatapos ng baha, 
GEN.9.29	kaya't umabot siya sa gulang na 950 taon bago namatay.
GEN.10.1	Ito ang kasaysayan ng mga anak ni Noe na sina Shem, Ham at Jafet pagkatapos ng baha.
GEN.10.2	Ang mga anak na lalaki ni Jafet ay sina Gomer, Magog, Madai, Javan, Tubal, Meshec at Tiras. 
