GEN.1.1	Nang pasimula, nilikha ng Dios ang langit at ang lupa. 
GEN.4.17	Sumiping si Cain sa asawa niya. Nagbuntis ito at nanganak ng lalaki at pinangalanan nila siyang Enoc. Nagpatayo si Cain ng isang lungsod at pinangalanan niya itong Enoc kagaya ng pangalan ng kanyang anak. 
GEN.4.18	Si Enoc ay may anak ding lalaki na ang pangalan ay Irad. Si Irad ang ama ni Mehujael; si Mehujael ang ama ni Metusael; at si Metusael ang ama ni Lamec. 
GEN.4.19	Si Lamec ay may dalawang asawa na sina Ada at Zila. 
GEN.4.20	Ipinanganak ni Ada si Jabal na siyang pinagmulan ng mga tao na nakatira sa mga tolda, na nag-aalaga ng mga hayop. 
GEN.4.21	May kapatid si Jabal na lalaki na ang pangalan ay Jubal, na siyang pinagmulan ng lahat na tagatugtog ng alpa at plauta. 
GEN.4.22	Si Zila ay nagkaanak din ng lalaki na ang pangalan ay Tubal Cain. Si Tubal Cain ay gumagawa ng lahat ng klase ng kagamitan mula sa bakal at tanso. May kapatid siyang babae na si Naama.
GEN.4.23	Isang araw, sinabi ni Lamec sa dalawa niyang asawa,
GEN.4.23	“Ada at Zila, mga asawa ko, pakinggan nʼyo ako. Pinatay ko ang isang binatilyo dahil sinaktan niya ako.
GEN.4.24	Kung pitong beses ang tindi ng ganti sa taong pumatay kay Cain,
GEN.4.24	77 beses ang tindi ng ganti sa taong papatay sa akin.”
GEN.4.25	Sumiping muli si Adan kay Eva at nanganak ng isang lalaki at pinangalanan niya itong Set.
GEN.4.26	Nang 
GEN.4.26	Nang panahong isinilang si Enosh, ang mga taoʼy nagsimulang tumawag sa pangalan ng 
GEN.5.1	Ito ang kasaysayan na isinulat tungkol sa pamilya ni Adan.
GEN.5.1	Nang likhain ng Dios ang tao, ginawa niya itong kawangis niya. 
GEN.5.2	Nilikha niya ang lalaki at babae, at binasbasan niya sila at tinawag na “tao.”
GEN.5.3	Nang 130 taong gulang na si Adan, isinilang ang kanyang anak na kawangis niya. Pinangalanan niya itong Set. 
GEN.5.4	Matapos isilang si Set, nabuhay pa si Adan ng 800 taon at nadagdagan pa ang mga anak niya. 
GEN.5.5	Namatay siya sa edad na 930.
GEN.5.6	Nang 105 taong gulang na si Set, isinilang ang anak niyang lalaki na si Enosh. 
GEN.5.7	Matapos isilang si Enosh, nabuhay pa si Set ng 807 taon at nadagdagan pa ang mga anak niya. 
GEN.5.8	Namatay siya sa edad na 912.
GEN.5.9	Nang 90 taong gulang na si Enosh, isinilang ang anak niyang lalaki na si Kenan. 
GEN.5.10	Matapos isilang si Kenan, nabuhay pa si Enosh ng 815 taon at nadagdagan pa ang mga anak niya. 
GEN.5.11	Namatay siya sa edad na 905.
GEN.5.12	Nang 70 taong gulang na si Kenan, isinilang ang anak niyang lalaki na si Mahalalel. 
GEN.5.13	Matapos isilang si Mahalalel, nabuhay pa si Kenan ng 840 taon at nadagdagan pa ang mga anak niya. 
GEN.5.14	Namatay siya sa edad na 910.
GEN.5.15	Nang 65 taong gulang na si Mahalalel, isinilang ang anak niyang lalaki na si Jared. 
GEN.5.16	Matapos isilang si Jared, nabuhay pa si Mahalalel ng 830 taon at nadagdagan pa ang mga anak niya. 
GEN.5.17	Namatay siya sa edad na 895.
GEN.5.18	Nang 162 taong gulang na si Jared, isinilang ang anak niyang lalaki na si Enoc. 
GEN.5.19	Matapos isilang si Enoc, nabuhay pa si Jared ng 800 taon at nadagdagan pa ang mga anak niya. 
GEN.5.20	Namatay siya sa edad na 962.
GEN.5.21	Nang 65 taong gulang na si Enoc, isinilang ang anak niyang lalaki na si Metusela. 
GEN.5.22+GEN.5.23+GEN.5.24	Matapos isilang si Metusela, nabuhay pa si Enoc ng 300 taon at nadagdagan pa ang mga anak niya. Nang panahong iyon, malapit ang relasyon ni Enoc sa Dios. Nasa 365 taong gulang siya nang siyaʼy nawala, dahil kinuha siya ng Dios.
GEN.5.25	Nang 187 taong gulang na si Metusela, isinilang ang anak niyang lalaki na si Lamec. 
GEN.5.26	Matapos isilang si Lamec, nabuhay pa si Metusela ng 782 taon at nadagdagan pa ang mga anak niya. 
GEN.5.27	Namatay siya sa edad na 969.
GEN.5.28	Nang 182 taong gulang na si Lamec, isinilang ang isa niyang anak na lalaki. 
GEN.5.29	Sinabi niya, “Ang anak kong ito ay makakatulong sa mga kahirapan natin dahil sa pagsumpa ng 
GEN.5.30	Matapos isilang si Noe, nabuhay pa si Lamec ng 595 taon at nadagdagan pa ang mga anak niya. 
GEN.5.31	Namatay siya sa edad na 777.
GEN.5.32	Nang 500 taong gulang na si Noe, isinilang ang mga anak niyang lalaki na sina Shem, Ham, at Jafet.
GEN.6.1	Hindi nagtagal, dumami ang mga tao sa mundo, at marami ang kabataan nilang babae. 
GEN.6.2	Nakita ng mga anak ng Dios
GEN.6.3	Ngayon, sinabi ng 
GEN.6.4	Nang panahong iyon, at kahit nitong huli, may mga kilalang tao sa mundo na mula sa lahi ng mga anak ng Dios na nagsipag-asawa ng magagandang babae. Silaʼy makapangyarihan at kilalang tao noong unang panahon.
GEN.6.5	Nang makita ng 
GEN.6.6	nanghinayang siya kung bakit ginawa pa niya ang tao sa mundo. Labis ang kalungkutan niya, 
GEN.6.7	kaya sinabi niya, “Lilipulin ko ang lahat ng taong nilikha ko sa buong lupain. At lilipulin ko rin ang lahat ng hayop sa lupa pati ang mga hayop na lumilipad, dahil nanghihinayang ako sa paglikha sa kanila.” 
GEN.6.8	Pero may isang tao na nakapagbigay-lugod sa 
GEN.6.9	Ito ang salaysay tungkol sa pamilya ni Noe.
GEN.6.9	Si Noe ay makadios. Siya lang ang namumuhay na matuwid sa kapanahunan niya, at malapit ang kanyang relasyon sa Dios. 
GEN.6.10	May tatlo siyang anak na lalaki na sina Shem, Ham at Jafet.
GEN.6.11	Napakasama na ng mga tao sa paningin ng Dios, at ang kanilang kasamaan ay laganap na sa mundo. 
GEN.6.12	Nakita ng Dios na lubhang masama ang mga tao sa mundo dahil ang ginagawa nila ay puro kasamaan. 
GEN.6.13	Kaya sinabi niya kay Noe, “Lilipulin ko ang lahat ng tao. Dahil sa kanila, lumaganap ang kasamaan sa mundo. Lilipulin ko sila kasama ng mundo. 
GEN.6.14	Kaya ikaw Noe, gumawa ka ng barko mula sa matibay na kahoy, at gawan mo ito ng mga kwarto. Pagkatapos, pahiran mo ng alkitran ang loob at labas ng barko.
GEN.6.15	Gawin mo ito na may sukat na 450 talampakan ang haba, 75 talampakan ang luwang, at 45 talampakan ang taas. 
GEN.6.16	Lagyan mo ng bubong ang barko, at lagyan mo ng agwat na kalahating metro ang dingding at ang bubong. Gawan mo ang barko ng tatlong palapag, at lagyan ng pintuan sa gilid. 
GEN.6.17	Sapagkat pababahain ko ang mundo para malipol ang lahat ng nabubuhay. Mamamatay ang lahat ng nasa mundo. 
GEN.6.18	Pero gagawa ako ng kasunduan sa iyo. Papasok ka sa barko kasama ng asawa at ng mga anak mo pati ang mga asawa nila. 
GEN.6.19	Magpapasok ka rin ng isang lalaki at babae sa bawat uri ng hayop para mabuhay sila kasama mo. 
GEN.6.20	Dalawa sa bawat uri ng lahat ng hayop: mga lumilipad, lumalakad at gumagapang. Lalapit sila sa iyo para hindi sila mamatay. 
GEN.6.21	Magdala ka rin ng lahat ng uri ng pagkain para sa inyo at para rin sa mga hayop.”
GEN.6.22	Sinunod ni Noe ang lahat ng iniutos ng Dios sa kanya.
GEN.7.1	Sinabi ng 
GEN.7.2	Magdala ka ng pitong pares sa bawat uri ng malinis
GEN.7.3	At magdala ka rin ng pitong pares sa bawat uri ng ibon. Gawin mo ito para mabuhay sila sa mundo. 
GEN.7.4	Sapagkat pagkatapos ng pitong araw mula ngayon, magpapaulan ako sa buong mundo sa loob ng 40 araw at 40 gabi, para mamatay ang lahat ng nilikha ko.”
GEN.7.5	Sinunod ni Noe ang lahat ng iniutos ng 
GEN.7.6	Nasa 600 taong gulang na si Noe nang dumating ang baha sa mundo. 
GEN.7.7	Pumasok siya sa barko kasama ang asawa niya, mga anak na lalaki, at mga manugang para hindi sila mamatay sa baha. 
GEN.7.8+GEN.7.9	Ayon sa iniutos ng Dios kay Noe, pinapasok niya sa barko ang bawat pares ng lahat ng uri ng hayop na malinis at marumi na lumapit sa kanya. 
GEN.7.10	At pagkalipas ng pitong araw, bumaha sa mundo.
GEN.7.11	Nang ika-17 araw ng ikalawang buwan, umulan ng napakalakas at umapaw ang lahat ng bukal. Si Noe ay 600 taong gulang na noon. 
GEN.7.12	Umulan sa mundo sa loob ng 40 araw at 40 gabi.
GEN.7.13	Noong mismong araw na nagsimulang umulan, pumasok sa barko si Noe, ang asawa niya at ang tatlo nilang anak na sina Shem, Ham at Jafet kasama ang mga asawa nila. 
GEN.7.14	Kasama rin nila ang lahat ng uri ng hayop: mga lumalakad, gumagapang at lumilipad. 
GEN.7.15+GEN.7.16	Ayon sa iniutos ng Dios kay Noe, pinapasok niya sa barko ang bawat pares ng lahat ng uri ng hayop na lumalapit sa kanya. Pagkatapos, isinara ng 
GEN.7.17+GEN.7.18	Walang tigil ang ulan sa mundo sa loob ng 40 araw. Tumaas ang tubig hanggang sa lumutang ang barko. 
GEN.7.19	Tumaas pa nang lubusan ang tubig hanggang matakpan ang lahat ng matataas na bundok. 
GEN.7.20	At hanggang umabot sa mga pitong metro ang taas ng tubig mula sa tuktok ng pinakamataas na bundok. 
GEN.7.21	Kaya namatay ang lahat ng may buhay – ang mga hayop na lumilipad, lumalakad, gumagapang at ang lahat ng tao. 
GEN.7.22	Namatay ang lahat ng nabubuhay sa lupa. 
GEN.7.23	Nalipol ang lahat ng tao at ang lahat ng hayop sa mundo. Si Noe lang at ang mga kasama niya sa loob ng barko ang hindi namatay.
GEN.7.24	Bumaha sa mundo sa loob ng 150 araw.
GEN.8.1	Hindi kinalimutan ng Dios si Noe at ang mga kasama niyang hayop sa loob ng barko. Kaya pinaihip niya ang hangin sa mundo at dahan-dahang bumaba ang tubig. 
GEN.8.2	Tinakpan niya ang mga bukal at pinahinto ang ulan. 
GEN.8.3	Patuloy ang pagbaba ng tubig sa loob ng 150 araw. 
GEN.8.4	At nang ika-17 araw ng ikapitong buwan, sumadsad ang barko sa Bundok ng Ararat. 
GEN.8.5	Patuloy ang pagbaba ng tubig. At nang unang araw ng ikasampung buwan, nakikita na ang tuktok ng mga bundok.
GEN.8.6	Pagkalipas ng 40 araw 
GEN.8.7	at pinakawalan ang isang uwak. At ang uwak na itoʼy parooʼt paritong lumilipad hanggang sa patuloy na pagbaba ng tubig. 
GEN.8.8	Pinakawalan din ni Noe ang isang kalapati para malaman niya kung bumaba na ang tubig, 
GEN.8.9	pero walang madapuan ang kalapati dahil natatakpan pa rin ng tubig ang buong mundo. Kaya bumalik na lamang ang kalapati kay Noe sa barko. Pinadapo ni Noe ang kalapati sa kamay niya at pinapasok sa barko. 
GEN.8.10	Pinalipas muna ni Noe ang pitong araw at muli niyang pinakawalan ang kalapati. 
GEN.8.11	Gabi na nang bumalik ang kalapati na may dalang sariwang dahon ng olibo sa kanyang tuka. Kaya nalaman ni Noe na bumaba na ang tubig. 
GEN.8.12	Pinalipas muli ni Noe ang pitong araw pa at muli niyang pinakawalan ang kalapati, pero hindi na ito bumalik.
GEN.8.13	Noong unang araw ng unang buwan tuluyan nang bumaba ang tubig. Si Noe ay 601 taong gulang na noon. Binuksan niya ang takip ng barko at nakita niya na tuyo na ang lupa. 
GEN.8.14	Nang ika-27 araw ng ikalawang buwan, tuyong-tuyo na talaga ang lupa sa buong mundo.
GEN.8.15	Sinabi agad ng Dios kay Noe, 
GEN.8.16	“Lumabas na kayong lahat sa barko. 
GEN.8.17	Palabasin nʼyo rin ang lahat ng hayop para dumami sila at mangalat sa buong mundo.” 
GEN.8.18	Kaya lumabas si Noe kasama ang kanyang asawa, mga anak na lalaki at mga manugang niya. 
GEN.8.19	Lumabas din ang lahat ng hayop: mga lumalakad, lumilipad at gumagapang. Magkakasama sila ayon sa kani-kanilang uri.
GEN.8.20	Gumawa si Noe ng altar para sa 
GEN.8.21	Nang naamoy ng 
GEN.8.22	Habang nagpapatuloy ang mundo, may panahon ng pagtatanim at pag-ani. May taglamig at may tag-init, may tag-ulan at may tag-araw, at may araw at may gabi.”
GEN.9.1	Binasbasan ng Dios si Noe at ang mga anak niya at sinabi, “Magkaroon kayo ng mga anak para dumami at mangalat kayo sa buong mundo. 
GEN.9.2	Matatakot sa inyo ang lahat ng hayop: ang mga lumalakad, lumilipad, gumagapang, at ang mga nakatira sa tubig. Kayo ang maghahari sa kanilang lahat. 
GEN.9.3	Makakakain na kayo ngayon ng mga hayop. Ibinibigay ko ito sa inyo bilang pagkain, kagaya ng mga ibinigay ko sa inyo na mga pananim na makakain.
GEN.9.4	“Pero huwag ninyong kakainin ang hayop na nang mamatay ay hindi lumabas ang dugo, dahil ang dugo ay simbolo ng buhay. 
GEN.9.5	Sisingilin ko ang sinumang papatay sa inyo, kahit ang mga hayop. Sisingilin ko ang sinumang papatay sa kanyang kapwa.
GEN.9.6	“Ang sinumang pumatay sa kanyang kapwa ay papatayin din ng kanyang kapwa. Sapagkat ang tao ay ginawa ng Dios na kawangis niya. 
GEN.9.7	Ngayon, magkaroon kayo ng mga anak para dumami at mangalat sa buong mundo.”
GEN.9.8	Sinabi pa ng Dios kay Noe at sa mga anak niya, 
GEN.9.9+GEN.9.10+GEN.9.11	“Ito ang kasunduan ko sa inyo at sa mga lahi ninyo, at sa lahat ng nabubuhay sa mundo pati sa lahat ng hayop na naging kasama ninyo sa barko: Hindi ko na muling lilipulin ang lahat ng nabubuhay sa pamamagitan ng baha. At wala nang baha na mangyayari pa para malipol ang mundo.”
GEN.9.12+GEN.9.13	At sinabi pa ng Dios, “Bilang palatandaan ng kasunduan ko sa inyo at sa mga hayop, at sa lahat ng susunod nʼyo pang mga henerasyon, maglalagay ako ng bahaghari sa ulap. 
GEN.9.14	Sa tuwing gagawin kong maulap ang langit at lilitaw ang bahaghari, 
GEN.9.15	aalalahanin ko agad ang kasunduan ko sa inyo at sa lahat ng uri ng hayop, na hindi ko na lilipuling muli sa pamamagitan ng baha ang lahat ng may buhay. 
GEN.9.16	Tuwing lilitaw ang bahaghari sa mga ulap, aalalahanin ko agad ang walang hanggang kasunduan ko sa lahat ng may buhay sa mundo.”
GEN.9.17	Kaya sinabi ng Dios kay Noe, “Ang bahaghari ang siyang palatandaan ng kasunduan ko sa lahat ng nabubuhay sa mundo.”
GEN.9.18	Ito ang mga anak ni Noe na kasama niya sa barko: sina Shem, Ham at Jafet. (Si Ham ang ama ni Canaan.) 
GEN.9.19	Silang tatlo ang pinagmulan ng lahat ng tao sa mundo.
GEN.9.20	Si Noe ay isang magsasaka at siya ang unang nagtanim ng ubas. 
GEN.9.21	Isang araw, uminom siya ng alak na mula sa ubas, at nalasing. Nakatulog siyang hubad sa loob ng kanyang tolda. 
GEN.9.22	Ngayon, si Ham na ama ni Canaan ay pumasok sa tolda, at nakita niyang hubad ang kanyang ama. Kaya lumabas siya at sinabi ito sa dalawang kapatid niya. 
GEN.9.23	Kumuha sina Shem at Jafet ng damit at inilagay sa balikat nila, pagkatapos, lumakad sila nang paurong papasok sa tolda para takpan ang kanilang ama. Hindi sila lumingon dahil ayaw nilang makita ang kahubaran ng kanilang ama. 
GEN.9.24	Nang mahimasmasan na si Noe sa pagkalasing niya, at nalaman kung ano ang ginawa ng bunsong anak niya, 
GEN.9.25	sinabi niya;
GEN.9.25	“Sumpain ka Canaan! Maghihirap ka at magiging alipin ng iyong mga kapatid.”
GEN.9.26	At sinabi rin niya,
GEN.9.26	“Purihin ang 
GEN.9.26	Nawaʼy maging alipin ni Shem si Canaan.
GEN.9.27	Nawaʼy palawakin ng Dios ang lupain ni Jafet,
GEN.9.27	at maging mabuti ang pagsasama ng mga lahi niya at ng mga lahi ni Shem.
GEN.9.27	At nawaʼy maging alipin din ni Jafet si Canaan.”
GEN.9.28	Nabuhay pa si Noe ng 350 taon pagkatapos ng baha. 
GEN.9.29	Namatay siya sa edad na 950.
GEN.10.1	Ito ang salaysay tungkol sa mga pamilya ng mga anak ni Noe na sina Shem, Ham at Jafet. Nagkaroon sila ng mga anak pagkatapos ng baha.
GEN.10.2	Ang mga anak ni Jafet na lalaki ay sina Gomer, Magog, Madai, Javan, Tubal, Meshec at Tiras.
GEN.10.3	Si Gomer ay may mga anak din na lalaki na sina Ashkenaz, Rifat at Togarma.
GEN.10.4	Ang mga anak naman ni Javan ay sina Elisha, Tarshish, Kitim at Dodanim.
GEN.10.5	Ito ang mga lahi ni Jafet. Sila ang pinagmulan ng mga tao na nakatira sa mga dalampasigan at mga isla. Ang bawat pamilya nila ay nakatira sa sarili nilang lugar na sakop ng bansa nila, at may sarili silang wika.
GEN.10.6	Ang mga anak ni Ham na lalaki ay sina Cush, Mizraim
GEN.10.7	Si Cush ay may mga anak din na lalaki na sina Sheba, Havila, Sabta, Raama at Sabteca. Ang mga anak ni Raama ay sina Sheba at Dedan.
