MAT.1.1	Tèntə diʼ təzhiʼ tə vətìʼ Yesò Klistò, wàyn Devìt yì a tìʼì wen ndiʼ Ablaham. 
MAT.1.19	Lɨm ə wen Josèf ndìʼ wu jùŋə̀, ghə̀ nko kòŋə ədìʼsə kətʉ kə Mèli a ndayn, ghə̀ mù ghʉ la ghə̀ a sàs lam ayì tò achi achi. 
MAT.1.20	Ghə̀ mbu kwòʼtə̀ əsàs lam ayi alì ntsɨ̀ŋ Nyìngòŋ vì à wen a jòm ə gàʼ la,“Josèf wyè fòyn Devìt, kə a fàyn əlyɨ̀ Mèli a nə̀ wì wù byìʼe wàyn yì a ghə̀ gùfə̀lì à nè kəzhwì kəŋwoʼkə”. 
MAT.1.21	Ghə̀ ne bwi wàyn wulɨm ə wù chʉ zhiʼ wen nə̀ Yesò byìʼì ando ghə̀ lu bwòŋsə viʼi wen fa vəwenə a mbyɨsə. 
MAT.1.22	Nyʉ̀ venə nlyɨ̀ kəshi ndìʼ nè la kənyʉ̀ a Nyìngòŋ ngaʼà ə chòsə̀ fà nshə̀ʼtə̀ wen və lyɨ̀ kəshi la, 
MAT.1.23	“Zhʉtə a! wùwì a ghə̀ ko təmə̀ kɨ wulɨm lu gùf ə bwi wàyn wulɨm a və lu chʉ zhiʼ wen nə̀ Emanuwèl a ghə̀ dìʼì la ‘Nyìngòŋ dìʼ wenə vəghəŋ’”. 
MAT.1.24	Josèf mù ne lù fa mbə̀ynsə, ə lyɨ̀ Mèli à wen wùwì ando ntsɨŋ ngə̀ŋ Bobo yì gàʼ, 
MAT.1.25	alì kò ghə̀ lə tsi nə̀ wen əzaʼa fa tʉʼ a Mèli bwi wàyn wulɨm, Josèf chʉ zhiʼ wen nə̀ Yesò.
MAT.2.1	Və mbwi Yesò a ntə̀ʼ Bètelehèm a loʼ Judiyà, a tʉʼʉ fòyn Helòd. A sətsèn viʼi və tofə və vətsen və lù fa loʼ a shə a chʉzhʉ saʼa fa tsu ə vì a Jelusalèm, ə bèm 
MAT.2.2	La,“Wàyn yì ye a və bwi, a ghə̀ lu ndiʼ fòyn və Jus lì lo? Yès yenli fədzɨ̀ŋ fə wen à yès a loʼ mù sə vì ə gumlə wen,” 
MAT.2.3	A ndiʼ ando Helòd nzhʉ kənyʉ̀ a kènkə, kə sə̀ ku ngəʼ à wen be ku ngəʼ à viʼi Jelusalèm no vətsèm. 
MAT.2.4	Ghə̀ dzàŋtə̀ tʉtʉ vəpfèm və ngə̀ŋ Nyìngòŋ və ghoʼkə və bènə̀ ndìʼsə̀sə təsoʼ ə bèm à vəwenə la və tə ndiʼ ne bwi Klistò yi fe lo. 
MAT.2.5	Vəwenə gàʼ à wen la, “Və tə ndiʼ ne bwi wen a ntə̀ʼ Bètelehèm a loʼ Judiyà”. Nshə̀ʼtə̀ ghoʼo nyòʼ li la, 
MAT.2.6	“A ghə̀ŋ a viʼi Bètelehèm, a loʼ Judiyà, Ghə̀ŋ kɨ la ntə̀ʼ ghə̀ŋ ko diʼ ntə̀ʼ tyetə no fa mpfen, ntə̀ʼ ghə̀ŋ sə diʼ ntə̀ʼ ghoʼo a Judiyà, byiʼàndo wìʼ a lù fà ghə̀ŋ a ntìntìn a ghə̀ lu tuʼmə nə̀ viʼi Islel no vətsèm nə̀ mò,” 
MAT.2.7	No a zhʉ kò a Helòd nyoʼtə dzàŋtə̀ viʼi ghayn vyi ə bèm à vəwenə la,“Fədzɨ̀ŋ a fì tə̀ lutə̀ sù fʉ a zhʉ kò?” 
MAT.2.8	Vəwenə shə̀ʼtə̀ a wen, ghə̀ mù tɨm vəwenə a Bètelehèm gàʼà la,“Ghə̀ŋ tuʼlə̀ kəŋ wàyn ayì ə nè kəŋ ə yen ghə̀ŋ bwènə̀ vì ə shə̀ʼtə̀ à mò ndi no nkàyntə̀ mò boŋ ə dyʉ̀ gumlə wen” 
MAT.2.9+MAT.2.10	Vəwenə zhʉ ntɨm ayì mù lù fʉ ə zaʼa ji bè yen tò ndə̀ŋndəŋ fədzɨ̀ŋ fìfə a vəwenə n-yenə à vəwenə shə loʼ lì. Ando vəwenə n-yenə alì sə saŋlə no ŋàŋ. Fədzɨ̀ŋ a fìfə dyʉ̀ fà vəwenə ashɨ ə dyʉ̀ tɨmə tò a kətʉ kə kəshi yì a wàyn a ghèn ndiʼi tsu. 
MAT.2.11	Vəwenə kwen a ngə̀ŋ ə yen wàyn ayì wenə lò wen Mèli, ə gwʉ̀ʼtə alwi vəwenə à wen ashɨ ə kuʼsə wen, ə bòʼtə̀ mbò vəwenə ə shìsə kəku fa tsu a ndiʼi gul, nə̀ silva bènə̀ məzhiʼ mə tsen a və ndzàŋ nə̀ miyif ə ku à wen. 
MAT.2.12	Vəwenə nè fʉ a məpfwo, pfwo fa jì kədyàŋ ando Nyìngòŋ ntyɨftəli wen a jòm la kə vəwenə be a bwènə̀ dyʉ̀ a Helòd.
MAT.2.13	A ndiʼ ando viʼi və tofə və nbwenə li vì ntsɨ̀ŋ Bobo vì à Josèf a jòm ə gàʼà wen la,“Lu ə lyɨ̀ wàyn ghèn wenə lì wen fa shə̀ ə nyɨ̀ŋ dyʉ̀ a Ijìb byiʼàndo Helòd kəŋə wàyn a ghèn əzhwi. Ghə̀ŋ dyʉ̀ ghə̀ŋ fàŋ tò tsu əzaʼa fa a zhʉ a ma a gàʼ la ghə̀ŋ bwènə̀ ə vì.” 
MAT.2.14	No a zhʉ̀ kò Josèf lù ə lyɨ̀ wàyn wenə lì wen fa tsu vəwenə nyɨ̀ŋ dyʉ̀ a Ijìb tò nəntʉʼʉ ayì, 
MAT.2.15	ə dyʉ̀ fàŋ tò tsu əzaʼa fa tʉʼ a Helòd mpfʉ. Nyʉ̀ venə nlyɨ̀ kəshi ndi lwinsə kənyʉ̀ kì a Nyìngòŋ nlù gàʼ ə chòsə̀ fà nshə̀ʼtə̀ ghoʼo wen “Ma dzàŋli wyè ghom fa Ijìb la ghə̀ vì.”
MAT.2.16	Helòd nè yen la viʼi və tofə və vyi lobtə̀li yì, kənyʉ̀ a kèn kə zaf wen no nə̀ ŋàŋ. Ghə̀ chòsə̀ soʼ la və zhwilə vunə lyʉmə a Bètelehèm nə̀ vunə a və sə̀ diʼ ngwʉ̀ʼsə bò byìʼì zhʉ a viʼi və tofəvə vyì nshə̀ʼtə̀ la fədzɨ̀ŋ fìfə nfʉ tsu. 
MAT.2.17	A lè ncho tò kənyʉ̀ kì a Jèlimayà a ndiʼi nshə̀ʼtə̀ ghoʼo nlu gàʼ la, 
MAT.2.18	“Və lù li zhʉ ando wì dìʼ fa ntə̀ʼ Lamà, no nə̀ ŋàŋ, kò ghə̀ lə̀ kòŋ la wìʼ chɨmsə wen, a diʼ alì à dì Lachèl dì vunə wen ando və zhwilə.”
MAT.2.19	Helòd lù pfʉ ntsɨ̀ŋ Bobo fʉ a kə̀, Josèf a jòm a loʼ Ijìb ə gàʼ la, 
MAT.2.20	“Lù li lyɨ̀ wàyn wenə lì wen ghə̀ŋ vəwenə bwènə̀ pfwo a loʼ Islel byìʼì ando viʼi vyì a və nkəŋ zhwi wen pfʉkə li.” 
MAT.2.21	No a zhʉ kò Josèf lù ə lyɨ̀ wàyn wenə lì wen, vəwenə bwènə̀ pfwo a loʼ Islel. 
MAT.2.22	A ndiʼ ando Josèf nzhʉ la à sə soʼo Akelùs a kəshi tìʼ wen a Judiyà, ghə̀ sə̀ fàynə̀ no ŋàŋ əŋwʉʼə tsu. Ntsɨŋ Nyìngòŋ be vì ə tyɨftə wen a jòm la ghə̀ nyɨŋ ə dyʉ̀ a shə loʼ Galìlì. 
MAT.2.23	Ghə̀ lù ə dyʉ̀ a shə loʼ sə̀ tsi a ntə̀ʼ tsen a və ndzàŋ nə̀ Nazalèt. Ghə̀ ne alì ndi lwinsə kənyʉ̀ kì a nshə̀ʼtə̀ sə ghoʼkə sə ngàʼa. Sə nlù gàʼ la,“Və lu dzàŋ wen nə̀ wyè wù Nazalèt”.
MAT.3.1	A be ndiʼ tò mətsi ayì, Joyn wù ku à mù zìtə̀ sə shə̀ʼtə̀ kənyʉ̀ kə Nyìngòŋ a viʼi a nsè zɨm yì a ghə̀ ndiʼ a Judiyà, gàʼà la, 
MAT.3.2	“Ghə̀ŋ kwitə tətyɨm təŋtə fà a ghə̀ŋ a mbyɨsə byìʼàndo soʼ fòyn Nyìngòŋ boʼsə li” 
MAT.3.3	Joyn ghèn diʼ wen yì a nshə̀ʼtə̀ Isayà nlù gàʼ kùmə̀ wen la,“Wutsen zɨmə gàʼà a nse zɨm la,‘Ghə̀ŋ shɨtə jì Bobo, ghə̀ŋ ne məjìtə mə wen mə nàyn’” 
MAT.3.4	A ndiʼ alì mu Joyn mòʼ ndisə mu və bo nə̀ nyɨŋsə nyàm tsen a və dzàŋə̀ nə̀ Kàmel, ə kwiʼ kətəŋ mu və shɨ̀tə̀ nə̀ gwʉ̀ nyàm, fozhɨvə wen ndiʼ tò ngùməsə nə̀ fədyom fə. 
MAT.3.5	Joyn vì sə nziʼi, Viʼi vyì à wen mu və lù fa Jelusalèm bènə̀ fa məshə̀ tsèm a loʼ Judiyà, vətsen və vì mu və lù fa mbyì mo Jodàn. 
MAT.3.6	Vəwenə nvì alì əbyɨmə mbyɨsə vəwenə à wen, ghə̀ ku mu a vəwenə a mù mə Jodàn. 
MAT.3.7	Joyn ne yen ando viʼi Falàsi nə̀ viʼi Sadùsi mbe vì no və ghoʼo la ghə̀ ku mu à vəwenə kèn la vəwenə kwitə li tətyɨm tə vəwenə, ghə̀ mù gàʼ à vəwenə la,“Zhusə byɨ sènsə, a tofsə ndò ghə̀ŋ, ghə̀ŋ sə kəŋ nyɨŋ ngəʼ yì a Nyìngòŋ kəŋ tɨm a ghə̀ŋ a? 
MAT.3.8	Ghə̀ŋ nè nyʉ a və diʼi la ghə̀ŋ kwitə li tətyɨm təŋtə fa mbyɨsə. 
MAT.3.9	Kə ghə̀ŋ ne kwòʼtə la ghə̀ŋ zì ghə̀ŋ nyɨŋ ngəʼ Nyìngòŋ ayì tò byiʼàndo ghə̀ŋ gàʼ à la ghə̀ŋ diʼ vu vunə Ablaham. Ma shə̀ʼtə̀ a ghə̀ŋ la Nyìngòŋ zì ghə̀ nè ngùʼ sènsə sə kaʼkə a vunə ghə̀ ku a Ablaham. 
MAT.3.10	Ghə̀ŋ kɨ la ndzam ti a tì nkòʼ luwen, mu a faŋ tə fəkòʼ fə ko ke kumə ashɨ jùŋ ghə̀ mu və a bvaʼ ə mòʼ a zhìʼ. 
MAT.3.11	Mà ku mu à ghə̀ŋ tò nə̀ mu mə Amù ədiʼ la ghə̀ŋ kwitə li tətyɨm təŋtə fà ghə̀ŋ a mbyɨsə, alì wìʼ yì a ghə̀ vì fa mò a bàm, chò mò, a mà ko kwʉ̀ʼ no fa mpfen əshyèʼ a wen a nə̀ kəkòs kə byèʼè gwʉsə aghʉ wen. Ghə̀ ne ku mu à ghə̀ŋ nə̀ kəzhwì kə ŋwoʼkə be chòsə̀ viʼi vətsen və a zhìʼ. 
MAT.3.12	A zhʉ a ghèn, ghə̀ a kiʼi kyeʼ lyelə wen a wenə kəvu, əfwoftə asaŋ ə ghʉ a wenə kàŋ, ali və nyùʼ yabyabsə shi nè zhiʼ a ghə̀ ko lə lɨmə no fa mpfen”.
MAT.3.13	A ndiʼ tò mətsi a yì, Yesò lù fa Galìlì ə vì yen Joyn la ghə̀ ku mu à wen a mù. 
MAT.3.14	Joyn sə̀ mwòmsə ətensə kənyʉ̀ akì mù gàʼ la,“A yì ndiʼ ku wù ku mu à mò, wu bòŋsə nvì la mà ku mu à wù ale?” 
MAT.3.15	Yesò gàʼ à wen la,“Yowù nè tò alə̀ luwèn ku tò ku byiʼàndo à diʼ tò a ji a ghèn a vəghəŋ diʼi nè nyʉ̀ vyi a Nyìngòŋ kəŋ.” Joyn mù byɨmə əku. 
MAT.3.16	Yesò shi mu ə sə fʉ kuʼ tò kuʼu fa mù alə̀, kaŋ boʼmə̀, ghə̀ yen kəzhwì kə Nyìngòŋ, kə shiʼi vì ə bvʉ̀ à wen kətʉ diʼ tò nə̀ kəlàto. 
MAT.3.17	Tò a zhʉ a ghèn, gɨ fʉ vì fa kàŋ ə gàʼ la,“Ghèn diʼ wàyn kòŋ mò, mà saŋlə byìʼì wen nə̀ kwoŋ.”
MAT.4.1	Kəzhwì kəŋwoʼkə mù lyɨ̀ Yesò ə dyʉ̀ nə̀ wen a nsè zɨm ndi Deblə̀ mwòmsə wen tsu. 
MAT.4.2	Ghə̀ dyʉ̀ ə zaʼa tsu ə tsi mətsi məwum nkàʼ kò ghə̀ lə zhɨ kəfo. Fa bàm a tsu, jɨ̀ŋ mù sə zafə wen. 
MAT.4.3	Deblə̀ mù vì ə gàʼ a wen la,“A zhʉ a wu diʼi wàyn Nyìngòŋ, gàʼ li nguʼ sensə kaʼkə a kəfo kəzhɨkə, wù zhɨ.” 
MAT.4.4	Yesò bwènsə̀ gàʼ a wen la,“Və nyòʼ li a ŋwàʼlə̀ Nyìngòŋ la,‘Wìʼ’ ko zì ghə̀ tsi tò byìʼì kəfo kəzhɨkə, alì tsi byìʼì no kənyʉ̀ kə kò a Nyìngòŋ gàʼà.” 
MAT.4.5	Deblə̀ bè lyɨ̀ Yesò ə dyʉ̀ nə̀ wen a Jelusalèm à diʼ ntə̀ʼ ŋwoʼə, ə kuʼ tom ə wen a fədzuʼudzuʼu fə ngə̀ŋ Nyìngòŋ ghoʼo. 
MAT.4.6	Ə gàʼ à wen la, “Ando wù diʼ no wàyn Nyìngòŋ lə̀, tsoʼo a nsè byiʼàndo və nyòʼ li a ŋwàʼlə̀ Nyìngòŋ la Ghə̀ ne tɨmə ntsɨŋsə wen à wù a bàm, la sə ntsɨ̀ŋə̀ wù. Sə ne ghàʼ wù ə jèʼsə a kaŋ ndi nè la kə wù a tem kəghʉ kyèkə a nguʼ” 
MAT.4.7	Yesò bwènsə̀ gàʼ a wen la, “Və be nyòʼ a ŋwàʼlə̀ Nyìngòŋ la ‘Kə wù lə mwòmsə̀ Bobo Nyìngòŋ wù.’” 
MAT.4.8	Deblə̀ bè lyɨ̀ Yesò fa tsu ə kuʼ nə̀ wen a kətʉ kə pfen kə dyə̀fə kə ə dìʼ təloʼ tə mbi tèn no tətsèm à wen nə̀ ghoʼo yi a ghə̀ diʼì tsu. 
MAT.4.9	Ə mù gàʼ a wen la,“Ma ku fo a venə à wù no tsèm a zhʉ a wù gwʉtə alwi wu à mò ashɨ ə kuʼsə mò.” 
MAT.4.10	Yesò gàʼ à wen la,“Bwènə̀ fa mò a bàm a Satan! Və nyòʼ li a ŋwàʼlə̀ Nyìngòŋ la,‘Wù diʼi ə gumlə tò Bobo Nyìngòŋ wù bè shyèʼ tò a wen.’” 
MAT.4.11	Deblə̀ lù fà a wen a mbyɨ̀ no a zhʉ kò, ntsɨ̀ŋsə Nyìngòŋ sə vì mù sə lyè wen.
MAT.4.12	Yesò nè zhʉ la və shwin nə̀ li Joyn a mfɨŋ, ghə̀ bwenə dyʉ̀ a Galìlì, 
MAT.4.13	ə dyʉ̀ kèn la ghə̀ ŋwʉʼli fàŋ a Nazalèt. Ghə̀ boŋsə̀ dyʉ̀ sə̀ tsi a ntə̀ʼ Kàbanùm a ben mo Galìlì a shə loʼ zebulùn nə̀ Naftalì. 
MAT.4.14	Kə ncho alì ndi lwinsə kənyʉ̀ kì a nshə̀ʼ tə̀ ghoʼo Nyìngòŋ Isayà nlù nyoʼ la, 
MAT.4.15	“A ghə̀ŋ viʼi Zebulùn nə̀ ghə̀ŋ viʼi Naftalì, à ghə̀ŋ vyi a ghə̀ŋ tsi a jì shə ndzèn mu Jodàn. A ghə̀ŋ viʼi ntɨm a Galìlì, ghə̀ŋ kɨ la, 
MAT.4.16	Viʼi vyi a və ntsi a kəbəŋ kə fenə̀ kə, lu yen bayn ghoʼ ghə̀, bayn vili a kətʉ viʼi vyi a və tsi ashə a kəndemndem kəpfʉ kə jèʼè tsu.” 
MAT.4.17	Əzìtə̀ fa mətsi ayì ədyʉ̀ nə̀ mbì, Yesò mù shə̀ʼtə̀ ntɨm Nyìngòŋ gàʼ à la,“Ghə̀ŋ kwetə tətyɨm təŋtə fa ghə̀ŋ a mbyɨsə byiʼàndo soʼ fòyn Nyìngòŋ boʼsə li.”
MAT.4.18	Yesò sə jèʼè fa mbyɨ̀ mu Galìlì a kətsi kətsen kə ə yen vəlemə vətsen və bò, à diʼ Simùn yì a və be dzàŋ nə̀ Bità wenə Andɨ̀lò, vəwenə mòʼò dyʉ̀ nə̀ məlàm mə vəwenə mù kutə̀ shʉsə à mù diʼ shwèʼ vəwenə. 
MAT.4.19	Yesò gàʼ à vəwenə la,“Ghə̀ŋ vi ə dzɨ̀mtə̀ mò, mà ziʼi ghə̀ŋ, ghə̀ŋ mbòŋsə̀ kutə̀ viʼi.” 
MAT.4.20	No a zhʉ̀ kò, vəwenə ghʉsə məlàm mə vəwenə tsu ə dzɨ̀mtə̀ Yesò. 
MAT.4.21	Wenə vəwenə sə ndyʉ̀, Yesò bè yen vəlemə vətsen və bò, à diʼ Jems wenə Joyn, vunə Zebedì, vəwenə ŋwʉʼ a ngùʼ wenə tiʼi vəwenə temə məlàm mə vəwenə ghə̀ dzàŋ vəwenə. 
MAT.4.22	No a zhʉ kò, vəwenə lù fa ngùʼ ayì ə ghʉsə kanuʼ nə̀ tiʼi vəwenə ə dzɨ̀mtə̀ dyʉ̀ nə̀ Yesò.
MAT.4.23	Yesò sə̀ jèʼè fa loʼ Galìlì no tsèm ziʼi a aloʼ ntsèntə̀ vəwenə, shə̀ʼtə̀ ntɨm jùŋə byìʼì soʼo fòyn Nyìngòŋ, be chʉʼʉ no nkì kwaʼa kò a viʼi nkiʼi. 
MAT.4.24	Soʼo gho kùmə̀ shwèʼ wen dyʉ̀ a loʼ Sylia no tsèm, viʼi mù sə̀ lyɨ̀ viʼi nə̀ tə nkì tə kwaʼa vì nə̀ vəwenə à Yesò. Və sə̀ vì nə̀ viʼi a və nzhʉ lɨ̀m njòsə wen no ŋàŋ, vì nə̀ vətsen və a və nkiʼi zhwì byɨvə bènə̀ viʼi kembvʉ bènə̀ viʼi mu və kwàʼkəli, Yesò chʉʼ vəwenə no vətsèm. 
MAT.4.25	Nòyn viʼi fʉ no ghoʼo, fa Galìlì, fʉ fa ntə̀ʼsə̀ wum, ə fʉ fa Jelusalèm, ə fʉ fa Judiyà nə̀ fa shə loʼ yi a ghə̀ ndiʼ a ndzèn mu mə Jodàn sə dzɨ̀mtə̀ Yesò.
MAT.5.1	Yesò n-yèn tənòyn tə viʼi ando tə vì, ghə̀ kùʼ a kwi pfen ə shiʼi ŋwʉʼʉ a nsè. Ndzɨ̀mtə̀sə bàm wen sə vì tsèntə̀ a wen a mbyɨ̀. 
MAT.5.2	Ghə̀ mù sə ziʼì vəwenə gàʼà la, 
MAT.5.3	“Mbwaʼmə diʼ à viʼi vyi a və zhəʼtə̀ tò a wenə Nyìngòŋ byiʼàndo soʼo fòyn Nyìngòŋ lu ndiʼ à vəwenə. 
MAT.5.4	Mbwaʼmə dìʼ à viʼi vyi a və dì byiʼàndo Nyìngòŋ lu chɨmsə vəwenə. 
MAT.5.5	Mbwaʼmə dìʼ a viʼi vyi a və bwaʼmə byiʼàndo vəwenə lu kiʼi fo vyi a Nyìngòŋ ghʉ li. 
MAT.5.6	Mbwaʼmə dìʼ a viʼi vyi a və ŋwʉʼ jɨŋsə zafə vəwenə, ndòŋ vəwenə be zɨmtə̀ tò la vəwenə ne kənyʉ̀ kì a Nyìngòŋ kəŋə byiʼàndo Nyìngòŋ lu ku kədyòʼ à vəwenə la vəwenə ne nyʉ̀ a vyi. 
MAT.5.7	Mbwaʼmə dìʼ a viʼi vyi a və kusə̀ nshinsə à viʼi və tsenəvə byiʼàndo Nyìngòŋ lu kusə̀ nshinsə à vəwenə. 
MAT.5.8	Mbwaʼmə dìʼ a viʼi vyi a tətyɨm tə vəwenə tə laynə byiʼàndo vəwenə lu yen Nyìngòŋ. 
MAT.5.9	Mbwaʼmə dìʼ a viʼi vyi a və shyə̀ʼ əghʉ mbwaʼmə a viʼi a ntìntìn byiʼàndo və lu dzàŋ vəwenə nə̀ vunə Nyìngòŋ. 
MAT.5.10	Mbwaʼmə dìʼ a viʼi vyi a və tsuʼu aghʉ vəwenə byiʼàndo vəwenə nè ando Nyìngòŋ kəŋə byiʼàndo soʼo fòyn Nyìngòŋ lu diʼ à vəwenə. 
MAT.5.11	Mbwaʼmə dìʼ a ghə̀ŋ a viʼi telə ghə̀ŋ tsuʼ aghʉ ghəŋə be zhò tənkyì tə ndzɨ̀ŋsə tò tətsèm byìʼì ghə̀ŋ tò byiʼàndo ghə̀ŋ diʼi viʼi vwomə. 
MAT.5.12	Və sə nè nyʉ̀ a venə, ghə̀ŋ saŋlə tò saŋlə byiʼàndo mòʼtə̀ ghoʼo ghə̀ kə̀ʼtə̀ ghə̀ŋ a kàŋ. A ndiʼ tò alì a və ntsuʼ aghʉ nshə̀ʼtə̀ sə ghoʼkəsə sə mbìsə.
MAT.5.13	“Ghə̀ŋ dìʼ tò nə̀ fəmbvaŋ à viʼi mbyì. A sətsèn fəmbvaŋ fə faŋ ke be lyìmə̀, və à nè ghò tsu la fə be mbwènsə̀ lyìmə̀ a? Kə a ndiʼ tò la və chʉtə maʼa, viʼi ntuʼlə. 
MAT.5.14	Ghə̀ŋ dìʼ tò nə̀ baynə à viʼi mbyì. Ntə̀ʼ a ghə̀ diʼi a kwi pfen zì kò ghə̀ lu lyòmtə̀. 
MAT.5.15	Wìʼ zì kò ghə̀ lə dyàyn kənkàʼtə̀ ə pfʉsə a tyì nkyè. Ghə̀ diʼi dyàyn ə tom a kəshi kə ŋaŋtə kə ndi kə baynə a ngə̀ŋ no tsèm. 
MAT.5.16	A diʼ tò ndə̀ŋndəŋ ando ghə̀ŋ diʼi baynə a viʼi ndi viʼi yen nyʉ̀ jùŋ və vyi a ghə̀ŋ nè mù nkuʼsə tiʼi ghə̀ŋ yi a ghə̀ diʼi a kàŋ.”
MAT.5.17	“Kə ghə̀ a nkwòʼtə̀ la mà vì ə tsəʼsə soʼ yi a Mosìs nlù kù bènə̀ nyʉ̀ vyi a nshə̀ʼtə̀ sə ghoʼkə sə nlù nyòʼ. Mà ko tə vì ə tsəʼsə nyʉ̀ avyi, mà bòŋsə vì ənè la nyʉ̀ avyi ndiʼ nəmwèʼè. 
MAT.5.18	Mà gàʼ à ghə̀ŋ nəmwèʼè la kaŋ wenə nsè lu sə mè kenla wìʼ a tsəʼsə tè fənyʉ̀tə̀ fa tyì soʼ ayì. Ghə̀ ko lù chò əzaʼa fa tʉʼ a nyʉ̀ a venə no tsèm lu kwʉ̀ʼ. 
MAT.5.19	A sətsèn a kwàʼ no ndò kwàʼa soʼ fa ntìntìn təsòʼ a tèn, tè bè tyetə ghə̀, ə bè ziʼi viʼi la və be kwaʼà tò alì, ghə̀ lu ndiʼ wu tyetə a kəshi kə fòyn Nyìngòŋ. A ghʉ no məndo ghʉ soʼ ayi, be ziʼi viʼi vətsen və la və nghʉ tò alì, ghə̀ lə ndiʼ wu ghoʼo a kəshi kə fòyn Nyìngòŋ. 
MAT.5.20	Ma mù sə gàʼà à ghə̀ŋ la ntsìnə̀ shəŋsə sətsèn dìʼ ke nti a nkàyn ando Nyìngòŋ kəŋə chò sə ndìʼsə̀sə təsoʼ bènə̀ sə viʼi Falàsi, kò ghə̀ŋ lù kwèn a soʼo fòyn Nyìngòŋ.”
MAT.5.21	“Ghə̀ŋ zhʉ li la à ndìʼ a mbi və gàʼ à viʼi la kə wìʼ à zhwi. Və lu soʼ no ndo yì a ghə̀ zhwì. 
