MAT.1.1	Neꞌeŋa a Yesu one a David yaaŋ, ka a Abraham yaaŋ la yaanam yela. 
MAT.4.6	ka yel o ye, “Fu yaꞌa ane Winaꞌam Biig, fun basim fu meŋ n lu teŋin, bozugo li sobne ye,
MAT.4.6	‘Winaꞌam na tis o maleknam noor ye ba mor uf ne ba nuꞌus
MAT.4.6	hale ka fu ku tuꞌug fu nobir ne kugire.’ ”
MAT.4.7	Ka Yesu yel o ye, “Li me sobne ye, ‘Mit ka fu mak fu Zugsob fu Winaꞌam.’ ”
MAT.4.8	Ka Sutaana mor Yesu yaꞌas n du zuetitaꞌar zug paꞌal o dunia soꞌolim wusa ne li paŋ, 
MAT.4.9	ka yel o ye, “Fu yaꞌa siak n igin zunꞌe man, m na tis uf nwa wusa.”
MAT.4.10	Ka Yesu yel Sutaana ye, “Kem sa, li sobne ye, ‘Winaꞌam gullim ka fu na siak n zunꞌe o, ka tum n tis o.’ ”
MAT.4.11	Ka Sutaana bas Yesu ka keŋ. Ka maleknam kena n suŋ o.
MAT.4.12	Ka saŋkan ka Yesu wum ye ba gbanꞌe Joon la, o keŋ Galilee soꞌolim, 
MAT.4.13	ka yi Nazaret n keŋ Kapeenum teŋin line kpiꞌe Galilee beuŋ noorin, Zebulun ne Naftali yaas teŋin. 
MAT.4.14	Ka lin ka Winaꞌam nodiꞌes Azaya n da yel siꞌel la lieb ameŋa ye,
MAT.4.15	“Zebulun ne Naftali nidib,
MAT.4.15	nimbane be Joodan moꞌar nyaꞌaŋ n be ateuk baba la,
MAT.4.15	zinꞌig la me ane Galilee teŋ kane ka bane kaꞌ Jew dim buudi be anina la.
MAT.4.16	Nimbane be anina la,
MAT.4.16	bane be likin la, na nye neesim bedego.
MAT.4.16	Neesim na be n tis bane be teŋ line a lik wenne kuꞌum teŋ la ni.”
MAT.4.17	Saŋkan la ka Yesu daa moon ye, “Tiakim ka basi ya tuumbeꞌed, bozugo Winaꞌam naꞌam la liꞌelne.”
MAT.4.18	Ka Yesu n daa ken Galilee beuŋ noorin la, o nye Simon one buon Piita la, ne o baꞌabiig Andrew, ka ba lobid ba sau beuŋ noorin la; ka li ane ba tuuma la. 
MAT.4.19	Ka Yesu yeli ba ye, “Kemi na dol man ka m na paꞌali ya suer kan ka ya na ke ka nidib dol man, wuu ziŋgbanꞌadib niŋid siꞌem gbanꞌad zimi la.” 
MAT.4.20	Ka ba kpelim basi ba zimi laꞌad la, ka dol o.
MAT.4.21	Ka one gaad tuon la o nye nidib ayi yaꞌas bane a Zebedee biis la. Ba yuda buon Jemes ne Joon. Ka ban ne ba baꞌ Zebedee be aaruŋ la ni n maane ba zimi laꞌad, ka Yesu buoli ba. 
MAT.4.22	Ka ba kpelim bas aaruŋ ne ba baꞌ, ka dol o.
MAT.4.23	Yesu daa giligid Galilee soꞌolim wusa n kpenꞌed laꞌasug doodin n moon Winaꞌam soꞌolim labaar ka tiꞌebid nidib ba banꞌas buudi wusa. 
MAT.4.24	Ka o labaar giligid Siriya teens wusa, ka ba zaŋ bane wusa benꞌed wiim buudi buudi n kenn o saꞌan na, bane namisid ne wiim mekama wusa ne niŋgbina zabir, ne bane ka kikiris doli ba ne kpisiŋkpiꞌir dim ne ponda, ka o ke ka ba wusa nye laafe. 
MAT.4.25	Ka nidib bedego yi Galilee teŋin ne Dekapolis teŋin ne Jerusalem ne Juuda teŋin ne Joodan moꞌar gbeug n dol o.
MAT.5.1	Ka on nye nidib bedego, ka ba kena la, o du zuer zug n zinꞌi. Ka o nyaꞌandolib laꞌas o saꞌan na. 
MAT.5.2	Ka o pinꞌil n paꞌani ba.
MAT.5.3	Ka Yesu paꞌan ye,
MAT.5.3	“Winaꞌam yelsum be ne bane siedi ba meŋ la,
MAT.5.3	bozugo Winaꞌam soꞌolim ane ba din.
MAT.5.4	Winaꞌam yelsum be ne bane mor susaꞌaŋ la,
MAT.5.4	bozugo Winaꞌam na belisi ba.
MAT.5.5	Winaꞌam yelsum be ne bane mor sumbugusum la,
MAT.5.5	bozugo ba na soꞌe dunia.
MAT.5.6	Winaꞌam yelsum be ne bane ka Winaꞌam tuumsuma koꞌom ne kuꞌonuud more ba la,
MAT.5.6	bozugo ba na tig.
MAT.5.7	Winaꞌam yelsum be ne bane zot taab nimbaanlig la,
MAT.5.7	bozugo Winaꞌam na zo ba nimbaanlig.
MAT.5.8	Winaꞌam yelsum be ne popielim dim la,
MAT.5.8	bozugo ba na ti nye Winaꞌam.
MAT.5.9	Winaꞌam yelsum be ne zabpansidib la,
MAT.5.9	bozugo Winaꞌam na buoli ba ye o biis.
MAT.5.10	Winaꞌam yelsum be ne bane ka ba namisidi ba, ba popielim tuuma zug la,
MAT.5.10	bozugo Winaꞌam soꞌolim ane ba din.
MAT.5.11	“Winaꞌam yelsum be ne yanam ban ka ba tuꞌudi ya, ka namisidi ya, ka pianꞌad ziri pianꞌabeꞌed n ziꞌini ya, yanam dol man la zug. 
MAT.5.12	Keli ka ya sunya malis, ka ya mor tiꞌir, bozugo ya nyood ane bedego arazana ni. Ala men ka ba da namis Winaꞌam nodiꞌesidib bane deŋi ya tuon la.”
MAT.5.13	Ka Yesu lem yel ye, “Ya ane yaarum dunia nwa ni. Ka yaarum mimilim yaꞌa yi, li na lem nye mimilim yaani? Ka li yuꞌun lieb ne zaalim. Ka li suꞌum ye ba lobig bas, ka nidib na nood ne noba.
MAT.5.14	“Ya ane dunia nwa neesim. Ka ya me wenne teŋ kane ka ba me zuer zug la, ka li ku tunꞌe n suꞌaa. 
MAT.5.15	Bee nid kaeꞌ na nyuꞌe fitla, ka pibil ne peogo, amaa o na zuol li siꞌel zugin, ka li nie nyain n tis nidib ban wusa n be yin la. 
MAT.5.16	Dinzugo keli ka ya neesim nie nyain nidib tuon, ka ba nye ya tuumsuma, ka pianꞌa ya Baꞌ one be arazana ni la yuꞌur.
MAT.5.17	“Da tenꞌes ye m kena ye m saꞌam Winaꞌam wada laa, bee o nodiꞌesidib pianꞌad laa. M pu kena ye m saꞌami lii, amaa m kena ye m paꞌali li gbin ameŋa. 
MAT.5.18	Yelmeŋir ka m yeti ya ye, Winaꞌam wada bumbil baa yinni ku saꞌam, asee agol ne dunia ti saꞌam, ka yelug la wusa lieb ameŋa. 
MAT.5.19	Dinzugo one saꞌam Winaꞌam wada bumbil yinni, ka paꞌal o taab ala, ba na ti buon o nimbil arazana soꞌolim ni. Amaa one n siak Winaꞌam noor, ka paꞌal o taab ala, ba na ti buon o nintitaꞌar arazana soꞌolim ni. 
MAT.5.20	Yelmeŋir ka m yeti ya ye, ya tuumsuma yaꞌa pu venl n gaad gbauŋmiꞌidib ne Fariseenama, ya ku tunꞌe nye suer n kpenꞌ arazana soꞌolim nii.
MAT.5.21	“Ya pun wum ka ba da yel kudum dim ye, ‘Da ku nidaa, ka on mekama ku nid, mor yel antuꞌa zinꞌigin.’ 
MAT.5.22	Amaa man yeti ya ne ye, on mekama wusa, ka o sunf pelig ne o baꞌabiig, mor yel antuꞌa zinꞌigin. Ka one me yel o baꞌabiig ye, ‘Yalim nwa,’ o mor yel kpeenmnam saꞌan. Ka one me yel o baꞌabiig ye, ‘Fu kaꞌa voonre,’ on daana na nye namisug bugum teŋ.
MAT.5.23	“Dinzugo, fu yaꞌa mor fu piini ye fu tis Winaꞌam n kenn Winaꞌam puꞌusum yin, maan zinꞌig ye fu maal maan, ka anina ka fu tienn ye fu mor yel ne fu baꞌabiig, 
MAT.5.24	fun basimi fu maan zinꞌikan ni, ka keŋ n deŋi maal fu yel la ne fu baꞌabiig la, ka nyaan leb n maal maan la tis Winaꞌam.
MAT.5.25	“Deŋim maal fu yel ne fu zabadintaa toꞌoto yanam nam be sueren la. Li yaꞌa kaꞌa ala, fu zabadintaa la na taꞌas uf koto ni. Ka antuꞌa tuꞌad la na tuꞌa fu tuꞌam. Ka ba mor uf kpenꞌes sarega ni. 
MAT.5.26	Yelmeŋir ka m yeti ya ne ye, fu ku nye suer n yi sarega ni laa, asee fu yo fu sam la wusa.
MAT.5.27	“Ya wum ka ba da yel ye, ‘Mit ka ya saꞌam poꞌa bee dau.’ 
MAT.5.28	Amaa man yeti ya ne ye, soꞌ yaꞌa gos poꞌa, ka o yaꞌamleog kpenꞌ o, o saꞌam poꞌa la ne o potenꞌerin. 
MAT.5.29	Fu datiuŋ nif yaꞌa ke ka fu tum taal, fun kpidigim li n lob bas, bozugo li suꞌum ye fu nif yinni na ti saꞌam, n sonꞌe ye ba zaŋ fu niŋgbina wusa n lob bugum teŋ. 
MAT.5.30	Ka fu datiuŋ nuꞌug yaꞌa ke ka fu tum taal, fun fiꞌigim li n lob bas, bozugo li suꞌum ye fu lua yinni na ti saꞌam, n sonꞌe ye ba zaŋ fu niŋgbina wusa n lob bugum teŋ.”
MAT.5.31	“Ba pun da yel ye, ‘One lebis o poꞌa, tisim o kaseta gbauŋ line paꞌan ye o lebis poꞌa la.’ Amaa man yeti ya ne ye, on mekama lebis o poꞌa, ka li kaꞌ ye poꞌagoondir yela, one ke ka poꞌa la lieb poꞌagoondir. 
MAT.5.32	Ka one me di poꞌa kan ka o sid lebis la, me na ane poꞌasaꞌuŋ.
MAT.5.33	“Ya lem wum yaꞌas ka ba da yel kudum dim ye, ‘Da panꞌalim ziri panꞌaluŋo, amaa kel ka ya panꞌaluŋ a ameŋa ne Zugsob la.’ 
MAT.5.34	Dinzug ka man yeti ya ye, da po baa biꞌela mene. Ka da po arazana, bozugo li ane Winaꞌam naꞌam gbauŋ, 
MAT.5.35	bee po dunia ni, bozugo li ane o noba ziꞌelug zinꞌig bee po Jerusalem, bozugo li ane naꞌatitaꞌar la teŋ, 
MAT.5.36	bee po fu zugo, bozugo, fu ku tunꞌe n ke ka fu zuobug yinni lebig pielig bee sabiliga. 
MAT.5.37	Kel ka ya pianꞌad na ane eenn, eenn, bee ayei, ayei, bozugo li yaꞌa gaad ala, li ane tuumbeꞌed sob la din.
MAT.5.38	“Ya pun wum ka ba da yel ye, ‘Nif yood nif sam, ka nyin yood nyin sam.’ 
MAT.5.39	Amaa man yeti ya ne ye, da yiꞌe tuumbeꞌed sam ne. Amaa soꞌ yaꞌa nweꞌ fu datiuŋ yier, fun fendigim fu dagobug yier la me tis o. 
MAT.5.40	Soꞌ yaꞌa gbanꞌe uf koto ni n diꞌe fu banaa, fun kel ka o diꞌe fun dansika la men. 
MAT.5.41	Ka soꞌ yaꞌa mugus uf ye fu dol o mail yinni, fun dol o mail ayi. 
MAT.5.42	Soꞌ yaꞌa sos uf siꞌel, fun tisim o, ka da moŋ one bood peꞌeŋire fu saꞌane.
MAT.5.43	“Ya pun wum ka ba da yel ye, ‘Noŋimi fu buudi ka kisigi fu biꞌem.’ 
MAT.5.44	Amaa man yeti ya ne ye, ya noŋimi ya biꞌemnam, ka sos Winaꞌam n tis bane namisidi ya. 
MAT.5.45	Ka ya na lieb ya Baꞌ one be arazana ni la biis, bozugo one ket ka o nintaŋ nied n tisid ninsuma ne nimbeꞌednam, ka ket ka saa niid tisid bane a yelmeŋir dim ne bane kaꞌa yelmeŋire. 
MAT.5.46	Bozugo fu yaꞌa noŋ ne bane noŋ uf la, li nyood a bo? Hale baa lampodiꞌesidib me niŋid ala. 
MAT.5.47	Ka fu yaꞌa puꞌusidne bane a fu baꞌabiis gullim ne, fu maan bo ka li gaad fu taaba? Buudi ban pu dol Winaꞌam wusa niŋid ala men. 
MAT.5.48	Dinzugo ya bei suꞌuŋa wenne ya Baꞌ one be arazana ni la n a suꞌuŋa siꞌem la.
MAT.6.1	“Mit ka ya maal ya tuumsuma nidib tuon ye ba gosi. Ya yaꞌa maal ala, ya ku diꞌe nyood ya Baꞌ one be arazana ni la saꞌanee.”
MAT.6.2	“Dinzugo fu yaꞌa suŋ noŋdaan, da ke ka ba nweꞌ luŋ fu tuone, wenne zam dim maan siꞌem laꞌasug doogin ne sueya ni, ye nidib pianꞌa ba. Ameŋa ka m yeti ya ye, ban diꞌene ba yood ne ala. 
MAT.6.3	Amaa fun yaꞌa suŋ noŋdaan, fun da ke ka fu dagobug baŋ fu datiuŋ niŋid siꞌela. 
MAT.6.4	Dinzugo suꞌam ne suŋ noŋdim, ka fu Baꞌ one nye ka fu suꞌad n suŋid siꞌem la, na tis uf li yood.
MAT.6.5	“Ka fu yaꞌa puꞌusid Winaꞌam, fun da niŋ wenne zam dim laa, bozugo ban bood ye ba ziꞌe laꞌasug doogin ne suekita ni n puꞌusid, ye nidib nye ba. Ameŋa ka m yeti ya ye, ba diꞌene ba yood ala. 
MAT.6.6	Amaa fu yaꞌa ye fu puꞌus Winaꞌam, fun kpenꞌem fu doogin ka yo zaꞌanoor, ka puꞌus fu Baꞌ Winaꞌam one suꞌa la. Ka fu Baꞌ one nye fu yela bane suꞌa la na tis uf li yood.
MAT.6.7	“Fu yaꞌa puꞌusidne, da pianꞌa pianꞌazaalis wenne bane ziꞌ Winaꞌam n niŋid siꞌem la, bozugo ba tenꞌes ye ba pianꞌad bedego zug ka Winaꞌam na diꞌe ba puꞌusum. 
MAT.6.8	Da maan wenne bane, bozugo ya Baꞌ Winaꞌam pun miꞌ yanam bood siꞌel, hale ka ya nam pu sos oo. 
MAT.6.9	Dinzugo sosimi ne anwa,
MAT.6.9	‘Ti Baꞌ one be arazana ni,
MAT.6.9	ka fu yuꞌur a suꞌuŋa,
MAT.6.10	ka fu naꞌam na kena,
MAT.6.10	ka ke ka fu boodim n maal dunia zug,
MAT.6.10	wenne lin maan arazana ni siꞌem la,
MAT.6.11	ka tisi ti zina diib
MAT.6.11	wenne fun n tisid ti daar wusa siꞌem la,
MAT.6.12	ka di suguru ne ti poꞌogir zug,
MAT.6.12	wenne tinam dit suguru ne ti taab bane poꞌogidi ti siꞌem la.
MAT.6.13	Ka da ke ka ti kpenꞌ makir poogine.
MAT.6.13	Amaa yiisimi ti yelbeꞌed poogin.’
MAT.6.14	Ya yaꞌa di nidib suguru ba tuumbeꞌed zug, ya Baꞌ one be arazana ni la, na di ya suguru men. 
MAT.6.15	Amaa ya yaꞌa pu di suguru ne nidib ba tuumbeꞌed zugo, ya Baꞌ me ku di suguru ne ya tuumbeꞌed la zugo.
MAT.6.16	“Ka ya yaꞌa lo noor, yanam da niŋ wenne zam dim la lood nindaas siꞌem laa, bozugo ba loodne ba nindaas ye nidib baŋ ye ba lood noor. Li ane ameŋa ka m yeti ya ye, ba diꞌene ba yood la. 
MAT.6.17	Amaa ya yaꞌa lo noor, yanam suenmi ya zut ne kpaam, ka piesi ya nindaas. 
MAT.6.18	Ka nidib ku baŋ ye ya lo noore. Ka ya Baꞌ one suꞌa la, na baŋi li. Dinzugo ya Baꞌ one nyet bun line suꞌa la na tisi ya li yood.
MAT.6.19	“Da suꞌa ya arazaꞌas dunia nwa nii, ka zinꞌikan ka muak muꞌad ka teŋinzenꞌem me saꞌami li, ka naꞌayiis kpenꞌed n zuud. 
MAT.6.20	Amaa digilimi ya arazaꞌas arazana ni. Anina ka muak ne teŋinzenꞌem ku saꞌami baa, ka naꞌayiis me ku kpenꞌ n zuu. 
MAT.6.21	Bozugo ya arazaꞌase be siꞌel la, ya potenda me bene anina.
MAT.6.22	“Fu nif wenne niŋgbiŋ fitla. Ka fu nif yaꞌa a suꞌuŋa, fu niŋgbina wusa ane nyain. 
MAT.6.23	Ka fu nini yaꞌa a beꞌed, fu niŋgbina wusa ane lik. Neesim kane nie fu ni la yaꞌa lebig lik, li ane lik ameŋa.
MAT.6.24	“Soꞌ kaeꞌ na siaki dol zugsobnam ayii, bozugo o na kisi yinni, ka noŋ yinni, bee o na naꞌas yinni, ka poꞌog yinni. Ya ku tunꞌe dol Winaꞌam, ka lem bood dunia laꞌade.
MAT.6.25	“Dinzugo man yeti ya ye, ya da yaꞌamsid ne ya nyovuya nwa yela yanam na di siꞌel, bee nu siꞌel, bee ya niŋgbina na yeꞌ siꞌela. Nyovur pu gat diibo? Ka ya niŋgbina pu gat fuude? 
MAT.6.26	Gosimi, niis bane ianꞌad agol la. Ba pu buta, ka me pu buni n laꞌased n suꞌad buya nii. Amaa ne lin wusa, ya Baꞌ one be arazana ni la, diisidi ba. Yanam pu gat niise? 
