GEN.1.1	A tîra Pathianin lei leh vân a siam khân 
GEN.1.25	Pathian chuan ramsa te, ran te leh leia vâk chi te, thil nung tinrêng te chu a siam a. Pathianin a han en chuan ṭha a ti hle a.
GEN.1.26	Tin, Pathian chuan, “Keimahni ang, kan anpuiin mihring siam ila, tuifinriata sangha te, chunglêng sava te, ran te, ramsa te leh leia vâk chi zawng zawng chungah te thu nei teh se,” a ti a. 
GEN.1.27	Pathian chuan amah angin mihring, mipa leh hmeichhia a siam a, Pathian anpui ngeiin a siam a ni. 
GEN.1.28	Pathian chuan anni chu mal a sâwm a, an hnênah, “Fanau neiin lo pung deuh deuh rawh u; lei hi luah khat ula, nei vek rawh u; tuifinriata sangha te, chunglêng sava te leh leia thil nung awm zawng zawng chungah thu nei bawk rawh u,” a ti a.
GEN.1.29	Pathian chuan heti hian a ti bawk: “Ngai teh u, in ei atân leia thlai, a fanga rah te; thei, a mu neia rah te ka pe a che u; 
GEN.1.30	leia ran zawng zawng te, chunglêng sava te leh nungcha lei chunga vâk chi te ei atân hnimhring ka pe bawk a ni,” tiin. Chutiang chu a ni ta mai a. 
GEN.1.31	Pathian chuan a thilsiam zawng zawng chu a hmuhin ṭha a ti êm êm a. Tlai a lo ni a, zîng a lo ni leh a: a ni rukna chu.
GEN.2.1	Lei leh vân leh thil engkim siam chu zawh a ni ta a. 
GEN.2.2	A ni sarihna ni-ah Pathianin a thilsiam hna chu a zawh fel tâk avângin a ni sarih ni chuan a châwl ta a. 
GEN.2.3	A thilsiam hna zawng zawng a tih zawha a chawlhsan tâk avângin Pathian chuan a ni sarih ni chu mal a sâwm a, a serh ta a. 
GEN.2.4	Chu chu lei leh vân siam dân chanchin chu a ni.
GEN.2.6	Lei aṭangin tuihu a lo chhuak a, chu chuan lei chu a tihnâwng ṭhîn a ni. 
GEN.2.7	 Pathian chuan lei vaivutin mihring a siam a, a hnârah chuan nunna thaw a thaw lût a, mihring chu mi nung a lo ni ta a. 
GEN.2.9	 Pathian chuan thing mawi tak tak leh rah tui tak huanah chuan a ṭotîr a, huan lai takah chuan nunna thing leh a chhia a ṭha thleina thing a ṭotîr bawk a. 
GEN.2.10	Huan tihnâwng tûr chuan lui pakhat a luang tlang a, huan pâwnah chuan pêng liin a pêng darh a. 
GEN.2.11	Pêng khat hming chu Pison a ni a, rangkachak tamna Havila ramah a luang a. 
GEN.2.12	Chu rama rangkachak chu a ṭha bîk a, lungmantam Bidela leh Soham pawh a awm. 
GEN.2.13	Lui pakhat hming chu Gihon a ni a, Kus ramah a luang tlang a. 
GEN.2.14	Lui pathumna chu Hidekal a ni a, Asuria chhak lamah a luang a. A palina chu Eufretis lui hi a ni.
GEN.2.16	 Pathian chuan mihring chu a hrilh a, “Huana thing rah hi i duh duh i ei thei ang. 
GEN.2.17	A chhia a ṭha thleina thei erawh hi chu ei tûr a ni lo, i ei phawt chuan i ei niin i thi ngei ang,” a ti a.
GEN.2.19	 Pathian chuan leiin ramsa tinrêng leh chunglêng sava tinrêng a han siam a. Mihring chuan engtin nge a lo koh dâwn hriat nân a hnênah a rawn hruai zêl a; mihringin a lo koh dân ang zêl chu thil nung tinrêng chuan hmingah an pu ta a. 
GEN.2.20	Mihring chuan ran te, chunglêng sava te leh ramsa tinrêng te chu hming a neihtîr a; mahse, mihring chuan amah ṭanpuitu tûr, kawppui âwm a hmu lo.
GEN.2.22	Mipa nâkruh a lâk aṭang chuan 
GEN.2.23	Ani chuan, “Hei zet zawng, ka ruh ang ruh nei, ka tisa ang tisa pu zu nia le! Mipa aṭanga lâk chhuah a nih avângin ‘hmeichhia’ tih tûr a ni,” a ti a. 
GEN.2.24	Hei vâng hian mipain a nu leh a pa a thlah a, a nupui a vuan a, tisa pumkhat an lo ni ta a ni. 
GEN.2.25	Mipa leh hmeichhia chu saruakin an awm a; mahse, an zak lêm lo.
GEN.3.2	Hmeichhia chuan rûl hnênah, “Huana thei rahte hi kan ei thei asin. 
GEN.3.3	Huan laia awm thing rah hi erawh chu Pathian chuan, ‘Ei suh u, tawh pawh tawk suh u, in thi mai ang,’ min ti a ni,” a ti a. 
GEN.3.4	Rûl chuan hmeichhe hnênah, “Thi teh suh e! 
GEN.3.5	In ei veleh in mit a lo vâr ang a, Pathian angin a chhia a ṭha in thlei ve tawh dâwn tih Pathian chuan a hria atin alâwm,” a ti a.
GEN.3.6	Hmeichhia chuan thei tuihnai, tui âwm tak, fin theihna tûra thei îtawm tak a ni tih a hmuh chuan a lo va, a ei ta a; a ṭhen chu a pasal a pe ve a, ani pawh chuan a ei ta a. 
GEN.3.7	An pahnih chuan an mit a lo vâr a, saruak an nih an hrechhuak ta a; tichuan, theipui hnah an chilh khâwm a, fên tûr an insiam a.
GEN.3.8	Tlai ni nêm chuan huana 
GEN.3.10	“Huana i thâwm ka hria a, saruak ka nih avângin ka hlau che a, ka biru a ni,” tiin a chhâng a. 
GEN.3.11	“Saruak i nih tu nge hrilh che? Ei loh tûr ka tih thei kha i lo ei a ni maw?” a ti a.
GEN.3.12	Mipa chuan, “Mi awmpui tûra i tih hmeichhia khân thei rah chu mi pe a, ka ei ta a ni,” a ti a. 
GEN.3.13	 Pathian chuan hmeichhe hnênah, “Engtiziaa hetiang thil hi ti nge i nih?” a ti a. Hmeichhia chuan, “Rûlin min tihder a, ka ei ta mai a ni,” a ti a.
GEN.3.15	“Nang leh hmeichhia hi ka inhmêlmâktîr ang che u a, i thlahte leh a thlahte pawh an inhmêlmâk zêl ang. I luruh a vaw keh ang a, nangin a keartui i chuk ang,” a ti a. 
GEN.3.16	Hmeichhe hnênah chuan, “I nau vei na ka tizual ang a, na ti takin fa i hring dâwn a ni; mahse, i thlâkhlelh chu i pasal a ni ang a, ani chuan i chungah thu a nei ang,” a ti a.
GEN.3.17	Adama hnênah chuan, ‘I nupui thu i zâwm a, ei loh tûr ka tih thei kha i ei a, i tân lei hi ânchhia ka lawh ta. I dam chhûng zawng hah takin ei tûr i thawk chhuak ang. 
GEN.3.18	Hnimhlîngnei te, hlohar te a ṭo vang a, chuta thlai chu i ei ang. 
GEN.3.19	I lo pian chhuahna leia i kîr leh hma chu thlansaphûlkaiin ei i zawng ang. Vaivut i ni a, vaivutah bawk i kîr leh tûr a ni,” a ti a.
GEN.3.20	Mipa chuan a nupui chu mi zawng zawng nu a nih avângin a hmingah Evi a sa a. 
GEN.3.21	 Pathian chuan mipa leh a nupui tân savun puan a siam a, a sintîr a.
GEN.3.23	Tichuan, 
GEN.3.24	Mihring a hnawh chhuah hnu chuan Eden huan chhak lamah cherub-te leh khandaih vir tawn, huan vêng tûr chuan a dah a.
GEN.4.1	Adama chuan a nupui Evi chu a pâwl a, nau a pai a; Kaina a hring a, “
GEN.4.2	A nau Abela chu a hring leh a. Abela chuan berâm a vulh a, Kaina chuan lo a nei a. 
GEN.4.3	Eng emawti hnuah chuan Kaina chuan a lova thlai thar chu 
GEN.4.4	Abela pawh chuan a berâmno piang hmasa zînga mi a rawn la a, a sa ṭha lai ber chu a hlan a. 
GEN.4.5	Kaina chungah leh a thilhlanah chuan a lâwm lo. Kaina chu a thin a ur a, a hmêl a dur ta khup a. 
GEN.4.6	 chuan Kaina hnênah, “Engati nge i thin a ura, i hmêl a dur tâk le? 
GEN.4.7	Thil ṭha ti la, i hmêl pawh a hlim ang chu. Thil ṭha i tih loh avângin sual chuan kawngkaah nghâkhlel takin a châng reng che a ni; mahse, i hneh tûr a ni asin,” a ti a.
GEN.4.8	Kaina chuan a nau Abela hnênah, “I feh ang hmiang,” a ti a. Lo an thlen chuan Kaina chuan a nau Abela chu a bei a, a that ta mai a.
GEN.4.10	Ani chuan, “Engtizia nge hetiang thil hi i tih le? I nau thisen aw chuan lei aṭangin min au asin. 
GEN.4.11	Chuvângin, nangma thah ngei i nau thisen lo dawngtu lei chungah hian i hmuingîl dâwn tawh lo a ni. 
GEN.4.12	Lo i neih pawhin a rah seng tûr i nei lo vang; leiah hian chanhai takin i vâkvai tawh ang,” a ti a.
GEN.4.13	Kaina chuan 
GEN.4.14	Vawiinah he ram ata hi min hnawt chhuak a, i hmuh loh tûrin ka awm dâwn ta a ni si a; leiah hian chanhai takin ka vâkvai dâwn ta a ni. Chuvângin, min hmu apiangin min that mai ang asin,” a ti a.
GEN.4.16	 hma ata Kaina chu a chhuak a, khawchhak lam Nod ramah chuan a awm ta a.
GEN.4.17	Kaina chuan a nupui a pâwl a, nau a nei a. Enoka a hring a. Khua a siam a, a fapa hming chawiin ‘Enok’ a vuah a. 
GEN.4.18	Enoka chuan Irada fapa a nei a; Irada chuan fapa Mehujaela a nei a, Mehujaela chuan fapa Methusaela a nei a, Methusaela chuan fapa Lameka a nei a. 
GEN.4.19	Lameka chuan nupui pahnih a nei a, pakhat hming chu Adaii a ni a, pakhat hming chu Zillaii a ni. 
GEN.4.20	Adaii chuan Jabala a hring a, ani chu berâm vulha puan ina chêngho thlahtu a ni. 
GEN.4.21	Chu mi nau chu Jubala a ni a, ṭingṭang leh phênglâwng tum mite thlahtu a ni. 
GEN.4.22	Zillaii pawh chuan Tubal-kaina a hring a, ani chu dâr leh thîr hmanraw tinrêng chhertu a ni. Tubal-kaina chuan farnu Naamaii a nei.
GEN.4.23	Lameka chuan a nupuite hnênah:
GEN.4.23	“Adai, Zillai, ka thu hi ngaithla ula, Lameka nupuite u, ka sawi hi bengkhawn rawh u: Min tipemtu chu ka that a, min vawtu tlangvâl chu ka that bawk a ni.
GEN.4.24	Kaina phuba laa mi pasarih an thih chuan, Lameka phuba lâk nân mi sawmsarih leh pasarih an that ang,” a ti a. 
GEN.4.25	Adama chuan a nupui chu a pâwl leh a, fapa a hring a, a hmingah Setha a sa a. “Kainan Abela min thahsak tâk avângin a aiah Pathianin fapa min pe leh ta a nih hi,” a ti a ni.
GEN.4.26	Setha pawh chuan fapa a nei a, a hmingah Enosa a sa a. Chutih lai chuan a ni, miten 
GEN.5.1	Hetiang hi Adama thlahte chanchin chu a ni. Pathianin mihring a siam khân Pathian anpui ngeiin a siam a ni. 
GEN.5.2	Mipa leh hmeichhia a siam a, mal a sâwm a, a siam ni chuan an hmingah ‘mihring’ a vuah a. 
GEN.5.3	A anpui, amah ang taka fapa a hrin khân Adama chu kum za leh sawmthuma upa a ni a, a fapa hmingah chuan Setha a sa a. 
GEN.5.4	Setha a neih hnu chuan Adama chu kum zariat a dam a, fanu fapa dangte a nei a. 
GEN.5.5	Adama chu kum zakua leh sawmthum chhûng a dam a, a thi ta a.
GEN.5.6	A fapa Enosa a pian khân Setha chu kum za leh pangaa upa a ni a. 
GEN.5.7	Enosa a pian hnuah Setha chu kum zariat leh pasarih a dam a, fanu fapa dangte a nei a. 
GEN.5.8	Setha chu kum zakua leh sâwm leh pahnih chhûng a dam a, a thi ta a.
GEN.5.9	A fapa Kenana a pian khân Enosa chu kum sawmkuaa upa a ni a. 
GEN.5.10	Kenana a pian hnuin Enosa chu kum zariat leh sâwm leh panga a dam a; fanu fapa dangte a nei a, 
GEN.5.11	Enosa chu kum zakua leh panga chhûng a dam a, a thi ta a.
GEN.5.12	A fapa Mahalalela a pian khân Kenana chu kum sawmsariha upa a ni a. 
GEN.5.13	Mahalalela a pian hnuin Kenana chu kum zariat leh sawmli a dam a; fanu fapa dangte a nei a. 
GEN.5.14	Kenana chu kum zakua leh sâwm chhûng a dam a, a thi ta a.
GEN.5.15	A fapa Jareda a pian khân Mahalalela chu kum sawmruk leh pangaa upa a ni a. 
GEN.5.16	Jareda a pian hnuin Mahalalela chu kum zariat leh sawmthum a dam a; fanu fapa dangte a nei a. 
GEN.5.17	Mahalalela chu kum zariat leh sawmkua leh panga chhûng a dam a, a thi ta a.
GEN.5.18	A fapa Enoka a pian khân Jareda chu kum za leh sawmruk leh pahniha upa a ni a. 
GEN.5.19	Enoka a pian hnuin kum zariat a dam a, fanu fapa dangte a nei a. 
GEN.5.20	Jareda chu kum zakua leh sawmruk leh pahnih chhûng a dam a, a thi ta a.
GEN.5.21	A fapa Methusela a pian khân Enoka chu kum sawmruk leh pangaa upa a ni a. 
GEN.5.22	Methusela a pian hnuin Enoka chu kum zathum chhûng Pathian nên an lêng dûn ṭhîn; fanu fapa dangte a nei a. 
GEN.5.23	Enoka chu kum zathum leh sawmruk leh panga chhûng a dam a. 
GEN.5.24	Enoka chu Pathian nên an lêng dûn ṭhîn, Pathianin a lâk tâk avângin a awm ta lo a ni. 
GEN.5.25	A fapa Lameka a pian khân Methusela chu kum za leh sawmriat leh pasariha upa a ni a. 
GEN.5.26	Lameka a pian hnuin kum zasarih leh sawmriat leh pahnih a dam a; fanu fapa dangte a nei a. 
GEN.5.27	Methusela chu kum zakua leh sawmruk leh pakaw chhûng a dam a, a thi ta a.
GEN.5.28	Fapa a neihin Lameka chu kum za leh sawmriat leh pahniha upa a ni. 
GEN.5.29	“He mi hian leia kut hna rim taka kan thawh, 
GEN.5.30	Nova a pian hnuin Lameka chu kum zanga leh sawmkua leh panga a dam a; fanu fapa dangte a nei a. 
GEN.5.31	Lameka chu kum zasarih leh sawmsarih leh pasarih chhûng a dam a, a thi ta a.
GEN.5.32	Kum zanga vêla upa a nih khân Nova chuan fapa Sema te, Hama te, Jafeta te a nei a.
GEN.6.1	Leiah mihring an lo tam a, fanute pawh an ngah ta hle a. 
GEN.6.2	Pathian fate chuan mihring nulate hmêlṭhatzia an hmuh chuan an duh duh nupuiah an nei ta a. 
GEN.6.3	 chuan, “Mihring hi an dam kumkhua ka remti lo, an tisa mi êm mai; kum za leh sawmhnih erawh chu dam thleng rawh se,” a ti a. 
GEN.6.4	Chutih hun lai chuan, a hnu deuhvah pawh leiah hian Nefil-ho an awm a. Chûng chu Pathian faten mihring fate nupuia an neiha an thlah tâkte an ni. Chûng mite chu hmânlai mi hrâtkhawkhêng, mi hmingthang tak tak an ni. 
GEN.6.5	 chuan leia mihring sual nasatzia chu a hmu a, eng lai pawhin thil sual hlîr an ngaihtuah a ni. 
GEN.6.6	Leiah mihring a siam ta chu pawi a ti a, a rilru a na hle a. 
GEN.6.7	 chuan, “Mihring te, ramsa te, a tlenga tleng mi te, chunglêng sava ka siam te hi ka nuai bo mai teh ang, ka siam ta kha pawi ka ti êm mai,” a ti a. 
GEN.6.8	Nova erawh chu 
GEN.6.9	Hei hi Nova thlahte chanchin chhuina a ni. Nova chu mi ṭha a ni a, a dam rualpuite zîngah sawisêl kai lo awm chhun a ni. Nova chu Pathian nên an lêng dûn ṭhîn. 
GEN.6.10	Nova chuan fapa pathum, Sema te, Hama te, Jafeta te a nei a.
GEN.6.11	Pathian ngaihin lei chu a chhe let dêr a, inpâwngnêknain a khat a ni. 
GEN.6.12	Khawvêl chhiat tâkzia chu Pathian chuan a hmu a. Ngai teh, leia mi tin a sual zâwng hlîrin an khawsa a ni.
GEN.6.13	Pathianin Nova hnênah, “Mihringte hi tihboral ka tum ta. Lei hi anmahni avângin inpâwngnêknain a khat ta si a, lei pawh hi ka tichhe vek dâwn a ni. 
GEN.6.14	Tichuan, thing ṭha chi hmangin lawng tuk rawh; lawngah chuan pindante siam la, a chhûng lam leh a pâwn lamah alkatra hnawih chhuak vek ang che. 
GEN.6.15	Lawng chu tawng zathuma sei, tawng sawmngaa zau, tawng sawmthuma sângin tuk ang che. 
GEN.6.16	Lawngah chuan tukverhte siam la, bang leh a chung inkâr chu inchi sâwm leh pariat a ni tûr a ni; lawng kawngka chu a sîrah hawng ang che, chhâwng thum neiin i siam tûr a ni.
GEN.6.17	“Ngai teh, kei hian lei chîm pil tûr tui ka lêttîr dâwn a ni. Vân hnuaia nunna nei rêng rêng chu ka nuai bo vek dâwn; leia engkim a chhe nghâl ang. 
GEN.6.18	Nang nên erawh chuan thu ka thlung ang a, lawngah i lût ang a, i nupui leh i fate pawh, an nupuite nên lawngah chuan in lût tûr a ni. 
GEN.6.19	Thil nung tinrêng, tisa pu rêng rêng chu an him theih nân, pahnih zêl, a nu leh a pa hruai lût ve ang che. 
GEN.6.20	Sava chi tin nên ran leh a tlenga tleng chi hrang hrang nên an him theih nân pahnih zêl an lût ve tûr a ni. 
GEN.6.21	In tla tâwk tûr ei tûr la khâwm la, nangni leh anni ei atân chhêk khâwm ang che,” a ti a.
GEN.6.22	Nova chuan Pathian thupêk ang chuan a ti ta vek a. 
GEN.7.2	Leia chi thlaha nung zêl tûrin sa thiang zînga mi tuak sarih zêl, a nu leh a pa; sa thiang lo zînga mi tuak khat zêl, a nu leh a pa; 
GEN.7.3	chunglêng sava zînga mi tuak sarih, a nu leh a pa, hruai lût bawk ang che. 
GEN.7.4	Tûn aṭanga ni sarih ralah ni sawmli chhûng chhûn leh zân ruah ka sûrtîr dâwn a ni. Thil nung ka siam tinrêngte chu lei ata ka timang vek dâwn,” a ti a.
GEN.7.5	Nova chuan Pathian thupêk ang chuan a ti a, 
GEN.7.6	Lei chunga tui a lo lêt khân Nova chu kum zaruka upa a ni. 
GEN.7.7	Tui a lêt dâwn avângin Nova leh a nupui chu, an fate leh an nupuite nên lawngah chuan an lût a. 
GEN.7.8	Sa thiang leh thiang lo, chunglêng savate leh leia tleng ṭhîn chi tinrêngte chu, 
GEN.7.9	Pathianin Nova hnêna thu a pêk angin pahnih zêl, a nu leh a pa, Nova lawng chhûngah chuan an lût ta a. 
GEN.7.10	Ni sarih a ral hnu chuan lei chungah tui a lo lêt ta a.
GEN.7.11	Nova kum zaruk a nih kum, thla hnihna, ni sâwm leh pasarih ni tak chuan tuithûkpui tuite chu a lo sah a, vân tukverhte chu a inhawng a. 
GEN.7.12	Ni sawmli leh zan sawmli chhûng ruahpuivânâwn a sûr ta chiam a. 
GEN.7.13	Chumi ni chuan Nova leh a fa pathum, Sema te, Hama te, Jafeta te, Nova nupuite leh a mo pathumte chu lawngah an lût a, 
GEN.7.14	chumi ni ngei chuan ramsa tinrêng, ran tinrêng, thil nung tinrêng - leia tleng te, sava chi tinrêng, thlâwk thei tinrêng te chu lawngah an lût ve a. 
GEN.7.15	Nunna thaw nei, tisa pu zawng zawng chu an lût kim a ni. 
GEN.7.16	Nova hnêna Pathianin thu a pêk angin nupa kawp zêlin an lût a. 
GEN.7.17	Leiah ni sawmli chhûng zawng tui a lo lêt ta a; tuiin a chîm ang zêlin lawng chu a lâng zêl a. 
GEN.7.18	Lei chungah tui chu a lo pung a, a chîm sâng tial tial a, lawng pawh chu a lâng zêl a. 
GEN.7.19	Lei chungah tui chu a tam tulh tulh a, a lei chîm chin pawh a sâng tial tial a, tlâng sâng berte pawh a chîm pil ta a. 
GEN.7.20	Tlâng sâng ber chhîp pawh chu tawng sâwm leh panga laia thûkin a pil a ni. 
GEN.7.21	Tisa pu, leia che thei awm zawng zawng, sava te, ran te, ramsa te, a ruala tla chi te, mihring te a chîm hlum zo ta a. 
GEN.7.22	Thaw thei tawh phawt, khawmuala chêng zawng zawng chu an thi zo ta a. 
GEN.7.23	Khawvêla awm zawng zawng, mihring te, ran te, leia tleng chi te, chunglêng sava te an boral ta vek a. Nova leh lawng chhûnga awmte chauh chu zuah an ni. 
GEN.7.24	Tui chuan lei chu ni za leh sawmnga chhûng a chîm ta pûng a.
GEN.8.1	Pathian chuan Nova te, a awmpui ramsa te leh ran tinrêng chu a hre reng a. Pathian chuan lei chungah thli a tlehtîr a, tui chu a kâm ṭan ta a. 
GEN.8.2	Tuithûkpui sah leh vân tukverh inhawng chu a inkhâr a, vân aṭanga ruahpuivânâwn sûr chu a hân ta a. 
GEN.8.3	Zawi zawiin tui chu a kâm hret hret a, ni za leh sawmnga a ral hnu, 
GEN.8.4	a thla sarihna, ni sâwm leh pasarih ni chuan lawng chu Ararat tlângah a innghat ta a. 
GEN.8.5	A thla sâwmna thleng chuan tui chu a kâm zêl a, a thla sâwmna ni khat ni chuan tlâng chhîpte chu a lang thei ta a.
GEN.8.6	Ni sawmli a ral hnu chuan lawng tukverh a siam chu Nova chuan a hawng a. 
GEN.8.7	Choak a chhuah a, leia tui a kâm fel nghâkin a thlâwk a thlâwk a. 
GEN.8.8	Tui a kâm zo tawh emaw hriat nân ṭhuro a chhuah leh a; 
GEN.8.9	ṭhuro chuan fûkna tûr leichâr a hmu lo va, lawngah chuan a lo kîr leh a, tui chuan lei chu a la chîm vek a ni. Tichuan, a kut a zen chhuak a, a man a, lawng chhûngah chuan a la lût a. 
GEN.8.10	Ni sarih dang a nghah hnuah lawng aṭang chuan ṭhuro a chhuah leh a. 
GEN.8.11	Tlai lamah chuan ṭhuro chu a lo kîr a, oliv hnah bal thar a rawn pu a. Nova chuan leia tui chu a kâm zo ta tih a hria a. 
GEN.8.12	Ni sarih dang a nghah leh hnu chuan ṭhuro chu a chhuah leh a, a lo kîr ta lo va.
GEN.8.13	Nova kum zaruk leh pakhat kum, thla hmasa ber ni khat ni chuan lei ata tui chu a kang zo ta a. Nova chuan lawng chhîn chu a hawng a, lei chu a châr ta tih a hmu a. 
GEN.8.14	A thla hnihna, ni sawmhnih leh pasarih ni chuan lei chu a ro ta vek a. 
GEN.8.15	Pathian chuan Nova hnênah, 
GEN.8.16	“I nupuite, i fate leh an nupuite nên lawng ata hi chhuak rawh u. 
GEN.8.17	Savate leh rante pawh hi hruai chhuak ula, an inthlah ang a, leiah an awm darh dâwn nia,” a ti a. 
GEN.8.18	Tichuan, Nova chu a fa te, a nupui te leh a mo te nên an lo chhuak a. 
GEN.8.19	Rannung zawng zawng, leia tleng chi te, chunglêng sava te, leia tla ṭhînte chu a chi chiin an lo chhuak ve a.
GEN.8.20	Nova chuan 
GEN.8.21	 chuan hâl ral rim chu tui a ti hle a; “Mihring avângin khawvêl pum pui hi ka sawisa leh tawh lo vang; mihring thinlung hi a naupan lai aṭangin suala khat a ni si a; thil nung dang pawh tûn ang chuan ka tihlum tawh lo vang. 
GEN.8.22	Lei hi a awm chhûng chu buh tuh hun te, a seng hun te, khaw vâwt leh khaw lum te, nipui leh thlasik te, chhûn leh zân te a tâwp lo vang,” a ti rilru a.
GEN.9.1	Pathian chuan Nova leh a fate chu mal a sâwm a, “In chi ṭha sela, pung duah duah ula, lei hi luah khat ang che u. 
GEN.9.2	Leia ramsa zawng zawng leh tuipuia sangha zawng zawngin an ṭih ang che u a, an zah êm êm ang che u, in kutah ka dah a ni. 
GEN.9.3	In ei atân thlai hring tinrêng ka pe a che u, thil nung tinrêng, nunna nei zawng zawngte pawh in ei thei ang. 
GEN.9.4	Sa erawh chu a nunna thisen chawpin in ei tûr a ni lo. 
GEN.9.5	Tin, in nunna thisen chhuahtu chungah, ramsa an ni emaw, mihring an ni emaw, kut ka thlâk ang.
GEN.9.6	Mihring nunna thisen chhuahtu chu,
GEN.9.6	Mi dangin a thisen an chhuahsak ve ang.
GEN.9.6	Mihring hi Pathian anga siam a ni si a; 
GEN.9.7	tichuan, in chi ṭha sela,
GEN.9.7	Pung deuh deuh ula, Leilung dâp chhuak rawh u,” a ti a. 
GEN.9.8	Pathian chuan Nova leh a fate hnênah heti hian a ti bawk:
GEN.9.9	“Ngai teh u, nangni leh in thlah zêlte tân thu ka thlung ta. 
GEN.9.10	Chu chu in hnêna awm, thil nung zawng zawng, sava te, ran te, ramsa te, lawng aṭanga lo chhuak, leia thil nung tinrêngte tân chuan a ni. 
GEN.9.11	Ka thuthlung, ka vawn reng tûr chu hei hi a ni: Thil nung tinrêng tihlum tûrin tui ka tilêt ngai tawh lo vang a, lei tichhe tûrin a lêt ngai tawh lo vang.
GEN.9.12	“Tin, ka kumkhaw thuthlung, nangni leh thil nung zawng zawng nêna kan inkâra ka thuthlung chhinchhiahna chu hei hi a ni: 
GEN.9.13	Chhûmah chhimbâl ka zâmtîr hi, khawvêl nêna kan inkâra thuthlung chhinchhiahna chu a ni. 
GEN.9.14	Lei chunga chhûm ka zîntîr hunah chhimbâl chu a lo lang ang a; 
GEN.9.15	nangni leh thil nung tinrêng nêna kan inkâra thuthlung ka thlun chu ka hre reng ṭhîn ang a, tui lo lêtin mi nung zawng zawng a tihlum tawh dâwn lo nia. 
GEN.9.16	Chhûm zînga chhimbâl a lo lanin ka hmu ang a, nangni leh leia thil nung tinrêng nêna ka thuthlung chu ka hre reng ṭhîn ang. 
GEN.9.17	Chu chu nang leh leia thil nung tinrêng nên kan inkâra ka thuthlung chhinchhiahna a ni zêl ang,” tiin.
GEN.9.18	Lawng aṭanga lo chhuak, Nova fate chu Sema te, Hama te, Jafeta te an ni; Hama chu Kanan mite thlahtu a ni. 
