MAT.1.1	Jijajiji palka-jarrija Tapiti-kirlangu-ngurlu manu Yipuruyamu-kurlangu-ngurlu turnu-warnu-ngurlu. 
MAT.2.2	Ngulalu yanurnu, warru payurnulu-jana yapa Jurujulumurlaju, “Nyarrpararla kurduju palka-jarrija yungu-jana wiri nyinami yapa Juwu-patuku? Nguru nganimpa-nyangurla, nyanungu-nyangu yanjilypiri ngula milirrmilirr-wangkaja, nyangurnalu kakarrara-purda yalkirirla. Nyampu-kurrarnalu yanurnu yungurnalurla parntarrimi nyanungukuju manu pulka-pinyi.”
MAT.2.3	Ngula Yarurdurlu purda-nyangu yimi kurdu palka-jarrinja-kurra, nyanunguju kulu-jarrija manu ngampa-nyangu-nyanu. Manu yapa-patu-karirlangurlu, ngampa-nyangulu-nyanu Jurujulumurlaju. Wangkajalu-nyanu, “Nyarrpa-jarrimilki karlipa?”
MAT.2.4	Yarurdurlu-jana jaru yilyaja wiriwiriki maralypikingarduyu-patuku manu kuruwarrikingarduyu-patuku yungulu jarukuju wangkanjaku yanirni. Ngulalu yanurnu, payurnu-jana, “Nyarrpa Payipulurlaju-ka wangka yimiji? Nyarrpararla ngurungka-ngarra palka-jarri kurduju wiriji ngula kalu ngarrirni nganta ‘Kiraji’?”
MAT.2.5	Jangku-manulu, “Nyurru-wiyi jarukungarduyu jinta wangkaja nganta kapu Kiraji palka-jarri kirri yirdingkaju Pijilimi, ngula-nganpa yirrarnu Payipulurla nganimpaku:
MAT.2.6	‘Kirri Pijilimi nguru witangka Jurdiyarla, ngulaju wita-juku. Ngulaju ngula-juku…wiri-nyayirni-jiki-jala! Ngulangkaju nyina kalu wiriwiri Juwu-patu yapa turnu-warnu Juurda-kurlangu-jangka. Yuwayi, kurdu ngarra palka-jarri nyanungurra-nyangurla warlaljarla. Wiri-jarrimi kapu, ngarra-jana wirilki nyina. Yijirali-pinkiki nyanungu-nyanguku kapu-jana Warlalja-Wiri nyina, kapu-jana warrawarra-kanyi jiyipikingarduyu-piyarlu.’
MAT.2.6	Kuja-yijala ngula yirrarnu Kaatu-kurlangurlu jarukungarduyurlu Payipulurlaju.”
MAT.2.7	Yarurdurlu ngula yimi purda-nyangu, jaru-jana yilyaja pinangkalpa-patuku, yangka ngulalu kakarrara-ngurlu yanurnu, yungu-ngarra-jana wurulypa wangka. Payurnu-jana, “Nyangurla-wiyinkili nyangu yanjilypiriji?”
MAT.2.7	Jangku-manulkulu, “Yurlyurrpu-jarra-warnurlarnalu nyangu nyurru-wiyi.”
MAT.2.8	Ngula-jangka Yarurduju-jana wangkaja, “Nyurrurla wati-patu, yantalu Pijilimi-kirra, warru nyangkalurla yangka kurdu wita wirriyaku. Kajinkili parlu-pinyi, yantarnili pina yungunkujulu yirri-pura yungurna ngajurlangu yani yungurnarla kamparru parntarrinjinirra nyanunguku.”
MAT.2.9	Yali-jangka pinangkalpa-patu yanulu Jurujulumu-ngurlu Pijilimi-kirra. Yangka nyanungu yanjilypiri, nyangujukulu yalkirirla, yangka kujalu nyurru-wiyi nyangu kakarra-purda yalkirirla. Kamparru yanu-jana yanjilypiriji yalkirirlaju. Yali-jangkaju jupu-karrija yuwarlirla kankarlarni kujalpa kurdu wita ngunaja. 
MAT.2.10	Ngulalu nyangu pinangkalpa-paturlu yanjilypiri, wardinyi-jarrija-nyayirnilirla. 
MAT.2.11	Yukajarnili yuwarli-kirraju, manu nyangulu kurdu wirriya ngula ngati-nyanurlu Miirirlilpa mardarnu. Ngula-jangkaju, kamparrulurla parntarrinjunu kurduku, manu pulka-pungulurla. Lakarn-manulkulu yakujuju, yungulkulurla kawurlu manu marnta-piya ngurrju-nyayirni parntirrparntirrpa,
MAT.2.12	Ngula-jangkaju, pinangkalpa-patu kujalpalu jarda ngunaja, nyangulu Kaatu jukurrparla. Wangkaja-jana, “Kulalurla pina-yanta Yarurduku. Pina-yantalu nyurrurla-nyangu nguru-kurra yirdiyi-kari-wana.” Junga-juku, yimi-ngarrirninja-wangu Yarurduku wurdungujukulu pardijarra. 
MAT.2.13	Ngula-jangkaju yangka-patu pinangkalpa-patu yarnkajarralu Jurujulumu-ngurluju mungangka jurrkungka-juku. Yangka marramarra yanurnurla Jajupukuju jukurrparla, manu wangkajarla nyanungukuju, “Pardiya, kangka-palangu nyuntu-nyangu kurdu wirriya manu nyanungu-nyangu ngati-nyanu, jirrnganja-palangu yanta Yijipi-kirra. Yarurdurlu kapurla warru nyanyi kurdukuju pakarninjakungarnti. Ngula-kujakunyalu wurulypa yanta. Nyinayalu Yijipirla tarnnga-juku. Ngaka-yijala kapurnangku wangka pina-yaninjaku nyuntu-nyangu nguru-kurraju.”
MAT.2.14	Ngula-jangkaju, Jajupuju pardija jarda-jangkaju manu munga jurrkungka-juku, pardijarralpa Pijilimi-ngirli kurdu wirriya wita-kurlu manu nyanungu-nyangu ngati-nyanu-kurlu jungarni-juku Yijipi-kirra. 
MAT.2.15	Jajupujulpa nyinaja Yijipirla kurdu Jijaji-kirli manu nyanungu-nyangu ngati-nyanu-kurlu. Wurra-jukulpa nyinaja Yijipirla, murnma-juku pina-yaninja-wangu. Murnma-jukulpalu nyinaja, pardarnulpalurla Kingi Yarurduku kaji palimi. Yangka-juku jurrku-juku yimi junga kujarla yangka Kaaturlu milki-yirrarnu jarukungarduyuku jintaku nyurru-wiyi, ngulaju yirrarnu Payipulurlalku:
MAT.2.15	“Wapirra Kaaturlu yajarnunjunurra Kaja-nyanuju nguru-ngurluju Yijipi-ngirli.”
MAT.2.16	Junga-juku, Yarurdujulpa wurra-jukulpa-jana nyinaja yali-patuku pinangkalpa-patuku yungulurla pina-yanirni yimi-ngarrirninjaku yimi kurdu-kurlu. Lawa, kulalurla pina-yanurnu nyanungukuju. Milya-pungulku kujalu yimirr-yungu. Milya-pungu yangkaju yanjilypiriji kuja nyurru-wiyi palka-jarrija yulyurrpu-jarra jirrama-warnurla. Ngula-jangkaju-jana kulu-jarrija-nyayirni. Ngula-warnunya-jana wangkaja nyanungu-nyangu-patuku warrmarla-patukuju yungulu-jana yani Pijilimi-kirra muku pakarninjaku kurdukurduku wirriyawirriyaku ngurungka Pijilimirlakuju. 
MAT.2.17+MAT.2.18	Nyampuju jurrku-juku yimi ngularla Kaatu wangkaja jarukungarduyuku Jirimayaku. Nyampuju Jirimayarlu yirrarnu:
MAT.2.17+MAT.2.18	“Ngajulurlurna-jana purda-nyangu yapa yulanja-kurra ngula kalu yulami kirringka Raamarla. Karnta yirdiji Rajulu ngula ngamardi-puka-jarrija, kurdu panu-jana wajawaja-manu. Yulajalkulpa-jana. Kulalu nganangku yulalyi-mardakarla.” 
MAT.2.17+MAT.2.18	Ngulanya Jirimayarluju yirrarnu.
MAT.2.19	Junga-juku, ngula Yarurduju palija, kaja-nyanulkulparla marlaja nyinaja kingi yirdiji Yakilaja. Ngula-jangkaju, Kaaturlu-nyanu yilyaja nyanungu-nyangu marramarra Jajupuku, ngula nyangu yaninjarni-kirra nyanungu-kurra jukurrparla. 
MAT.2.20	Marramarrarla wangkaja Jajupukuju, “Karrinja-pardiya, kangka-palangu kurdu wirriya manu nyanungu-nyangu ngati-nyanu, pina-kangka-palangu Yijirali-kirra. Yarurduju nyurru palija. Kulalpa nganangkulku pungkarla kurduju.”
MAT.2.21	Junga-juku, Jajupuju pardija jarda-ngurluju, ngulaju-palangu yakarra-manu kurdu wirriya manu nyanungu-nyangu ngati-nyanu. Yarnkajarralkulu Yijirali-kirra. 
MAT.2.22	Kulkurru-juku Yijiralikingarntiji yukanjakungarntiji, yimili purda-nyangu Yakilaja-kurlu ngulalpa kingilki nyinaja ngurungkaju Jurdiyarla. Ngula-kujaku, Jajupujulpa lanilki nyinaja pina-yaninjaku nguru-kurra Jurdiya-kurraju. Yali jukurrpa-karirla marramarrarla wangkaja Jajupukuju kula yaninjaku Jurdiya-kurra. Junga-juku, Jajupuju yanulku nyanungu-nyangu kurdu-kurlu manu kurdu-kurlangu ngati-nyanu-kurlu yali-wana-juku Jurdiya-wanarla ngurungkaju yatijarra-juku nguru-karikiji Kaliliyiki. 
MAT.2.23	Jirrnganja-yanu-palangu yali-kirra kirri-kirra yirdiji Najariti, manu yalirla-juku-palangu jirrnganja nyinaja. Yaliji yangka jurrku-juku yimi Najariti-kirli ngula-jana Kaatu wangkaja nyurru-wiyi nyanungu-nyanguku jarukungarduyu-patuku. Nyampujulu wangka Payipurlarla:
MAT.2.23	“Panu yapangku kapulu ngarrirni yali kurduju ‘Najariti-wardingki’.
MAT.3.1	Yulyurrpu panu-jangka kujalparla Jijajiji rdirri-yungu warru yimi-ngarrirninjaku, wati jinta-kari yirdiji Jaanu Papitaji yanurnu yarluyarlu nguru-ngurlu Jurdiya-ngurlu. Rdirri-yungu yirri-puranjaku yapakuju nyampu, 
MAT.3.2	“Jalangu kangalpa kutulku yanirni Kaatuju ngalipakuju yungu-ngalpa Warlalja-Wirilki jirrnganja nyina. Kujarlanya, pina-yaninjarlalu yalala-yirraka Kaatu maju-jangka.”
MAT.3.3	Jaanu Papitajiji ngulaju yangka jurrku-juku kuja jarukungarduyurlu Yijayarlu yirrarnu nyurru-wiyi Payipulurla. Kuja yirrarnu Yijayarlu:
MAT.3.3	“Purda-nyangkajulu! Yapa-ka warru purla manangkarrarla, ngulaju kuja-ka purlami, ‘Warlalja-Wiri kuja kangalpa nyina ngalipaku, ngulaju kapu yanirni. Ngulakuju yirdiyilirla jungarni-manta yungu yanirni rarralyparla!’ ”
MAT.3.3	Kujanya Yijayarluju yirrarnu.
MAT.3.4	Yangka Jaanurlu, kala jinajina-piya mardarnu yumurru-kurlu kawartawara-kurlangu manu ngalyipi-piya wiri wartirli-wana puluku-kurlangu pinti kuja kala-nyanu warurnu. Manu kala ngarnu ngarlu manu jintilyka. 
MAT.3.5	Yapa panulpalu yanurnu purda-nyanjaku Jaanu kujalpa wangkaja. Yanurnulpalurla wurnturu-ngurlu Jurujulumu-ngurlu manu nguru-kari nguru-kari Jurdiya-wana-ngurlu manu Jurdunu yulpayi-wana-ngurlu. 
MAT.3.6	Ngulalpalurla Jaanukuju wangkaja, “Kurnta-jarri karnalu-nyanu maju panu, manu mari-jarri karnalu-nyanu yungurnalu yalala-yirrarni Kaatu.” Ngula-jangka, ngapangkalku-jana papitaji-manu karru wiringka yirdingkaju Jurdunurla.
MAT.3.7	Yali-jangka, Juwu-patu wiriwiri jirrama-jangka turnu-warnu-jarra-jangka yangka Paraji-patu manu Jatiyuji-patu,
MAT.3.8	Kajinkili ngampurrpa ngajuku nyina papitaji-maninjaku nyurrurlaku, ngulakungarntirlijili pina-yaninjarla yalala-yirraka Kaatu, manulurla jungarnilki nyinaya! 
MAT.3.9	Kulalu-nyanu ngarrika Yipuruyamu-kurlangu kurdukurdu nganta nyurrurla. Yijardu-wangu kujaju. Ngaju yungurna-nyarra nyampu wangka: Kajinkili warntarla-juku nyina, kapu Kaaturlu pirli warru mani, warru maninjarla kapu-nyanu ngurrju-mani kurdukurdu panu-nyayirni Yipuruyamu-kurlangu nyanunguku nyampurra-jangkaju pirli wita-jangkaju. Kujaju junga. Kajinkili maju-juku warrarda nyinami, kapu-nyarra yilyami nyurrurlaju tarnnga-juku. 
MAT.3.10	Yuwayi, jalangunya, Kaatuju-ka jungarnijungarni-jarrimi yungu-jana yangka yilyami yapa nyanungu-ngurlu-juku tarnnga-juku, yangka kuja kalu majumaju-juku nyinami. Kula-ngantalurla jungarni nyinayarla nyanunguku, kala lawa. Yalirra yapaju ngulaju watiya-piya kuja-ka mangarri maju-kurlu karrimi. Watiya majumaju ngulaju kuja-piyaju kapulu yapangkuju pajirninjarla kijirni warlu-kurra. Kuja-kujakuju, nyinayalurla jungarni-juku Kaatukuju!
MAT.3.11	“Jinta-kari-ka yanirni nyampu-kurraju. Nyanunguju wiri-nyayirni ngaju-piya-wangu. Nyiya-jangka mayiji milarnu yungurnarla nyanunguku warrki-jarrimi? Ngaju karna-nyarra julyurl-yirrarninjarla papitaji-mani ngapangka kujankulu pina-yaninjarla yalala-yirrarnu Kaatu. Kala Mijaya kaji yanirni yangka Kaatu-kurlangu Milarninja-warnu, ngalya-karikiji kapu-nyarra kurru-pinyi Pirlirrpa Kaatu-kurlangu nyurrurlakuju. Ngalya-kariji kapu-nyarra julyurlkijinirra warlu wiri-kirra. 
MAT.3.12	Kaji yanirni nyanungu, ngulaju yangka-piya yapangku kuja-ka ngurlu kipirninjarla kirlka-mani. Kuja-ka yapangku kipirni ngurlu parraja-kurlurlu, ngurlu ngurrju ngulaju-ka mardarni ngarninjakungarntirli. Kala walya manu marna, ngulaju-ka kijirni warlu-kurra. Kuja-piya yali Kaatu-kurlangu kaji yanirni, ngulangkuju kapu-jana yirrarni yapaju yurruju-jarrarla ngurrju-patu maju-patu. Ngurrju-patu kapu-jana mampungku mardarni. Kala maju-patuju kapu-jana kijirni tarnnga-juku.” Nyampunya Jaanu Papitaji kala-jana wangkaja yapa-patukuju.
MAT.3.13	Ngula-jangkaju, ngaka-karilki Jijaji yanurnulku nguru-ngurlu Kaliliyi-ngirli karru Jurdunu-kurra. Yali jurrkungka-juku ngulalpa-jana Jaanurlu papitaji-manu yapa. Jijajirli payurnu Jaanu yungu-ngarra papitaji-mani, lawa. Jaanujulpa nyinaja kurnta-nyayirni. 
MAT.3.14	Ngulaju puta wurra-manu Jijaji, wangkajalkurla, “Kularna nyuntu-piya-japa ngurrju. Nyuntujunpa wiri-nyayirni ngaju-piya-wangu. Nyiyakulkunpaju yanurnu ngajuku papitaji-maninjaku nyuntuju? Nyuntulurlulpanpaju papitaji-mantarla-wiyi ngajuju.”
MAT.3.15	Jijajirli jangku-manu Jaanu, “Kaatu kaju wangka ngajuku yungurna purami nyanungu-nyangu kuruwarri jungarnirli. Kujanyarnangku yanurnu yungunpaju papitaji-mani.” Ngula-jangkaju, Jaanu ngungkurr-nyinajarla papitaji-maninjaku Jijajikiji. 
MAT.3.16	Nguru-yirrarnurla Jijajikiji karru Jurdunu-kurra, manu papitaji-manu yalirla. Ngula Jijaji yanurnu ngapa-ngurlu pirntinyarra-kurra, yalkirijirla raa-parnkaja kankarlarraju. Yalkiri kuja raa-parnkaja, ngulangkaju nyangu Pirlirrpa Kaatu-kurlangu jurlpu-piya kurlukuku-piya. Ngulaju yanurnu, pirri-manurla Jijajiki. 
MAT.3.17	Ngula-jangkaju, linpa purda-nyangu wangkanja-kurralku kankarlarra-jangka yalkiri-jangka, kujarla wangkaja nyanunguku Jijajiki, “Nyuntujunpa ngaju-nyangu Kaja-nyanu marulu. Nyuntulurlunya kanpaju miyaluju raa-pinyi.”
MAT.4.1	Yali-jangkaju, Kaatu-kurlangurlu Pirlirrparlu kangu Jijaji jilja-kurra. Yalirla yungu nganta Juju Ngawungku karlirr-mardakarla Kaatu-kujaku. 
MAT.4.2	Jijajirli kula nyiya ngarnu 40-pala parraku manu 40-pala mungaku, manu yali-jangkaju nyanungujulpa nyinaja yarnunjuku-nyayirni. 
MAT.4.3	Ngula-jangkaju, Juju Ngawurla yanurnu yungu nganta karlirr-mardakarla Kaatu-ngurlu, wangkajalkurla Jijajikiji, “Kuja kanpa nyuntuju Kaatu-kurlangu nganta Ngalapi-nyanu nyina, wangkaya-jana nyampurraku payarrpaku, ngurrju-manta-jana mangarri-kirra yungunpa ngarni.”
MAT.4.4	Jijajirla wangkaja Juju Ngawuku, “Payipulu kanganpa kuja wangka, ‘Kajilpa nganangku-puka mangarri-mipa nganjarla, kulalparla jirrnganja nyinayarla tarnnga Kaatukuju, lawa. Ngulakungarntirliji yungulpa purda-nyangkarla Kaatuju nyarrpa kajirla wangkami.’ ”
MAT.4.5	Yali-jangkarluju Juju Ngawungku kangu Jijajiji kirri-kirra tarruku-kurraju Jurujulumu-kurra. Ngula kangu Jijajiji kankarlarni-nyayirni Yuwarli Maralypirla Juwu-kurlangurla manu ngulangka karrinja-yirrarnu. 
MAT.4.6	Ngula-warnuju, Juju Ngawujurla wangkaja Jijajikiji, “Kuja kanpa nyuntuju Kaatu-kurlangu Ngalapi-nyanu nganta nyina, jurl-pungka Yuwarli Maralypi-ngirli nyampu-ngurluju kaninjarra-kurra walya-kurra. Nyampunya-ka wangka Payipulurlaju:
MAT.4.6	‘Kaatu-jana wangkaja nyanungu-nyanguku marramarra-patuku jina-mardarninjaku nyuntuku.
MAT.4.6	Kajinpa jurl-pinyi kankarlarra-ngurlu, kapungkulu rdarri-mardarni nyuntuju nyanungu-nyangu rdakangka, kalakanpa marda rdilykirdilyki-wanti jamana pirlingkaju.’
MAT.4.6	Junga-juku, nyuntuju jurl-pungka nyampu-ngurlu Yuwarli Maralypi-ngirli!”
MAT.4.7	Ngula-jangkaju, Jijajijirla wangkaja nyanunguku, “Lawa, kularna jurl-pinyi kankarlarra-ngurlu! Payipuluju-ka nyampunya wangka nganimpaku:
MAT.4.7	‘Kula jiliwirrirli payika Kaatu nyiyarlanguku, kalakangku kulu-jarrimilki!’
MAT.4.7	Ngula-jangkanya kulalparna jurl-pungkarla ngajulurluju nyampu-ngurlu kankarlarra-ngurlu!”
MAT.4.8	Ngula-jangkaju, yarujurlu-juku Juju Ngawungkuju kangu Jijajiji pirli wararra-kurra kankarlarra-nyayirni, manurla milki-yirrarnu nyiyarningkijarra ngurrju-nyayirni ngurrara-kari ngurrara-karirla walya nyampurla nguru-kari nguru-kari. 
MAT.4.9	Ngula-jangka wangkajarla Jijajiki, “Kajinpaju parntarrinjarla pulka-pinyi ngajuku, kapurnangku milarni yungunpa wiri-nyayirni nyina nyampurraku ngurraraku, manu kapurnangku yinyi nyiyarningkijarra.”
MAT.4.10	Jijajirliji jangku-manu nyanunguju, “Juju Ngawu, yantarra ngaju-kujaku! Payipulu kanganpa nyampunya wangka nganimpakuju:
MAT.4.10	‘Yapangkujulpalurla parntarrinjarla pulka-pungkarla nyanunguku-juku Kaatu-mipaku Warlalja-Wiriki. Nganimparlulparnalurla warrki-jarriyarla jintaku nyanunguku.’ ”
MAT.4.11	Yali-jangkarluju Juju Ngawungku yampijalku Jijajiji, manu pardijarralku. Ngaka-karilki marramarra-patulurla yanurnu Jijajiki jina-mardarninjaku.
MAT.4.12	Ngula-jangkaju, Jijajirliji yimi purda-nyangu ngulalu yurrkunyu-paturlu Jaanu Papitaji yirrarnu rdakungka. Ngula pina-yanu nguru Kaliliyi-kirra. 
MAT.4.13	Kirri-kirra Najariti-kirra-wiyi yanu, kula yalirlaju jupu-karrija. Jingijingi-yanurra kirri-kari-kirra yirdi-kirraju Kapurniya-kurra kujalpa karrija kutu-juku mangkuru Kaliliyirla, ngulangkanyalpa nyinaja. Yali kirri Kapurniya ngulajulpa karrija nguru-jarrarla yirdi-jarrarla Jupulunurla manu Napatalirla. 
MAT.4.14	Nyampuju jurrku-juku jaru ngula Yijayarlu nyurru-wiyi yirrarnu Payipulurla. Nyanungurluju yirrarnu nyampu jaruju nguru-jarra-kurlu:
MAT.4.15	“Nguru-jarra Jupulunu manu Napatali, parntarrimi kapala karru Jurdunu-ngurlu Mirditirini-kirra ngapa wiri-kirra. Nguru Kaliliyirlanguju-ka karrimi nguru jintangka-juku. Yalirlaju kalu nyina Juwu-wangu-patu yapa-patu. 
MAT.4.16	Nyampurra yapa, nyina kalu mungangka-juku, Kaatuju kula kalu manngu-nyanyi. Ngaka-pardu-karirlaju kapulu jarra wiri-jarlu nyanyi. Ngurungka yalirla kuja kalu nyina ngulaju munga-nyayirnirla, kula-nganta rdaku-piyarla. Ngakaju, mungalyurru-karirla kapu-jana jarra-jarrimilki.”
MAT.4.16	Nyampuju jaru kuja Yijayarlu yirrarnu Payipurlurla. 
MAT.4.17	Ngula-jangkaju, Jijajilpa warru yanu nguru yalirla-juku wangkanja-karra yapakuju, “Jalangu kanyarra kutulku yanirni Kaatuju nyurrurlakuju yungu-nyarra Warlalja-Wirilki jirrnganja nyina. Kujarlaju, pina-yaninjarlalu yalala-yirraka Kaatu maju-wangurlu!”
MAT.4.18	Ngaka-pardu-karirlalku, Jijajijilpa wapanja-yanu pirntinyarra mangkuru Kaliliyi-wana. Ngula-palangu rdipija Jimaniki manu nyanungukupurdangka kukurnu-nyanuku Yanturuku kuja kala-pala warrki-jarrija yawukungarduyu-jarra. Ngulalpa-palarla kujurnu yakuju-piya wiri-jarlu rdarri-mardarninjaku yawuku. Jimani yirdi-kari ngulaju Piita. 
MAT.4.19	Jijajiji-palangu wangkaja, “Purayaju-pala! Yangka kuja kalanpala yawu manu, ngula-piya-yijala kapurnangkupala pinarri-mani yungunpala-jana yapa yajarninjarla turnu-mani Kaatukulku.” 
MAT.4.20	Junga-juku, yampinja-yanu-pala yakuju-piyaju ngulangka-juku. Yampinjarla Jijajilki-pala puraja.
MAT.4.21	Ngula-jangkaju, yaninja-yanulpalu pirntinyarra mangkuru-wana, ngulajulu-palangu rdipija wurnturu-wangu-juku Jamajiki manu kukurnu-nyanuku yirdiki Jaanuku. Ngulajulpa-palarla jirrnganja warrki-jarrija nyanungu-jarrakupalanguku kirda-nyanuku yirdiki Jipitiki. Ngulaju pawurturlalpalu yakuju-piya larra pina panturnu. Kuja-palangu parlu-pungu Jamaji manu Jaanu, ngulakuju-palangu waa-manu, “Ngajuju-pala puraya!” 
MAT.4.22	Junga-juku, yampija-pala kirda-nyanu yalumpurla-juku pawurturla-juku. Yampinjarla Jijajilki-pala puraja.
MAT.4.23	Ngula-jangkaju, Jijajilpa warru yanu nguru Kaliliyi-wana. Nyanungurlu yapalpa-jana jungarni-manu jaaji-kari jaaji-karirla Juwu-kurlangurla, manu-jana Yimi Ngurrju yimi-ngarrurnu Kaatu-kurlu kuja kangalpa Warlalja-Wiri nyina yapaku. Ngulalpa-jana yapaju murrumurru nyangu, ngulajulpa-jana parlpuru-manunjunu. 
