GEN.1.1	Puꞌun-puꞌun it langit baw banwa, giyuna it Ampuꞌang Diyus. 
GEN.1.20	maat siꞌ it Ampuꞌang Diyus, “Ireg ku dakel nga sedaꞌ sinit danum ngayni, reet-reet sira. Baw ega lamang kat danum, pati kat lawang, ireg ku may betang ya nagang mga manu-manuk nga maglayug.” 
GEN.1.21	Bawnga giyuna siꞌ it Ampuꞌang Diyus i dadakulaꞌ nga ramu-ramu kat dagat. Baw muꞌsang beken nga maginawa nga mamanwa kat dagat, piyadakel ya sirang banar kat kanya-kanyang kalasi. Subung naga i muꞌsang magkalayug, kalasi-kalasi naga sira. Naltegan it Ampuꞌang Diyus nga magayen gasiꞌ i iting giyuna ya. 
GEN.1.22	Bawnga ega lamang desang giyuna ya i mga bagay ngayti in daꞌga piyatdekan ya gasiꞌ it ampang ya nga may guna, nga magꞌaat, “Magꞌanak-anak kamu isaꞌun dumakel kamung dumakel, magsedaꞌan i kapuꞌsaan it dagat baw danum. Subung naga i manu-manuk isaꞌun dumakel gasiꞌ sira kat kabanwaan.” 
GEN.1.23	Diminlem siꞌ i ikalimang aldaw.
GEN.1.23	Bawnga pagꞌeyag siꞌ, 
GEN.1.24	maat siꞌ it Ampuꞌang Diyus, “Ireg ku kalasi-kalasing ramu-ramu nga maginawa, mga magkagnek baw ega magkagnek, mga magtitindeg i magpanaw baw magkambang i pamanaw. Baw yay panggaring-garingan nira, lugtaꞌ.” Ta, egay beken may iti na gasiꞌ ka 
GEN.1.25	giyuna sit Ampuꞌang Diyus i muꞌsa nga kalasi it ramu-ramu, mga magkagnek baw ega magkagnek, baw muꞌsang kalasi it ramu-ramu nga magkambang kat sagpaw it lugtaꞌ. Naltegan it Ampuꞌang Diyus, magayen nagay iting giyuna ya.
GEN.1.26	Bawnga maat siꞌ it Ampuꞌang Diyus, “Iyan nay magayen tang buwaten, taw, baw ipasbung tat aten. Ibgay tat kanira i pudir kat muꞌsang banwa, pati betang ya nga subuk sedaꞌ, mga manu-manuk, muꞌsang ramu-ramu nga magkaꞌpet baw ega, baw kada ramu-ramu nga magkambang kat sagpaw it lugtaꞌ.” 
GEN.1.27	Egay beken, giyuna nat Ampuꞌang Diyus i taw. Pamwat ya, agen-agen it kaladawan ya. Nagtingkaꞌ i binwat ya, lalaki baw babay. 
GEN.1.28	Pagkabwat ya it kanira, piyatdekan ya sit ampang ya nga may guna, nga magꞌaat, “Magꞌanak-anak kamu isaꞌun dumakel, isaꞌun magtaawan i kalayawan it banwa, baw sakpen mi i muꞌsang banwa. Ibgay ku it imyu i pudir kat muꞌsang giyuna ku, nga subuk sedaꞌ, manu-manuk baw muꞌsang ramu-ramu nga kat banwa. 
GEN.1.29	Ibgay ku it imyu, nga yay mapisiꞌan mit pangaꞌen, muꞌsang mga luwak nga magkabiꞌniyan baw mga kayu nga magbuwaꞌ. Itu ngaytu i imyung pangaꞌen. 
GEN.1.30	Temed muꞌsang kalasit dikut, yay ipagbegay ku it mga ramu-ramu, maꞌpet baw ega, mga magkambang kat sagpaw it lugtaꞌ baw mga manu-manuk kat lawang. Itu i kanirang pangaꞌen.” Ta, miyatkayti nga matuud. 
GEN.1.31	Lintegan it Ampuꞌang Diyus i muꞌsa ngayti nga giyuna ya. Baw talagang kat panleteg ya, magayen nga banar i muꞌsa. Iti i ikaꞌnem nga aldaw. Diminlem siꞌ baw miyaldaw.
GEN.2.1	Ta, naꞌman nay langit baw banwa baw muꞌsang magkaltegan nga mga betang nira. 
GEN.2.2	Iyan ikapitu nang aldaw, ega nay binwat it Ampuꞌang Diyus nga mga kugunaen ya ka nakumplitu ya nay muꞌsa, aypaꞌ nagpapaꞌna na kanya. 
GEN.2.3	Ipiyabetang it Ampuꞌang Diyus i ikapitu ngayting aldaw nga maꞌal baw mataꞌas pat beken nga mga aldaw, sabap it pagkaꞌbut it ikapitung aldaw, nakumplitu ya nay muꞌsang mga kugunaen ya.
GEN.2.4	Ta, ituy kamatuudan pasar it langit baw banwa, iyan baꞌgu sirang giyuna it 
GEN.2.5	ega pay magpanubuꞌ nga maski unu nga luwak, sabap ega paꞌ piyaꞌuran it 
GEN.2.6	Takaꞌ may subuk gabun nga maggaring duꞌun it lugtaꞌ, magpatibung, nga yanay magmaregmeg it lugtaꞌ.
GEN.2.7	Bawnga garing kat lugtaꞌ binwat it 
GEN.2.8	Bawnga gimnuna i 
GEN.2.9	Garing siꞌ sikayti, piyatubuꞌ it 
GEN.2.10	Baw may esa gasing danum nga magburus duꞌut Eden ngayti, nga iyan i magpakseg it mga luwak ngayti duꞌun. Garing duꞌut Eden, nga duꞌun i puꞌun ya, nabagiꞌ nat epat nga kadanuman. 
GEN.2.11	Pangaran it uꞌnang bagiꞌ, Pison, nga iyan i magpanliyang-liyang i burus ya kat rugar nga pagpangaranat Havila, nga may bulawan duꞌun. 
GEN.2.12	Talagang bulawan duꞌut iting rugar, piyakamagayen. Ega lamang desang bulawan i duꞌun. May duꞌun gasiꞌ nga magkapisiꞌan it magkabwat nga pirmirang babangluun, baw marga nga batu nga pagpangaranat onice. 
GEN.2.13	Ngaran gasit ikadwang bagiꞌ it danum ngayti, Gihon, nga magpanliyang-liyang i burus ya kat rugar nga pagpangaranat Etiopia. 
GEN.2.14	Ngaran gasiꞌ it ikatlu nga bagiꞌ it danum ngayti, Tigris, nga duꞌun i burus ya it Asiria nga ayun kat lebatan. Ngaran it ikaꞌpat nga bagiꞌ ya, Eufrates.
GEN.2.15	Ta duꞌun nat kalulwakan ngayti i piyataꞌidan it 
GEN.2.16	Iyan duꞌun nay lalaki ngayti, inaat it 
GEN.2.17	Temed iyan sang puꞌun nga kayu nga magkapisiꞌan ngaytut ipagkakilala it magayen baw maraꞌe-raꞌet, ega salyaen mut kumaꞌen. Sabap kat aldaw nga kumaꞌen ka it iyan ngayan, egay pagduwa-duwa nga kamataynen i panriga it imu.”
GEN.2.18	Pagkapatakenaꞌ yat lalaki ngayti, maat siꞌ it 
GEN.2.19	Ta, mga giyuna ngaytit 
GEN.2.20	Piyangaranan nga muꞌsa it lalaki ngayti i mga ramu-ramu baw mga manu-manuk, temed egay mapakay nga katabyang baw maꞌiba-iba ya.
GEN.2.21	Aypaꞌ piyaꞌigaꞌ it 
GEN.2.22	Iti, takgang ngayting inabat it 
GEN.2.23	Pagꞌabut duꞌun, siyagyaan talaga it lalaki ngayti, nga maat ya, “Ta, in iyan, may iba ku na! Ka tuꞌlang, isi, subung talagat aken nga pamilug i pamilug ya. Babay i panaꞌwag it kanya sabap pinsiꞌ kanya kat bilug it lalaki.” 
GEN.2.24	Aypaꞌ ka buwat nat mga taw, tananan it lalaki i amaꞌ baw inaꞌ ya ka magsagpun na sira magꞌasawa. Ta egay beken, subung na sirat sang kabilu-bilugan.
GEN.2.25	Purus sira paꞌ maglelbas, babay baw lalaki ngayti, baw ega pay eꞌyaꞌ nira.
GEN.3.1	Iyan dukul nga esa gasing giyuna it 
GEN.3.2	Maat it babay ngayti, “Mapakay kaming kumaꞌen it buwat mga kayu situt kalulwakan ngaytu. 
GEN.3.3	Temed iyan esa ngayang asat tengaꞌ it kalulwakan ngaytu, iyan i ipiyagꞌaat it Ampuꞌang Diyus it amen nga ega salyaen namen it kumaꞌen. Maꞌunu baꞌ kaꞌnen na, maski sekel, daꞌkami semkel, ka kamataynen i panriga yat amen.”
GEN.3.4	Maat i tubag it dukul ngayti, “Iyan bay matuud, daꞌkamu bayan matay. 
GEN.3.5	Takaꞌ atkayan i inaat it Ampuꞌang Diyus it imyu ka magkaꞌrutan ya nga kat uras nga kumaꞌen kamu kayan, subuk kamukrat nga banar i mata mi. Egay beken, makasbung kamu nat Ampuꞌang Diyus nga magkakilala nat magayen baw maraꞌe-raꞌet.”
GEN.3.6	Ta, it namuyaan it babay ngayti nga palan magayeng kaꞌnen i buwaꞌ it iting kayu, ka magaye-gayeng pagletganan, baw iti na ngayti, mapisiꞌan it ega basta-bastang kasepsep, miyuꞌpuꞌ na kanya ka kimnaꞌen na. Binggayan ya gasiꞌ i iba ya ngayting lalaki nga minlep duꞌut kanya. Pagkabgay it kanya, kiyaꞌen ya na gasiꞌ. 
GEN.3.7	Egay beken, pagkakaꞌen nira, subuk sakaling nakasepsep, baw nakatanud na sirat eyaꞌ it mamaglelbas sira. Aypaꞌ binwat nira, namagdamit-damit it daꞌun it kayu nga pagpangaranat igos. Yanayti i tiyampiꞌ nira.
GEN.3.8	Iyan apu-apun na, nabatiꞌan niray 
GEN.3.9	Temed tiyaꞌwagan it 
GEN.3.10	Timnubag i lalaki ngayti, maat ya, “Nabatiꞌan ku bayay panaw mu ngayan situt kalulwakan ngaytu. Nagpatataguꞌ aku ka magꞌiꞌlam akut imu ka maglelbas aku.”
GEN.3.11	Miyampang i 
GEN.3.12	Maat i tubag it lalaki ngayti, “Ay babay ngaytu bang ibinggay mut aken nga iba ku, kanya bay minggay it aken it buwat kayu ngayan. Pagkabgay ya, kiyaꞌen ku na.”
GEN.3.13	Siyarunga it 
GEN.3.13	“Ay, inakalan aku bat dukul ngaytu,” maat i babay ngayti.
GEN.3.14	Dukul siꞌ ngayti i siyarunga it 
GEN.3.15	Ipabetang-betang ku nang magkuntraꞌ kamu na it babay ngaytu, kaꞌanakan ya baw imung kaꞌanakan. May kaꞌanakan ya nga rumunut it ulu mu. Ikaw, kumagat it aꞌay ya.”
GEN.3.16	Bawnga siyarunga ya siꞌ i babay ngayti baw inaat ya, “Padaklen kuy kakuriꞌan mut magpanganak. Kada manganak ka, rumuruꞌ kat dakulang sakit. Takaꞌ maski atkayan, dakulaꞌ nagay kayli mut asawa mu, baw pagsasakpen ya ikaw nga kanya i pagbayaꞌen mu.”
GEN.3.17	Bawnga lalaki siꞌ ngayti, nga yanayti si Adan, i inaat it 
GEN.3.18	Yay tumubuꞌ it madaliꞌ baw tumanip, dugi baw ilamunun, ega maat mga luwak nga pangaꞌen mi. 
GEN.3.19	Tumuruꞌ nay liꞌnget mu in magpakariga ka duꞌut uma isaꞌun may mapisiꞌ mu nga pangaꞌen. Atkayan i kabetangan mu seked it muliꞌ ka na kat lugtaꞌ, ka yay pinsiꞌan it binwat nga ikaw. Ta, it ikaw, lugtaꞌ i binwat, aypaꞌ uliꞌan mu, lugtaꞌ naga.”
GEN.3.20	Ta, piyangaranan na ni Adan ngayti i asawa ya ngaytit Eva, nga ireg sugiden, kaꞌgenan, sabap kanya na i inaꞌ it muꞌsang taw. 
GEN.3.21	Bawnga may binwat it 
GEN.3.22	Iyan atnakayti, maat siꞌ it 
GEN.3.23	Aypaꞌ piyalꞌid nat 
GEN.3.24	Egay beken, inimugaw na sira. Pagkalꞌid nira, bintangan it 
GEN.4.1	Ta, paribasay nagꞌasawa na Adan, duwa ni Eva, ega naꞌlay bawnga dimnarugmatiꞌ na si Eva ngayti. Sumakit i beteng ya ngayti, lalaki. Piyangaranan yat ki Cain ka maat ya, “Nanganak akut lalaki kat ildaw it 
GEN.4.2	Pagpanganak nira siꞌ, lalaki naga. Si Abel i ipiyangaran.
GEN.4.2	Pagdakulaꞌ it duwa ngayti, si Abel, manigꞌeper it mga ayep nira. Si Cain, yay kanyang naꞌirgan, manigꞌuma. 
GEN.4.3	Iyan naꞌlay na, nagbuwat si Cain it pasalamat ya duꞌun it 
GEN.4.4	Ki Abel, nagbuwat gasiꞌ. Anak nat mga pagꞌeperan ya ngayti i pinsiꞌan ya. Tabaꞌ, nga piyakamagayeng bagiꞌ kat bilug it ramu-ramu, i giyamit ya. Nasagyaan it 
GEN.4.5	Temed si Cain ngayti baw kanyang pasalamat, ega siyagyaan it 
GEN.4.6	Piyakisugidan it 
GEN.4.7	In beteꞌ magayen i pagbuwaten mu, daꞌga baꞌ sagyaan ku gasiꞌ ikaw? Temed in ega ireg mu nga muwat it magayen, magꞌindadangep it kasalaꞌan. Sabap kasalaꞌan, subuk ramu-ramu nga magꞌaꞌapaꞌ nga kuturikeb it imu. Talagang pagtiꞌsen ya ikaw. Temed kaꞌilangan paꞌere-eres ka nga indaꞌegen mu kanya.”
GEN.4.8	Ta may esang aldaw nga diyaran ni Cain i ariꞌ ya nga si Abel it nagpaꞌuma. Ta napanaw na sira. Iyan duꞌun na sirat uma, egay beken inimatay ya na.
GEN.4.9	Ega naꞌlay inaat it 
GEN.4.9	Maat i tubag ni Cain, “Bilaꞌ, taꞌway, adimaat akuy manigꞌarigrat ariꞌ ku ngayan!”
GEN.4.10	Temed maat it 
GEN.4.11	Kayti, sumpaan ka naytu. Panyaꞌ nat imu i magꞌarigra it urumaan ngaytu, sabap it piyaturuꞌan mut duguꞌ it ariꞌ mu i lugtaꞌ ngaytu. 
GEN.4.12	Garing kayti, maski magpaꞌres ka it panguma-uma mu, talagang ega manggayen. Magluꞌug-luꞌug nay baraꞌan mu.”
GEN.4.13	Maat i tubag ni Cain it 
GEN.4.14	Ka ungaytu, pagꞌimugawun mu na aku situt lugtaꞌ ngaytung urumaan, baw ega na mapakay nga kat adapan mu paꞌ aku. Magbaraꞌ aku na ngaytung lemelꞌag. Barang bilaꞌ it atkaytu nay kabetangan ku, siyu-siyuy kaparag it aken, imatayen aku na.”
GEN.4.15	Ta it atkayti, miyampang siꞌ i 
GEN.4.16	Nagliꞌid na si Cain kat adapan it 
GEN.4.25	Nagbeteng siꞌ si Eva ngayti nga asawa ni Adan, sumakit lalaki. Piyangaranan ya, si Set,
GEN.4.26	Pagpangasawa ni Set, nakaꞌanak it lalaki, piyangaranan yat ki Enos.
GEN.4.26	Garing duꞌun it iting timpu, nagpapuꞌun nay mga kaꞌanakan ngayti ni Set nga tumaꞌwag it 
GEN.5.1	Itu na ngaytu i paꞌyag pasar it mga kaꞌanak-anakan ni Adan.
GEN.5.1	Iyan giyuna it Ampuꞌang Diyus na Adan, pamwat ya, magꞌagen-agen it kaladawan ya. 
GEN.5.2	Lalaki baw babay i giyuna ya, baw piyatdekan ya sira it ampang nga ikagayen it bilug nira. Yay ipiyangaran yat kanira, taw. 
GEN.5.3	Magꞌidad si Adan ngaytit sang gatus baw tulu nga pulung taꞌun, nakaꞌanak sit lalaki nga subung it pagtaw-taw ya naga. Piyangaranan na ngaytit ki Set.
GEN.5.4	Garing it nakaꞌanak ngaytit ki Set, nakaꞌanak naga kanyat beken, babay baw lalaki, ka may walu pang gatus nga taꞌun seked it natay na kanya. 
GEN.5.5	Pagpatay ya, siyam nga gatus baw tulung puluꞌ nga taꞌun i idad ya.
GEN.5.6	Magꞌidad si Set it sang gatus baw limang taꞌun, nakaꞌanak it ki Enos. 
GEN.5.7	May sunud nagang mga anak ya ka piyaꞌlay kanyat walung gatus baw pitu pang taꞌun. 
GEN.5.8	Tanan-tanan it idad ni Set, siyam nga gatus baw sang puluꞌ may duwang taꞌun bawnga natay kanya.
GEN.5.9	Magꞌidad si Enos it siyam nga pulung taꞌun, nanganak sirat ki Cainan. 
GEN.5.10	May sunud nagang mga anak ya ka piyaꞌlay kanyat walung gatus baw sang puluꞌ may lima pang taꞌun. 
GEN.5.11	Tanan-tanan nga idad ni Enos, siyam nga gatus baw limang taꞌun bawnga natay kanya.
GEN.5.12	Magꞌidad si Cainan it pitung puluꞌ nga taꞌun, nanganak sirat ki Mahalalel. 
GEN.5.13	May sunud nagang mga anak ya ka piyaꞌlay it walung gatus baw epat nga puluꞌ pang taꞌun. 
GEN.5.14	Tanan-tanan nga idad ni Cainan bawnga natay kanya, siyam nga gatus baw sang puluꞌ nga taꞌun.
GEN.5.15	Magꞌidad si Mahalalel it enem nga puluꞌ baw limang taꞌun, nanganak na sirat ki Jared. 
GEN.5.16	May sunud nagang mga anak ya ka piyaꞌlay it walung gatus baw tulung puluꞌ pang taꞌun. 
GEN.5.17	Tanan-tanan nga idad ni Mahalalel bawnga natay kanya, walung gatus baw siyam nga puluꞌ baw limang taꞌun.
GEN.5.18	Magꞌidad si Jared it sang gatus baw enem nga puluꞌ may duwang taꞌun, nanganak sirat ki Enoc. 
GEN.5.19	May sunud nagang mga anak ya ka piyaꞌlay kanyat walung gatus pang taꞌun. 
GEN.5.20	Tanan-tanan nga idad ni Jared, siyam nga gatus baw enem nga puluꞌ may duwang taꞌun bawnga natay kanya.
GEN.5.21	Magꞌidad si Enoc it enem nga puluꞌ may limang taꞌun, nanganak sirat ki Matusalem. 
GEN.5.22	Garing it pagpanganak it ki Matusalem, may tulu pang gatus nga taꞌun nga magsisiging magpangaꞌgenan si Enoc uyun kat kaꞌirgan it Ampuꞌang Diyus nga bilang kaꞌiba-iba yang pirmi. May beken naga nga anak na Enoc nga babay, lalaki, nga simnunud it ki Matusalem. 
GEN.5.23	Tanan-tanan nga idad ni Enoc, tulung gatus baw enem nga puluꞌ may limang taꞌun. 
GEN.5.24	Pagkaꞌbut yat iting idad, paribasay bilang kaꞌiba-iba it Ampuꞌang Diyus si Enoc ngayti, nagsipat na lamang kanya. Daꞌna magkaparagan ka pinsiꞌ na kanya it Ampuꞌang Diyus.
GEN.5.25	Magꞌidad si Matusalem it sang gatus baw walung puluꞌ may pitung taꞌun, nanganak sira magꞌasawa it ki Lamec. 
GEN.5.26	May sunud nagang mga anak nira ka piyaꞌlay kanyat pitung gatus baw walung puluꞌ may duwa pang taꞌun. 
GEN.5.27	Tanan-tanan nga idad ni Matusalem, siyam nga gatus baw enem nga puluꞌ may siyam nga taꞌun bawnga natay kanya.
GEN.5.28	Magꞌidad si Lamec it sang gatus baw walung puluꞌ may duwa nga taꞌun, nanganak sira it esang lalaki. 
GEN.5.29	Piyangaranan yat ki Noe, ka maat ya, “Ituy inu-inu it aten kat makuriꞌ ngaytu nga buwat ta, nga magpakariga kat pangarigrat lugtaꞌ nga siyumpaan it 
GEN.5.30	May sunud nagang mga anak ni Lamec ka piyaꞌlay it limang gatus baw siyam nga puluꞌ may lima pang taꞌun. 
GEN.5.31	Nakaꞌbut i idad ni Lamec it pitung gatus baw pitung puluꞌ may pitung taꞌun, bawnga natay na kanya.
GEN.5.32	Magꞌidad si Noe it limang gatus nga taꞌun, nakaꞌanak kanyat sunud-sunud, si Sem, si Cam, bawnga ikatlu si Jafet.
GEN.6.1	Iyan dimnakel nay taw kat sinirungat langit, nagsigꞌanak-anak na. Dakel na nga mga babay i ipiyanganak. 
GEN.6.2	Paribasay mga daraga i mga babay ngayti nga anak it taw, naꞌirgan it mga anak
GEN.6.3	Ta it atkayti na, maat it Ampuꞌang Diyus, “Ega na ipasigi ku i buwat it Espiritu Santo ku nga magpadisir baw magsupil it katataawan, sabap nagpadura-duraꞌit na sira it adat nga maraꞌe-raꞌet. Takaꞌ ildawan ku naga sira it sang gatus baw duwang puluꞌ nga taꞌun i kaꞌlay.”
GEN.6.4	Kat iti nga timpu, timpu ngayti nga namagpangasawa na i paꞌaaten nga mga anak it Ampuꞌang Diyus it mga paꞌaaten nga mga anak it taw baw namagꞌanak-anak na ngayti, may mga taw na nga lagi nga pagtaꞌwagen it Nefilim.
GEN.6.5	Namuyaan it Ampuꞌang Diyus nga karaꞌe-raꞌetan nay nakapnuꞌ duꞌun it katataawan ngayti, ka pagsumbayaꞌen na nira nga banar i muꞌsang karaꞌe-raꞌetan kat nakem nira. 
GEN.6.6	Talagang nasmekan it 
GEN.6.7	Iyan atnakayti, maat it 
GEN.6.8	Temed si Noe ngayti, siyagyaan kanyat 
GEN.6.9	Talagang si Noe ngayti, mataldeng kanya kat panleteg it Ampuꞌang Diyus. Kat iting timpu, kanya lamang i magayen nga adat it taw, ega nay beken. Talagang pagpaꞌresan ni Noe i kaꞌirgan it Ampuꞌang Diyus nga bilang kaꞌiba-iba ya nga pirmi. 
GEN.6.10	Baw yanayan, lalaki nga tulu i anak ya, si Sem, si Cam baw si Jafet. 
GEN.6.11	Temed kat mga beken nga taw, piyaraꞌe-raꞌet nira nang banar i pangaꞌgenan nira. Talagang karaꞌe-raꞌetan nay nakapnuꞌ kat paꞌari-aring rugar. 
GEN.6.12	Kamatuudan, kat panleteg it Ampuꞌang Diyus, talagang karaꞌe-raꞌetan nay betang it sang kinleban.
GEN.6.13	Iyan atnakayti, inaat it Ampuꞌang Diyus si Noe, “Kayti puuꞌun ku nay muꞌsang taw, pati banwa ngaytu, tunawun ku na, sabap talagang punung-punuꞌ nay banwa ngaytu it karaꞌe-raꞌetan nira. 
GEN.6.14	Takaꞌ imu, magbuwat ka it subuk dakulang baul nga masakayan mi. Kayu nga sipres i buwaten mu. Seled-seleden mu in maꞌman mu na baw palanayan mut paparkat i paseled paliꞌwan isaꞌun ega tubudan. 
GEN.6.15	Baw magꞌaꞌatkayti i pamwat mu, tulung gatus nga parasikwan i kaꞌabwat, limang puluꞌ nga parasikwan i bukaꞌ ya, baw katagbaw ya tulung puluꞌ nga parasikwan. 
GEN.6.16	Atpan muy sakayan ngaytu nga buwaten mu baw dingdingan, temed ega iparapat duꞌut atep i pandingding, mga sang parasikwan i kataꞌal. Buwatan mut tulung ruknuꞌ i daꞌtag ya. Buwatan mu gasit liliꞌwanan bawnga talaꞌpan. 
GEN.6.17	Atkaytuy buwaten mu sabap magꞌaꞌabut talaga nga ipapanaw ku kat muꞌsang banwa i ega basta-bastang lenep, isaꞌun mapuuꞌ i muꞌsang maginawa kat sinirungat langit. Matay sirang muꞌsa. 
GEN.6.18	Temed may ipakiꞌupakat ku it imu. Aypaꞌ pagkaꞌman mu it sakayan ngaytu, pasakay kamu nang muꞌsa, duwa kamu magꞌasawa, pati mga anak mi, uyut gasiꞌ i kanirang mga asawa. 
GEN.6.19	Baw kumargaꞌ ka naga it muꞌsang mga ramu-ramu gasiꞌ, nga kat kada kalasi tagduwang batu i ikargaꞌ mu, isaꞌun makaꞌuyut sirat imyu nga maꞌped. Lalaki baw babay i ikargaꞌ mu. 
GEN.6.20	Puꞌsaen mu, manu-manuk baw ramu-ramu, magpanaw baw magkambang. Duwang batu kat kada kalasi i ikargaꞌ mu, isaꞌun maꞌped gasiꞌ sirat kanira. 
GEN.6.21	Baw dakulaꞌen mi nga kargaꞌ it muꞌsang kalasit pangaꞌen, muꞌsang kaꞌilangan mi baw kaꞌilangan it mga ramu-ramu gasiꞌ, isaꞌun daꞌkamu kurangen.”
GEN.6.22	Ta, muꞌsa ngayting ipiyagꞌaat it Ampuꞌang Diyus nga munaꞌaw ya it ki Noe, siyunud nga muꞌsa ni Noe.
GEN.7.1	Iyan naꞌman na, inaat nat 
GEN.7.2	Kada kalasi it ramu-ramu nga mapakay nga ipagsamba mi sinit aken, misiꞌ kat tagpipitung batu, babay, lalaki naga.
GEN.7.3	Pati mga manu-manuk, tagpipitung batu i pisiꞌen mu, babay, lalaki. Ikargaꞌ mi na isaꞌun muꞌsa ngaytu, may maꞌped naga nga yanagay panggaring-garingan it dumakel naga i situt banwa. 
GEN.7.4	Atkaytuy buwaten mu sabap, kapitu mana kayti, paꞌuranen ku na, baw maꞌlay yan nga uranan ka epat nga pulung aldaw baw delem. Atkaytu nay kaꞌlay ka puuꞌun ku i muꞌsang maginawa situt sinirungat langit nga giyuna ku.”
GEN.7.5	Ta, muꞌsa ngayting inaat it 
GEN.7.6	Magꞌidad na si Noe it enem nga gatus nga taꞌun pagꞌabut it iting luyud kat sinirungat langit. 
GEN.7.7	Ta, egay beken, nanled na na Noe, puꞌsa sira magꞌaꞌanak, pati mga asawa nira, isaꞌun maribri naga kat magꞌaꞌabut ngayti nga luyud nga tumunaw it banwa. 
GEN.7.8	Kat muꞌsang ramu-ramu baw manu-manuk, iyan nga mapakay nga ipagsamba baw ega, 
GEN.7.9	nagsigꞌabut na sirang muꞌsa duꞌut sakayan ngayti ka siminled na, kumpur inaat it Ampuꞌang Diyus it ki Noe. Kada kalasi, nagꞌasawa i miyabut. 
GEN.7.10	Desang matuud nga nakapitu, miyabut nay luyud nga ikiyaꞌampung na it muꞌsang banwa.
