MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
MAT.1.19	Оның күйеўи Юсуп ҳақ адам болып, Мәриямды уятқа қалдырмайын деп, оған үйлениўден жасырын түрде бас тартыўды ойлады. 
MAT.1.20	Ол усылай ойлап жүргенде, Қудайдың бир периштеси оның түсине енип:
MAT.1.20	– Ҳәй, Даўыттың урпағы Юсуп! Сен Мәриямды өзиңе ҳаяллыққа алыўдан қорқпа. Оның ишиндеги Баласы Мухаддес Руўхтан. 
MAT.1.21	Мәриям Ул туўады. Сен оның атын Ийса деп қоясаң, себеби Ол Өз халқын гүналарынан қутқарады, – деди.
MAT.1.22	Булардың ҳәммеси Қудайдың пайғамбар арқалы алдын ала айтқан мына сөзлериниң орынланыўы ушын болды:
MAT.1.23	Иммануел – «Қудай бизлер менен бирге» деген мәнисте.
MAT.1.24	Уйқыдан турған Юсуп Қудайдың периштесиниң буйырғанын ислеп, Мәриямға үйленди. 
MAT.1.25	Бирақ Мәриям Улын туўғанша, Юсуп оған жақынлаған емес. Ол Баланың атын Ийса деп қойды.
MAT.2.1	Ийса Яҳудияның Бейтлеҳем қаласында, патша Ҳиродтың заманында туўылғаннан соң, Ерусалим қаласына күншығыстан жулдыз изертлеўшилер келип:
MAT.2.2	– Яҳудийлердиң жаңа туўылған Патшасы қая қта екен? Өйткени бизлер күншығыста Оның жулдызын көрип, Оған табыныўға келдик, – деп сорады.
MAT.2.3	Буны еситкен патша Ҳирод ҳәм оның менен бирге пүткил Ерусалим қаласы тынышсызланып қалды. 
MAT.2.4	Ҳирод халықтың барлық бас руўханийлерин ҳәм диний муғаллимлерин жыйнап алып, олардан Масихтың қай жерде туўылыўы тийис екенин сорастырды.
MAT.2.5	Олар былай деди:
MAT.2.5	– Яҳудиядағы Бейтлеҳемде. Себеби пайғамбар арқалы мынадай сөзлер жазылған:
MAT.2.7	Сонда Ҳирод жулдыз изертлеўшилерди жасырын шақыртып, олардан жулдыздың шыққан ўақтын сорастырып билип алды. 
MAT.2.8	Оларды Бейтлеҳемге жиберип:
MAT.2.8	– Барып, Нәресте ҳаққында жақсылап билип алыңлар. Оны тапқаннан кейин, маған хабар бериңлер, мен де барып Оған табынайын, – деди.
MAT.2.9	Олар патшаның сөзин еситип болып, жүрип кетти. Сонда өзлери күншығыста көрген жулдыз олардың алдында жүрип, жол көрсетти ҳәм Нәресте болған жердиң үстинде тоқтады. 
MAT.2.10	Жулдызды көргенде, олар қатты қуўанды. 
MAT.2.11	Үйге кирип, Нәрестени ҳәм Оның анасы Мәриямды көрди де, Нәрестениң аяғына жығылып, Оған табынды. Өзлериниң ғәзийне ыдысларын ашып, Оған алтын, ладан ҳәм мирра
MAT.2.12	Олар Ҳиродқа қайтып бармаў ҳаққында түслеринде ескертилгенликтен, басқа бир жол менен өз еллерине қайтып кетти.
MAT.2.13	Жулдыз изертлеўшилер кеткеннен кейин, Қудайдың бир периштеси Юсуптың түсине енип:
MAT.2.13	– Орныңнан тур да, Нәресте менен анасын алып, Мысырға
MAT.2.14	Юсуп турды да, Нәресте менен анасын алып, түн ишинде Мысырға қашып кетти. 
MAT.2.15	Ҳиродтың өлимине шекем сол жерде болды. Солай етип, Қудайдың: 
MAT.2.16	Ал Ҳирод жулдыз изертлеўшилердиң алдап кеткенин түсинип, қатты ашыўланды. Жулдыз изертлеўшилерден ўақытты билип алған ол Бейтлеҳемдеги ҳәм оның дөгерегиндеги еки жасар ҳәм оннан да киши ул балалардың ҳәммесин өлтириўди буйырды. 
MAT.2.17	Солай етип, Еремия пайғамбар арқалы айтылған мына сөзлер орынланды:
MAT.2.19	Ҳирод өлгеннен кейин, Қудайдың бир периштеси Мысырда Юсуптың түсине енип:
MAT.2.20	– Орныңнан тур да, Нәресте менен анасын алып, Израил елине қайт. Себеби Нәрестени өлтирмекши болғанлар өлди, – деди.
MAT.2.21	Юсуп турып, Нәресте менен анасын алып, Израил елине қайтты. 
MAT.2.22	Бирақ Яҳудияда Ҳиродтың орнына баласы Архелай патша болып отырғанын еситип, Юсуп ол жерге барыўға қорқты. Түсинде аян арқалы ескертилген ол Галила үлкесине кетип, 
MAT.2.23	Насыра деген қалаға орналасты. Солай етип, «Ол Насыралы деп аталады», – деп пайғамбарлардың алдын ала айтқанлары орынланды.
MAT.3.1	Сол күнлери Шомылдырыўшы Яқыя келип, Яҳудия үлкесиниң шөл даласында:
MAT.3.2	– Тәўбе етиңлер!
MAT.3.3	Ийшая пайғамбар арқалы мынадай деп алдын ала айтылған адам усы Яқыя еди:
MAT.3.4	Яқыя түйениң жүнинен кийим кийген, белин тери қайыс пенен буўған болып, оның аўқаты шегиртке менен жабайы ҳәррениң палы еди.
MAT.3.5	Сол ўақытта Ерусалимниң, пүткил Яҳудия үлкесиниң ҳәм Иорданның пүткил дөгерегиниң турғынлары оған барды 
MAT.3.6	ҳәм өзлериниң гүналарын мойынлап, Иордан дәрьясында шомылдырылды. 
MAT.3.7	Яқыя өзине көп парисейлер менен саддукейлердиң
MAT.3.7	– Ҳәй, уўлы жыланлардың туқымлары! Келешектеги қәҳәрли жазадан қутылыўды сизлерге ким үйретти? 
MAT.3.8	Тәўбе еткениңизге ылайық жемис бериңлер! 
MAT.3.9	Және: «Бизлердиң ата тегимиз – Ибрайым ата-ғо!» – деп ишлериңизден ойламаңлар. Себеби сизлерге айтатуғыным: Қудай Ибрайымға мына таслардан да балалар жасап бере алады.
MAT.3.10	Тереклердиң тамырында ҳәзирдиң өзинде-ақ балта жатыр. Жақсы мийўе бермейтуғын ҳәр бир терек шабылып, отқа тасланады. 
MAT.3.11	Тәўбе еткениңиздиң белгиси ретинде, мен сизлерди суў менен шомылдыраман. Бирақ меннен кейин Келиўши меннен де қүдиретли: мен Оның аяқ кийимин шешиўге де ылайықлы емеспен. Ол сизлерди Мухаддес Руўх ҳәм от пенен шомылдырады. 
MAT.3.12	Оның жабасы қолында. Ол Өз қырманын тазалап, бийдайын ғәллеханасына жыйнайды, ал сабанын сөнбес отқа жандырады, – деди.
MAT.3.13	Сонда Ийса Яқыя тәрепинен шомылдырылыў
MAT.3.14	Бирақ Яқыя Оны иркип:
MAT.3.14	– Сениң қолыңнан шомылдырылыўға мен мүтәжбен-ғо! Сен неге маған киятырсаң? – деди.
MAT.3.15	Бирақ, Ийса оған жуўап берип:
MAT.3.15	– Енди ыразы бол, пүткил ҳақлықты
MAT.3.15	Соннан соң, Яқыя Оған қайылшылық берди.
MAT.3.16	Ийса шомылдырылып, дәрриў суўдан шықты. Мине, аспан ашылып, Ол Қудайдың Руўхының Өзиниң үстине кептердей түсип киятырғанын көрди. 
MAT.3.17	Сонда аспаннан:
MAT.3.17	– Бул – Мениң сүйикли Улым, Мен Оған ырзаман! – деген саза еситилди.
MAT.4.1	Соннан соң, шайтан сынасын деп, Мухаддес Руўх Ийсаны шөлге алып барды. 
MAT.4.2	Ийса сол жерде қырық күн, қырық түн ораза тутып, ақыры аш болды. 
MAT.4.3	Сонда азғырыўшы шайтан Оның қасына келип:
MAT.4.3	– Егер Сен Қудайдың Улы болсаң, мына тасларға буйыр, олар нанға айлансын! – деди.
MAT.4.4	Ийса жуўап қайтарып:
MAT.4.4	деп Мухаддес Жазыўда айтылған-ғо, – деди.
MAT.4.5	Соннан соң, шайтан Оны мухаддес қала Ерусалимге алып барып, Ибадатхананың төбесине турғызып қойды да, 
MAT.4.6	Оған:
MAT.4.6	– Егер Сен Қудайдың Улы болсаң, төмен секирши. Өйткени Мухаддес Жазыўда былай деп айтылған-ғо:
MAT.4.7	Ийса оған:
MAT.4.7	– 
MAT.4.8	Және шайтан Оны жүдә бийик бир таўға апарып, Оған дүньяның барлық патшалықлары менен олардың сән-салтанатларын көрсетип:
MAT.4.9	– Егер аяғыма жығылып, маған табынсаң, усылардың ҳәммесин Саған беремен, – деди.
MAT.4.10	Сонда Ийса оған:
MAT.4.10	– Жоқ бол көзимнен, шайтан!
MAT.4.10	деп Мухаддес Жазыўда айтылған-ғо, – деди.
MAT.4.11	Соннан кейин, шайтан Оның қасынан кетти. Сонда периштелер келип, Ийсаға хызмет етти.
MAT.4.12	Ийса Яқыяның тутқынға алынғанын еситип, Галила үлкесине қайтып кетти. 
MAT.4.13	Ол Насыра қаласын қалдырып, Зебулон ҳәм Нафтали дөгерегиндеги теңиздиң жағасында жайласқан Капарнаҳумға келип орналасты. 
MAT.4.14	Солай етип, Ийшая пайғамбар арқалы айтылған мына сөзлер орынланды:
MAT.4.17	Сол ўақыттан баслап, Ийса:
MAT.4.17	– Тәўбе етиңлер! Себеби Аспан Патшалығы жақынлады! – деп жәриялай баслады.
MAT.4.18	Ийса Галила теңизиниң жағасында жүргенде, теңизге аў салып атырған еки ағалы-инилини: Петр деп аталған Симонды ҳәм оның иниси Андрейди көрди. Олар балықшылар еди. 
MAT.4.19	Ийса оларға:
MAT.4.19	– Мениң изиме ериңлер! Мен сизлерди адамларды Қудайдың жолына түсириўшилер
MAT.4.20	Олар дәрриў аўларын таслап, Оның изине ерди.
MAT.4.21	Сол жерден кетип баратырып, Ол басқа еки ағалы-инилини: Зебедейдиң улы Яқыпты ҳәм оның иниси Юханды көрди. Олар әкеси Зебедей менен бирге қайықта аўларын жамап отырған еди. Ийса оларды да шақырды. 
MAT.4.22	Олар дәрриў қайықты да, әкесин де қалдырып, Оның изине ерди.
MAT.4.23	Ийса пүткил Галила үлкесин аралап жүрди. Олардың мәжилисханаларында
MAT.4.24	Ийса туўралы хабар пүткил Сирияға жайылды. Барлық аўырыў адамларды, түрли сырқаў ҳәм дәртке ушырағанларды, жин урғанларды, қояншық ҳәм ләң болғанларды Оған алып келди. Ийса оларға шыпа берди. 
MAT.4.25	Оның изине Галиладан, Декаполистен, Ерусалимнен, Яҳудиядан ҳәм Иорданның арғы жағынан келген көп халық ерип жүрди.
MAT.5.1	Ийса халықты көрип, бир таўға шықты. Ол отырғаннан кейин, шәкиртлери қасына келди. 
MAT.5.2	Ийса оларға былай деп тәлим бере баслады:
MAT.5.3	– Руўхый жарлы болғанлар бахытлы!
MAT.5.4	Қайғырып жүргенлер бахытлы! Олар жубаныш табады.
MAT.5.5	Кишипейиллилер бахытлы! Олар жер жүзине ийелик етеди.
MAT.5.6	Ҳақлыққа мүтәж болғанлар бахытлы!
MAT.5.6	Қудай оларды толық қанаатландырады.
MAT.5.7	Мийрим-шәпәәтлилер бахытлы! Олар мийрим-шәпәәт алады.
MAT.5.8	Пәк кеўиллилер бахытлы! Олар Қудайды көреди.
MAT.5.9	Жарастырыўшылар бахытлы! Олар Қудайдың балалары деп аталады.
MAT.5.10	Ҳақлық ушын қуўдаланғанлар бахытлы! Аспан Патшалығы олардики.
MAT.5.11	Адамлар сизлерди Мен себепли хорласа, қуўдаласа, ҳәр түрли өтирик сөзлер менен жаманласа, сизлер бахытлысызлар! 
MAT.5.12	Қуўаныңлар ҳәм шадланыңлар! Өйткени сизлердиң аспандағы сыйыңыз үлкен. Сизлерден бурынғы пайғамбарларды да усылай қуўдалаған.
MAT.5.13	– Сизлер – дүньяның дузысызлар. Бирақ дуз өз күшин жойтса, оны қалай және шорлы қылыўға болады? Онда ол ҳеш нәрсеге жарамайды, тек шығарып тасланып, адамлардың аяғы астында басылып қалады.
MAT.5.14	Сизлер – дүньяның нурысызлар. Таў басына салынған қала жасырын болып қалмайды. 
MAT.5.15	Сондай-ақ шыраны жаққаннан соң, оны ыдыстың астына емес, ал шыра қойғышқа қояды, сонда ол үйдегилердиң ҳәммесине өз жақтысын түсиреди. 
MAT.5.16	Сол сыяқлы, сизлердиң нурыңыз адамлардың алдында жарқырай берсин. Адамлар сизлердиң жақсы ислериңизди көрип, аспандағы Әкеңизди даңққа бөлесин!
MAT.5.17	– Сизлер Мени Мухаддес Нызамды ямаса пайғамбарлардың Жазыўларын бийкар етиўге келди, деп ойламаңлар. Мен бийкар етиў ушын емес, ал орынлаў ушын келдим. 
MAT.5.18	Сизлерге шынын айтып турман: аспан менен жер жойылмағанша, Мухаддес Нызамның бир ҳәриби де, бир ноқаты да жойылмайды, барлығы да орынланыўы тийис. 
MAT.5.19	Солай етип, ким де ким усы буйрықлардың ең киши биреўин бузып, адамларға да солай үйретсе, ол Аспан Патшалығында ең киши болып саналады. Ал ким де ким оларды орынлап, адамларға үйретсе, ол Аспан Патшалығында уллы болып саналады. 
MAT.5.20	Мениң сизлерге айтатуғыным: егер сизлердиң ҳақлығыңыз диний муғаллимлер менен парисейлердикинен артық болмаса, сизлер Аспан Патшалығына кирмейсиз.
MAT.5.21	– 
MAT.5.22	Ал Мениң сизлерге айтатуғыным: ким де ким туўысқанына бийкарға
MAT.5.23	Сонлықтан егер де сен қурбанлығыңды қурбанлық шалынатуғын орынға алып келгениңде, жақын адамыңның
MAT.5.24	қурбанлығыңды сол жердиң алдында қалдырып, әўели жақын адамыңа
MAT.5.25	Сен даўласың менен бирге ҳүким етилиўге баратырған ўақтыңда, оның менен тезирек жарасып ал. Олай етпесең, ол сени қазының алдына апарады, қазы сени сақшыға тапсырып, қаматып таслайды. 
MAT.5.26	Саған шынын айтаман: соңғы тийиниңди төлеп таўыспағаныңша, ол жерден шыға алмайсаң.
MAT.5.27	– Сизлер: 
MAT.5.28	Ал Мениң сизлерге айтатуғыным: ким де ким басқа бир ҳаялға бузық нийет пенен қараса, ол әлле қашан-ақ, кеўлинде оның менен неке ҳадаллығын бузған болады. 
MAT.5.29	Егер сени оң көзиң азғырса, оны ойып тасла. Себеби пүткил денеңниң дозаққа түскенинен гөре, бир мүшеңниң жоқ болғаны саған жақсырақ болады. 
MAT.5.30	Егер сени оң қолың азғырса, оны шаўып тасла. Пүткил денеңниң дозаққа түскенинен гөре, бир мүшеңниң жоқ болғаны саған жақсырақ болады.
MAT.5.31	Тағы да: 
MAT.5.32	Ал Мениң сизлерге айтатуғыным: ким де ким неке ҳадаллығын бузбаған ҳаялынан ажырасса, ҳаялының неке ҳадаллығын бузыўына себепкер болады. Сондай-ақ ким де ким күйеўинен ажырасқан бир ҳаялды алса, ол неке ҳадаллығын бузады.
MAT.5.33	– Тағы да сизлер: 
MAT.5.34	Ал Мениң сизлерге айтатуғыным: ҳеш ўақытта ант ишпе! Аспан менен де ант ишпе, өйткени ол – Қудайдың тахты. 
MAT.5.35	Жер менен де ант ишпе, себеби ол – Оның аяқ басары. Ерусалим менен де ант ишпе, өйткени ол – уллы Патшаның қаласы. 
MAT.5.36	Өз басың менен де ант ишпе, себеби сен бир тал шашыңды да ағарта ямаса қарайта алмайсаң. 
MAT.5.37	Сизлердиң: «аўа» сөзиңиз «аўа» ямаса «яқ» сөзиңиз «яқ» болсын, буннан басқасы шайтаннан.
MAT.5.38	– Сизлер: 
MAT.5.39	Ал Мениң сизлерге айтатуғыным: жаман адам менен қарсыласпаңлар. Биреў бетиңниң оң жағына урса, оған бетиңниң сол жағын да тут. 
MAT.5.40	Биреў сениң менен даўласып көйлегиңди алғысы келсе, оған шапаныңды да шешип бер. 
MAT.5.41	Биреў сени өзи менен бирге бир шақырым жер жүриўге мәжбүрлесе, оның менен бирге еки шақырым жүр. 
MAT.5.42	Сеннен сорағанға бер, сеннен қарызға алайын дегеннен аяма.
MAT.5.43	– Сизлер: 
MAT.5.44	Ал Мениң сизлерге айтатуғыным: душпанларыңызды сүйиңлер, сизлерди қуўдалайтуғынлар ушын дуўа етиңлер. 
MAT.5.45	Сонда аспандағы Әкеңиздиң балалары боласызлар. Өйткени Ол жаманлардың үстине де, жақсылардың үстине де, Өз қуяшының нурын төгеди ҳәм ҳақ адамлардың үстине де, наҳақлардың үстине де, жаўынын жаўдырады. 
MAT.5.46	Егер сизлер өзлериңизди сүйгенлерди ғана сүйсеңлер, қандай сыйлық аласызлар? Салықшылар да солай ислемей ме? 
MAT.5.47	Сизлер туўысқанларыңыз бенен ғана сәлемлессеңлер, онда қандай өзгешеликлериңиз бар? Бутқа табыныўшылар да солай ислемей ме? 
MAT.5.48	Солай етип, аспандағы Әкеңиздиң минсиз болғаны сыяқлы, сизлер де минсиз болыңлар!
MAT.6.1	– Абайлаңлар, сизлер саўап ислериңизди
MAT.6.2	Солай етип, сен қайыр-садақа бергениңде, еки жүзлилер сыяқлы өз-өзиңнен жар салма. Бундайлар адамлар мақтасын деп, мәжилисханаларда ҳәм көшелерде усылай ислейди. Сизлерге шынын айтып турман: олар әлле қашан өз сыйларын алып болды. 
MAT.6.3	Сен қайыр-садақа бергениңде, оң қолыңның не ислегенин сол қолың билмесин. 
MAT.6.4	Сонда сениң қайыр бериўиң жасырын болады ҳәм жасырынлықты көриўши Әкең саған қайтарады.
MAT.6.5	– Дуўа еткениңизде, адамларға көрсетиў ушын мәжилисханаларда ҳәм көшелердиң мүйешлеринде турып дуўа етиўди жақсы көретуғын еки жүзлилер сыяқлы болмаңлар. Сизлерге шынын айтып турман: олар әлле қашан өз сыйларын алып болды. 
MAT.6.6	Ал сен дуўа еткениңде бөлмеңе кирип, есигиңди жапқаныңнан соң, көзге көринбейтуғын Әкеңе дуўа ет! Сонда жасырынлықты көриўши Әкең саған қайтарады.
MAT.6.7	Дуўа еткениңизде, бутқа табыныўшылар сыяқлы мылжыңға берилмеңлер. Олар көп сөйлесек тыңлар деп ойлайды. 
MAT.6.8	Сизлер оларға уқсамаңлар. Себеби Әкеңиз неге мүтәж екенлигиңизди Оннан сорамасыңыздан алдын биледи. 
MAT.6.9	Сонлықтан сизлер былай деп дуўа етиңлер:
MAT.6.9	Аспандағы Әкемиз!
MAT.6.9	Сениң атың мухаддес бола берсин.
MAT.6.10	Сениң Патшалығың келсин.
MAT.6.10	Аспанда орынланғаны сыяқлы,
MAT.6.10	жерде де Сениң еркиң орынлансын.
MAT.6.11	Бизлерге бүгин де күнделикли нанымызды бере гөр.
MAT.6.12	Бизлерге гүна ислегенлерди кеширгенимиздей,
MAT.6.12	бизлердиң де гүналарымызды кешире гөр.
MAT.6.13	Бизлердиң азғырылыўымызға жол қоймай,
MAT.6.13	шайтаннан қутқара гөр.
MAT.6.13	Себеби Патшалық та, қүдирет те, уллылық та мәңгиликке Сеники. Аўмийин.
MAT.6.14	Егер сизлерге гүна ислегенлерди кеширсеңлер, аспандағы Әкеңиз де сизлерди кеширеди. 
MAT.6.15	Ал егер сизлерге гүна ислегенлерди кеширмесеңлер, Әкеңиз де гүналарыңызды кеширмейди.
MAT.6.16	– Ораза тутқаныңызда, еки жүзлилер сыяқлы муңайып жүрмеңлер. Олар адамларға ораза тутыўшы болып көриниў ушын ғана ажарын бузып жүреди. Сизлерге шынын айтаман: олар әлле қашан өз сыйларын алып болды. 
MAT.6.17	Сен ораза тутқаныңда, шашыңды тарап
MAT.6.18	Солай етип, ораза тутқаның адамларға емес, ал көзге көринбейтуғын Әкеңе көринсин. Жасырынлықты көриўши Әкең саған қайтарады.
MAT.6.19	– Өзлериңизге жер бетинде байлық жыйнамаңлар. Бул жерде оны күйе де жейди, тат та басады, урылар да бузып кирип урлайды. 
MAT.6.20	Ал өзлериңизге аспанда байлық жыйнаңлар. Сол жерде оны күйе де жемейди, тат та баспайды, урылар да бузып кирип урламайды. 
MAT.6.21	Өйткени байлықларыңыз қай жерде болса, кеўиллериңиз де сол жерде болады.
MAT.6.22	Көз – денениң шырағы. Сонлықтан да, егер көзиң саў болса, пүткил денең де жарық болады. 
MAT.6.23	Егер көзиң саў болмаса, пүткил денең де қараңғы болады. Сонлықтан егер ишиңдеги жарық қараңғы болса, онда қараңғылықтың өзи қаншелли тас түнек болады!
MAT.6.24	Ҳеш ким еки хожаға хызмет ете алмайды. Себеби ол биреўин жек көрип, екиншисин жақсы көреди ямаса биреўине садық болып, екиншисине итибарсыз қарайды. Сизлер ҳәм Қудайға, ҳәм байлыққа бирдей хызмет ете алмайсызлар.
MAT.6.25	– Сонлықтан сизлерге айтатуғыным: не ишип, не жеймиз деп, жаныңыз ушын, не кийемиз деп, денеңиз ушын тәшиўишленбеңлер. Жан аўқаттан, дене кийимнен артық емес пе? 
MAT.6.26	Аспандағы қусларға қараңлар! Олар екпейди де, ормайды да, телекке жыйнамайды да, ал аспандағы Әкеңиз оларды асырайды. Сизлер олардан анағурлым артық емессизлер ме? 
MAT.6.27	Тәшиўишлениў себепли, ким сизлердиң араңызда өз өмирин бир саатқа болса да узайта алады? 
MAT.6.28	Кийим туўралы неге тәшиўишленесизлер? Даладағы лилия гүллериниң қалай өсип турғанына қараңлар! Олар мийнет те етпейди, жип те ийирмейди. 
MAT.6.29	Ал сизлерге айтатуғыным: Сулайман да өзиниң сән-салтанатында усылардың биреўиндей сәнли кийинбеген еди. 
MAT.6.30	Егер бүгин бар болып, ертең ошаққа тасланатуғын даладағы шөпти Қудай солай кийиндирсе, сизлерди олардан да артық кийиндирмес пе еди, ҳәй, исеними азлар?
MAT.6.31	Сонлықтан да: «Не ишип, не жеймиз?» ямаса «Не кийемиз?» – деп тәшиўишленбеңлер. 
MAT.6.32	Өйткени усылардың ҳәммесин бутқа табыныўшылар излеп жүреди. Усы нәрселердиң ҳәммесине мүтәж екениңизди аспандағы Әкеңиз биледи. 
MAT.6.33	Ең алды менен Қудайдың Патшалығын
MAT.6.34	Солай етип, ертеңги күн туўралы тәшиўишленбеңлер! Себеби ертеңги күн өзи ушын өзи ғам жейди. Ҳәр күнниң өз ғамы өзине жетеди.
MAT.7.1	– Басқаларды ҳүким етпеңлер, сонда сизлер де ҳүким етилмейсизлер. 
MAT.7.2	Өйткени сизлер басқаларды қалай ҳүким етсеңлер, Қудай да сизлерди солай ҳүким етеди. Қандай өлшем менен өлшеп берсеңлер, Қудай да сизлерге сондай өлшем менен өлшеп береди. 
MAT.7.3	Сен неге туўысқаныңның көзиндеги шөпти көрип турып, өз көзиңдеги қаданы сезбейсең? 
MAT.7.4	Өз көзиңде қада бола тура, қалай: «Қәне, көзиңдеги шөпти шығарып алайын», – деп туўысқаныңа айтасаң? 
MAT.7.5	Ҳәй, еки жүзли! Дәслеп өз көзиңдеги қаданы шығар, сонда анық көрип, туўысқаныңның көзиндеги шөпти шығара аласаң.
MAT.7.6	Мухаддес затты ийтлерге бермеңлер, ҳинжи-маржанларыңызды шошқалардың алдына тасламаңлар. Оларды аяқлары менен басқылап, айланып келип сизлерди тилкимлеп таслайды.
MAT.7.7	– Сораңлар, сизлерге бериледи. Излеңлер, табасызлар. Есикти қағыңлар, ол сизлерге ашылады. 
MAT.7.8	Себеби сораған ҳәр бир адам алады, излеген табады, есик қаққанға ашылады. 
MAT.7.9	Сизлердиң араңызда улы нан сораса, тас беретуғын адам бар ма? 
MAT.7.10	Я болмаса, балық сораса, оған жылан беретуғын бар ма? 
MAT.7.11	Өзлериңиз жаман бола тура, балаларыңызға жақсы сыйлар бериўди билсеңиз, онда аспандағы Әкеңиз Өзинен сорағанларға қаншелли көп ийгиликлер береди!
MAT.7.12	Солай етип, ҳәмме исте адамлардың сизлерге не ислегенин қәлесеңлер, сизлер де оларға соны ислеңлер. Мухаддес Нызамның да, пайғамбарлардың Жазыўларының да мәниси усы.
MAT.7.13	– Тар қапыдан кириңлер. Өйткени набыт болыўға апаратуғын қапы кең, жол да үлкен, оның менен жүретуғынлар көп. 
MAT.7.14	Ал өмирге апаратуғын қапы тар, жол да киши, оны табатуғынлар аз.
MAT.7.15	– Жалған пайғамбарлардан сақ болыңлар! Олар қой терисин жамылып сизлерге келеди, бирақ ишлеринде олар жыртқыш қасқырлар. 
MAT.7.16	Сизлер оларды мийўесинен билесизлер. Шеңгелден жүзим ямаса ошағаннан әнжир жыйнай аласыз ба? 
MAT.7.17	Ҳәр бир жақсы терек жақсы мийўе береди, жаман терек жаман мийўе береди. 
MAT.7.18	Жақсы терек жаман мийўе, жаман терек жақсы мийўе бере алмайды. 
MAT.7.19	Жақсы мийўе бермейтуғын ҳәр бир терек шабылып, отқа тасланады. 
MAT.7.20	Солай етип, сизлер оларды мийўесинен билесизлер.
MAT.7.21	Маған: «Ийем! Ийем!» дегенниң ҳәр бири емес, тек аспандағы Әкемниң еркин орынлаўшы Аспан Патшалығына киреди. 
MAT.7.22	Заманның ақырғы күнинде көбиси Маған: «Ийем! Ийем! Бизлер Сениң атың менен пайғамбаршылық етип, Сениң атың менен жинлерди қуўып шығармадық па? Сениң атың менен көп кәраматлар ислемедик пе?» – дейди. 
MAT.7.23	Сонда Мен оларға: «Мен сизлерди ҳеш қашан таныған емеспен, Меннен аўлақ кетиңлер, ҳәй, нызамды бузыўшылар!» – деп ашық айтаман.
MAT.7.24	– Солай етип, Мениң усы сөзлеримди тыңлап, оларды орынлаўшылардың ҳәр бири өз үйин жар тас үстине салған ақыллы адамға уқсайды. 
MAT.7.25	Жаўын жаўып, дәрьялар тасып, самал есип, бул үйди соққылады, бирақ ол жар тас үстине салынғанлықтан қуламады. 
MAT.7.26	Ал Мениң усы сөзлеримди тыңлап, оларды орынламаўшылардың ҳәр бири өз үйин шеге қум үстине салған ақылсыз адамға уқсайды. 
MAT.7.27	Жаўын жаўып, дәрьялар тасып, самал есип, бул үйди суў басқанда, ол қулап, қатты қыйралды.
MAT.7.28	Ийса усы сөзлерди айтып болғанда, халық Оның тәлимине таң қалды. 
MAT.7.29	Себеби Ол диний муғаллимлер сыяқлы емес, ал Өз бийлиги менен адамларға тәлим берди.
MAT.8.1	Ийса таўдан түскенде, изине көп халық ерди. 
MAT.8.2	Сонда Оның қасына мақаў кесел адам келип, аяғына жығылды да:
