GEN.1.1	Yakapde hikngä Anätutä kepkät yekäpkät yawän yiwikin. 
GEN.2.5	naxu puyäne nanä kep däkäne dondopgin, inale Anätu Yawetä kep gomune hopä dolewän takut, tiwän äminu täpätu kep gomune doyiwike, puyä dowahakut. 
GEN.2.6	Tiwändeyä yanggä kewunetä akoxäwik, kep däkä tänguxawä kwikakut. 
GEN.2.7	Tiwänä Anätu Yawetä kewu päke, ämin
GEN.2.8	Tiwänä Anätu Yawetä gusitdä akonggak käwulune, Idenkätan puyä womdu pahakut. Tikengä äminu uläpä kwätälukulu une tewän yiwikut. 
GEN.2.9	Tixawän Anätu Yawetä pahawän, puyä ulängäne pa kepkätandä inäinäne meyä dopgin. Pa kayitä dayipä täkäningge äwä salinä alawä näningge yang pekut. Ile bänäkänkätanu pa däkäyalä. Däkätule salin nakengu käluk yiwitnangäsä, tiwän däkätule salin nakengu nomän bä wäyi yang natäpnangäsä pekut.
GEN.2.10	Puyä ulängäle yanggä imikge, yanggä dupitu Idenkätandä tewän sipgut. Yanggä undupinetäkän upuke, inäinä sipmäke kukinu unekänu 4. 
GEN.2.11	Yakap dupi umanä Pison. Undupi asipmäke, ku Hawilale kewune kunggak. Kewu uwomu golu käyä. 
GEN.2.12	Golu uwomune nanä nomän. Tiwän uwomune pa inuxu käpängä gwälam hikngä äwä huwu gwälam hikngä umanä oniks yang yänikayingu käyä. 
GEN.2.13	Yanggä käwutdu dupi umanä Gihon. Undupi asipmäke, ku Käs kep womune kunggaxunin. 
GEN.2.14	Yanggä käwutdu 3 dupi umanä Taigris, Asutde gusitdä akonggak käwut sipmänggaxunin. Tiwän 4 dupi umanä Yupretis.
GEN.2.15	Anätu Yawetä äminu uläpä puyä ulängä kang yiwikge une tekut. 
GEN.2.16	Teke wamu kitokngä hikngä täkngatu using inikut. “Gä pa salinu puyä alängäne nanä täkekän näyo. 
GEN.2.17	Tiwändeyä pa nomän bä wäyi yang natäpnangäsä däkätäne salinä manäyo, inale änakengu, täpduxu inä unggwenunekän kupiläk,” yang inikut.
GEN.2.18	Tikengä Anätu Yawetä “Äminu inäkän yiwänu nomänundo. Ge gatäkgatäkngäle notnä täpätu tahawit,” yake, 
GEN.2.19	kepdä kälawu kewune nanä äwä kwäwilu enetängä nanä pahakut yangu “Äminu uläpätä dayike umanä dasingga yäniwik?” yake, päkapgut. Tiwän itä dayike, umanä dasingga yänikulu, umanä unin. 
GEN.2.20	Äminu uläpätä kälap, kwäwit äwä hängäläpä ämindä daying yiwitnangäsä yangu umanä undä yänikut. Tike teyä gatäkgatäkngäle äläwambän malikut.
GEN.2.21	Ge Anätu Yawetä tahawän, äminu uläpä däpmunä kupsä hikngä pekut. Awexawänä, äminu uläpäle täkäpulä täpätu täkengä, hipdu gupnätä tahang umukut. 
GEN.2.22	Tikengä mängälä täpä äminu uläpäle täkäpulä täkutdä kwätälukut. Tikengä mängälä uläpä wäwi uläpätä käwikge täkapgut.
GEN.2.23	Täkapän kakuläkaxäwik using yakut. “Ile kwätänu näle kwätän, tiwän ile guwu näle gup. Äminu uläpä wäwile tängänetä kwätälukut. Ge umanä ‘mängälä,’”
GEN.2.24	Ge ile tiwän, wäwi nanämingä peke, mängätnäxät unekän gatäke yiwä, gupnä buläkänu däkngäkaying.
GEN.2.25	Wäwi uläpäxät mängätnäxälu belum yiwixäwik geyä, domäyäkakumäläk.
GEN.3.1	Anätu Yawetä hängä dakngä käyä pahakutkätanu, gomoxu äminu kem yänikäxäluwikge nomän hikngä. Ge mängälä täpä yawänyaxu using inikut. “Anätutä ‘Pa salinu puyä alängäne nanä manahol,’ yangu hiyäkände hikngä danikut?” yang inikut.
GEN.3.2	Iniwän mängälä täpätä using inikut. “Pa salinu alängäne nanä täke nahim. 
GEN.3.3	Tiwändeyä Anätutä using ninikut. ‘Pa puyä bänäkän nanä däkäle salinu manahol. Tike kätakgaxäyä malahol. Using tahakengu axumsimäläk,’ yang ninikut,” yang inikut.
GEN.3.4	Yawän gomokgä inikut. “Doxumsimäläk. 
GEN.3.5	Anätu using natäpgut. ‘Unin nakengu, kayi kakalä tining. Tiwän nina bimä däkngake, nomän bä wäyi yang natäpsimäläk,’ yang natäke usingu ile danikut,” yang inikut.
GEN.3.6	Mängälä täpätä pa undäkäle salinu kayitä dayipän, nomän tiwä, nänangäsä tikin. Tiwän unin napän, natädetdetnä käyä tiwikge natäpgut. Ge unin päke naxäwik, käwutdu ayäle imän nakut. 
GEN.3.7	Unin napät, natdetdetnä kakalawä, “Belum yiwixamäk,” yang natäpgumäläk. Tikengä pa “fixu” däkätule täm päke, gupnä wamäng umukumäläk.
GEN.3.8	Tukwatde kewu axwikaxawän, wäwi täpä äwä mängätnä yanggä natäxawälu, Anätu Yawe puyä tängäne apuhiwän kake, pa yäpuli däkändäkäxätan kohopikumäläk. 
GEN.3.9	Tiwändeyä Anätu Yawetä wäwi täpä using inikut. “Adam, gä sandan?” yawän, 
GEN.3.10	using yakut. “Puyäxätan apuhiwi kake, nä belum yiwitde änaxälake kohopinggat,” yakut.
GEN.3.11	Yawän Anätutä inikut. “Gä belum yangu imindä ganik? Pa salinu donapiläkge ganikumu imindä ganiwän naläk?” yawän, 
GEN.3.12	Adamdä “Mängälä näxätde tekuläxu aläpätä pa salinu notnä anamän nat,” yang inikut.
GEN.3.13	Tiwän Anätu Yawetä mängälä uläpä “Uläknga inale tahaläk?” yang iniwän, mängälätä “Gomokgä kem naniwän nat,” yakut.
GEN.3.14	Yawänä Anätu Yawetä gomoxu using inikut. “Uläknga tahaläkge, tokngä wam yäwa, gä gikakän tokngä däkä päpiläk. Tike kälawu äminsak äwä songäne nanä yangu tokngä dowäning. Gä täpduktäpduk yiwiläxu, kep däkäne muhipdatä pengwähake tihikuxawi, muluwu mapdaxätan kopning. 
GEN.3.15	Tiwän nätä pahawa, gäxät mängälä täpäxät iwaliwalnä däkngahimäläk. Tiwän gäle bapuka mängälä täpäle bapunä yangkäyä usäkän yiwitäke kuning. Tiwän ile bapunätä kuhitda yayiwä, gätä bälängäne yähawiläk,” yang inikut.
GEN.3.16	Inikengä mängälä täpä using inikut. “Engangga tängäkane kaya tiwänu, meyä däkä gamit. Tiwän tokngämbam päxäwik, engangu dukngiwiläk. Tike teyä apdale natänggämätawi, itä kuhitdale yiwik,” yang inikut.
GEN.3.17	Inikengä, wäwi uläpä using inikut. “Mängätdale wam gwälamike, pa salinu donapiläkge kitokngä ganikumu naläk. Ge gäle tiwän, tokngä wam yäwa, kep däkä maliwik. Ge täpduk täpduxu yiwiläxu, tokngämbam päxäwik, kep däkä yamäpuke, puyä pahawiläk. 
GEN.3.18	Tiwän unetäkänu kep däkäne songäsongä pälangänä käyä doke bupning. Tiwän kwätäl pahakengä, naxu puyäne nanä napiläk. 
GEN.3.19	Puyä mepgämän bulak pahawiyä, naxu alawä napiläk. Usinggän pahahika, hipduka kewune kuwiläk, inale gä unetä alakuläk. Gä kepdä kwätalukum. Ge hipduka kep däkäne kuwiläk,” yang inikut.
GEN.3.20	Adamdä mängätnä “Äminbamu käluk yiwitning täpäläpäle apekngä däkngawik,” yake, umanä Iv
GEN.3.21	Anätu Yawetä täwixu kälap gupdä Adamkät Ivkätde pahake yämikut. 
GEN.3.22	Tikengä using yakut. “Wäwi aläpä nihä bimä andäkngake, nomän bä wäyi yangu anatäxak. Ge pa käluk yiwitnangäsä däkätäne salinä nake, käluxu iwikge yiwiyäk” yake, 
GEN.3.23	puyä Idenkätanu ulängänetä täwakut. “Anätu Yawetä äminu uläpä kepdä kwätalukum. Ge äminu uläpä kewu undäkäne yamäpuke pahawik,” yake, 
GEN.3.24	täwambän epuxukut. Tiwän puyä ulängä gusitdä akonggak käwutkätan, ängela kerup yang yänikaying täpäläpäxät gwäwäyä täpätuxät pewän kang yiwikin. Keruwu uläpäläpä kitokngänä kayä. Tiwän gwäwäyä uläpäne, däki ayähakoxawä kungapgut. Anätutä unin pewän, itä pa käluk yiwitnangäsä däkäle kahilu kang yiwikin.
GEN.4.1	Adamu mängätnä Ivkät yiwikumäläk. Tiwän tängene käyä tiwänä, wawakngä täpätu dukngikut. Tikengä “Yawetä gatängamän, wäwi täpätu kake tät,” yake, umanä Ken
GEN.4.2	Tikengä yiwitäke kuhika, Kende ulawu, Abel, dukngikut. Uläpäyalu inulung täpäyat tike, Abelu sipsip daying yiwixawän, Kenu nak puyä pahakakut.
GEN.4.3	Gwendune Kendä naxu puyäne nanä päke, Yawele ofa tahakut. 
GEN.4.4	Tixawän Abelu sipsip mätexu yakap pekin gwengwenu ofale päkut. Tikengä sipsip mätexu sipmäke matäke, gwaxu nomängän tahakut, ofanän. Unin imän, Yawetä Abelkät ofanäxätde täke natäpgut. 
GEN.4.5	Tike Kenkät ofanäxätde mähe natäpgut. Ile tiwän Kenu tokngä hikngä natäpän, nomnä malikin.
GEN.4.6	Tiwän Yawetä Kenu using inikut. “Tokngä inale natäxaläk? Nomda inale malikaying? 
GEN.4.7	Nomän täknga tahawi gandupa, täke tiwik yangu donatäläk? Tike nomänu dolahawi, wäyi täknga angguwikge yämäkane yiwixak. Kuhitdale yiwikge natänggämatanggak. Tiwändeyä gäta yapmike, ile kuhiläle yiwike, wäyi täknga mawahayo,” yang inikut.
GEN.4.8	Tiwänä Kendä ulapnä iniwän, songäxätan kukumäläk. Täku une tänguwän kumgut.
GEN.4.9	Tiwänä Yawetä Kenu using inikut. “Ulapda Abelu sandan?” yang iniwän, Kendä using inikut. “Doxat. Inale naninggaläk? Nä ile kula tahanggalunin?” yang inikut.
GEN.4.10	Tiwän Yawetä using inikut. “Wäyi uläknga inale tahaläk? Natäpso. Ulapdale daxu kepkätandä kwänämu näle tikgak. 
GEN.4.11	Gätä notda tänguwi kupän, ile daxu kepkätan kuying. Ge tokngä wam yake, kewu awomunetä gäwämba kuwiläk. 
GEN.4.12	Ku kewune puyä pahawi, naxu doalätning. Tiwän gä yotda wenä tiwän, kep gomune täwake tihikuwiläk,” yang inikut.
GEN.4.13	Tiwän Kendä yakut. “Meyä namiläxu inulung hikngä. Nätä pänangäsändo. 
GEN.4.14	Kewu awomunetä gäle nomune doyiwitde anäwaxaläk. Yotna wenä tiwän, kep gomune tawake tihikuwa, imindäka nandukengu, anuwän kupit,” yang yakut.
GEN.4.15	Yawän Yawetä inikut. “Äminu täpätutä guwän kupi, meyä gäle gamilu ayapmike, meyä 7 inulung äminu uläpätä päpik,” yang inikut. Tikengä “Ämindä kake, tänguwä kumsäk,” yake, Kenu tuwäng tengämikut.
GEN.4.16	Tiwän Kenu Yawe äwä kewu Idenu uwom yang peke, gusitdä akonggak käwutkätan kewu womdu, umanä “Tihikuktihikuk” uwomune päku yiwikut.
GEN.4.17	Tikengä mängätnäxät yiwihika, mängätnä tängene käyä tiwän, wawakngä Enok dukngikut. Tiwän Kendä yolu gäpanggu tahake, unggäpangu Enok yang inikut. 
GEN.4.18	Tiwänä yiwitäke kuhika, Enokgä wawakngä Irat towimbänä, Iratdä Mehujael towimbänä, Mehujaeldä Metusael towimbänä, Metusaeldä Lamek towikut.
GEN.4.19	Tiwänä Lamexu mängätnä täpäyalä päkut. Täpätu umanä Ada, tiwän täpätu Sila. 
GEN.4.20	Ada Jabal dukngikut. Tiwänä Jabalde bapunä mahande alakindä selyot päku kewu womduwomdu tapike yiwixäwik, kälawu äminsak towikakin. 
GEN.4.21	Jabalde ulawu umanä Jubal. Tiwänä Jubalde bapunä mahande alakindä gita sipmäxäwik, pipip puyäkakin. 
GEN.4.22	Silaxäyä wawakngä dukngikut. Umanä Tubal-Ken. Itä hängä puyä pahanangäsä bä amäk pahanangäsa yangu ain äwä kapa yanggä pahakut. Tiwän haminäle umanu Nama.
GEN.4.23	Gwendune Lamekgä mängätnä using yänikut.
GEN.4.23	“Adaxät Silaxät, natäxasol.
GEN.4.23	Mängätna, wamu nätä yäwa, mäläk pähol.
GEN.4.23	Äminu täpätutä dak nuwänu, nätä äminu uläpä alänguwa kupik.
GEN.4.23	Tike wawakdäkä täpätutä nä nuwänu, ixäyä kupsäle tänguwit.
GEN.4.24	Äminu täpätutä Ken tängukengu, meyä 7 inulung päpik.
GEN.4.24	Tiwändeyä äminu täpätu nä nukengu, meyä Kendäne ayapmike, inulung hikngä 77 päpik,” yang yänikut.
GEN.4.25	Adamu mängätnäxät hipdu yiwikumäläk. Tiwänä mängätnätä wawakngä täpätu dukngike, “Kendä Abel tänguwän kumgutde, Anätutä engangu Abelde tangge namik,” yake, umanä Set
GEN.4.26	Tiwänä yiwitäke kuhika, Selu wawakngä towike, umanä Enos yang inikut. Täpduxu unggwenggwenkätanu ämindä tumuxu Yawele käluk yakin.
GEN.5.1	Wamu aläknga Adamde bapunä yiwitäkapgindäne temginunin. Anätutä ämin pahakengu, inä bimä pahakut. 
GEN.5.2	U pahakulu wäwi, mängälä yang pahake, bänip kwikwik yämikut. Tikenga umanä “ämin” yang yänikut.
GEN.5.3	Tiwän Adamu krismasnä 130 yiwikengä, wawakngä inä hikngä bimä towikut. Towikengä umanä Set yang inikut. 
GEN.5.4	Tikengä krismasu 800 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.5	Unekänu krismasnä 930 yiwike kumgut.
GEN.5.6	Tiwän Selu krismasnä 105 yiwikengä, Enosde nanä däkngakut. 
GEN.5.7	Tikengä krismasu 807 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.8	Unekänu krismasnä 912 yiwike kumgut.
GEN.5.9	Tiwän Enosu Krismasnä 90 yiwikengä, Kenande nanä däkngakut. 
GEN.5.10	Tikengä krismasu 815 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.11	Unekänu krismasnä 905 yiwike kumgut.
GEN.5.12	Tiwän Kenanu krismasnä 70 yiwikengä, Mahalalelde nanä däkngakut. 
GEN.5.13	Tikengä krismasu 840 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.14	Unekänu krismasnä 910 yiwike kumgut.
GEN.5.15	Tiwän Mahalalelu krismasnä 65 yiwikengä, Jaretde nanä däkngakut. 
GEN.5.16	Tikengä krismasu 830 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.17	Unekänu krismasnä 895 yiwike kumgut.
GEN.5.18	Tiwän Jarelu krismasnä 162 yiwikengä, Enokge nanä däkngakut. 
GEN.5.19	Tikengä krismasu 800 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.20	Unekänu krismasnä 962 yiwike kumgut.
GEN.5.21	Tiwän Enoxu krismansnä 65 yiwikengä, Metuselale nanä däkngakut. 
GEN.5.22	Tikengä Anätuxät gatäke yiwikumäläxu, krismasu 300 yiwikut. Yiwixäwixu, wawak yäpanä une towikut. 
GEN.5.23	Unekänu krismasnä 365 yiwikut. 
GEN.5.24	Tiwänä Anätuxät gatäke yiwike, Anätutä täkut. Tiwän doxakin.
GEN.5.25	Tiwän Metusela krismasnä 187 yiwikengä, Lamekge nanä däkngakut. 
GEN.5.26	Tikengä krismasu 782 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.27	Unekänu krismasnä 969 yiwike kumgut.
GEN.5.28	Tiwän Lamexu krismasnä 182 yiwikengä, wawakngä towikut. 
GEN.5.29	Dungikengä, using yakut. “Yawetä tokngä wam yake, kep tahawän malikutde, puyä kitokngä pahake, meyä päkamäng. Tiwändeyä mahande engangu aläpätä yiwitäkaxu äpme nimik,” yang yake umanä Noa
GEN.5.30	Tikengä krismasu 595 yiwixäwixu, wawak yäpanä towikut. 
GEN.5.31	Unekänu krismasnä 777 yiwike kumgut.
GEN.5.32	Tiwän Noa krismasnä 500 yiwikengä, Sem, Ham, Jafet yangge nanä däkngakut.
GEN.6.1	Äminu kewune yupsänggän sakngälaxäwik, yäpanä dukngikin. 
GEN.6.2	Tixawän Anätule wawak täpäläpätä äminde yäpa dayipä, gwälam hikngä tixawä, daying butaxäwik, mängätnäle päkin. 
GEN.6.3	Tiwän Yawetä using yakut. “Äminu kitokngänä wenä. Ge käluk iwikiwixu dowewa yiwitning, kewunen. Tike krismasu 120-kän yiwixäwik kumning,” yang yakut.
GEN.6.4	Tiwän täpduxu uwomkätan äwä mahande yiwikin yangu Anätule wawakgä äminde yäpa päpä, ixät yiwike, engangä dukngikinu äminu äyapmike, inulung hikngä täpäläpä täkake, kitokngänä käyä tikin. Tiwän umanä käyä tikin.
GEN.6.5	Tiwän Yawetä dayipänu, äminbamu yiwiyiwikngä kekem hikngä tiwän, bäniyäne wäyi pahaninggekän natänggämätakin. 
GEN.6.6	Tiwän äminu kewune pahakutde, meyä hikngä natäpgut. 
GEN.6.7	Natäke yakut. “Äminu pahakumde, meyä natäxat. Ge äminu undä pahawa hopining. Hängä kewune yiwixaying äwä awepmäke tihikukaying yangu awahawa hopining,” yang yakut. 
GEN.6.8	Tiwändeyä Noale bänip gwaläng natäpgut.
GEN.6.9	Noale wam. Noa äminomän täpä. Äminu kewu anggomune yiwikinkätanu Anätule kayine Noatäkän gutongänä wenä yiwikut, inale Anätuxät gatäke yiwikumäläk. 
GEN.6.10	Noale wawaxu täpäyalä täpätu. Umanä Sem, Ham, Jafet yang.
GEN.6.11	Anätule kayine äminbamu notnä sipmäxäwik, wäyi hikngä yiwixakin. 
GEN.6.12	Tiwän Anätutä dayipänu, kewune nanä äminu gutongä hikngä yiwikin. 
GEN.6.13	Tinggawän Anätutä Noa using inikut. “Äminbamu äminsipmäk täknga tahake yiwixaying. Ge hängä undä käluk yiwixayingu awahawa hopining. Hängä undä äwä kep gom yang pahawa hopining.
GEN.6.14	“Ge gä siwu gwendu pa nomän päke tahayo. Tikengä okopixätanu ämindä yiwitningge äwä kälapdä yiwitningge, inäinä matäke peyo. Tikengä yanggätä kopnäng yakengu, okopi käwut kepmän käwut yangu koltatä pahayo.
GEN.6.15	“Sip gwenu using tahayo. Belakngänä 140 mita, kwalangänä 23 mita, tiwän dämnä 13.5 mita tahayo. 
GEN.6.16	Tiwänä nomnäne gänangä mätekngä hap mita tewi kungapsok. Tiwän yolu gwenalä gwendu pahayo; yäpuline gwendu, bänäkänu gwendu, äwä nomnäne gwendu yang. Tikengä yämä däkä teyo.
GEN.6.17	“Nätä yanggä inulung tewa, kewu anggomu yiwikdoke pänguhiwik. Tiwän hängä kewune nanä käluk yiwixayingu undä pahawa hopining. Tiwän hängä undä käluk yiwixayingu axumning.
GEN.6.18	“Tiwändeyä nätä kontraknga gäle tahawa, sip gwenune kopiläk. Gä, wawakga, ile mängätnä, äwä gika mängät yang kopning. 
GEN.6.19	Gikaxät käluk yiwitningge, hängä haxalike tihikuke yiwixayingu ayä mängätnä yang päko peyo. 
GEN.6.20	Hängä kewune tihikukaying, awepmäke tihikukaying yangu ayä mängätnä yang gäle apning, käluk yiwitninggen. 
GEN.6.21	Ge naxu gika äwä hängä uläkwäk yanggä naningge, inäinäne peyo,” yang inikut.
GEN.6.22	Tiwän Noa Anätutä yakut using tawake pahakut.
GEN.7.1	Täpdukngätä apän, Yawetä Noa inikut. “Äminu ayiwixayingkätanu, nätä gandupa, äminomänu gäkän. Ge gin yänggwälu undä sip gwenkätan kopnong. 
GEN.7.2+GEN.7.3	Gwaxu nomänu
GEN.7.4	Anggwenunetä täpduxu 7 yiwikengä, hopä tewa, kwakäpäne kupiläne yang takuhixawän, ku täpduxu 40 apuxuwik. Tiwän hängäläpä kewu anggomune nina pekumu, undä pahawa hopining,” yang inikut. 
GEN.7.5	Tiwän Yawetä u yakut using tawake pahakut.
GEN.7.6	Noa krismasnä 600 yiwixawän, yanggätä kep gomu yiwikdoke pänguhikut. 
GEN.7.7	Noa, mängätnä, wawakngä, äwä wawakngäle mängät yang, “Yanggätä nihipsäk,” yake, sip gwenune kopgin. 
GEN.7.8	Gwaxu nomän, gwaxu nomänundo, äwä kwäwit yangu ayä mängätnä yang 
GEN.7.9	sip gwenune kopgin, Anätutä Noa inikut using. 
GEN.7.10	Täpduxu Anätutä yakut using 7 gwendä apän, yanggä une sipgin.
GEN.7.11	Noa krismasnä 600 tixawän, yekäwu 2 gwende täpduxu 17 gwenune kep gomu gänanggänangäkän tixawä, yanggä undandä akopgin. Tixawän yekäpde yämäxäyä wangga tixawä, 
GEN.7.12	hopä takuhixawän, ku täpduxu 40 apuxukut.
GEN.7.13	Inä täpduxu unggwenunekänu, Noa, mängätnä, wawakngä äwä wawakngä uläkwäkge mängät yang siwune kopgin. 
GEN.7.14	Tiwän hängä kewune alihikuke yiwixaying, awepmäke tihikukaying, inulung, mätekngä yang undä kopgin. 
GEN.7.15	Hängä undä mepme pexayingu gwenalänänäxäyä apä, sipkätan Noaxät using kopgin. 
GEN.7.16	Anätutä Noa inikut using, hängä undä u kopginu, mangätnä ayä yang kopgin. Tiwänä Yawetä yämä däkä tahakuhikut.
GEN.7.17	Tiwänä yanggä kepkätandä akoxawä, hopä alakuhixawän, täpduxu 40 apuxukut. Yanggätä yiwikdoke, sip gwenu enen hikngä tängenakut. 
GEN.7.18	Yanggätä inulung hikngä yiwitexäwik, sip gwenu täpän tayikut. 
GEN.7.19	Tiwän unetäkän yanggä inulung hikngä yiwitexäwik, täwalu belakngä däkändäkä undä pänguhikut. 
GEN.7.20	Pänguhike, täwalu 7 mita ko yapmikut.
GEN.7.21	Tikengä hängä kewune tihikukaying, kwäwit, hängä inulung, mätekngä äwä ämin yangu undä pänguhiwän kumgin. 
GEN.7.22	Hängä täpä mepme pexäwik, kep däkäne tihikuke yiwixayingu, undä hikngä kumgin. 
GEN.7.23	Tiwän hängäläpä kep däkäne nanä undä pahawän hopikin. Tike Noaxät siwune yiwikindäkän käluxu yiwikin.
GEN.7.24	Tiwän yanggä ayiwikut täkngane using yiwixawän, ku täpduxu 150 apgut.
GEN.8.1	Tixawän Anätutä Noa äwä hängäläpä ixät sipkätan yiwikinde natäke, kwämanu tewän puyäpän, yanggä teke pukukut. 
GEN.8.2	Tiwän kep gomu gänanggänangä tiwä, yanggä akopginu gwätnakin. Tixawän yekäpde yämäxayä wangga tikinu apu umumbä, hopä däkngakut. 
GEN.8.3	Yanggä wepdäwepdä teke pukuxawängän, täpduxu 150 apgut. 
GEN.8.4	Tiwän yekäwu 7 gwende täpduxu 17 gwenune siwu täku, täwalu Alalatkätanu däkätune yiwikut. 
GEN.8.5	Tixawän yanggä hipdu teke pukuxawän, yekäwu 10 gwende täpduxu 1 gwenune täwalde nomnä alanggämän tikin.
GEN.8.6	Ge täpduxu 40 apänä, Noa sipde windua sike, 
