GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
GEN.1.29	Мән силәргә пүтүн йәр йүзидики һәр хил зираәт вә мевиләрни озуқлуқ қилип бәрдим. 
GEN.1.30	Барлиқ чоң-кичик һайванатлар вә учар қанатлар қатарлиқ һәр хил мәхлуқларға болса, от-чөп вә көктатларни озуқлуқ қилип бәрдим». 
GEN.1.30	Худаниң әмри билән шундақ болди. 
GEN.1.31	Худа яратқанлириниң һәммисигә қарап, уларниң яхши екәнлигини көрди. Кечә-күндүз өтүп, бу алтинчи күн болди. 
GEN.2.2	Йәттинчи күни кәлгәндә, Худа яритиш ишини тамамлап болған болуп, у күни арам алди. 
GEN.2.3	У йәттинчи күнни бәхитлик күн қилип, уни «муқәддәс күн» дәп җакалиди, чүнки бу күн Худа яритишни тамамлап, арам алған күн еди. 
GEN.2.4+GEN.2.5	Пәрвәрдигар Худаниң аләмни яритиши җәриянида мундақ ишлар болди: Пәрвәрдигар Худа аләмни яратқанда, йәр йүзидә от-чөп вә зираәтләр йоқ еди, чүнки Худа техи ямғур яғдурмиған еди, шундақла йәргә терилғулуқ қилидиған адәмму йоқ еди. 
GEN.2.6	Амма йәрдин су чиқип, пүтүн зиминни суғарди. 
GEN.2.7	Андин Пәрвәрдигар Худа йәрниң тописидин Адәм 
GEN.2.8	Пәрвәрдигар Худа шәриқтики Ерәм дегән җайда бир бағ бәрпа қилип, Өзи яратқан адәмни у йәргә орунлаштурди. 
GEN.2.9	Пәрвәрдигар Худа у йәрдә йәнә мевилири шерин вә чирайлиқ һәр хил дәрәқләрни өстүрди. Бағниң оттурисида алаһидә икки түп дәрәқ бар еди. Бири «Һаятлиқ беридиған дәрәқ» болуп, йәнә бири «Яхши билән яманни билдүридиған дәрәқ» еди. 
GEN.2.10	Ерәм дегән йәрдин бир дәрия еқип келип, бағни суғиратти. Бағдин чиққан су төрткә бөлүнәтти. 
GEN.2.11	Биринчиси Пишон дәрияси болуп, алтун чиқидиған Һавилаһ дегән йәрни айлинип өтиду. 
GEN.2.12	У йәрниң алтуни сап, у йәрдин йәнә кам учрайдиған хуш пурақлиқ девирқай вә йоллуқ һеқиқ чиқиду. 
GEN.2.13	Иккинчиси Гиһон дәрияси болуп, Куш дегән йәрни айлинип өтиду. 
GEN.2.14	Үчинчиси Диҗлә дәрияси болуп, Ассурниң шәрқидин еқип өтиду. Төртинчиси Фират дәриясидур. 
GEN.2.15	Пәрвәрдигар Худа Адәм атини Ерәм баққа ишләп уни пәрвиш қилсун, дәп у йәргә қойған еди. 
GEN.2.16	Пәрвәрдигар Худа Адәм атиға әмир қилип: 
GEN.2.16	— Бағдики мевиләрни халиғиниңчә йә. 
GEN.2.17	Амма «Яхши билән яманни билдүридиған дәрәқниң» мевисини һәргиз йемә, чүнки уни йесәң, чоқум өлисән! 
GEN.2.18	Кейин Пәрвәрдигар Худа: «Адәмниң ялғуз яшиши яхши әмәс, униңға лайиқ болғидәк бир ярдәмчи һәмра яритай», деди. 
GEN.2.19	Буниң билән Пәрвәрдигар Худа йәрдики топидин яратқан һәр хил һайванат вә учар қанатларни Адәм атиниң алдиға уларға исим қойсун, дәп кәлтүрди. Адәм ата уларға қандақ исим қойса, шундақ атилип кәлди. 
GEN.2.20	Адәм ата барлиқ учар қанат вә һайванларға исим қойди. Һалбуки, уларниң арисида өзигә лайиқ болғидәк бирәр ярдәмчи һәмра йоқ еди. 
GEN.2.21	Шуңа Пәрвәрдигар Худа Адәм атини қаттиқ ухлитивәтти. У ухлаватқанда, Худа униң бир тал қовурғисини елип, у йәрни униң гөши билән йепип қойди. 
GEN.2.22	Пәрвәрдигар Худа алған қовурға сүйигидин бир аял ясап, уни Адәм атиниң алдиға елип кәлди. 
GEN.2.23	Адәм ата хошал һалда мундақ деди: 
GEN.2.23	— Мана әнди сүйиги мениң сүйигимдин, гөши мениң гөшүмдин елинған, маңа охшаш хилдики бири болди! У «аял» 
GEN.2.24	Бир адәмниң ата-анисидин айрилип, 
GEN.2.25	У чағда Адәм ата билән униң аялиниң һәр иккилиси ялиңач болуп, номус қилишматти. 
GEN.3.1	Илан Пәрвәрдигар Худа яратқан һайванларниң ичидә әң һели­гәри еди. У аялдин: 
GEN.3.1	— Худа бағдики һәр қандақ дәрәқниң мевисини йейишиңларни расттинла мәнъий қилдиму? — дәп сориди. 
GEN.3.2	Аял: 
GEN.3.2	— Бағдики дәрәқләрниң мевилирини йесәк болиду. 
GEN.3.3	Пәқәт бағниң оттурисидики дәрәқниң мевисини йесәк болмайду. Худа бизниң бу дәрәқниң мевисини йейишимизни, һәтта униңға қол тәккүзүшимиз­ниму мәнъий қилди. Әгәр бу ишни қилсақ, өлимиз,—дәп җавап бәрди. 
GEN.3.4	Илан аялға җававән мундақ деди: 
GEN.3.4	— Ялған! Һәргиз өлмәйсиләр! 
GEN.3.5	Худа силәрниң уни йесәңлар, көзүң­ларниң ечилип, Өзигә охшаш яхши билән яманни билидиған болуп қалидиғанлиғиңларни билиду. 
GEN.3.6	Аял бу дәрәқниң мевисиниң чирайлиқ вә шерин екәнлигини көрүп, уни йесә қанчилик әқиллиқ болуп кетидиғанлиғини ойлап, мевидин үзүп йеди вә уни йенида турған еригиму бәрди. Уму йеди. 
GEN.3.7	Улар мевини йейиши биләнла көзлири ечилип, өзлириниң ялиңачлиғини билип номус қилишти. Шуңа улар әнҗир йопурмақ­лирини бир-биригә четип, бәдәнлирини йепивелишти. 
GEN.3.8	Шу күнниң салқин чүшкән вақтида, улар Пәрвәрдигар Худаниң бағда меңип жүргән тивишини аңлап, дәрәқзарлиқниң арисиға йошурунувелишти. 
GEN.3.9	Лекин Пәрвәрдигар Худа Адәм атиға: 
GEN.3.9	— Сән қәйәрдә? — дәп вақириди. 
GEN.3.10	Адәм ата: 
GEN.3.10	— Мән Сениң бағда меңип жүргәнлигиңни аңлап, ялиңачлиғимдин номус қилип, Сениңдин қорқуп йошурунувалдим, — дәп җавап бәрди. 
GEN.3.11	Худа униңдин: 
GEN.3.11	— Ялиңачлиғиңни саңа ким ейтти? Яки Мән йемә дегән мевини йедиңму? — дәп сориди. 
GEN.3.12	Адәм ата: 
GEN.3.12	— Сән маңа һәмра болсун дәп бәргән аял у мевидин маңа бәргән еди. Шуниң үчүн йедим, — дәп җавап бәрди. 
GEN.3.13	Пәрвәрдигар Худа аялдин: 
GEN.3.13	— Немә үчүн шундақ қилдиң? — дәп сориди. 
GEN.3.13	— Мени илан аздурди, шуңа йедим, — дәп җавап бәрди аял. 
GEN.3.14	Шуниң билән Пәрвәрдигар Худа иланға: 
GEN.3.14	— Бу қилмишиң үчүн җазаға тартилисән! Барлиқ һайванатлар ичидә пәқәт сәнла мону ләнәтләргә қалисән: 
GEN.3.14	«Һазирдин башлап йәр беғирлап меңип, 
GEN.3.14	Өмүрвайәт топа йәйсән. 
GEN.3.15	Сени аял билән дүшмән қилимән. 
GEN.3.15	Униң әвлади билән сениң әвладиңму 
GEN.3.15	Дүшмәнлишип өтиду. 
GEN.3.15	Униң Әвлади сениң бешиңни йәнчийду, 
GEN.3.15	Сән Униң тапинини чақисән», деди. 
GEN.3.16	Кейин Пәрвәрдигар Худа аялға: 
GEN.3.16	— Һамилдарлиғиңниң азавини һәссиләп ашуримән. Туғутуңниң толғиғиниму көп қилимән. Шундақтиму ериңгә күчлүк иштияқ бағлайсән, у сени башқуриду, — деди. 
GEN.3.17	Пәрвәрдигар Худа Адәм атиға: 
GEN.3.17	— Аялиңниң сөзигә кирип, Мән йейишни мәнъий қилған мевини йегәнлигиң түпәйлидин, йәрму ләнитимгә учриди. Сән әнди өмүрвайәт җапалиқ ишләш биләнла озуқлинисән. 
GEN.3.18	Йәрдин тикән вә қамқақ үниду, сән болсаң йәрдики зираәтләрни йәйсән. 
GEN.3.19	Баш-көзүң тәргә чөмгәндила тойғидәк бир нәрсә йәләләйсән, таки өлүп топиға айлинип кәткичә иштин баш көтирәлмәйсән. Топидин яритилдиң, шуңа йәнә топиға қайтисән! — деди. 
GEN.3.20	Адәм ата аялиға Һава 
GEN.3.21	Пәрвәрдигар Худа Адәм ата билән униң аялиға һайван­ниң терисидин кийим қилип, кийдүрүп қойди. 
GEN.3.22	Андин Пәрвәрдигар Худа мундақ деди: 
GEN.3.22	— Адәм ата Бизгә охшаш яхши билән яманни билидиған болуп қалди. Әнди униң «Һаятлиқ беридиған дәрәқниң» мевисини йәп қоюшидин сақлинишимиз керәк. Болмиса, у мәңгү яшайду! 
GEN.3.23	Шуниң билән Пәрвәрдигар Худа уларни Ерәм бағдин қоғлап чиқирип, йәргә, йәни өзлири әсли яритилған топиға ишләйдиған қилип қойди. 
GEN.3.24	Андин Худа Адәм атини һаятлиқ беридиған дәрәққә йеқинлашмисун дәп, Ерәм бағниң шәриқ тәрипигә «керуб» дәп атилидиған мәхлуқларни вә биси от чечип, у ян бу ян қозғилип ялтирап туридиған бир қилични орунлаштурди. 
GEN.4.1	Адәм ата аяли Һава ана билән биллә болди. Һава ана һамилдар болуп, бир оғул туғди. У: «Пәрвәрдигарниң ярдими билән бир оғулға егә болдум», деди вә исмини Қабил 
GEN.4.2	Кейин у йәнә бир оғул туғуп, исмини Һабил қойди. Иккиси чоң болғандин кейин, Һабил падичи болди, Қабил болса дехан болди. 
GEN.4.3	Һосул мәзгили кәлгәндә, Қабил йәрниң мәһсулатидин елип Пәрвәрдигарға тәғдим қилди. 
GEN.4.4	Һабилму қой падиси ичидин тунҗа туғулған қозилардин союп, таза семиз йеридин Пәрвәрдигарға тәғдим қилди. Пәрвәрдигар Һабилни вә униң соғисини қобул қилди. 
GEN.4.5	Бирақ Қабилни вә униң соғисини қобул қилмиди. Буниңдин интайин хапа болған Қабилниң чирайи тутулуп кәтти. 
GEN.4.6	Шу чағда Пәрвәрдигар Қабилға: 
GEN.4.6	— Немишкә хапа болисән? Чирайиң немишкә тутулуп кәтти? 
GEN.4.7	Әгәр дурус иш қилған болсаң, сениму қобул қилған болаттим! Бирақ яманлиқ қилсаң, гуна худди ишик алдида етилмақчи болуп турған явайи иштқа охшаш сениң вуҗудуңни чирмавалиду. У сени өз илкигә алмақчи болсиму, лекин сән уни йеңишиң лазим! — деди. 
GEN.4.8	Кейин Қабил иниси Һабилға: 
GEN.4.8	— Җүр, далада сәйлә қилип келәйли! — деди. Улар даладики вақ­тида, Қабил инисиға қол селип, уни өлтүрүвәтти. 
GEN.4.9	Пәрвәрдигар Қабилдин: 
GEN.4.9	— Иниң Һабил қени? — дәп сориди. 
GEN.4.9	— Билмәймән, мән инимниң баққучисимидим? — дәп җавап бәрди у. 
GEN.4.10	Пәрвәрдигар кәйнидинла уни: 
GEN.4.10	— Бу немә қилғиниң? Иниңниң интиқам елиш үчүн дат-пәрият қиливатқан қени Маңа көрүнүп туриду. 
GEN.4.11	Сән әнди ләнәткә учрайсән. Буниңдин кейин бу йәрдә туралмайсән! Чүнки сән иниңни өлтүрдүң, йәргә қан төктүң. 
GEN.4.12	Сән йәргә ишлигән тәғдирдиму, йәр саңа һосул бәрмәйду. Сән әнди сәрсан болуп, йәр йүзидә сәргәрданлиқта жүрисән, — дәп әйиплиди. 
GEN.4.13	Буни аңлиған Қабил Пәрвәрдигарға мундақ деди: 
GEN.4.13	— Мән бундақ еғир җазани көтирәлмәймән. 
GEN.4.14	Сән мени бу йәрдин қоғлап, һозуруңдин һайдаватисән! Мән әнди өй-макансиз, сәрсан болуп, йәр йүзидә сәргәрданлиқта жүримән. Мени көргәнла киши өлтүрүветиду! 
GEN.4.15	Лекин Пәрвәрдигар: 
GEN.4.15	— Яқ, сени өлтүргән киши йәттә һәссә қаттиқ җазалиниду, —деди. 
GEN.4.15	Шуниң билән Пәрвәрдигар Қабилни өлтүрмәкчи болғанларни агаһландуруш үчүн, униң пешанисигә алаһидә бәлгү қоюп қойди. 
GEN.4.16	Буниң билән Қабил Пәрвәрдигарниң һозуридин чиқип, Ерәм бағниң шәриқ тәрипидики Нод дегән җайда олтирақлишип қалди. 
GEN.4.17	Қабил аяли билән биллә болди. Аяли һамилдар болуп, бир оғул туғди. Униң исмини Һанух қойди. Қабил бир шәһәр бена қилип, шәһәрни оғлиниң исмида атиди. 
GEN.4.18	Һанухтин Ирад төрәлди, Ирадтин Меһуяил төрәлди, Меһуяилдин Метушаил төрәлди, Метушаилдин Ламик төрәлди. 
GEN.4.19	Ламик икки хотун алди, бириниң исми Адә, йәнә бириниң исми Зиллә еди. 
GEN.4.20	Адә Ябални туғди. Ябал көчмән малчиларниң бовиси болди. 
GEN.4.21	Униң инисиниң исми Юбал еди. Юбал чилтар вә нәй чалғучиларниң бовиси болди. 
GEN.4.22	Зиллә Тубал-Қайин дегән бир оғулни туғди. Тубал-Қайин мис, төмүр җабдуқларни ясиғучиларниң бовиси болди. Тубал-Қайинниң Нәимә исимлиқ бир сиңлиси бар еди. 
GEN.4.23	Ламик икки аялиға по ейтип, мундақ деди: 
GEN.4.23	«Әй Адә билән Зиллә, сөзүмгә қулақ селиңлар! 
GEN.4.23	Әй аяллирим, көңүл қоюп аңлаңлар! 
GEN.4.23	Мени яридар қилған бир адәмни өлтүрдүм. 
GEN.4.23	Мени урған бир яшни өлтүрдүм. 
GEN.4.24	Қабилни өлтүргүчи йәттә һәссә җазаланса, 
GEN.4.24	Мени өлтүргүчи йәтмиш йәттә һәссә җазалиниду». 
GEN.4.25	Адәм ата йәнә өз аяли билән биллә болуш нәтиҗисидә аяли бир оғул туғди. Һава ана: «Худа маңа Қабил өлтүрүвәткән Һабилниң орниға бир оғул бәрди», — деди. Шуңа у исмини Сет 
GEN.4.26	Сет­тин бир оғул туғулуп, исми Енош қоюлди. Мана шу чағдин башлап, адәмләр Пәрвәрдигарға ибадәт қилишқа башлиди. 
GEN.5.1	Төвәндикиләр Адәм атиниң әвлатлиридур: 
GEN.5.1	Худа Адәмни Өзигә охшайдиған қилип яратти. 
GEN.5.2	Уларни әр вә аял қилип айрип, уларға бәхит ата қилди һәм уларни «адәм» дәп атиди. 
GEN.5.3	Адәм ата йүз оттуз йешида өзигә охшайдиған йәнә бир оғул пәрзәнт көрүп, униң исмини Сет қойди. 
GEN.5.4	Адәм ата Сетни тапқандин кейин, йәнә сәккиз йүз жил һаят кәчүрүп, йәнә көп оғул-қиз пәрзәнтләрни көрди. 
GEN.5.5	У тоққуз йүз оттуз йешида аләмдин өтти. 
GEN.5.6	Сет йүз бәш йешида бир оғул пәрзәнт көрүп, униң исмини Енош қойди. 
GEN.5.7	Кейин у йәнә сәккиз йүз йәттә жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.8	У тоққуз йүз он икки йешида аләмдин өтти. 
GEN.5.9	Енош тохсән йешида бир оғул пәрзәнт көрүп, униң исмини Қенан қойди. 
GEN.5.10	Кейин у йәнә сәккиз йүз он бәш жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.11	У тоққуз йүз бәш йешида аләмдин өтти. 
GEN.5.12	Қенан йәтмиш йешида бир оғул пәрзәнт көрүп, униң исмини Маһалалил қойди. 
GEN.5.13	Кейин у йәнә сәккиз йүз қириқ жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.14	У тоққуз йүз он йешида аләмдин өтти. 
GEN.5.15	Маһалалил атмиш бәш йешида бир оғул пәрзәнт көрүп, униң исмини Ярет қойди. 
GEN.5.16	Кейин у йәнә сәккиз йүз оттуз жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.17	У сәккиз йүз тохсән бәш йешида аләмдин өтти. 
GEN.5.18	Ярет бир йүз атмиш икки йешида бир оғул пәрзәнт көрүп, униң исмини Һанух қойди. 
GEN.5.19	Кейин у йәнә сәккиз йүз жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.20	У тоққуз йүз атмиш икки йешида аләмдин өтти. 
GEN.5.21	Һанух атмиш бәш йешида бир оғул пәрзәнт көрүп, униң исмини Мәтушәлаһ қойди. 
GEN.5.22	Шуниңдин кейин Һанух үч йүз жил җәриянида Худа билән йеқин яшиди. У йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.23	У йәр йүзидә җәми үч йүз атмиш бәш жил яшап, 
GEN.5.24	пүтүн һаятини Худа билән йеқин өткүзүп, бир күни көздин ғайип болди. Чүнки Худа уни Өз йениға елип кәткән еди. 
GEN.5.25	Мәтушәлаһ бир йүз сәксән йәттә йешида бир оғул пәрзәнт көрди. Униң исмини Ламик қойди. 
GEN.5.26	Кейин у йәнә йәттә йүз сәксән икки жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.27	У тоққуз йүз атмиш тоққуз йешида аләмдин өтти. 
GEN.5.28+GEN.5.29	Ламик бир йүз сәксән икки йешида бир оғул пәрзәнт көрүп, униң исмини Нуһ 
GEN.5.30	Нуһни тапқандин кейин, Ламик йәнә бәш йүз тохсән бәш жил һаят кәчүрүп, йәнә оғул-қиз пәрзәнтләрни көрди. 
GEN.5.31	У йәттә йүз йәтмиш йәттә йешида аләмдин өтти. 
GEN.5.32	Нуһ бәш йүз яшқа киргәндин кейин, Сам, Һам, Япәт исимлиқ үч оғул пәрзәнт көрди. 
GEN.6.1	Инсанлар дунияда көпийишкә башлиғанда, қизларму көп­ләп туғулған еди. 
GEN.6.2	«Худаниң оғуллири» 
GEN.6.3	Буни көргән Пәрвәрдигар: 
GEN.6.3	— Мән инсанларға бәргән һаятлиқ роһи уларда мәңгү яшимайду, чүнки улар өлүшкә тегишлик. Кәлгүсидә уларниң өмри бир йүз жигирмә яштин ашмисун! — деди. 
GEN.6.4	«Худаниң оғуллири» инсанларниң қизлири билән биллә болуп, әвлат тапқан чағда вә кейинки вақитларда йәр йүзидә «Нефилим» дәп атилидиған, девигә охшайдиған адәмләрму бар еди. Улар қедимки заманниң батурлири вә даңлиқ кишилири еди. 
GEN.6.5	Пәрвәрдигар инсанларниң бузулғанлиғини, нийитиниң һәр қачан яманлиғини көрүп, 
GEN.6.6	Өзиниң адәмни яратқанлиғиға пушайман қилди. У интайин ечинған һалда: 
GEN.6.7	— Мән яратқан инсанларни йәр йүзидин йоқитимән. Шундақла барлиқ чоң-кичик һайванатлар вә учар қанатларниму йоқ қилимән. Уларни яратқанлиғим үчүн әпсуслинимән! — деди. 
GEN.6.8	Лекин Пәрвәрдигар Нуһтин хурсән еди. 
GEN.6.9+GEN.6.10	Нуһниң иш-излири төвәндикичә: Нуһниң Сам, Һам, Япәт исимлиқ үч оғли бар еди. Нуһ өз заманида бирдин-бир дурус, камчилиқсиз адәм болуп, Худаға йеқин яшиған еди. 
GEN.6.11	Башқа инсанлар болса, Худаниң нәзәридә гунаға патқан болуп, йәр йүзи улар сәвәвидин зораванлиққа толған еди. 
GEN.6.12	Худа дунияға нәзәр селип, кишиләрниң қилмишлириниң яманлиғидин дунияниң интайин бузулғанлиғини көрди. 
GEN.6.13	Шуниң билән Худа Нуһқа: 
GEN.6.13	— Дуния инсанларниң зораванлиғиға толуп кәтти. Шуңа Мән уларни йоқитимән! Дуния билән қошуп пүтүнләй йоқитимән! 
GEN.6.14	Сән яхши мом яғачтин өзәңгә бир кемә яса. Ясиған кеминиң ичидә өйләр болсун. Су кирмәслиги үчүн ичи-сиртини момла. 
GEN.6.15	Кеминиң узунлуғи бир йүз оттуз үч метр, кәңлиги жигирмә икки метр, егизлиги он үч метр болсун. 
GEN.6.16	Кеминиң әң үстидә ләмпә болсун, ләмпә билән яғач там арилиғида әллик сантиметр егизликтә бошлуқ қалдур. Кемини жуқури, оттура вә төвән үч қәвәт қилғин. Кеминиң ишигини йениға ачқин. 
GEN.6.17	Мән йәр йүзини топан билән ғәриқ қилип, асман астидики пүткүл җанлиқларни йоқитимән. Йәр йүзидики тиниғи бар мәхлуқларниң һәммисини йоқитимән, 
GEN.6.18	лекин сән билән алдин-ала бир келишим түзәй. Сән аялиң, оғуллириң вә келинлириңни елип кемигә кир. 
GEN.6.19	Сән йәнә кемигә йәр йүзидики һәр хил һайванларниң һәр бир түриниң әркәк-чишисидин бир җүптин елип, уларни сақлап қал. 
GEN.6.20	Һәр хил чоң-кичик һайванатлар вә учар қанатлар сақлинип қелиш үчүн, сениң алдиңға бир җүптин келиду. Сән уларни кемигә киргүзгин. 
GEN.6.21	Өзәңлар вә һайванатлар үчүн һәр хил озуқ-түлүкләрни еливал, — деди. 
GEN.6.22	Нуһ һәр бир ишни Худа буйруғандәк қилди. 
GEN.7.1	Пәрвәрдигар Нуһқа: 
GEN.7.1	— Бу дуниядики кишиләр арисида сениң бирдин-бир дурус киши екәнлигиңни байқидим. Шуңа сән пүтүн аиләңдикиләрни елип кемигә киргин. 
GEN.7.2	Мән «һалал» дәп бәкиткән һайванатларниң һәр хилиниң әркәк-чишисидин йәттә җүптин, «һарамлириниң» һәр хилиниң әркәк-чишисидин бир җүптин еливал. 
GEN.7.3	Учар қанатларниң һәр хилиниң әркәк-чишисидинму йәттә җүптин еливал. Шундақ болғанда, топан ахирлашқандин кейин, һәр хил һайванат, учар қанатлар һаят қелип, йәр йүзидә уларниң уруғи қайта көпийәләйду. 
GEN.7.4	Өзәм яратқан пүткүл җанлиқларни йәр йүзидин пүтүнләй йоқитиш үчүн, йәттә күндин кейин, уда қириқ кечә-күндүз қаттиқ ямғур яғдуримән, — деди. 
GEN.7.5	Нуһ Пәрвәрдигарниң буйруқлирини бир-бирләп иҗра қилди. 
GEN.7.6	Топан йәр йүзини басқанда, Нуһ алтә йүз яшта еди. 
GEN.7.7	У топан апитидин қутулуп қелиш үчүн, аяли, оғуллири вә келинлирини елип кемигә кирди. 
GEN.7.8+GEN.7.9	«Һалал» вә «һарам» дәп бәкитилгән һәр хил чоң-кичик һайванатлар вә учар қанатларму Худаниң Нуһқа ейтқинидәк Нуһниң алдиға келип, җүплири билән кемигә кирди. 
GEN.7.10	Йәттә күндин кейин йәр йүзини топан бесишқа башлиди. 
GEN.7.11	Нуһ алтә йүз яшқа киргән жили иккинчи айниң он йәттинчи күни йәр астидики һәммә булақлар йерилип, асмандин челәкләп қуйғандәк қаттиқ ямғур яғди. 
GEN.7.12	Ямғур қириқ кечә-күндүз тохтимай давамлашти. 
GEN.7.13	Дәл ямғур башланған күни Нуһ, аяли, Сам, Һам, Япәттин ибарәт үч оғли вә келинлири кемигә кирди. 
GEN.7.14	Һәр хил явайи һайванатларниң чоң-кичиклири, өй һайванлири вә учар қанатлар, 
GEN.7.15	җүмлидин, тиниғи бар пүткүл мәхлуқлар өз җүплири билән Нуһниң алдиға бир җүптин келип, кемигә кирди. 
GEN.7.16	Һаят кәчүрүватқан барлиқ җанлиқлар Худаниң әмри бойичә өз җүплири билән кемигә киргәндин кейин, Пәрвәрдигар кеминиң ишигини тақап қойди. 
GEN.7.17	Ямғур қириқ күн давамлашти. Топан улғайғансири кемә йәрдин көтирилди. 
GEN.7.18	Су техиму егизләп, кемә су йүзидә ләйләп қалди. 
GEN.7.19	Топан йәр йүзини қаплап, һәтта егиз тағ чоққилириму көрүнмәй қалди. 
GEN.7.20	Су өрләп таки әң егиз тағ чоққилиридин йәттә метр егизләп кәткичә давамлашти. 
