GEN.1.1	Wattunna napahandu' Puang Allataala umpadadi langi' anna lino, 
GEN.2.22	Indo usu' naala illaam mai kalena Adam natampa mesa baine, anna mane nababaam lako olona Adam.
GEN.2.23	Iya nauam Adam:
GEN.2.23	“Mane inde hi pole' to kusihatangam, aka bukungku napobuku anna baleku napobale.
GEN.2.23	Anna la disangai baine aka diala illaam mai kalena muane.” 
GEN.2.24	Iam too anna lako mesa muane la umpellei indona sola ambena anna sialai mesa baine, nasuhum duai la mendadi mesa illaam ingganna-ingganna sia.
GEN.2.25	Wattu eta too indo muane sola bainena bassim ma'kambelä, sapo' tä' masihi'.
GEN.3.1	Ingganna olo'-olo' malaiha napadadi Puang Allataala DEBATAnta yabo galantangam ula'um handam manahhu' mantipu. Indo ula' mekutana lako indo baine naua: “Tappa' si'da haka nalahangkoa' Puang Allataala muande ingganna bua kaju illaam inde bela?”
GEN.3.2	Natimba'im indo baine naua: “Ingganna bua kaju illaam inde bela' mala asam kiande, 
GEN.3.3	sulibanna indo bua kaju illaam inde tängäna bela' aka naua Puang Allataala: ‘Tä' si'da-si'da mala uhhaka' dapaka ia la muande buana, aka maka' muande la matekoa'.’ ”
GEN.3.4	Iya nauam indo ula': “Setonganna tä'koa' la mate. 
GEN.3.5	Sapo' ia hi tia anna nauai Puang Allataala, aka maka' muandea', la tibukka pikkihammua' anna la susikoa' Puang Allataala la muissam usse'la kamapiaam anna kakadakeam.”
GEN.3.6	Tappana naita indo baine bua kaju ia too tä' si'da deem pada samapia, la mammi' diande, anna la umpatibukka pikkiham, iya naponge' siaham indo bua kaju dipelahangam anna naandei. Puhai naande, iya nabeemmi duka' muanena naande. 
GEN.3.7	Puhanna naande tappa tibukka siaham pikkihanna anna naissammi pole' naua: “Ma'kambelä haki' kita päläe'!” Iya mualam daunna kaju ara anna napasiampim-ampinni nasapu'iam kalena.
GEN.3.8	Tappana kahubenni uhhingngim pehhondona Puang Allataala DEBATAnta ma'lao-lao illaam indo bela'. Iya bassim le'ba'um tama alla' kaju illaam indo bela' umpembuniam Puang Allataala. 
GEN.3.9	Sapo' natambai Puang Allataala DEBATAnta indo muane naua: “O Adam, umbako ngei?”
GEN.3.10	Natimba'im Adam naua: “Kuhingnginna pentekkamu illaam inde bela', iya le'ba' siahamä' membuni mahea' aka kuissammi kuua ma'kambelä hä' kao päläe'.”
GEN.3.11	Iya ma'kadam Puang Allataala naua: “Menna umpaissanniko anna muissanni muua: ‘Ma'kambelää'?’ Muande haka iko indo bua kaju kupelahangam la diande?”
GEN.3.12	Natimba'im Adam naua: “Indo baine umpadioannä' ampe'ku, iam too umbeennä' indo bua kaju anna kuandei.”
GEN.3.13	Iya mekutanam Puang Allataala DEBATAnta lako indo baine naua: “Akanna umpateenni?” Mentimba'um indo baine naua: “Aka natipuä' indo ula' nasuhum kuande indo bua kaju.”
GEN.3.14	Iya ma'kadam Puang Allataala DEBATAnta lako indo ula' naua:
GEN.3.14	“Ingganna olo'-olo' manahanna anna malaihanna illaam inde lino anggam iko la ditädo. Dadi la tissollo'ko dio litä' tiasa dadammu anna la sobä' kinandemu sule lako matemu, aka taia gau' umpogau'.
GEN.3.15	Dadi mengkalao iko solakoa' inde baine la kupasipobali sule lako pessubummua'. La untikkuko kambutu'na pessubunna, anna pessubunna la nahäppu-häppusangko iko ulummu.”
GEN.3.16	Mane nauai lako indo baine:
GEN.3.16	“La masussa si'da-si'dako iko ke kebättäko anna la ussi'dingko kamapi'disam kasalle ke keänä'ko. Sapo' moinna anna susi la tontä liu kende' kamohäeammu lako muanemu anna la napahe'ko muanemu.”
GEN.3.17	Anna mane ma'kada lako indo muane naua: “Aka umpehingngii puha hako iko bainemu anna la Kao, nasuhum muandeko indo bua kaju kupelahangam.
GEN.3.17	Dadi la kutädo litä' aka natumä gau'mu, nasuhum la to'do appu' mahihimmu mengkähä mane deenni muande, sule lako matemu.
GEN.3.18	Litä' la umpakende' ingganna humpu' keduhi. Anna ingganna humpu' tubo lako pädä la umpokinande.
GEN.3.19	La ullämmä'ko meangga sikummu mengkähä mane deenni muande, lambi' ma'pasuleko sule dokko litä', aka eta muongei buttu. Aka litä'ko ditampa, iya la dadi litä'ko sule.”
GEN.3.20	Adam ussangai bainena Hawa aka la mendadi indona ma'hupatau. 
GEN.3.21	Iya napapiaammi Puang Allataala DEBATAnta poheba lollo' olo'-olo' anna napapohebaianni Adam sola bainena. 
GEN.3.22	Ma'kadam Puang Allataala DEBATAnta naua: “Inde hupatau susingkia' naissammi pole' usse'la kamapiaam anna kakadakeam. Dadi temo pahallu la dijagai indana naalai duka' indo bua kaju mepatubo. Aka maka' mala naande, iya la tubo liu sule lako salako-lakona.” 
GEN.3.23	Nasuhum nasua lao Puang Allataala DEBATAnta indo hupatau umpellei bela' Eden anna ungkähäi indo litä' naongei buttu. 
GEN.3.24	Puhai nasua lao Puang Allataala indo hupatau, iya ussuam sanaka-naka kerub tohho dio indo ba'bana bela' Eden, tandai mata allo, sola pa'dam ma'nala-nala tiputa' lelem lao pali'. Muampai indo lalam lako too' kaju mepatubo.
GEN.4.1	Iya solam metindo Adam anna Hawa bainena lambi' kebättä Hawa sampe undadiam mesa muane. Iya ma'kadam Hawa naua: “Pa'kamasenam too DEBATA nasuhum malaä' undadiam mesa muane.” Iam too anna nasangaim Kain. 
GEN.4.2	Mane undadiam polei mesa muane, nasangai ia Habel. Tappana kasalle indo dua änä'na, iya si ma'kambi' ia Habel anna si mengkähä litä' ia Kain.
GEN.4.3	Pissam wattu muala sabaheam bua pengkähäna indo Kain, anna napehumalasanni längäm DEBATA. 
GEN.4.4	Naala duka' Habel sanaka-naka uhu änä'na dombana, natunu, anna naala asanni lompona napehumalasam. Lambi' tä' deem pada sanapohäe DEBATA Habel sola bua pemala'na. 
GEN.4.5	Sapo' Kain ia sola bua pemala'na tä' napohäe DEBATA. Tä' deem pada sameali-ali Kain anna hosso penabanna.
GEN.4.6	Iya ma'kadam DEBATA lako Kain naua: “Akanna keaha'ko anna umpahosso penabammu? 
GEN.4.7	Aka indo kela ma'gau' mapiako la ussi'dim dako tia duka' kakassiam. Sapo' maka' tä'ko ma'gau' mapia, dosa sihhapam to mantoho' natoho'ungko la napentamai. Sapo' pahallu la umpentaloi.”
GEN.4.8	Iya ma'kadam Kain lako adinna naua: “Habel, talao lako bela'.” Sulei lako bela'na, tappa uhhopäi Habel adinna napatei.
GEN.4.9	Iya ma'kadam DEBATA lako Kain naua: “Umba ngei Habel adimmu?” Natimba' Kain naua: “Tä' kuissam. Aka kao haka too kao si unjagai?”
GEN.4.10	Iya ma'kada pole oom DEBATA naua: “Akanna umpogau'ko kakadakeam? Indo hahana adimmu sihhapam kamaha napengkaalaiä' dio mai naua: ‘Napateiä'.’ 
GEN.4.11	Dadi temo kutädoko, tä'ungko la mala ungkähä litä', aka naongei titollo hahana adimmu indo anna umpatei. 
GEN.4.12	Aka moiko la mantanam tä' siam la kembua. Dadi la laoko kalao-lao bäbä ussambai lino ma'dassi tahampo.”
GEN.4.13	Natimba' Kain naua: “O DEBATA moi kela daa itim pesämbä'mu tama kaleku tä' punala la kubela kupendudum. 
GEN.4.14	Aka ussuamä' lao umpellei inde ongeam anna tä'ungki' deem la siita. Aka la kalao-lao bäbämä' ussambai lino, anna la napateimä' too tau ke deenni kusitammuam.”
GEN.4.15	Nauam DEBATA: “Tää'! Maka' deengko la umpatei, la dipabala'i pempitu tiluppi'.” Iya napapiaammi DEBATA tanda dio kalena anna mala tä' la napatei tau ke deenni nasitammuam. 
GEN.4.16	Iya le'ba'um Kain umpellei DEBATA lu dekke tandai mata allona Eden anna tohhoi dio Nod. 
GEN.4.17	Iya solam metindo Kain anna bainena, lambi' kebättä bainena sampe undadiam mesa muane nasangai Henokh. Pissananna umpapiam mesa kota anna nasangai Henokh napasikona änä'na. 
GEN.4.18	Indo Henokh undadiam Irad, Irad undadiam Mehuyael, Mehuyael undadiam Metusael, Metusael undadiam Lamekh.
GEN.4.19	Indo Lamekh baju'. Isanga Ada mesa bainena, anna isanga Zila mesa. 
GEN.4.20	Ada ia ungkeänäsam Yabal. Yabal-um too handam yolo umpatubo olo'-olo' anna si ma'pentieli'-eli'i mebahum. 
GEN.4.21	Adinna Yabal isanga Yubal. Yubal-um too handam yolo ma'katapi anna ma'sulim. 
GEN.4.22	Zila ia ungkeänäsam Tubal-Kain. Iam too handam yolo mendadi pande gällä anna bassi. Deempi adinna Tubal-Kain baine isanga ia Naama.
GEN.4.23	Pissam wattu ma'kada Lamekh lako indo dua bainena naua:
GEN.4.23	“O Ada solakoa' Zila, patananniia' talinga inde tula'ku: Puhaä' umpatei mesa änä' muane aka nabasaiä'; umpaletta' sungnga'ä' mesa to mangnguha aka sukka'-sukka' kaleku nahabi'.
GEN.4.24	Maka' deem la umpatei Kain, la dipabala'i ia pempitu tiluppi', sapo' maka' kao deem tau la umpateiä' la dipabala'i ia pempitu pulona anna pitu tiluppi'.”
GEN.4.25	Iya sola oom metindo Adam anna Hawa lambi' undadiam pole oom mesa muane. Iya nasangaim ia Set, aka naua Hawa: “Nabala'iannä' Puang Allataala indo kakanna isanga Habel aka puha napatei Kain.” 
GEN.4.26	Indo Set undadiam mesa muane isanga Enos.
GEN.4.26	Wattu etam too anna napahandu'i hupatau umpenombai DEBATA.
GEN.5.1+GEN.5.2	Wattunna anna untampai hupatau Puang Allataala, natampa susi kalena. Napapia dua hupa: muane anna baine. Puhai natampa, natamba'um anna nasangai “Hupatau”.
GEN.5.1+GEN.5.2	Iya indem pessubunna Adam:
GEN.5.3	Tappana sahatu' tallu puloi taunna dadinna Adam, iya undadiammi mesa muane nasangai Set. Indo Set bangom kaju ambena. 
GEN.5.4	Puhai undadiam Set, tubopi kahua hatu' taunna Adam anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.5	Ia ham mane matei kaseha hatu' tallu pulo taunna.
GEN.5.6	Tappana sahatu' limai taunna dadinna Set, undadiammi mesa muane nasangai Enos. 
GEN.5.7	Puhai undadiam Enos, tubopi kahua hatu' pitu taunna Set anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.8	Ia ham mane matei kaseha hatu' sapulo dua taunna.
GEN.5.9	Tappana kaseha puloi taunna dadinna Enos, undadiammi mesa muane, nasangai Kenan. 
GEN.5.10	Puhai undadiam Kenan, tubopi kahua hatu' sapulo lima taunna Enos anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.11	Ia ham mane matei kaseha hatu' lima taunna.
GEN.5.12	Tappana pitu puloi taunna dadinna Kenan, undadiammi mesa muane, nasangai Mahalaleel. 
GEN.5.13	Puhai undadiam Mahalaleel, tubopi kahua hatu' appa' pulo taunna Kenan anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.14	Ia ham mane matei, tappana kaseha hatu' sapulo taunna.
GEN.5.15	Tappana annam pulo limai taunna dadinna Mahalaleel, undadiammi mesa muane, nasangai Yared. 
GEN.5.16	Puhai undadiam Yared, tubopi kahua hatu' tallu pulo taunna Mahalaleel anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.17	Ia ham mane matei kahua hatu' kaseha pulo lima taunna.
GEN.5.18	Tappana sahatu' annam pulo dua taunna dadinna Yared, undadiammi mesa muane nasangai Henokh. 
GEN.5.19	Puhai undadiam Henokh tubopi kahua hatu' taunna Yared anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.20	Ia ham mane matei kaseha hatu' annam pulo dua taunna.
GEN.5.21	Tappana annam pulo lima taunna dadinna Henokh, undadiammi mesa muane nasangai Metusalah. 
GEN.5.22	Puhai undadiam Metusalah, tubopi tallu hatu' taunna Henokh silombum Puang Allataala anna natuhu'i pa'elo'na. Anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.23+GEN.5.24	Dadi tallu hatu' annam pulo taunna naolaam tubo Henokh silombum liu Puang Allataala mane tä'i deem diita pole aka naäkä'um Puang Allataala längäm suhuga.
GEN.5.25	Tappana sahatu' kahua pulo pitu taunna dadinna Metusalah, undadiammi mesa muane nasangai Lamekh. 
GEN.5.26	Puhai undadiam Lamekh, tubopi pitu hatu' kahua pulo dua taunna Metusalah anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.27	Ia ham mane matei kaseha hatu' annam pulo kaseha taunna.
GEN.5.28	Tappana sahatu' kahua pulo dua taunna dadinna Lamekh, undadiammi mesa muane 
GEN.5.29	nasangai Nuh aka naua: “Inde änä' la mebabaam pepakahangaam illaam pengkähänganta indo taongei madahha muasai pala'ta ungkähä inde litä' puha natädo DEBATA.” 
GEN.5.30	Puhai undadiam Nuh, tubopi lima hatu' kaseha pulo lima taunna Lamekh anna undadiam polepi sanaka-naka änä', muane anna baine. 
GEN.5.31	Ia ham mane matei pitu hatu' pitu pulo pitu taunna.
GEN.5.32	Tappana lima hatu' taunna dadinna Nuh, undadiammi tallu muane anna nasangai Sem, Ham, anna Yafet.
GEN.6.1	Tappana tuttuam membea' hupatau lako lino anna buda baine nadadiam, 
GEN.6.2	iya budam änä'-änä'na Puang Allataala muita indo änä' daha sikapi'däsam nasuhum napobaine bäbä ia siam anna ia napohäe. 
GEN.6.3	Pissananna ma'kadam DEBATA naua: “Tä'um la si masäe kupatohho Penabangku illaam kalena hupatau aka taia to la da'da liu. Sapo' handam masäenam ke sahatu' dua puloi taunna kupatubo.”
GEN.6.4	Tappana sola metindo indo änä'-änä'na Puang Allataala anna änä' daha to lino, iya kebättäm lambi' napadadiam änä'. Indo änä'na mendadi to kuasa yolona anna buda pa'pogausanna molele-lele. Etam too napahandu' anna deenni tau tonggo illaam inde lino.
GEN.6.5	Tappana naita DEBATA tuttuam kadäkke' gau'na hupatau lako lino anna ingganna pattuju penabanna kadake liu, 
GEN.6.6	iya menassammi DEBATA anna mapi'di' penabanna aka puham untampa hupatau illaam inde lino. 
GEN.6.7	Iam too anna nauam: “La kutallanni asam ingganna indo puha kupadadi inde lino susi hupatau susi olo'-olo' manahanna anna malaihanna sola olo'-olo' tissollo'na anna ingganna dassi yabo lawwa, aka menassannä' kela tä' oha kupadadi.” 
GEN.6.8	Sapo' tä' ia la ditallanni Nuh aka angga ham ia umpomasannam penabanna DEBATA.
GEN.6.9+GEN.6.10	Indem ia tulasanna Nuh:
GEN.6.9+GEN.6.10	Deem tallu änä'na Nuh isanga Sem, Ham, anna Yafet. Indo Nuh mesa to malolo gau' anna anggam ia tä' deem sassainna illaam lino indo wattu eta too. Aka Nuh ia silombum liu Puang Allataala anna natuhu'i pa'elo'na. 
GEN.6.11	Sapo' ingganna hupatau senga' ma'gau' kadake asam dio olona Puang Allataala, anna ingganna tau illaam inde lino anggam sikalla-kalla tä' deem untauam padanna. 
GEN.6.12	Tappana naita Puang Allataala angga ham kakadakeam dadi illaam inde lino, aka angga hanni umpoelo' elo'na ingganna hupatau, 
GEN.6.13	iya ma'kadam lako Nuh naua: “Puham kukattu la kuhopui ingganna hupatau sola olo'-olo' illaam inde lino. Anna la kutallanni inde lino aka angga ham ma'gau' kadake ingganna hupatau. 
GEN.6.14	Dadi papiai mesa kappala' le'bo' la muongei. La kaju gofir umpake anna la ma'sapa'-sapa' illaam hoäna. Anna la ullapi' panti' hindinna, sulibanna anna illaanna. 
GEN.6.15	Indo kappala' la umpapia la susi indee: tallu hatu' singkum kalandona, lima pulo singkum kalua'na anna tallu pulo singkum malangka'na. 
GEN.6.16	Anna la umpapia tallu todo'na anna la umpapai, malangka'na indo papana la sasingkum umpellei hindinna. Anna la umba'bai dio sa'dena.
GEN.6.17	La kupasule mala'bu' umbussui inde lino anna mala tallam asam ingganna menabanna illaam inde lino, lambi' mate asam. 
GEN.6.18	Sapo' iko-iko, ma'dandiä' la deem liu kasilombunganta. Anna la tamakoa' indo kappala' solakoa' bainemu, änä'mu anna manintummu. 
GEN.6.19+GEN.6.20	Anna la umbaba toi duka' sanda si sapasam ingganna olo'-olo' anna mala tubokoa' pada-pada illaam indo kappala'. Susi ingganna hupanna dassi teem ingganna hupanna olo'-olo' yabona galantangam, la sule asam napellambi'iko anna malai tubo.
GEN.6.21	Anna la uhhempum ingganna la malanna diande anna mala deenna' muande sola indo ingganna olo'-olo' umpasola.”
GEN.6.22	Iya napogau' asammi duka' Nuh ingganna indo nasuaam Puang Allataala.
GEN.7.1	Tappana dadi indo kappala', ma'kadam DEBATA lako Nuh naua: “Aka anggam iko to malolo penaba dio oloku temo, dadi pentamangkoa' inde kappala' sola ingganna sahapummu. 
GEN.7.2+GEN.7.3	La umbaba pitu pasanna ingganna olo'-olo' la sipäto'na umpake menomba di Kao anna pitu duka' pasanna ingganna hupanna dassi. Sapo' olo'-olo' senga'na anggam la si sapasam umbaba anna mala ingganna hupanna olo'-olo' illaam inde lino membea' asam. 
GEN.7.4	Aka la pitu ham benginna anna kupatuhummi uham appa' pulo allona appa' pulo benginna. Tä' deem la monda allo bengi, anna mala hopu asam ingganna menabanna, indo puha kupadadi illaam inde lino.”
GEN.7.5	Iya napogau' asammi Nuh situhu' indo nasuaam DEBATA.
GEN.7.6	Annam hatu'um taunna dadinna Nuh anna nabussui uwai inde lino. 
GEN.7.7	Iya le'ba'im tama kappala' Nuh sola bainena, änä'na, anna manintunna anna mala tä' ia tallam. 
GEN.7.8+GEN.7.9	Tamam duka' ingganna hupanna olo'-olo' sola Nuh susinna: olo'-olo' la sipäto'na dipake menomba, olo'-olo' tää'na sipäto' dipake menomba, ingganna hupanna dassi anna olo'-olo' tissollo'na. Le'ba' asam tama indo kappala' sanda si sapasam situhu' indo nasuaam Puang Allataala Nuh.
GEN.7.10+GEN.7.11+GEN.7.12	Tappana lambi' pitu benginna, napahandu'um tuhum uham mähämbä' anna tesse asam uwai ma'kalimbuä dio mai litä'. Appa' pulo allona appa' pulo benginna uham liu napolalam bussu uwai sampe dadi le'bo' asam inde lino. (Wattu eta too tanggala' sapulo pitu bulam dua. Anna Nuh ia annam hatu'um taunna dadinna.)
GEN.7.13	Tappana lambi' indo allo puha dipa'tantu, iya tama asammi ia kappala' Nuh sola bainena anna änä'na isanga Sem, Ham, anna Yafet, sola tallu manintunna. 
GEN.7.14	Anna ingganna olo'-olo' ma'bitti' appa'na anna tissollo'na, susi manahanna teem malaihanna, sola ingganna hupanna dassi. 
GEN.7.15	Anna ingganna hupanna olo'-olo' illaam inde lino tungga' sule sanda si sapasam umpellambi'i Nuh illaam indo kappala'. 
GEN.7.16	Anna indo ingganna hupanna olo'-olo' tama kappala', bihäna anna lakinna situhu' pahentana Puang Allataala lako Nuh. Tappana illaam asanni, natutu'iammi DEBATA ba'bana indo kappala'.
GEN.7.17+GEN.7.18	Appa' pulo allona appa' pulo benginna naolaam uham mahämbä' anna ma'kalimbuä uwai umbussui lino lambi' tiäkä' indo kappala' muäbä lelem yabona uwai. 
GEN.7.19	Anna tuttuam längäm liu uwai lambi' ingganna tanete malangka' nakabu' asam uwai. 
GEN.7.20	Längäm liu uwai sampe nalambi' sapulo lima singkum malangka'na umpellei pusu' tanete handam malangka'. 
GEN.7.21+GEN.7.22+GEN.7.23	Napasusim too Puang Allataala untallanni ingganna menabanna illaam lino, susi ingganna hupatau, susi ingganna dassi, teem ingganna olo'-olo' tissollo'na, anna olo'-olo' manahanna anna malaihanna yabona galantangam. Sapo' anggam Nuh sola ingganna issinna kappala', tä' ia tallam.
GEN.7.24	Iya nabussuim uwai inde lino sahatu' lima pulo benginna masäena.
GEN.8.1	Sapo' tä' ungkalembei Nuh Puang Allataala sola ingganna olo'-olo' malaihanna anna manahanna indo napasola illaam kappala', lambi' napasule Puang Allataala hibu' ussimbuhu'i indo uwai nasuhum napahandu'um mehe. 
