GEN.1.1	Blŭng-a Kră Yang 'Bok Kei-Dei pơjing plĕnh păng teh. 
GEN.1.14	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Athei đei lu măt pơchrang hơdah tơ tŏk-bŏk rơwơ̆ng ti. Wă kơ klah asong 'năr păng măng, wă tơdra băt kơ bơyan, đei năr hăm sơnăm. 
GEN.1.15	Kŭm wă pơchrang hơdah kơ teh;” na đei hloi thoi noh. 
GEN.1.16	Kră Yang 'Bok Kei-Dei pơjing kơ 'bar tŏ măt pơchrang hơdah tih; măt pơchrang hơdah mă tih hloh noh wă pơchrang gah kơ'năr, măt mă pơchrang mă iĕ 'biơ̆ noh wă pơchrang gah kơmăng; sư kư̆m pơjing kơ lu sơnglŏng mơ̆n. 
GEN.1.17	Kră Yang 'Bok Kei-Dei dan lu măt hơdah tơ rơwơ̆ng ti wă pơchrang kơ teh, 
GEN.1.18	wă pơchrang kơ'năr hăm kơmăng. Kră Yang 'Bok Kei-Dei 'bôh tơdrong noh 'lơ̆ng. 
GEN.1.19	Thoi noh đei kơsơ̆ păng pơgê, noh jơ̆ năr mă puăn.
GEN.1.20	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Athei đei pơjing lu kon sem brem arih lăm đak mă lơ. Păng lu sem păr tơ kơpal teh păr tơ anê̆ rơwơ̆ng tơ plĕnh ti.” 
GEN.1.21	Kră Yang 'Bok Kei-Dei pơjing lu ka tih păng lu kon sem brem arih lăm đak rai lơ kiơ̆ kơ adrĕch sư. Kră Yang 'Bok Kei-Dei 'bôh tơdrong noh 'lơ̆ng. 
GEN.1.22	Kră Yang 'Bok Kei-Dei ăn tơdrong pŭn hiôk kơ lu khŭl noh khan thoi âu: Athei pơjing, rai lơ, wă kơ 'bĕnh lăm đak dơsĭ păng lu sem păr kư̆m pơjing chek lar rai lơ tơ kơpal teh. 
GEN.1.23	Thoi noh, đei kơsơ̆ păng pơgê; noh jơ̆ năr mă pơđăm.
GEN.1.24	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Kơpal teh athei đei kon sem brem arih kiơ̆ kơ adrĕch, wă khan, sem brem hơdrông kơep lep-ler, sem bri kiơ̆ kơ adrĕch,” na đei hloi thoi noh. 
GEN.1.25	Kră Yang 'Bok Kei-Dei pơjing kơ lu sem bri kiơ̆ kơ adrĕch păng lu hơdrông kơep lep-ler, lu sem dơrong kiơ̆ kơ adrĕch. Kră Yang 'Bok Kei-Dei 'bôh tơdrong noh 'lơ̆ng.
GEN.1.26	Kră Yang 'Bok Kei-Dei khan thoi âu: “Bĕ lu bơ̆n pơjing kon bơngai hơbŏ thoi bơ̆n, nhen thoi bơ̆n, wă kơ pơgơ̆r lu ka lăm đak dơsĭ, lu sem păr, lu sem dơrong, lu hơdrông mơmŏ kơpal teh păng jơ̆p-jang kơ teh đak.”
GEN.1.27	Kră Yang 'Bok Kei-Dei đei pơjing kon bơngai hơbŏ thoi rup Sư kơdih;
GEN.1.27	Sư pơjing kon bơngai hơbŏ nhen thoi Kră Yang 'Bok Kei-Dei;
GEN.1.27	Sư pơjing bơngai drŏ-nglo păng bơngai drŏ-kăn.
GEN.1.28	Kră Yang 'Bok Kei-Dei ăn pŭn hiôk kơ kon bơngai păng khan thoi âu: “Athei pơjing chek lar rai lơ, wă kơ 'bĕnh jơ̆p kơ teh; athei pơm ăn kơ teh đak chu yom, athei pơgơ̆r lu ka lăm đak dơsĭ, khŭl sem păr kơpal plĕnh păng đĭ-đăng kon sem brem adrŏ kơpal teh.”
GEN.1.29	Kră Yang 'Bok Kei-Dei khan dơ̆ng thoi âu: “Âu Inh ăn kơ lu iĕm 'nhĕt 'nhot chăt đei găr, đah tơ jơ̆p-jang kơ teh đak păng lu 'long plei đei găr, adrĕch noh boih jing tơmam lu iĕm sa. 
GEN.1.30	Gah lu kon sem bri, lu sem păr kơpal plĕnh păng lu sem dơrong nai kơpal teh, mă adrĕch ayơ đei arih na Inh ăn kơ rim 'nhĕt 'nhot adrih wă pơm tơmam sa,” đei hloi thoi noh. 
GEN.1.31	Kră Yang 'Bok Kei-Dei 'bôh dôm tơdrong đơ̆ng Sư pơjing 'lơ̆ng tơpă. Đơ̆ng noh đei kơsơ̆ păng pơgê noh năr mă tơdrâu.
GEN.2.1	Thoi noh, plĕnh teh păng đĭ-đăng dôm tơmam pơjing keh đang boih. 
GEN.2.2	Năr mă tơpơh Kră Yang 'Bok Kei-Dei pơm keh boih dôm tơdrong jang Sư. 
GEN.2.3	Đang kơ noh, Sư ăn pŭn hiôk kơ năr tơpơh, pơm năr giĕng 'lơ̆ng rơgoh; yua kơ lăm năr noh, Sư pơdơh kơ tơdrong jang Sư păng pơjing keh đĭ boih.
GEN.2.4	Noh boih tơm rơh kơ plĕnh hăm teh mă Sư pơjing boih.
GEN.2.4	Kơplah Kră Yang 'Bok Kei-Dei pơjing plĕnh hăm teh sơ̆. 
GEN.2.5	Kơplah noh tam mă đei 'long pơle chăt ôh tơ bri brah, kư̆m tam mă đei ôh minh tơnơm 'nhĕt 'nhot chăt lăm mir, chŭn, yua kơ Kră Yang 'Bok Kei-Dei tam mă ăn đak 'mi jur tơ teh păng kư̆m tam mă đei bu choh pơtăm mơ̆n. 
GEN.2.6	Mă-lei đak yuh đơ̆ng lăm teh hngôm hơiuh ruh jơ̆p kơ teh. 
GEN.2.7	Kră Yang 'Bok Kei-Dei iŏk 'mui teh man kon bơngai dơhlu kial arih lăm trôm muh; na kon bơngai jing đei bơhngol arih.
GEN.2.8	Đơ̆ng noh, Kră Yang 'Bok Kei-Dei pơjing minh hlak pơgar Êđen, tơ gah hơlĕch păng 'măn kon bơngai mă Sư 'nao pơjing oei tơ lăm noh, 
GEN.2.9	Kră Yang 'Bok Kei-Dei ăn kơ teh chăt lu 'long 'lơ̆ng lăp măt păng plei sư sa 'ngam; lăm tŏk-bŏk pơgar ei kư̆m đei chăt minh tơnơm 'long tơdrong arih, kư̆m đei minh tơnơm 'long băt kơ tơdrong kơnê̆ păng băt kơ tơdrong 'lơ̆ng.
GEN.2.10	Đei minh pôm đak glung ro wă ruh hơiuh pơgar Êđen; đơ̆ng noh ro tơklah băl jing puăn chơnglah. 
GEN.2.11	Chơnglah mă mônh anăn Bison; chơnglah noh ro tăp dăr kơ dêh Hawila, anih mă đei maih. 
GEN.2.12	Maih anih âu 'lơ̆ng tơpă; tơ noh kư̆m đei 'long pơgang 'bâu phu păng kư̆m đei tơmo gĭt. 
GEN.2.13	Anăn chơnglah mă 'bar noh Gihôn, ro tăp dăr kơ char Kus. 
GEN.2.14	Anăn chơnglah glung mă pêng noh Hidêke, ro tơ gah hơlĕch tơring Asiri. Gah chơnglah glung mă puăn noh jơ̆ glung Ơphrat.
GEN.2.15	Kră Yang 'Bok Kei-Dei ba kon bơngai mơ̆t oei lăm pơgar Êđen wă pơtăm păng wei-lăng pơgar. 
GEN.2.16	Đơ̆ng noh Kră Yang 'Bok Kei-Dei pơkă thoi âu: “Ih gơh sa mơ̆ng kơ wă dôm lu plei 'long lăm pơgar, 
GEN.2.17	Mă-lei gah tơnơm 'long băt tơdrong 'lơ̆ng păng tơdrong kơnê̆, ih 'nĕ kơ sa hŏ; dah ih sa sĭt ih gô lôch.”
GEN.2.18	Kră Yang 'Bok Kei-Dei khan thoi âu: “Kon bơngai oei minh 'nu minh drô̆ ưh kơ 'lơ̆ng ôh; Inh gô pơjing ăn minh 'nu dơ̆ng wă tơgŭm sư păng hơbŏ thoi sư.”
GEN.2.19	Kră Yang 'Bok Kei-Dei iŏk 'mui teh man pơjing lu kon sem brem, lu sem păr, na năm ba 'bơ̆t anăp Ađam wă kơ sư chă anăn lu sư thoi yơ, wă kơ kon sem kiơ mă Ađam đei anăn ăn đei anăn ei hloi kiơ̆ kơ adrĕch sư. 
GEN.2.20	Ađam anăn ăn kơ lu kon sem dơrong, lu sem păr, kư̆m anăn ăn kơ lu sem bri brah.
GEN.2.20	Mă-lei gah Ađam, chă lăng ưh kơ đei bu tơgŭm sư hơbŏ thoi sư. 
GEN.2.21	Kră Yang 'Bok Kei-Dei ăn kơ Ađam tep blêk, na iŏk minh hlak kơting jơmir, na dui sĕch akar pơklep lê̆ dơ̆ng. 
GEN.2.22	Kră Yang 'Bok Kei-Dei yua kơting jơmir mă Sư 'nao iŏk đơ̆ng Ađam na man pơjing minh 'nu drŏ-kăn, na năm ba tơ Ađam.
GEN.2.23	Ađam khan thoi âu:
GEN.2.23	“Bơngai âu kơting đơ̆ng kơting inh,
GEN.2.23	sĕch đơ̆ng sĕch inh.
GEN.2.23	Bơngai âu gô krao anăn sư bơngai drŏ-kăn,
GEN.2.23	yua kơ sư đei đơ̆ng bơngai drŏ-nglo.”
GEN.2.24	Yua kơ thoi noh na bơngai drŏ-nglo gô tơklah đơ̆ng mĕ 'bă sư na oei hơdai hăm akăn sư, na 'bar 'nu bre sư jing minh sĕch minh akar.a
GEN.2.25	Ađam păng akăn sư, bre sư oei akâu hoh, mă-lei huay kơ đei mơlâu ôh.
GEN.3.1	Âu, lăm lu kon sem brem mă đêl Kră Yang 'Bok Kei-Dei pơjing, 'bih boih mă adrĕch hơlĕnh kơnê̆. 'Bih sư pơma hăm bơngai drŏ-kăn khan: “Kră Yang 'Bok Kei-Dei đei khan tơtă ưh kơ ăn kơ măr iĕm sa plei 'long lăm pơgar âu dah kiơ?”
GEN.3.2	Bơngai drŏ-kăn tơl khan: “Nhi gơh sa plei 'long lăm pơgar. 
GEN.3.3	Mă-lei gah plei 'long tơnơm mă chăt tŏk-bŏk pơgar, Kră Yang 'Bok Kei-Dei pơkă khan: Măr iĕm 'nĕ kơ sa păng kư̆m 'nĕ kơ hơtŭt 'bơm, kơnh măr iĕm lôch.”
GEN.3.4	'Bih khan kơ bơngai drŏ-kăn dơ̆ng: “Măr iĕm huay kơ lôch; 
GEN.3.5	Mă-lei Kră Yang 'Bok Kei-Dei băt layơ măr iĕm sa plei 'long noh, măr iĕm gô hlôh thoi Kră Yang 'Bok Kei-Dei, băt tơdrong 'lơ̆ng păng tơdrong kơnê̆.”a
GEN.3.6	Bơngai drŏ-kăn lăng 'bôh plei 'long noh rŏ kơ sa 'lơ̆ng nham, na kư̆m lăp măt păng gĭtb yua kơ wă pơih kơ̆l 'ngok hơgei na phĕ sa; đơ̆ng noh na ăn kơ klo sư sa, mă oei jê̆ sư. Klo sư kư̆m sa mơ̆n. 
GEN.3.7	Đơ̆ng noh na măt măr sư lar, băt kơdih tơlŭnh akâu hoh, na năm gơ̆ hla 'long hơra sĭt pĕng akâu.
GEN.3.8	Hiưp 'năr glơh, kơtơ̆ng Kră Yang 'Bok Kei-Dei yak năm lăm pơgar. Ađam păng akăn sư ôn akâu bre sư tŏk-bŏk hơmŭl 'long, wă weh đơ̆ng muh măt Kră Yang 'Bok Kei-Dei. 
GEN.3.9	Kră Yang 'Bok Kei-Dei krao Ađam păng jet: “Ih tơ yơ?”
GEN.3.10	Ađam tơl: “Inh đei kơtơ̆ng Ih yak lăm pơgar, na inh hli yua kơ inh akâu hoh, na inh ôn akâu.”
GEN.3.11	Kră Yang 'Bok Kei-Dei jet khan: “Bu đei tơ'bôh kơ ih băt ih akâu hoh?” Hăm trŏ kơ ih đei sa plei 'long Inh đei khă ưh kơ ăn ih sa?”
GEN.3.12	Sư tơl: “Bơngai drŏ-kăn mă Ih ăn kơ sư oei jê̆ inh noh sư ăn kơ inh sa plei 'long noh păng inh đei sa boih.”
GEN.3.13	Kră Yang 'Bok Kei-Dei jet bơngai drŏ-kăn thoi âu: “Ih pơm kiơ thoi noh?”
GEN.3.13	Bơngai drŏ-kăn tơl khan: “'Bih sư pơhlŭ inh na inh sa boih.”
GEN.3.14	Kră Yang 'Bok Kei-Dei đei pơma kơ 'bih thoi âu: “Yua kơ e đei pơm tơdrong thoi âu.
GEN.3.14	E gô pŭ hơngiap hloh lăm khŭl sem brem păng sem bri.
GEN.3.14	E gô ah an klak păng sa 'mui teh đĭ chăl arih e.
GEN.3.15	Inh gô ăn kơ e păng bơngai drŏ-kăn,
GEN.3.15	adrĕch adrung bơngai drŏ-kăn
GEN.3.15	hăm adrĕch adrung e gô ayăt dih băl.
GEN.3.15	Kon bơngai gô juăc bơhlơ̆r kơ̆l e,
GEN.3.15	na e gô choh kơnơl jơ̆ng Sư.”
GEN.3.16	Kră Yang 'Bok Kei-Dei khan kơ bơngai drŏ-kăn thoi âu:
GEN.3.16	“Inh gô ăn tơdrong gleh pơmat lăm tơdrong anăp;
GEN.3.16	ih gô jĭ pơmat lăm năr hơiơch.
GEN.3.16	Gah tơdrong hưch wă ih gô mơ̆ng kơ klo ih,
GEN.3.16	păng klo ih gô pơgơ̆r ih.”
GEN.3.17	Kră Yang khan kơ Ađam thoi âu: “Yua kơ ih chu nơ̆r akăn ih na sa plei 'long mă Inh khă ưh kơ ăn sa, ‘thoi noh teh gô pŭ hơngiap yua kơ ih,’
GEN.3.17	lăm chăl arih ih athei chu gleh lap na đei tơmam sa kơ ih lĕch đơ̆ng teh.
GEN.3.18	Teh gô chăt lu jơla păng 'long bơmrôm,
GEN.3.18	păng ih gô sa tơmam chăt đơ̆ng lăm mir pơgar;
GEN.3.19	Ih athei jang lĕch đak bơuh bơang tơ klĕng ih 'mơ̆i na đei sa,d
GEN.3.19	dĭng truh tơ năr ih brŏk tơ teh dơ̆ng,
GEN.3.19	teh mă đêl man ih sơ̆,
GEN.3.19	yua kơ ih đơ̆ng 'mui teh,
GEN.3.19	ih gô brŏk tơ 'mui teh.”
GEN.3.20	Ađam krao anăn akăn sư Ewơ,e
GEN.3.21	Kră Yang 'Bok Kei-Dei iŏk akar sem brem pơm ao tai ăn kơ bre klo kăn Ađam hrŭk. 
GEN.3.22	Kră Yang 'Bok Kei-Dei khan thoi âu: “Âu gah băt kơ tơdrong 'lơ̆ng păng tơdrong kơnê̆, kon bơngai băt kư̆m thoi lĕ kơ bơ̆n, na dang ei bơ̆n athei kơchăng kơnh hli kơ kon bơngai yơ̆r ti sư phĕ sa plei 'long tơdrong arih, na gơh arih ling-lang.” 
GEN.3.23	Na Kră Yang 'Bok Kei-Dei puh tơlĕch kon bơngai đơ̆ng pơgar Êđen wă kơ choh jang sa teh mă đêl pơjing lu sư sơ̆. 
GEN.3.24	Thoi noh Sư pơpuh tơweh kon bơngai đơ̆ng pơgar Êđen; đơ̆ng noh tơ gah hơlĕch Sư ăn Yang chêrubim hăm đao dăr rang mơnhal, wă kơ bơwei trong năm tơ tơnơm 'long tơdrong arih.
GEN.4.1	Ađam oei hơdai hăm akăn sư Ewơ, đơ̆ng noh akăn sư anăp na tơpŭ hĭ Kain păng khan: “Đơ̆ng Kră Yang tơgŭm na inh gơh tơpŭ kơ minh 'nu kon.” 
GEN.4.2	Ewơ tơpŭ kơ minh 'nu dơ̆ng oh Kain anăn Abel; Abel jing bơngai wei triu; gah Kain sư jang mir 'ba.
GEN.4.3	Đunh 'biơ̆ đơ̆ng noh, Kain yua phe 'ba sư pơm tơmam pơyơ̆r kơ Kră Yang. 
GEN.4.4	Abel kư̆m pơyơ̆r kon triu tuh blŭng-a hăm rơmăa sư kơ Kră Yang 'Bok Kei-Dei, Kră Yang lăng gah Abel păng iŏk tơmam soi sư. 
GEN.4.5	Mă-lei ưh kơ đei lăng Kain păng kư̆m ưh kơ iŏk tơmam soi sư, na Kain blĕk dêh mah 'bri 'bra muh măt sư.
GEN.4.6	Kră Yang apinh Kain thoi âu: “Yua kơ kiơ ih blĕk? Yua kơ kiơ ih kŭp muh măt ih? 
GEN.4.7	Dah ih pơm 'lơ̆ng liơ ih ưh kơ pơ̆n ngơk muh măt? Na mưh ưh kơ pơm 'lơ̆ng, to tơdrong yoch răp gô 'bơ̆t 'măng 'ngeng kơ ih dêh mă-lei ih 'nĕ kơ ăn jei sư.”
GEN.4.8	Đơ̆ng noh Kain pơtơm oh sưb Abel năm; kơplah măr sư oei tơ bri, na Kain plŏng bruh tơ Abel oh sư păng pơlôch hloi.
GEN.4.9	Kră Yang jet Kain thoi âu: “Oh ih Abel tơ yơ?” Sư tơl:
GEN.4.9	“Inh ưh kơ băt, inh bơngai wei oh inh ah?”
GEN.4.10	Kră Yang jet dơ̆ng: “Ih pơm kiơ thoi noh? Inh 'bôh pham oh ih ôr đơ̆ng teh păng nơ̆r sư krao kơtơ̆ng truh tơ Inh. 
GEN.4.11	Dang ei Kră Yang 'Bok Kei-Dei ăn teh hiap ih, teh ha 'bơ̆r huch boih pham oh ih đơ̆ng ti ih pơlôch. 
GEN.4.12	Mưh ih choh pơtăm, teh ưh pă pơjing tơmam sa kơ ih boih, ih gô thông mang huang jơ̆p kơ teh.”
GEN.4.13	Kain tơl Kră Yang thoi âu: “Tơdrong phak inh trăp dêh, pŭ ưh kơ kĕ. 
GEN.4.14	Âu, năr 'nâu, Ih pơpuh inh đơ̆ng teh âu, inh weh đơ̆ng muh măt Ih, gô thông mang huang jơ̆p kơ teh đak, đơ̆ng noh dah đei bu tơ'bơ̆p inh, sư gô pơlôch inh.”
GEN.4.15	Kră Yang khan thoi âu: “Ưh kơ trŏ ôh, dah bu pơlôch ih đe gô pơm 'mong plơ̆ kơ sư tơpơh wơ̆t.” Kră Yang đei ăn tơdra tơ akâu Kain, wă kơ mă bu tơ'bơ̆p Kain huay kơ pơlôch. 
GEN.4.16	Na Kain kơdŭn weh đơ̆ng Kră Yang păng oei tơ dêh Not, gah hơlĕch kơ pơgar Êđen.
GEN.4.17	Đang kơ noh Kain oei hơdai hăm akăn sư, akăn sư anăp na tơpŭ kon kơdră sư Ênok; Kain pơjing minh pôm pơlei tih anăn pơlei Ênok, kiơ̆ kơ anăn kon kơdră sư. 
GEN.4.18	Đơ̆ng noh Ênok pơjing Irat, Irat pơjing Mêhujael, Mêhujael pơjing Methujael, Methujael pơjing Lêmek.
GEN.4.19	Lêmek đei akăn 'bar, minh 'nu anăn Adah, minh 'nu anăn Yilah. 
GEN.4.20	Adah pơjing Jabal, Jabal pơjing 'bok kơ lu kon pơlei oei lơ anih đe rong sem dơrong. 
GEN.4.21	Oh sư Jubal, 'bok kơ khŭl kon pơlei reh brŏ păng hlôm 'lal. 
GEN.4.22	Gah Yilah kư̆m pơjing Tubal Kain, jing bơngai hơjơ̆m lu tak đao han păng mam kong, bơsei. Oh drŏ-kăn Tubal Kain anăn Nama.
GEN.4.23	Lêmek đei khan hăm bre akăn sư thoi âu:
GEN.4.23	“Ơ Adah păng Yilah, mơ̆ng nơ̆r inh bĕ.
GEN.4.23	Ơ! Akăn Lêmek, athei mơ̆ng nơ̆r inh.
GEN.4.23	Ơ! Inh gô pơlôch bơngai bu mă sư teh inh rơka,
GEN.4.23	mă khan 'lŏ dah 'lơ̆p.
GEN.4.24	Tơdah Kain tơpơh wơ̆t pơm 'mong,
GEN.4.24	lei Lêmek gô tơpơh-jĭt tơpơh wơ̆t hil 'mong.”
GEN.4.25	Ađam oei hơdai akăn sư dơ̆ng; sư đei tơpŭ dơ̆ng kơ minh 'nu kon drŏ-nglo sư anăn Set; akăn sư khan, “Kră Yang 'Bok Kei-Dei đei ăn dơ̆ng kơ inh tơpŭ kơ minh 'nu kon drŏ-ngloc nai wă tơplih kơ Abel mă Kain pơlôch boih.” 
GEN.4.26	Set kư̆m pơjing kơ minh 'nu kon drŏ-nglo, anăn Ênos. Đơ̆ng năr âu, kon bơngai pơtơm krao khan chă anăn Kră Yang.d
GEN.5.1	Âu boih sơ̆p hla bơar chih răk adrĕch adrung Ađam.
GEN.5.1	Năr mă Kră Yang 'Bok Kei-Dei pơjing kon bơngai, Sư pơjing kon bơngai hơbŏ thoi Kră Yang 'Bok Kei-Dei. 
GEN.5.2	Sư pơjing bơngai drŏ-nglo păng bơngai drŏ-kăn, ăn tơdrong pŭn hiôk kơ bre sư păng năr Sư pơjing ei Sư anăn bre sư bơngai.
GEN.5.3	Kơplah Ađam đei minh-hrĕng pêng-jĭt sơnăm, sư pơjing minh 'nu kon drŏ-nglo hơbŏ thoi sư, sư anăn Set. 
GEN.5.4	Đơ̆ng rŏng kơ Ađam đei pơjing Set boih, sư oei arih tơhngam-hrĕng sơnăm, kư̆m oei đei pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.5	Thoi noh Ađam arih đei tơsĭn-hrĕng pêng-jĭt sơnăm, na lôch.
GEN.5.6	Set đei minh-hrĕng pơđăm sơnăm, pơjing Ênos. 
GEN.5.7	Đơ̆ng rŏng kơ Set pơjing Ênos boih sư arih tơhngam-hrĕng tơpơh sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.8	Thoi noh Set arih đei tơsĭn-hrĕng mơjĭt-'bar sơnăm na sư lôch.
GEN.5.9	Ênos đei tơsĭn-jĭt sơnăm, pơjing Kênan. 
GEN.5.10	Đơ̆ng rŏng kơ Ênos pơjing Kênan boih, sư oei arih tơhngam-hrĕng mơjĭt-pơđăm sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.11	Thoi noh Ênos arih đei tơsĭn-hrĕng pơđăm sơnăm na sư lôch.
GEN.5.12	Kênan đei tơpơh-jĭt sơnăm, pơjing Mahalale, 
GEN.5.13	Đơ̆ng rŏng kơ Kênan pơjing Mahalale boih, sư oei arih tơhngam-hrĕng puăn-jĭt sơnăm pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.14	Thoi noh Kênan arih đei tơsĭn-hrĕng mơjĭt sơnăm, na sư lôch.
GEN.5.15	Mahalale đei tơdrâu-jĭt pơđăm sơnăm, pơjing Jaret. 
GEN.5.16	Đơ̆ng rŏng kơ Mahalale pơjing Jaret, sư oei arih tơhngam-hrĕng pêng-jĭt sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.17	Thoi noh Mahalale arih đei tơhngam-hrĕng tơsĭn-jĭt pơđăm sơnăm, na sư lôch.
GEN.5.18	Jaret đei minh-hrĕng tơdrâu-jĭt 'bar sơnăm, pơjing Ênok. 
GEN.5.19	Đơ̆ng rŏng kơ Jaret pơjing kơ Ênok boih sư oei arih tơhngam-hrĕng sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.20	Thoi noh Jaret arih đei tơsĭn-hrĕng tơdrâu-jĭt 'bar sơnăm, na sư lôch.
GEN.5.21	Ênok đei tơdrâu-jĭt pơđăm sơnăm, pơjing Mêtusêla. 
GEN.5.22	Đơ̆ng rŏng kơ Ênok pơjing kơ Mêtusêla boih, đơ̆ng noh sư mơ̆ng kiơ̆ Kră Yang 'Bok Kei-Dei lăm pêng-hrĕng sơnăm, sư pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.23	Thoi noh Ênok đei arih pêng-hrĕng tơdrâu-jĭt pơđăm sơnăm. 
GEN.5.24	Ênok kiơ̆ Kră Yang 'Bok Kei-Dei, na biŏng pă 'bôh hloi, yua kơ Kră Yang 'Bok Kei-Dei sơng iŏk sư boih.
GEN.5.25	Mêtusêla đei minh-hrĕng tơhngam-jĭt tơpơh sơnăm pơjing Lêmek. 
GEN.5.26	Đơ̆ng rŏng kơ Mêtusêla pơjing Lêmek boih, sư oei arih tơpơh-hrĕng tơhngam-jĭt 'bar sơnăm pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.27	Thoi noh Mêtusêla arih đei tơsĭn-hrĕng tơdrâu-jĭt tơsĭn sơnăm, na sư lôch.
GEN.5.28	Lêmek đei minh-hrĕng tơhngam-jĭt 'bar sơnăm, pơjing minh 'nu kon drŏ-nglo. 
GEN.5.29	Sư anăn Nôê păng khan thoi âu: “Sư âu boih wă pơlung jơhngơ̆m lu bơ̆n đơ̆ng tơdrong jang mă gleh lap yua kơ Kră Yang hiap pơtê̆ boih teh âu.” 
GEN.5.30	Đơ̆ng rŏng kơ Lêmek pơjing Nôê boih, sư oei arih pơđăm-hrĕng tơsĭn-jĭt pơđăm sơnăm, sư pơjing kon drŏ-nglo kon drŏ-kăn. 
GEN.5.31	Thoi noh Lêmek arih đei tơpơh-hrĕng tơpơh-jĭt tơpơh sơnăm, na sư lôch.
GEN.5.32	Gah Nôê, dĭng truh sư pơđăm-hrĕng sơnăm, sư pơjing pêng 'nu kon drŏ-nglo, Sem, Cham păng Japhet.
GEN.6.1	Đơ̆ng kon bơngai đĭ rai lơ năm jơ̆p-jang kơpal teh păng kon bơngai đei pơjing lu kon drŏ-kăn boih, 
GEN.6.2	Lu kon tơdăm yang 'bôh kon adruh kon bơngai 'lơ̆ng hơbŏ na iŏk oei, adruh ayơ mă sư lăp đon. 
GEN.6.3	Kră Yang khan thoi âu: “Yang Bơhngol Inh ưh kơ oei lăm kon bơngai ling-lang ôh; yua kơ kon bơngai jơ̆ sĕch akar đĕch, chăl arih lu sư lăp minh-hrĕng 'bar-jĭt sơnăm đĕch.”
GEN.6.4	Chăl noh păng chăl đơ̆ng rŏng kơ noh đei lu bơngai mă tih kơjung arih kơpal teh, yua kơ tơdăm yang oei hơdai hăm lu adruh kon bơngai na pơjing kon hơ'lơ̆p; noh lu bơngai nuih kơtang sơ̆ đe ư-ang kơ lu sư.
GEN.6.5	Kră Yang 'bôh kon bơngai kơpal teh âu pơm kơnê̆ dêh păng jơhngơ̆m lu sư tơchĕng kơnê̆ ling-lang. 
GEN.6.6	Na Sư hmach kơdih Sư kơ tơdrong pơjing boih kon bơngai kơpal teh păng Sư sơ'ngon lăm jơhngơ̆m. 
