GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
GEN.3.24	Di kafalwà Dwata dale, dekan dad gambet kasaliganan gsen di gumsut i duh di banwe Idén, na fkahan sundang di gufusuk. Fadlug dminè i sundang na gal fatbiling flibut. Én i munung i dalan salu di kayu mlé nawa, du fye landè fakay fdadong déén.
GEN.4.1	Na tasatlamin ale Adam na Iba. Na di là mlo mlalu kenen na mngà ale lagi, dnagitla Kain. Na man Iba, “Fagu di ktabeng i Amugu Dwata, tamngà agu i tingà lagi.” 
GEN.4.2	Kafnge én, lêman mngà Iba i galwe tingaan lagi, dnagit ku Abél.
GEN.4.2	Kafnge én, Abél mbaling to fulung mifat dad bilibili, na Kain kenen fulung mimò di tanà. 
GEN.4.3	Satu duh, gafat dad fule Kain, taman nun blén di Amun Dwata. 
GEN.4.4	Kabay Abél kenen, nalékan i tingà bilibili i muna sut, na tnatéan na neben i fye ungad du mlé di Dwata. Na too lehew Dwata i Amu ku Abél na i gablén. 
GEN.4.5	Kabay là lehew Dwata ku Kain na i gablén. Taman too blat i baweh Kain du too flabè.
GEN.4.6	Taman man Dwata i Amu di kenen, “Tan i duenam flabè, na too blat i baweham? 
GEN.4.7	Ku matlu i nimoam, lehew agu ge. Kabay ku là matlu i nimoam, i salà kaflingengu dun salngad i labè lmanaf fan mlaab ge. Hae, du gambet i sasè tulus tagatlagad fagsalà ge, na nimoan ge fasakan, bay toom kenen fnisan.”
GEN.4.8	Kafnge én, man Kain di flanekan Abél, “Magin ge deg di nligo.” Kakella di nligon fnatin i flanekan.
GEN.4.9	Na snalek Dwata i Amu, Kain, manan, “Tanè sa i flanekam Abél?”
GEN.4.9	Tmimel Kain, manan, “Làgu gadè dun. Kan dé, agu kè gal mifat i flanekgu?”
GEN.4.10	Man Dwata i Amu di kenen, “Kan ku mimò ge i too sasè nimò ani? I litè i flanekam sadi tamlo deg mdà di tanà, du mni i balas. 
GEN.4.11	Na mdà ani fanlayamta ge. Talà ge fakay mimò di tanà, du tanà ani nsafan litè i flanekam i fnatim. 
GEN.4.12	Ku lêman ge mule, là munge i fulem. Talandè too gumneam, alò ge lamngab di tah tanà ani.”
GEN.4.13	Na man Kain di Dwata i Amu, “Too blat i flayamam deg ani, na làgu gagan tmayud dun. 
GEN.4.14	Neyem, mdà di duh ani laam agu faloh mimò di tanà, na dekam agu fawag di ge du agu lamngab di tah i tanà ani. Na balù simto mite deg, mati deg.”
GEN.4.15	Kabay tmimel Dwata i Amu kenen, manan “Là mkel di ge i manam ani, du ku nun mati ge fanlayamgu fitu dulê di kaflayamgu ge.”
GEN.4.15	Taman nimò Dwata i Amu ilè di ku Kain, du fye là fnati i balù simto mite kenen. 
GEN.4.16	Kafnge én, fawag Kain di muna Dwata i Amu, na mnè ditù di banwe Nad mdadong di Idén gsen di gusut i duh.
GEN.4.17	Kafnge én, tasatlamin Kain na yaanan. Na kafnge én, maltien yaanan na mngà kenen tingà lagi, dnagit ku Inok. Na di bang én, mimò Kain i bong banwe, na dnagitan i banwe ani Inok, dagit i tingaan. 
GEN.4.18	Na Inok ani i mà Irad. Na Irad ani i mà Méhudyaél. Na Méhudyaél i mà Lamék.
GEN.4.19	Na Lamék ani nun lwe yaanan, dunan Adah na Silah. 
GEN.4.20	Na Adah ani i yê Dyabal, na mbaling Dyabal mà i kdee dad mifat dad lmanaf, na gal mnè ale di dad slung. 
GEN.4.21	Na Dyabal ani nun twalin lagi dnagit ku Dyubal, na Dyubal mbaling mà i kdee gal fulung magaf dad slali, na i nun tafas dnagit alfa. 
GEN.4.22	Na Silah i yê Tubal Kain, na mbaling kenen fulung msel i tabaga na tek. Na nun flanekan libun dnagit ku Naamah.
GEN.4.23	Na man Lamék di lwe yaanan,
GEN.4.23	“E Adah na Silah, flinge gamu deg dad yaangu,
GEN.4.23	du ani i mangu di gamu.
GEN.4.23	Gfatigu i lagi du bnunalan agu.
GEN.4.23	Du là too tua i lagi munal deg, too nun galan,
GEN.4.23	knean tagfatigu kenen.
GEN.4.24	Ku fitu dulê i ksasè kaflayam Dwata di balù simto to mati ku Kain,
GEN.4.24	salngad di to mati deg.
GEN.4.24	Kabay mangu di gamu, i kaflayaman là alò fitu dulê,
GEN.4.24	bay fitu falò fitu dulê i ksasean.”
GEN.4.25	Na lêman mngà ale Adam na yaanan Iba lagi. Na man Iba, “Banlé agu Dwata tingà lagi i tlas Abél i fnati Kain.” Taman dnagitan i tingaan ani ku Sét. 
GEN.4.26	Kafnge én, gamwè yaan Sét na mngà ale lagi, na dnagitan ku Inos.
GEN.4.26	Na di bang ani, tambù i dad to dmasal na mangamfù di Dwata.
GEN.6.5	Na tateen Dwata i too sasè nimò i kdee dad to di tah tanà, na tagadean i kdee fandamla na knayèla slame sasè. 
GEN.6.6	Na mdà di ksasè nimòla, msal Dwata di kgimoan i dad to na fnean ale dini di tah i tanà, na too nun klidù i nawan. 
GEN.6.7	Taman manan, “Falmogu i dad to tamgimògu dini di tah tanà, na fakufgu i dad lmanaf, na i dad anuk di bnas, du msal agu di kgimògu dale.” 
GEN.6.8	Kabay too lehew Dwata ku Nowa.
GEN.6.9	Ani santulen gablà ku Nowa. Di kdee dad to alò Nowa i matlu, na landè sasè nimoan, na toon nimen knayè i Dwata. 
GEN.6.10	Na nun tlu dad ngaan lagi, Sém, Ham, na Dyafét.
GEN.6.11	Na bay i kdee dademe dad to di tah tanà too sasè di kite Dwata, na nun dee samuk di klamang i tanà. 
GEN.6.12	Na teenan i ksasean, du taalì i ksasè nimò i dad to. 
GEN.6.13	Taman manan ku Nowa, “Ani fandamgu, falmogu i kdee dad to di tah tanà ani, du di klamang tanà ani too fnò i sasè nimòla. Taman toogu ale falmo kadang na gakuf i kdee di tah tanà ani. 
GEN.6.14	Taman fatlagad ge, mimò ge i bong aweng nun sibay mdà di mgal kayu. Sneletam di lam na di lwà. 
GEN.6.15	Na ani kiboam mimò dun, i ktahà i aweng nimoam mdadong fitu falò lime dife, na i kabalan mdadong sfalò lwe dife, na i kdatahan mdadong fitu dife. 
GEN.6.16	Na nimoam i atafan, na i kdatah di bleng i atafan na i didingan malsigu. Na nimoam i satu takab di lohokan, na nimoam tlu kansad i saalan. 
GEN.6.17	Na fdunukgu kadang i klamang tanà, du fye kdee i mto malmo. Kdee di tah tanà ani sdulê mati. 
GEN.6.18	Kabay too nun kadang fakangta ge. Fusuk ge kadang di aweng na faginam yaanam, i dad ngaam lagi, na i dad yaanla. 
GEN.6.19+GEN.6.20	Na faginam i satu lagi na satu libun di kdee sahal bung lmanaf, na i dad anuk di bnas. Ani i kfagum, du fye là ale mati. 
GEN.6.21	Na mebe ge kdee bung gkaan, du fye i kdeeyu nun knaanyu.”
GEN.6.22	Na nimò Nowa i kdee dek Dwata di kenen.
GEN.7.1	Di kafnge Nowa mimò i aweng, man Dwata i Amu di kenen, “Fusuk ge di lam i aweng, na faginam i kdee malayam, du di kdee dad to di tah tanà, alò ge i teengu matlu. 
GEN.7.2+GEN.7.3	Faginam satu lagi na satu libun di kdee bung lmanaf i là fakay dsù di deg, bay faginam fitu i lagi na fitu i libun di kdee bung too fye lmanaf na anuk di bnas i fakay dsù di deg. Nimoam ani du fye kdee dad bung lmanaf na anuk di bnas là ale mati, bay mbel ale di kakubu i dunuk. 
GEN.7.4	Di kakubu i fitu duh kadang, fulengu di klamang tanà. Fat falò duh na fat falò butang i klon mulen. Ani kfagugu falmo i kdee dad mto mgimògu di tah tanà ani.”
GEN.7.5	Na nimò Nowa i kdee dek Dwata i Amu di kenen.
GEN.7.6	Tanam latu fali Nowa di kakel i dunuk. 
GEN.7.7	Di là fa kel i dunuk, fusuk Nowa di aweng, na i yaanan, i dad ngaan lagi, na i dad yaanla magin kenen, du fye là ale gakuf kadang di kalmo i kdee mdà di bong dunuk. 
GEN.7.8+GEN.7.9	Flulen Nowa di aweng i kdee bung lmanaf, na i dad anuk di bnas libun na lagi, balù fakay ku demen là fakay dsù di Dwata. Kdee ani salu di ku Nowa na fafusukan ale di aweng, du ani i dek Dwata kenen. 
GEN.7.10	Na di kakubu i fitu duh, takel i dunuk di tah tanà.
GEN.7.11	Di kgafat Nowa di nam latu fali, di gasfalò fitu duh di galwen bulen di fali én, én nan katbù i dunuk. I yéél di dungan i tanà samfut salu tah, na mgukà i langit du mulen. 
GEN.7.12	Na mulen fat falò duh na fat falò butang.
GEN.7.13	Na di duh katbù i dunuk, Nowa na yaanan, i dad ngaan Sém, Ham, na Dyafét, na i dad yaanla, ditù ale di lam i aweng. 
GEN.7.14	Na tamagin di dale kdee bung lmanaf, mnalam na mlayal, dad malbang na dad malnak, na dad anuk di bnas. 
GEN.7.15+GEN.7.16	Na nun lagi na libun di kdee mto di tah tanà tasalu di ku Nowa, na tafafusukan ale di aweng, du ani i dek Dwata kenen. Na di kagfusuk i kdeela, Dwata i Amu, tmakab i takab.
GEN.7.17	Na fadlug mulen fat falò duh na fat falò butang, na i yéél fadlug matnù i kngalaman kel talamtew i aweng. 
GEN.7.18	Na fadlug lamnok i bong yéél di tah tanà, na talamtew i aweng di tah i yéél. 
GEN.7.19	Na too lamnok i bong yéél du balù i dad mdatah bulul maglimun.
GEN.7.20	Na lamnok fa kel di mdadong fat dife i kdatahan mdà di tah i dad bulul. 
GEN.7.21	I kdee di tah tanà mlimas, balù dad anuk di bnas, na i kdee bung dad lmanaf, na kdee dad to. 
GEN.7.22	I kdee mto di tah tanà slame mati. 
GEN.7.23	Falmo Dwata kdee dad to, na i kdee bung dad lmanaf, na i dad anuk di bnas. Alò Nowa i mto na dad magin kenen di lam i aweng.
GEN.7.24	Kel di mlatu lime falò duh, là mten i yéél.
GEN.8.1	Kabay là fbayà Dwata Nowa, na i kdee dad lmanaf i faginan fusuk di aweng. Taman fbalan i nus di tah tanà, na tambù mten i yéél. 
GEN.8.2	Tanlag Dwata kasfut i yéél mdà di gusamfutan di dungan i tanà. Na snafangan gumukaan i langit, na fafanakan i ulen. 
GEN.8.3	Di lam i mlatu lime falò duh, fganag mten i yéél. 
GEN.8.4	Na di gasfaloan fitu duh di gfitun bulen di fali ani gine, gduung i aweng di bulul Ararat. 
GEN.8.5	Na fadlug mten i yéél, na di tnanin duh di gasfaloan bulen, tateen nan i ltut i dad bulul.
GEN.8.6	Na kakubu i fat falò duh na fat falò butang, nukà Nowa i bintanà tanimoan di aweng, 
GEN.8.7	na fayengan i wak. Na là samfulê di aweng, bay fadlug kenen mayeng flibut kel too mten i dunuk. 
GEN.8.8	Na là mlo, fayeng Nowa lêman i abun, fye gadean ku mten i dunuk di tah tanà. 
GEN.8.9	Kabay, abun ani laan teen i gumleenan, du maglimun fa yéél di tanà. Taman samfulê kenen di aweng, na nwè Nowa na fasfuléan di lam aweng. 
GEN.8.10	Na fatan Nowa kel fa di fitu duh, na lêmanan fayeng i abun. 
GEN.8.11	Di kakimalan samfulê i abun na nun doon i kayu olib falami maglifò tnukean na neben samfulê. Na én i gugmadè Nowa mten i yéél di tah tanà. 
GEN.8.12	Kafnge én, fatan Nowa fitu duh fa, na lêmanan fayeng i abun, bay ani talà samfulê i abun.
GEN.8.13	Na di kgafat Nowa di nam latu satu fali i ktuan, di tnanin duh di tnanin bulen di fali én, tamten i yéél di tah tanà. Taman lanket Nowa i dademe ataf, na teenan talandè yéél, na tafan kafag i tanà. 
GEN.8.14	Na di kakelan di galwen falò fitu duh di galwen bulen, tatoo kafag i tanà.
GEN.8.15	Kafnge én, man Dwata di ku Nowa, 
GEN.8.16	“Ani fakay ge lamwà di aweng, na faginam i yaanam, i dad ngaam, na i dad yaanla. 
GEN.8.17	Na falwaam i dad anuk di bnas, na kdee bung dad lmanaf, mnalam na mlayal, du fye mbel ale na mbaling dee di tah tanà ani.” 
GEN.8.18	Taman lamwà Nowa di aweng, gagin kenen i dad malayan. 
GEN.8.19	Kat bung i dad lmanaf, na i kdee bung dad anuk di bnas, slumbuk ale di dale bung, na satfulé ale lamwà.
GEN.8.20	Di kagalwà Nowa di aweng, santifunan i dad batu, du mimò kenen i gudamsuan di Dwata i Amu. Kafnge én, nwean kat satu bung lmanaf na kat satu bung anuk di bnas i fakay dsù di Dwata, na sduléan snakuf, du dsuan di Dwata. 
GEN.8.21	I bun i dsuan too gaflehew Dwata i Amu, na gman i nawan, manan, “Làgu lêman falmo i klamang tanà, du mdà di sasè nimò i dad to, balù gadègu mdà di ksutla nun sasè knayèla. Na làgu lêman falmo i kdee mto di tah tanà gambet i tamgimògu ani.
GEN.8.22	Hae, du di klo fa nun banwe,
GEN.8.22	nun bang kafla na kaktu,
GEN.8.22	na bang tno na minit,
GEN.8.22	na bang landè ulen na nun ulen,
GEN.8.22	na bang mduh na butang.”
GEN.9.1	Na banlé Dwata kafye Nowa na i dad ngaan na manan di dale, “Too gamu mngà du fye dee dad ngàyu, du fye mbaling dee belyu kadang mbel di klamang banwe. 
GEN.9.2	Na mdà ani, i kdee bung dad lmanaf na dad anuk di bnas, na dad nalaf, likò gamu. Na gamu magot i kdeela. 
GEN.9.3	Na tafakay gamu kmaan kdee bung dad lmanaf. Hae, du di muna fa, falohgu gamu kmaan dad tmabò di tanà, bay ani fakayyu knaan i kdee.
GEN.9.4	“Alò satu i làyu fakay knaan, dunan ungad ku là fa faloh i litean. Én duenan fnanggu ani, du i gumdà i dad kdee dad mto, dunan di litè. 
GEN.9.5	Ku satu to manò i dademen to, fanlayamgu kenen. Na ku nun lmanaf mati to, kenen fnati.
GEN.9.6	Dad to mgimò Dwata salngad i kenen kagkah,
GEN.9.6	taman i to manò i dademen to kenen fnati.
GEN.9.7	“Kabay gamu, too gamu mngà du fye dee dad ngàyu, du fye mbaling dee dad belyu kadang mbel di klamang banwe.”
GEN.9.8	Kafnge én, man Dwata di ku Nowa na di dad ngaan, 
GEN.9.9	“Ani, too nun fakanggu gamu kel di dad belyu kadang, 
GEN.9.10	na kel di dad kdee mto, dunan dad anuk di bnas, na kdee dad lmanaf, i kdee magin gamu lamwà di aweng. 
GEN.9.11	Na ani i fakanggu gamu. Làgu lêman falmo i dad kdee mto di tah tanà ani fagu di dunuk, na i klamang banwe ani, làgu lêman falmo fagu di dunuk.”
GEN.9.12	Na fadlug talù Dwata, manan, “Ani nimògu ilè du fye gadèyu dnohògu i fakanggu gamu na i kdee i dad mto kel di landè sen. 
GEN.9.13	Fkahgu lawélawé ditù di dad labun, na ani ilè i fakanggu di kdee dad to mnè di tah i tanà. 
GEN.9.14	Klitgu flabun i langit na msut i lawélawé, 
GEN.9.15	én i banggu faldam i tafakanggu di gamu na i kdee dad mto di tah tanà ani. Na làgu lêman falmo i kdee fagu di dunuk. 
GEN.9.16	Di ksut i lawélawé di dad labun, teengu kadang na fandamgu i fakanggu di kdee dad mto di tah tanà ani kel di landè sen.
GEN.9.17	“Ani sa i ilè i fakang i tafakanggu di kdee mnè di tah i tanà.”
GEN.9.17	Én gman Dwata di ku Nowa.
GEN.9.18	Na i dad ngà Nowa lamwà di aweng dunan, Sém, Ham, na Dyafét. (Na Ham i mà Kanaan.) 
GEN.9.19	I dad tlu lagi tingà Nowa ani, i dad gutambul i kdee dad to mnè di klamang banwe.
GEN.9.20	Na du Nowa too fulung mimò di tanà, kenen i muna mule i walad dnagit grép. 
GEN.9.21	Na di kinuman i binu i mgimoan mdà di grép, langal kenen, na mdà di klangalan flaweh kudang di slungan. 
