GEN.1.1	A tung in Pathian in lei leh van a siam.
GEN.1.30	Lei a gamsa chiteng kiang ah, tung a leng vasa chiteng kiang ah, leitung a khupboh a pai chiteng kiang ah, hinna nei chiteng kiang ah a an ding un loupa hing chiteng ka pia hi” a chi a; huchibang a hong hita hi. 
GEN.1.31	Pathian in a thilsiam tengteng a en a, ngai in, hoih a sa mahmah hi. Huchi in, a ni gukna ah nitaklam a om a, zinglam leng a om hi.
GEN.2.1	Huan, lei leh van leh asung a om tengteng siamzoh ahita hi. 
GEN.2.2	Pathian in a ni sagih ni’n a nasep a zou a; a ni sagih ni’n a nasep tengteng a khawlsanta hi. 
GEN.2.3	Pathian in a ni sagih ni a vualzawl a, a tangta hi. Huai ni a Pathian in a siam leh a bawl, a nasep tengteng a khawlsan tak ziak in.
GEN.2.4	Lei leh vante siam a a omlai ua a suante uh hiaite ahi; 
GEN.2.5	lei a loupa himhim a om naikei a, lei a anteh leng a pou naikei hi. 
GEN.2.6	Himahleh lei apan mei a hong suaktou a, leitung tengteng a nomsak hi.
GEN.2.9	Lei a kipan 
GEN.2.10	Eden apan huan nomsak ding in lui a luang paisuak a; huai a kipan a ka zak a, ka li a hong hita hi. 
GEN.2.11	A khatna min Pison ahi, hiai Havilah gam tengteng kualkhum lui ahi. Huai ah dangkaeng a om hi. 
GEN.2.12	Huai gam a dangkaeng hoihtak ahi a, huai ah bedeli leh onik suang leng a om hi. 
GEN.2.13	Lui nihna Gihon ahi a; huai lui in Kush gam tengteng a kualkhum ahi.
GEN.2.14	Lui thumna min Hiddekel ahi a; hiai Assuria gam suahlam a luang ahi. Lui lina bel Euphrates ahi.
GEN.2.16	 Pathian in pasal kiang ah, “Huan a sing gah chiteng na utut na ne thei hi. 
GEN.2.17	A hoih leh a sia theihna sing gah bel na ne ding ahi kei. Na nek leh na nek ni mah in na si ngeingei ding hi” chi in, thu a pia hi.
GEN.2.19	 Pathian in leitung a kipan gamsa chiteng leh tung a leng vasa chiteng a bawlta hi. A min ding ua bang sak ding ahia chih theihna ding in Adam kiang ah a hon pikhawm hi. Ganhing chiteng a min uh Adam in a na phuah, a min uh ahi den hi. 
GEN.2.20	Adam in gan tengteng, tung a leng vasa tengteng leh gamsa chiteng min a phuak chiat hi. Himahleh Adam panpihtu ding a omkei hi.
GEN.2.22	 Pathian in Adam apan a lak nakguh apan in numei a bawl a, Adam kiang ah a honpita hi. 
GEN.2.23	Adam in,
GEN.2.23	“Hiai hial zaw ka guh a kipan guh,
GEN.2.23	Ka sa a kipan sa ahi.
GEN.2.23	Pasal a kipan lakkhiak
GEN.2.23	a hih ziak in,
GEN.2.23	Numei, chih ding ahi” a chi hi.
GEN.2.24	Huaiziak in, pasal in a nu leh a pa a paisan dia, a zi ah a belh ding. Huchi in sa khat a hong hita ding uhi. 
GEN.2.25	Adam leh a zi vuaktang ahi tuak ua, a zum tuankei uhi.
GEN.3.1	Huan, 
GEN.3.2	Numei in gul kiang ah, “Chilou e, huan a singgahte ne thei mah ung. 
GEN.3.3	Huan laizang a sing gah Pathian in, ‘Na ne ding uh ahi kei, khoih leng na khoih ding uh ahi kei, huchilou in zaw na si ding uh chi a ka’ ” a chi hi.
GEN.3.4	Gul in numei kiang ah, “Si zenzen lou e. 
GEN.3.5	Na nek ni ua pat na mit uh a hongvak dia, a hoih leh a sia thei in pathiante na hong bang ding uh, chih Pathian in thei kilkel eive,” a chi hi.
GEN.3.6	Numei in singgah nektheih ahi chih leh mit hiptak ahi chih leh mi pilsak dia singgah etlah huai ahi, chih a theih in a gah a lou a, a neta hi. A kiang a om a pasal leng a pia a, aman leng a neta hi. 
GEN.3.7	A nih un a mit uh a hong vakta a, vuaktang a hih uh hong kithei ua; theipi nah a khui khawm ua, puan a kibawl tawm uhi.
GEN.3.9	 Pathian in Adam a sam a, a kiang ah, “Kaw om na hia?” a chi hi.
GEN.3.10	Aman, “Huan ah na aw ka za a, vuaktang ka hih ziak in ka lau a; ka na kibuta,” a chi hi.
GEN.3.11	Aman, “Vuaktang na hih kua’n honhilh ahia? Singgah neklouh ding ka chih ne na hita maw?” a chi hi.
GEN.3.12	Adam in, “Hon ompih dia n’on piak numei in singgah a honpia a, ne kei ve” a chi hi.
GEN.3.14	Pathian in, gul kiang ah, “Hichibang a na hih ziak in ganhing tengteng leh gamsa chiteng lak ah hamsiat na hi tuanse dia, khupboh in na pai gige dia, na damsung in leivui na ne ding ahi. 
GEN.3.15	Nang leh numei k’on kidou sak dia, na suante leh a suante leng ka kidou sak lai ding. Huai in na lutang a sidup sak dia, nang a khetul na sidup sak ding” a chi hi.
GEN.3.16	Numei kiang ah, “Na haksatna leh na naupaina nakpi’n ka pungsak dia; haksatak in tate na nei ding. Himahleh na deihlam na pasal lam ahi dia, aman na tung ah thu a nei ding” a chi hi.
GEN.3.17	Adam kiang ah, “Na zi thu na man a, singgah na ne ding ahi kei, chi a, k’on thupiak na nek ziak in leitung nang ziak in hamsiat in a omta hi. Na damsung teng in gimtak a sem in a gah na neta ding hi. 
GEN.3.18	Ling leh louling neite leng a hon omsak dia, lei a anteh na neta ding hi. 
GEN.3.19	Lei a na kiknawn masiah na mai a kho-ul luang puappuap in an na neta ding. Lei apan lakkhiak na hi. Leivui na hi a, leivui ah na kiknawn ding” a chi hi.
GEN.3.20	Adam in a zi, mihing tengteng nu a hih ziak in, a min Evi a sa hi. 
GEN.3.21	 Pathian in Adam ading leh a zi ading in savun puanaktual a bawlsak a, a silhsak hi.
GEN.3.23	Huaiziak in, 
GEN.3.24	Mihingte a delhkheta a; hinna sing lampi veng ding leh Eden huan suahlam pang ah Cherubte leh mei namsau kilek zualzual a omsakta hi.
GEN.4.1	Huan, Adam in a zi Evi a luppih a; huchi in a gai a, Kain a nei hi; “
GEN.4.2	A nau Abel a hon neinawn hi. Abel belamchingmi ahi a, Kain bel leiletmi ahi. 
GEN.4.3	A nung in hichi a honghi a, Kain in 
GEN.4.4	Abel in leng a belamhon lak a piang masapen leh a thau pen a hontawi a, 
GEN.4.5	Himahleh Kain leh a thillat bel a kipahpih kei. Kain a heh mahmah a, a mel a liap hi. 
GEN.4.6	, Kain kiang ah, “Bangdia heh na hia? Bangdia na mel liap ahia? 
GEN.4.7	Hih hoih lechin pahtak na loh kei dia hia? Na hih hoih keileh khelhna kongkhak bul ah a kual nilouh a, a deihlam nangmah ahi ding, a tung ah thu na nei ding ahi,” a chi hi.
GEN.4.8	Kain in a nau Abel a houpih a, hichi ahi a, lou a a omlai un Kain in a nau Abel a sual a, a thatta hi.
GEN.4.11	Huaiziak in, na khut a kipan na nau sisan sang dia kam a na ka lei apan hamsiat na hita hi. 
GEN.4.12	Lei na leh in leng a hoihna a honpe nawn kei ding” a chi hi.
GEN.4.13	Kain in, 
GEN.4.14	Ngai in, tuni in leitung a kipan n’on delhkheta a, Na mit muh phaklouh a sel a om ding ka hita. Lei ah taimang leh vakvai hi ding ka hita hi. Hichi ahi ding a, kuapeuh honmu in a honthat mai ding uh” a chi hi.
GEN.4.16	Kain 
GEN.4.17	Kain in a zi a luppih a; Huchi in a gai a, Enok a nei hi. Khua a sat a, a khaw min a tapa tamsak in Enok a sa hi. 
GEN.4.18	Enok in tapa Irad a nei a; Irad in tapa Mahujael a nei hi. Mahujael in tapa Methusael a nei a; Methusael in tapa Lamek a nei hi. 
GEN.4.19	Lamek in zi nih a nei a; khat min Adah ahi a, khat pen min Zillah ahi. 
GEN.4.20	Adah in Jabal a nei a; amah puanin a om ganvulmite suangpa ahi. 
GEN.4.21	A nau min Jubal ahi a, amah kaihging leh tamngai tummi tengteng suangpa ahi. 
GEN.4.22	Zillah in leng Tubal Kain, dal leh sik, tuzat heizat chiteng sekmi, a nei hi. Tubal, Kain sanggamnu Naamah ahi.
GEN.4.23	Lamek in a zite kiang ah,
GEN.4.23	Adah leh Zillahte aw, ka aw za unla;
GEN.4.23	Lamek zite aw, ka thugen ngaikhia un.
GEN.4.23	A hon liamsak ziak in mi khat ka that a,
GEN.4.23	A hon sidup sak ziak in valnou khat ka that hi.
GEN.4.24	Kain phu bawn a mun sagih a la ding a hih uleh
GEN.4.24	Lamek phu a mun sawmsagih leh sagih in a la ding uh, a chi hi.
GEN.4.25	Adam in a zi a luppih nawn a; tapa a nei nawn a; a min Seth a sa hi. Pathian in Abel sik in chisuan ding a hon sehsakta; Kain in lah amah a thatta ngal a, a chi hi. 
GEN.4.26	Seth in leng tapa a nei a; a min Enosh a sa hi. Huai a kipan mite’n 
GEN.5.1	Hiai Adam suante tuanna laibu ahi. Pathian in mi a siam ni’n Pathian batpih in amah a bawl hi. 
GEN.5.2	Pasal leh numei in amau a siam a; amau a vualzawl a, amau siam a a om ni un a min uh Adam, a sa hi. 
GEN.5.3	Adam in kum za leh sawmthum a hih in amah mah bang, a kibatpih ngei tapa a nei a; a min Seth a sa hi. 
GEN.5.4	Seth a neih nung in Adam kum za giat a damlai a; tanu leh tapate a neilai hi. 
GEN.5.5	Adam damsung tengteng kum za kua leh sawmthum ahi a; huchi in a sita hi.
GEN.5.6	Seth in kum za leh nga a hih in, tapa Enos a nei hi. 
GEN.5.7	Enosh a neih nung in Seth kum za giat leh sagih a damlai a, tanu leh tapate a neilai hi. 
GEN.5.8	Seth damsung tengteng kum za kua leh sawmlehnih ahi a; huchi in a sita hi.
GEN.5.9	Enosh in kum sawmkua a hih in tapa Kenan a nei hi. 
GEN.5.10	Kenan a neih nung in Enosh kum za giat leh sawmlehnga a damlai a, tanu leh tapate a neilai hi. 
GEN.5.11	Enosh damsung tengteng kum za kua leh nga ahi a, huchi in a sita hi.
GEN.5.12	Kenan in kum sawmsagih a hih in, tapa Mahalaleel a nei hi. 
GEN.5.13	Mahalaleel a neih nung in Kenan kum za giat leh sawmli a damlai a, tanu leh tapate a neilai hi. 
GEN.5.14	Kenan damsung tengteng kum za kua leh sawm ahi a; huchi in a sita hi.
GEN.5.15	Mahalaleel kum sawmguk leh nga a hih in tapa Jared a nei hi. 
GEN.5.16	Jared a neih nung in Mahalaleel kum za giat leh sawmthum a damlai a, tanu leh tapate a neilai hi. 
GEN.5.17	Mahalaleel damsung tengteng kum za giat leh sawmkua leh nga ahi a, huchi in a sita hi.
GEN.5.18	Jared in kum za leh sawmguk leh nih a hih in tapa Enok a nei hi. 
GEN.5.19	Enok a neih nung in Jared kum za giat a damlai a, tanu leh tapate a neilai hi. 
GEN.5.20	Jared damsung tengteng kum za kua leh sawmguk leh nih ahi a, huchi in a sita hi.
GEN.5.21	Enok in kum sawmguk leh nga a hih in, tapa Methusel a nei hi. 
GEN.5.22	Methusel a neih nung in Enok kum za thum sung Pathian toh a tonkhawm ua, tanu leh tapate a neilai hi. 
GEN.5.23	Enok damsung tengteng kum za thum leh sawmguk leh nga ahi. 
GEN.5.24	Pathian toh Enok a tonkhawm ua, amah a omta kei a; Pathian in a lata hi.
GEN.5.25	Methusel in kum za leh sawmgiat leh sagih a hih in tapa Lamek a nei hi. 
GEN.5.26	Lamek a neih nung in Methusel kum za sagih leh sawmgiat leh nih a damlai a, tanu leh tapate a neilai hi. 
GEN.5.27	Methusel damsung tengteng kum za kua leh sawmguk leh kua ahi a, huchi in a sita hi.
GEN.5.28	Lamek in kum za leh sawmgiat leh nih a hih in tapa a nei hi. 
GEN.5.29	Hiai ngeingei in 
GEN.5.30	Noah a neih nung in Lamek kum za nga leh sawmkua leh nga a damlai a, tanu leh tapate a neilai hi. 
GEN.5.31	Lamek damsung tengteng kum za sagih leh sawmsagih leh sagih ahi a; huchi in a sita hi.
GEN.5.32	Noah kum za nga a upa ahi. Noah in Shem, Ham leh Japheth a nei hi.
GEN.6.1	Huan, hichi ahi a, leitung ah mite hong pung ua, tanute a honnei uhi. 
GEN.6.2	Pathian tapate’n mite tanute melhoih in a mu ua; a deihlam chiat uh zi in a nei uhi. 
GEN.6.3	, “Ka Kha in mi tangtawn in a sual nilouh kei ding, amau lah sa ahi ngal ua. Himahleh kum za leh sawmnih a dam ding uh” a chi hi. 
GEN.6.4	Huailai in miliante lei ah a om ua; huai nung in leng Pathian tapate’n mite tanute a luppih ua, amau toh tate a neih zel lai un, huaite mah nidanglai a mihat, mi minthangte ahi uh.
GEN.6.6	Leitung a mi a bawl ziak in 
GEN.6.7	, “Ka mi siam leitung a kipan ka hihmang mai ding. Mite, sate, ganhingte leh tung a leng vasate tan in; ka bawl ziak in ka kisik” a chi hi.
GEN.6.8	Noah in bel 
GEN.6.9	Noah suan hiaite ahi uh. Noah midik ahi a, a dam tonpihte lak ah gensiatbei ahi. Noah Pathian toh a tonkhawm hi. 
GEN.6.10	Noah in tapa thum Shem, Ham leh Japheth a nei hi. 
GEN.6.11	Pathian mitmuh in lei a sekhinta a, lei hiamgamna in a dim khinta hi. 
GEN.6.12	Pathian in lei a en a, ngai in, a sekhinta a; sa tengteng in leitung ah a omdan uh a hih sekhinta uhi.
GEN.6.13	Pathian in Noah kiang ah, “Sa tengteng beina ka ma ah a hongtungta. Amau tawn in lei hiamgamna in a dim khinta ngal a. Ngai in, lei toh amau ka hihmang ding. 
GEN.6.14	Nang a ding in meilah sing in long bawl inla; long ah dantante na bawl ding ahi. A sunglam leh a pawlam meilah nai in na zut vek ding ahi. 
GEN.6.15	Hiai na bawl ding dan ahi. Long dunglam tong za thum hi henla, a vailam tong sawmnga hi henla, a sanlam tong sawmthum hi hen. 
GEN.6.16	Long ah tohlet na bawl dia, a tunglam tong khat chiang a na zoh ding ahi. Long kongkhak a pang ah na bawl dia; chial nuainung leh chial nihna leh chial thumna nei in na bawl ding ahi. 
GEN.6.17	Ngai in, kei mahmah in, sa tengteng hinna hatna pai khempeuh, van nuai a kipan hih mangthang ding in leitung ah tuichim ka tungsak dia; lei a thilchih om a sivek ding uh. 
GEN.6.18	Himahleh nang toh ka thukhun ka kipsak dia, long ah na lut ding ahi. Nang na lut dia, na tapate leh na zi leh na tapate zite leng na kiang ah a lut ding uh ahi. 
GEN.6.19	Sa tengteng a thilhing chiteng lak a kipan, chichih nihnih in, na kiang ah hinsak ding in long ah na pilut ding ahi. A nu leh a pa zel ahi ding uh. 
GEN.6.20	Vasate amau chi omdan bang chiat in, gante amau chi omdan bang chiat in, chichih nihnih in na hinsak ding in na kiang ah a hongpai ding uh ahi. 
GEN.6.21	An tengteng la inla, na kiang ah koihkhawm in. Nang leh amau ading in an ahi ding uh” a chi hi. 
GEN.6.22	Huchibang in Noah in a hih a; Pathian in a kiang a thu a piak tengteng bang in a hihta hi.
GEN.7.1	Huan, 
GEN.7.2	Sa siang chiteng lak ah a pa leh a nu, kop sagih zel; sa sianglou lak ah a pa leh a nu chiat toh kop nih zel, na kiang ah na pi ding ahi. 
GEN.7.3	Tung a leng vasa lak ah leng, a nu leh a pa chiat, kop sagih zel in, leitung a chi khah dia hinsak ding in. 
GEN.7.4	Ni sagih in a samlai a, huaikhit chiang in leitung ah ni sawmli leh zan sawmli sung vuah ka zu sak ding. Ka bawl thil hing chiteng leitung a kipan ka hihmang ding, a chi hi. 
GEN.7.5	Noah in 
GEN.7.6	Leitung a tuichim a hongtun lai in, Noah kum za guk a upa ahita hi. 
GEN.7.7	Tuichim a tun ding ziak in Noah long ah a lut a, a tapate leh a zi leh a tapate zite leng a kiang ah a lut uhi. 
GEN.7.8	Sa siang lak ah leng, sa sianglou lak ah leng, vasa lak ah leng, leitung a khupboh a pai chiteng lak ah leng, 
GEN.7.9	Pathian in Noah kiang a thu a piak bang in, a nu leh a pa chiat, a kopkop in, Noah kiang ah long ah a lutta uhi. 
GEN.7.10	Ni sagih nung in leitung ah tuichim a tungta hi.
GEN.7.11	Noah kum za guk a hih in a kha nihna, ni sawmlehsagih ni’n, huai ni mah in tui thuk zapi nak tengteng a hong puakzak a, van tohlette leng a hong kihongta uhi. 
GEN.7.12	Ni sawmli leh zan sawmli sung teng leitung ah vuahpi a zuta hi. 
GEN.7.13	Huai ni mah in Noah, Noah tapate Shem, Ham, Japheth leh Noah zi long ah a lutta ua, a tapate zi thumte leng a kiang ah a lut uhi. 
GEN.7.14	Amaute a lut ua, sa chiteng amau chi omdan bang chiat in, ganhing leitung a khupboh a pai chiteng amau chi omdan bang chiat in, vasa chiteng, amau chi omdan bang chiat in, vasa chiteng, kha nei chiteng leng a lut uhi. 
GEN.7.15	Sa tengteng hinna hatna pai him himte, a kopkop in Noah kiang ah long ah a lutta uhi. 
GEN.7.16	A lutte Pathian in a kiang a thu a piak bang in, sa tengteng lak a a nu leh a pa zel in a lut uhi. Huchi in 
GEN.7.17	Tuichim leitung ah ni sawmli sung teng a tung a; tui a hong khang a, long a lam a, leitung ah a domkangta hi. 
GEN.7.18	Tui a hongom zuazua a, leitung ah a khan in a hong khangta hi, long tui tung ah a kilam hi. 
GEN.7.19	Leitung ah tui nakpi’n a hongom zuazuata a; van nuai a tang sang tengteng a tumkhin vekta hi. 
GEN.7.20	Tong sawmlehnga hial a sang in tui a hongom a; tangte tupmang in a omta uhi. 
GEN.7.21	Sa lei a tangthei tengteng, vasate, gante, gamsate, ganhing lei a khupboh a pai chitengte, michih tengte toh a si khin vekta uhi. 
GEN.7.22	A nak ua hinna kha hatna omna tengteng, gam a om tengteng a sikhin vekta uhi. 
GEN.7.23	Lei a thil hing chiteng omte, mite, gante, ganhingte, tung a leng vasate toh hihmang in a om ua; lei a kipan hihman in a omta uh. Long sung a om Noah leh a kiang a omte kia hawi in a om uhi. 
GEN.7.24	Tui ni za leh sawmnga sung teng leitung ah a om hi.
GEN.8.1	Huan, Pathian in, Noah leh long sung a a kiang a thilhing chiteng leh gan om tengteng a theigige a; Pathian in leitung ah huih a nungsak a, tui a hong dai panta hi. 
GEN.8.2	Tui thukpi nakte leh van tohlette hong kikhakta ua, van a kipan vuah leng theusak ahita hi. 
GEN.8.3	Lei a kipan tui a kiam giaigiaita a; ni za leh sawmnga nung in tui a hong tawm deuhta hi. 
GEN.8.4	A kha sagihna, ni sawmlehsagih ni’n Ararat tang ah long a hong kingata hi. 
GEN.8.5	Tui, a kha sawmna tan in a kiam giaigiai zel a; a kha sawmna ni khat ni’n mualvumte a kimuta hi.
GEN.8.6	Ni sawmli nung in hichi ahi a, Noah in a bawl long tohlet a hongta hi. 
GEN.8.7	Va-ak khat a khahkhia a, lei a kipan tui a kankhit masiah huai va-ak a vial lenlen hi. 
GEN.8.8	Leitung ah tui a tawmta hia, tawm nailou, chih theihna ding in vakhu khat a khah khe nawn hi. 
GEN.8.9	Himahleh vakhu in tukna ding himhim a mu kei a, a kiang ah long ah a kiknawn a, tui lah leitung pumpi ah a omlai ngal a. Pawlam ah a khut a golh khia a, aman long sung ah a kiang ah a lalut nawn hi. 
GEN.8.10	Ni sagih dang a ngaklai a; vakhu long a kipan a khahkhe nawn hi. 
GEN.8.11	Vakhu nitaklam in a kiang ah a honglut nawn a; ngai in, a muk in olive nah khat a hontuah hi. Noah in lei ah tui a tawmta, chih a theita hi. 
GEN.8.12	Ni sagih dang a ngak nawn a; vakhu a khah khe nawn a; a kiang ah a hong kiknawn kei hi.
GEN.8.13	Hichi ahi a, a kum za guk leh khatna, a kha khatna, a ni khat ni’n, tui lei a kipan a kangta hi. Noah in long khuhna a koihsuana, a en a; ngai in, leitung a hulta hi. 
GEN.8.14	A kha nihna, ni sawmnih leh sagih ni’n lei a hulta hi.
GEN.8.15	Pathian in Noah kiang ah thu a gen a; 
GEN.8.16	Long a kipan pawt in, nang pawt inla, na zi leh na tapate leh na tapate zite leng na kiang ah pawt uhen. 
GEN.8.17	Sa tengteng lak a thilhing chiteng na ompihte, vasate, gante, ganhing leitung a khupboh a pai chitengte toh na kiang ah pikhia in, leitung a chipha tak a chi tampi suang a a hong punna ding un, a chi hi. 
GEN.8.18	Noah a pawt a, a tapate leh a zi leh a tapate zite leng a kiang ah a pawt uhi. 
GEN.8.19	Sa chiteng, ganhing chiteng, vasa chiteng, leitung a tangthei peuhmahte amau chi omdan bang chiat in long a kipan a pawtta uhi.
GEN.8.20	Noah in 
GEN.8.21	 huai namtui a za a; 
GEN.8.22	Lei omlai teng buh leh buhlakte, khovot leh kholumte, nipi leh phalbite, sun leh zante a bei kei ding” a chi hi.
GEN.9.1	Huan, Pathian in Noah leh a tapate a vualzawl a, a kiang uah, “Chi tampi suang in hongpung unla, lei luahdim un. 
GEN.9.2	Nou kihtakna leh lauhna lei a sa chiteng leh tung a leng vasa chiteng in a nei ding uh. Hiaite leh lei a khupboh a pai tengteng leh tuipi a ngasa tengteng na khut ua piak ahita uhi. 
GEN.9.3	Thilhing tangthei chitengte nou ading in nekding ahi ding ua; anteh hing k’on piak bang in bangkim k’on pevek hi. 
GEN.9.4	Himahleh sa, a hinna sisan toh na nekhawm ding uh ahi kei. 
GEN.9.5	Na hinna sisan phu ka la ngeingei ding. Sa chiteng lak ah ka la dia, mi lak ah leng. Michih a unaute uh lak ah, mite hinna phu ka la chiat ding. 
GEN.9.6	Kuapeuh mi sisan suahmi, mi mah in amah sisan a suah ding ahi. Pathian batpih a mi bawl ahi ngal a.
GEN.9.7	Nou chi tampi suang in hong pung unla, ta leh nau tampi nei unla, leitung ah hongpung un” a chi hi.
GEN.9.8	Pathian in, Noah kiang leh a kiang a om, a tate kiang ah, 
GEN.9.9	“Ngai un, kei mahmah in na kiang uah leh nanung ua na suante uh kiang ah leng ka thukhun ka hihkip hi. 
GEN.9.10	Na kiang ua om thilhing chiteng, na ompih uh vasate, gante, na ompih uh lei a sa chitengte kiang ah leng; long a kipan hongpawt tengteng, lei a sa chiteng kiang na ngawn ah. 
GEN.9.11	Na kiang uah ka thukhun ka hihkip ding; sa tengteng leng tuichim a hihman in a om nawn kei ding uh. Lei hihse ding in tuichim a tung nawn kei ding” a chi hi. 
GEN.9.12	Pathian mah in, “Kei leh nou leh na kiang ua thil hing chiteng omte kal a , suan tawp neilou a omte ading in, hiai ka thukhun chiamtehna ahi ding hi. 
GEN.9.13	Meipi ah ka sakhituihup ka zam sak a, huai kei leh lei kal a thukhun chiamtehna ding ahi. 
GEN.9.14	Hichi ahi ding a, leitung a meipi ka kaisak in sakhituihup meipi ah a kimu ding hi. 
GEN.9.15	Kei leh nou leh sa tengteng lak a thilhing chitengte kal a , ka thukhun om ka theigige ding. Sa tengteng hihmang ding in tui a letnawn kei ding hi. 
GEN.9.16	Sakhituihup meipi ah a zam zel ding. Pathian leh leitung a sa om tengteng lak a thilhing chiteng kal a tangtawn thukhun om ka theihgige theihna ding in ka en zel ding” a chi hi. 
GEN.9.17	Pathian mah in, Noah kiang ah, “Hiai kei leh leitung a sa om tengteng kal a ka thukhun hihkip chiamtehna ahi” a chi nawn hi.
GEN.9.18	Noah tapa long a kipan pawtte Shem, Ham leh Japheth ahi uh. Ham Kanaan Pa ahi. 
GEN.9.19	Huai mi thumte Noah tapate ahi ua, amau a kipan pawtte’n leitung pumpi a zelsuak uhi. 
GEN.9.20	Noah louneimi in a hongom pan a, grephuan a bawl hi. 
GEN.9.21	Uain a dawn a, a kham a; a puanin ah a lumkhialta hi. 
GEN.9.22	Ham, Kanaan pa’n a pa lumkhial a mu a, inn pua a om a naute nih a hilh hi. 
GEN.9.23	Shem leh Japheth in puan a la ua, a liang ua kizawn in a nung pai ua, a pa uh lumkhial a khuhta uh. A mai uh lehlam nga in a pa uh lumkhial a mu kei uhi. 
GEN.9.24	Noah uain kham a honghalh a, a tapa naupangpen in a tung a a hih dan a hon theita hi.
GEN.9.25	“Kanaan hamsiat in om hen.
GEN.9.25	A unaute sikhate sikha
GEN.9.25	ahi ding” a chi hi.
