MAT.1.1	Carte de generațiune a luĭ Iisusŭ Christosŭ hilĭlu alŭ Davidŭ hilĭlualŭ Avraamŭ.
MAT.3.3	Că aestŭ éste açelŭ tră care are ḑisă profetŭlu Isaia care ḑiçe: Bóçea a unuĭ çe strigă în deșertŭ îndrégețĭ calea Domnuluĭ, îndrépte façețĭ carările a lorŭ.
MAT.3.4	Iară aestŭ Ioanŭ și avea veștimêntulu di perĭ de cămilă și çingătóre de chéle, de avêrliga di cópsele a luĭ; și hrana luĭ era locuste și miére agră.
MAT.3.5	Atunçea inșiea la elŭ Iersŭalimŭlu și tută Iudea.
MAT.3.6	Și tute părțile de avĕrliga a Iordanuluĭ; și s’boteza de nĕsŭ în Iordanŭ și ’șĭ spunea pecatele lorŭ.
MAT.3.7	Și cându veḑu că mulțĭ din Fariseĭ și Sadukeĭ v̄inu la bôtezarea luĭ lĕ ḑise: Pulĭ de nepărtică; care vĕ spuse tra s’fugițĭ de orghia çe are s’v̄ină?
MAT.3.8	Façețĭ cara fructe axiĭ de tunusire.
MAT.3.9	Și s’nu vĕ minduițĭ s’ḑiçețĭ cu mintea vóstră; că tată avemŭ pre Avraamŭ; că eŭ vĕ ḑicŭ: că Dumneḑeŭ póte să scólă hilĭi a luĭ Avraamŭ și din chețrile aeste.
MAT.3.10	Că écă și țupata șéde la rĕdăçina a arborilorŭ; Tr’açea içido pomŭ çe nu façe pomŭ bunŭ s’talĭe și s’aruncă în focŭ.
MAT.3.11	Eu vĕ bôteḑŭ cu apă tră tunusire; ma açelŭ çe v̄ine după mine, este cama putérnicŭ de câtŭ mine, și a cuĭ eu nu escuaxiu tra s’lĭ ținu încălțămintele; aestŭ va s’vĕ botéḑă cu Duhu Sântu și cu focŭ.
MAT.3.12	Elŭ are lupată în măĭnĭle a luĭ, și va s’cură arghia luĭ, și va s’adună grănŭlu a luĭ tru grănarŭ, iară palĭele va s’le ardă cu focŭ neastimtŭ.
MAT.3.13	Atunçea Iisusŭ vine din Galilea la Iordanŭ cătrĕ Ioanŭ, tra să s’bôtéḑa de nĕsŭ.
MAT.3.14	Ma Ioanŭ, ilŭ ținea și’ lĭ ḑiçea: eŭ prinde s’me bôteḑŭ de tine: și tine v̄in̄ĭ la mine?
MAT.3.15	Și Iisusŭ rĕspunse și ’lĭ ḑise: Lasă tora ca ași unzésce s’împlinimŭ içido îndreptate.
MAT.3.16	Și decară s’bôteḑă Iisusŭ înv̄ie eși din apă, și écă lĭ se desclĭseră çerurĭle, și veḑu Duhŭlu alu Dumneḑĕu, că s’depunea ca porumbu, venindaluĭ peste nĕsŭ.
MAT.3.17	Și écă s’ avḑi ună bóçe din çerurĭ çe ḑiçea: Aestu éste vrutŭlu a nieu hilĭu, la care avuĭ bună vrére.
MAT.4.1	Atunçea Iisusŭ fu dusŭ de cătrĕ Duhulu în deşertu, ca să s ’cărtéscă de către diabolŭ.
MAT.4.2	Și după çe agiună patru‐ḑĕçĭ de ḑile și patru‐ḑĕçĭ de nopțĭ, apoĭa ’lŭ luá fómea.
MAT.4.4	Ma elŭ rĕspunse și ḑise: éste scriată că nŭ mașĭ cu pâne va s’ bănéḑă omŭlu, ma cu içido graiu çe iése din gura alu Dumneḑă.
MAT.4.5	Atunçea ’lŭ lĭa diabolŭlŭ, 
MAT.4.6	Și lĭ ḑiçe: Fure că escĭ hilĭlu alŭ Dumneḑă aruncă te înghiosŭ, câ éste scriată; că va s’ dimândă a Anghelorn a luĭ, tră tine, și va s’ te pórtă pe măn̄ĭ, tra s’nu țĭ agudescĭ ciciorŭlu a teu di cheatră.
MAT.4.7	Iisusŭ lĭ ḑise a luĭ: Scris este iară. S’nu cărtesci Domnulŭ Dumneḑeŭlu a tĕu.
MAT.4.8	Apoia iară lŭ lĭa diabolŭlu, lŭ duçe pe unŭ munte multu ’naltŭ, și lĭ spune tute amirărilĭle a lumilĭeĭ și gloria lorŭ.
MAT.4.9	Și lĭ ḑiçe: aeste tute va s’țĭ le dau, ma s’caḑĭ s’te înclĭn̄ĭ la mine.
MAT.4.10	Atunçea Iisusŭ ’lĭ ḑiçe: Fugĭ 
MAT.4.11	Atunçea diabolulŭ lŭ alăsă, și écă anghelĭ s’aprochiară și îlĭ servia.
MAT.4.12	Iară cândŭ avḑĭ Iisusŭ că Ioanu s’predéde, s’trapse în Galilea.
MAT.4.13	Și alăsândaluĭ Nazaretŭlu, vine și locui în Capernaumŭ ningă amare, la sinorĭle 
MAT.4.14	Ca să se împlinéscă, çe era ḑisă de cătrĕ profet lu Isaia, care ḑiçe:
MAT.4.15	Locŭlŭ alŭ Zabulonŭ și locŭlu alŭ Neftalimŭ, pe cale de amare, dincolo di Iordanŭ, Galilea ginților.
MAT.4.16	Poporulŭ açelŭ çe ședea în întunérecŭ, veḑu mare lum̄ină; și açelorŭ çe ședea în locŭlu și în umbra a moartelĭeĭ, lĕ se déde lum̄ină.
MAT.4.17	De atunçea Iisusŭ înçepu să predică și s’ḑică: Tunusiți‐vĕ, că s’aprochie amirăriliea din çerŭ.
MAT.4.18	Și imnândaluĭ Iisusŭ pe ning’amarea Galileilĭeĭ, veḑu doĭ frațĭ Simon çe s’numesce Petru, și Andreĭ fratele a luĭ, aruncândaluĭ mréja tru amare, (că era pescarĭ).
MAT.4.19	Și ’lĕ ḑiçe: venițĭ după mine și va s’vĕ facŭ pescarĭ de ómenĭ.
MAT.4.20	Și de‐ună‐óra 
MAT.4.21	Și trecêndaluĭ de acolo cama năinte, veḑu alțĭ doĭ frațĭ Iacovŭ 
MAT.4.22	Iară elĭ de ună óră alăsară luntrea și tatălŭ a lorŭ, și s’duseră după nĕsŭ.
MAT.4.23	Și străbătu Iisusŭ tută Galilea, învețândŭ în sinagogele a lorŭ, și predicândaluĭ vanghelĭlu a amirărilĭeĭ, și vindecăndŭ orĭ çe lăngóre și neputére în poporŭ.
MAT.4.24	Și s’avḑĭ scirea di nĕsŭ în tuta Siria, si lĭ aduseră pre tuțĭ açelĭ çe era rĕu, și acățațĭ de diferite lângorĭ și pedépse, și açelĭ demonisațĭ, și lunatiçĭ și olugĭ și’lĭ vindecă.
MAT.4.25	Și s’duse după nĕsŭ poporŭ multŭ din Galilea și din Decapole, din Ierusalimŭ, din Iudea, și din ’naparte de Iordanŭ.
MAT.5.1	Și căndŭ veḑu 
MAT.5.2	Și 
MAT.5.3	Fericițĭ sŭntu açelĭ orfanĭli cu duhŭlu că a lorŭ éste amirărilĭea çerurilorŭ.
MAT.5.4	Fericițĭ sŭntu açelĭ çe plângu că elĭ va sa s’asbună.
MAT.5.5	Fericițĭ sŭntu açelĭ blânḑilĭ că elĭ va s’moștenésca locŭlu.
MAT.5.6	Fericițĭ sŭntu açelĭ çe au fóme și séte tră dreptate că elĭ va să se satură.
MAT.5.7	Fericițĭ sŭntu açelĭ miluoșĭhi că elĭ va să s’miluéscă,
MAT.5.8	Fericițĭ sŭntu açelĭ curațĭlĭi cu inimă că elĭ va s’védă pre Dumneḑeŭ.
MAT.5.9	Fericițĭ sŭntu açelĭ făcătorĭlĭi de îmbunare, că elĭ va sa s’clĭémă hilĭ alŭ Dumneḑeŭ.
MAT.5.10	Fericițĭ sŭntu açelĭ avinațĭlĭi tră dreptate, că a lorŭ éste amirărilĭea çerurĭlor.
MAT.5.11	Fericițĭ hițĭ cândŭ vĕ îngiură, și v’avină, și vĕ ḑicŭ içido graiu rĕu contra vóstră cu minciună tră mine.
MAT.5.12	Bucurațĭ‐vĕ și alegrațĭ‐vĕ, că mare éste plata vóstra în çerurĭ; că ași asgoniră profetĭlĭi înainte de voĭ.
MAT.5.13	Voĭ hițĭ sarea locŭluĭ; ma s’fure că sarea s’asparge cu çe va să s’insară? Nu face tră çeva, de câtŭ s’hibă aruncată afóră, și călcată de ómen̄ĭ.
MAT.5.14	Voĭ hițĭ lum̄ina lumilĭeĭ; çetatea çe stă pe munte nu póte ca să se ascundă.
MAT.5.15	Niçĭ nu aprindu căndila și o bag sum șinicŭ, ma pe șindanŭ și luminéḑă a tutulorŭ çe sŭntu în casa.
MAT.5.16	Așa s’lum̄inéḑá lum̄ina vóstră di’naintea ómen̄ĭlorŭ, ca s’védă nĕșĭ faptele a vóstre açéle bune, și să glorifică Tatălŭ a vostru açelŭ din çerŭ.
MAT.5.17	S’nu minduițĭ că eu am venită s’aspargŭ, legea ică profețĭlĭi; n’am venită s’ aspargu ma s’împlinescu.
MAT.5.18	Că de alihea vĕ dicŭ: până cândŭ s’trécă çerŭlu și locŭlu, ună iota ică ună chicută nu va s’trécă de lege, până cându să s’facâ tóte.
MAT.5.19	Tr’açea açelŭ çe va s’aspargă ună de ca ma‐m̄içĕle aeste dimândăciunĭ, și va s’invéță ómenĭlĭi ași, ma m̄icŭ va să s’ clĭémă tru amirărilĭea çerurĭlorŭ; ma açelŭ çe va s’ facă șiva s’învéța, açelŭ mare va să s’clĭémă tru amirărilĭea cerurĭlor.
MAT.5.20	Că vĕ ḑicŭ: S’nu trecure îndreptatea vóstră cu multŭ pre açea a Cărturarĭlorŭ și a Fariseilor, nu va s’întrațĭ în amirălĭea din cerŭ.
MAT.5.21	Avḑitŭ că s’ ḑise a străușĭlorŭ: s’ nu vatăm̄ĭ; că care vatămă este stepsitŭ la giudecată.
MAT.5.22	Iară eu vĕ ḑicŭ: că care çido çe s’ nirésce pre frate sĕŭ fără dreptŭ, éste stepsitŭ la giudecată. Și açelŭ çe va s’ḑică afrate‐sĕu: Racá va s’hibă stepsitŭ la adunare. Și care va s’ḑică glarŭ, stepsitŭ va s’hibă în gheena focŭluĭ.
MAT.5.23	Tr’açea s’ aduțéreșĭ darŭlu a tĕu la altarŭ, și acolo ’țĭ aduçĭ aminte că frate‐tĕu are çeva contra ta,
MAT.5.24	Alasă‐țĭ acolo darŭlu, înaintea altarŭluĭ, șî du‐te îmbunéḑă‐te cama năinte cu frate‐tĕu și atunçea tórn te și dățĭ darŭlu.
MAT.5.25	Imbuné ă‐te curêndŭ cu contrarŭlu a tĕu, până cândŭ esci în cale cu nĕsŭ; ca s’nu te da contrarŭlu a tĕu la giudecatorŭlu, și giudecătorŭlu s’ te da la servitorŭlu, și s’te aruncă tru înclĭisóre.
MAT.5.26	Dealihea ’țĭ ḑicŭ, că nu va s’eșĭ d’acolo, până cândŭ s’plătescĭ și açelŭ din urmă aspru.
MAT.5.27	Avḑitŭ că s’avu ḑisă a străușĭlorŭ: s’nu curvesci;
MAT.5.28	Iară eu vĕ ḑicŭ: că içe 
MAT.5.29	Și fure că oclĭulŭ a tĕŭ açelŭ dreptŭ te scandalisésce, scóte‐lŭ și arucă‐lŭ de la tine; că, cama ghine éste tră tine s’ chéră unŭ din membrele a tale, de câtŭ trupŭlu a tĕu întregŭ, să s’aruncă în gheenă.
MAT.5.30	Și s’ fure‐că mâna ta açea îndrépta te scandalisésce, talie‐o și aruncă‐o de la tine; că, cama ghine, 
MAT.5.31	S’are ḑisă iară: că, açelŭ çe ’șĭ alasă mulĭérea, s’ lĭ da carte de despărțire;
MAT.5.32	Ma eu vĕ ḑicŭ: că açelŭ çe va ’șĭ alasă mulĭérea sa afară di lucru de curvilĭe, o face să curvéscă; și açelŭ ce lĭa mulĭére alăsată curvésce.
MAT.5.33	Iară avḑitŭ că s’are ḑisă a străușĭlorŭ, s’nu aspargi giurâmintulŭ, ma s’daĭ a Domnuluĭ giurămintele a tale.
MAT.5.34	Iară eu vĕ ḑicŭ: s’ nu vĕ giurațĭ de cu totaluĭ; niçi pre çerŭ că éste thronŭlu alŭ Dumneḑă:
MAT.5.35	Nicĭ pre locŭ, că éste așternutŭlu a a ciciórĕlorŭ a luĭ; niçi pre Ierusalimŭ că éste çetatea a marĕlui amiră.
MAT.5.36	Niçi pre capŭlu a tĕu nu giură, că nu poțĭ s’façĭ niçi un perŭ albu ică laiu.
MAT.5.37	Ma sborŭlu a vostru s’ hibă: Da, da, și Nu, nu; că açea çe éste cama multu de aestă, éste de la açelŭ rĕu.
MAT.5.38	Aveți avḑită că s’are ḑisă: oclĭu tră oclĭu și dinte tră dinte. 
MAT.5.39	Iară eu vĕ ḑicŭ: s’nu stațĭ în fața a urítuluĭ. Ma s’fure că țĭ da çineva pliscută pe fața ta îndréptă, șuță‐lĭ și alantă.
MAT.5.40	Și açeluĭ çe va s’ giudecă cu tine, și s’ țĭ lĭa mantaua a ta; 
MAT.5.41	alasă‐lĭ și înveștimêntulŭ. Și açelŭ çe va s’ te lĭa angarie unŭ milĭu, du‐te cu elŭ dóŭĕ.
MAT.5.42	Açelui çe caftă de la tine, dă‐lĭ. Și nu te trage, de la açelŭ çe va să se împrumută de la tine.
MAT.5.43	Avḑitŭ că s’ are ḑisă: s’ vreĭ aprópele a tĕu și s’urĕsci neóspele a teu.
MAT.5.44	Ma eu vĕ ḑicŭ: s’ vrețĭ neóspețĭlĭi a voștri; dațĭ urăciunĭ açelorŭ çe vĕ blastemă; façețĭ ghine açelorŭ çe vĕ urĕscu, și rugațĭ‐vĕ tr’ açelĭ çe vĕ facŭ rĕu, și v’ agonescŭ.
MAT.5.45	Ca s’ hițĭ hilĭi a Tatăluĭ a vostru din çerŭ; că Elŭ da sórĕle a luĭ tră rĕĭ și tră bun̄ĭ, și da plóie tră drepțĭ și nedrepțĭ.
MAT.5.46	Că, ma s’ vrețĭ açelĭ ce vĕ vorŭ, çe plată va s’ avețĭ? Nu facŭ și vameșilĭi tutu açea?
MAT.5.47	Și s’ fure că salutațĭ mașĭ pre frațilĭi a votșri çe cama multu façețĭ? Nu facŭ și vameșilĭi 
MAT.5.48	Hițĭ atunçea perfecțĭ precum éste perfectŭ și Tatălŭ a vostru 
MAT.6.1	Luațĭ aminte s’ nu façețĭ eleimosinea vóstră d’ inaintea ómenĭlorŭ, ca s’ hițĭ veḑuțĭ de nĕșĭ; ică nu, nu va s’avețĭ plată de la Tatălŭ a vostru, açelŭ din çerurĭ.
MAT.6.2	Tr’ açea cândŭ façĭ eleimosinea, s’ nu trompeteḑĭ d’ inaintea ta, cum facŭ ipocrițĭlĭi în sinagóge și pe tru călĭurĭ, tra s’ hibă alăvdațĭ de ómen̄ĭ. De alihea vĕ ḑicŭ, că ’și au plata lorŭ.
MAT.6.3	Iară tine cândŭ façĭ eleimosinea, s’ nu scibă mâna ta stânga, çe façe îndrepta ta.
MAT.6.4	Ca s’ hibă eleimosinea ta pe ascumta; și Tatălŭ a tĕu çe vede ascumtișa’uĭ, e’ ŭ va s’ți p’ătéscă pe față.
MAT.6.5	Și cândŭ te rogĭ, s’nu hiĭ ca ipocrițĭlĭi: cá a lorŭ le p’açe să se rógă stândalui în sinagóge, și pe tru cohiurĭle a călĭuriorŭ tra s’ hibă veḑuțĭ de ómen̄ĭ. Dea’ihea vé ḑicŭ că ’șĭ au plata lorŭ.
MAT.6.6	Ma tine cândŭ te rogĭ întră în camera ta, și după çe înclĭḑĭ ușa ta, rógă‐te a Tatăluĭ a tĕu açeluĭ de ascumta; și, Tatálŭ a tĕu care véde pe ascumtișaluĭ va s’ți plătéscă pe față.
MAT.6.7	Iară cândŭ vĕ rugațĭ s’nu ḑiçețĭ graie multe ca păngângĭlĭi; că a lorŭ lĕ se pare că cu multele a lor graie va s’hivă avḑițĭ.
MAT.6.8	Tr’açea s’nu le unzitĭ a lorŭ; că scie Tatălŭ a vostru d’açea çe avețĭ lipsă, nainte ca voĭ s’căftațĭ de la Elŭ.
MAT.6.9	Iară voĭ ași s’vĕ rugațĭ: Tatălŭ a nostru care esci în çerŭ, să se sânțéscă numa ta, 
MAT.6.10	S’v̄ină amirărilĭea ta; s’facă vrérea ta după cumŭ în çeru, ași și pre locŭ. 
MAT.6.11	Pănea nóstră, açea de tute ḑi ele, dă‐ne‐o a nóuĕ astăḑĭ. 
MAT.6.12	Și nĕ lĭ értă stepsurĭle a nóstre, după cumŭ și noĭ lĭertămŭ, a stepsițĭlorŭ a nostrorŭ. 
MAT.6.13	Și nu nĕ du tru cârtire, ma ascapă‐nĕ de açelŭ rĕu. Că a ta este amirărilĭea și putérea și gloria în ete, amin.
MAT.6.14	Că s’ éste că lĭertațlĭ a ómen̄ĭlorŭ stepsurĭle a lorŭ, va s’ vĕ lĭérta și a vóuĕ Tată ŭ a vostru açelŭ din çerŭ.
MAT.6.15	Ma s’ fure că voĭ nu lĭertațĭ a ómenĭlorŭ 
MAT.6.16	stepsurĭ ea lorŭ niçi Tatălŭ a vostru va s’lĭiértă stepsurile a vóstre. Și cândŭ agiunațĭ, s’ nu hițĭ ca ipocrițĭlĭi înverinațĭ; că elĭ aspargŭ fațele a lorŭ, tra s’ lĭ védă ómen̄ĭ ĭi că agiună. Dealihea vĕḑiçŭ, că ’șĭ au luată plata lorŭ. 
MAT.6.17	Ma tine cândŭ agiunĭ, ungețĭ capŭlu și spélă‐țĭ fața. 
MAT.6.18	Tra s’ nu hiĭ veḑutŭ de ómenĭ că agiunĭ, ma de la Tatălŭ a tĕu, care éste ascumta; și Tatălŭ a tĕu care véde pe aseumtișaluĭ, va s’ țĭ p’ătéscă pe față.
MAT.6.19	Nu v’adunațĭ v̄istére peste locŭ, iu mulĭița și arugina le sparge, și iu furĭlĭi le sapă și le fură. 
MAT.6.20	Ma adunațĭ vĕ v̄istére în çerŭ, iu niçi mulĭița, niçi a rugina le asparge, și iu furĭlĭi nu sapă niçi le fură. 
MAT.6.21	Că iu éste v̄isterea vóstră, aco o va s’ hibă și inima vóstră.
MAT.6.22	Căndila a trupŭluĭ éste oclĭulŭ; s’ fure că oclĭulŭ țĭ éste bunŭ, tutŭ trupŭlu atĕu va s’ țĭ hibă lum̄inatŭ. 
MAT.6.23	Ma s’fure că oclĭu ŭ țĭ éste rĕu, tutŭ trupŭlu va s’țĭ hibă întunecatŭ. Ma cândŭ um̄ina çe ésteîn tine éste întunérecŭ, întunérecŭlu câtŭ va s’hibă? 
MAT.6.24	Vêrnu nu póte să servéscă a doĭ domnĭ; că ică unŭ u va s’lu urască și alantŭ va s’lŭ va, ică de unŭ u va s’ aichéscă, și a antu nu va s’ va s’lu védă. Nu putețí să servițĭ la Dumneḑĕu și la Mamona.
MAT.6.25	Tr’açea vĕ ḑicŭ: nu vĕ minduițĭ tră bana vóstră, çe va s’ mâncațĭ și çe va s’ bețĭ; niçi tră trupŭlu a vostru cu çe va s’ vĕ învéscețî. Par‐că nu éste bana a vóstră cama multŭ de câtŭ hrana, și trupŭlu d’învéscerea?
MAT.6.26	Mutrițĭ pulĭi din çerŭ, că nu sémenă, niçi séçeră, niçi adună tru grănarŭ, și Tatălŭ a vostru din çerŭ îlĭ hrănésce. Par‐că nu hițĭ voĭ cama multŭ de câtŭ aeștĭ? 
MAT.6.27	Și care din voi cu minduirea luĭ póte s’adavgă unŭ cotŭ la stătura luĭ? 
MAT.6.28	Și tra ’nvescére çe vĕ minduițĭ? Mutrițĭ crinĭlĭi a câmpuluĭ cumŭ crescŭ; nu s’ curmă nici torcŭ. 
MAT.6.29	Ma vĕ ḑicŭ că niçi Solomonŭ în tută gloria luĭ, nu s’ învescu ca unŭ de aeștĭ. 
MAT.6.30	Și s’ fure că iar ba câmpuluĭ çe astăḑĭ éste și mâine s’ aruncă în cirépŭ, Dumneḑĕu ași o ’n’ vésce, nu cu multŭ cama multŭ voi cu puțină credință? 
