MAT.1.1	Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: 
MAT.2.4	Fɔɔnnɛ à taŋzɛ̀ngà ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey ɓɛ̀cèm rì ɓɛ̀rèsàg-ɓìdɔ̀gsɛna ɓɛ ɓi kìlɔ̀ŋ à tɔg ɓɔ jàŋ inɛ Kiris à ghɛ̀ɛ̀sɛ̀ngà kì yalɛɛ. 
MAT.2.5	Ɓɛ̀roɓɛ̀n ɓɛ ɓàg nyi lɛ: A Bɛtilɛhɛm ɓi ziì Zyude, lɛ ǹkpaŋzì-ɓìɓan a kàngà lɛ:
MAT.2.6	Wɔ̀ Bɛtilɛhɛm, ɓi kìden ki zi ki a Zyuda, ù yin loo maa bàn à zɛy rì zɛy ɓi nyìinyìm à bàn yi a Zyuda, lɛ a lɔ̀ŋkɔɔ ìnnɛ rìfòm ɗi ɗi ɓiì kɛ̀ɛ̀sii kilɔ̀ŋ kɛm̀ ki lɛ Isirayɛl, ɗi ɓiì kpaŋìì.
MAT.2.7	Fɔɔnnɛ Eroodɛ à reŋìghà min ɓɛyiì-ɓìɓan ɓɛǹ a dwìɗ, à tɔg ɓɔ lɛ ɓɛɛ konag nyi kì kpaà fin innɛ fyɛy fiǹ fi tumɛ̀ngà rìlòm. 
MAT.2.8	Nni à romgà min ɓɔ a Bɛtilɛhɛm, à kpaa ɓɔ lɛ: Kɛ̀ɛna kì kaà jàŋ inɛ man ànɛ̀n à rì lɛ tiɓ-tiɓ, i ɓì ghɛɛ nyi, ɓì yù mɛ̀ kì wogsii lɛ, mɛ̀ɛ ǹkɛǹ girig nyi kì ɓɔgsii.
MAT.2.9	Yɛ̀ɛ ɓɛ wokà ɓìɓan ɓi rìfòm ɗi kpaaghà ɓɔ ɓìn, nni ɓɛ kɛngà, ɓɛ ki sìgmɛn lɛ, fyɛy fi ɓɛ remzìghày a rìkpagìì ɗi ŋwos, fi ti ɓɔ ɓiì syòŋsyoŋi bee, a kpaŋ yɛ̀ɛ fi kɛngà kì rɛlii ɓi jàŋ inɛ man ànɛ̀n à ɓaghà. 
MAT.2.10	Yɛ̀ɛ ɓumɓɛ̀n ɓɛ ghɛngà fyɛy fiǹ, ɓɛ wokà kìnyàà lɛɛ̀gwey. 
MAT.2.11	Fɔɔnnɛ ɓɛ ɗiŋìghà ɓi naa, ɓɛ ghɛn man à m̀ɓwɛɗ rì Marii à jɛɛ, ɓɛ ɓag mɛ̀ɗu ɓi zi, ɓɛ ɓɔgsì man ànɛ̀n. Ɓɛ fumì min mɛtɛ̀g maa, ɓɛ fa nyi lɛ; rì gol rì àŋsaŋ rì miìr. 
MAT.2.12	Ajɛ̀m ìnɛn Bɛ̀ll à kalìghà ɓɔ a ɓìdɛ̀ndɛm̀ lɛ, ɓɛ̀ kɛɛ̀ sugti yɛ̀ɛ Eroodɛ. Fɔɔnnɛ ɓɛ sukà ɓi kìlɔ̀ŋ kaa ɓi bee ìdɛŋ.
MAT.2.13	Yɛ̀ɛ ɓɛ̀yiì-ɓìɓan ɓɛ ɓaghà di ɓɛ mɛ sug, nni ŋwaà-fìtom a Kan à rèsɛ̀ngà Yoosɛɓ a ɓìdɛ̀ndɛm̀, à kpaa nyi lɛ: Pɛ̀sɛn aɗyoo, ù teɗ lɛ rì maa man ànɛ, rì jɛɛ, ù ghɛŋi rì ɓɔ a Egiɓtɛn, u ki kɔ̀ri wɔɔ, à kpaŋ yɛ̀ɛ ǹɗì wɔ̀ ɓiì kalii lɛ, u sugtiì, ɓisuulɛ Eroodɛ à ɓiì kaakaa man ànɛ, lɛ a wey. 
MAT.2.14	Nni Yoosɛɓ à pɛ̀sɛ̀ngà aɗyoo, à teɗ lɛ rì maa man ànɛ̀n rì jɛɛ, ɓɛ ghɛŋì lɔŋ ri ìru wìn a Egiɓtɛn. 
MAT.2.15	À kɔ̀rìghà wɔɔ à kpaŋ yɛ̀ɛ Eroodɛ à wughà, lɛ kɛɛ kilɛn lɔŋ yɛ̀ɛ Kan à kpaaghà ɓi ŋwɔm wu ǹkpaŋzì-ɓìɓan lɛ: Mɛ̀ɛ ǹɗegii man wɛm̀ lɛ a kpaŋdɛn a Egiɓtɛn.
MAT.2.16	Nni yɛ̀ɛ Eroodɛ à ghɛngà lɛ, ɓɛ̀yiì-ɓìɓan ɓɛ m̀pwàa nyi, fɔɔnnɛ à wokà bim lɛɛ̀gwey, à ki rom ɓum lɛ ɓɛɛ kɛǹ kì cuusii ɓɔn ɓɛ̀cèm ɓɛ a Bɛtilɛhɛm à tumɛ̀n ɓi ɓɔn ɓɛ bèg yiɓɛɛ̀rɛn à sɛn, lɔŋ yɛ̀ɛ ɓɛ̀yiì-ɓìɓan ɓɛ reɓkà nyi, cààmɛ̀n ki fyɛy fi tumɛ̀ngà rìlòm. 
MAT.2.17	Kìɓan kiǹ kɛɛ roozìghà rìkpaa ɗi ǹkpaŋzì-ɓìɓan Zyeremii ɗi lɛ: 
MAT.2.18	Ɓɛ ǹwooghiì di ɓìkiŋ ɓi riì a Rama, rì mɛ̀kɛɛ̀gh, rì ɓìɓààsì, Rasyɛl nnyɛɛ rènɗen ɓɔn ɓii, kɛ̀ɛ gherɛn lɛ mum a fɔɔ̀si nyi ǹɗem ɓisuulɛ, ɓɔn ɓii ɓɛ mɛ cùù.
MAT.2.19	Yɛ̀ɛ Eroodɛ à wughà, nni ŋwaà-fìtom a Kan à rèsɛ̀ngà Yoosɛɓ a ɓìdɛ̀ndɛm̀ a Egiɓtɛn; 
MAT.2.20	à kpaa nyi lɛ: Pɛ̀sɛn aɗyoo, u teɗ lɛ rì man ànɛ rì jɛɛ, u sugti rì ɓɔ ɓi ziì Isirayɛl, lɛ ɓumɓɛ ɓɛ kaakàghà lɛ ɓɛɛ wey man ànɛ, ɓɛ mɛ cùù. 
MAT.2.21	Fɔɔnnɛ Yoosɛɓ à pɛ̀sɛ̀ngà aɗyoo, à teɗ lɛ rì man ànɛ̀n rì jɛɛ, ɓɛ sug ɓi zi ì Isirayɛl. 
MAT.2.22	Kìɓan kifog, yɛ̀ɛ Yoosɛɓ à wokà lɛ, Arikelawus yɛɛ ǹteri ìkɔ̀ɔ̀ wu rilàmì wu seŋi ànɛ lɛ Eroodɛ ɓi ziì Zyude, nni à risìghà lɛ a kɛǹ kì kɔ̀rii wɔɔ. Bɛ̀ll à reɓ nyi a ɓìdɛ̀ndɛm̀ lɛ a kɛǹ kì kɔ̀rii a Galile. 
MAT.2.23	Fɔɔnnɛ à kɛ̀ngà kì kɔ̀rii ɓi bàn ìdɛŋ ɗii lɛ Naazarɛt, lɛ kɛɛ kilɛn lɔŋ yɛ̀ɛ ɓɛ̀kpaŋzì-ɓìɓan ɓɛ lokà kì kalii lɛ: Ɓɛ regii gɛ nyi lɛ muu Naazarɛt.
MAT.3.1	Ɓi cààmɛ̀n kiǹ Zyaŋ Bàɓtis à peeghày ɓi-reɓ wu a Zyude, à kakàlì ɓum ɓìɓan ɓi Bɛ̀ll. 
MAT.3.2	À kpaakpààghà ɓum lɛ: Lɔ̀ɔ̀ghrɛɛna mɛ̀rem lɛ kìlɔ̀ŋ ki aɗyoo ki ti jàŋbog. 
MAT.3.3	Zyaŋ yɛɛ rì ŋwaànɛ ǹkpaŋzì-ɓìɓan Ezayii à ɓugà yɛ̀ɛ à kpaaghà lɛ:
MAT.3.3	Jɛ̀ɛ̀ ìnɛ ì rì jɛ̀ɛ̀ ì roànɛ a làalamɓɛ̀n yì ɓi-reɓ lɛ: Pègsɛɛna bee yi Kan, ɓì rɛsàg yɔ lɛ saaɗ.
MAT.3.4	Zyaŋ à waatɛ̀ngà kìlàà ki ɓɛ toŋi rì nyùŋ yi syàmo, à sìnɛ̀n kànɗa à gòò ì nyàm ɓi kìɓon; à ɗiɗìghà lɛ, rì ɓìtàtàɗ, rì mɔ̀ɔ mɛ ilòò mɛ ɓɛ Pisii yì ɓi cog. 
MAT.3.5	Fɔɔnnɛ ɓumɓɛ a Yorisalɛm, rì ɓɛ ɓi ziì Zyude bimiɗ, rì ɓɛ ɓi kòdò bimiɗ ànɛ à wuɓsɛɛ Zyuridɛŋ, ɓɛ yuyùghà a lɔ̀ŋkii; 
MAT.3.6	ɓɛ kpakpàg ɓìɓe ɓyaa, Zyaŋ à ki ɓàaɓaɓtì ɓɔ ɓi ǹsyòm wu lɛ Zyuridɛŋ.
MAT.3.7	Yɛ̀ɛ Zyaŋ à ghɛngà di Ɓɛ̀fàrìzyɛŋ ri Ɓɛ̀sàdùsyɛŋ lɛɛ̀gwey ɓɛɛ̀ yùyuiy a lɔ̀ŋkii lɛ ɓɛɛ ɓaɓti ɓɔ, nni à kpaaghà ɓɔ lɛ: Mini ɓumɓɛ ɓɛ pisɛɛ ɓìgòm ɓɛ! Ghɛn yɛɛ reɓi mìni lɛ ɓi ghɛŋi rìbaŋì ɗi Bɛ̀ll ɗi ɗi tiì? 
MAT.3.8	Kikiina min ɓiɓan ɓi ɓyɛɛ resi lɛ ɓì mɛ lɔ̀ɔ̀ghrɛn mɛrèm. 
MAT.3.9	Kɛ̀ ɓi fèg lɛ, lɔŋ rìkpaa ɗi lɛ, Abiraham à rì seŋi wìs ɗi ghɛɛ̀sɛɛ. Ǹkalii mìni lɛ: Bɛ̀ll à rì lɛ à ghaasì gɔ̀g yi ɓɔn ɓɛ Abiraham. 
MAT.3.10	Fìseŋ fyɛɛ ti gì kɔmiɗ lɛ fìnɔ̀ŋziyɛn a gaŋ yi ɓite. Fɔɔnnɛ kìte kicèm ki kaa wum ɓi ɓiɗùn ɓi syeesyee, ɓɛ ɓiì rengii kɔ ɓɛ woǹ ɓi ɗuù. 
MAT.3.11	Mɛ̀ɛ m̀ɓàaɓaɓtì mìni rì mɛ̀nig lɛ ɓì lɔ̀ɔ̀ghrɛɛ mɛ̀rem, kìɓan kifog roànɛ à rìì mɛ̀ ajɛ̀m à cee mɛ̀ ɓi-tèɗ; nyii ri mìni ɓiì ɓàɓtii lɛ rì Kìtɛntɛ̀ɛ̀n ki Nghay, rì ɗuu. Mɛ̀ ǹkpaŋi gì ɓi ɓi ǹkoŋ wulɛ ǹsɔ̀ŋì nyi gòò ɓi mɛ̀kòò. 
MAT.3.12	À rìì rì mɛ̀tɛŋkɛlɛ mii ɓi càg, fɔɔnnɛ à ɓiì fyɔnì kìbog kii à foŋ gèŋ i cag-cag ɓi ɓìkàɗ; wɔ̀lɛ à tɔ̀n ɓìkoroɗ ɓi ɗuu ɗi ɗyɛ̀ kɛɛ̀ ɗimi.
MAT.3.13	Nni Yeesus à pɛ̀sɛ̀ngày a Galile à yù ɓi Zyuridɛŋ yɛ̀ɛ Zyaŋ lɛ a ɓaɓti nyi. 
MAT.3.14	Wɔ̀lɛ Zyaŋ à ɓèngà nyi kì ɓàɓtii à kpaa lɛ: Mɛ̀ yaa ghɛ̀ɛ̀sɛɛ lɛ, ǹ-yù a lɔ̀ŋkɔɔ lɛ u ɓaɓti mɛ̀, nni lannɛ wɔ̀ yɛɛ ki yuù yì a lɔ̀ŋkɛm̀? 
MAT.3.15	Yeesus à ɓàg nyi lɛ: Gherɛn lɛ kɛɛ kilɛn fɔlɔɔ ɓigomìnɛ lɛ, tì ghɛ̀ɛ̀sɛɛ lɛ tì roòzì ɓìɓan ɓìcèm ɓi Bɛ̀ll a tɔtɔ̀g. Fɔɔnnɛ Zyaŋ à ki ɓunɛ̀ngà min. 
MAT.3.16	Lɔŋ yɛ̀ɛ ɓɛ ɓaɓtìghà Yeesus, à kpaŋ yì ɓi mɛ̀nig, nni ɗyoo ɗi nɛmɓɛ̀ngà à ghɛn di Nghay à Bɛ̀ll a sɛnsɛn yi yɛ̀ɛ kuùkuù, à yùyùy nyi ɓi nyoo. 
MAT.3.17	Nni jɛ̀ɛ̀ ì ɓaghày ɓi ɗyoo ì kpaa lɛ: Roànɛ à rì Man wɛm̀ ànɛ ǹkeesii, ɓi nyi nnɛ ǹfogà ǹkɔ̀nɛ̀n wɛ̀m bimiɗ.
MAT.4.1	Ajɛ̀m ìnɛn nnɛ Ǹghay à kèngɛ̀ rì Yeesus ɓi-reɓ lɛ Satàn a feèghrɛn nyi. 
MAT.4.2	Yɛ̀ɛ Yeesus à ghagsighà ɓɛ̀ŋwos mɛtin mɛɓɛɛ̀ rì mɛ̀ru mɛ̀tin mɛɓɛɛ̀ wɔɔ kɛ̀ɛ ɗi com, nni zày ì kɔ̀ngà nyi. 
MAT.4.3	Fɔɔnnɛ ǹfèèghrɛ̀n-ɓum à tyɛ̀ɛ̀tɛ̀ngà nyi jàŋbog, à kpaa nyi lɛ: I ù rì Man à Bɛ̀ll kali gɔ̀g yi, yɛɛ ghay ɓìɗilàg.
MAT.4.4	Yeesus à ɓàg nyi lɛ: Ki ri kì kànɛn lɛ: Àa ɓìɗilàg ɓyɔ rì ɓyɔ ɓyɛɛ ri ɓiì kìi lɛ mum a ghɛɓ, lɔŋ jɛ̀ɛ̀ bimiɗ ìnɛ ì kpaŋiì ɓi ŋwɔm wu Bɛ̀ll. 
MAT.4.5	Nni Satàn a tekà nyi, à kɛ̀n ɗì nyi ɓi bàn ìnɛ ì rì ǹtɛnɛn, à ɓɔgsì nyi ɓi fìran fi naà-Bɛ̀ll aɗyòò, 
MAT.4.6	à kpaa nyi lɛ: I ù rì Man à Bɛ̀ll lɛla ɓi zi, lɛ ki ri kì kànɛn lɛ: Bɛ̀ll à ɓiì kpaà ɓum ɓii ɓɛ titom lɛ, ɓɛɛ yu wɔ̀ kì lɛ̀ŋlɛŋi ɓi ɓyàg ɓyaa, lɛ kɔ̀ɔ tuusi ikòò ɓi gɔ̀g.
MAT.4.7	Yeesus à kpaa nyi lɛ: Ki ri girig kì kànɛn lɛ:
MAT.4.7	Kɔ̀ɔ fèèghrɛn Kan Bɛ̀ll wɔ̀ɔ̀.
MAT.4.8	Fɔɔnnɛ Satàn a tɛ̀gtìghà Yeesus lɛ leg à kɛ̀n ɗì nyi ɓi coo dòn aɗyoo à rèsi nyi ɓìlɔ̀ŋ ɓi ɓi ziinɛ ɓìcèm, rì rìkem ɗi ɓi ɓìlɔ̀ŋ ɓiǹ. 
MAT.4.9	À ki kpaa nyi lɛ: Ǹɗì wɔ̀ ɓiì faà ɓyom ɓi ɓìcèm di ù ɓaagh mɛ̀ mɛ̀ɗu asu, ù ɓɔgsì mɛ̀. 
MAT.4.10	Nni Yeesus à ɓàkà nyi lɛ: Satàn, pɛ̀sɛn mɛ̀ ɓi mis! Lɛ ki ri kì kànɛn lɛ:
MAT.4.10	Ù ghɛ̀ɛ̀sɛɛ kì ɓɔgsii Kan Bɛ̀ll wɔ̀ɔ̀, lɔŋ nyi cɛ̀ncii nnɛ ù kì kìsay. 
MAT.4.11	Fɔɔnnɛ Satàn à caɗkà min Yeesus. Ɓum ɓɛ titom ɓɛ yu nyi a nyoo, ɓɛ kikì nyi tìtom.
MAT.4.12	Yɛ̀ɛ Yeesus à wokà lɛ, ɓɛ mɓani Zyaŋ, ɓɛ piìg ɓi naà-zày, nni à kɛ̀ngà a Galile. 
MAT.4.13	À pɛ̀sɛ̀ngà a Naazarɛt, à kɛ̀n kì kɔ̀rii a Kapɛrinawum ànɛ à rì jàŋbog rì rìɓày à kìkòn, ɓi kìden ki zi ki ɓɔn ɓɛ Zaɓulon ri ɓɛ Nɛftalii. 
MAT.4.14	A kìghà fɔlɔɔ lɛ, a roòzi rìkpaa ɗi ǹkpaŋzì-ɓìɓan Ezayii à kpaaghà lɛ:
MAT.4.15	Ziì Zaɓulon rì ì Nɛftalii, jaŋ yi yi ri ɓi bèn ì rìɓày, nsoò lɛ cɛcɛɗ ki Zyuridɛŋ, Galile à ɓumɓɛ ɓɛ a yin Ɓɛ̀yudɛ̀n! 
MAT.4.16	Kìlɔ̀ŋ ki ki ɓaghà kìkɔ̀kɔriyɛn ɓi birìm, ki ǹghɛɛ coo kitɛɛtɛ̀n; fɔɔnnɛ kìtɛɛtɛn ki ǹlòmi a ɓɛ̀roɓɛ ɓɛ ǹɗì ɓi kìlɔ̀ŋ ki ɓi birìm ì rìwu ɓi ɗùm. 
MAT.4.17	Ɓi cààmɛ̀n kiǹ innɛ Yeesus à tumɛ̀ngà rìkpaakpàà ɗi ɓìɓan ɓi Bɛ̀ll, à kakàlì ɓum lɛ: Lɔ̀ɔ̀ghrɛɛna mɛ̀rem, lɛ kìlɔ̀ŋ ki aɗyoo ki ti jàŋbog. 
MAT.4.18	Yɛ̀ɛ Yeesus à kɛ̀ɛ̀kɛ̀ɛ̀ghà ɓi bèn ì rìɓày ànɛ a Galile nni à ghɛngà rìgeni ɗi lɛ rì Simɔn ànɛ ɓɛ ǹɗegì lɛ Pyɛɛri rì Andire à geni di ɓɛɛ pìpig dam ɓi rìɓày lɛ ɓɛ ɓaghà ɓɛ̀pììgh-dam. 
MAT.4.19	Nni à kpaaghà ɓɔ lɛ: Nɔ̀ɔ̀tiina mɛ̀, di ǹki lɛ ɓi ɓa ɓɛ̀syoŋì-ɓum. 
MAT.4.20	Fɔɔnnɛ ɓɛ ghaskà kì naŋì dam yaa, ɓɛ nɔ̀ɔ̀tì nyi. 
MAT.4.21	Yɛ̀ɛ à kɛ̀ɛ̀dìghà tì beèbɛ̀y, nni à ghɛɛdìghà tì rìgeni ɗìdɛŋ ɓɛ̀sɛ̀ɛ̀ ɓɛɓɛɛ̀rɛn, lɛ rì Zyag rì Zyaŋ ɓɔn ɓɛ Zeɓede. Ɓɛ ɓaghà ɓi kìkɔm rì Zeɓede à seŋi wàà, ɓɛ ki pèeghpegsɛ̀n dam yaa, nni Yeesus à reŋìghà ɓɔ. 
MAT.4.22	Fɔɔnnɛ ɓɛ ghaskà kì rinii lɛ rì dam yaa, rì seŋi wàà, ɓɛ nɔɔ̀tì nyi.
MAT.4.23	Yeesus à rerènìghà ziì Galile bimiɗ di a rèresi ɓum ɓìɓan ɓi Bɛ̀ll ɓi naa yi bɔ̀ŋzɛ̀n, à lààlàmɓɛ̀n Syeesyee à Ɓɔlɛ à kìlɔ̀ŋ ki Bɛ̀ll. À wɔ̀ɔ̀wɔ̀ɔ̀zì tìroɓ rì ɓìlɛm mɛ̀kuu mɛ̀cèm. 
MAT.4.24	Rìkem ɗii ɗi saaghà jàŋbimiɗ a Sirii, fɔɔnnɛ ɓɛ yuyùghày nyi lɛ, rì ɓum ɓɛ̀cèm ɓɛ ɓɛ roròɓkà tìroɓ mɛ̀kuu mɛ̀kuu rì, ɓɛ ɓɛ wowòkà rìkɛŋ bee lɛ bee, ri ɓɛ̀roɓɛ ɓɛ ɓaghà rì ɓìɓeɓtàg ɓi mɛghay, rì ɓɛ̀roɓì kìtìs, rì ɓìsɛkɛ̀rɛ̀, Yeesus à ki wɔ̀ɔwɔɔ̀zì ɓɔ. 
MAT.4.25	Ɓìtuu ɓi ɓum ɓi pɛsɛ̀ngày lɛ, rì a Galile, rì a bàn ǹtɛ̀ɗ, rì a Yorisalɛm, rì a Zyude, ri cɛcɛɗ ki Zyuridɛŋ, ɓi nɔɔ̀tì nyi.
MAT.5.1	Yɛ̀ɛ Yeesus à ghɛngà ɓìtuu ɓi ɓum ɓìn, nni à ɓɔkà ɓi dòn aɗyoo à kɔ̀rì ɓi zi, ɓɛ̀yilàg ɓii ɓɛ tyɛɛ̀tɛ̀n nyi a nyòò. 
MAT.5.2	Fɔɔnnɛ à tumɛ̀ngà ɓɔ rìrèsàg à kpaa lɛ:
MAT.5.3	Mààgh rì ɓumɓɛ ɓɛ yii lɛ ɓɛ ri nyìighnyìg, ɓi mɛ̀ghay maa ɓisuulɛ kìlɔ̀ŋ ki aɗyoo ki ri ɓisu wàà.
MAT.5.4	Mààgh rì ɓumɓɛ ɓɛ ri rì misì ɓi mɛ̀tam, lɛ Bɛ̀ll à ri fɔɔsi ɓɔ mɛ̀rem.
MAT.5.5	Mààgh rì ɓumɓɛ ɓɛ ri mɛ̀rem lɛ fyòoog, lɛ zi ì ri wooghrɛn ri ɓɔ.
MAT.5.6	Mààgh rì ɓumɓɛ ɓɛ ri rì coo zày lɛ, di saaɗ áa ɓaa, lɛ ɓɛ ɓiì wurii.
MAT.5.7	Mààgh rì ɓumɓɛ ɓɛ ti ɓɛ wokì ɓɛ̀ro ɓɛmbog nyìighnyìg, ɓisuulɛ Bɛ̀ll à ri wog ɓɔ nyìighnyìg.
MAT.5.8	Mààgh rì ɓumɓɛ ɓɛ ri mɛ̀rem mɛ̀tɛnɛn, lɛ ɓɛ ri ghɛn Bɛ̀ll.
MAT.5.9	Mààgh rì ɓumɓɛ ɓɛɛ̀ kìki lɛ, fyòoog a ɓa ɓi nyìinyìm à ɓum, lɛ ɓɛ ri reŋi ɓɔ lɛ ɓɔn ɓɛ Bɛ̀ll.
MAT.5.10	Mààgh rì ɓɛ̀roɓɛ ɓɛɛ̀ tuutulɛ̀n rì mɛ̀tɔɓ ɓisuu saaɗ, à rìren ɗi ɓiɓan, ɓisuulɛ kìlɔ̀ŋ ki aɗyoo ki ri ɓìsu wàà.
MAT.5.11	Yiina lɛ, ɓì rì rì ɓɛ̀mààgh di ɓum ɓɛɛ̀ sɛɛsɛmgì mìni, ɓɛ tɔtɔ̀ɓ mìni, ɓɛ ki renɗen mini ɓìɓan ɓi nyoo zàɓ yi aɗyoo yìcèm ɓìsu wɛ̀m. 
