MAT.1.1	Hên né dɔ̀gɔ̀tì bɔ̀ nùàr Yeésò *Kristò. À né *ndùté ndùtù Davîd; Davîd né ndùté ndùtù Abrahâm.
MAT.1.19	Josêf si seèn lé naâ nùà dùlà-Càŋ. À yeé ŋene aá ménâ, à gwàn ŋgwéh bú cie tueé sɔɔ̀m, à kaga lom aá ndòn, ye nyí nde né bú lè nábe ŋgɔɔ́n lɔɔ́. 
MAT.1.20	À yeé baá ménâ munó den, cìlì Càŋ Nùà Dueè ŋené yuo kelà toò seèn lè vuû, ye bú a: «Josêf, ndùté ndùtù *Davîd, té vèh. Wèh veèh yeè Marî doô weèh; à ma mé lèì hueêh ŋa né mé terreb Cúcuí Ŋagâ. 
MAT.1.21	À nde né huaán dé siîb ŋar, wò yilá bú Yeésò, 
MAT.1.22	Sâ dɔɔ́ŋ bɔɔ́ gi né te yuo faá Càŋ lé tueé keéh naâ sònò sòn-seèn déì nɔ, ye: 
MAT.1.23	«Mbò yàgà déì nde né lèì weh, à ŋar huaán dé siîb, bɔ́ yilá bú Èmánuèl.» Èmánuèl sâ tueé né ye: Càŋ baá ká lètenè beèh.
MAT.1.24	Josêf nyimé yuoô ndɔ, à bɔɔ́ faá cìlì Càŋ Nùà Dueè tueé naâ bú nɔ: bɔ́ colo haá bú veèh seèn. 
MAT.1.25	Bɔ́ bú ka ndagá bílí ŋgwéh, méménâ tɔ́g Marî yeé ŋar aá, Josêf yilá huaán Yeésò ndɔ.
MAT.2.1	Bɔ́ lé Yeésò ŋaár naâ ké Betelehem,
MAT.2.2	bɔ́ bie ye: «Bɔ́ lé Mgbè bɔ̀ *Jûf ŋaár naâ he wa? Béh lé ŋene kɔɔ̀ naâ mé mbentò seèn gè Bà; béh hên ndeè né bú die weh.» 
MAT.2.3	Te mgbè Herôde yeé nde ŋgweé njií mân, feh ŋellé bú ter, mé bɔ̀ Jerusalem bɔ̀ mene; 
MAT.2.4	à yilá bilí bɔ̀ *ŋgàŋ sèmè dé kokoô mé bɔ̀ *njí-sóù te tàbè seèn dɔɔ́ŋ, à bie njií mé bɔ́, ye bɔ́ a: «Bɔ́ lɔ ye, bɔ́ ndeè *Nùà Cɔ̀ŋ
MAT.2.5	Bɔ́ ye bú a: «Bɔ́ lɔ ye, bɔ́ ndeè bú ŋar nde né ká te tàbè Judê hên lè lɔɔ́ Betelehem mà. *Sòn-Càŋ lé nyagá kwaá naâ te mvù ménâ kɔɔ́, ye:
MAT.2.6	te tàbè Judê dɔɔ́ŋ,
MAT.2.6	Mgbè Dueè yuo ndeè né beè yeè,
MAT.2.6	te à feh dàm bɔ̀ nùàr mò *Iserálà ceér.»
MAT.2.7	Mgbè Herôde yeé ŋgweé gi aá ménâ, à yilá nab njiî bɔ̀ fém bɔ̀ doô ká toò seèn, te à bie ŋgweé nyegé sònò bɔɔ̀n cu mé mbentò sâ lé ba duɔɔ́m naâ teèn. 
MAT.2.8	Jomo sâ à ye bɔ́ a: «Bí ndé-re, né ké Betelehem; bí fɔ́n nyégé ká huaán sâ bagasé, mɔ bí ŋene aá bú, bí cuù, bí tueé keéh mè teèn; te mè nde ké toò seèn mé feh mò ménâ cemmé weh ndɔ.»
MAT.2.9	Mgbè Herôde yeé tueé gi aá bɔ́ mân, bɔ́ sɔm gò. Bɔ́ ke mbentò mé bɔ́ lé ŋenè naâ gè Bà doô baá cu toò bɔɔ̀n baá kelá; bɔ́ né ndeé, à né ka méménâ baá ndeé den. Bɔ́ yeé wa baá ké teèn, mbentò ba njebá le ké ter felè gwà mé huaán né teèn. 
MAT.2.10	Bɔ́ yeé ŋene kɔ aá ménâ, vràb die, yo taré ŋellé bɔ́ dɔɔ́ŋ. 
MAT.2.11	Bɔ́ samé yila nde gwò, bɔ́ ŋene njií huaán bɔ̂ meí seèn Marî, bɔ́ cemmé nde gi doó toò huaân, bɔ́ komó lɔgɔ́ bɔ̀ ba bɔɔ̀n, bɔ́ haá bele bú bɔ̀ njèh huaân feh hihiné, bɔ̀ goó, bɔ̀ san, mé bɔ̀ kómó múmû.
MAT.2.12	Jomo sâ vuú kulu bɔ́ ndɔ, Càŋ ye bɔ́ a: «Mɔ bí baá mé gò lɔɔ̂, bí té ké yoòr Herôde kélá cú.» Yeé baá ménâ, bɔ́ kela seér baá-re ceér dé hiîn, bɔ́ nde cu lɔ bɔɔ̀n.
MAT.2.13	Bɔ̀ fém bɔ̀ doô yeé nde gi aá, cìlì Càŋ Nùà Dueè nde ŋené yuo kela cuù ké toò Josêf lè vuû, ye bú a: «Wùò ter, wèh huaán bɔ̂ meí, bí bɔ́ dùlà ndé ké Ejíptò, bí den den ké sâ, kɔ mè tueé cu aá wò kɔɔ́, bí cu cuù ye; wanɔɔ́ŋ Herôde nde aá huaán fɔɔ́n, te à wula sɔm bú.» 
MAT.2.14	Josêf komo wuo ter kwar ndɔ, à weh huaán bɔ̂ meí, bɔ́ bɔ́ dula ŋaga cíbíteèn, bɔ́ fɔɔ́n gò Ejíptò. 
MAT.2.15	Bɔ́ ké teèn cer den ka ménâ, tɔ́g nde wa mé cio Herôde. Sâ dɔɔ́ŋ bɔɔ́ gi né te yuo faá Càŋ Dueè lé tueé keéh naâ sònò sòn-seèn déì nɔ, ye: «Mè yilá sɔm aá huaán mò ké Ejíptò kèn.»
MAT.2.16	Herôde yeé ŋgweé bɔ̀ fém bɔ̀ pɔ lɔ aá bú ménâ, temé bɔgɔ́ ŋaâ bú ká jomo lè. À tema njií ye bɔ́ ndé kɔ̀rè wúlá gí bɔ̀ huaán dé sisiîb ké Betelehem mé kukwarè mene dɔɔ́ŋ, wa bɔ́ dùɔ̀m mé bɔ̀ huaán mbembɔgɔ̀, nde wa mé bɔ̀ huaán dé nyèmà fèfà ma. À lé sâ taáŋ naâ mé nyèmà mbentò, mé bɔ̀ fém bɔ̀ lé tueé naâ bú doô. 
MAT.2.17	Sâ dɔɔ́ŋ yuo gi né faá Jeremî *sòn-Càŋ lé naá giì tueé kwaá nɔ, ye:
MAT.2.18	Né Ràchêl yueé den né bɔ̀ ŋuna. Ye bɔ́ yì nyí be,
MAT.2.18	bɔ̀ huaán nyî kuú gi aá, nùàr té nyí bɔ̀ŋ gùm dɔɔ́ŋ.»
MAT.2.19	Herôde yeé kuú aá, cìlì Càŋ Nùà Dueè nde ŋené yuo kela cuù ké Ejíptò toò Josêf lè vuû, 
MAT.2.20	ye bú a: «Wùò ter, weh huaán bɔ̂ meí, bí bɔ́ cu cu ké *Iserálà; bɔ̀ɔ́ mé lé gwaán naâ huaán wulâ doô kuú gi aá kèn.» 
MAT.2.21	Josêf komo wuo ter ndɔ, weh huaán bɔ̂ meí, bɔ́ bɔ́ cu cu ké lè tàbè Iserálà. 
MAT.2.22	Wa ké teèn, à ŋgweé njií ye Arkelayúsè né ké Judê te kɔgɔ Herôde tele seèn kɔɔ́. Veéh sie bú, à gwàn cú ké teèn ceèr. Yeé baá mân, vuú feh bú ceér, à nde cer seér ké Galilê 
MAT.2.23	te lɔɔ́ Najarêt. Sâ dɔɔ́ŋ bɔɔ́ gi né te yuo faá bɔ̀ sòn-Càŋ bɔ̀ lé tueé naâ nɔ, ye: «Bɔ́ yilá nde né bú nùà Najarêt.»
MAT.3.1	Nde nde, Jâŋ Bàptîs ŋené yuo kelà ké ya dueè te tàbè Judê, à né ŋgòr Càŋ teèn tueé, ye bɔ̀ nùàr a: 
MAT.3.2	«Bí yúé fɔ́n feh biì yueè, bí kwéh sér temé. Càŋ baá mbàm seèn ká kwarè biì si njiî.» 
MAT.3.3	Jâŋ né nuaá mé Esáyà *sòn-Càŋ lé naâ felè seèn tueé ye:
MAT.3.3	«Hueh nuaré déì né ké ya dueè ŋgulí den, ye:
MAT.3.3	Bí tɔ́ nyégé ceér Nùà Dueè tɔɔ̀,
MAT.3.3	bí tɔ́ dìlì nyégé bagasé.»
MAT.3.5	Bɔ̀ Jerusalem bɔ̀ lé naá giì yoòr seèn kem ndeé, mé bɔ̀ nùàr te tàbè Judê sâ dɔɔ́ŋ. Bɔ̀ɔ́ mé né ké kwarè nòmò Jurdên dɔɔ́ŋ kem nde gi ké yoòr Jâŋ ménâ ndɔ. 
MAT.3.6	Bɔ́ né veên bɔɔ̀n cie tueé sɔm, Jâŋ né bɔ́ dùà Jurdên kou den.
MAT.3.8	Sâ bí bɔ́-re faá Càŋ gwaán nê nɔ, te feh keéh ye, kènê bí kweéh seér aá temé kèn. 
MAT.3.9	Bí té mé huún biì mbaá mùnò kú, ye: Abrahâm, tele beèh dé koô né teèn. Bí kɔ́ɔ ye, Càŋ né mé terreb bɔ̀ taá hên kwellé seêr, te ŋa bɔ̀ ndùté ndùtù Abrahâm. 
MAT.3.10	Mè tueé bí, mbɔ̀gɔ̀ fa gi aá kèn, baá gi ka toû. Toú mé tàb dé bagaà wá ŋgwéh dɔɔ́ŋ, bɔ́ nde né bú tuar komo fuú njií. 
MAT.3.11	Mè bí kou lom né dé mò mé nòmò, te feh keéh ye bí baá temé kweéh seér. Nuaré déì baá jomo mò ndeê, taré kela né bú mé mè. Né mene débágá seèn, mè wúlú ŋgwéh nuaá mé nde né bú débágá seèn huaár. À bí dé seèn kou nde né mé Cúcuí Ŋagâ bɔ̂ we. 
MAT.3.12	À beè né mé suúŋ, à nde né mvum bɔ̂ tùlù mé njéh nyegé geé; à nde né mvum ter te mbèŋ kwaá, à tùlù kobo su njií ké tuar te we mé nyímé bèh.»
MAT.3.13	Jomo sâ Yeésò yuoô ké Galilê, à nde ké dùà Jurdên, te Jâŋ kou bú ndɔ. 
MAT.3.14	Wa ké teèn, Jâŋ berɔ́ŋ ye bú a: «Wò sé la kou seér naâ mè kɔɔ́, wanɔɔ́ŋ mè mò wò kou nde né naàn wa!» 
MAT.3.15	Mé njéh mene, Yeésò ye bú a: «Né dé kènê; gwàn ŋgɔ́gɔ yeè gwaàn. Kɔ béh bɔɔ́ gi ka ménâ dɔɔ́ŋ, te yuo ye faá Càŋ gwaán nê nɔ.» Yeé baá ménâ, Jâŋ gwaán ndɔ. 
MAT.3.16	À yeé kou sɔm aá bú, Yeésò yuo kela cuù ká cie. À yeé ke, vulú gulu lɔgɔ́ baá ké ter, à ŋene njií Cúcuí Càŋ baá ké ter faá vɔgɔb nɔ suagâ, waà die felè seèn. 
MAT.3.17	Hueh déì né ké jomo te vulúu ŋgulí, ye: «Hên né huaán yíé-temê mò; temé mò né lè mé bú nɔré.»
MAT.4.2	À sɔɔ́ ké teèn cieé yulà nèà, cibí yulà nèà ndɔ; à njeré déì sònò nágá kéh ŋgwéh. Jomo sâ, cùè yeé baá bú sie, 
MAT.4.3	táhòrò doô ŋgoró nde ké kwarè seèn, ye bú a: «Mɔ wò né ka Ŋunà Càŋ bɔ̀n, jɔ̀gɔ̀ júé ke ye bɔ̀ taá hên a, ŋá ke sér ye.» 
MAT.4.4	Yeésò ye bú a: «Né te mvù Càŋe nyagá den ye: Nùàr mé ndândaà sêr yìlì lòm ndé ŋgwéh, à yili seér nde né mé ŋgòr mé yuo giì né sònò Càŋ.»
MAT.4.5	Yeé baá ménâ, táhòrò doô weh njií bú te lɔɔ́ joloò, à weh ŋaá mé bú ké te ndɔ́ŋ gwà Càŋ koô, 
MAT.4.6	ye bú a: «Mɔ wò né ka Ŋunà Càŋ bɔ̀n, sâ lɔ́ súágá ké doó lòù; né gi te mvù Càŋe nyagá den ye: Càŋ nde né bɔ̀ cìlì seèn felè yeè tueé, te bɔ́ kwa sie wò teter, gule yeè te taá déì cén cú.» 
MAT.4.7	Yeésò ye bú a: «Né te mvù Càŋe nyagá den ye: Té Càŋ Dueè Nùà koô yeè sòn félá.»
MAT.4.8	Sátàn nde weh ŋaá cu mé bú ké te ndɔ́ŋ tòr déì dàbsé mân. Wa ké teèn, à feh laré bú lò nùàr ká doó dɔɔ́ŋ mé ŋgùlù bɔɔ̀n mene, 
MAT.4.9	ye bú a: «Mɔ wò cemmé né ka mò, wò né mè die, sâ mè bɔ̀ njií hên dɔɔ́ŋ haá gi nde né mé wò.» 
MAT.4.10	Yeésò ye bú a: «Yùò doó sâ nɔɔ́ŋ, Sátàn. Né gi te mvù Càŋe nyagá den ye: Cémmé cégé toò Càŋ Dueè Nùà koô yeè, wò die lom bú.» 
MAT.4.11	Sátàn kwaá lɔɔ́ bú ndɔ. Bɔ̀ cìlì Càŋ waà, bɔ́ taré cu bú yo.
MAT.4.13	À kwaá lɔɔ̀ Najarêt, à nde cer den ké Kapernahûm; lɔɔ́ sâ né ké sòn tub Galilê mân, né te gwèn tàbè Jebulɔ̂ŋ bɔ̂ Naftalî. 
MAT.4.14	Sâ dɔɔ́ŋ bɔɔ́ gi né te yuo faá Esáyà *sòn-Càŋ lé naâ tueé nɔ ye:
MAT.4.15	mé nòmò Jurdên né ká jomo doô,
MAT.4.15	mè jue né Galilê tàbè bɔ̀ kurû,
MAT.4.16	bɔ́ né gi te cibî cer den,
MAT.4.16	bɔ́ nde né meì bɔ̀ ŋagâ ŋené.
MAT.4.16	Ŋagâ te lò bɔ̀ cio bɔ̀ waà baá kèn.»
MAT.4.18	Cieé déì Yeésò yeé baá ké sòn tub Galilê, à né sòn nòmò bele ndeé, à ŋene njií nuaré déì bɔ̂ dìm né ndoór
MAT.4.19	Yeésò ye bɔ́ a: «Bí bèlè mè; mè bí kènê sie kwaá seér nde aá bɔ̀ kòrò nùàr.» 
MAT.4.20	Bɔ́ vu njií ndoór doó lè sòn Yeésò, bɔ́ yuo bele bú ndɔ.
MAT.4.21	À né ka ndeé. Wa beré déì, à ŋene njií cu bɔ̀ fà bɔ̀ déì, Jâk bɔ̂ dìm seèn Jâŋ; né bɔ̀ ŋunà Jebedê. Sâ, bɔ́ bɔ̀ tele bɔɔ̀n Jebedê né gi lè kɔme, bɔ́ né ndoór bɔɔ́ nyegé. Yeésò yilá njií cu bɔ́. 
MAT.4.22	Bɔ́ komo wuo ter kwar, bɔ́ kwaá lɔ tele bɔɔ̀n mé kɔm mene, bɔ́ yuo bele bú.
MAT.4.24	Bɔ̀ɔ́ mé né lè tàbè Sirî mene dɔɔ́ŋ ŋgweé gi njàgà seèn. Bɔ́ né mé bɔ̀ beén bɔ̀ hihiné toò seèn weh ndeê: bɔ̀ déì lé naâ mé tándulu yoòr, bɔ̀ déì né bɔ̀ tì bɔ̀, bɔ̀ déì gule mé be né kuú, dɔɔ́ŋ à lé naá giì bɔ́ taré sɔm. 
MAT.4.25	Cìlì nùàr mé lò hihiné né lom bú jomo kem bele: bɔ̀ déì yuoô te lò Galilê, bɔ̀ déì te lò Dèkàpòlî,
MAT.5.1	Sâ Yeésò ŋene njií né cìlì nùàr mé né doó merré den, à ŋaá nde ké te tòre, à den den ké sâ. Bɔ̀ mbɔ̀ŋ ŋgoró nde ké kwarè seèn ndɔ. 
MAT.5.2	À duɔɔ́m bɔ́ njèh feèh, ye bɔ́ a:
MAT.5.3	«Samésé né bɔ̀ɔ́ mé né saám yoòr bɔɔ̀n ŋené kɔɔ́;
MAT.5.3	*Lò Càŋ né dé bɔɔ̀n!
MAT.5.6	temé nde né bɔ́ lè dɔlé.
MAT.5.7	Samésé né bɔ̀ɔ́ mé né bɔ̀ mbeí jere kɔɔ́;
MAT.5.7	Càŋ kɔ nde né bɔ́ jere ménâ ndɔ!
MAT.5.8	bɔ́ nde né Càŋ mé njolo ŋené!
MAT.5.9	Samésé né bɔ̀ɔ́ mé né dɔlê lètenè bɔ̀ mbaábɔn goó su; Càŋ nde né bɔ́ bɔ̀ ŋuna seèn yilá!
MAT.5.13	«Dé biì, bí né toò bɔ̀ nùàr faá túɔ́m nɔ. Mɔ túɔ́m cuaré baá, bɔ́ bɔɔ́ ŋgulí cu nde né bú naàn wa? Sâ gi aá kèn; à njeré déì gàm ndé cú; bɔ́ bú su njií nde aá doó, bɔ̀ nùàr dobo fulú kela teèn.
MAT.5.15	Bɔ́ lâm mɔ̀gɔ̀ bèh, ye te bɔ́ kibí kwaá ka sɔɔ̀. Bɔ́ lâm mɔgɔ seér né te bɔ́ tuú njií yí te súgo, te bɔ̀ gwò bɔ̀ ŋene njolo mé njéh. 
MAT.5.16	Bí bá ŋágá toò bɔ̀ nùàr ménâ ndɔ, te bɔ́ ŋene kɔ seé bagaà biì teèn, bɔ́ seén Tele biì ké te vulúu.»
MAT.5.17	«Bí té mùnò ye mè ndeè naâ *sóú Músì mé ŋgòr bɔ̀ *sòn-Càŋ bɔ̀ ŋellé sɔm. Cí sam, mè ndeè naâ bɔ́ lòù mboón seér. 
MAT.5.18	Mè né tueé ye bí a, mɔ vulú bɔ̂ tàbè née ka te be sâ, ndɔ́g njolo sóù déì kèh nyì ndé ŋgwéh. Le den nde né kɔ́bè sâ, kɔ loù mé njèh dɔɔ́ŋ mboón aá, sâ ye. 
MAT.5.19	Sâ mɔ né mân, nuaá mé keh luar sɔm njolo sóù déì, à feh bɔ̀ mbeí ménâ ndɔ, nùà sâ luar le nde né te *Lò Càŋe lòù ménâ ndɔ. Nuaá mé jolo feh seér né dé seèn bɔ̀ mbeí sóú lòù, te bɔ́ jolo ménâ ndɔ, nde né nùà dueè te Lò Càŋe ŋaá. 
MAT.5.20	Mè tueé bí, mɔ bí kɔɔ́ dìlì kélá ŋgwéh mé bɔ̀ *njí-sóù bɔ́ bɔ̀ *Farisiên, ndɔ́g bí Lò Càŋe yílá ndé ŋgwéh.»
MAT.5.22	Mè tueé seér né dé mò ye bí a: nuaá mé kwaá njií mene léláŋ njèh mé mbeí, nde né ju yilá. Nuaá mé yilá mbeí: cɔɔ́ŋ, nde né ké sònò bɔgɔ te *mbàgà juù ndeé. Nuaá mé yilá mbeí: duaàn, ju dé seèn wulu né mé we dé ndeèr.
MAT.5.23	«Sâ mɔ wò nde aá Càŋ mbe ké te kɔ haá, jɔ̀gɔ̀ mùnò nyége munò ye, mɔ temé né nuaré déì mé wò yulá, 
MAT.5.24	sâ lɔ̀gɔ̀ kwá njí mbe sâ doó nɔɔ́ŋ, wò jɔ̀gɔ̀ nde yoòr seèn, bí bú tueé kulú gi, te wò cu cuù, wò haá ye Càŋ mbe.
MAT.5.25	«Mɔ bî nuaré déì baá mé ju, à né wò sií, à ju sâ njií né ké sònò bɔ̀gɔ̀, mɔ bí bú gɔ bilí né bècénè, lègè lòm ceér dueè tég, te bí bú den mé sòn cên, wanɔɔ́ŋ wò nde né ju beè seèn ké toò bɔ̀ kokoô bɔ̀ die, bɔ́ sie haá njií wò mé bɔ̀ sɔ́jì, te bɔ́ si yií wò gwà cibì. 
MAT.5.26	Mè né tueé ye wò a, bɔ́ sie kwaá den nde né wò beè méménâ, tɔ́g kɔ bɔ̀ tòmò njèh nùà hèllè yuo kela giì baá kèn, sâ ye.»
MAT.5.28	Mè tueé seér né dé mò ye bí a: Nuaá mé ke mene ma vêh déì, tuaá sie bú mé bú, kuú gi aá yàgà kèn. 
MAT.5.29	Sâ mɔ njolo yeè dé gaâ wò te veêne dɔr yií né kɔɔ́, lùàgà sɔ̀m bú, wò si njií ké dàb. Huɔm kela né mé gà cén leér lom yoòr yeè kɔɔ́, mé bɔ́ si njií gùm yeè dɔɔ́ŋ te we dé ndeèr. 
MAT.5.30	Mɔ be yeè dé gaâ wò te veêne dɔr yií né kɔɔ́, sâ cɔ̀ téná sɔ̀m bú, wò si njií bú ké dàb. Huɔm kela né mé gà cén leér lom yoòr yeè kɔɔ́, mé gùm yeè dɔɔ́ŋ die yila te we dé ndeèr ndɔ.»
MAT.5.32	Mè tueé seér né dé mò ye bí a: mɔ ma déì yàgà ndé ŋgwéh, si bú sɔm né mbaá, sâ si bú bèh yàgà kuû luú si né kɔɔ́. Véh mé bɔ́ naâ lòù mele sɔm, nuaá mé jɔgɔ bú dɔɔ́ŋ kuú taré né yàgà ndɔ.»
MAT.5.34	Mè tueé seér né dé mò ye bí a: ndɔ́g nùàr a, té jègè jègè nyì. Bí té vulú jègè kèmà, kɔgɔ Càŋ né ké sâ; 
MAT.5.35	bí té tàbè jègè kèmà ndɔ, gule seèn né toò; né mene Jerusalem, té bú jègè kèmà, né lɔɔ́ Nùà Dueè. 
MAT.5.36	Té feh yeè jègè kèmà ndɔ; yúlí feèh né mene dé wulê, né mene dé yilî, wò déì teèn kwéh sér kòmò ndé ŋgwéh. 
MAT.5.37	Mɔ né nyea, júée nyea; mɔ né sam, júée sam ndɔ; wanɔɔ́ŋ bɔ̀ dé felèbɔ̀ kabé gɔɔ̀ dɔɔ́ŋ, yuo yeé beè Sátàn.»
MAT.5.39	Mè tueé seér né dé mò ye bí a: Mɔ nuaré déì bɔɔ́ bí veên, bí té njùŋ kú. Mɔ nuaré déì bɔ wò te geí gaâ, kéh cú bú geí dé ŋgoù, à bɔ ndɔ. 
MAT.5.40	Mɔ nuaré déì tulu njií wò bèh juù, à gwaán né cɔ̀gɔ̀ suù yeè yiín weèh, há bílí bú mé cɔ̀gɔ̀ wagâ yeè mene. 
MAT.5.41	Mɔ nùà koô déì ba haá wò seé dé kílòmétà cên, gɔ̀ cú mé njéh kílòmétà fà. 
MAT.5.42	Mɔ nuaré déì né wò njeré déì dua, há bú teèn. Mɔ nuaré déì bie wò hùà njeré déì, té bú nómó.»
MAT.5.44	Mè tueé seér né dé mò ye bí a: bí gwàn bɔ̀ bùnò bɔ̀ biì gwaàn. Bɔ̀ɔ́ mé né bí gèr feh keéh, bí dùà sér Càŋ felè bɔɔ̀n lòù, 
MAT.5.45	te bí ŋa bɔ̀ ŋunà Tele biì mé né ké te vulúu. Bí kɔ́ɔ ye Càŋ lou ba fue njií né felè bɔ̀ jéré-temé bɔ̀, mé bɔ̀ húɔ́m-temé bɔ̀ mene. Nu seèn né felè bɔ̀ vevenê bɔ̀, mé bɔ̀ bebagaà bɔ̀ ménâ neé tɔɔ́m ndeé ndɔ. 
MAT.5.46	Mɔ bí gwaán lom né bɔ̀ɔ́ mé né bí gwaán, sâ bí sàgà teèn kela kuú né dé keì? Ŋgweéh né mene bɔ̀ wèh-kàgàlɔ̀ŋ làmpɔ̂ŋ bɔ̀, bɔ́ né gi ménâ bɔɔ́ komo mà. 
MAT.5.47	Mɔ bí kɔ lom né léláŋ bɔ̀ nùàr biì, sâ beè biì né njèh kàm déì wa? Ŋgweéh né mene bɔ̀ Càŋ-kɔ́, bɔ́ né gi dé sâ bɔɔ́ kɔɔ́ wa? 
MAT.5.48	Mè tueé bí, bí dèn lòm dé biì dilísé faá Tele biì ké te vulúu né dilísé nɔ.»
MAT.6.2	Sâ mɔ wò nde aá nùà saâm njeré déì mé be yeè haá, té jùàgà lòbò. Dé sâ né seé bɔ̀ fù-ŋgàŋ bɔ̀. Né mene ké *gwà sóù, né mene ceér dueè, bɔ́ ménâ luerré gɔ né te bɔ̀ nùàr keí bɔ́ keì. Mè né tueé ye bí a, bɔ́ sàgà bɔɔ̀n kwa gi aá kèn, déì toò sam cuú. 
MAT.6.3	Té dé yeè ménâ bɔ́. Mɔ wò baá nùà saâm njeré déì mé be gaâ haá, be ŋgoù a, té kɔ́. 
MAT.6.4	Náb há bú lòù, te Tele yeè ŋene dé nâb ménâ, à wò sàgà haá seér kɔɔ́.»
MAT.6.6	Té dé yeè ménâ bɔ́. Mɔ wò nde aá Càŋ dua, yílá ndé ké mí yeè, wò colo njií hin, wò dua leér Tele yeè lòù, te Tele yeè mé né bèh lèrrèb ménâ ŋené, à wò sàgà haá seér kɔɔ́.
MAT.6.7	«Mɔ bí baá Càŋ dua, bí té njèh sònò faá bɔ̀ Càŋ-kɔ́ nɔ mbèì gɔ̀. Bɔ́ munó né ye, kɔ bɔ́ kulá laré dàm njèh dɔɔ́ŋ te Càŋ ŋgweé ye. 
MAT.6.8	Bí té dé biì ménâ bɔ́. Njií mé né bí saám dɔɔ́ŋ, Tele biì né gi ŋené, te bí nde ye bú dua. 
MAT.6.9	Sâ mɔ bí baá Càŋ dua, bí júée:
MAT.6.9	Tele beèh mé né ké ter te vulúu, yilí yeè a: dèn beè bɔ̀ nùàr jolosé.
MAT.6.10	Ndê kɔgɔ yeè ká lètenè beèh dilí kwaá.
MAT.6.10	Gàm béh te béh ŋgweé sòn yeè ká doó faá bɔ́ né sòn yeè ké te vulúu ŋgweé nɔ.
MAT.6.11	Há béh yáb mé nde né béh lan wulú.
MAT.6.12	Kúlú njí bɔ̀ veên beèh doó faá béh né veên bɔ̀ mbeí beèh lè beèh kulú sɔm nɔ.
MAT.6.13	Bèh mé veên né béh taáb dɔɔ́ŋ, té béh teèn njí, cí sér béh lòù. [Kɔgɔ mé terreb mé *sùsùm né gi dé yeè dé nyèmà mé nyèmà. È môn.]
MAT.6.15	Á, mɔ bí veên bɔ̀ mbaábiì lè biì kúlú sɔ̀m ŋgwéh, sâ Tele biì ké te vulúu bí veên yoòr kúlú sɔ̀m ndé ŋgwéh ndɔ.»
