GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
GEN.1.22	Kag ginbendisyunan niya sila tanan kag ginsingganan ang mga tinuga nga nagaestar sa tubig sa pagmuad kag sa pagpuno sang dagat, kag iya man ginsingganan ang mga kapispisan nga magdamo. 
GEN.1.23	Nagligad ang gab-i, kag nag-aga, amo yadto ang ikalima nga adlaw.
GEN.1.24	Dayon ang Dios nagmando, “Magpatubo ang duta sang tanan nga sahi sang mga kasapatan: naanta kag talunon, dalagku kag magamay.” Kag nahimo ini. 
GEN.1.25	Gani ang Dios naghimo sa ila tanan kag nanamian sia sang iya nakita.
GEN.1.26	Dayon
GEN.1.27	Gani
GEN.1.28	kag ginbendisyunan niya sila nga nagsiling, “Magpamata kamo sing madamo, agod ang inyo mga kaliwat magalapta kag magagahom sa bug-os nga duta. Ginatugyan ko sa inyo ang mga kaisdaan, mga kapispisan, kag ang tanan nga mga kasapatan nga talunon. 
GEN.1.29	Ginahatag ko sa inyo ang tanan nga sahi sang uyas kag ang tanan nga sahi sang bunga sang kahoy nga inyo pagakaunon. 
GEN.1.30	Pero sa tanan nga mga sapat nga talunon, kag sa tanan nga mga kapispisan, ginahatag ko ang malagtom nga mga hilamon nga ila pagakaunon.” Kag nahimo ini. 
GEN.1.31	Gintan-aw sang Dios ang tanan nga iya ginhimo, kag nanamian gid sia. Nagligad ang gab-i, kag nag-aga, amo yadto ang ikan-om nga adlaw.
GEN.2.1	Gani nahuman ang kalangitan, ang duta, kag ang tanan nga yara sa ila. 
GEN.2.2	Sa
GEN.2.3	Ginbendisyunan niya ang ikapito nga adlaw kag ginpain niya ini subong nga isa ka pinasahi nga adlaw, tungod kay sa sina nga adlaw gintapos niya ang iya mga bulohaton, kag nag-untat sia sa pag-obra. 
GEN.2.4	Amo ini ang maragtas sang pagtuga sang kalangitan kag sang duta.
GEN.2.4	Sang paghimo sang 
GEN.2.5	wala gid sing tanom sa duta kag wala gid sing binhi nga nagpamuhi, tungod kay wala niya pagpaulana kag wala sing manugpanguma sang duta. 
GEN.2.6	Bisan wala sing ulan, ang ambon nag-usbong kag nagbasa sang bug-os nga duta.
GEN.2.7	Dayon
GEN.2.8	Dayon ang 
GEN.2.9	Ginpatubo
GEN.2.10	May isa ka sapa nga nagailig halin sa Eden kag nagabunyag sa katamnan. Sa unhan sang Eden nagsanga ini sa apat ka mga suba. 
GEN.2.11	Ang nahauna nga suba amo ang Pison. Nagalibot ini palibot sa duta sang Havila. 
GEN.2.12	Makita didto ang puraw nga bulawan, ang tumalagsahon man nga agwa kag ang malahalon nga mga bato. 
GEN.2.13	Ang ikaduha nga suba amo ang Gihon. Ini nga suba nagalibot sa duta sang Cus.
GEN.2.14	Ang ikatlo nga suba amo ang Tigris nga nagaagi sa sidlangan sang Asiria. Kag ang ikap-at nga suba amo ang Eufrates.
GEN.2.15	Dayon ginpaestar sang 
GEN.2.16	Ginsingganan sang 
GEN.2.17	luas sang kahoy nga nagahatag sing ihibalo sang maayo kag sang malain. Indi ka magkaon sang iya sina bunga kay sa tion nga magkaon ka, sa sina gid nga adlaw mapatay ka.”
GEN.2.18	Dayon ang 
GEN.2.19	Gani nagkuha sia sing duta kag sa sini iya gindihon ang tanan nga mga kasapatan kag ang tanan nga mga kapispisan, kag gindala niya ini sa tawo sa pagtan-aw kon ano ang ipahingalan niya sa ila. Kon ano ang ngalan nga ginhatag sang tawo sa tagsa sa ila amo ini ang nangin-ila ngalan. 
GEN.2.20	Gani ang tawo naghingalan sang tanan nga mga kapispisan kag sang tanan nga mga kasapatan. Pero wala gid sing isa sa ila nga bagay manginkaupod niya sa pagbulig sa iya.
GEN.2.21	Dayon ginpatulog sang 
GEN.2.22	Ang gusok nga ginkuha niya sa lalaki ginhimo niya nga babayi kag gindala niya ini nga babayi sa lalaki. 
GEN.2.23	Dayon ang lalaki nagsiling:
GEN.2.23	“Karon, yari ang pareho sa akon,
GEN.2.23	tul-an nga ginkuha sa akon tul-an, kag unod nga ginkuha sa akon unod.
GEN.2.23	Tawgon sia nga ‘Babayi,’ kay ginkuha sia sa lalaki.”
GEN.2.24	Tungod
GEN.2.25	Ang lalaki kag ang babayi hublas, pero wala sila mahuya.
GEN.3.1	Karon
GEN.3.2	Ang babayi nagsabat, “Makakaon kami sang bunga sang bisan ano nga kahoy sa katamnan, 
GEN.3.3	luas lang sang kahoy nga yara sa tunga sini. Ang Dios nagsiling nga indi kami magkaon sang bunga sina nga kahoy, ukon bisan magtandog sini, kay kon himuon namon ini, mapatay kami.”
GEN.3.4	Ang man-og nagsabat, “Indi ina matuod! Indi kamo mapatay! 
GEN.3.5	Ang Dios nagsiling sina kay man nakahibalo sia nga kon magkaon kamo sang iya bunga mahatagan kamo sing ihibalo kon ano ang maayo kag malain, kag manginkaangay kamo sang Dios.”
GEN.3.6	Nakita sang babayi kon daw ano ang katahom sang kahoy, kag kon daw ano ayhan kanami sang iya bunga kon kaunon, kag nagpanghunahuna sia kon daw ano ayhan kanami kon sia magmaalam. Gani nagkuha sia sang bunga sang kahoy kag ginkaon niya ini. Dayon ginhatagan niya ang iya bana kag nagkaon man sia. 
GEN.3.7	Sang makakaon sila, ginhatagan sila sing paghangop, kag natalupangdan nila nga hublas sila. Gani nagtambitambi sila sing mga dahon sang kahoy nga higera kag gintabunan nila ang ila mga lawas.
GEN.3.8	Sang kasisidmon na nabatian nila ang 
GEN.3.9	Pero gintawag sang 
GEN.3.10	Ang lalaki nagsabat, “Nabatian ko ikaw sa katamnan. Nahadlok ako kag nagpanago ako sa imo tungod kay hublas ako.”
GEN.3.11	Ang Dios nagpamangkot, “Sin-o ang nagsiling sa imo nga hublas ka? Nagkaon ka bala sang bunga sang kahoy nga ginsiling ko sa inyo nga indi ninyo pagkaunon?”
GEN.3.12	Ang lalaki nagsabat, “Ang babayi nga ginhatag mo sa akon amo ang naghatag sa akon sang bunga sang kahoy kag nagkaon ako.”
GEN.3.13	Ginpamangkot
GEN.3.13	Nagsabat sia, “Ang man-og nagganyat sa akon kag nagkaon ako.”
GEN.3.14	Karon ang 
GEN.3.15	Himuon
GEN.3.16	Kag nagsiling sia sa babayi, “Dugangan ko ang imo pag-antos sa imo pagbusong kag ang imo kasakit sa imo pagpamata, pero handumon mo gihapon ang imo bana, kag sia magagahom sa imo.”
GEN.3.17	Kag
GEN.3.18	Ang duta magapatubo sing hilamon kag tunokon nga mga tanom kag mapilitan ka sa pagkaon sing mga hilamon sa latagon. 
GEN.3.19	Kinahanglan magpabalhas ka kag magaobra sing tudo gid agod makapatubas ang duta sing nagakaigo nga kalan-on para sa imo, tubtob magbalik ka sa duta sa diin ka maghalin. Kay ginhimo ka halin sa duta, kag sa duta ikaw magabalik.”
GEN.3.20	Ginhingalanan ni Adan
GEN.3.21	Kag ang 
GEN.3.22	Dayon
GEN.3.23	Gani ang 
GEN.3.24	Dayon gintabog sang Dios ang tawo pa gwa, kag sa nasidlangan sang katamnan sang Eden may ginbutang sia nga mga kerubin
GEN.4.1	Karon si Adan nagpakighirop sa iya asawa, kag nagbusong sia. Nagbata sia sing lalaki kag nagsiling sia, “Nakabaton ako sing anak nga lalaki paagi sa bulig sang 
GEN.4.2	Sang ulihi nagbata pa gid sia kay Abel nga isa man ka lalaki. Si Abel nanginmanugbantay sang mga karnero, pero si Cain iya mangungoma. 
GEN.4.3	Sang wala madugay, si Cain nagdala sang isa ka bahin sang iya patubas kag ginhalad ini sa 
GEN.4.4	Dayon
GEN.4.5	pero wala niya pagbatuna si Cain kag ang iya halad. Si Cain nagsingkal sa kaakig kag nagkusmod. 
GEN.4.6	Dayon ang 
GEN.4.7	Kon maayo ang ginhimo mo, kuntani manayanaya ang imo guya.
GEN.4.8	Dayon
GEN.4.9	Ang 
GEN.4.9	Nagsabat sia, “Ambot! Ako bala ang manugbantay sang akon utod?”
GEN.4.10	Karon
GEN.4.11	Kag karon ginapakamalaut ka kag pagatabugon ka halin sa sini nga duta nga nagbuka sang iya baba subong sang isa ka gutom nga sapat sa pag-inom sang dugo sang imo utod gikan sa imo kamot. 
GEN.4.12	Kon magpananom ikaw, ang duta indi magpatubas sing bisan ano para sa imo, kag manginlayaslayas ikaw nga wala sing ilistaran sa duta.”
GEN.4.13	Dayon si Cain nagsiling sa 
GEN.4.14	Karon ginatabog mo ako halin sa sini nga duta kag halin sa imo atubang. Mangintiyugtiyog ako nga wala sing ilistaran sa sini nga duta, kag ang bisan sin-o nga makakita sa akon magapatay sa akon.”
GEN.4.15	Pero ang 
GEN.4.16	Kag si Cain nagpalayo sa 
GEN.4.17	Si Cain nagpakighirop sa iya asawa. Ang iya asawa nagbusong kag nagbata sing isa ka lalaki kag ginhingalanan nila sia kay Enoc. Sang ulihi si Cain nagpasad sing isa ka siudad kag ginhingalanan niya ini sang ngalan sang iya anak nga si Enoc. 
GEN.4.18	Si Enoc may bata nga lalaki nga ginhingalanan kay Irad. Si Irad amay ni Mehujael, si Mehujael amay ni Metusael, kag si Metusael amay ni Lamec. 
GEN.4.19	Si Lamec may duha ka mga asawa nga amo sanday Ada kag Sila. 
GEN.4.20	Si Ada nagbata kay Jabal nga amo ang ginhalinan sang mga manugbantay sang mga hayop kag nagaestar sa mga tolda. 
GEN.4.21	Ang iya utod nga lalaki amo si Jubal nga amo ang ginhalinan sang tanan nga mga musikero nga nagatukar sang arpa kag plawta. 
GEN.4.22	Si Sila nagbata kay Tubal Cain nga ginhalinan sang tanan nga mga manugsalsal
GEN.4.23	Si Lamec nagsiling sa iya mga asawa,
GEN.4.23	“Ada kag Sila nga akon mga asawa, pamatii ninyo ako:
GEN.4.23	nakapatay ako sing pamatan-on nga lalaki kay ginsakit niya ako.
GEN.4.24	Kon may magpatay kay Cain pagatumbasan sing pito ka kabuhi,
GEN.4.24	ang bisan sin-o nga magpatay sa akon pagatumbasan sing setentay siete ka pilo.”
GEN.4.25	Si Adan nagpakighirop sa iya asawa kag nagbata sia liwat sing lalaki. Si Eva nagsiling, “Ang Dios naghatag sa akon sing isa ka anak nga lalaki sa pagtal-os kay Abel nga ginpatay ni Cain.” Gani ginhingalanan niya sia kay Set.
GEN.4.26	Si Set may anak nga lalaki nga ginhingalanan niya kay Enos. Amo yadto ang tion nga ang mga tawo nagsugod sa pagmitlang sang ngalan sang 
GEN.5.1	Amo
GEN.5.2	Gintuga
GEN.5.3	Sang si Adan nagaedad sing 130 ka tuig, ang iya asawa nagbata sing lalaki nga pareho gid sa iya, kag ginhingalanan niya sia kay Set. 
GEN.5.4	Sa tapos sini, si Adan nagkabuhi pa sing 800 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.5	kag sang 930 na ka tuig ang iya edad napatay sia.
GEN.5.6	Sang si Set nagaedad sing 105 ka tuig, nagbata ang iya asawa kay Enos, 
GEN.5.7	kag nagkabuhi sia sing 807 pa ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.8	kag sang nagaedad sia sing 912 ka tuig napatay sia.
GEN.5.9	Sang si Enos nagaedad sing nobenta ka tuig, nagbata ang iya asawa kay Kenan, 
GEN.5.10	kag nagkabuhi pa sia sing 815 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.11	kag sang nagaedad sia sing 905 ka tuig napatay sia.
GEN.5.12	Sang si Kenan nagaedad sing setenta ka tuig, nagbata ang iya asawa kay Mahalalel, 
GEN.5.13	kag nagkabuhi pa sia sing 840 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.14	kag sang nagaedad sia sing 910 ka tuig napatay sia.
GEN.5.15	Sang si Mahalalel nagaedad sing sesentay singko ka tuig, nagbata ang iya asawa kay Jared, 
GEN.5.16	kag nagkabuhi pa sia sing 830 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.17	kag sang nagaedad sia sing 895 ka tuig napatay sia.
GEN.5.18	Sang si Jared nagaedad sing 162 ka tuig, nagbata ang iya asawa kay Enoc, 
GEN.5.19	kag nagkabuhi pa sia sing 800 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.20	kag sang nagaedad sia sing 962 ka tuig napatay sia.
GEN.5.21	Sang si Enoc nagaedad sing sesentay singko ka tuig, nagbata ang iya asawa kay Metusela. 
GEN.5.22	Si Enoc nagkabuhi sa paghiambit sa Dios sa sulod sang 300 pa ka tuig, kag may iban pa sia nga mga kabataan, 
GEN.5.23	tubtob nga nag-edad sia sing 365 ka tuig. 
GEN.5.24	Nagkabuhi
GEN.5.25	Sang si Metusela nagaedad sing 187 ka tuig, nagbata ang iya asawa kay Lamec, 
GEN.5.26	kag nagkabuhi pa sia sing 782 ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.27	kag sang nagaedad sia sing 969 ka tuig napatay sia.
GEN.5.28	Sang si Lamec nagaedad sing 182 ka tuig, nagbata ang iya asawa sing lalaki, 
GEN.5.29	kag nagsiling sia, “Halin sa duta nga ginpakamalaut sang 
GEN.5.30	Si Lamec nagkabuhi sing 595 pa ka tuig. May iban pa sia nga mga kabataan, 
GEN.5.31	kag sang nagaedad sia sing 777 ka tuig napatay sia.
GEN.5.32	Sang makaedad si Noe sing 500 ka tuig, nagbata ang iya asawa sang tatlo ka mga anak nga lalaki nga amo sanday Sem, Ham, kag Jafet.
GEN.6.1	Sang
GEN.6.2	nakita sang langitnon nga mga tinuga
GEN.6.3	Karon ang 
GEN.6.4	Sa
GEN.6.5	Sang
GEN.6.6	nagkasubo sia nga gintuga niya ang mga tawo kag ginpaestar sa duta. Daku gid ang iya kasubo, 
GEN.6.7	gani nagsiling sia, “Laglagon ko ang tanan nga mga tawo nga akon gintuga sa duta. Laglagon ko man ang tanan nga mga kasapatan kag ang tanan nga mga kapispisan, tungod kay nagakasubo ako nga ginhimo ko sila.” 
GEN.6.8	Pero ang 
GEN.6.9+GEN.6.10	Amo
GEN.6.11	Pero ang iban nga mga tawo malaut gid sa panulok sang Dios kag ang ila kalaut naglapta bisan diin. 
GEN.6.12	Gintan-aw sang Dios ang kalibutan kag nakita niya nga malaut ini, kay ang mga tawo nagakabuhi sa kalautan.
GEN.6.13	Ang Dios nagsiling kay Noe, “Nagpamat-od ako nga laglagon ko ang tanan nga katawhan. Laglagon ko sila sing bug-os tungod kay ang kalibutan napun-an sang ila malain nga mga binuhatan. 
GEN.6.14	Maghimo ka sing arka kag gamiton mo ang maayo nga mga kahoy. Maghimo ka sing mga hulot sa arka kag butangan mo ini sang aspalto sa sulod kag sa gwa. 
GEN.6.15	Himua nga ang kalabaon sang arka 450 ka tapak, ang kasangkaron setentay singko ka tapak, kag ang kataason kwarentay singko ka tapak. 
GEN.6.16	Butangan mo sing atop
GEN.6.17	Magapadala ako sing anaw sa paglaglag sang tanan nga nagakabuhi sa duta. Ang tanan sa duta mapatay, 
GEN.6.18	pero magahimo ako sing kasugtanan sa imo. Magsulod ka sa arka upod ang imo asawa, ang imo mga kaanakan kag ang ila mga asawa. 
GEN.6.19+GEN.6.20	Magdala ka sa arka sang isa ka pares sang tagsa ka sari sang sapat, kag sang tagsa ka sari sang pispis, agod mabuhi sila. 
GEN.6.21	Dala ka sang tanan nga sari sang kalan-on kag tipunon mo ini agod manginkalan-on para sa imo kag para sa ila.” 
GEN.6.22	Ginhimo 
GEN.7.1	Ang 
GEN.7.2	Dala ka sing pito ka pares sang tagsa ka matinlo nga sapat, pero isa lang ka pares sang tagsa ka di-matinlo nga sapat. 
GEN.7.3	Magdala ka man sing pito ka pares sang tagsa ka sari sang pispis. Himua ini agod ang tagsa ka sari sang sapat kag pispis may mabilin nga buhi kag magamuad liwat sa duta. 
GEN.7.4	Sa tapos sang pito ka adlaw halin karon magapadala ako sing ulan sa duta sa sulod sing kwarenta ka adlaw kag kwarenta ka gab-i agod sa paglaglag sang tanan nga buhi nga mga butang nga akon ginhimo.” 
GEN.7.5	Kag gintuman ni Noe ang tanan nga ginsugo sa iya sang 
GEN.7.6	Si Noe nagaedad sing 600 ka tuig sang mag-abot ang anaw sa duta. 
GEN.7.7	Sia
GEN.7.8	Ang isa ka pares sang tagsa ka sari sang sapat kag pispis, matinlo ukon di-matinlo, 
GEN.7.9	nagsulod sa arka upod kay Noe, suno sa ginsugo sang Dios. 
GEN.7.10	Sang makaligad ang pito ka adlaw nag-abot ang anaw sa duta.
GEN.7.11	Sang
GEN.7.12	kag nag-ulan sa duta sing kwarenta ka adlaw kag kwarenta ka gab-i. 
GEN.7.13	Sa sadto gid nga adlaw, si Noe kag ang iya asawa, ang ila tatlo ka mga anak nga lalaki nga si Sem, si Ham, si Jafet kag ang ila mga asawa nagsulod sa arka. 
GEN.7.14	Nag-upod sa ila ang tagsa ka sari sang mga sapat, talunon kag anta, magamay kag dalagku, kag ang tagsa ka sari sang mga pispis. 
GEN.7.15	Ang isa ka pares sang tagsa ka buhi nga tinuga nagsulod sa arka upod kay Noe, 
GEN.7.16	suno sa ginsugo sang Dios. Dayon gintakpan sang 
GEN.7.17	Nagpadayon ang pagbaha sa sulod sang kwarenta ka adlaw, kag ang tubig nagdalom nga sarang na makalutaw ang arka. 
GEN.7.18	Ang tubig nagdalom pa gid kag ang arka nagpaanod sa tubig. 
GEN.7.19	Nagdalom nga nagdalom pa gid ang tubig kag ang tanan nga labing mataas nga mga bukid nalapawan. 
GEN.7.20	Nagsigi pa gid dalom ang tubig tubtob nga naglapaw ini sing baynte singko ka tapak sa ibabaw sang mga bukid. 
GEN.7.21	Ang tanan nga nagakabuhi sa duta nagkalamatay—ang tanan nga mga pispis, ang tanan nga mga sapat, kag ang tanan nga mga tawo. 
GEN.7.22	Ang tanan nga mga nagaginhawa sa duta nagkalamatay. 
GEN.7.23	Ang 
GEN.7.24	Ang tubig wala magsugod sa paghubas sa sulod sang 150 ka adlaw.
GEN.8.1	Gindumdom sang Dios si Noe kag ang tanan nga mga kasapatan nga upod niya sa arka. Ginpahuyop niya ang hangin sa duta, kag ang tubig nagsugod sa paghubas. 
GEN.8.2	Ang mga tuboran sang dagat sa idalom sang duta kag ang mga alagyan sang tubig sa langit ginpangtakpan. Ang ulan nag-untat, 
GEN.8.3	kag ang tubig nag-amat-amat sa paghubas sa sulod sang 150 ka adlaw. 
GEN.8.4	Sang ika-17 nga adlaw sang ikapito nga bulan, ang arka nagtungtong sa mga kabukiran sang Ararat. 
GEN.8.5	Ang tubig nagpadayon sa paghubas, kag sa nahauna nga adlaw sang ika-10 nga bulan, ang mga putokputokan sang mga kabukiran makit-an na.
GEN.8.6	Sa tapos ang kwarenta ka adlaw ginbuksan ni Noe ang bintana 
GEN.8.7	kag ginpalupad pa gwa ang isa ka uwak. Wala ini magbalik kundi naglupadlupad palibot tubtob nagmala ang duta. 
GEN.8.8	Dayon ginpalupad ni Noe pa gwa ang isa ka pating sa pagtan-aw kon ang tubig naghubas na, 
GEN.8.9	pero tungod nga ang bug-os nga duta natabunan pa sang tubig, ang pating wala sing mahapunan. Gani nagbalik ini sa arka kag gindab-ot ni Noe ang pating kag ginpasulod sa arka. 
GEN.8.10	Naghulat anay si Noe sing pito ka adlaw kag ginpalupad liwat ang pating pa gwa sa arka. 
GEN.8.11	Pagkagab-i nagbalik ini sa iya, kag nakita niya nga sa iya tuktok may dala ini nga dahon sang olivo nga bag-o lang makutol. Gani nahibaluan ni Noe nga ang tubig naghubas na. 
GEN.8.12	Dayon si Noe naghulat sing pito pa gid ka adlaw kag ginpalupad niya liwat pa gwa ang pating. Sa sini nga tion wala na magbalik ang pating.
GEN.8.13	Sang nagaedad si Noe sing 601 ka tuig, sa nahauna nga adlaw sang nahauna nga bulan, ang tubig sa duta naghubas na gid. Sang maabrihan ni Noe ang isa ka bahin sang atop sang arka, nagtamwa sia kag nakita niya nga ang duta mamala na. 
GEN.8.14	Sang ika-27 nga adlaw sang ikaduha nga bulan, ang duta nagmala na gid.
GEN.8.15	Ang Dios nagsiling kay Noe, 
GEN.8.16	“Gwa ka sa arka upod sa imo asawa, sa imo mga anak nga lalaki kag sa ila mga asawa. 
GEN.8.17	Pagwaa ang tanan nga mga sapat kag mga pispis upod sa imo, agod magmuad sila kag maglapta sa bug-os nga duta.” 
GEN.8.18	Gani si Noe naggwa sa arka upod sa iya asawa, sa iya mga anak nga lalaki, kag sa ila mga asawa. 
GEN.8.19	Ang tanan nga mga sapat kag mga pispis naggwa sa arka nga nagapunsokpunsok suno sa ila sari.
GEN.8.20	Dayon si Noe naghimo sing altar sa 
GEN.8.21	Nahamuot ang 
GEN.8.22	Samtang nga ang kalibutan nagapadayon, may tigtalanom kag tig-alani. May tigtulognaw kag tig-ilinit, tingulan kag tingadlaw, adlaw kag gab-i.
GEN.9.1	Ginbendisyunan
GEN.9.2	Ang tanan nga mga sapat, mga pispis, kag mga isda, magakahadlok sa inyo. Kamo ang magagahom sa ila. 
GEN.9.3	Karon makakaon kamo sang tanan nga mga sapat kag subong man sang tanan nga mga tanom. Ginahatag ko ini tanan sa inyo nga inyo kalan-on. 
GEN.9.4	May
GEN.9.5	Kon may magkuha sang kabuhi sang tawo, pagasilutan ko sia. Pagapatyon ko ang sapat nga magapatay sang tawo. 
GEN.9.6	Ang
GEN.9.7	“Dapat
GEN.9.8	Dayon ang Dios nagsiling kay Noe kag sa iya mga anak nga lalaki, 
GEN.9.9	“Karon magahimo ako sing kasugtanan sa inyo kag sa inyo mga kaliwat, 
GEN.9.10	kag sa tanan nga mga tinuga nga nagakabuhi—mga pispis, tanan nga mga sapat—ang tanan nga naggwa sa arka upod sa inyo. 
GEN.9.11	Sa sini nga mga pulong magahimo ako sing kasugtanan sa inyo: indi ko na gid liwat paglaglagon ang tanan nga nagakabuhi nga mga tinuga paagi sa anaw. Indi na gid mag-anaw liwat sa paglaglag sang duta. 
GEN.9.12	Subong tanda sang walay katapusan nga kasugtanan nga akon ginahimo upod sa inyo kag sa tanan nga mga tinuga nga nagakabuhi, 
GEN.9.13	ginabutang ko ang akon balangaw sa mga panganod. Ini mangintanda sang akon kasugtanan sa kalibutan. 
GEN.9.14	Kon magpadala ako sing panganod sa kahawaan, kag ang balangaw magapakita sa mga panganod, 
GEN.9.15	dumdomon ko ang akon saad sa inyo kag sa tanan nga mga sapat, nga wala na sing anaw nga magalaglag liwat sang tanan nga nagakabuhi nga mga tinuga. 
GEN.9.16	Kon ang balangaw magpakita sa mga panganod, makita ko ini kag dumdomon ko ang akon walay katubtoban nga kasugtanan sa tanan nga mga tinuga nga nagakabuhi sa duta.” 
GEN.9.17	Ang Dios nagsiling kay Noe, “Amo ini ang tanda sang akon saad sa tanan nga mga tinuga nga nagakabuhi sa duta.”
GEN.9.18	Ang mga anak ni Noe nga lalaki nga naggwa sa arka amo si Sem, si Ham, kag si Jafet. Si Ham amo ang amay ni Canaan. 
GEN.9.19	Ining tatlo ka mga anak ni Noe amo ang ginhalinan sang tanan nga mga tawo sa duta.
GEN.9.20	Si Noe isa ka mangungoma. Sia ang nahauna nga nagpatanom sing mga ubas. 
GEN.9.21	Sang makainom sia sang bino sang iya ubas, nahubog sia, nag-uba kag naghigda nga hublas sa iya tolda. 
GEN.9.22	Sang makita ni Ham nga amay ni Canaan nga ang iya amay hublas, naglakat sia kag ginsugiran ang duha niya ka mga utod. 
GEN.9.23	Dayon si Sem kag si Jafet nagkuha sing panapton kag gin-umbilay nila ini. Nagkadto sila sa tolda nga nagaisol kag gintabunan nila ang ila amay. Wala sila mag-atubang agod indi nila makita ang ila amay nga hublas. 
GEN.9.24	Sang naumpawan si Noe kag sang mahibal-an niya ang ginhimo sa iya sang iya kamanghuran nga anak, 
GEN.9.25	nagsiling sia:
GEN.9.25	“Ang pagpakamalaut mangin kay Canaan!
GEN.9.25	Mangin-ulipon sia sang iya mga utod.
GEN.9.26	Dayawon ang 
GEN.9.26	Si Canaan mangin-ulipon ni Sem.
GEN.9.27	Kabay nga ang Dios magpamuad kay Jafet!
GEN.9.27	Kag kabay nga ang iya kaliwat magpuyo upod sa mga kaliwat ni Sem!
GEN.9.27	Si Canaan mangin-ulipon ni Jafet.”
GEN.9.28	Sa tapos ang anaw, si Noe nagkabuhi sing 350 pa ka tuig, 
GEN.9.29	kag sang nagaedad sia sing 950 ka tuig napatay sia.
GEN.10.1	Amo ini ang mga kaliwat sang mga anak ni Noe nga amo sanday Sem, Ham, kag Jafet. Ini sila nga tatlo may mga anak nga lalaki nga nagkalatawo sa tapos ang anaw.
GEN.10.2	Ang mga anak nga lalaki ni Jafet amo sanday Gomer, Magog, Madai, Javan, Tubal, Mesec, kag Tiras. Ang ila mga kaliwat nagdala sang ila mga ngalan. 
GEN.10.3	Ang mga kaliwat ni Gomer amo ang mga tawo sang Askenaz, Rifat, kag Togarma. 
GEN.10.4	Ang mga kaliwat ni Javan amo ang mga tawo sang Elisa, Tarsis, Kitim, kag Dodanim. 
GEN.10.5	Sila ang mga katigulangan sang mga tawo nga nag-estar sa mga baybayon kag sa mga kapuloan sang dagat. Ini tanan amo ang mga kaliwat ni Jafet nga nag-estar sa nagkalainlain nga mga tribo kag mga pungsod, kag ang tagsa ka grupo may kaugalingon nga linggwahe.
