GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
GEN.2.20	Gani gin-ngalanan sang tawo ang mga sapat nga nagaestar sa duta pati ang mga sapat nga nagalupad. Pero wala gid sing bisan isa sa ila nga bagay nga mangin kaupod niya nga magabulig sa iya. 
GEN.2.21	Gani ginpatulog sang 
GEN.2.22	Ang gusok nga ginkuha sang 
GEN.2.23	Dayon nagsiling ang lalaki,
GEN.2.23	“Ari na ang pareho sa akon! Tul-an nga ginkuha sa akon tul-an, kag unod nga ginkuha sa akon unod. Pagatawgon siya nga babayi, kay ginkuha siya halin sa lalaki.”
GEN.2.24	Amo ina ang rason nga bayaan sang lalaki ang iya amay kag iloy kag mag-upod sa iya asawa, kag sila nga duha mangin isa.
GEN.2.25	Sadto nga tion, bisan hublas sila nga duha, wala sila mahuya.
GEN.3.1	Karon, sa tanan nga maila nga sapat nga ginhimo sang 
GEN.3.2	Nagsabat ang babayi, “Makakaon kami sang bisan ano nga bunga sang kahoy diri sa katamnan, 
GEN.3.3	luwas lang sang bunga sang kahoy nga ara sa tunga sang sini nga katamnan. Kay nagsiling ang Dios nga indi gid kami magkaon sang bunga sang sina nga kahoy ukon bisan magtandog lang sini. Kay kon himuon namon ina, mapatay kami.” 
GEN.3.4	Pero nagsiling ang man-og, “Indi matuod nga mapatay kamo! 
GEN.3.5	Nagsiling ang Dios sina tungod kay nahibaluan niya nga kon kaunon ninyo ina, masanagan kamo, kag mangin pareho kamo sa iya nga nakahibalo kon ano ang maayo kag ang malain.”
GEN.3.6	Sang makita sang babayi nga ang kahoy manami tulukon kag 
GEN.3.7	Pagkatapos nila kaon, nakaintiendi sila kon ano ang maayo kag ang malain, kag natalupangdan nila nga hublas gali sila. Gani nagtambi-tambi sila sang mga dahon sang kahoy nga higera
GEN.3.8	Sang mabulubugnaw na sang hapon, nabatian nila nga nagalakat ang 
GEN.3.9	Pero gintawag sang 
GEN.3.10	Nagsabat ang lalaki, “Nabatian ko ikaw sa katamnan, gani nagpanago ako kay nahadlok ako tungod kay hublas ako.” 
GEN.3.11	Nagpamangkot ang 
GEN.3.12	Nagsabat ang lalaki, “Ang babayi abi nga ginpaupod mo sa akon ginhatagan niya ako sang bunga sang sadto nga kahoy kag ginkaon ko.”
GEN.3.13	Ginpamangkot dayon sang 
GEN.3.14	Gani nagsiling ang 
GEN.3.15	Ikaw kag ang babayi magakontrahanay. Ang imo kaliwat kag ang iya kaliwat
GEN.3.16	Nagsiling man siya sa babayi, “Tungod sang imo ginhimo, dugangan ko ang imo pag-antos sa pagbusong kag ang imo kasakit sa pagbata. Pero sa pihak sina, handumon mo gihapon ang imo bana, kag magagahom siya sa imo.”
GEN.3.17	Nagsiling man siya sa lalaki, “Tungod kay nagpati ka sa imo asawa kag nagkaon sang bunga sang kahoy nga gindumili ko sa imo, pakamalauton ko ang duta. Gani sa bug-os mo nga kabuhi magapangabudlay ka sing tudo-tudo para makakaon ka. 
GEN.3.18	Magatubo sa duta ang tunukon nga mga tanom, kag magakaon ka sang mga gintanom sa uma. 
GEN.3.19	Kinahanglan nga magpangabudlay ka sing tudo-tudo agod makakaon ka, hasta nga magbalik ka sa duta nga amo ang imo ginhalinan. Tungod nga sa duta ka naghalin, gani sa duta ka man magabalik.”
GEN.3.20	Gin-ngalanan ni Adan
GEN.3.21	Dayon naghimo ang 
GEN.3.22	Dayon nagsiling ang 
GEN.3.23	Gani ginpahalin siya sang 
GEN.3.24	Sang nakahalin na ang tawo, nagbutang ang 
GEN.4.1	Pagkatapos sadto, naghulid si Adan sa iya asawa nga si Eva kag nagbusong siya. Sang nakabata na si Eva, nagsiling siya, “Nakaangkon ako sang bata nga lalaki paagi sa bulig sang 
GEN.4.2	Kag sang ulihi nagbata liwat si Eva sing lalaki kag gin-ngalanan niya nga Abel.
GEN.4.3	Isa sadto ka adlaw, naghalad si Cain sa 
GEN.4.4	Si Abel iya nagkuha sang kamagulangan sa iya mga kasapatan kag gin-ihaw niya, kag ginhalad ang pinakamaayo nga bahin sa Dios. Nalipay ang 
GEN.4.5	pero wala siya nalipay kay Cain kag sa iya halad. Kag tungod sini, nagkusmod si Cain kag puwerte gid ang iya kaakig. 
GEN.4.6	Gani ginpamangkot siya sang 
GEN.4.7	Kon maayo lang ang imo ginahimo, kuntani malipayon ka.
GEN.4.8	Isa sadto ka adlaw, nagsiling si Cain kay Abel, “Dali, makadto kita sa uma.” Kag sang didto na sila, ginpatay ni Cain si Abel nga iya utod.
GEN.4.9	Dayon nagpamangkot ang 
GEN.4.10	Nagsiling dayon ang 
GEN.4.11	Tungod sang imo ginhimo, ginapakamalaot ko ikaw. Sugod subong indi ka na makapanguma sa duta nga nagsuyop sang dugo sang imo utod nga imo ginpatay. 
GEN.4.12	Bisan magtanom ka pa, ang duta indi na magpatubas para sa imo. Kag wala ka na sing permanente nga elistaran, gani bisan diin ka na lang makadto.”
GEN.4.13	Nagsiling si Cain sa 
GEN.4.14	Ginatabog mo ako subong sa sini nga duta kag sa imo presensya. Wala na ako sing permanente nga elistaran, gani bisan diin na lang ako makadto. Kag kon may makakita sa akon sigurado gid nga patyon niya ako.” 
GEN.4.15	Pero nagsiling ang 
GEN.4.16	Dayon nagpalayo si Cain sa 
GEN.4.17	Karon, naghulid si Cain sa iya asawa. Nagbusong ang iya asawa kag nagbata sing lalaki kag gin-ngalanan nila nga Enoc. Nagtukod si Cain sang isa ka banwa kag gin-ngalanan niya nga Enoc pareho sa ngalan sang iya anak. 
GEN.4.18	Si Enoc may anak man nga lalaki kag ang iya ngalan si Irad. Si Irad nga ini amay ni Mehuel; si Mehuel amay ni Metushael; kag si Metushael amay ni Lamec. 
GEN.4.19	Si Lamec may duha ka asawa nga si Ada kag si Zila. 
GEN.4.20	Si Ada nagbata kay Jabal nga amo ang ginhalinan sadtong mga tawo nga nagaestar sa mga tolda, nga nagaatipan sang mga sapat. 
GEN.4.21	May utod si Jabal nga lalaki nga ang ngalan si Jubal, nga amo ang ginhalinan sang tanan nga manugtukar sang arpa kag plawta. 
GEN.4.22	Si Zila nagbata man sing lalaki nga ang ngalan si Tubal Cain. Si Tubal Cain nga ini nagapanghimo sang tanan nga klase sang galamiton halin sa salsalon kag saway. May utod siya nga babayi nga si Naama.
GEN.4.23	Isa sadto ka adlaw, nagsiling si Lamec sa iya duha ka asawa,
GEN.4.23	“Ada kag Zila, nga akon mga asawa, pamati kamo sa akon.
GEN.4.23	Ginpatay ko ang bataon
GEN.4.24	Kon pito ka pilo ang balos sa tawo nga magpatay kay Cain,
GEN.4.24	77 ka pilo ang balos sa tawo nga magpatay sa akon.”
GEN.4.25	Naghulid liwat si Adan kay Eva, kag nagbata si Eva sing lalaki. Nagsiling siya, “Ginhatagan liwat ako sang Dios sing anak nga lalaki bilang ilis kay Abel nga ginpatay ni Cain, gani ngalanan ko siya nga Set.”
GEN.4.26	Sang ulihi, si Set may anak man nga lalaki nga iya gin-ngalanan nga Enosh. Sang panahon ni Enosh, nagsugod ang mga tawo tawag sa ngalan sang 
GEN.5.1	Amo ini ang ginsulat nga estorya parte sa pamilya ni Adan.
GEN.5.1	Sang pagtuga sang Dios sa tawo, ginhimo niya siya nga kaanggid sa iya. 
GEN.5.2	Gintuga niya ang lalaki kag babayi, kag ginpakamaayo niya sila kag gintawag nga “tawo”.
GEN.5.3	Sang nagaedad si Adan sing 130 ka tuig, natawo ang iya anak nga kaanggid sa iya. Gin-ngalanan niya siya nga Set. 
GEN.5.4	Matapos natawo si Set, nagkabuhi pa gid si Adan sing 800 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.5	Napatay siya sa edad nga 930.
GEN.5.6	Sang nagaedad na si Set sing 105 ka tuig, natawo ang iya anak nga lalaki nga si Enosh. 
GEN.5.7	Matapos natawo si Enosh, nagkabuhi pa gid si Set sing 807 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.8	Napatay siya sa edad nga 912.
GEN.5.9	Sang nagaedad na si Enosh sing 90 ka tuig, natawo ang iya anak nga lalaki nga si Kenan. 
GEN.5.10	Matapos natawo si Kenan, nagkabuhi pa gid si Enosh sing 815 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.11	Napatay siya sa edad nga 905.
GEN.5.12	Sang nagaedad na si Kenan sing 70 ka tuig, natawo ang iya anak nga lalaki nga si Mahalalel. 
GEN.5.13	Matapos natawo si Mahalalel, nagkabuhi pa gid si Kenan sing 840 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.14	Napatay siya sa edad nga 910.
GEN.5.15	Sang nagaedad na si Mahalalel sing 65 ka tuig, natawo ang iya anak nga lalaki nga si Jared. 
GEN.5.16	Matapos natawo si Jared, nagkabuhi pa gid si Mahalalel sing 830 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.17	Napatay siya sa edad nga 895.
GEN.5.18	Sang nagaedad na si Jared sing 162 ka tuig, natawo ang iya anak nga lalaki nga si Enoc. 
GEN.5.19	Matapos natawo si Enoc, nagkabuhi pa gid si Jared sing 800 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.20	Napatay siya sa edad nga 962.
GEN.5.21	Sang nagaedad na si Enoc sing 65 ka tuig, natawo ang iya anak nga lalaki nga si Metusela. 
GEN.5.22+GEN.5.23+GEN.5.24	Matapos natawo si Metusela, nagkabuhi pa gid si Enoc sing 300 ka tuig kag nadugangan pa gid ang iya kabataan. Sang sina nga mga tinuig malapit gid ang relasyon ni Enoc sa Dios, gani sang nagaedad na siya sing 365 ka tuig nadula siya, kay ginkuha siya sang Dios.
GEN.5.25	Sang nagaedad na si Metusela sing 187 ka tuig, natawo ang iya anak nga lalaki nga si Lamec. 
GEN.5.26	Matapos natawo si Lamec, nagkabuhi pa gid si Metusela sing 782 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.27	Napatay siya sa edad nga 969.
GEN.5.28	Sang nagaedad na si Lamec sing 182 ka tuig, natawo ang isa niya ka anak nga lalaki. 
GEN.5.29	Nagsiling siya, “Ining akon anak makabulig sa aton nga pagpangabudlay sa duta nga ginpakamalaot sang 
GEN.5.30	Matapos natawo si Noe, nagkabuhi pa gid si Lamec sing 595 ka tuig kag nadugangan pa gid ang iya kabataan. 
GEN.5.31	Napatay siya sa edad nga 777.
GEN.5.32	Halin sa edad ni Noe nga 500, natawo ang iya mga anak nga lalaki nga sila ni Shem, Ham, kag Jafet.
GEN.6.1	Sang ulihi, nagdamo ang mga tawo sa kalibutan, kag nagkalatawo 
GEN.6.2	Nakita sang mga anak sang Dios
GEN.6.3	Karon nagsiling ang 
GEN.6.4	Sang sadto nga tiyempo, kag bisan sang ulihi, may mga kilala nga mga tawo
GEN.6.5	Sang nakita sang 
GEN.6.6	naghinulsol siya nga ginhimo pa niya ang tawo sa kalibutan. Dako gid ang iya kasubo, 
GEN.6.7	gani nagsiling siya, “Laglagon ko ang tanan nga tawo nga akon gintuga. Kag laglagon ko man ang tanan nga sapat sa duta pati ang mga sapat nga nagalupad, kay nagahinulsol ako nga ginhimo ko sila.” 
GEN.6.8	Pero may isa ka tawo nga nakapalipay sa 
GEN.6.9	Amo ini ang estorya parte sa pamilya ni Noe.
GEN.6.9	Si Noe matarong nga tawo. Siya lang ang nagkabuhi nga matarong sa iya nga tiyempo, kag malapit ang iya relasyon sa Dios. 
GEN.6.10	May tatlo siya ka anak nga lalaki nga sila ni Shem, Ham, kag Jafet.
GEN.6.11	Sa atubangan sang Dios, malaot gid ang mga tawo kag ang ila kalautan naglapta sa kalibutan. 
GEN.6.12	Nakita sang Dios nga malaot gid ang mga tawo sa kalibutan tungod kay ang ila ginahimo puro lang kalainan. 
GEN.6.13	Gani nagsiling siya kay Noe, “Laglagon ko ang tanan nga tawo. Kay tungod sa ila, naglapta ang kalautan sa kalibutan. Laglagon ko sila kaupod sang kalibutan. 
GEN.6.14	Gani ikaw Noe, maghimo ka sang barko
GEN.6.15	Himua nga ang iya kalabaon 450 ka tapak, ang iya kasangkaron 75 ka tapak, kag ang iya kataason 45 ka tapak. 
GEN.6.16	Atupan mo ang barko, kag butangan mo sang antad nga isa kag tunga ka tapak ang dingding kag ang atop. Himua nga ang barko may tatlo ka andana. Butangi man sang puwertahan sa iya kilid. 
GEN.6.17	Kay pabahaon ko ang kalibutan agod malaglag ang tanan nga nagakabuhi. Mapatay ang tanan nga ara sa kalibutan. 
GEN.6.18	Pero magahimo ako sang kasugtanan sa imo. Karon, magsulod ka sa barko upod ang imo asawa, mga anak, kag mga umagad. 
GEN.6.19	Magpasulod ka man sang isa ka pares, lalaki kag babayi, sa kada klase sang mga sapat agod mabuhi sila upod sa imo. 
GEN.6.20	Duha sa kada klase sang tanan nga sapat ang magapalapit sa imo agod mabuhi—ang mga sapat nga nagalupad, ang nagalakat, kag ang nagakamang. 
GEN.6.21	Magdala ka man sang tanan nga klase sang pagkaon para sa inyo kag para man sa mga sapat.” 
GEN.6.22	Gintuman ni Noe ang tanan nga ginsugo sang Dios sa iya.
GEN.7.1	Nagsiling ang 
GEN.7.2	Magdala ka sang pito ka pares sa kada klase sang matinlo
GEN.7.3	Kag magdala ka man sang pito ka pares sa kada klase sang sapat nga nagalupad. Himuon mo ini agod mabuhi sila sa kalibutan. 
GEN.7.4	Kay pagkatapos sang pito ka adlaw halin subong, paulanan ko ang bug-os nga kalibutan sa sulod sang 40 ka adlaw kag 40 ka gab-i, agod magkalamatay ang tanan ko nga ginhimo.” 
GEN.7.5	Gintuman ni Noe ang tanan nga ginsugo sang 
GEN.7.6	Nagaedad si Noe sing 600 ka tuig sang nag-abot ang grabe gid nga baha sa kalibutan. 
GEN.7.7	Nagsulod siya sa barko upod sang iya asawa, mga anak, kag mga umagad agod indi sila magkalamatay sa baha. 
GEN.7.8+GEN.7.9	Suno sa ginsugo sang Dios kay Noe, ginpasulod niya sa barko ang kada pares sang tanan nga klase sang sapat nga matinlo kag indi matinlo nga nagpalapit sa iya. 
GEN.7.10	Kag pagkaligad sang pito ka adlaw, nagbaha sa kalibutan.
GEN.7.11	Nagaedad sadto si Noe sing 600 ka tuig. Kag sang ika-17 nga adlaw sang ikaduha nga bulan, nag-ulan sing puwerte gid kabaskog kag nag-awas ang tanan nga tuburan. 
GEN.7.12	Kag nag-inulan sa kalibutan sa sulod sang 40 ka adlaw kag 40 ka gab-i. 
GEN.7.13	Sang adlaw mismo nga nag-umpisa ang pag-ulan, nagsulod sa barko si Noe kag ang iya asawa kag ang tatlo nila ka anak nga sila ni Shem, Ham, kag Jafet kaupod sang ila mga asawa. 
GEN.7.14	Kaupod man nila ang tanan nga klase sang sapat: ang nagalakat, ang nagakamang, kag ang nagalupad. 
GEN.7.15+GEN.7.16	Suno sa ginsugo sang Dios kay Noe, ginpasulod niya sa barko ang kada pares sang tanan nga klase sang sapat nga nagpalapit sa iya. Pagkatapos ginsira sang 
GEN.7.17+GEN.7.18	Sige ang inulan sa kalibutan sa sulod sang 40 ka adlaw. Nagtaas ang tubig hasta nga naglutaw ang barko. 
GEN.7.19	Nagtaas pa gid ang tubig hasta nga nalapawan ang tanan nga mataas nga mga bukid, 
GEN.7.20	kag hasta nga nagtaas pa gid ang tubig sing mga sobra 20 ka tapak halin sa putokputokan sang pinakamataas nga bukid. 
GEN.7.21	Gani nagkalamatay ang tanan nga may kabuhi—ang mga sapat nga nagalupad, nagalakat, nagakamang, kag ang tanan nga tawo. 
GEN.7.22	Nagkalamatay ang tanan nga nagakabuhi sa duta. 
GEN.7.23	Ginlaglag ang tanan nga tawo kag ang tanan nga sapat sa kalibutan. Si Noe lang kag ang iya mga kaupod sa sulod sang barko ang wala mapatay. 
GEN.7.24	Nagbaha ang kalibutan sa sulod sang 150 ka adlaw.
GEN.8.1	Wala pagkalimti sang Dios si Noe kag ang iya mga kaupod nga mga sapat sa sulod sang barko. Gani ginpahuyop niya ang hangin sa kalibutan kag nag-amat-amat hubas ang tubig. 
GEN.8.2	Gintakpan niya ang mga tuburan kag ginpauntat ang ulan. 
GEN.8.3	Sige hubas ang tubig sa sulod sang 150 ka adlaw. 
GEN.8.4	Kag sang ika-17 nga adlaw sang ikapito nga bulan, nabara ang barko sa kabukiran sang Ararat. 
GEN.8.5	Padayon nga naghubas ang tubig. Kag sang nahauna nga adlaw sang ika-10 nga bulan, makita na ang putokputokan sang mga bukid.
GEN.8.6	Pagligad sang 40 pa gid ka adlaw, ginbuksan ni Noe ang bintana sang barko 
GEN.8.7	kag ginbuy-an paguwa ang isa ka uwak. Kag ang ini nga uwak sige lang ang iya lupad-lupad pakadto-pabalik hasta sa paghubas sang tubig. 
GEN.8.8	Ginbuy-an man ni Noe ang isa ka pating agod mahibaluan niya kon naghubas na ang tubig, 
GEN.8.9	pero wala sing may mahapunan ang pating tungod kay natabunan pa sang tubig ang bug-os nga kalibutan. Gani nagbalik na lang ang pating kay Noe sa barko. Ginpahapon ni Noe ang pating sa iya kamot kag ginpasulod sa barko. 
GEN.8.10	Ginpaligad anay ni Noe ang pito ka adlaw kag ginbuy-an niya liwat ang pating. 
GEN.8.11	Nagbalik ang pating sang sirom na nga may lab-as nga dahon sang olibo sa iya tuktok. Gani nahibaluan ni Noe nga naghubas na ang tubig. 
GEN.8.12	Ginpaligad liwat ni Noe ang pito pa gid ka adlaw kag ginbuy-an niya liwat ang pating, pero wala na ini nagbalik.
GEN.8.13	Nagaedad na si Noe sing 601 ka tuig. Kag sang nahauna nga adlaw sang nahauna nga bulan, naghubas ang tubig. Ginkuha ni Noe ang tabon sa may barko kag nakita niya nga mala na ang duta. 
GEN.8.14	Sang ika-27 nga adlaw sang ikaduha nga bulan mala na gid ang duta sa bug-os nga kalibutan.
GEN.8.15	Nagsiling dayon ang Dios kay Noe, 
GEN.8.16	“Guwa na kamo tanan sa barko. 
GEN.8.17	Kag paguwaa man ang tanan nga sapat agod magmuad sila kag magdamo, kag maglapta sa kalibutan.” 
GEN.8.18	Gani nagguwa si Noe upod ang iya asawa, mga anak nga lalaki kag mga umagad. 
GEN.8.19	Nagguwa man ang tanan nga sapat: ang nagalakat, ang nagalupad, kag ang nagakamang. Nagainupod sila suno sa ila nga klase.
GEN.8.20	Naghimo si Noe sang halaran para sa 
GEN.8.21	Sang napanimahuan sang 
GEN.8.22	Samtang nagapadayon ang kalibutan, may panahon sang tigtalanom kag may tig-alani, may tigtulugnaw kag may tig-ilinit, may tingulan kag may tingadlaw, kag may adlaw kag may gab-i.”
GEN.9.1	Karon, ginbendisyunan sang Dios si Noe kag ang iya mga anak kag ginsilingan, “Magpamata kamo agod magdamo kamo kag maglapta sa kalibutan. 
GEN.9.2	Mahadlok sa inyo ang tanan nga sapat: ang nagalakat, ang nagalupad, ang nagakamang, kag ang nagalangoy. Kamo ang magagahom sa ila tanan. 
GEN.9.3	Ginahatag ko ini nga mga sapat sa inyo bilang pagkaon, subong nga ginhatag ko sa inyo ang mga tanom bilang pagkaon. 
GEN.9.4	Pero indi gid ninyo pagkaunon ang sapat nga sang pagpatay ang dugo wala makaguwa, tungod kay ang dugo simbolo sang kabuhi. 
GEN.9.5	Pagasukton ko gid ang bisan sin-o nga magpatay sa inyo, bisan pa ang mga sapat. Pagasukton ko ang bisan sin-o nga magpatay sa iya isigkatawo. 
GEN.9.6	Ang bisan sin-o nga magpatay sa iya isigkatawo dapat pagapatyon man sang iya isigkatawo. Kay ang tawo ginhimo sang Dios nga kaanggid sa iya. 
GEN.9.7	Karon, magpamata kamo agod magdamo kamo kag maglapta sa kalibutan.”
GEN.9.8	Nagsiling pa gid ang Dios kay Noe kag sa iya mga anak, 
GEN.9.9+GEN.9.10+GEN.9.11	“Amo ini ang akon kasugtanan sa inyo kag sa inyo mga kaliwat, kag sa tanan nga nagakabuhi sa kalibutan—ang tanan nga sapat nga nangin kaupod ninyo sa barko: Indi ko na gid paglaglagon liwat ang tanan nga nagakabuhi paagi sa grabe gid nga baha. Kag wala na gid sing baha nga pareho sini nga matabo pa sa paglaglag sang kalibutan. 
GEN.9.12+GEN.9.13	Kag bilang tanda sang akon kasugtanan sa inyo kag sa tanan nga sapat, kag sa inyo mga kaliwat sa palaabuton, ibutang ko ang akon balangaw sa mga panganod. 
GEN.9.14	Kon paguwaon ko ang mga panganod kag magpakita ang balangaw, 
GEN.9.15	dumdumon ko dayon ang akon kasugtanan sa inyo kag sa tanan nga klase sang sapat, nga indi na gid magbaha liwat sa paglaglag sang tanan nga nagakabuhi. 
GEN.9.16	Kon magguwa ang balangaw sa mga panganod, dumdumon ko dayon ang akon wala sing katapusan nga kasugtanan sa tanan nga klase sang sapat sa kalibutan. 
GEN.9.17	Ang balangaw amo ang tanda sang akon kasugtanan sa tanan nga nagakabuhi sa kalibutan.”
GEN.9.18	Amo ini ang mga anak ni Noe nga kaupod niya sa barko: si Shem, si Ham, kag si Jafet. (Si Ham amo ang amay ni Canaan.) 
GEN.9.19	Ini sila nga tatlo amo ang ginhalinan sang tanan nga tawo sa kalibutan.
GEN.9.20	Si Noe isa ka mangunguma kag siya amo ang una nga nagtanom sang ubas. 
GEN.9.21	Sang isa ka tion, nag-inom siya sang bino kag nahubog siya. Natulugan siya nga hublas sa sulod sang iya tolda. 
GEN.9.22	Karon, si Ham nga amay ni Canaan nagsulod sa tolda, kag nakita niya nga hublas ang iya amay. Gani nagguwa siya kag ginsugiran niya ang duha niya ka utod. 
