GEN.1.1	Tetenzük nung Tsüngremi anüng aser alima poktetdaktsü.
GEN.3.6	Kodang tetsürlai iba süngjangji tachitsü asoshi tajung aser jangratemtsüka la nükdang ibaji angu, aser shisa kaa kümdaktsüba süngjangji nükshia lai süngjangji achi; aser lai pei kinungpu nema agütsü aser paia aji achi. 
GEN.3.7	Tenati ibaji chizükli idangjisa tena tenük lapok aser tena mangsa ta meteta aküm; anungji mungu to arütepa tena temang nembang.
GEN.3.8	Nikongtsütsü tenati 
GEN.3.9	Saka 
GEN.3.10	Pai langzü, “Atsüki nung ne ola ni angashir ni tsübua atsüka lir, kechiaser ni mangsa lir.”
GEN.3.12	Nisungba jagi langzü, “Tetsür shiba nai kü den alitsü agütsü, lai iba süngjang kü nem agütsü aser ni aji chiogo.”
GEN.3.14	Idangji 
GEN.3.15	 Ni tetsürla nena yongtsü nung, aser ne kidong o lar kidong na yongtsü nung tetsükchitep yutsütsü, pai ne kolak ajemsatsütsü, aser nai la shibalang yirutsütsü.” 
GEN.3.16	Aser pai tetsürla dang ashi, “Ni na tanur abenba timtem tali kümdaktsütsü; na kangshia tanur amungtsü, aji saka ne azüabungba ne kinungpu dak alitsü, aser pa ne madak kibur akümtsü.”
GEN.3.18	Ayi aser ai, na atema meitsütsü, aser arem nung meiba süngo-lio nai achitsü. 
GEN.3.19	Na tanaben ali maküm tashi ne tejak nungi asentzü sena inyaker chiyungtsü angutsü, kechiaser na iba nungi agitet, na ali lir, aser na tanaben ali küma aotsü.” 
GEN.3.20	Adami
GEN.3.21	Aser 
GEN.3.23	Anungji 
GEN.3.24	Parnokji aridoker külen, taküm süngdong lenmang anüktsü atsüki anüdoklen cherubim aser ajaklen meyipshiba sentsüprang nok ka ayu.
GEN.4.1	Adami pei kinungtsü Eva den medem aser la mashisa aküm. Lai jabaso ka aso aser ashi, “Ni 
GEN.4.2	Ano lai pa tenu Abel aso. Abel sannüker aküm, saka Kain aluyimer liasü. 
GEN.4.3	Mapang tatsüka lir külen Kaini ali nung atangba nungi 
GEN.4.4	 Abel-ia san telok nung mezüng mepuba nungi aser item temotem 
GEN.4.5	saka Kain aser pa tenla pai magizük. Aser Kain kanga ain adok, aser pa tejak shimak 
GEN.4.6	Idangji 
GEN.4.7	Nai junga inyaka lira na magizüktsü ama? Saka nai junga meinyakrabang kishizüng nung temenen munga lir. Iba yagi ne dak jangrar, saka nai aji azüoktsü tim.”
GEN.4.9	Idangji 
GEN.4.10	i ashi, “Nai kechi inyak? Nenu züi ali nungi kü dang ayimtendagi. 
GEN.4.11	Tang koba ali-i ne ket nungi nenu zü agizüktsü tebang lapok, iba ali nungjagi na aridoker aser atakatem kaor. 
GEN.4.12	Kodang nai alu nung züsendir, iba jagi ne nem tejang kecha magütsütsü; na alima nung talidak maka tenemzür ka asütsü.”
GEN.4.13	Kaini 
GEN.4.14	Tanü nai ni ali jak nungi aridoker; aser ne madang ni atsüktsü alima nung ni talidak maka tenemzür ka asütsü, aser shibaisa ni ngudir pai ni tepsettsü.”
GEN.4.15	Saka 
GEN.4.16	Aser Kaini 
GEN.4.17	Kaini tebutsü den medem aser la mashisa aküm, aser Enok aso. Kaini yimti ka yanglu aser yimti tenüngji par chir nüngten Enok ta aja. 
GEN.4.18	Enok nem Irad sotsü, Iradji Mehujael tebu, Mehujaelji Metushael tebu, aser Metushaelji Lamek tebu. 
GEN.4.19	Lameki tetsür ana agi. Ka tenüng Ada aser tangarla tenüng Zila liasü. 
GEN.4.20	Adai Yabal aso, shiba kiset shiruru metsüha süki nung alirtem tebou aküm. 
GEN.4.21	Pa tenu tenüng Yubal, kentenertem, kongki aser jemji amshirtem tebu liasü. 
GEN.4.22	Zilai Tubal-Kain aso. Shiba yongmenyin aser merang agi taleptsü oset ajak atsüngba nisung liasü; Tubal-Kain tenu tetsür ka tenüng Nama liasü. 
GEN.4.23	Lameki pei kinungtsütem dang ashi,
GEN.4.23	“Ada aser Zila, kü o angang;
GEN.4.23	nenok Lamek kinungtsütem, kü o angang.
GEN.4.23	Kechiaser ni yirutsüba yong,
GEN.4.23	kü dak atep nung asangur ka ni tepsetogo.
GEN.4.24	Lamek dak neter tenetben kepzüktsü.”
GEN.4.25	Ano Adami pei kinungtsü den tanaben medem, aser lai jabaso ka aso, aser pa tenüng Set aja, kechiaser lai ashi, “Tsüngremi kü nem Abel melena metsü tanga ka agütsüogo, kechiaser Kaini pa tepset.” 
GEN.4.26	Set nem jabaso ka sotsü aser pa tenüng Enos aja. Iba mapang nungjagi nisungtemi 
GEN.5.1	Adam Putu kaket ya: Tsüngremi nisung yanglu. Pai pa mesükba nung parnok yanglu. 
GEN.5.2	 Pai parnok tebur aser tetsür yanglu aser parnok moatsü aser parnok dang “Nisung” ta aja. 
GEN.5.3	Kodang Adam küm noklang ka ser semer liasü, pa ama pa mesükba jabaso ka aso; pa tenüng Set aja. 
GEN.5.4	Set sor külen Adam arishi küm noklang ti liasü, aser jabaso jalatem jakzük 
GEN.5.5	Adam arishi küm noklang tuku ser semer liasü aser pa asü.
GEN.5.6	Set arishi küm noklang ka ser pungu lir pa nungi Enos jakzük. 
GEN.5.7	Enos sor Set küm noklang ti ser tenet liasü, aser pa dak nungi jabaso jalatem jakzük. 
GEN.5.8	Set arishi küm noklang tuku ser terana lir asü.
GEN.5.9	Enos küm tukur lir pa nungi Kenan jakzük, 
GEN.5.10	Kenan sor küm noklang ti ser terpungu ali, aser pa dak jala jabasotem jakzük. 
GEN.5.11	Enos arishi küm noklang tuku ser pungu nung asü.
GEN.5.12	Kenan küm neter lir pa nungi Mahalalel jakzük, 
GEN.5.13	iba sülen pa küm noklang ti ser lir ali; aser pa dak nungi jala jabasotem jakzük. 
GEN.5.14	Kenan arishi noklang tuku ser ter lir asü.
GEN.5.15	Mahalalel küm roker pungu lir pa nungi Yared jakzük. 
GEN.5.16	Yared sor Mahalalel küm noklang ti ser semer ali, aser pa nungi jabaso aser jala jakzük. 
GEN.5.17	Mahalalel arishi küm noklang ti ser tukur pungu lir asü.
GEN.5.18	Yared sor küm noklang ka ser roker ana lir pa nungi Enok jakzük, 
GEN.5.19	Enok sor Yared küm noklang ti ali, aser jabaso jalatem jakzük. 
GEN.5.20	Yared arishi küm noklang tuku ser roker ana ali aser pa asü.
GEN.5.21	Enok küm roker pungu lir pa nungi Methusela jakzük, 
GEN.5.22	iba sülen Enok küm noklang asem ali, aser pai Tsüngrem den jaja aser jala jabasotem jakzük. 
GEN.5.23	Enok arishi küm noklang asem ser roker pungu liasü. 
GEN.5.24	 Enoki arishi tepiyong Tsüngrem den jaja aser pa mungui aküm, kechiaser Tsüngremi pa bener ao.
GEN.5.25	Methusela küm noklang ka ser tir tenet lir pa nungi Lamek jakzük. 
GEN.5.26	Lamek sor Methusela küm noklang tenet ser tir ana ali, aser jala jabasotem jakzük. 
GEN.5.27	Methusela arishi küm noklang tuku ser roker tuku lir asü.
GEN.5.28	Lamek küm noklang ka ser tir ana lir jabaso ka jakzük, 
GEN.5.29	aser pai pa tenüng Noa ta ja-a ashi, “
GEN.5.30	Iba sülen Lamek küm noklang pungu ser tukur pungu ali, aser jala jabasotem jakzük. 
GEN.5.31	Lamek arishi küm noklang tenet ser neter tenet liasü aser pa asü.
GEN.5.32	Noa küm noklang pungu lir jabaso asem: Sem, Ham aser Yafet jakzük.
GEN.6.2	Tsüngrem chirtemi nisung jalatem tobur junga angu, anungji parnoki aginübatem parnok kinungtsü asütsü agi. 
GEN.6.3	Idangji 
GEN.6.4	 Item anogo nungji alima nung aso tulu nisungtem
GEN.6.6	pai alima nung meimchir yangluba atema jashi aser pa temulung mepelai aküm. 
GEN.6.7	Anungji pai ashi, “Meimchir shiba ni yanglu, parnok den ayazüba shirurutem aser ozütem ajak ni samatsütsü, kechiaser parnok yangluba atema ni jashir.” 
GEN.6.8	Saka 
GEN.6.10	Noa nungi jabaso asem jakzük: Shem, Ham aser Yafet. 
GEN.6.11	Tang Tsüngrem madang alima temenen aser teka yitepba agi sünga liasü. 
GEN.6.12	Aser Tsüngremi alimaji reprang aser ibaji teraksa aser memeshi liasü; alima nung meimchir ajakji temenen yimya nung aliba pai angu.
GEN.6.13	Tsüngremi Noa dang ashi, “Meimchir ajak tatem küma meshimeshia samatsütsü ni lemtetogo, kechiaser parnoki alimaji azü tokshiba agi süngtsüogo aser ajiang alima den parnokji ni samatsütsü. 
GEN.6.14	Nai gofer süng agi rong ka na asoshi yangluang, aser iba nungji taktang taktang enokang; iba telunglen aser temalen temenateptsü agi nübangang. 
GEN.6.15	Nai aji yamai yangluang: metong nung süklep noklang asem, lenten nung süklep tenem aser touchi nung süklep semer. 
GEN.6.16	Rong nungji kichiba ka yangluang, aji temalen süklep ka tashi yangluang, aser nai rong kishiji iba temalenji yangluang, aser nai aji teküpoklen, tanabuba aser tasembuba taktang keta yangluang. 
GEN.6.17	Kechiaser ni alima dangi tzümetsüng yoka taküm ajak samatsütsü. Alima nung aliba taküm ajak asütsü. 
GEN.6.18	Saka ni ne den tezüngzüktepba ka yanglutsü. Na aser ne kinungtsü, ne jabasotem aser parnok kinungtsütem rong jagi tuang. 
GEN.6.19	Aser taküm aliba shiruru ajak nungi tapu shia anana parnok taküm alitsüsa rong jagi anir iang, parnok tepung o tetsü na alitsüla. 
GEN.6.20	Ozütem tapu shia, shirurutem tapu shia, aser alima nung ayazüba tapu shia parnok taküm litettsüsa tapu shia anana ne dangi arutsü. 
GEN.6.21	Ano nai tachitsü asoshi chiyungtsü tapu ajak bendena yuang aser aji na aser parnok asoshi chiyungtsü alitsü.” 
GEN.6.22	 Aser Tsüngremi melaba ajak Noai inyak.
GEN.7.2	Temeshi shiruru shia nungi atsü-apung tenetnet kümdanga nai agiang. Saka memeshiba shiruru shia nungi atsü-apong ka ka dang agiang. 
GEN.7.3	Ozütem nungia atsü-apung tenetnet alima ajak nung taküm lidaktsütsü asoshi agiang. 
GEN.7.4	Kechiaser anogo tenetnü lir ni alima nung anogo lirnü aser lir aonung tzünglu arudaktsütsü, aser alima nung ni yangluba taküm ajak samatsütsü.” 
GEN.7.5	i pa dang melaba ama Noai ajak inyak.
GEN.7.6	Alima nung tzümetsüng arudang Noa küm noklang trok tain liasü. 
GEN.7.7	 Tzümetsüng nungi jenbutsü asoshi Noa aser tebutsü, par jabaso aser parnok kinungtsürtem rongi ai. 
GEN.7.8	Temeshi shiruru aser memeshiba shiruru nungi atsü-apong aser ozütem rongnungi atsü-apung parnok tapu tabensa anana, 
GEN.7.9	aser ali nung ayazüba shiruru ajak Tsüngremi melaba ama Noa den rongi ai. 
GEN.7.10	Anogo tenetnü lir alimai tzümetsüng aru.
GEN.7.12	Aser alima nung lirnü aser lir aonung tzüngluji aru. 
GEN.7.13	Panüjisa Noa aser tebutsü, par jabaso asem: Shem, Ham aser Yafet, aser parnok kinungtsürtem rongi atu. 
GEN.7.14	Parnok den shiruru ajak tapu shia, kiset aser arem shiruru tulu aser tila, aser ali nung ayazüba ajak tapu shia, aser ozü ajak tapu shia; 
GEN.7.15	tetsü aser tepung taküm tangula aliba shiruru ajak Noa den rongi ai. 
GEN.7.16	Tsüngremi melaba ama shi ajak nungi tetsü o tepung na atu, aser 
GEN.7.17	Tzümetsüngji alima nung anogo lirnü liasü, aser rongji ali nungi ajungketa temaleni punga atutsüsa tzüji tali aküm. 
GEN.7.18	Tzüji kanga tali aküm nung rongji iba manung pungdak. 
GEN.7.19	Tzüji kanga tali aküm aser anüng kübok tenem talangtem ajak metsüngbang. 
GEN.7.20	Tenem talangtem nungi temaleni süklep terpungu tashi tzüji metsünga atu. 
GEN.7.21	Alima nung taküm aliba ajak, ozütem ajak, shirurutem ajak aser nisung ajak asü. 
GEN.7.22	Alima nung taküm tangula sashiba ajak asü. 
GEN.7.23	Alima nung taküm aliba ajak, meimchir, shiruru aser ozütem samadok; saka Noa aser pa den rong nung aliba dang kümzük. 
GEN.7.24	Aser tzüji alima nung anogo noklang ka ser tenem tashi metsüngbanga liasü.
GEN.8.1	Saka Tsüngremi Noa aser pa den rong nung aliba shiruru ajak mamai liasü, aser alima nung mopung ka süidakja tzüji aremdaktsü. 
GEN.8.2	Tzüpokdak tarok ajak aser anüng kichibatem shibanga tzünglu sot. 
GEN.8.3	Anogo noklang ka ser tenem nung tzüji alima nung aremadok, 
GEN.8.4	aser ita tenetbuba anogo tertenetbuba nung rongji Ararat tenem nung anen. 
GEN.8.5	Tzüji maneni aremadok aser ita terbuba anogo mezüngbuba nung tenem kolak ngua aküm.
GEN.8.6	Anogo lirnü lir Noai rong kichiba lapoker, 
GEN.8.7	waro ka yok, aser alima nung tzüji makong tashi waroji oli aruli ta yimzü. 
GEN.8.8	Ano alijak nung tzüji arem asü marem metettsü asoshi Noai posü ka yok, 
GEN.8.9	saka alima ajak nung tzü sünga aliba agi posüji tatemdak maka rongi tanaben meyipa aru, aser Noai teka songtoka aji aniok. 
GEN.8.10	Noai ano anogo tenetnü ata-a liasü aser pai posüji tanaben yok. 
GEN.8.11	Nikongtsütsü posü jagi tebang nung oliv süngo ka mechizüka bener aru. Anungji alima nung tzüji aremogo ta Noai metet. 
GEN.8.12	Ano Noai anogo tenet lir posüjisa yok aser aji joko pa dangi meyipa maru.
GEN.8.13	Noa küm noklang trok ser ka buba mezüng ita mezüngbuba anogo nung tzüji alima nung kongadok. Noai rong nembangbaji lapoka alimaji ajidang, aser aji takong liasü. 
GEN.8.14	Ita tanabuba anogo metsür tenetbuba nung alimaji takong liasü.
GEN.8.15	Tsüngremi Noa dang ashi, 
GEN.8.16	“Na aser nebutsü, ner jabasotem aser parnok kinungtsürtem rong nungi adokang. 
GEN.8.17	Ozütem aser shirurutem ajak rong nungi adokdakjang, aser parnok jenti rena alimaji süngdakjang.” 
GEN.8.18	Anungji Noa, tebutsü, par jabasotem aser parnok kinungtsürtem rong nungi adok. 
GEN.8.19	Shiruru ajak, taküm aliba ayazübatem ajak aser ozü pei pei tapu shia rong nungi adok.
GEN.8.20	Noai 
GEN.8.21	i tenla teronemji agizük aser pei sasa ashi, “Ni meimchir mapa asoshi alimaji tanaben atakatem masütsü; kechiaser lanuwa nungi parnoki shisadangbatem tamajung dang lir, aser alima nung taküm aliba ajak ni tang samatsüba ama parnok mesamatsütsü. 
GEN.8.22	Alima ali tashi metsü mapang aser aluruwa, asükwa aser lemluwa aser tsüngkhüm mapang, anüngdang aser aonung maneni alitsü.”
GEN.9.2	Alima nung aliba taküm shiruru ajak madak, anüng ozü madak, aser tzüyim ango ajak madak na tsübuba alitsü. Parnokji ne ket nung nungloka yutsür. 
GEN.9.3	Ni ne nem süngo-lio tajem agütsüba ama arakzüa taküm aliba ajakji na asoshi chiyungtsü asütsü item ajakji ni ne nem agütsür. 
GEN.9.4	 Saka shi den iba zü koba nung taküm lir, iba ya nenoki techi. 
GEN.9.5	Kari nisung zü tokshira, ni pa nungi ibaji meyipa akhangtsü. Shiruru süaka nisung süaka shibai nisung zü tokshidir, ni parnok tasüba agi merenshitsü.” 
GEN.9.6	Shirisa nisung zü tokshidir, nisung agisa pa zü tokshitsü, kechiaser Tsüngrem mesükba nung pai nisung yanglu.
GEN.9.7	“Nenoki jenti rena soyapokya-ang aser alimaji süngdakjang.”
GEN.9.8	Tsüngremi Noa aser par chirtem dang ashi, 
GEN.9.9	“Ajiang nenok den aser nenok sülen nenok metsü den ni tezüngzüktepba ayur, 
GEN.9.10	aser ne den taküm shiruru ajak, ozü aser shiruru ajak ne den rong nungi adoker ajak den ni ya ayur. 
GEN.9.11	Ni nenok den tezüngzüktepba yamai yanglur: Ni kodanga tzümetsüng yoka taküm shirurutem mesamatsütsü, ni alimaji tanaben tzümetsüng agi mesamatsütsü.” 
GEN.9.12	Tsüngremi ashi, “Ni aser nenok aser taküm aliba shiruru ajak den tatem maka putu tashi kü tezüngzüktepba temaitsüji ya: 
GEN.9.13	ni mepet nung kü tongnüsen yutsür. Ibai ni o alima na tsüngda tezüngzüktepba temaitsü alitsü. 
GEN.9.14	Kodangsa ni mepet agi anüngji sübanger aser tongnüsenji ngudir, 
GEN.9.15	aser kü tezüngzüktepba koba ni o na aser taküm aliba shiruru ajak tsüngda nung lir, aji ni bilemtettsü, aser tzümetsüng agi kodanga ni taküm aliba ajakji mesamatsütsü. 
GEN.9.16	Kodang tongnüsenji mepet nung adokdir, ni aji angutsü aser tatem maka tezüngzüktepba koba Tsüngrem aser alima nung taküm aliba ajak den lir, aji ni bilemtettsü. 
GEN.9.17	Ibaji ni o taküm aliba ajak tsüngdang tezüngzüktepba temaitsü alitsü.”
GEN.9.18	Noa chirtem shir rong nungi adok parnokji: Shem, Ham aser Yafet. Hamji Kanan tebu liasü. 
GEN.9.19	Parnok asemji Noa chirtem aser par asem ajanga alima ajonga meimchir agi süngdaktsü.
GEN.9.20	Noa aluyimer mezüngbuba küma tsükmenatzü lu ayimtsü tenzük; 
GEN.9.21	kodang pai iba yi ajem, pa mesepadok aser pei süki nung mangsa ontaka liasü. 
GEN.9.22	Kodang Kanan tebu Hami pei tebu mangsa aliba angu, pai oa pei adianu ana dang ashi. 
GEN.9.23	Aser Shem o Yafet nati sü ka bener arua parnok tapubang nung aji jeploker; tesüleni jajaa oa parnok tebu mangsa alibaji nembangtsü, aser parnok tejak tesülen shir alinung pei tebu mangsa alibaji mangu. 
GEN.9.24	Kodang Noa yi mesepba nungi sak, aser par chir tanubusangi pa dak inyakba meteta aru, 
GEN.9.25	pai ashi,
GEN.9.25	“Kanan dak atakatem kaoang!
GEN.9.25	Pa pei adianutem lar asütsü,”
GEN.9.26	Ano pai ashi,
GEN.9.26	“Kü Tsüngrem 
GEN.9.26	Aser Kananji Shem lar sang.
GEN.9.27	Tsüngremi Yafet ulujang.
GEN.9.27	Pa Shem süki nung lidakjang;
GEN.9.27	aser Kanan par lar sang.”
GEN.9.28	Tzümetsüng süir külen Noa küm noklang asem ser tenem liasü, 
GEN.9.29	pa arishi küm noklang tuku ser tenem liasü aser pa asü.
GEN.10.1	Noa chirtem itemi: Shem, Ham aser Yafet. Parnok asem dak jakzükbatem: tzümetsüng sülen parnok nem techirtem sotsü.
GEN.10.2	Yafet chirtem: Gomer, Magog, Madai, Yavan, Tubal, Meshek, aser Teras. 
GEN.10.3	Gomer dak Ashkenaz, Rifat aser Tagarma jakzük. 
GEN.10.4	Yavan dak Elisha, Tarshis, Kittim aser Dodanim jakzük. 
GEN.10.5	Parnokji tzüküm aser asetkong nung alirtem tebu aküm. Item Yafet dak jakzükbatem alinük balala nung pei kin oshi balala jembia ali.
GEN.10.6	Ham chirtem: Kush, Ijip, Put aser Kanan. 
GEN.10.7	Kush nungi Seba, Habila, Sabata, Rama aser Sabteka jakzük. Rama dak Sheba aser Dedan jakzük. 
GEN.10.8	Kush nungi Nimrod jakzük, shiba alima nung mezüngbuba tashi tulusang liasü. 
GEN.10.9	 tsüngdang pa shirishir tuluka liasü, anungji yamai nisungtemi ashi, “
GEN.10.10	Pa mezüng chuba yimliji Shinar lima nung aliba Babilon, Erek, Akad aser Kalne nung liasü. 
GEN.10.11	Iba yimli nungi pai Asiriai ao aser Ninevi, Rehobot aser Kala yimtitem yanglu, 
GEN.10.12	ano Ninevi aser Kala na tsüngda nung yimti tulu ka Resen yanglu. 
GEN.10.13	Ijip nung Ludim, Ananim, Lehabim, Neftuhim, 
GEN.10.14	Patrusim, Kasluhim, kechi nungi Filistia aser Krete nunger jakzük.
GEN.10.15	Kanan mezüng jabaso Sidon aser Het, 
GEN.10.16	ano Yebus, Amor, Girgas, 
GEN.10.17	Hiv, Ark, Sin, 
GEN.10.18	Arvad, Zemer, Hamat, item ajak Kanan dang nungi prokshi. 
GEN.10.19	Aser Sidon nungi Gerar len Gaza tashi, aser Sodom, Gomora, Adma, aser Zeboiim len Lasha tashi Kanan nunger arrtsü aküm. 
GEN.10.20	Pei kidong aser pei oshi, pei lima aser pei kin amato ya Ham dak jakzükbatem lir.
GEN.10.21	Yafet tedi Shem Eber nunger ajak tebu liasü. Pa nem techir jenti sotsü. 
GEN.10.22	Shem chirtem: Elam, Ashur, Arpakshad, Lud aser Aram. 
GEN.10.23	Aram chirtem: Uz, Hul, Geter aser Mash. 
GEN.10.24	Arpakshad nungi Shela jakzük. Shela nungi Eber jakzük. 
GEN.10.25	Eber chir ana: Peleg, kechiaser pa mapang alimaji lemsa; tanabuba tenüng Yoktan. 
GEN.10.26	Yoktan nungi Almodad, Shelef, Hazarmavet, Yera, 
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ofir, Havila, aser Yobab, parnok ajak Yoktan nungi jakzük. 
GEN.10.30	Parnokji Mesha nungi Sefar anüdoklen lima nung ali. 
GEN.10.31	Itemi Shem dak jakzükbatem alinük balala nung pei pei kin oshi jembia liasü.
GEN.10.32	Parnok ajakji Noa dak jakzükba kidongtem aser kintem amato pei tebouren balala, tzümetsüng süir külen alima kin ajakji Noa chirtem nungi jakzüka prokshia ao.
GEN.11.1	Alima ajak nung oshi ka aser o ka dang liasü. 
