LUK.1.1	Mullc ômënj ar llôtë pisuprë tas spunë aceli ci sënt fapti ku noj, 
LUK.1.22	Kënd ishë ell nu pëtu tas grastë, sh ej o-duqirë ci avja vëxutë cëva nunt tu tempull. Ell fëcja ku nojma, shi nu gra dot. 
LUK.1.23	Kënd s'umpllurë xëlili ci fëcja yzmeti tu tempull, Zakaria s'turrë akasë. 
LUK.1.24	Elisabeta, mujera a llui, arrëmasi grau, shi ti cinci mesh stëtja askumtë sh'xëcja: 
LUK.1.25	“Domnëlu u feci ti mini, tas s'inj skôtë arrushënia ci avjam dininti a tutëllor.”
LUK.1.26	Dupi shasi mesh ëngjëllu Gabriel s'pëtërku di Dumëxë tu unë kasabai di Galilei ku numa Nazaret, 
LUK.1.27	lla unë fjatë ci ara susitë ku un burbat ci s'a kjëma Jozef, di kasa a David. Fjata s'a kjëma Maria. 
LUK.1.28	Ëngjëllu nesi lla nësë shi i'j xësi: “Hërësjati, tinjësitë. Domnëlu esti ku tini.” 
LUK.1.29	Ija s'ja spërë di aisti zbôrri, sh'mintjua, ci vra s'xëkë aisti zbôrri. 
LUK.1.30	Ëngjëllu i'j xësi: “Nu t'ja spari Maria, kë esht alaptë di Dumëxë. 
LUK.1.31	Ja, us arrëmënj grau, us fac un fiçor, shi us j'u bax numa Jezus. 
LUK.1.32	Ell us hjibë mari, shi us s'ja kjamë Hjij a ma Marrë, shi Domnëlu Dumëxë us i'j da fronu a David, a përintëlu a llui. 
LUK.1.33	Ell us hjibë vësëjë tu kasa a Jakob totëna, shi kratu a lluj nu us qarë pote.” 
LUK.1.34	Ma Maria i'j xësi a ëngjëllu: “Kum us'i fakë aistë, kë mini nu am gëxutë ku burbat?” 
LUK.1.35	Ëngjëllu j'u turrë: “Sëmtul Duh us dëpunë pi tini, sh'fuqia a ma Marrë us t'ja mvërtjastë ku aumbra a lluj, tjaca Sëmtul ci us amintë us'a kjamë Hjij a Dumëxë. 
LUK.1.36	Ja, shi Elisabeta, kusurina a ta, ashtjaptë tas amintë un fiçor tora tu aushatuk, shi esti shasi mesh grau, aca ci ara shterpë. 
LUK.1.37	Di Dumëxë tuti pot si fakë.” 
LUK.1.38	Dapoja Maria xësi: “Mini est ysmeqara a Domnëlu. As'i fakë ashë kum i'nj xësesh”. Shi ëngjëllu s'dëpërtë di nësë.
LUK.1.39	Aceli xëli, Maria si skullë sh'nesi tu un bëlok tu munti, tu unë kasabai ali Judei. 
LUK.1.40	Ija intrë tu kasa a Zakaria, shi s'i adunë ku Elisabeta. 
LUK.1.41	Kënd avxë bocja ali Marii, ali Elisabeti j'arsëru çëlëmanu tu pënduk. Elisabeta s'umpllu ku Sëmtul Duh, 
LUK.1.42	gri ku bôci analltë shi xësi: “Namësa di tuti mujerrë esht umpllutë ku ruçënj, sh'ku ruçënj esti umpllut shi çëlëmanu ci aj tu pënduku a tëll! 
LUK.1.43	Di këtu i'nj jini aistë bun-jacë ci mësa a Domnëlu a njell s'jinë lla mini? 
LUK.1.44	Ja, kënd axhumsi bôcja a tau lla ureqli a njeli, çëlëmanu arrsëru di hërau tu pëndëku a njell. 
LUK.1.45	Hara di aca ci ari pistusitë ci us'i fakë aca ci esti xësë di Domnëlu.” 
LUK.1.46	Maria xësi:
LUK.1.46	“Tutë bana a mja u tinjisesht i Domnëlu,
LUK.1.47	shi sufulltu a njell hërëseshti ti Dumëxë, Acell ci us m'i skapë anjia,
LUK.1.48	kë ell amënë oqjë pi mini, ci m'ja punaj dininti a lluj,
LUK.1.48	shi ja, tuc ômënjjë us m'ja kjamë tënjësitë.
LUK.1.49	Tinjii mari ari datë ma Marrë ti mini. Sëmtul esti numa a lluj.
LUK.1.50	Buniaca a lluj treci dit un bërr tu allant, ti acej ci ar frikë di Nës.
LUK.1.51	Ari faptë llukëri mër ku mëna a lluj,
LUK.1.51	ari amënatë hjima tuc acej ci allavdë mintja shi inëma a llor,
LUK.1.52	rrustunë ma vërrtoshjë dit fron,
LUK.1.52	shi anëllcë acej ci sënt ma apunac.
LUK.1.53	Acej ci nu ar pëni i'j umpllu cu bunec,
LUK.1.53	shi avucjë i'j nqësi ku mënjli gôlli.
LUK.1.54	Axhutë Izrael, yzmeqarru a lluj,
LUK.1.54	shi adusi tu minti buniaca
LUK.1.55	kum llu avja xësë a përincëllu a noshç,
LUK.1.55	all Abraham shi tuc acej ci jin dupi nës totëna.”
LUK.1.56	Maria stëtu tre mesh ku Elisabeta, dapoja s'turrë tu kasa e je.
LUK.1.57	Vini qërollu ci Elisabeta amëntë fiçor. 
LUK.1.58	Ômënjjë sh'kusurinjjë a je avxarë kë Domnëlu ari faptë unë buniacë mari ti Elisabeta, sh'hërësirë dadun ku nësë. 
LUK.1.59	Dupi optu xëli vinërë tas u fakë syneti shi vra ta s'i'j bagë numa Zakaria, pi dupi numa a tatësu. 
LUK.1.60	Astumsëna mësa a lluj xësi: “Nu, ell us s'akjamë Joan.” 
LUK.1.61	Ei i'j xësërë “Içvërr di kusurinjjë a voç nu s'ja kjamë ku aistë numë.” 
LUK.1.62	Dapoja tërbarë tatësu ku nojmë, kë ci numë vra s'i'j bëga. 
LUK.1.63	Ell këftë unë skëndurë, shi pi nësë skërë: “Joan''esti numa a lluj.” Tuc hërësirë. 
LUK.1.64	Di-unorë a Zakaria i'j s'i zhdikisi gura, i'j s'i zdilëgë limba, shi ahurhji tas grastë, sh'allëvda Dumëxë. 
LUK.1.65	Tuc ômënjjë afigërra j'akëcë frika, shi jucëdo tu Judei spunia ti nësh. 
LUK.1.66	Acej ci l'i avxarë aisti zbôrri l'i cënurë tu inëmë shi xëserë: “Ci us'i fakë aist fiçor?” Shi mëna a Domnëlu ara ku nës.
LUK.1.67	Zakaria, tatësu a lluj, s'i umpllu ku Sëmtul Duh, shi feci aistë profecii:
LUK.1.68	“Allëvdat s'hjibë Domnëlu,
LUK.1.68	Dumëxëllu a Izrael,
LUK.1.68	ci vini shi axhutë
LUK.1.68	ômënjjë a lluj.
LUK.1.69	Ell skullë ti noj korru
LUK.1.69	ali skëpari
LUK.1.69	tu kasa a David,
LUK.1.69	ysmeqarru a lluj,
LUK.1.70	ashë kum avja xësë
LUK.1.70	ku gura a profetëlu a llui di etë;
LUK.1.71	skëpara di dushmanjjë a noç
LUK.1.71	shi di mënjli acëllor ci nu n'i vra
LUK.1.72	ll'u dedi buniacë a përincëllu a noç
LUK.1.72	t'i aduqeri sëmtul zbor ci avja lëgatë ku noj;
LUK.1.73	ti zborru ci j'ari datë all Abraham, përintëlu a nost,
LUK.1.73	tas s'ni allasë,
LUK.1.74	ci kënd s'ni skapë
LUK.1.74	di mënjli a dushmanëllu a noç
LUK.1.74	s'llukrëm ti nës fërë frikë
LUK.1.75	ta s'hjim sëmtul shi ndrepc dininti a Lluj
LUK.1.75	tu tuti xëlili ali bana a nostë.
LUK.1.76	Shi tini çilëman
LUK.1.76	us esht profet a ma Analltu
LUK.1.76	kë us trec dininti a Domnëlu,
LUK.1.76	tas s'i'j fac etëmë kala a Lluj,
LUK.1.77	tas s'i'j da a ômënjllu a Lluj
LUK.1.77	kunushtjera ali skëpari
LUK.1.77	ku hërxera a amartiilor a llor
LUK.1.78	di inëma buna
LUK.1.78	a Dumëxëllu a nost,
LUK.1.78	di Nës us n'i jinë llunjina di sus
LUK.1.79	ci skapërë pisti acej ci sta tu nôpti,
LUK.1.79	sum aumbra ali morti
LUK.1.79	shi s'ni adukë
LUK.1.79	tu kala ali buniaci shi irini”.
LUK.1.80	Fiçorru kërshtja, ku ruçënj tu sufullt shi stëtja pit pustinjë (errnjii) pën s'vinia xua tas s'isha dininti a Izrael.
LUK.2.1	Aceli xëli, Cezar August skôsi unë dekreti tas fëcja skërara a ômënjllu. 
LUK.2.2	Prota skërari ara faptë kënd Kuirini ara ma marrë tu Sirii. 
LUK.2.3	Tuc nëxja tas s'i skëra pit bilokërrë a llor. 
LUK.2.4	Shi Jozef, ci ara di Galilei, di kasabaja a Nazaret, nesi tu Judei, tu biloku a David, ci s'ja kjëma Betlehem, kë ara di kasa shi di fisja a David, 
LUK.2.5	tas s'i skirë dadun ku Maria, ku susita a lluj, ci ara grau. 
LUK.2.6	Kënd ara tu Betlehem i'j vini qërollu tas amintë, 
LUK.2.7	shi amëntë fiçorru a je. O-vërrti tu kullpënj, shi u bëgë tu grazhd, kë tu han nu avja bëlok goll, ti nësh.
LUK.2.8	Tu acell bilok ara ndoj pikurar ci tërcja nôptja pit aguri shi pështja kupia. 
LUK.2.9	Un ëngjëll a Domnëlu i'j s'i funusi allor shi s'ja vërrtirë ku llunjina a Dumëxë. Ej s'ja spërarë mullt, 
LUK.2.10	ma ëngjëllu llu xësi: “Nu v'ja spërac! Ja, us v'i dau unë sihariqi bunë, unë hërau mari ti tuc ômënjje: 
LUK.2.11	Azë, tu kasabaja a David amintë ti voj acell ci us v'i skapë, ci este Hristollu Domn. 
LUK.2.12	Nojma ti voj us hjibë aistë: us afllac un çilëman avërrtit tu kullpënj ci dôrmi tu grazhd.” 
LUK.2.13	Dadun ku ëngjëllu vinërë shi mullc allc ëngjëj dit Cerl, ci allëvda Dumëxëllu ashë: 
LUK.2.14	“Allëvdat s'hjibë Dumëxëllu nxjanë tu cerl, irini shi buniacë s'ajbë ômënjjë ci Ell j'ari tu inëmë.” 
LUK.2.15	Kënd s'dëpërtarë ëngjëjë di nësh, shi s'turrarë tu cerl, pikurarjë xësërë un-di-allant: “S'nëxem tu Betlehem, s'vëdem ci ari unxitë, ku aca ci n'ari spusë Domnëlu.” 
LUK.2.16	Ej di-unôrë nesërë shi ofllarë Maria ku Jozef, shi fiçorru a llor bëgat tu grazhd. 
LUK.2.17	Kënd u vëxurë, spusërë aca ci ll'u ara xësë ti çilëman. 
LUK.2.18	Tuc acej ci avxarë, arrëmasërë çudusic di aceli ci avxarë di pikurar. 
LUK.2.19	Maria l'i vëgja shi l'i mintjua tuti aisti tu inëma a je. 
LUK.2.20	Dapoja pikurarjë s'turrarë, shi allëvdarë Dumëxë ti tuti ci vëxurë shi avxarë, ashë kum ll'u ara spusë. 
LUK.2.21	Dupi optu xëli, kënd u fecërë synet, i'j bëgarë numa Jezus, numa ci avja xësë ëngjëllu ma ninti ci us gëdja tu pëndëku a mësa.
LUK.2.22	Kënd tërkure xëlëli ti pëstrera a llor tu tempull, pi dupi nomlu a Moisiu, Jozef shi Maria o-dusërë Jezus tu Jerusalem, tas o-punë dininti a Domnëlu, 
LUK.2.23	ashë kum esti skërati tu skërëturëli a Domnëlu: “Kathi protu fiçor us i'j s'i parada a Domnëlu, 
LUK.2.24	shi us fakë kurbani doj turtuj iti doj pëllungj njic.” 
LUK.2.25	Tu acell qëro, bëna tu Jeruzalem un om ku numa Simeon. Aist om ara mullt ndrept dininti a Dumëxë. Sëmtul Duh ara ku nës. 
LUK.2.26	Sëmtul Duh j'avja zdëvëlitë, kë nu us mura n'i vëxut Hristollu a Domnëlu. 
LUK.2.27	Pims di Sëmtul Duh, ell vini tu tempull shi kënd përincjë o-dusërë Jezus njik, tas s'i fëcja aceli ci ara skërati tu nomlu a Moisiu, 
LUK.2.28	Simeon u llo Jezus mbracë, shi allëvdë Dumëxë ashë:
LUK.2.29	“Tora o Dumëxë,
LUK.2.29	allasu ysmeqarru a tëll
LUK.2.29	tas fugë tu irini,
LUK.2.29	pi dupi zborru a Tëll,
LUK.2.30	kë ku oqjë a njej
LUK.2.30	vëxuj skëpara a Ta,
LUK.2.31	ci tini u fëcesh etëmë
LUK.2.31	tu oqjë ali tuti dunei,
LUK.2.32	llunjinë tas skapë miletja
LUK.2.32	shi tinjii ti ômënjjë a tëj tu Izrael”.
LUK.2.33	Tatësu shi mësa a Jezus ara mullt kënëqësic di tuti aceli ci s'i spunia ti nës. 
LUK.2.34	Dapoja Simeon i'j dedi ruçënjli sh'i'j xësi ali Marii, mësa a Jezus: “Ja, aist fiçor us'i fakë sëbepi t'i këderi shi t'i anëllcara a mullc ômënjllu tu Izrael, shi unë nojmë kondra, 
LUK.2.35	tas s'i zdëvëljastë mullti inëmi, ma acëa un këcut us t'u ncapë sufëlltu.” 
LUK.2.36	Ako tihjisi shi unë profeteshë, Ana, hjija a Fanuel di fisja a Asheru. Ija ara mujeri tërkutë. Avja bënatë shapti anj ku burbasu a je, 
LUK.2.37	shi ma nëpoj bënë ka vedu pën s'i feci optuxëc i patur di anj. Ija nu s'dëpërta di tempull, ma o-llëvda Dumëxë nôpti shi xuë, cënia presëni shi fëcja duvai. 
LUK.2.38	Pedhis ci tihjisi ako tu acell qëro, ahurhji shi ija tas allavdë Domnëlu, shi ll'u spunia ti çilëmanu acëllor ci ashtëptja skëpara a Jeruzalem.
LUK.2.39	Kënd bitësirë llukërrë pi dupi nomlu a Domnulu, s'turrarë tu Galilei, tu kasabaja a llor, Nazaret. 
LUK.2.40	Fiçorru kërshtja sënëtos shi mintimen, shi aumbra a Domnëlu ara ku nës.
LUK.2.41	Përincjë a Jezus, nëxja kathi an tu Jerusalem ti Pashti. 
LUK.2.42	Kënd ell umpllu dojspërxaci di anj, nesërë napoj ako pi dupi zakoni. 
LUK.2.43	Dupi pashti ej nqësirë s'i tôrrë. Fiçorru Jezus arrëmasi tu Jerusalem, ma përincjë nu u llôrë di hëbari aistë gjëji. 
LUK.2.44	Allor ll'o-spëru kë fiçorru vinia ku socjë, shi imnarë tutë xua. Ma kënd ahurhjirë s'u kaftë pit kusërinj, 
LUK.2.45	nu o-fllarë, shi s'turrarë napoj tu Jerusalem tas u kaftë. 
LUK.2.46	Dupi tre xëli o-fllarë tu tempull. Stëtja mpadi ningi dhaskalënj, ci j'avxa sh i'j tërba. 
LUK.2.47	Tuc acej ci avxa s'çudusja ku zbôrrëli mintimeni ci xëcja. 
LUK.2.48	Kënd u vëxurë mësa i'j xësi: “Hjij, këce n'u fëcesh ashë? Mini shi tatëtu ma t'i këftam ku mari merak” 
LUK.2.49	Jezus ju turrë: “Këce ma m'i këftat? Nu u shtic voj kë lipseshti s'mi jau ku llukërrë a Përintëlu a njell?” 
LUK.2.50	Ma ej nu l'aduqirë zborrëli a lluj. 
LUK.2.51	Dapoja nqësi dadun ku nësh, s'turrë tu Nazaret sh i'j avxa. Mësa a lluj l'i vëgja tuti aisti tu inëmë. 
LUK.2.52	Shi Jezus kërshtja mintimen, bun, mushat, dininti a Dumëxë shi a ômënjllu.
LUK.3.1	Tu cinspërxacëli di an, ci vësëjë ara Cezar Tiberi, kënd Ponc Pilat ara tu qevërria ali Judei, shi Erod ara tetrark ali Galilei, shi fratësu a lluj Filip, ara tetrark ali Iturei shi Trakonitidi, kënd Lisania ara tetrark ali Abileni, 
LUK.3.2	shi kapupreft ara Hanaj shi Kajafa, all Joan, hjijësu a Zaharia, i'j si dedi zborru a Dumëxë tu pustinjë. 
LUK.3.3	Ell allëgë pit tuti bëlokërrë, di dali përc a rrëu Jordan, shi llu xëcja a ômënjllu tas s'i hërxja shi s'i pëtëxa, tas skëpa di amartii. 
LUK.3.4	Tu kërcli a profetëllu Isaia ara skëratë:
LUK.3.4	Unë boci s'avdi tu pustinjë:
LUK.3.4	Fëcec etëmë kala ti Domnëlu,
LUK.3.4	ndreptac kërrara a Lluj.
LUK.3.5	Tutë padja as s'i umpllë
LUK.3.5	shi tuc muncjë as s'i apunë.
LUK.3.5	Ndrëptac këjurrë strrëmbi
LUK.3.5	shi ashtërrac, këjurrë ci v'i qedëkë.
LUK.3.6	Kathi om us u vjadë
LUK.3.6	skëpara ci n'ari pëtërkutë Dumëxë.
LUK.3.7	Joan ll'u xëcja a tutëllor ci vënja ti pëtëxari lla nës: “Fëtac di nëpërtëkë, kaj v'i ari mvëcatë s'vi dëpërtac di nërrera a Dumëxë? 
LUK.3.8	Spunec ishish kë hjic fapc pishmani ti amartiili ci avec faptë, shi nu xëcec ci hjim hjij d'ja Abraham. Mini us v'i xëk kë Dumëxëllu pôti s'i'j da hjij all Abraham shi di aisti shkëmbi. 
LUK.3.9	Di tora pi ôrbëri esti bëgatë tëporra di rrëxëtinë. Cëdo ôrbëri ci nu faci ponj bunj, us'i tajë shi us'i ardë tu fok.” 
LUK.3.10	Ômënjjë u tërbarë: “Kum s'fëcem dapoja?” 
LUK.3.11	Joan ll'u xësi: “Kaj ari dau tëmbër, as j'u da unë acëlluj ci nu ari. Shi acell ci ari ti mëkari, ashë s'fakë.” 
LUK.3.12	Vinërë t'i pëtëxari shi acej ci aduna taksëli, sh i'j xësërë: “Mvëcëtor, kum s'fëcem?” 
LUK.3.13	Ell llu xësi: “Nu adunac ma mullt ci v'i si kaftë.” 
LUK.3.14	Shi ndoj andarc u tërbarë: “Ma noj ci s'fëcem?” Joan ll'u xësi: “Nu i'j lloc a içvërruj cëva ku forcë shi ku psemati, ma kënëqësicvë ku përëllu a vost”. 
LUK.3.15	Ômënjjë ashtëptja shi tuc mindua kë Joan ara Hristollu. 
LUK.3.16	Astumsëna Joan ll'u xësi: “Mini ma v'i pëtex ku apë, ma, ma jini Un ma vërtos di mini, ci nu pot tas s'i'j zdëleg niki pëpucëli. Ell us s'vi pëtjaxë ku Sëmtul Duh shi ku fok. 
LUK.3.17	Ell ari ndreptjaca tas parcë gërru di pajë. Gërru us o-dunë tu hëmbara a lluj, shi paja us u ardë tu foku ci nu us s'aplakë pote.” 
LUK.3.18	Joan ll'u dëdja hëbara bunë a tutëllor shi ku mullti allti mvëcëturi. 
LUK.3.19	Tetrarku Herod, Joan o-vja nxhuratë shi vërjitë ti sebepja ali Herodiati, mujerësa a fratësu a lluj, shi ti mullti rrutjec ci avja faptë. 
LUK.3.20	Ell feci shi unë rrutjacë: u hjipsi Joan tu hapsi.
LUK.3.21	Kënd s'pëtëxarë mullc ômënj, s'pëtëxë shi Jezus, sh'kënd fëcja allëvdara s'i zhdikisi cerlu, 
LUK.3.22	shi pisti nës s'apunë Sëmtul Duh ku prosupu a unuj pëllumbu. Astumsëna s'avxë unë boci di sus: “Tini esht Hjiju a njell, vrutu. Ku tini est kënëqësit”.
LUK.3.23	Kënd ahurhji llukërru a lluj Hristollu ara trexëc di anj. Ômënjjë u shtja kë ara ficor a Jozef. Jozef ara hjij a Elia, 
LUK.3.24	hjij a Matat, hjij a Levi, hjij a Melkiu, hjij a Janai, hjij a Jozef, 
LUK.3.25	hjij a Melkiu, hjij a Amos, hjij a Naum, hjij a Esliu, hjij a Nagai, 
LUK.3.26	hjij a Mahat, hjij a Matatis, hjij a Semeini, hjij a Joseku, hjij a Joda, 
LUK.3.27	hjij a Joananu, hjij a Resa, hjij a Zorobabel, hjij a Salatiel, hjij a Neri, 
LUK.3.28	hjij a Melkiu, hjij a Abiu, hjij a Kosam, hjij a Elmadam, hjij a Eri, 
LUK.3.29	hjij a Jozuei, hjij a Eliezeru, hjij a Jorim, hjij a Matat, hjij a Levi, 
LUK.3.30	hjij a Simeon, hjij a Juda, hjij a Jozef, hjij a Jonam, hjij a Eliakim, 
LUK.3.31	hjij a Melea, hjij a Menai, hjij a Matat, hjij a Natam, hjij a David, 
LUK.3.32	hjij a Jeseu, hjij a Jobed, hjij a Booz, hjij a Salai, hjij a Naason, 
LUK.3.33	hjij a Aminadabi, hjij a Admin, hjij a Arn, hjij a Estom, hjij a Fares, hjij a Juda, 
LUK.3.34	hjij a Jakob, hjij a Isak, hjij a Abraham, hjij a Tarai, hjij a Nahor, 
LUK.3.35	hjij a Seruk, hjij a Ragai, hjij a Falek, hjij a Eber, hjij a Salai, 
LUK.3.36	hjij a Kainam, hjij Arfaksad, hjij a Sem, hjij a Noeu, hjij a Lamek, 
LUK.3.37	hjij a Matusalai, hjij a Enok, hjij a Jaret, hjij a Maleleel, hjij a Kainam, 
LUK.3.38	hjij a Enou, hjij a Seti, hjij a Adam, hjij a Dumëxë.
LUK.4.1	Jezus, umpllut ku Sëmtul Duh s'turrë di Jordan shi Sëmtul Duh o-dusi tu pustinjë. 
LUK.4.2	Ako s'bëgë tu provë di djavollu ti paturxëx di xeli. Tuti aisti xëli nu mëkë cëva shi u llo fômja. 
LUK.4.3	Djavollu i'j xësi: “Ma esht hjij d'ia Dumëxë, xëj ashtëje shkëmbi s'i fakë pëni.” 
LUK.4.4	Ma Jezus j'u turrë: “Skërëturëli a Dumëxë xëk: Omu nu bëniaxë gôllë ku pëni.” 
LUK.4.5	Dapoja djavollu o-nëllcë sus shi i'j spusi tuti kraturrë ali dunei, 
LUK.4.6	shi i'j xësi: “Mini us s'i'c dau tutë fuqia pisti nësi, kë nj'esti datë anjia, shi mini pot s'ju dau a kuj s'voj. 
LUK.4.7	Tuti us hjibë a tëli, ma s'kax përdinc tu xënuqi, dininti a mja.” 
LUK.4.8	Shi Jezus i'j xësi: “Skërëturëli a Dumëxë n'i mvjacë: Allavdu Dumëxëllu a-tëll, sh'fë gôllë ashë kum t'i mvjacë Ell.” 
LUK.4.9	Dapoja djavollu o-dusi tu Jerusalem, u bëgë tu bëloku ma anallt tu tempull sh i'j xësi: “Ma esht hjij d'ja Dumëxë, arsarë di aô, 
LUK.4.10	kë skërëturëli a Dumëxë xëk: Us ursjastë ëngjëjë a lluj tas t'i vjagje, 
LUK.4.11	sh us t'i cënë tu mënjli a llor tas s'nu c'a kacë çëçorru mpadi pi shkëmbë.” 
LUK.4.12	Ma Jezus i'j s'i turrë: “Skërëturëli a Dumëxë xëk: ‘Nu u bagë tu provë Domnëlu, Dumëxëllu a-tëll’”. 
LUK.4.13	Kënd vëxu ci nu axhumsi cëva, djavollu s'dëpërtë di nës ti nëskënd qëro.
LUK.4.14	Jezus s'turrë tu Galilei ku fuqia a Sëmtul Duh, shi ti nës s'i zhdikisi zborru jucëdo. 
LUK.4.15	Ell i'j mvëca ômënjjë pit sinagogi sh tuc o-llëvda.
LUK.4.16	Jezus nesi tu Nazaret, ako ju ara kërskut. Sëmbetë, pi dupi zakoni nesi tu bëserëkë. S'i skullë tas grastë 
LUK.4.17	sh i'j dedërë defterja a profetu Isaia. Ell u zhdikisi dëfterja sh afllë biloku ju ara skeratë:
LUK.4.18	“Sufëlltu a Domnëlu esti pi mini,
LUK.4.18	kë ell m'jari faptë ku untulem.
LUK.4.18	Tas llu spun evanghelu a fukërënjllu.
LUK.4.18	M'jari pëtërkutë tas llu spun
LUK.4.18	acëllor ci sënt tu skllavërii, ci esti irini,
LUK.4.18	shi s'llu torr acëllor ci nu ved, oqje,
LUK.4.18	tas skap acej ci sënt tu skllavërii,
LUK.4.19	shi s'llu spun anu ali skëpari di Domnulu.”
LUK.4.20	U nkisi dëfterja shi s'ja punë. Oqjë a tutëllor tu sinagogë vëdja kiti nës. 
LUK.4.21	Jezus ahurhji s'llu xëkë: “Azë s'umpllu aca ci ara skëratë tu skërëturëli a Dumëxë, ashë kum u avxat ku ureqli a vôsti.” 
LUK.4.22	Tuc xëcja zborri buni ti nës, s'hërësja mullt ti zbôrrëli mintimeni ci isha di gura a lluj sh'xëcja: “Nu esti aist fiçorru a Jozef?” 
LUK.4.23	Jezus ll'u xësi: “Voj fërë-di-alltë us xëcec: Jatur, vindëkë llëngôra a ta. Fë sh aô tu biloku a tëll aca ci avem avxatë kë aj faptë tu Kafarnaum.” 
LUK.4.24	Sh'ma nëpoj xësi.
LUK.4.24	“Us v'i xëk ku tutë mintja, kë içvërr di profecje nu esti apurqat tu biloku a lluj.
LUK.4.25	Ma, mini ma v'i xëk kë, tu qërollu a Elia avja mullti mujer fërë burbac tu Izrael, kënd cerlu ara nkis ti tre anj shi shasi mesh, kënd tu tutë dunea gëxu urfanja ti pëni. 
LUK.4.26	Shi ku-tutë-aca Elia nu ara pëtërkut lla içvërrë di nësi, ma gollë tu Sarepta, tu biloku a Sidon, lla unë mujeri vedu. 
LUK.4.27	Tu qërollu a profetu Elia avja mullc ômënj ku lebrozë tu Izrael, sh ku-tutë-aca içvërr di nësh nu s'pëstri, gollë un, Naman di Siria”.
LUK.4.28	Tuc acej ci ara tu sinagogë, si umpllurë ku inati kënd avxarë aisti zbôrri. 
LUK.4.29	S'i skullarë, u skôsërë nafôrë di kasabai, shi o-dusërë tu mëjaua di munti, ju ara skullatë kasabaja a llor, tas o-mëna tu unë greminë. 
LUK.4.30	Ma Jezus tërku namësa di nësh shi s'dëpërtë.
LUK.4.31	Jezus nesi tu Kafarnaum, tu unë kasabai di Galilei, shi i'j mvëca ômënjjë sëmbëta. 
LUK.4.32	Ej s'çudusirë di mvëcëtura a llui, kë gra ku mulltë forë. 
LUK.4.33	Tu sinagogë ara un om ci ara nkërkat ku sufulltu urrut a djavollu. Ell aurra ku bôci analltë: 
LUK.4.34	“Ci aj ku noj, Jezus di Nazaret? Aj vënitë tas n'i asparx? Mini u shtiu kaj esht: Tini esht Sëmtulu a Dumëxë.” 
