MAT.1.1	耶穌基督——
MAT.2.12	他們在夢中得了神的指示不要回到
MAT.2.13	那些博士離開以後，忽然主的一位天使在
MAT.2.14	就起來，連夜帶著孩子和他的母親逃往
MAT.2.15	住在那裡，直到
MAT.2.16	發現自己受了博士們的愚弄，就十分惱怒。於是，他按照從博士們那裡所詢問到的時間，派人把
MAT.2.17	這就應驗了藉著先知
MAT.2.18	「從
MAT.2.18	是哀哭
MAT.2.18	是
MAT.2.18	不肯接受安慰，
MAT.2.18	因為他們不在了。」
MAT.2.19	死了以後，在
MAT.2.20	說：「起來，帶著孩子和他的母親回
MAT.2.21	就起來，帶著孩子和他的母親進了
MAT.2.22	但是，聽說
MAT.2.23	來到一個叫
MAT.3.1	在那些日子裡，施洗者
MAT.3.2	說：「你們應當悔改，因為天國近了。」
MAT.3.3	這
MAT.3.3	「在曠野有聲音呼喊著：
MAT.3.3	『你們當預備主的道，
MAT.3.3	當修直
MAT.3.4	穿著駱駝毛做的衣服，腰束皮帶。他的食物是蝗蟲和野蜜。
MAT.3.5	那時，
MAT.3.6	承認自己的罪孽，在
MAT.3.7	看見許多
MAT.3.8	你們應當結出果子，與悔改的心相稱！
MAT.3.9	你們不要心裡想『我們有
MAT.3.10	現在斧子已經放在樹根上，所有不結好果子的樹都要被砍下來，被丟進火裡。
MAT.3.11	「我用水
MAT.3.12	他手裡拿著揚穀的杴，要揚淨他的打穀場，把他的麥子收進倉庫，卻把糠秕用不滅的火燒掉。」
MAT.3.13	那時，耶穌從
MAT.3.14	想要阻止他，說：「我需要受你的洗禮，你反而到我這裡來嗎？」
MAT.3.15	耶穌回答他，說：
MAT.3.16	耶穌受了洗，一從水裡上來，看哪，諸天就為他
MAT.3.17	這時候，忽然有聲音從諸天傳來，說：
MAT.3.17	「這是我的愛子，
MAT.3.17	我所喜悅的。」
MAT.4.1	隨後，耶穌被聖靈領到曠野去，受魔鬼的試探。
MAT.4.2	耶穌禁食了四十晝夜，後來就餓了。
MAT.4.3	那試探者前來對他說：「你如果是神的兒子，就吩咐這些石頭變成食物吧！」
MAT.4.4	耶穌回答說：
MAT.4.5	接著，魔鬼帶他到聖城，讓他站在聖殿的頂端，
MAT.4.6	對他說：「你如果是神的兒子，就跳下去吧！因為經上記著：
MAT.4.6	『他會為你吩咐他的天使；
MAT.4.6	他們會用手托住你，
MAT.4.6	免得你的腳撞在石頭上。』
MAT.4.7	耶穌對他說：
MAT.4.8	接著，魔鬼帶耶穌上了一座很高的山，給他看世界萬國和萬國的榮耀，
MAT.4.9	對他說：「你如果俯伏拜我，我就把這一切都給你。」
MAT.4.10	耶穌對他說：
MAT.4.11	於是，魔鬼離開了耶穌。看哪，有天使們前來伺候他。
MAT.4.12	耶穌聽說
MAT.4.13	後來，他離開
MAT.4.14	這是為要應驗那藉著先知
MAT.4.15	「
MAT.4.15	沿湖
MAT.4.15	外邦人的
MAT.4.16	那坐在黑暗中的民眾
MAT.4.16	看到了大光；
MAT.4.16	那坐在死亡之地和死亡陰影中的人們，
MAT.4.16	曙光為他們升起。」
MAT.4.17	從那時候起，耶穌開始傳道，說：
MAT.4.18	耶穌在
MAT.4.19	耶穌就對他們說：
MAT.4.20	他們立刻捨棄漁網，跟從了耶穌。
MAT.4.21	耶穌從那裡往前走，看見另外兩個兄弟，就是
MAT.4.22	他們立刻捨棄了船，告別他們的父親，跟從了耶穌。
MAT.4.23	耶穌走遍全
MAT.4.24	他的消息就在全
MAT.4.25	於是有一大群人從
MAT.5.1	耶穌看見人群，就上了山，坐下來。他的門徒們來到他面前，
MAT.5.2	他就開口教導他們，說：
MAT.7.28	當耶穌講完了這些話，眾人都對他的教導驚嘆不已，
MAT.7.29	因為耶穌教導他們，就像有權柄的人，不像他們的經文士們。
MAT.8.1	耶穌從山上下來，有一大群人跟隨他。
MAT.8.2	這時候，忽然有一個痲瘋病人前來拜他，說：「主啊，如果你願意，你就能潔淨我。」
MAT.8.3	耶穌伸出手來摸他，說：
MAT.8.4	耶穌對他說：
MAT.8.5	耶穌進了
MAT.8.6	說：「主啊，我的僕人癱瘓了，躺在家裡，受劇烈的折磨。」
MAT.8.7	耶穌對他說：
MAT.8.8	百夫長回答說：「主啊，我實在不配請你進我家。其實只要你說一句話，我的僕人就會痊癒的。
MAT.8.9	事實上，我也在人的權下，也有士兵在我之下。我對這個說『去』，他就去；對那個說『來』，他就來；對我的奴僕說『做這事』，他就去做。」
MAT.8.10	耶穌聽了，十分感慨，對跟隨他的人說：
MAT.8.13	於是耶穌對那百夫長說：
MAT.8.14	耶穌來到
MAT.8.15	耶穌一摸她的手，燒就退了。於是她就起來服事耶穌。
MAT.8.16	到了傍晚，人們把許多有鬼魔附身的人帶到耶穌那裡。耶穌話語一出就把那些邪靈都趕了出去，並且使所有患病的人痊癒了。
MAT.8.17	這樣，那藉著先知
MAT.8.17	「他親自代替了我們的軟弱，
MAT.8.17	擔當了我們的疾病。」
MAT.8.18	耶穌看見一群人
MAT.8.19	有一個經文士前來對他說：「老師，無論你到哪裡去，我都要跟從你。」
MAT.8.20	耶穌對他說：
MAT.8.21	耶穌的另一個門徒對他說：「主啊，請准許我先去埋葬我的父親。」
MAT.8.22	但是耶穌對他說：
MAT.8.23	耶穌上了船，他的門徒們跟著他。
MAT.8.24	這時候，忽然湖
MAT.8.25	門徒們上前來叫醒他，說：「主啊，救救我們，我們沒命了！」
MAT.8.26	耶穌對他們說：
MAT.8.27	他們都感到驚奇，說：「這個人究竟是什麼人？連風和浪
MAT.8.28	耶穌來到對岸
MAT.8.29	忽然，他們喊叫說：「神的兒子
MAT.8.30	當時，離他們很遠的地方，有一大群豬正在吃食。
MAT.8.31	那些鬼魔就央求耶穌，說：「如果你要把我們趕出去，就叫我們進入這群豬裡面去吧。」
MAT.8.32	耶穌對它們說：
MAT.8.33	那些放豬的人就逃跑，進城去傳報了這一切事，包括鬼魔附身之人的事。
MAT.8.34	看哪，全城的人都出來看耶穌，見了耶穌以後，就央求他離開他們的地區。
MAT.9.1	耶穌上了船，渡過去，來到自己的城裡。
MAT.9.2	這時候，有幾個人把一個躺在床榻上癱瘓的人抬到他面前。耶穌看見他們的信心，就對癱瘓的人說：
MAT.9.3	但這時候，有些經文士心裡說：「這個人說褻瀆的話！」
MAT.9.4	耶穌知道他們的想法，就說：
MAT.9.6	於是他對癱瘓的人說：
MAT.9.7	那個人就起來，回家去了。
MAT.9.8	眾人看見就起了敬畏之心
MAT.9.9	耶穌從那裡往前走，看見一個叫
MAT.9.10	耶穌在屋子裡坐席，這時候來了許多稅吏和罪人，與耶穌和他的門徒們一同坐席。
MAT.9.11	有些
MAT.9.12	耶穌聽見了就說：
MAT.9.14	隨後，
MAT.9.15	耶穌對他們說：
MAT.9.18	耶穌正對他們講這些事的時候，忽然有一個會堂
MAT.9.19	於是耶穌起身跟著他去，他的門徒們也跟著去了。
MAT.9.20	這時候，忽然有一個患血漏十二年的女人，從耶穌後面過來，摸了一下耶穌的衣服穗子，
MAT.9.21	原來她心裡想：「只要我摸到他的衣服，就會得救治。」
MAT.9.22	耶穌轉過身來看著她，說：
MAT.9.23	耶穌來到那會堂
MAT.9.24	就說：
MAT.9.25	那群人被趕出去以後，耶穌進去，握著女孩的手，那女孩就起來了。
MAT.9.26	於是，這消息傳遍了那整個地區。
MAT.9.27	耶穌從那裡往前走，有兩個瞎眼的跟著他，呼叫說：「
MAT.9.28	耶穌進了屋子，那兩個瞎眼的來到他面前。耶穌問他們：
MAT.9.28	他們回答說：「主啊，是的，我們信
MAT.9.29	於是耶穌摸他們的眼睛，說：
MAT.9.30	他們的眼睛就開了。耶穌嚴厲地告誡他們：
MAT.9.31	但他們一出去，就把耶穌的消息傳遍了那整個地區。
MAT.9.32	兩個人離去了。這時候有幾個人把一個有鬼魔附身的啞巴帶到耶穌那裡。
MAT.9.33	鬼魔一被趕出去，啞巴就說出話來。眾人都感到驚奇，他們說：「這樣的事，在
MAT.9.34	但
MAT.9.35	耶穌走遍各個城鎮鄉村，在他們的會堂裡教導人，傳天國的福音，並且使
MAT.9.36	耶穌看見眾人，就對他們動了憐憫之心，因為他們困苦流離，像羊沒有牧人那樣。
MAT.9.37	於是他對自己的門徒們說：
MAT.10.1	耶穌召來他的十二個門徒，賜給他們權柄，能驅趕汙靈，也能使各樣的疾病和各樣的症狀痊癒。
MAT.10.2	以下是十二使徒的名字：
MAT.10.2	首先是
MAT.10.2	然後是他的弟弟
MAT.10.2	的兒子
MAT.10.2	的弟弟
MAT.10.3	和
MAT.10.3	和稅吏
MAT.10.3	的兒子
MAT.10.4	激進派
MAT.10.4	還有那出賣耶穌的
MAT.10.5	耶穌差派這十二使徒出去，吩咐他們說：
MAT.11.1	當耶穌吩咐完了他的十二個門徒，就離開了那裡，到各城鎮去傳道、教導人。
MAT.11.2	在監獄裡聽說了基督所做的事，就派自己的幾個
MAT.11.3	問耶穌：「將要來的那一位就是你嗎？還是我們應該等候別人呢？」
MAT.11.4	耶穌回答他們，說：
MAT.11.7	的門徒們走了，耶穌就開始對眾人談論
MAT.11.20	接著，耶穌開始斥責那些他曾經在其中行了許多神蹟的城市，因為那裡的人不肯悔改：
MAT.11.25	那時候，耶穌說：
MAT.12.1	在安息日那天，耶穌從麥田經過。他的門徒們餓了，就開始摘麥穗吃。
MAT.12.2	有些
MAT.12.3	耶穌對他們說：
MAT.12.9	耶穌離開那地方，進了他們的會堂。
MAT.12.10	看哪，有個一隻手枯萎的人。有些人就問耶穌，說：「在安息日使人痊癒，是否可以呢？」這是為要控告耶穌。
MAT.12.11	耶穌對他們說：
MAT.12.13	於是耶穌對那個人說：
MAT.12.14	那些
MAT.12.15	耶穌知道了，就離開那裡。有一大群人跟隨他，耶穌使他們都痊癒了，
MAT.12.16	並且告誡他們不要把他傳揚出去。
MAT.12.17	這是為要應驗那藉著先知
MAT.12.18	「看哪，我所揀選的僕人，
MAT.12.18	我所愛的，心所喜悅的。
MAT.12.18	我要把我的靈賜給他，
MAT.12.18	他要向外邦人宣揚審判的事。
MAT.12.19	他不爭競、不喧嚷，
MAT.12.19	大街
MAT.12.20	壓傷的蘆葦，他不折斷；
MAT.12.20	將熄的燈火，他不吹滅，
MAT.12.20	直到他使公義得勝，
MAT.12.21	外邦人將要仰望他的名。」
MAT.12.22	那時，一個有鬼魔附身、又瞎又啞的人被帶到耶穌那裡。耶穌使他痊癒，那啞巴就能說話，也能看見了。
MAT.12.23	眾人都十分驚訝，說：「難道這個人就是『
MAT.12.24	但
MAT.12.25	耶穌知道他們的想法，就對他們說：
MAT.12.38	當時，有一些經文士和
MAT.12.39	耶穌回答他們，說：
MAT.12.46	耶穌正在向人群講話，這時候他的母親和弟弟們
MAT.12.47	有人告訴他：「看，你母親和弟弟們站在外面，想和你說話。」
MAT.12.48	耶穌回答那對他說話的人，說：
MAT.12.49	他就伸手指著他的門徒們，說：
MAT.13.1	那一天，耶穌從屋子裡出來，在湖邊
MAT.13.2	有一大群人聚集到他那裡，所以他上了一條船坐下來。眾人都站在岸邊。
MAT.13.3	耶穌用比喻對他們講了很多事。他說：
MAT.13.10	門徒們上前來，問耶穌：「你對他們講話，為什麼用比喻呢？」
MAT.13.11	耶穌回答他們，說：
MAT.13.24	耶穌對他們講了另一個比喻說：
MAT.13.31	耶穌對他們講了另一個比喻說：
MAT.13.33	耶穌又對他們講了另一個比喻：
MAT.13.34	耶穌用比喻向人群講了這一切；他向他們講話，沒有不用比喻的。
MAT.13.35	這是為要應驗那藉著先知所說的話：
MAT.13.35	「我要開口，
MAT.13.35	用比喻說出創世以來被隱藏的事。」
MAT.13.36	然後，耶穌離開了人群，進了屋子。他的門徒們上前來，說：「請給我們解釋一下田裡稗子的比喻。」
MAT.13.37	耶穌回答說：
MAT.13.51	耶穌問他們
MAT.13.51	他們說：「是的，領悟了
MAT.13.52	耶穌對他們說：
MAT.13.53	當耶穌講完了這些比喻，就離開了那地方。
MAT.13.54	他來到自己的家鄉，在他們的會堂裡教導人，以致他們驚嘆不已，說：「這個人的這種智慧和能力是從哪裡來的呢？
MAT.13.55	這不就是那木匠的兒子嗎？他的母親不是叫
MAT.13.56	他的妹妹們
MAT.13.57	這樣，他們就對耶穌很反感
MAT.13.57	耶穌對他們說：
MAT.13.58	因為他們的不信，耶穌在那裡就沒有行很多神蹟。
MAT.14.1	那時候，分封王
MAT.14.2	就對他的臣僕說：「這個人是施洗者
MAT.14.3	原來，
MAT.14.4	這是因為
MAT.14.5	想要殺
MAT.14.6	到了
MAT.14.7	故此王就起誓承諾，無論她求什麼都給她。
MAT.14.8	女兒受母親的指使，就說：「請把施洗者
MAT.14.9	王就憂憂愁愁，但因所起的誓，又因一同坐席的人，就下令給她。
MAT.14.10	於是派人去，在監獄裡砍下了
MAT.14.11	把他的頭放在盤子上，端給女孩，女孩就拿去給她母親。
MAT.14.12	後來，
MAT.14.13	耶穌聽了這事，就上船離開那裡，獨自到一個荒僻的地方去。眾人聽到了，就從各城鎮徒步來跟隨他。
MAT.14.14	耶穌下了船，看見一大群人，就對他們動了憐憫之心，使其中的病人痊癒。
MAT.14.15	黃昏的時候，門徒們來到耶穌面前，說：「這是個荒僻的地方，而且天已經晚了。請遣散人群，好讓他們到村莊去為自己買些食物。」
MAT.14.16	但耶穌說：
MAT.14.17	門徒們對耶穌說：「我們這裡除了五個餅和兩條魚，就沒有什麼了。」
MAT.14.18	耶穌說：
MAT.14.19	於是耶穌吩咐眾人坐在草地上，就拿起這五個餅和兩條魚，抬頭望天，祝福了，然後掰開餅，遞給門徒們，他們又分給眾人。
MAT.14.20	大家都吃了，並且吃飽了。他們把剩下的碎塊收拾起來，裝滿了十二個籃子。
MAT.14.21	吃的人，不算婦女和孩子，約有五千。
MAT.14.22	耶穌立刻催促門徒們上船，要他們先往對岸去；這期間，他自己遣散了人群。
MAT.14.23	他遣散了人群以後，就獨自上山去禱告。到了晚上，只有他一個人在那裡。
MAT.14.24	那時，船已經離岸有幾百公尺
MAT.14.25	天快亮的時候
MAT.14.26	門徒們看見耶穌在湖面上行走，就驚慌不安，說：「是幽靈！」他們害怕得喊叫起來。
MAT.14.27	耶穌立刻對他們說：
MAT.14.28	對他說：「主啊，如果是你，請吩咐我，從水面上走到你那裡去。」
MAT.14.29	耶穌說：
MAT.14.29	就從船上下去，在水面上行走向耶穌那裡去。
MAT.14.30	但是，他一看到風極大
MAT.14.31	耶穌立刻伸手拉住他，說：
MAT.14.32	他們一上船，風就停了。
MAT.14.33	船上的人都
MAT.14.34	他們渡過去，到
MAT.14.35	那裡的人一認出是耶穌，就派人到周圍整個地區，把所有患病的都帶到耶穌那裡，
MAT.14.36	懇求耶穌只要讓他們摸一下他的衣服穗子。凡是摸著的人，都得了救治。
MAT.15.1	那時，有些
MAT.15.2	「你的門徒們為什麼違犯古人的傳統呢？他們吃飯
MAT.15.3	耶穌回答他們，說：
MAT.15.10	耶穌召來眾人，對他們說：
MAT.15.12	那時，門徒們前來對他說：「
MAT.15.13	耶穌回答說：
MAT.15.15	對耶穌說：「請把這個比喻解釋給我們聽。」
MAT.15.16	耶穌說：
MAT.15.21	耶穌離開那地方，退到
MAT.15.22	這時候，忽然來了一個住在那地區的
MAT.15.23	耶穌一句話也不回應，他的門徒們上前來求他，說：「這婦人一直跟在我們後面喊叫，請讓她走吧。」
MAT.15.24	耶穌回答說：
MAT.15.25	那婦人來拜他，說：「主啊，求你幫助我！」
MAT.15.26	耶穌回答說：
MAT.15.27	婦人說：「是的，主啊！不過連小狗也吃得到主人桌子上掉下來的碎渣！」
MAT.15.28	於是耶穌回答她，說：
MAT.15.29	耶穌離開那地方，來到
MAT.15.30	有一大群人來到他面前，帶著瘸腿的、瞎眼的、殘疾的、聾啞的還有許多其他人，把他們放在耶穌腳前；耶穌就使他們痊癒了。
MAT.15.31	結果眾人看見聾啞的說話，殘疾的康復，瘸腿的行走，瞎眼的看見，都感到驚奇，就榮耀
MAT.15.32	耶穌召來他的門徒們，說：
MAT.15.33	門徒們說：「我們在曠野，從哪裡得這麼多的食物讓這麼大一群人吃飽呢？」
MAT.15.34	耶穌問他們：
MAT.15.34	他們回答說：「七個，還有幾條小魚。」
MAT.15.35	耶穌就吩咐眾人坐在地上，
MAT.15.36	於是拿起這七個餅和幾條小魚，祝謝以後，掰開，不斷遞給門徒們，他們又分給眾人。
MAT.15.37	大家都吃了，並且吃飽了。然後，他們把剩下的碎塊收拾起來，裝滿了七個筐子。
MAT.15.38	吃的人，不算婦女和孩子，就有四千。
MAT.15.39	耶穌遣散了人群以後，就上了船，來到
MAT.16.1	有些
MAT.16.2	耶穌回答他們，說：
MAT.16.4	然後耶穌就離開他們走了。
MAT.16.5	門徒們到了對岸，忘了帶餅。
MAT.16.6	耶穌對他們說：
MAT.16.7	門徒們就彼此討論說：「這是因為我們沒有帶餅吧。」
MAT.16.8	耶穌知道了，就說：
MAT.16.12	門徒們這才領悟耶穌所說的不是要他們提防餅的酵母，而是要他們提防
MAT.16.13	耶穌來到
MAT.16.14	他們回答說：「有的說是施洗者
MAT.16.15	耶穌問他們：
MAT.16.16	回答說：「你是基督，是永生神的兒子！」
MAT.16.17	耶穌對他說：
MAT.16.20	接著耶穌吩咐門徒們，不要對任何人說他就是基督。
MAT.16.21	從那時候起，耶穌開始向他的門徒們指示他必須到
MAT.16.22	把耶穌拉到一邊，開始勸阻他，說：「主啊，千萬不可，這事絕不能臨到你身上。」
MAT.16.23	但耶穌轉身對
MAT.16.24	於是，耶穌對他的門徒們說：
MAT.17.1	過了六天，耶穌帶著
MAT.17.2	在他們面前，耶穌變了形像，臉面光耀如日，衣服潔白如光。
MAT.17.3	這時候，忽然
MAT.17.4	對耶穌說：「主啊，我們在這裡真好！如果你願意，我就在這裡搭
MAT.17.5	還在說話的時候，忽然有一朵燦爛的雲彩籠罩了他們，看哪，有聲音從雲中出來，說：
MAT.17.5	「這是我的愛子，
MAT.17.5	我所喜悅的。
MAT.17.5	你們當聽從他！」
MAT.17.6	門徒們聽見了，就把臉伏在地上，極其懼怕。
MAT.17.7	耶穌前來，拍拍他們說：
MAT.17.8	他們抬頭一看，只看見耶穌一個人，沒有別人。
MAT.17.9	他們下山的時候，耶穌吩咐他們：
MAT.17.10	門徒們問耶穌，說：「那麼，經文士們為什麼說
MAT.17.11	耶穌回答說：
MAT.17.13	門徒們這才領悟，耶穌向他們說的是指施洗者
MAT.17.14	他們來到眾人那裡，有一個人來到耶穌面前，跪下來，
MAT.17.15	說：「主啊，可憐我的兒子吧！他患了癲癇病，十分痛苦，經常跌進火裡，也經常跌進水裡。
MAT.17.16	我帶他到你的門徒們那裡，可是他們不能使他痊癒。」
MAT.17.17	耶穌回答說：
MAT.17.18	耶穌斥責那鬼魔，鬼魔就從孩子身上出來；從那一刻起，孩子就痊癒了。
MAT.17.19	門徒們悄悄地前來問耶穌：「我們為什麼不能趕出那鬼魔呢？」
MAT.17.20	耶穌回答說：
MAT.17.22	他們聚集在
MAT.17.23	門徒們就極其憂傷。
MAT.17.24	他們來到
MAT.17.25	說：「當然納。」
MAT.17.25	進了屋子，耶穌先問他：
MAT.17.26	回答說：「向外人。」
MAT.17.26	耶穌說：
MAT.18.1	那時，門徒們前來問耶穌：「在天國裡究竟誰更大？」
MAT.18.2	耶穌叫來一個小孩子，讓他站在他們當中，
MAT.18.3	說：
MAT.18.21	那時，
MAT.18.22	耶穌對他說：
MAT.19.1	當耶穌講完了這些話，就離開
MAT.19.2	有一大群人跟隨他，他就在那裡使他們痊癒。
MAT.19.3	有些
MAT.19.4	耶穌回答說：
MAT.19.5	並且說：
MAT.19.7	他們問耶穌：「那麼，為什麼
MAT.19.8	耶穌對他們說：
MAT.19.10	他的門徒們對耶穌說：「如果丈夫與妻子的關係是這樣，結婚就沒有益處了。」
MAT.19.11	耶穌就對他們說：
MAT.19.13	那時，有一些小孩子被帶到耶穌那裡，好讓耶穌按手在他們身上，給他們禱告。門徒們卻責備那些人。
MAT.19.14	耶穌就說：
MAT.19.15	於是，耶穌按手在他們身上，然後離開那地方。
MAT.19.16	看哪，有一個人上前來對耶穌說：「老師
MAT.19.17	耶穌對他說：
MAT.19.18	那個人就問：「哪些誡命呢？」
MAT.19.18	耶穌回答說：
MAT.19.20	那年輕人對耶穌說：「這一切
MAT.19.21	耶穌對他說：
MAT.19.22	那年輕人聽了這話，就憂憂愁愁地走開了，因為他有很多財產。
MAT.19.23	耶穌對他的門徒們說：
MAT.19.25	門徒們聽了這話，極其驚訝，就說：「究竟誰能得救呢？」
MAT.19.26	耶穌注視著他們，說：
MAT.19.27	這時候，
MAT.19.28	耶穌對他們說：
MAT.20.17	耶穌上
MAT.20.20	那時，
MAT.20.21	耶穌問她：
MAT.20.21	她說：「請准許我這兩個兒子，在你的國裡，一個坐在你的右邊，一個坐在你的左邊。」
MAT.20.22	耶穌就回答說：
MAT.20.22	他們說：「我們能。」
MAT.20.23	耶穌對他們說：
MAT.20.24	其他十個使徒聽了，就對這兄弟兩個人很不滿。
MAT.20.25	於是耶穌把他們召來，說：
MAT.20.29	他們離開
MAT.20.30	這時候有兩個瞎眼的坐在路邊，他們聽說是耶穌經過那裡，就呼叫說：「主啊，
MAT.20.31	眾人責備他們，叫他們不要做聲。可是他們越發呼叫說：「主啊，
MAT.20.32	耶穌就停住，叫他們過來，說：
MAT.20.33	他們說：「主啊，願你開我們的眼睛。」
MAT.20.34	耶穌動了憐憫之心，摸了他們的眼睛。他們立刻重見光明，於是跟隨了耶穌。
MAT.21.1	當耶穌和門徒們臨近
MAT.21.2	對他們說：
MAT.21.4	這件事發生，是為要應驗那藉著先知所說的話：
MAT.21.5	「要對
MAT.21.5	『看哪，你的王來到你這裡，
MAT.21.5	是謙和的，騎著驢——
MAT.21.5	一頭小驢，
MAT.21.5	就是驢的駒子。』」
MAT.21.6	兩個門徒就去，照著耶穌所吩咐的做了。
MAT.21.7	他們牽來了驢和驢駒，把外衣搭在牠們背上，耶穌就坐在上面。
MAT.21.8	有一大群人把自己的外衣鋪在路上，也有人從樹上砍下枝子鋪在路上。
MAT.21.9	前行後隨的人群呼喊說：
MAT.21.9	「和散那歸於
MAT.21.9	奉主名而來的那一位——
MAT.21.9	是蒙祝福的！
MAT.21.9	在至高之處——和散那！」
MAT.21.10	耶穌進了
MAT.21.11	眾人說：「這就是從
MAT.21.12	耶穌進了
MAT.21.13	對他們說：
MAT.21.14	耶穌在聖殿裡，一些瞎眼的和瘸腿的來到他面前，耶穌就使他們痊癒了。
MAT.21.15	祭司長們和經文士們看見耶穌所行的神蹟，又見孩子們在聖殿裡呼喊說：「和散那歸於
MAT.21.16	他們問耶穌：「你聽見這些小孩在說什麼嗎？」
MAT.21.16	耶穌回答他們，說：
MAT.21.17	然後，耶穌離開他們，出城到
MAT.21.18	清晨，回城的時候，耶穌餓了。
MAT.21.19	他看見路邊有一棵無花果樹，就上前去，可是樹上除了葉子，什麼也找不到。於是他對那棵樹說：
MAT.21.20	門徒們看見了，感到驚奇，說：「這棵無花果樹怎麼立刻枯萎了呢？」
MAT.21.21	耶穌回答他們，說：
MAT.21.23	耶穌進了聖殿，正教導人的時候，祭司長們和民間的長老們前來問他：「你憑什麼權柄做這些事？是誰給你這權柄的？」
MAT.21.24	耶穌回答他們，說：
MAT.21.25	他們就彼此討論，說：「如果我們說『是來自天上』，他就會問我們『那麼你們為什麼不相信他呢？』
MAT.21.26	但如果說『是來自人間』——我們又怕民眾，因為大家都認為
MAT.21.27	於是他們回答耶穌，說：「我們不知道。」
MAT.21.27	耶穌就對他們說：
MAT.21.31	他們回答說：「大兒子。」
MAT.21.31	耶穌說：
MAT.21.41	他們回答說：「他會狠狠地除滅那些惡人，把葡萄園另租給按時交果子的農夫們。」
MAT.21.42	耶穌對他們說：
MAT.21.45	祭司長們和
MAT.21.46	就想拘捕他，可是怕民眾，因為他們都認為耶穌是先知。
MAT.22.1	耶穌又用比喻對他們說：
MAT.22.15	人就去商議，怎樣找耶穌的話柄來陷害他。
MAT.22.16	他們派了自己的門徒們與
MAT.22.17	請告訴我們，你認為向凱撒納稅，可以不可以呢？」
MAT.22.18	耶穌看出他們的惡意，就說：
MAT.22.19	他們就拿來了一個銀幣
MAT.22.20	耶穌問他們：
MAT.22.21	他們回答說：「是凱撒的。」
MAT.22.21	耶穌對他們說：
MAT.22.22	他們聽了，感到驚奇，就離開耶穌走了。
MAT.22.23	在那一天，
MAT.22.24	說：「老師，
MAT.22.25	我們這裡曾經有兄弟七人，第一個結了婚，死了，沒有後裔，留下妻子給他的一個兄弟。
MAT.22.26	第二個、第三個、一直到第七個，都是如此。
MAT.22.27	到了最後，這婦人也死了。
MAT.22.28	既然他們都娶過她，那麼，在復活的時候，她將是這七個人中哪一個的妻子呢？」
MAT.22.29	耶穌回答說：
MAT.22.33	眾人聽了這話，對他的教導驚嘆不已。
MAT.22.34	人聽說耶穌使
MAT.22.35	他們當中有一個是律法師，
MAT.22.36	「老師，律法中最大的誡命是哪一條呢？」
MAT.22.37	耶穌對他說：
MAT.22.41	人聚集在一起的時候，耶穌問他們
MAT.22.42	說：
MAT.22.42	他們說：「是
MAT.22.43	耶穌問他們：
MAT.22.46	沒有人能回答他一句話。從那天起，再也沒有人敢質問耶穌了。
MAT.23.1	那時，耶穌對眾人和自己的門徒們說：
MAT.24.1	耶穌從聖殿出來，往前走的時候，他的門徒們上前來，把聖殿的建築指給他看。
MAT.24.2	耶穌回應說：
MAT.24.3	耶穌在
MAT.24.4	耶穌回答他們，說：
MAT.24.15	——讀者應當思考——
