GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
GEN.1.20	Thrünpuhnü tha, “Ke ju rhangdung lakhi lorilokobonü mishang; tüsho wuhnubo alo kumung thüning ching phinshang.” 
GEN.1.21	Thrünpuhnü keto shiwüh atobo, ke ching labe lorilokobo tüsho wuhnubo mungji alala thrün. Tüsho Thrünpuhnü ju tsülah de kheah. 
GEN.1.22	Apinü jurübo alala müngühjihde tha, “Aso asoang tüsho wüh buang, tüsho ketobo ching kebonü mishang, tüsho alomi kheak wuhnubo wüh bushang.” 
GEN.1.23	Tüsho ju aphüngü nimung arelim tüsho yapsu lakheah.
GEN.1.24	Judüki Thrünpuhnü tha, “Alonü rhangdung lakhi shiwüh mungji alala: akam-shiwüh tüsho abüde atsahbe mütüm shiwüh, ato tüsho anini akhiukshang,” tüsho jude alakheah. 
GEN.1.25	Tüsho Thrünpuhnü alomi ching mütüm shiwüh, akam-shiwüh tüsho alo kheak abüde atsahbe mungji alala thrün. Tüsho Thrünpuhnü ju tsülah de kheah.
GEN.1.26	Judüki Thrünpuhnü tha, “Isanü isa kiphahkhi ching mihtsürü thrünanü; tüsho keto ngüh, thüning wuhnubo, akam-shiwüh tüsho mütüm shiwüh tüsho alo kheak abübe alala kurungkheak arü atungrü thsüshihanü.” 
GEN.1.27	Jumonü Thrünpuhnü api kiphahkhi ching mihtsürü thrün; apinü athrürü tüsho aliberü thrün. 
GEN.1.28	Thrünpuhnü arü müngühjihde tha, “Aso asoang tüsho wüh buang; alomi mishang tüsho ju danyukang; keto ching thüngüh, thüning wuhnubo tüsho alo kheak abübe alala kurungkheak atungrü thsang.” 
GEN.1.29	Thrünpuhnü tha, “Alomi ching lakhi aso asobe, sangrung tüsho aso asobe sangdung alala inü nüsa kilim jihchoh; nüsa thsungkheaknü ju tsühyungbe thsübah. 
GEN.1.30	Tüsho alomi ching lakhi shiwühbo, thüning wuhnubo tüsho alo kheak abübe alala kilim inü sangrung phüyakbo tsühyungbe thsüpü jihdo”; tüsho jude alakheah. 
GEN.1.31	Thrünpuhnü apinü athrünkhi alala ngü tüsho ha khide tsüde alakheah. Tüsho ju athuruk nimung arelim tüsho yapsu lakheah.
GEN.2.1	Hanangde thüningbo le alomi tüsho ju ching lakhi alala akhik thsü. 
GEN.2.2	Thrünpuhnü rhimode arükhi nimung thüne nipü arün thsü, tüsho api rhimo alala chingnü thüne nipü sühakhim. 
GEN.2.3	Jumonü Thrünpuhnü nimung thünepü ju müngühjih tüsho tsangkhit, tümütüsho Thrünpuhnü thründe arükhi rhimo alala chingnü ha nimung apinü sühakhim.
GEN.2.4	Ha 
GEN.2.5	ju alomi ching thulu sangrung tüsho thulu ching rim tümü mümukhuhyi. Tümüde 
GEN.2.6	tüshe alomi chingnü shumuliu wutu tüsho alo alala pangshih. 
GEN.2.7	Tüsho 
GEN.2.9	Tüsho 
GEN.2.10	Shahwün ching ke duhshihpü ayung khülang Eden chingnü bukkhitshih; tüsho ju kheaknü chamnakde ayung phüyi kamshih. 
GEN.2.11	Akhuhbe mung ju Pishon, hanü suna lakhi Havila lomi alala mükamde bukchoh. 
GEN.2.12	Suna müthsün, arhümthüneabe tüsho shotolungbo ha lomi ching lah. 
GEN.2.13	Mahnepü ju Gihon, hanü Kush lomi alala mükamde bukchoh. 
GEN.2.14	Mahsampü ju Tigri, ha Asiria aniakhiuklim bukchoh, tüsho aphüyipü mung ju Euphra.
GEN.2.16	 Thrünpuhnü mihtsürü ki thiyukhüm jihde tha, “Shahwün ching sangdung aban kheaknü nünü atsühpü kuklah; 
GEN.2.17	tüshe atsü le amütsü mükheahbe sangdung kheaknü nünü mütsühbeah; tümüde küpü nimung nünü ju tsühbanü dükde nü ashebah.”
GEN.2.19	Jumonü 
GEN.2.20	Jumonü Adamnü shiwüh tüsho wuhnubo alala mung jijih, tüshe Adam thsungkheak athülün arungrü müngüde alakheah.
GEN.2.21	Judüki 
GEN.2.22	 Thrünpuhnü mihtsürü kheaknü ayihkhitkhi rheangronü aliberü khülang thrün tüsho alibe ju mihtsürü kilim bedarü.
GEN.2.23	Judüki Adamnü tha,
GEN.2.23	“Kheakü ha I ro chingnü ro, tüsho I shih chingnü shih;
GEN.2.23	anihbe ki aliberü de ajibah,
GEN.2.23	tümütüsho anihbe ju athrürü kheaknü yihkhit.”
GEN.2.24	Jumonü athrürünü nihbuh abuh tüsho abe zojihbah niuberü lung thsürua labah, tüsho ane shihphü khülang kambah.
GEN.2.25	Tüsho mihtsürü le aniube büne machihachihde bünkeang lakheah.
GEN.3.1	Kheakü 
GEN.3.2	Tüsho alibenü phuruto ki alo, “Isanü shahwün ching lakhi sangdungbo kheaknü sangaso tsühpü kuklah; 
GEN.3.3	tüshe shahwün phulung ching lakhi sangdung kheaknü aso dütsüh, yungsho ju düqiu, jude thsüsho nüsa ashebah de Thrünpuhnü thado.”
GEN.3.4	Phurutonü alibe ki tha, “Nüsa atsütsünü müshe. 
GEN.3.5	Tümütüsho küpü nimung nüsanü hoju tsühbanü nüsa mük khimshuhbah tüsho nüsa ju Thrünpuh nangde atsü tüsho amütsü mükheahbah de Thrünpuhnü mükheahlah.”
GEN.3.6	Junangde alibenü sangaso ju atsühpü atsü, mük ki reangkeambe khülang tüsho lümlung ngüpü sangdung ngü, alibenü ju sangaso lu tüsho tsüh. Alibenü ayamkhünbuh kilim she jih tüsho apinü tsüh. 
GEN.3.7	Judüki ane mük khimshuh tüsho bünkeang ah de mükheah; jumonü anenü khubaso yü thürerubah yihdo.
GEN.3.8	Arelim anenü 
GEN.3.9	Tüshe 
GEN.3.10	Apinü alo, “Shahwün ching nü düsheak sobah I bünkeang lakhinü trede jiklah.”
GEN.3.11	Tüsho apinü tha, “Nü bünkeang ah de shepünü nü ki thakhea? Inü nü ki dütsüh de athakhi sangaso nünü atsühkhea shi?”
GEN.3.12	Judüki mihtsürünü alo, “Nünü I lung lashihkhi alibenü sangdung kheaknü sangaso I kilim jih tüsho inü tsüh.”
GEN.3.13	Alibenü alo, “Phurutonü I mülapyukjih, tüsho inü tsüh.”
GEN.3.14	Judüki 
GEN.3.15	Inü alibe le nüke dükeak tüsho nü müjih le alibe müjih dükeak lungkhangachih zojihbah; apinü nü ku thrümrüpbah tüsho nünü api lahzhi kheak mukiubah.”
GEN.3.16	Apinü alibe ki tha, “Inü nü khungarü hankhi thsünü alü kamshihbah; nü thsünüsahde khungarü zübebah; jude thsüthsü she nü niubuh mürühpü nü kheak labah, tüshe apinü nü kurungkheak yakzan shuhbah.”
GEN.3.17	Apinü Adam ki tha, “Tümütüsho nünü nü niube yu anide inü nü ki dütsüh de thiyukhüm jihkhi sangdung chingnü tsühdo: nü dünkheaknü alo muthrumüneana lah; nü rhangdung amuyung khisahbah lang atsühbah. 
GEN.3.18	Ayangbo tüsho thrümthrukbe nü thsungkheaknü akhiukshihbah, tüsho mükeak ching yo wokephüyak tsühbah. 
GEN.3.19	Nü alo mükamloyi khiungde nü kingkang chingnü shoke shude rhimobah lang tsühyungbe ngübah, tümüde nü alonü akamkheah; nü a alo ah tüsho nü alo kamlobah.”
GEN.3.20	Tüsho Adamnü aniube ki Eve de ji, tümütüsho anihbe mihtsürü alala abe ah. 
GEN.3.21	 Thrünpuhnü Adam le aniube thsungkheak shihküpnü khimmih thsüa phuyujih.
GEN.3.22	Judüki 
GEN.3.23	Jumonü 
GEN.3.24	Junangde apinü mihtsürü ju yankhitabah; tüsho apinü rhangdung limro aheangshihpü Eden shahwün aniakhiuklim cherubim tüsho azhingzhing nukshang khülang khülim khülim phürapde zo.
GEN.4.1	Kheakü Adamnü aniube Eve keak nung tüsho alibe mübünkeangde kambah Kain zübejih, tüsho tha, “Inü mihtsürü khülang 
GEN.4.2	Jushu she alibenü aniurü Abel zübejih. Abel ju namfimihnu neakrü lakheah, tüshe Kain a thulu wochakrü lakheah. 
GEN.4.3	Kim khülang ching Kainnü yimlukhi chingnü 
GEN.4.4	Abelnü she api namfimihnu bolung adüji tüsho amüdang hande arü. 
GEN.4.5	tüshe apinü Kain tüsho apinü kingaünkhi müleangkhi. Jumonü Kainnü khide bukakhiuk tüsho api mi khuram. 
GEN.4.6	Jumonü 
GEN.4.7	Nünü lungkide rhimokhülaa, nü müleangkhibea de? Tüshe tümü alungkianü nünü ju mürhimosho, khimdopü ki neak yaplah; hanü nü mürheangchoh, tüshe nünü ju kukbeah.”
GEN.4.8	Kheakü Kainnü aniurü Abel ki tha, “Ike thulu ching yüanü.” Tüsho ane thulu ching lachoki Kainnü aniurü Abel azhihde wusu tüsho api laksah.
GEN.4.9	Judüki 
GEN.4.10	Tüsho 
GEN.4.11	Kheakü küpü lonü nü niurü thiyih nü khah chingnü leangkhipü kadünü ju lo chingnü nü muthrumüneando. 
GEN.4.12	Küyimki nünü alo wochakbanü junü nü kilim tümü makhiukshih, nü a lomi ching lapung mülade tsotsahrümtsahrü thsübah.”
GEN.4.13	Tüsho Kainnü 
GEN.4.14	Atsütsü khihni nünü alomi chingnü I yana bahdo; I nü kheaknü jikde alabah; I a alomi ching lapung mülade tsotsahrümtsahrü khülang thsübah, tüsho shepünü I ngübanü I laksahbah.”
GEN.4.15	Tüshe 
GEN.4.16	Jumonü Kainnü 
GEN.4.17	Kainnü aniube kheak nung, tüsho mübünkeangde kambah Enok zübejih. Tüsho apinü kiuto khülang thsübah atsührü Enok mung müshide ji. 
GEN.4.18	Enok kilim Irad zübejih; tüsho Irad kheaknü Mehujael, Mehujael kheaknü Methushael, tüsho Methushael kheaknü Lamek trükkhit. 
GEN.4.19	Lameknü aniube mahne, Ada tüsho Zilla lu. 
GEN.4.20	Adanü Jabal zübe. Api ju shiwühbo akamde khimyambo ching larü abuh lakheah. 
GEN.4.21	Aniurü mung Jubal lakheah. Api ju bingshang tüsho khungpi khungrü alala abuh lakheah. 
GEN.4.22	Zillanü müwayinchi tüsho yinchi rhimosorü alala thsangdanrü Tubal-kain zübe. Tüsho Tubal-kain niurü aliberü Naama lakheah.
GEN.4.23	Lameknü aniube ki tha:
GEN.4.23	“Ada tüsho Zilla, I düsheak soang;
GEN.4.23	nüke Lamek niuberübo, inü athakhi aniang:
GEN.4.23	Inü athrününgtsüng mihtsürü khülang apinü I yurijihmonü laksahdo.
GEN.4.24	Kain dünkheak thüne ki royimsho,
GEN.4.24	Lamek dünkheak a nerükheak thüne ki labah.”
GEN.4.25	Kheakü Adamnü aniube kheak nung, tüsho alibenü tsührü khülang zübe tüsho amung Seth de jide tha, “Thrünpuhnü Abel müthri tsührü khülang I kilim jihdo, tümütüsho Kainnü api laksah.” 
GEN.4.26	Seth tsührü kheaküshe alakheah, tüsho amung Enosh de ji. Judüki mihtsürübonü Thrünpuh mung jipü tankih.
GEN.5.1	Ha Adam lünkhe hüm ah. Thrünpuhnü mihtsürü thrün nimung, apinü anihbuh ju Thrünpuh kiphahkhi chingnü thrün. 
GEN.5.2	Apinü arü athrürü tüsho aliberü thrün, tüsho arü müngühjihde arü thrün nimung arü ki mihtsürü de ji. 
GEN.5.3	Adam kam 130 lachoki api kiphahde tsührü khülang lakheah; tüsho apinü amung Seth de ji. 
GEN.5.4	Seth zübeshu, Adam kam 800 lakheah tüsho tsührübo le tsührübebo lakheah. 
GEN.5.5	Alala thsürubah Adam kam 930 lakheah, tüsho api sheabah.
GEN.5.6	Seth kam 105 lachoki, api tsührü Enosh lakheah. 
GEN.5.7	Tüsho Enosh lashu Seth kam 807 tüsho tsührübo le tsührübebo lakheah. 
GEN.5.8	Seth kam alalanü 912 lakheah, tüsho api sheabah.
GEN.5.9	Enosh kam 90 lachoki api Kenan abuh kam. 
GEN.5.10	Kenan lashu Enosh kam 815 la tüsho tsührübo le tsührübebo lakheah. 
GEN.5.11	Enosh kam alalanü 905 lakheah, tüsho api sheabah.
GEN.5.12	Kenan kam 70 lachoki, api tsührü Mahalalel lakheah. 
GEN.5.13	Mahalalel lashu, Kenan kam 840 la tüsho tsührübo le tsührübebo lakheah. 
GEN.5.14	Kenan kam alalanü 910 lakheah, tüsho api sheabah.
GEN.5.15	Mahalalel kam 65 lachoki, api Jared abuh kam. 
GEN.5.16	Api Jared abuh kamshu, Mahalalel kam 830 la, tüsho tsührübo le tsührübebo lakheah. 
GEN.5.17	Mahalalel kam alalanü 895 lakheah, tüsho api sheabah.
GEN.5.18	Jared kam 162 lachoki, api tsührü Enok lakheah. 
GEN.5.19	Enok lashu, Jared kam 800 la tüsho tsührübo le tsührübebo lakheah. 
GEN.5.20	Jared kam alalanü 962 lakheah, tüsho api sheabah.
GEN.5.21	Enok kam 654 lachoki, api tsührü Methusela lakheah. 
GEN.5.22	Methusela lashu, Enoknü kam 300 Thrünpuh lung tsah, tüsho tsührübo le tsührübebo lakheah. 
GEN.5.23	Enok kam alalanü 365 lakheah. 
GEN.5.24	Enoknü Thrünpuh lung tsah; jushu api müladebah, tümütüsho Thrünpuhnü api bea lu.
GEN.5.25	Methusela kam 187 lachoki, api tsührü Lamek lakheah. 
GEN.5.26	Lamek lashu, Methusela kam 782 la, tüsho tsührübo le tsührübebo lakheah. 
GEN.5.27	Methusela kam alalanü 969 lakheah, tüsho api sheabah.
GEN.5.28	Lamek kam 182 lachoki, api tsührü khülang lakheah. 
GEN.5.29	Apinü amung Noa de jide tha, “
GEN.5.30	Noa lashu, Lamek kam 595 la, tüsho tsührübo le tsührübebo lakheah. 
GEN.5.31	Lamek kam alalanü 777 lakheah, tüsho api sheabah.
GEN.5.32	Noa kam 500 lachoki, api tsührübo Shem, Ham, tüsho Japheth lakheah.
GEN.6.1	Küyimki alomi ching mihtsürü wüh bupü tankihde aliberübo zübekhea, 
GEN.6.2	Thrünpuh tsührübonü mihtsürü tsührü liberübo jaktsüde ngü; tüsho arünü amürühkhi yamkhün thsü. 
GEN.6.3	Tüsho 
GEN.6.4	Judüki alomi ching Nephilimrübo lakheah, tüsho ju dunglim Thrünpuh tsührübonü mihtsürü tsührübebo kheak müyam tüsho arü kilim tsührübo zübejih. Jurübo adüsonü athrungrü tüsho mungkhung mihtsürübo lakheah.
GEN.6.5	Judüki alomi ching mihtsürü mihbukmuyuk tode alakhi 
GEN.6.6	Tüsho apinü alomi kheak mihtsürü thrünkhi dünkheak 
GEN.6.7	Jumonü 
GEN.6.8	Tüshe Noa a 
GEN.6.9	Ha Noa lün ah. Noa ju api lünbo ching thiyuro-lungki, khiukdahkhi mihtsürü lakheah, tüsho apinü Thrünpuh lung tsah. 
GEN.6.10	Tüsho Noa tsührü 3 lakheah: Shem, Ham, tüsho Japheth. 
GEN.6.11	Alomi ju Thrünpuh miki amütsü tüsho athsümünimnü mide alakheah. 
GEN.6.12	Junangde Thrünpuhnü alomi thsümünima ngü; tümüde mihtsürü alalanü alomi kheak arü lalim athsümünim lakheah.
GEN.6.13	Thrünpuhnü Noa ki tha, “Mihtsürü alala kheampü I miki arüdo, tümüde alomi ju arü hode athsümünimnü mia lah; tüsho kheahang, inü arübo alomi chingnü adükheakshihbah. 
GEN.6.14	Nü thsungkheak gofer sangnü sangkung khülang thsang; sangkung ching akhiungshakbo thsang, tüsho alunglim le aleanglim dükhühnü müjimdoang. 
GEN.6.15	Tüsho nünü hanangde athsübah: sangkung ayunglim khahnap 300, atolim khahnap 50, tüsho achanglim khahnap 30 labah. 
GEN.6.16	Nünü sangkung thsungkheak ayinripit khülang thsang, tüsho ju akulim khahnap 1 dükeaknü thsang; tüsho ju rheang lim sangkung khimdopü yukang. Nünü abobe, aphulungbe tüsho akube khinkihde thsang. 
GEN.6.17	Inü thüning bukkhüp rhangdung sheak lakhi loriloko alala dükheakshihpü alomi kheak keking arüshihbah; alomi kheak lüpdükhi ashebah. 
GEN.6.18	Tüshe inü nü kheak tangzüng zobah; tüsho nü tsührübo, nü niube, tüsho nü tsührübo niuberübo nü lung sangkung ching yüzahbah. 
GEN.6.19	Tüsho rhangdung lakhi lüpdükhi nü lung arhang lapü thsüde mungji aban mahnene nünü sangkung ching beyukang; arübo pung tüsho dre labah. 
GEN.6.20	Wuhnu mungji, shiwüh mungji, tüsho alo ching abüde atsahbe mungji aban arhang lashihpü mahnene nü kilim arübah. 
GEN.6.21	Atsühpü thsüde tsühyungbe mungji aban nünü lubah nü tüsho arübo thsungkheak tsanglunga zoang.”
GEN.6.22	Thrünpuhnü api ki thiyukhüm jihkhi nangde Noanü lüpdükhi rhimo.
GEN.7.2	Nünü amüsüh shiwüh mungji aban drepung thünene luang; tüsho mümüsühkhi shiwüh mungji aban drepung mahnene luang; 
GEN.7.3	kheaküshe wuhnu mungji aban drepung thünene alomi alala ching mungji aban lashihpü luang. 
GEN.7.4	Nimung thüne dunglim inü thrüna rhangdung lashihkhi alala alomi chingnü dükheakshihpü alomi kheak nimung yirü tüsho tsüngre yirü tsüng arüshihbah.” 
GEN.7.5	Tüsho 
GEN.7.6	Alomi kheak keking arüchoki Noa kam 600 lakheah. 
GEN.7.7	Tüsho Noa le atsührübo tüsho aniube le atsührü niuberübo keking chingnü atsokhitpü sangkung ching yüzah. 
GEN.7.8	Amüsüh tüsho amümüsüh shiwüh, wuhnu tüsho alo kheak abüde atsahbe drepungbo, 
GEN.7.9	pung tüsho dre, Thrünpuhnü Noa ki thiyukhüm jihkhi nangde Noa kilim arü tüsho sangkung ching yüzah. 
GEN.7.10	Tüsho nimung thüne dunglim alomi kheak keking arü.
GEN.7.11	Noa kam 600 lachoki, khinu mahnepü, thürükheak thüne nipü kenü asükbo alala jukphuk tüsho thüning ayinripitbo khimshuh. 
GEN.7.12	Tüsho tsüng ju alomi kheak nimung yirü tüsho tsüngre yirü arü. 
GEN.7.13	Ju nimungnü Noa le atsührübo Shem, Ham, Japheth, tüsho Noa niube le atsührü mahsam niuberübo sangkung ching yüzah. 
GEN.7.14	Arü lung shiwüh mungji aban, akam-shiwüh tüsho mütüm shiwüh, ato tüsho anini, tüsho wuhnu mungji aban lakheah. 
GEN.7.15	Rhangdung sheak lakhi loriloko drepung alala Noa kilim arü tüsho sangkung ching yüzah. 
GEN.7.16	Shiwühbo yüzahde alakhi ju Thrünpuhnü Noa ki thiyukhüm jihkhi nangde rhangdung lakhi aban pung tüsho dre lakheah; tüsho 
GEN.7.17	Kheakü keking ju alomi kheak nimung yirü tüsho tsüngre yirü lakheah. Kebo alü kam tüsho sangkung ju alomi kumung changde phungkih. 
GEN.7.18	Ke ju yükih tüsho alomi kheak tode alü kam, tüsho sangkung ju kemi kheak phung. 
GEN.7.19	Ke ju hodakde alomi kheak yükih, tüsho thüning bukkhüp awung achangbo alala kingdoabah. 
GEN.7.20	Ke yükih tüsho khahnap 15nü sükde awungbo kinghoa lakheah. 
GEN.7.21	Alomi ching rhangdung lakhi alala–wuhnubo, akam-shiwühbo, mütüm shiwühbo, alo kheak abübe loriloko alala sheabah. 
GEN.7.22	Alo akung kheak nupung ching sheak thsübe lüpdükhi sheabah. 
GEN.7.23	Junangde apinü alomi kheak rhangdung lakhi alala: mihtsürü tüsho shiwühbo, abüde atsahbe tüsho thüning wuhnu dükheakshih. Noa tüsho api lung sangkung ching larü lang aninga lakheah. 
GEN.7.24	Tüsho ke ju alomi kheak nimung chikheak thünim kingde alakheah.
GEN.8.1	Judüki Thrünpuhnü Noa tüsho api lung sangkung ching rhangdung lakhi shiwüh alala lümkhit. Tüsho Thrünpuhnü alomi kumung apung yünshih tüsho kebo keamlo. 
GEN.8.2	Kenü asükbo tüsho thüning ayinripitbo rihdo, tüsho thüning chingnü tsüng tuklo. 
GEN.8.3	Tüsho ke ju alomi chingnü arünnü keamlo. Nimung chikheak thünim akheam ching kebo ngahde tso. 
GEN.8.4	Judüki khinu thüne, nimung thürükheak thünepü ching sangkung ju Ararat wung kheak keam. 
GEN.8.5	Tüsho ke ju khinu thürüpü khiungde ngahde yüzah. Khinu thürü, akhuhbe nimung, müzüng mujukbo ngüde kam.
GEN.8.6	Nimung yirü dunglim Noanü anihbuhnü athsükhi sangkung ayinripit ju khimshuh, 
GEN.8.7	tüsho khüyak khülang thiyia yüshih, tüsho alomi kheak ke müngahyi khiungde yüla arüla de phinde tsah. 
GEN.8.8	Jushu apinü alomi kheak ke ngahkhi kheahpü müthrithrümpü khülang yüshih. 
GEN.8.9	Tüshe alomi alala kheak ke lakhinü müthrithrümpü keampung mülade sangkung ching Noa kilim alode arü. Apinü akhah chungkhit tüsho müthrithrümpü ju sangkung ching beyuka lu. 
GEN.8.10	Apinü nimung thüne aleang, tüsho kheaküshe apinü sangkung chingnü müthrithrümpü yüshih. 
GEN.8.11	Judüki müthrithrümpü arelim oliv yü khülang amün chingnü mukiua lubah arü; tüsho alomi kheaknü ke ngahdo de Noanü mükheah. 
GEN.8.12	Jumonü apinü nimung thüne aleang tüsho müthrithrümpü yüloshih, tüshe ju kheaküa malodarüdebah.
GEN.8.13	Noa kam 601 lachoki, akhuhbe khinu atan nipü ke ju alomi chingnü ngahabah. Noanü sangkung yihdokhi ju lokhia bah tüsho alo kungde alakhi ngü. 
GEN.8.14	Tüsho khinu mahne, mukukheak thüne nipü alomi ju kungabah.
GEN.8.15	Judüki Thrünpuhnü Noa ki tha, 
GEN.8.16	Nü le nü niube, tüsho nü tsührübo le arü niuberübo sangkung chingnü wukhiukang. 
GEN.8.17	Nü lung rhangdung lakhi alala: wuhnubo le shiwüh tüsho alo kheak abüde atsahbe bekhitang, junangde arübo wüh bude alomi alala ching labah. 
GEN.8.18	Jumonü Noa, api tsührübo tüsho aniube le atsührü niuberübo api lung wukhiuk. 
GEN.8.19	Shiwüh, loriloko, alo kheak abüde atsahbe alala arü buh mungji ayannü sangkung chingnü wukhiuk.
GEN.8.20	Judüki Noanü 
GEN.8.21	 arhümthüneakhi münim tüsho api mulong chingnü tha: “Mihtsürü dünkheaknü, api azükinü mulong amütsü laa lalashe, kheaküa inü alo muthrumünean müthsü. Tüsho inü arhimokhi nangde rhangdung lakhi lorilokobo küyimkishe müdükheakshih. 
GEN.8.22	Alomi la khiungde mükheanpü kim tüsho yimlupü, athsak tüsho alam, tsüngkam tüsho muzhu, tüsho animung le are mükheamde alabah.”
GEN.9.1	Jumonü Thrünpuhnü Noa tüsho atsührübo müngühjih, tüsho arü ki tha: “Aso asode wüh buang, tüsho alomi mide kamang. 
GEN.9.2	Tüsho alomi shiwüh, thüning wuhnu, alo kheak abübe tüsho keto ngüh alala kheak nüsa trekhi labah. Arübo nüsa khah ching jihdo. 
GEN.9.3	Aphapde rhangdung lakhi lüpdükhi nüsa thsungkheak tsühyungbe labah. Sangrung phüyakbo alala inü nüsa kilim jihdo. 
GEN.9.4	Tüshe nüsanü rhangdung-thiyih bede shih mütsühbeah. 
GEN.9.5	Tüsho nüsa rhangdung-thiyih thsungkheaknü tsükjide inü ju dün kheangbah. Shiwüh tüsho mihtsürü aban kheaknü akheangbah. Mihtsürü aban kheaknü nihbuh keoniorü rhangdung dün kheangbah. 
GEN.9.6	Shepünü mihtsürü thiyih bukbanü, mihtsürünü api thiyih bukshihbah; tümüde Thrünpuh kiphahkhi ching mihtsürü ju thrün. 
GEN.9.7	Tüsho nüsa thsungkheaknü, tsührü laang tüsho wüh buang; alomi ching hihde kamshang tüsho bushang.”
GEN.9.8	Judüki Thrünpuhnü Noa tüsho atsührübo ki tha: 
GEN.9.9	“Kheakü inü nü tüsho nü dunglim nü tsühsoniusobo kheak I tangzüng thsüchoh, 
GEN.9.10	tüsho nü lung lakhi loriloko aban kheak: wuhnubo, akam-shiwüh tüsho nü lung sangkung chingnü wukhiukkhi alomi shiwüh alala. 
GEN.9.11	Hanangde nüsa kheak I tangzüng thsüchoh: kheaküa küyimkishe rhangdung alala kekingnü müdükheakshih; alomi dükheakshihpü kheaküa keking mülalo.”
GEN.9.12	Tüsho Thrünpuhnü tha, “Ha I le nü, tüsho nü lung lakhi loriloko alala dükeak inü tangzüng thsükhi amütsan, arübe lünbo alala thsungkheak lah: 
GEN.9.13	Inü I yo mürechin amobo ching zolah, tüsho ha I le alomi dükeak tangzüng amütsan labah. 
GEN.9.14	Küyimki inü alomi kumung amobo hande arübah ju ching mürechin akhiukbanü, 
GEN.9.15	inü I le nü tüsho rhangdung labe loriloko mungji alala dükeak I tangzüng lümkhitbah. Rhangdung alala dükheakshihpü küyimkishe keking malodarü. 
GEN.9.16	Küyimki amobo ching mürechin akhiukbanü, inü ju kheahbah tüsho Thrünpuh le alomi kheak rhangdung lakhi loriloko mungji alala dükeak akheam müla I tangzüng lümkhitbah.”
GEN.9.17	Jumonü Thrünpuhnü Noa ki tha, “Ha I tüsho alomi kheak rhangdung alala dükeak inü athsükhi tangzüng amütsan ah.”
GEN.9.18	Sangkung chingnü awukhiukkhi Noa tsührübo ju Shem, Ham, tüsho Japheth. Tüsho Ham ju Kanan abuh lakheah. 
GEN.9.19	Harü mahsam ha Noa tsührübo lakheah, tüsho harü kheaknü alomi alala bude yü.
GEN.9.20	Noa thulu thsürü thsüpü tankih, tüsho apinü kurungasolu thsü. 
GEN.9.21	Judüki api yukhu yungbah müshang, tüsho anihbuh khimyam ching bünkeang lakheah. 
GEN.9.22	Tüsho Kanan abuh Hamnü abuh bünkeang lakhi ngübah wungdo ching api keoniorü mahne ki tha. 
