GEN.1.1	Mebineŋ tububihila Bepaŋdi kunum eŋ kwet yehitubumintaguk. 
GEN.1.29	Bepaŋdi unduŋ yoŋa indiŋ yeniŋguk, “Nu hiditok nanaŋe iŋak hamulat: yuwoiyuwoi, bem gimiŋ, kahak heki eŋ nemenemek youlinit labiiŋ. 
GEN.1.30	Eŋ kale kwet foloŋ hatiiŋ eŋ hamap ginaŋ bagi hatiiŋ eŋ miŋgembet, tiŋa kaleŋgiŋgiŋ heki munabut hinit yehitubumintaŋit adi’walaŋ nanaŋe adi yupaaŋ, kilihikit heki kamelat.” Kaŋ undugoŋ hinek mintaguk. 
GEN.1.31	Kaŋ Bepaŋ adi nemek tubumintaguk i yabune momooŋ hinek tuguk. Kaŋ kwet kotigoŋ bufaaŋ heleune melenai 6 tuguk.
GEN.2.1	Unduŋ tiŋa yeguk e, kunum eŋ kwet yakaat adi bomboŋ mohok molomolom tuwolit tuwolit hinek tiulidokoyemdapmaaŋ yapmeguk. 
GEN.2.2	Kaŋ melenai 7 uŋoŋ adi Bepaŋdi kwanaiŋiŋ tubudapmaaŋ kwanai hogohogok tuguk wondok nadiŋa hakweledok gulet ikuk. 
GEN.2.3	Unduŋ tiŋa Bepaŋ ne nemenemek hogohogok tubumintaaŋ melenai 7 uŋoŋ hakule tuguk doktiŋa nai u uŋgoniŋ yoŋa kahaŋ tuguk. 
GEN.2.4	Yoŋ adi kunum kwet tuwolit tuwolit hinek tiulidokoyemdapmaaŋ yapmeguk wondininŋ mede kahat.
GEN.2.4	Wapum Bepaŋ adi kunum eŋ kwet yehitubumintagukneŋ 
GEN.2.5	uŋoŋ bem be kilihikit mebimebi kwet foloŋ mu kadoŋa labugiŋ. Woŋ adi Wapum Bepaŋdi yobune gwi nemu ukuk eŋ kwanai diniyeti titindok meeniŋ nemu yehitubumintaŋit doktiŋa unduŋ mintaguk. 
GEN.2.6	Nai uŋaniŋ adi kwet maaneŋniŋ mundi wapum hinek labuŋa looŋ udaneeŋ fooŋ kwet tubukwelemaguk. 
GEN.2.7	Kaŋ Wapum Bepaŋ adi kwet moŋgola kahigaliŋa me niŋ momooŋ hinek tutumbaaŋ timei ginaŋneŋ hatihati diniŋ munabut fedidahimimbune me u munabut tiŋa kaikaaŋ pilakuk. 
GEN.2.8	Kaŋ Wapum Bepaŋ adi mele labulabuneŋkade Edeŋ kwetneŋ bem giminiŋ fiye niŋ yetiŋa me tubumintaguk u uŋgoŋ nagi wooŋ kameguk. 
GEN.2.9	Tiŋa Wapum Bepaŋ adi kwet nindapmaune kwet foloŋ bem mebimebi momohi kadoŋa labugiŋ. Tiŋa bem gimiŋ momohi hinek yabuŋa nadigalika tiŋa moŋgola nanandok undihi mintagiŋ. Bem gimiŋ fiye lekiŋgoŋ hinek adi hatihati fafaŋeniŋ diniŋ bem eŋ kedem be kadakaniŋ tubutakale diniŋ bemdi kadoŋa labuŋa yakumuk.
GEN.2.10	Ime wapum niŋ adi Edeŋ bem gimiŋ fiye ginaŋ labuŋa bem gimiŋ fiye tubukwelematauyeeŋ fooŋ wooŋ daneeŋ taŋeniŋ 4 mintagiŋ. 
GEN.2.11	Taŋeniŋ niŋ diniŋ wou Pison. Wondi Hawila kwet kelemadidapmalak. Uŋoŋ gol muneeŋ hatak. 
GEN.2.12	Kwet uŋoŋ gol muneeŋ hatak adi tuwaaŋiŋ loloŋnit. Eŋ uŋgoŋ bem niŋ gumamuŋiŋ munduŋ momooŋ moŋgokiŋ eŋ kawade fafaŋeniŋ niŋ wou oniks hatak.
GEN.2.13	Ime taŋeniŋ niŋ wou Gihon adi Kus kwet kelemadilak. 
GEN.2.14	Eŋ taŋeniŋ niŋ adi wou Taigilis wondi Asilia kwet mele labulabuneŋkade fooŋ ulak. Eŋ taŋeniŋ niŋ adi Yufeletis.
GEN.2.15	Kaŋ Wapum Bepaŋ adi me nagila wooŋ Edeŋ bem gimiŋ fiye ginaŋ kwanai tiŋa kadokodok kameguk. 
GEN.2.16	Kameŋ indiŋ yokwambundaaŋ niŋguk, “Bem gimiŋ fiye ginaŋ bem folooŋ hinit yaliwiiŋ adi’walaŋ folooŋ u kedem moŋgola naluwaaŋ. 
GEN.2.17	Iŋgoŋ oŋ, bem niŋ kedem be kadakaniŋ mebi tubutakale diniŋ mindipmuŋ uyadi mu nawaaŋ hinek. Fiit nawaaŋ adi nai uŋaniŋgoŋ hinek-ku kumumbaaŋ oŋ.”
GEN.2.18	Tiŋa Wapum Bepaŋ adi niŋ indiŋ yoguk, “Me adi nehogok hatibune tuwot mu tilak. Ale, nu adi undiningoŋ tubulodaŋiŋ niŋ tubumintawit.” 
GEN.2.19	Wapum Bepaŋ adi unduŋ yoŋa kale mimihi eŋ kale moihi eŋ bagi hogohogok kwetdi tutumbaaŋ medi wouhik dediŋ yenimbek u kanadi tibene me’walaŋkade yanagila uguk. Kaŋ medi wouhiye yobihila yobek uŋakoŋ hakwambundadok yoguk. 
GEN.2.20	Unduŋ tubune me adi kale mimihi eŋ kale moihi eŋ bagi hogohogok adi wouhiye yededapmaguk. Iŋgoŋ ne undiniŋgoŋ tubulodaŋiŋ adi nemu tubumintaguk. 
GEN.2.21	Unduŋ doktiŋa Wapum Bepaŋdi me tubugweheyeune domo kisaŋ dahakuk. Kaŋ gaga kitiliniŋ tamali kwelikoŋ foloŋ gomdi kameheguk. 
GEN.2.22	Tiŋa Wapum Bepaŋ adi me diniŋ gaga tamakuk wondigoŋ tam niŋ tubumintaaŋ nagila me’walaŋ uguk. 
GEN.2.23	Nagila uune medi kaŋ yoguk, “Yoŋ adi biyagoŋ hinek kitiline eŋ gomne! Adi adi me’walaniŋ moŋgokuk doktiŋa wou ‘tam’ ninindok.”
GEN.2.24	Unduŋ doktiŋa me adi miŋbeu biyabuŋa tamuŋiŋ’walaŋkade wooŋ kadiwaak. Unduŋ tiŋa adi sigihik be, bee welehik kiulune kubugoŋ tubune hatideemeek. 
GEN.2.25	Memalam adi wanakaŋ hambiyek hatigumuk iŋgoŋ meeka mu tugumuk.
GEN.3.1	Wapum Bepaŋ adi nemek hatihatihinit behepneŋ hatidok yehitubumintaguk ala miŋgembet adi me yalamut molo doktiŋa noli’walaŋ nadinadi yalakapmeŋ lohinakaguk. Ala miŋgembet adi tam indiŋ yoŋa ninadiguk. “Bepaŋdi bem gimiŋ fiye ginaŋ bem heki yakiiŋ adi’walaŋ folooŋ mu nanandok be haniŋguk?” 
GEN.3.2	Kaŋ tamdibo miŋgembet indiŋ niŋguk, “Indi yadi bem gimiŋ fiye ginaŋ bem hogohogok yaliwiiŋ adi’walaŋ mindipmuŋ kedem nanandok ninindapmaŋit, 
GEN.3.3	eŋ bem gimiŋ fiye lekiŋgoŋ bem niŋ yatak wondiniŋ mindipmuŋ adi naaŋ be honeeŋ kumundeemitneŋ yoŋa Bepaŋdi kamehep tinimguk.” 
GEN.3.4	Kaŋ miŋgembetdi tam indiŋ niŋguk, “Mooŋ ale! Hidi mu kumundemek. 
GEN.3.5	Bepaŋ adi agaŋ nadilak, hidi bem gimiŋ u naaŋ dauhik tombune ne undiniŋ tiŋa kedem be kadakaniŋ diniŋ mebi nadidakaledemek.” 
GEN.3.6	Unduŋ yobune tam adi bem u kaŋ indiŋ nadisuguk, “bem gimiŋ u yadi momooŋ hinek nanandok tiŋa undigoŋ momooŋ hinek kalat, eŋ nadinadi tubumintadok tuwolit hinek” yoŋa nadiune utumbaguk. Unduŋ tige tige bem gimiŋ u tomŋa naguk. Naaŋele noli yohoidok mimbune adi maaŋ naguk. 
GEN.3.7	Nalune dauhik tomguk. Tombune nehi hambiyek hatigumuk u kagumuk. Unduŋ tiŋa mooŋkaŋ bem hapmuŋ bateyehidi tebikufulaŋa hatigumuk.
GEN.3.8	Agaŋ mele womaaŋ kwelemalune Wapum Bepaŋ adi bem gimiŋ fiye ginaŋ hati yaulune gigilitŋiŋ nadigumuk. Nadiŋa me eŋ tamuŋiŋ adi Wapum Bepaŋdok munta tiŋa bem gimiŋ fiye ginaŋ bem ginaŋ ginaŋ hebihakumuk. 
GEN.3.9	Unduŋ tulune Wapum Bepaŋdi me indiŋ kutniŋguk, “Du de?”
GEN.3.10	Kaŋ yoguk, “Du bem gimiŋ fiye ginaŋ yautobune nadiŋa hambiyek hatiŋat doktiŋa munta tiŋa hebihatat.”
GEN.3.11	Kaŋ adibo yoguk, “Hambiyek hatilaŋ u nediyeŋ ganiŋak? Du bem mindip mu nanandok ganiŋa yokwambudagut u nobu naweŋ?”
GEN.3.12	Kaŋ medi yoguk, “Tam nukut hatidok yoŋa namguŋ adi bem gimiŋ nambune naŋat.”
GEN.3.13	Kaŋ Wapum Bepaŋdi tam indiŋ niŋguk, “Du maŋgaŋde unduŋ tiŋaŋ?”
GEN.3.13	Kaŋ tamdibo yoguk, “Miŋgembetdi nalamulune naŋat.”
GEN.3.14	Kaŋ Wapum Bepaŋdi miŋgembet indiŋ niŋguk, “Du unduŋ tiŋaŋ doktiŋa kale mimihi eŋ kale moihi adi’walaniŋ du kubugoŋ haaki tigamulat. Ale du kwet foloŋ hatibaaŋ tuwot kabakedi kwet umeumet tiŋa hatibaaŋ eŋ nanaŋege adi kwet kilabut naluwaaŋ. 
GEN.3.15	Kaŋ du eŋ tam hidi’walaŋ lekiŋgoŋhik ginaŋ kwihita fafaŋeniŋ kamewit wondi miŋgembet du’walaŋ kobuligeye eŋ tam’walaŋ kobuliŋiye lekiŋgoŋhik ginaŋ hali lowaak. Ala hatigane tam’walaŋ kobulidi miŋgembet du’walaŋ mebige yalifilidawaak. Kaŋ dubo kayoŋ yehihiliŋiŋ sifilifiliyewaaŋ.”
GEN.3.16	Tamdok adi indiŋ niŋguk, “Mihi welenit hatilune folofigita tomboyoula gambaat. Eŋ wapmihi yanagikiiŋ nai ginaŋ adi folofigita kisaŋ nadige nadige yeheŋeluwaaŋ. Iŋgoŋ oŋ, yohoge adi walagedi kahile hinek tuluwaaŋ, kaŋ adibo du gabudoko tuluwaak.”
GEN.3.17	Adamdok adi indiŋ niŋguk, “Du tamge’walaŋ mede tilooŋ yeŋaŋ e bem gimiŋ mu nanandok hinek yokwambundagamgut u naŋaŋ, ala du’walaŋ yom doktiŋa kwet i haaki timilat. Ale du helemahelemaŋ folofigita kwanai tiŋa nanaŋege tubumintaluwaaŋ. 
GEN.3.18	Dininoutge ginaŋ adi kilihikit moihi eŋ noli dendem hinitdi labaneeŋ. Kaŋ du yadi uŋaniŋ nanaŋege moŋgola hinaluwaaŋ. 
GEN.3.19	Mimindi kisaŋ gomuŋa nanaŋege tubumintaaŋ nahatigane kwetdi gehitubumintaŋit ale kotigoŋ udaneeŋ kwet foloŋ fowaaŋ! Kwetdi gehitubumintagut doktiŋa kotigoŋ udaneŋ kwet yagilaaŋ.”
GEN.3.20	Kaŋ me adi tamuŋiŋ wou Ewa youkuk. Adigoŋ tububihila kwet foloŋ meeniŋ mintayam hogohogok indi’walaŋ meekinik tuguk. 
GEN.3.21	Kaŋ Wapum Bepaŋ adi kale gitnemdi dahidahi tibineeŋ memalam tinahukuyembune hatigumuk.
GEN.3.22	Wapum Bepaŋ adi unduŋ tiŋa indiŋ yoguk. “Hidige! Me adi agaŋ inde indihigoŋ tiŋa kedem eŋ kadakaniŋ diniŋ mebi nadilak. Ale, tiyaugene kohoŋ kihiwale hatihati fafaŋeniŋ diniŋ bem gimiŋ tomuŋa naaŋ kwet foloŋ yagigi hatibaaneŋ.” 
GEN.3.23	Wapum Bepaŋ adi unduŋ yoŋa me niŋkulune Edeŋ bem gimiŋ fiye bikabuŋa fooŋ uguk. Kwetdi tubumintaŋit adi ne dininout tibene fooŋ uguk. 
GEN.3.24	Wapum Bepaŋdi memalam unduŋku tiŋa yehikeleune fougumuk. Kaŋ Edeŋ bem gimiŋ fiye diniŋ mele labulabuneŋkade Kelobim
GEN.4.1	Adam adi tamŋiŋ Ewa dut hatibune mihiwele tiŋa Kain nagikuk. Nagila indiŋ yoguk, “Bepaŋdi nehitubulodaune mihi niŋ mintanamulak.” 
GEN.4.2	Kaŋ mindaŋkade kwayaŋ Abe nagikuk. Kaŋ Abe adi bedinaditomŋa meme eŋ dompa yabudokoguk. Kain adi me dininout kwanai tiŋa hatiluguk. 
GEN.4.3	Unduŋ tiŋa hatigane Kain adi fiye ginaŋniŋ nanaŋe heki moŋgola bopneeŋ Bepaŋ muni hemiŋguk. 
GEN.4.4	Kaŋ Abe adi maaŋ dompa taamuhi kobuhidi mihiniŋ biyegiŋ uŋaniŋ niŋ ula dobuŋa galiki moŋgola Bepaŋdok muni heguk. Kaŋ Wapumdi Abe ne be, bee muniŋiŋdok nadiune utumbaguk. 
GEN.4.5	Eŋ Kaindok adi ne be, bee muni hegukdok nadihaŋinda tuguk. Unduŋ tubune Kain adi kisaŋ kwihitaune namanda kadakaniŋgoŋ hinek diweguk.
GEN.4.6	Unduŋ tuguk kaŋ Wapumdi Kain indiŋ niŋguk, “Maŋgoŋde kwihitaaŋ namandake kadakaniŋgoŋ diwelaŋ? 
GEN.4.7	Du kedem hatibune nadigambene utumbawaak. Kedem mu hatibaaŋ adi kadakaniŋdi talik fofoŋ ginaŋ hebiyale dutok-ku womgambaak. Kadakaniŋdi gabudokodok hinek-ku nadilak oŋ. Ale, du yadi kadakaniŋdok kamehep timimbaaŋ.”
GEN.4.8	Hatigane Kaindi kwayaŋ Abe indiŋ niŋguk, “Buune kade ude.”
GEN.4.8	Yobune ugumuk wooŋ kade ginaŋ hatigumuk, hatigane Kaindi tububihila pilali kwayaŋ Abe ula ulukumuŋguk.
GEN.4.9	Kaŋ Wapumdi Kain indiŋ ninadiguk, “Kwayage Abe daŋgoŋ hatilak?”
GEN.4.9	Adibo yoguk, “Nu mu nadilat. Kwayane nube kadokolat ale?”
GEN.4.10	Unduŋ yobune Wapumdi yoguk, “Du maŋgoŋ tiŋaŋ? Kwayage buune naŋgatŋiŋ kwet foloŋ kwatneŋak wendi kobulabulaye tinambune nadilat. 
GEN.4.11	Unduŋ doktiŋa haaki du foloŋ kamelat. Kwetdi kotigoŋ du mu gehitubulodaluwaak. 
GEN.4.12	Diniyeti kwanai tibaaŋ iŋgoŋ kwetdi duhuduhuŋiŋ diniŋ galiki kahile tibaak. Unduŋ tubune du momoŋ tiŋa kwet uŋaŋbo hatiŋ uŋaŋbo hatiŋ tiluwaaŋ.”
GEN.4.13	Unduŋ nimbune Kaindibo Wapum indiŋ niŋguk, “Kibikooŋ namulaŋ u nadiwene mulabumuŋ hinek tilak. 
GEN.4.14	Du kamiŋ dininout kwet kameheŋa nehikelekutaŋ doktiŋa nu du bikabuŋa momooŋ wooŋ uŋaŋbo uŋaŋbo hebihatiluwaat. Kaŋ meeniŋ niŋdi nehitubumintaaŋ nulukumuneeŋ.”
GEN.4.15	Kaŋ Wapumdibo yoguk, “Unduŋ adi mooŋ, nediyeŋdi Kain ulukumumbaak adi’walaŋ kibikoŋ adi kunakunat 7
GEN.4.16	Kaŋ Kain adi Wapum hebeŋ foloŋ hatigukdi wabiŋa wooŋ kwet niŋ wou Nod u Edeŋ kwet mele labulabuneŋkade uŋaŋ hatiguk.
GEN.4.17	Kaŋ Kain adi taamuŋiŋ dut hatibune mihiwele tiŋa Enoko nagikuk. Ala Kain adi yokwet wapumniŋ yobune mintaguk kaŋ yokwet wondiniŋ wou mihiŋiŋ diniŋ wou Enoko youkuk. 
GEN.4.18	Enoko’walaŋ mihi niŋ mintaguk wou Ilad. Kaŋ Ilad’walaŋ mihi niŋ mintaguk wou Mehuyael. Kaŋ Mehuyael diniŋ mihi niŋ mintaguk wou Metusael. Kaŋ Metusael diniŋ mihi niŋ mintaguk wou Lamek. 
GEN.4.19	Lamek adi tam lufom yanagikuk, tam niŋ diniŋ wou Ada, eŋ niŋ diniŋ wou Sila. 
GEN.4.20	Ada adi mihiwele tiŋa Yabali nagikuk. Yabali adi kale gitnemdi yot mamaŋ eŋ kale makau yabudoko kwanai wondiniŋ mebi tububihikuk.
GEN.4.21	Yabali kwayaŋ wou adi Yubali. Adi adi bai fedifedit, eŋ manaŋ kumbet fedifedit eŋ gita uut tububihikuk. 
GEN.4.22	Kaŋ Siladibo mihiwele tiŋa mihi niŋ nagikuk wou Tubali-Kein adi kwanai bomboŋ bolons
GEN.4.23	Hatigane nai niŋde Lamek adi tamuŋiyat yeniyehihamaneeŋ indiŋ yeniŋguk, “Ada eŋ Sila, hidi magihik kameeŋ medene nadideemek! Tamuneyat, nu’walaŋ kap walem nadidahi tidemek.
GEN.4.23	“Biyagoŋ hinek, meeniŋdi nutubukadakaune ukut.
GEN.4.23	“Eŋ mekuyadi nulune ulukumuŋgut.”
GEN.4.24	“Kain ulaak adi kibikoŋ kunakunat 7 moŋgolaak eŋ Lamek nu nulaak adi kibikoŋ kunakunat 77, wapumgoŋ hinek moŋgolaak.”
GEN.4.25	Adam adi kotigoŋ tamuŋiŋgut hatibune mihiwele tiŋa mihi niŋ nagikuk. Kaŋ indiŋ nadiŋa wou Set youkuk. “Kaindi Abe ukuk doktiŋa aditok kayoŋkoŋ Bepaŋ’walaniŋ youli niŋ busuwanamulak.” 
GEN.4.26	Kaŋ Set adi maaŋ undugoŋ mihi niŋ mintamimbune wou Enosi youkuk. Nai uŋaniŋgoŋ hinek metamdi tububihila Wapum gikiŋgoŋ timiŋa wou nintilooŋ niutumbagiŋ.
GEN.5.1	Yoŋ adi Adam diniŋ yalakiŋiye ulihaka-talabugiŋ diniŋ youkudip. Bepaŋdi Adam tubumintaguk nai uŋaniŋ ne undiniŋgoŋ hinek tubumintaguk. 
GEN.5.2	Adi adi maaniŋ eŋ taamuniŋ yehitubumintaaŋ meeniŋ yeniŋa kahaŋ tiyemguk. 
GEN.5.3	Kaŋ Adam adi hatitalabulune guletŋiŋ 130 tulune mihiŋiŋ niŋ ne’walaŋ namandap agaŋ ne undiniŋgoŋ hinek mintaguk. Kaŋ wou Set youkuk. 
GEN.5.4	Adam adi Set mintaguk uŋaniŋ tomboyoula gulet 800 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.5	Adam adi unduŋ tiŋa hatitalogane guletŋiŋ 930 dapmaune kumuŋguk.
GEN.5.6	Set adi guletŋiŋ 105 tulune adi’walaŋ mihiŋiŋ Enos mintaguk. 
GEN.5.7	Set adi Enos mintaguk uŋaniŋ tomboyoula gulet 807 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.8	Set adi unduŋ tiŋa hatitalogane guletŋiŋ 912 dapmaune kumuŋguk.
GEN.5.9	Enos adi guletŋiŋ 90 tulune adi’walaŋ mihiŋiŋ Kenan mintaguk. 
GEN.5.10	Enos adi Kenan mintaguk uŋaniŋ tomboyoula gulet 815 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.11	Enos adi unduŋ tiŋa hatitalogane guletŋiŋ 905 dapmaune kumuŋguk.
GEN.5.12	Kenan adi guletŋiŋ 70 tulune adi’walaŋ mihiŋiŋ Mahalale mintaguk. 
GEN.5.13	Kenan adi Mahalale mintaguk uŋaniŋ tomboyoula gulet 840 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.14	Kenan adi unduŋ tiŋa hatitalogane guletŋiŋ 910 dapmaune kumuŋguk.
GEN.5.15	Mahalale adi guletŋiŋ 65 tulune adi’walaŋ mihiŋiŋ Yalet mintaguk. 
GEN.5.16	Mahalale adi Yalet mintaguk uŋaniŋ tomboyoula gulet 830 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.17	Mahalale adi unduŋ tiŋa hatigane guletŋiŋ 895 dapmaune kumuŋguk.
GEN.5.18	Yalet adi guletŋiŋ 162 tulune adi’walaŋ mihiŋiŋ Inok mintaguk. 
GEN.5.19	Yalet adi Inok mintaguk uŋaniŋ tomboyoula gulet 800 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.20	Yalet adi unduŋ tiŋa hatigane guletŋiŋ 962 dapmaune kumuŋguk.
GEN.5.21	Inok adi guletŋiŋ 65 tulune adi’walaniŋ mihiŋiŋ Metusela mintaguk. 
GEN.5.22	Inok adi Bepaŋdut kifolok hinek tiŋa hatigumuk. Inok adi Metusela mintaguk uŋaniŋ tomboyoula gulet 300 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.23	Inok adi unduŋ tiŋa hatilune guletŋiŋ 365 tuguk. 
GEN.5.24	Adi Bepaŋdut kifolok hinek tiŋa hatigane liwe tuguk. Biyagoŋ kuyoŋ, adi Bepaŋ negoŋ nagikuk.
GEN.5.25	Metusela adi guletŋiŋ 187 tulune adi’walaniŋ mihiŋiŋ Lamek mintaguk. 
GEN.5.26	Metusela adi Lamek mintaguk uŋaniŋ tomboyoula guletŋiŋ 782 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.27	Metusela adi unduŋ tiŋa hati ulune gulet 969 tubune kumuŋguk.
GEN.5.28	Lamek adi guletŋiŋ 182 tulune adi’walaniŋ mihiŋiŋ niŋ mintaguk. 
GEN.5.29	Mintaune indiŋ yoŋa wou Noa
GEN.5.30	Lamek adi Noa mintaguk uŋaniŋ tomboyoula gulet 595 hatilune wabiŋiŋ eŋ mihiŋiye noli maaŋ mintagiŋ. 
GEN.5.31	Lamek adi unduŋ tiŋa hatigane guletŋiŋ 777 dapmaune kumuŋguk.
GEN.5.32	Noa adi gulet 500 hatilune adi’walaŋ mihiŋiye 3 mintamiŋgiŋ, wouhiye Sem, Ham eŋ Yafet.
GEN.6.1	Meeniŋdi kwet foloŋ kisaŋ ulihakalune wabihiye maaŋ fe mintagiŋ. 
GEN.6.2	Nai uŋaniŋ Bepaŋ’walaŋ mihiŋiyedi
