MAT.1.1	Ecitabo co bwiburwa bwa Yesu Kristo, Omwana wa Daudi, Omwana wa Iburaimu.
MAT.2.1	Wejire Yesu e:burwa mu Beteleemu ya Buyaudi, mu siku jo mukama Erode, mbe abengeso banu baso:kere ebuturuka nibakinga Yerusalemi. 
MAT.2.2	Nibaika ati, Ari a:ki unu e:buywe Omukama wa Bayaudi? Okuba carorere injota yae ebuturuka, nici:ja okumuramya. 
MAT.2.3	Nawe Omukama Erode ejire ongwa nawa omwoyo na ba Yerusalemi bo:ne aamwi nage. 
MAT.2.4	Nakofya abagabisi abakuru bo:ne na bandiki ba ba:nu, nababu:sirisya ati, ?Kristo ariburirwa a:ki? 
MAT.2.5	Mbamubwira ati, Mu Beteleemu ya Buyaudi, kwo kuba nikwo kutyo byandikirwe no muragi ati,
MAT.2.6	Na:we Beteleemu mu ca:ro ca Yuda, utari muto:to mu bakuru ba Yuda.
MAT.2.6	Okuba Omutungi ariso:ka mwawe
MAT.2.6	Unu arire:ba aba:nu bani.
MAT.2.7	Mbe niwo Erode nabirikira abengeso bwitebe, nababu:sirisya muno omwanya gunu injota yabonekeemo. 
MAT.2.8	Nabatuma Beteleemu na:ika ati, Mugende muyenjeyenje muno Omwana oyo, nawe mukamubona mu:je mumbwire, korereki anye one nije okumuramya. 
MAT.2.9	Wejire bongwa ebyo mukama nibe:muka, mbe rora, injota eyo baroree ebuturuka ni:batangatira ni:ja niimereguru anu Omwana ariga:ri. 
MAT.2.10	Wejire barora injota nibakonderwa ekonderwa ryafu butamire. 
MAT.2.11	Mbengira mu nyumba, mbarora Omwana na Maryamu nyiramwene, nibafukama nibamuramya, nibasurumura jinsagwa jebwe, nibamufu:wa emigemu ja jaabu no mugaju na mafuta amarange. 
MAT.2.12	Wejire bakengibwa na Nyamuanga mu ciro:to ati, musige kusuba ku Erode, nibasuba ewabo nibatura ku njira indi.
MAT.2.13	Mbe wejire bagenda, mbe rora, maraika wa Ratabugenyi namusoromokera Yusufu mu ciro:to na:ika ati, Imuka, ugege Omwana na nyiramwene, wirukire Misiri, ubeyo kukinga runu ndikubwirira, kwo kuba Erode kajo:kuyenja Omwana amwite. 
MAT.2.14	Wejire arafya, nagega Omwana na nyiramwene mu ngeta nagenda Misiri. 
MAT.2.15	Naba eyo kukinga Erode anu afwiriye, korereki cikumire cinu Ratabugenyi a:ikiriye mu muragi ati, Nabirikiye Omwana wani okuso:ka Misiri.
MAT.2.16	Mbe Erode wejire arora ati abengeso bamujimya, najira risungu ryafu, natuma aba:nu okwita aba:na be cisambaya banu bariga mu Beteleemu na mu mbibi jagwo jo:ne, banu bamarire myaka ebiri na banu bariga bacari kujimara, rwo mwanya gunu ababu:sirisisyemo abengeso kutyo gwariga guri. 
MAT.2.17	Mbe niwo cakumiye eco ca:ikirwe no muragi Yeremiya na:ika ati,
MAT.2.18	Oburaka bungwiriywe mu Rama,
MAT.2.18	Okukunga no kurira jimamu,
MAT.2.18	Raeli naririra aba:na bae,
MAT.2.18	Atakwenda kusi:ri:sibwa kwo kuba batacariwo.
MAT.2.19	Erode wejire afwa, maraika wa Ratabugenyi nasoromokera Yusufu mu ciro:to mu Misiri, 
MAT.2.20	Na:ika ati, Imuka, ugege Omwana na nyiramwene, ugende mu ca:ro ca Israeli, kwo kuba banu bayenjaga Omwana okumwita bafu:ye. 
MAT.2.21	Nemuka nagega Omwana na nyiramwene naja mu:si ya Israeli. 
MAT.2.22	Wejire ongwa ati Arikelao atungire Buyaudi kubwa Erode esemwene, no:baya okusubayo. Nakengibwa na Nyamuanga mu ciro:to, nabarama nakinga mu mbara ja Galilaya. 
MAT.2.23	Wejire bakinga nibe:kara mu ruguyo runu rwatogwaga Najareti; korereki bikumire binu byaikirwe na baragi, ati, Aritogwa Munajareti.
MAT.3.1	Mu siku ijo Yoana Omubatija na:ja nasimurira mwibara rye Buyaudi, 
MAT.3.2	Na:ika ati, Mute, Okuba obukama bwa mu rwire bwafugee. 
MAT.3.3	Okuba oyo niwe a:ikirwe no muragi Isaya, ati,
MAT.3.3	Oburaka bwa unu kakobyakobya mwibara,
MAT.3.3	Mucumecume injira ya Ratabugenyi,
MAT.3.3	Mumugorororere obwitiŋano bwae.
MAT.3.4	Yoana omwene ariga afwae obusinga bwa ingamira, no rukoba mu cibunu cae, ne biryo byae byariga biri nsige no bu:ki bwa mwibara. 
MAT.3.5	Mbe aba Yerusalemi na Buyaudi yo:ne na ba i:si inu isijene na Yorodani nibamuja:ko. 
MAT.3.6	Nababatija mu musima gwa Yorodani nibegamba ebibi:bi byebwe.
MAT.3.7	Nawe wejire abarora Abafarisayo ba:fu na Basadukayo ba:fu niba:ja okubatijibwa nababwira ati, Emwe orwiburo rwa jinjoka, niga unu abakabusisye okwiruka risungu rinu eryendo:ku:ja? 
MAT.3.8	Mbe mutwasye amatwasyo ganu ge:ire okuta. 
MAT.3.9	Muteganirisya mu mitima jemwe ati, Ciri na saja Iburaimu. Okuba enibabwira ati, Nyamuanga katura ku mabui ganu okumwimusisyamo Iburaimu aba:na. 
MAT.3.10	Nawe woryanu ise:na
MAT.3.11	Ni cimari anye enibabatija mu manji kurwo kuta nawe oyo kaja inyuma yani ankisisye amanaga, nite:ire okugega ebikwirya byae. Oyo niwe aribabatija no Mwoyo Mweru no muriro. 
MAT.3.12	Oruungo rwae ruri mu kuboko kwae, aryesya muno ritare ryae. Arisombera oburo bwae mu citara, nawe iŋunyu aryoca no muriro gunu gutakusima.
MAT.3.13	Mbe niwo Yesu naso:ka Galilaya nakinga Yorodani ku Yoana amubatije. 
MAT.3.14	Nawe Yoana ariga nenda okumuganya na:ika ati, Anye nanye nikenere awe okumbatija, ?ka nawe ouja kwanye? 
MAT.3.15	Yesu naindura namubwira ati, Wori siga ago, okuba nikwo kutyo kuci:ire okuku:misya oburenge:resi bwone. Mbe niwo nekirisya ejae. 
MAT.3.16	Mbe Yesu wejire amara okubatijibwa aonao nasyo:ka mu manji, mbe rora, orwire ndumuswerukira, narora Omwoyo wa Nyamuanga ne:ka rwa injiba namu:jako. 
MAT.3.17	Mbe oburaka mbuso:ka mu rwire nibwaika ati, Unu niwe Omwana wani unu nendere, unu nikonderereywe.
MAT.4.1	Mbe Yesu nasirwa no Mwoyo mwibara Syetani amusake. 
MAT.4.2	Wejire amara okusara:rira siku makumi gana mu mwisi na mu ngeta, niwo narumwa omweko. 
MAT.4.3	Omusaki namu:jako naika ati, Araba uri Mwana wa Nyamuanga, bwira amabui ganu gabe biryo. 
MAT.4.4	Omwene namuindura na:ika ati, Gwandikirwe ati,
MAT.4.4	Omu:nu atakuba muanga kurwe biryo era,
MAT.4.4	Tari kurwo musango gwone gunu oguso:ka mu kanwa ka Nyamuanga.
MAT.4.5	Mbe Syetani namusira ku musi omweru, namuta ku cisonge ca iyekaru. 
MAT.4.6	Namubwira ati, Araba uri Mwana, wa Nyamuanga, ijunga wiyese a:si, okuba gwandikirwe ati, arikuragiririra bamaraika bae, barikuyagata mu maboko gebwe utarija kwiku:jura cigere cao kwibui. 
MAT.4.7	Yesu namubwira ati, Gwandikirwe rindi ati,
MAT.4.7	Utasakaga Esobugenyi Nyamuanga.
MAT.4.8	Syetani namusira rindi ku ci:ma cire:ra muno, namweresya ebyaro bya bakama bo:ne banu bari mu:si na rikusyo ryendemo. 
MAT.4.9	Namubwira ati, Binu byone enijo:kuyana, uke:nama okundamya. 
MAT.4.10	Mbe Yesu namubwira ati, So:kayo Syetani, okuba gwandikirwe ati,
MAT.4.10	Ramyaga Esobugenyi Nyamuanga, oyo niwe uko-rerega:ra.
MAT.4.11	Mbe niwo Syetani namusiga, mbe bamaraika niba:ja mbamufurubendera.
MAT.4.12	Ejire Yesu ongwa ati, Yoana bamugwatire, nasuba Galilaya. 
MAT.4.13	Naso:ka Najareti, naja okwikara Kaperinaumu gunu guri ku mwaro, mu mbibi ja Jaburoni na Nafutali, 
MAT.4.14	Korereki ciku:mire cinu ca:ikirwe no muragi Isaya na:ika ati,
MAT.4.15	I:si ya Jaburoni na i:si ya Nafutali,
MAT.4.15	Injira ya ku mwaro, ingego ya Yorodani, Galilaya ya maanga,
MAT.4.16	Aba:nu banu bariga be:kae mu cisu:te barorere obweru bwafu,
MAT.4.16	Na banu bariga bekae mu:si yo rufu na mwirengesi ryarwo obweru bwabaswerukira.
MAT.4.17	Kuso:ka mu mwanya ogwo Yesu namba okusimura na:ika ati, Mute okuba obukama bwa mu rwire bwafugee.
MAT.4.18	Mbe Yesu nabarama ku nyanja ya Galilaya, narora bamura babiri ba nda imwi, Simoni unu katogwa Petero na Andereya wabo, nibe:sa emijarifu mu nyanja okuba bariga bategi. 
MAT.4.19	Nababwira ati, Mundu:be, enibakora bategi ba ba:nu. 
MAT.4.20	Aonao nibasiga emijarifu nibamuru:ba. 
MAT.4.21	Nafugerao imbere narora bamura bandi babiri ba nda imwi, Yakobo mumura wa Jebedayo na Yoana wabo, bariga mu bwato aamwi na Jebedayo esemwene, nibasumikanya emijarifu jebwe, nababirikira. 
MAT.4.22	Aonao nibasigao obwato nesemwene nibamuru:ba.
MAT.4.23	Yesu naswisya Galilaya yone neigisyaga mu mekofyanyisyo gebwe, nasimura ebigambo byo bwana byo bukama, naosya jindwara jo:ne no bugo:bo:ke bwone mu ba:nu. 
MAT.4.24	Orukuma rwae nduswira Syamu yo:ne. Nibamure:tera bo:ne banu bariga barwae, na banu bagwatirwe jindwara jitasyanyisye, ne binya:syo, na banu baungirwe misambwa na be citwe na banu bafu:ye omubiri, nabaosya. 
MAT.4.25	Ebise byafu mbimuru:ba mbiso:ka Galilaya na Dekapori na Yerusalemi ne Buyaudi na ku mwambuko gwa Yorodani.
MAT.5.1	E:jire arora ebise, narinya ku ci:ma. E:jire amara okwinyanja, abe:igisibwa bae nibamu:jako. 
MAT.5.2	Natanya omunwa gwae, nabe:igisya na:ika ati,
MAT.5.3	Barina ribando abataka mu mwoyo, kwo kuba obukama bwa mu rwire ni bwebwe.
MAT.5.4	Barina ribando abasurumbae, kwo kuba abo barisi:ri:sibwa.
MAT.5.5	Barina ribando abafura, kwo kuba abo barirya i:si omwandu.
MAT.5.6	Barina ribando abo mweko no bwiro kurwo burengeresi, kwo kuba abo bari:gusibwa.
MAT.5.7	Barina ribando abe cigongo, kwo kuba abo barifwirwa ecigongo.
MAT.5.8	Barina ribando abo be:rere emitima, kwo kuba abo barirora Nyamuanga.
MAT.5.9	Barina ribando abaikanya bo mure:bo, kwo kuba abo baritogwa ba:na ba Nyamuanga.
MAT.5.10	Barina ribando banu abanya:sibwa kurwo burenge:resi, kwo kuba obukama bwa mu rwire ni bwebwe.
MAT.5.11	Emwe murina ribando barabafumaga no kubanya:sya no kubabeeresya omusango gwone omubi:bi kubwani.
MAT.5.12	Mukonderwe mutembetembe, kwo kuba omuyero gwemwe ni mwafu mu rwire, kwo kuba nikwo banya:syaga abaragi banu babatangatiye emwe.
MAT.5.13	Emwe muri munyu gwa i:si. ?Nawe omunyu gukakuba, abasuba bagurunge kutiki? Oguba gutace:ire tari kweswa anja no kutajirirwa na ba:nu. 
MAT.5.14	Emwe muri bweru bwa i:si. Omusi gunu gumbakirwe ku ci:ma gutakutura kubiswa. 
MAT.5.15	Amwi batakukongesya itara nibaifundikira mu ci:bo, tari kuitu:ra ku cikango ni:murikira bo:ne banu bari mu nyumba. 
MAT.5.16	Nikwo kutyo obweru bwemwe bwakega imbere ya ba:nu, barorega ebikorwa byemwe byo bwana, korereki bakusye Esomwana unu ari mu rwire.
MAT.5.17	Mute:ganirisyaga ati, ne:jire kumarao ebiragiro amwi abaragi. Nite:jire kumarao, tari ne:jire kuku:misya. 
MAT.5.18	Kwo kuba enibabwira cimari ati, kukinga orwire na i:si anu biriwerao, nyuguta imwi nakabee kari kakotore kamwi ka mu biragiro katariwao kukinga byone bikumire. 
MAT.5.19	Omu:nu wo:ne unu araso:syagao ecimwi ku biragiro binu ebito:to, no kubeigisya aba:nu kutyo, oyo aritogwa muto:to mu bukama bwa mu rwire. Nawe unu wo:ne aribigwata nabi:igisya, oyo aritogwa mukuru mu bukama bwa mu rwire. 
MAT.5.20	Kwo kuba enibabwira ati, oburenge:resi bwemwe bukaremo:kira obwa bandiki na Bafarisayo, mutaringira mu bukama bwa mu rwire na katyari.
MAT.5.21	Mwonguywe kutyo aba:nu ba kara babwiriywe ati, Utari:ja kwita, no mu:nu unu ari:ta arijira intambara. 
MAT.5.22	Nawe anye enibabwira ati, omu:nu wo:ne unu kabiirirwa Omwana wabo era, arijira intambara. Nawe unu arimufuma Omwana wabo ati, Raka, ni busi busi asirwe mu ci:na. Nawe unu araikaga ati, Mutamutamu awe, e:ire okweswa mu muriro gunyatasima. 
MAT.5.23	Mbe ukare:ta eciyanwa cao ku cigabiro, niwo niwicuka ati, owanyu ari na:we omusango, 
MAT.5.24	Siga eciyanwa cao imbere ye cigabiro, subayo utangate okungwana no wanyu, mbe niwo usube uso:sye eciyanwa cao. 
MAT.5.25	Mungwane no mubu:si wao bwangu ucari nage mu njira, omubu:si asiga kukusira ku muramusi, no muramusi asiga kukusira ku musirikare ukeswa mwiboero. 
MAT.5.26	Ni cimari enikubwira ati, utariso:kamo kata kukinga runu urimarira okuriya akacapa ko kumarisya.
MAT.5.27	Mwonguywe kutyo babwiriywe kara ati, utari:ja kuromera. 
MAT.5.28	Nawe anye enibabwira ati, unu wo:ne karore:rera omugasi no kumurigira oyo kaba amarire kara okumuromera mu mutima gwae. 
MAT.5.29	Ukaba eri:so ryao rye buryo ndikuyabya, uri:yemo uryese kura, kwo kuba ni kwa kisi ecungo cao ecimwi cisimagire, kukira omubiri gwao gwone okweswa mu muriro gunyatasima. 
MAT.5.30	Ukaba okuboko kwao okwe buryo nikukuyabya, ukutemeko ukwese kura, okuba ni kwa kisi ecungo cao ecimwi cisimagire kukira omubiri gwao gwone okweswa mu muriro gunyatasima.
MAT.5.31	Babwiriywe ati, unu wo:ne araremaga omugasi wae, amuyane inyaruba yo buta:ni. 
MAT.5.32	Nawe anye enibabwira ati, omu:nu wo:ne araremaga omugasi wae, tari kurwo buromesi, kamukora muromerwa. Na unu aritwara unu aremerwe karomera.
MAT.5.33	Rindi mwonguywe kutyo aba:nu ba kara babwiriywe ati, utari:ja kwiraira ebyo rurimi, nawe ukumisisyega Esobugenyi binu owiraisya. 
MAT.5.34	Nawe anye enibabwira ati, Ute:raisyaga na katyari, nakabee ari ku rwire, okuba ni citebe ca Nyamuanga eca iŋoma, 
MAT.5.35	Nakabee ari ku ca:ro, okuba ni citebe co kutako ebigere byae, nakabee ari Yerusalemi, okuba nigwo musi gwo Mukama Omukuru, 
MAT.5.36	Ute:raisyaga omutwe gwao okuba utakutura kuindura rufwiri rumwi rweru amwi nyirafuru. 
MAT.5.37	Nawe emisango jemwe jibega ati, Yee Yee, uri uri. Nawe binu ebikira ebyo ebiso:ka ku mubi:bi.
MAT.5.38	Mwonguywe kutyo babwiriywe ati, Eri:so eritambana ne ri:so, eri:no eritambana ne ri:no. 
MAT.5.39	Nawe anye enibabwira ati, Mutayajanaga no mubi:bi, nawe omu:nu akakubuma oruba rwe buryo umucu:sisyega no rwe bumosi one. 
MAT.5.40	Na unu kenda okuromanwa na:we okugega ikanju yao, umusigire na rigoti one. 
MAT.5.41	Omu:nu akakuyamba okuribata maili imwi, genda nage ne ya kabiri. 
MAT.5.42	Unu arakusabwaga wamuyana, na unu kenda okukuryako amasi:ri, wasiga kumufuta:tira.
MAT.5.43	Mwonguywe kutyo babwiriywe ati, Umwendega omwikasyanya wao, usokega omuremo wao. 
MAT.5.44	Nawe anye enibabwira ati, Mwendega abaremo bemwe, musabirwega banu ababanya:sya. 
MAT.5.45	Korereki mube ba:na ba Esomwana unu ari mu rwire, okuba risu:ba ryae kabaurusisya ababi:bi na be kisi, kabagimbira iŋuba abarenge:resi na banyamusi. 
MAT.5.46	?Okuba mukenda banu ababenda emwe, muri na muyero ki? ?Abaosya one batakukora kutiyo? 
MAT.5.47	?Ka murakesyaga abanyu era, omubakisyao ki? ?Abamaanga one batakukora kutiyo? 
MAT.5.48	Mbe emwe mubega banu baku:miye rwa Esomwana wa mu rwire kutyo aku:miye.
MAT.6.1	Mukabukega mutakoreraga ebyo oburengeresi bwemwe mu me:so ga ba:nu, korereki babarore, kwo kuba murakoraga kutiyo mutayabwega muyero Kwisomwana unu ari mu rwire. 
MAT.6.2	Mbe awe ukagabira abataka, utabumaga ŋombi imbere yao rwa bo rurimi kutyo abakora mu mekofyanyisyo na mu njira, korereki aba:nu babayane ecibaro. Ni cimari enibabwira ati, bamarire okuyabwa omuyero gwebwe. 
MAT.6.3	Nawe awe, uragabiraga abataka, okuboko kwao okwe bumosi kusigega kumenya okwe buryo binu okukora. 
MAT.6.4	Okugaba kwao kubega mu bumbise, na Esomwana unu karoraga mu bumbise arikuyana omuyero.
MAT.6.5	Murasabwaga mutabaga rwa bo rurimi, kwo kuba abenda okusabwa bemereguyu mu mekofyanyisyo na ku njira ya ma:ka:ka, korereki aba:nu babarore. Ni cimari enibabwira ati, bamarire kuyabwa omuyero gwebwe. 
MAT.6.6	Nawe awe urasabwaga ingiraga esi:ko wao, wigare orwigi, niwo usabwe Esomwana unu ari mu bumbise, na Esomwana unu karoraga mu bumbise arikuyana omuyero.
MAT.6.7	Nawe emwe murasabwaga, musigega kusubasubagamo misango kutyo era rwa ba:maanga kutyo abakora, okuba abe:togera ati, abongwibwa kurwe misango jebwe okufura. 
MAT.6.8	Mbe mutasusanaga nabo kwo kuba Esomwana amenyere binu mukenere mucari na kumusabwa.
MAT.6.9	Mbe musabwega kutya ati,
MAT.6.9	Rata unu uri mu rwire,
MAT.6.9	Risi:na ryao rikusibwe.
MAT.6.10	Obukama bwao bu:je.
MAT.6.10	Okwenda kwao kukorwega mu:si rwa kutyo okukorwa mu rwire.
MAT.6.11	Uciyane rero ebiryo byeswe byo kuci:ya.
MAT.6.12	Uci:swaririre amabanja geswe, rweswe kutyo eci:swaririra banu ecitonga.
MAT.6.13	Utacisira mu kusakwa nawe ucikisye ku mubi:bi.
MAT.6.13	Kwo kuba obukama no buinga na rikusyo ni byao kajanende na kajanende. Amina.
MAT.6.14	Kwo kuba muke:swaririra aba:nu ebikayo byebwe, Esomwana wa mu rwire aribe:swaririra emwe one. 
MAT.6.15	Nawe mukarema okwiswaririra aba:nu ebikayo byebwe, nyaburiko Esomwana one atakube:swaririra ebikayo byemwe.
MAT.6.16	Mbe mukasara:rira, musige kususana na bo rurimi banu abairiga obusu, okuba abe:surumbasya obusu, korereki barorwe ati abasara:rira. Ni cimari enibabwira ati, bamarire okuyabwa omuyero gwebwe. 
MAT.6.17	Nawe awe ukasara:rira, ibambagaga amafuta ku mutwe, wiyosyega mu busu, 
MAT.6.18	Korereki aba:nu basige kukurora ati, ousara:rira, tari Esomwana unu ari mu bumbise, na Esomwana unu karora mu bumbise, oyo arikuyana omuye:ro.
MAT.6.19	Mute:bikiraga ebi:nu mu:si, omwo ebinyamurirwa jifufunyi no butaretare, na be:fi mbatakura nibe:ba. 
MAT.6.20	Nawe Mwibikirega ebi:nu mu rwire, omwo bitakunyamurirwa fufunyi nakabee buri butaretare, amwi abe:fi batakutakura amwi kwiba. 
MAT.6.21	Kwo kuba anu ebi:nu byemwe ebiba, niwo no mutima gwemwe one oguba.
MAT.6.22	Orumuri rwo mubiri ndye ri:so. Mbe eri:so rikaba rikobere omubiri gwao gwone oguba no bweru. 
MAT.6.23	Nawe eri:so ryao rikaba ebi:bi omubiri gwao gwone oguba ne cisu:te mbe, obweru bunu buri mwawe bukaba cisu:te, ni cisu:te ca:fu kutiki!
MAT.6.24	Atariwo mu:nu unu katura okubakorera besebugenyi babiri. Okuba amwi arisokako oumwi, nenda oundi, amwi naruma ku umwi, nagaya oundi. Mutakutura kukorera Nyamuanga no kukorera obuni:bi one.
MAT.6.25	Nikwo enikora nimbabwira ati, Mute:ganaga obuanga bwemwe ati, Cirirya ki? amwi, Cirinywa ki? amwi mutaganiraga emibiri jemwe ati, Cirifwara ki? ?Obuanga butakukira ebiryo, no mubiri gutakukira ebifwaro? 
MAT.6.26	Murore jinyonyi ja mu rutumba, jitakubiba amwi jitakugesa, amwi jitakusombera mu bitara. Nawe Esomwana wa mu rwire kajiri:sya:ra. ?Emwe ejo mutakujikira muno? 
MAT.6.27	?Niga mwimwe unu katura okwigana okwiyongesyako obure:ra bwae cita cimwi? 
MAT.6.28	?Niki cinu ecikora nimwigana ebifwaro? Murore obwaso bwa mu ndiri kutyo obumera. Butakukora murimu amwi kuruka myenda. 
MAT.6.29	Nawe enibabwira ati, Sulemani mwikusyo ryae, ryone atafwae rwo bwejabo obwo. 
MAT.6.30	Kambe Nyamuanga araba kafwafya obunyasi bwa mu ndiri bunu buriwo rero, na mutondo obweswa mu co:to, ?mbe ka atakubafwafya emwe kukira obwo, emwe abo kwikirisya okuto:to? 
MAT.6.31	Nikwo murakoraga nimurema okwigana ati, Cirirya ki? amwi ati, Cirinywa ki? amwi ati, Cirifwara ki? 
MAT.6.32	Okuba ebyo byone nibyo abamaanga abayenja. Kwo kuba Esomwana wa mu rwire amenyere ati, mukenere ebyo byone. 
MAT.6.33	Nawe muyenje okwamba obukama bwa Nyamuanga no burenge:resi bwae, nebyo byone niwo muryongesibwa. 
MAT.6.34	Mbe mute:ganaga bya mutondo, kwo kuba orusiku rwa mutondo orwiganira orwene. Orusiku orumwi ecibi:bi cendemo ecirumara.
MAT.7.1	Musige kuramura, emwe one korereki musige kuramurwa. 
MAT.7.2	Kwo kuba okuramura kunu omuramura emwe one nikwo muriramurirwa. Na indengo inu omurengamo, niyo one murirengerwa emwe. 
MAT.7.3	Kubaki ourora akakongokera kanu kari mu ri:so ryo wanyu, nawe utakurora riti riri mu ri:so ryao? 
MAT.7.4	Tere amwi urimubwira kutiki owanyu ati, Siga nikuso:sye aka:nu kanu kari mu ri:so ryao, ke:nu riti riri mu ri:so ryao? 
MAT.7.5	Rurimi awe, tangata uso:sye riti mu ri:so ryao, mbe niwo urore kisi okuso:sya akakongokera mu ri:so ryo wanyu. 
MAT.7.6	Mutayanaga mbwa ci:nu ce:ru, amwi mute:saga jiru:ru jemwe imbere ya jingurube, jasiga okujitajirira ne bigere byajo, nijicu:ka okubaka:bura.
MAT.7.7	Musabwe muriyabwa, muyenje muribona, mwibu:re muri:gurirwao. 
MAT.7.8	Kwo kuba mu:nu wo:ne unu kasabwa kayabwa, na unu kayenja kabona, na unu ke:bu:ra ke:gurirwao. 
MAT.7.9	?Amwi ni mu:nu ki mwimwe omwana wae akamusabwa obusima kamuyana ebui? 
MAT.7.10	?Akamusabwa iswi kamuyana injoka? 
MAT.7.11	Kambe emwe ababi:bi mumenyere okuyana aba:na bemwe ebi:nu bye kisi, ?Esomwana unu ari mu rwire atakukira muno okuyana ebye kisi banu abamusabwa? 
MAT.7.12	Mbe byone binu omwenda aba:nu okubakoreraga emwe, nemwe one mubakorerega kutyo, kwo kuba eco nico ebiragiro na baragi.
MAT.7.13	Mwingire mu muryango omufunde, kwo kuba omuryango omugari na injira inu eigenda mu kusimagira ni ngari, na banu abaturako ni ba:fu. 
MAT.7.14	Okuba omuryango omufunde na injira inu eigenda mu buanga ni funde na banu abaibona bakeere.
MAT.7.15	Mwikenge abaragi bo rurimi, banu aba:ja kwimwe bafwae bifwaro bya ji:na:ma, nawe munda ni misege miruru mika:busi. 
MAT.7.16	Muribamenyera ku matwasyo gebwe. ?Abanoga emijabibu ku bikomati amwi abanoga jitini ku matobo:ro? 
MAT.7.17	Nikwo kutyo eti ryone erye kisi eritwasya amatwasyo ge kisi, nawe riti ribi:bi eritwasya amatwasyo mabi:bi. 
MAT.7.18	Riti rye kisi ritakutura kutwasya amatwasyo mabi:bi, nyaburiko na riti ribi:bi ritakutura kutwasya amatwasyo ge kisi. 
MAT.7.19	Eti ryone rinu ritakutwasya matwasyo ga kisi abaritema nibaryesa mu murio. 
MAT.7.20	Nikwo murikora nimubamenyera ku matwasyo gebwe. 
MAT.7.21	Tari ati mu:nu wo:ne unu kambwira ati, Ratabugenyi, Ratabugenyi, nuwe aringira mu bukama bwa mu rwire, tari unu kakora ebyo Rata unu ari mu rwire binu kenda. 
MAT.7.22	Ba:fu barimbwira ku rusiku niriya ati, Ratabugenyi, Ratabugenyi, ?citakoraga oburagi mwisi:na ryao, no kuirisya emisambwa mwisi:na ryao no kukora ebirugu:ro byafu mwisi:na ryao? 
